3#app#app37#app3746/{  -0.020 1.534  -0.132 1.534  -0.172 1.462  -0.248 1.426  -0.248 1.314  -0.276 1.230  -0.261 1.230  -0.156 1.214  -0.069 1.154  0.025 1.109  0.124 1.078  0.207 1.050  0.207 0.938  0.197 0.829  0.147 0.729  0.055 0.697  0.005 0.597  -0.060 0.508  -0.139 0.428  -0.172 0.331  -0.217 0.229  -0.290 0.167  -0.324 0.089  -0.286 0.015  -0.174 0.015  -0.063 0.015  0.049 0.015  0.132 -0.014  0.132 -0.126  0.120 -0.235  0.070 -0.335  0.020 -0.435  -0.035 -0.531  -0.108 -0.615  -0.158 -0.715  -0.228 -0.800  -0.248 -0.904  -0.248 -1.016  -0.245 -1.124  -0.172 -1.163  -0.119 -1.253  -0.017 -1.276  0.084 -1.304  0.176 -1.352  0.287 -1.352  0.399 -1.352  0.511 -1.352  0.612 -1.326  0.663 -1.236  0.663 -1.124
3#app#app37#app3746/e  -0.566 -0.175  -0.453 -0.062  -0.422 0.086  -0.288 0.113  -0.172 0.219  -0.059 0.332  0.074 0.401  0.210 0.458  0.335 0.544  0.441 0.598  0.512 0.688  0.585 0.775  0.658 0.905  0.729 1.037  0.729 1.197  0.636 1.264  0.475 1.264  0.315 1.264  0.154 1.264  0.041 1.151  -0.107 1.120  -0.134 0.987  -0.240 0.870  -0.353 0.757  -0.422 0.625  -0.458 0.473  -0.529 0.330  -0.566 0.178  -0.633 0.045  -0.710 -0.083  -0.710 -0.244  -0.710 -0.404  -0.710 -0.564  -0.710 -0.725  -0.710 -0.885  -0.561 -0.900  -0.447 -1.013  -0.334 -1.126  -0.221 -1.240  -0.096 -1.326  0.065 -1.326  0.225 -1.326  0.360 -1.264  0.486 -1.182  0.646 -1.182  0.729 -1.104  0.729 -0.944  0.729 -0.784  0.729 -0.623  0.729 -0.463
3#app#app37#app3746/l  -0.040 1.730  -0.040 1.658  -0.040 1.586  -0.040 1.515  -0.040 1.443  -0.040 1.371  -0.040 1.299  -0.040 1.228  -0.040 1.156  -0.040 1.084  -0.040 1.013  -0.040 0.941  -0.040 0.869  -0.040 0.798  -0.040 0.726  -0.040 0.654  -0.040 0.582  -0.040 0.511  -0.040 0.439  -0.040 0.367  -0.040 0.296  -0.040 0.224  -0.040 0.152  -0.040 0.080  -0.040 0.009  -0.040 -0.063  -0.040 -0.135  -0.040 -0.206  -0.040 -0.278  -0.033 -0.348  -0.001 -0.412  0.031 -0.477  0.063 -0.541  0.089 -0.606  0.089 -0.678  0.089 -0.750  0.089 -0.821  0.089 -0.893  0.089 -0.965  0.089 -1.037  0.089 -1.108  0.089 -1.180  0.089 -1.252  0.089 -1.323  0.089 -1.395  0.089 -1.467  0.046 -1.496  -0.026 -1.496  -0.040 -1.438  -0.040 -1.367
3#app#app37#app3746/f  0.610 1.289  0.606 1.426  0.474 1.435  0.460 1.562  0.318 1.562  0.177 1.562  0.035 1.562  -0.097 1.539  -0.197 1.439  -0.210 1.303  -0.210 1.161  -0.210 1.020  -0.210 0.879  -0.210 0.737  -0.210 0.596  -0.210 0.454  -0.210 0.313  -0.210 0.171  -0.210 0.030  -0.210 -0.112  -0.210 -0.253  -0.210 -0.394  -0.210 -0.536  -0.210 -0.677  -0.210 -0.819  -0.210 -0.960  -0.210 -1.102  -0.159 -1.222  -0.073 -1.328  -0.073 -1.421  -0.073 -1.279  -0.097 -1.148  -0.197 -1.048  -0.123 -1.122  -0.100 -1.105  -0.152 -0.974  -0.205 -0.843  -0.257 -0.711  -0.310 -0.580  -0.316 -0.458  -0.216 -0.358  -0.078 -0.351  0.064 -0.351  0.204 -0.348  0.304 -0.248  0.431 -0.215  0.544 -0.145  0.644 -0.045  0.744 0.055  0.884 0.059
3#app#app37#app3746/}  -0.401 0.959  -0.372 1.049  -0.270 1.090  -0.171 1.139  -0.052 1.139  0.035 1.216  0.137 1.241  0.179 1.318  0.298 1.318  0.407 1.308  0.379 1.200  0.285 1.139  0.184 1.095  0.099 1.011  0.048 0.913  0.048 0.794  0.001 0.686  -0.058 0.584  -0.132 0.495  -0.177 0.420  -0.222 0.346  -0.295 0.257  -0.306 0.151  -0.187 0.151  -0.068 0.151  0.048 0.147  0.048 0.028  0.048 -0.092  -0.042 -0.121  -0.065 -0.231  -0.132 -0.322  -0.132 -0.441  -0.049 -0.478  0.037 -0.557  0.137 -0.582  0.168 -0.688  0.263 -0.747  0.317 -0.813  0.317 -0.932  0.317 -1.051  0.317 -1.170  0.225 -1.198  0.140 -1.283  0.056 -1.367  0.030 -1.465  -0.089 -1.465  -0.186 -1.519  -0.290 -1.555  -0.381 -1.624  -0.491 -1.645
3#app#app37#app3746/;  0.013 1.415  -0.066 1.415  -0.139 1.409  -0.139 1.330  -0.139 1.274  -0.139 1.353  -0.135 1.398  -0.117 1.322  -0.100 1.245  -0.082 1.169  -0.064 1.092  -0.047 1.015  -0.029 0.939  -0.011 0.862  0.006 0.786  0.024 0.709  0.042 0.633  0.059 0.556  0.077 0.480  0.095 0.403  0.112 0.327  0.130 0.250  0.148 0.173  0.165 0.097  0.183 0.020  0.201 -0.056  0.218 -0.133  0.236 -0.209  0.254 -0.286  0.271 -0.362  0.289 -0.439  0.307 -0.516  0.288 -0.582  0.233 -0.637  0.177 -0.693  0.164 -0.766  0.164 -0.845  0.118 -0.904  0.062 -0.959  0.007 -1.015  -0.049 -1.071  -0.105 -1.126  -0.160 -1.182  -0.216 -1.237  -0.271 -1.293  -0.327 -1.348  -0.382 -1.404  -0.438 -1.459  -0.442 -1.536  -0.442 -1.615
3#app#app37#app3746/@  0.104 0.622  -0.066 0.732  -0.236 0.622  -0.443 0.485  -0.443 0.206  -0.443 -0.074  -0.443 -0.353  -0.407 -0.618  -0.268 -0.801  -0.115 -0.674  -0.005 -0.440  0.085 -0.182  0.104 0.093  0.104 0.373  0.213 0.482  0.213 0.203  0.213 -0.077  0.213 -0.357  0.377 -0.473  0.542 -0.358  0.589 -0.097  0.651 0.156  0.651 0.436  0.742 0.694  0.651 0.924  0.542 1.177  0.416 1.405  0.213 1.537  0.050 1.717  -0.196 1.636  -0.282 1.382  -0.408 1.132  -0.533 0.882  -0.658 0.631  -0.678 0.356  -0.767 0.090  -0.772 -0.188  -0.772 -0.468  -0.772 -0.748  -0.767 -1.025  -0.646 -1.255  -0.421 -1.414  -0.197 -1.567  0.083 -1.567  0.287 -1.385  0.486 -1.242  0.650 -1.021  0.816 -0.800  0.870 -0.533  0.870 -0.254
3#app#app37#app3746/e  -0.508 -0.505  -0.392 -0.388  -0.275 -0.271  -0.128 -0.229  -0.036 -0.111  0.038 0.036  0.152 0.155  0.236 0.295  0.310 0.442  0.421 0.563  0.457 0.713  0.557 0.837  0.673 0.953  0.733 1.093  0.733 1.258  0.600 1.289  0.441 1.305  0.325 1.422  0.162 1.427  0.044 1.381  -0.008 1.237  -0.125 1.121  -0.238 1.002  -0.312 0.854  -0.370 0.703  -0.370 0.538  -0.433 0.399  -0.508 0.265  -0.508 0.100  -0.588 -0.032  -0.646 -0.172  -0.646 -0.337  -0.646 -0.502  -0.646 -0.667  -0.623 -0.827  -0.550 -0.974  -0.508 -1.129  -0.409 -1.195  -0.370 -1.321  -0.217 -1.333  -0.052 -1.333  0.113 -1.333  0.182 -1.236  0.269 -1.107  0.413 -1.057  0.511 -0.949  0.585 -0.802  0.695 -0.681  0.733 -0.532  0.733 -0.367
3#app#app37#app3746/a  0.488 1.458  0.289 1.458  0.090 1.458  -0.027 1.375  -0.105 1.208  -0.228 1.055  -0.317 0.877  -0.370 0.690  -0.370 0.491  -0.466 0.332  -0.542 0.164  -0.595 -0.023  -0.684 -0.201  -0.713 -0.393  -0.713 -0.592  -0.713 -0.791  -0.745 -0.977  -0.885 -1.118  -0.865 -1.309  -0.724 -1.450  -0.529 -1.460  -0.342 -1.431  -0.201 -1.291  -0.181 -1.100  -0.041 -0.959  -0.023 -0.766  0.066 -0.588  0.145 -0.408  0.145 -0.208  0.145 -0.009  0.219 0.159  0.316 0.318  0.379 0.491  0.488 0.645  0.488 0.844  0.488 1.043  0.488 1.242  0.488 1.130  0.488 0.931  0.488 0.732  0.488 0.533  0.488 0.334  0.488 0.135  0.488 -0.064  0.488 -0.263  0.465 -0.453  0.324 -0.594  0.328 -0.785  0.468 -0.926  0.660 -0.945
3#app#app37#app3746/s  -0.094 1.550  -0.236 1.550  -0.312 1.443  -0.375 1.316  -0.448 1.196  -0.548 1.096  -0.586 0.970  -0.633 0.847  -0.733 0.747  -0.750 0.612  -0.750 0.470  -0.750 0.328  -0.750 0.186  -0.721 0.074  -0.579 0.074  -0.437 0.074  -0.295 0.074  -0.153 0.074  -0.036 0.132  0.065 0.233  0.204 0.238  0.346 0.238  0.488 0.238  0.562 0.306  0.607 0.402  0.749 0.402  0.891 0.402  1.033 0.402  1.054 0.281  1.054 0.139  1.000 0.020  0.899 -0.081  0.799 -0.181  0.726 -0.292  0.715 -0.429  0.614 -0.530  0.514 -0.630  0.414 -0.730  0.278 -0.746  0.136 -0.746  0.017 -0.799  -0.084 -0.900  -0.184 -1.000  -0.284 -1.100  -0.385 -1.200  -0.422 -1.327  -0.489 -1.402  -0.630 -1.402  -0.750 -1.380  -0.750 -1.238
3#app#app37#app3746/e  -0.436 -0.292  -0.324 -0.180  -0.211 -0.067  -0.099 0.045  -0.003 0.164  0.024 0.312  0.136 0.425  0.147 0.580  0.259 0.692  0.372 0.805  0.431 0.939  0.431 1.098  0.431 1.257  0.431 1.416  0.297 1.442  0.139 1.440  0.027 1.327  -0.086 1.215  -0.198 1.102  -0.311 0.990  -0.423 0.877  -0.436 0.724  -0.506 0.581  -0.577 0.439  -0.583 0.281  -0.654 0.139  -0.725 -0.003  -0.725 -0.162  -0.725 -0.321  -0.725 -0.481  -0.725 -0.640  -0.674 -0.777  -0.581 -0.898  -0.539 -1.015  -0.396 -1.055  -0.284 -1.167  -0.171 -1.280  -0.022 -1.304  0.137 -1.304  0.251 -1.195  0.395 -1.159  0.518 -1.072  0.630 -0.960  0.720 -0.838  0.720 -0.679  0.763 -0.538  0.876 -0.425  0.988 -0.313  1.009 -0.162  1.009 -0.003
3#app#app37#app3746/@  0.098 0.331  0.070 0.562  -0.189 0.562  -0.362 0.476  -0.477 0.265  -0.477 0.006  -0.477 -0.253  -0.477 -0.512  -0.296 -0.590  -0.065 -0.523  0.017 -0.292  0.098 -0.053  0.098 0.206  0.098 0.198  0.098 -0.061  0.098 -0.320  0.203 -0.475  0.423 -0.381  0.546 -0.155  0.559 0.101  0.674 0.333  0.674 0.592  0.674 0.850  0.674 1.109  0.592 1.334  0.491 1.551  0.308 1.692  0.088 1.598  -0.126 1.489  -0.244 1.259  -0.402 1.058  -0.518 0.827  -0.592 0.585  -0.646 0.339  -0.746 0.101  -0.823 -0.145  -0.823 -0.404  -0.823 -0.663  -0.823 -0.922  -0.713 -1.155  -0.533 -1.340  -0.345 -1.511  -0.086 -1.511  0.151 -1.458  0.334 -1.275  0.517 -1.092  0.700 -0.909  0.802 -0.692  0.955 -0.488  1.020 -0.244
3#app#app37#app3746/l  0.146 1.471  0.093 1.524  0.039 1.577  0.006 1.582  0.006 1.507  0.006 1.431  0.006 1.356  0.006 1.281  0.006 1.206  0.006 1.130  0.006 1.055  0.006 0.980  0.006 0.905  0.006 0.829  0.006 0.754  0.006 0.679  0.006 0.604  0.006 0.529  0.006 0.453  0.006 0.378  0.006 0.303  0.006 0.228  0.006 0.152  0.006 0.077  0.006 0.002  0.006 -0.073  0.006 -0.149  0.006 -0.224  0.006 -0.299  0.006 -0.374  0.006 -0.450  0.006 -0.525  0.006 -0.600  0.006 -0.675  0.006 -0.750  0.006 -0.826  0.006 -0.901  0.006 -0.976  -0.004 -1.042  -0.079 -1.042  -0.133 -1.062  -0.133 -1.138  -0.133 -1.213  -0.133 -1.288  -0.091 -1.321  -0.016 -1.321  0.006 -1.374  0.006 -1.449  0.071 -1.460  0.146 -1.460
3#app#app37#app3746/a  0.413 1.545  0.220 1.528  0.079 1.387  -0.113 1.369  -0.255 1.229  -0.291 1.044  -0.413 0.895  -0.554 0.754  -0.643 0.591  -0.643 0.392  -0.697 0.205  -0.787 0.026  -0.819 -0.166  -0.819 -0.366  -0.819 -0.565  -0.819 -0.765  -0.819 -0.965  -0.769 -1.144  -0.621 -1.270  -0.422 -1.270  -0.222 -1.270  -0.049 -1.204  0.061 -1.050  0.061 -0.850  0.125 -0.677  0.237 -0.524  0.237 -0.324  0.277 -0.134  0.366 0.045  0.413 0.233  0.413 0.433  0.413 0.633  0.413 0.832  0.589 0.856  0.589 1.056  0.589 1.131  0.589 0.932  0.589 0.732  0.494 0.571  0.413 0.405  0.413 0.206  0.413 0.006  0.303 -0.148  0.237 -0.320  0.237 -0.520  0.237 -0.720  0.237 -0.919  0.237 -1.119  0.272 -1.304  0.413 -1.445
3#app#app37#app3746/s  0.759 1.132  0.610 1.132  0.460 1.132  0.311 1.132  0.161 1.132  0.012 1.132  -0.137 1.132  -0.278 1.110  -0.383 1.004  -0.501 0.929  -0.651 0.929  -0.760 0.831  -0.865 0.725  -0.971 0.620  -1.068 0.510  -1.068 0.361  -1.068 0.211  -1.068 0.062  -1.066 -0.086  -0.916 -0.086  -0.767 -0.086  -0.618 -0.086  -0.468 -0.086  -0.319 -0.086  -0.169 -0.086  -0.020 -0.086  0.129 -0.086  0.279 -0.086  0.428 -0.086  0.571 -0.101  0.677 -0.207  0.792 -0.289  0.942 -0.289  1.053 -0.380  1.159 -0.486  1.165 -0.633  1.078 -0.695  0.928 -0.695  0.779 -0.695  0.759 -0.824  0.683 -0.898  0.534 -0.898  0.384 -0.898  0.235 -0.898  0.085 -0.898  -0.064 -0.898  -0.213 -0.898  -0.363 -0.898  -0.512 -0.898  -0.662 -0.898
3#app#app37#app3746/t  -0.125 1.954  -0.125 2.048  -0.125 1.850  -0.125 1.651  -0.125 1.453  -0.125 1.255  -0.125 1.057  -0.125 0.859  -0.125 0.661  -0.125 0.463  -0.163 0.274  -0.252 0.096  -0.271 -0.097  -0.271 -0.295  -0.271 -0.494  -0.271 -0.692  -0.219 -0.868  -0.125 -1.027  -0.125 -1.226  0.021 -1.278  0.097 -1.400  0.296 -1.400  0.348 -1.254  0.520 -1.192  0.640 -1.037  0.728 -0.860  0.754 -0.670  0.936 -0.631  1.042 -0.476  1.042 -0.278  1.035 -0.087  0.837 -0.073  0.639 -0.058  0.442 -0.044  0.244 -0.030  0.047 -0.016  -0.151 -0.002  -0.349 0.012  -0.546 0.026  -0.744 0.040  -0.942 0.054  -1.140 0.059  -0.954 0.059  -0.755 0.059  -0.559 0.062  -0.419 0.202  -0.236 0.239  -0.084 0.350  0.114 0.350  0.313 0.350
3#app#app37#app3746/.  -0.125 1.954  -0.125 2.048  -0.125 1.850  -0.125 1.651  -0.125 1.453  -0.125 1.255  -0.125 1.057  -0.125 0.859  -0.125 0.661  -0.125 0.463  -0.163 0.274  -0.252 0.096  -0.271 -0.097  -0.271 -0.295  -0.271 -0.494  -0.271 -0.692  -0.219 -0.868  -0.125 -1.027  -0.125 -1.226  0.021 -1.278  0.097 -1.400  0.296 -1.400  0.348 -1.254  0.520 -1.192  0.640 -1.037  0.728 -0.860  0.754 -0.670  0.936 -0.631  1.042 -0.476  1.042 -0.278  1.035 -0.087  0.837 -0.073  0.639 -0.058  0.442 -0.044  0.244 -0.030  0.047 -0.016  -0.151 -0.002  -0.349 0.012  -0.546 0.026  -0.744 0.040  -0.942 0.054  -1.140 0.059  -0.954 0.059  -0.755 0.059  -0.559 0.062  -0.419 0.202  -0.236 0.239  -0.084 0.350  0.114 0.350  0.313 0.350
