1c#app#app13#app1340/f  -0.219 0.809  -0.219 0.551  -0.219 0.293  -0.195 0.045  -0.071 -0.161  -0.071 -0.419  -0.071 -0.677  -0.071 -0.935  -0.071 -1.193  -0.071 -1.451  -0.071 -1.709  -0.150 -1.776  -0.219 -1.547  -0.219 -1.289  -0.219 -1.031  -0.356 -0.830  -0.367 -0.577  -0.367 -0.319  -0.354 -0.066  -0.219 0.136  -0.219 0.394  -0.219 0.651  -0.219 0.909  -0.175 1.149  -0.071 1.364  0.002 1.549  0.260 1.549  0.475 1.446  0.694 1.314  0.902 1.167  1.134 1.105  1.261 0.974  1.066 0.814  0.858 0.662  0.650 0.509  0.443 0.357  0.235 0.204  0.027 0.052  -0.181 -0.101  -0.389 -0.253  -0.597 -0.406  -0.805 -0.558  -0.912 -0.624  -0.696 -0.523  -0.462 -0.422  -0.363 -0.227  -0.105 -0.227  0.153 -0.227  0.411 -0.227  0.669 -0.227
1c#app#app13#app1340/d  -0.160 0.317  -0.305 0.317  -0.450 0.317  -0.575 0.267  -0.678 0.165  -0.708 0.032  -0.754 -0.094  -0.856 -0.197  -0.890 -0.328  -0.890 -0.473  -0.913 -0.596  -1.058 -0.596  -1.073 -0.726  -1.073 -0.871  -1.033 -1.000  -0.931 -1.102  -0.803 -1.143  -0.657 -1.143  -0.516 -1.134  -0.413 -1.031  -0.298 -0.961  -0.160 -0.953  -0.160 -0.808  -0.079 -0.696  0.024 -0.594  0.127 -0.491  0.229 -0.389  0.332 -0.286  0.387 -0.164  0.400 -0.022  0.465 0.108  0.530 0.238  0.570 0.374  0.570 0.519  0.570 0.664  0.570 0.809  0.633 0.928  0.736 1.031  0.752 1.169  0.752 1.314  0.752 1.365  0.752 1.220  0.752 1.075  0.752 0.930  0.752 0.785  0.752 0.639  0.752 0.494  0.752 0.349  0.832 0.237  0.935 0.134
1c#app#app13#app1340/k  -0.589 1.552  -0.589 1.327  -0.589 1.101  -0.589 0.875  -0.589 0.650  -0.589 0.424  -0.589 0.198  -0.589 -0.027  -0.589 -0.253  -0.589 -0.479  -0.801 -0.492  -0.816 -0.703  -0.816 -0.928  -0.816 -1.154  -0.695 -1.007  -0.563 -0.825  -0.430 -0.642  -0.297 -0.460  -0.164 -0.277  -0.032 -0.095  0.101 0.088  0.234 0.270  0.366 0.453  0.499 0.635  0.632 0.818  0.765 1.000  0.897 1.183  0.966 1.290  0.806 1.131  0.774 0.918  0.596 0.871  0.422 0.746  0.238 0.644  0.092 0.564  0.014 0.416  -0.135 0.340  -0.188 0.136  -0.347 -0.023  -0.362 -0.243  -0.362 -0.468  -0.219 -0.635  -0.029 -0.719  0.092 -0.824  0.195 -0.947  0.421 -0.947  0.617 -1.017  0.778 -1.174  1.004 -1.174  1.228 -1.172  1.228 -0.947
1c#app#app13#app1340/n  -1.208 0.306  -1.208 0.189  -1.208 0.073  -1.208 -0.044  -1.208 -0.160  -1.208 -0.277  -1.208 -0.393  -1.208 -0.510  -1.208 -0.627  -1.208 -0.743  -1.127 -0.780  -1.011 -0.780  -0.894 -0.780  -0.778 -0.780  -0.694 -0.700  -0.612 -0.618  -0.529 -0.536  -0.447 -0.453  -0.364 -0.371  -0.258 -0.345  -0.142 -0.345  -0.079 -0.259  -0.027 -0.155  0.025 -0.050  0.078 0.054  0.150 0.144  0.232 0.226  0.315 0.308  0.397 0.391  0.479 0.473  0.529 0.569  0.529 0.686  0.573 0.784  0.656 0.866  0.738 0.949  0.851 0.957  0.963 0.953  0.963 0.836  0.963 0.719  0.963 0.603  0.963 0.486  0.963 0.370  0.963 0.253  0.963 0.137  0.963 0.020  0.963 -0.096  0.963 -0.213  0.963 -0.329  0.963 -0.446  0.963 -0.563
1c#app#app13#app1340/e  -1.098 -0.419  -0.927 -0.419  -0.756 -0.419  -0.585 -0.419  -0.414 -0.419  -0.243 -0.419  -0.072 -0.419  0.099 -0.419  0.225 -0.375  0.225 -0.204  0.347 -0.155  0.489 -0.127  0.489 0.044  0.564 0.184  0.685 0.305  0.754 0.447  0.754 0.618  0.754 0.789  0.754 0.960  0.754 1.131  0.620 1.168  0.489 1.208  0.489 1.379  0.372 1.433  0.225 1.408  0.225 1.237  0.124 1.168  -0.040 1.160  -0.040 0.989  -0.100 0.843  -0.221 0.722  -0.304 0.586  -0.304 0.415  -0.304 0.244  -0.330 0.084  -0.451 -0.037  -0.569 -0.159  -0.569 -0.330  -0.569 -0.501  -0.569 -0.672  -0.569 -0.843  -0.523 -0.995  -0.402 -1.115  -0.272 -1.213  -0.101 -1.213  -0.040 -1.323  -0.023 -1.478  0.148 -1.478  0.319 -1.478  0.489 -1.478
1c#app#app13#app1340/w  -1.387 0.679  -1.264 0.679  -1.204 0.617  -1.204 0.494  -1.204 0.371  -1.204 0.248  -1.204 0.126  -1.204 0.003  -1.204 -0.120  -1.197 -0.235  -1.074 -0.235  -1.021 -0.305  -1.011 -0.417  -0.889 -0.417  -0.766 -0.417  -0.650 -0.406  -0.595 -0.296  -0.541 -0.187  -0.486 -0.077  -0.378 -0.052  -0.290 -0.017  -0.290 0.105  -0.222 0.200  -0.135 0.286  -0.048 0.373  0.039 0.460  0.146 0.496  0.258 0.485  0.258 0.363  0.331 0.314  0.441 0.300  0.441 0.177  0.441 0.055  0.457 -0.052  0.579 -0.052  0.623 -0.131  0.642 -0.235  0.765 -0.235  0.806 -0.316  0.827 -0.417  0.950 -0.417  1.073 -0.417  1.195 -0.417  1.318 -0.417  1.354 -0.331  1.373 -0.216  1.460 -0.129  1.546 -0.043  1.633 0.044  1.720 0.131
1c#app#app13#app1340/t  0.434 0.446  0.590 0.446  0.623 0.324  0.534 0.257  0.434 0.201  0.434 0.045  0.434 -0.110  0.331 -0.223  0.246 -0.343  0.246 -0.499  0.246 -0.654  0.246 -0.810  0.246 -0.966  0.246 -1.121  0.246 -1.277  0.246 -1.432  0.246 -1.588  0.191 -1.528  0.118 -1.391  0.044 -1.254  -0.030 -1.117  -0.104 -0.980  -0.177 -0.843  -0.251 -0.706  -0.325 -0.569  -0.399 -0.432  -0.472 -0.295  -0.546 -0.158  -0.620 -0.021  -0.694 0.116  -0.768 0.253  -0.841 0.390  -0.915 0.527  -0.989 0.664  -1.063 0.801  -0.945 0.823  -0.789 0.823  -0.634 0.823  -0.478 0.823  -0.322 0.823  -0.167 0.823  -0.024 0.877  0.115 0.947  0.255 1.012  0.411 1.012  0.567 1.012  0.722 1.012  0.878 1.012  1.033 1.012  1.189 1.012
1c#app#app13#app1340/h  -0.180 1.706  -0.270 1.616  -0.352 1.523  -0.352 1.396  -0.352 1.268  -0.400 1.188  -0.525 1.186  -0.525 1.059  -0.525 0.932  -0.525 0.804  -0.525 0.677  -0.525 0.550  -0.525 0.423  -0.546 0.304  -0.636 0.214  -0.697 0.112  -0.697 -0.015  -0.697 -0.142  -0.697 -0.270  -0.697 -0.397  -0.697 -0.524  -0.697 -0.652  -0.697 -0.779  -0.674 -0.883  -0.547 -0.883  -0.419 -0.883  -0.310 -0.840  -0.220 -0.750  -0.130 -0.660  -0.040 -0.570  0.050 -0.480  0.140 -0.390  0.230 -0.300  0.320 -0.210  0.410 -0.120  0.500 -0.030  0.590 0.060  0.681 0.150  0.807 0.153  0.856 0.075  0.856 -0.053  0.856 -0.180  0.856 -0.307  0.905 -0.414  0.995 -0.504  1.028 -0.618  1.053 -0.735  1.143 -0.825  1.201 -0.928  1.201 -1.055
1c#app#app13#app1340/a  0.676 1.163  0.550 1.163  0.424 1.163  0.298 1.163  0.172 1.163  0.046 1.163  -0.080 1.163  -0.127 1.083  -0.127 0.957  -0.172 0.850  -0.261 0.761  -0.350 0.672  -0.458 0.627  -0.584 0.627  -0.663 0.580  -0.663 0.454  -0.685 0.337  -0.774 0.248  -0.863 0.159  -0.930 0.060  -0.930 -0.066  -0.930 -0.192  -0.930 -0.318  -0.930 -0.444  -0.930 -0.570  -0.930 -0.696  -0.820 -0.711  -0.694 -0.711  -0.567 -0.711  -0.441 -0.711  -0.315 -0.711  -0.189 -0.711  -0.063 -0.711  0.063 -0.711  0.175 -0.677  0.264 -0.588  0.353 -0.499  0.442 -0.410  0.531 -0.321  0.620 -0.232  0.723 -0.176  0.849 -0.176  0.966 -0.198  1.055 -0.288  1.144 -0.377  1.211 -0.475  1.211 -0.601  1.211 -0.727  1.211 -0.853  1.211 -0.979
1c#app#app13#app1340/t  -0.360 1.477  -0.360 1.295  -0.360 1.113  -0.360 0.931  -0.360 0.749  -0.360 0.567  -0.360 0.385  -0.360 0.203  -0.360 0.021  -0.360 -0.161  -0.360 -0.343  -0.360 -0.525  -0.360 -0.707  -0.360 -0.889  -0.331 -1.060  -0.203 -1.189  -0.074 -1.317  -0.001 -1.469  -0.001 -1.651  -0.012 -1.664  -0.034 -1.483  -0.057 -1.303  -0.080 -1.122  -0.102 -0.941  -0.125 -0.761  -0.147 -0.580  -0.170 -0.399  -0.192 -0.219  -0.215 -0.038  -0.238 0.143  -0.260 0.323  -0.283 0.504  -0.305 0.685  -0.328 0.865  -0.351 1.046  -0.360 1.011  -0.360 0.828  -0.279 0.680  -0.150 0.551  -0.021 0.422  0.152 0.402  0.334 0.402  0.516 0.402  0.698 0.402  0.880 0.402  1.063 0.402  1.245 0.402  1.427 0.402  1.609 0.402  1.791 0.402
1c#app#app13#app1340/s  0.974 1.294  0.846 1.294  0.718 1.294  0.591 1.294  0.463 1.294  0.336 1.294  0.224 1.255  0.134 1.165  0.026 1.117  -0.098 1.110  -0.188 1.019  -0.283 0.940  -0.410 0.940  -0.446 0.847  -0.488 0.762  -0.616 0.762  -0.623 0.642  -0.623 0.514  -0.623 0.387  -0.623 0.259  -0.623 0.131  -0.623 0.004  -0.623 -0.124  -0.496 -0.125  -0.446 -0.202  -0.418 -0.302  -0.291 -0.302  -0.163 -0.302  -0.036 -0.302  0.092 -0.302  0.219 -0.302  0.264 -0.385  0.297 -0.479  0.425 -0.479  0.552 -0.479  0.619 -0.541  0.607 -0.657  0.480 -0.657  0.441 -0.746  0.441 -0.874  0.441 -1.001  0.324 -1.012  0.216 -1.059  0.126 -1.149  0.015 -1.189  -0.091 -1.211  -0.091 -1.338  -0.190 -1.366  -0.318 -1.366  -0.446 -1.366
1c#app#app13#app1340/o  -0.346 0.814  -0.491 0.814  -0.585 0.764  -0.585 0.619  -0.585 0.474  -0.591 0.336  -0.736 0.336  -0.824 0.280  -0.824 0.135  -0.824 -0.010  -0.824 -0.154  -0.824 -0.299  -0.824 -0.443  -0.824 -0.588  -0.824 -0.733  -0.824 -0.877  -0.824 -1.022  -0.755 -1.097  -0.610 -1.097  -0.466 -1.097  -0.321 -1.097  -0.176 -1.097  -0.032 -1.097  0.113 -1.097  0.221 -1.008  0.323 -0.906  0.425 -0.804  0.527 -0.702  0.629 -0.599  0.732 -0.497  0.834 -0.395  0.848 -0.256  0.848 -0.112  0.848 0.033  0.848 0.177  0.848 0.322  0.848 0.467  0.848 0.611  0.848 0.756  0.848 0.900  0.848 1.045  0.712 1.053  0.567 1.053  0.422 1.053  0.278 1.053  0.133 1.053  0.132 0.910  0.097 0.779  -0.005 0.677  -0.107 0.575
1c#app#app13#app1340/m  -1.152 0.757  -1.152 0.612  -1.152 0.468  -1.152 0.324  -1.152 0.180  -1.152 0.035  -1.152 -0.109  -1.152 -0.253  -1.152 -0.397  -1.152 -0.541  -1.106 -0.640  -0.967 -0.629  -0.865 -0.527  -0.803 -0.408  -0.776 -0.291  -0.632 -0.291  -0.629 -0.150  -0.629 -0.006  -0.572 0.115  -0.470 0.217  -0.332 0.233  -0.279 0.324  -0.279 0.468  -0.249 0.582  -0.105 0.582  0.040 0.582  0.070 0.468  0.070 0.324  0.107 0.195  0.209 0.093  0.244 -0.037  0.309 -0.116  0.443 -0.092  0.545 0.010  0.669 0.058  0.768 0.104  0.783 0.233  0.927 0.233  1.034 0.324  1.136 0.389  1.238 0.287  1.292 0.165  1.292 0.021  1.292 -0.124  1.292 -0.268  1.292 -0.412  1.292 -0.556  1.292 -0.701  1.292 -0.845  1.292 -0.989
1c#app#app13#app1340/e  -1.264 -0.170  -1.152 -0.282  -1.041 -0.393  -0.902 -0.440  -0.745 -0.440  -0.587 -0.440  -0.429 -0.440  -0.271 -0.440  -0.113 -0.440  0.044 -0.440  0.168 -0.357  0.279 -0.246  0.391 -0.134  0.502 -0.023  0.614 0.089  0.624 0.242  0.624 0.400  0.624 0.558  0.624 0.716  0.624 0.873  0.624 1.031  0.624 1.189  0.624 1.347  0.568 1.448  0.410 1.448  0.355 1.346  0.355 1.188  0.207 1.178  0.085 1.143  0.085 0.985  0.027 0.851  -0.084 0.739  -0.185 0.623  -0.185 0.466  -0.185 0.308  -0.185 0.150  -0.185 -0.008  -0.185 -0.165  -0.185 -0.323  -0.185 -0.481  -0.185 -0.639  -0.185 -0.796  -0.185 -0.954  -0.185 -1.112  -0.185 -1.270  -0.185 -1.428  -0.119 -1.519  0.039 -1.519  0.085 -1.631  0.085 -1.789
