2#tos#f1#f1009062/\"  -0.677 0.301  -0.829 0.301  -0.981 0.301  -0.945 0.247  -0.878 0.162  -0.942 0.036  -1.093 0.033  -1.114 0.100  -1.029 0.167  -1.010 0.033  -0.945 -0.053  -1.012 -0.177  -1.107 -0.235  -1.213 -0.189  -1.082 -0.168  -1.079 -0.317  -1.079 -0.469  -1.079 -0.621  -1.018 -0.671  -0.884 -0.598  -0.751 -0.525  -0.617 -0.452  -0.483 -0.379  -0.350 -0.306  -0.216 -0.233  -0.083 -0.161  0.051 -0.088  0.184 -0.015  0.318 0.058  0.451 0.131  0.585 0.204  0.719 0.276  0.852 0.349  0.986 0.422  1.119 0.495  1.135 0.502  1.262 0.440  1.267 0.290  1.246 0.146  1.113 0.100  0.998 0.138  1.055 0.234  1.133 0.160  1.107 0.033  0.998 0.077  1.004 0.100  1.145 0.100  1.230 0.033  1.267 -0.083  1.267 -0.235
2#tos#f1#f1009062/;  0.103 1.323  0.024 1.303  -0.056 1.283  -0.135 1.263  -0.161 1.201  -0.161 1.262  -0.139 1.323  -0.058 1.323  -0.029 1.270  -0.077 1.208  -0.152 1.191  -0.160 1.118  -0.150 1.037  -0.139 0.956  -0.129 0.875  -0.119 0.794  -0.109 0.713  -0.099 0.632  -0.089 0.551  -0.079 0.470  -0.068 0.389  -0.058 0.308  -0.048 0.227  -0.038 0.146  -0.028 0.064  -0.018 -0.017  -0.008 -0.098  0.002 -0.179  0.013 -0.260  0.023 -0.341  0.033 -0.422  0.043 -0.503  0.053 -0.584  0.063 -0.665  0.073 -0.746  0.083 -0.827  0.094 -0.908  0.103 -0.989  0.126 -1.047  0.169 -1.087  0.169 -1.168  0.234 -1.184  0.234 -1.266  0.234 -1.347  0.234 -1.429  0.166 -1.442  0.084 -1.442  0.003 -1.442  -0.029 -1.392  -0.029 -1.442
2#tos#f1#f1009062/<  0.739 1.603  0.648 1.586  0.624 1.488  0.543 1.421  0.435 1.421  0.341 1.387  0.284 1.303  0.284 1.195  0.284 1.087  0.229 1.002  0.167 0.915  0.119 0.818  0.103 0.714  0.103 0.606  0.003 0.570  -0.100 0.536  -0.181 0.480  -0.215 0.378  -0.249 0.275  -0.324 0.208  -0.421 0.160  -0.502 0.090  -0.534 -0.005  -0.534 -0.113  -0.540 -0.215  -0.648 -0.215  -0.756 -0.215  -0.806 -0.272  -0.754 -0.359  -0.662 -0.397  -0.554 -0.397  -0.446 -0.397  -0.428 -0.488  -0.320 -0.488  -0.261 -0.536  -0.202 -0.608  -0.106 -0.656  -0.001 -0.670  0.012 -0.765  0.033 -0.851  0.120 -0.886  0.168 -0.983  0.245 -1.033  0.346 -1.064  0.443 -1.112  0.548 -1.124  0.601 -1.212  0.650 -1.308  0.727 -1.385  0.739 -1.488
2#tos#f1#f1009062/>  -0.557 1.384  -0.635 1.306  -0.714 1.227  -0.792 1.149  -0.886 1.133  -0.777 1.123  -0.671 1.088  -0.566 1.053  -0.539 0.966  -0.433 0.946  -0.334 0.897  -0.235 0.847  -0.137 0.797  -0.058 0.718  0.020 0.640  0.099 0.561  0.204 0.549  0.315 0.549  0.382 0.488  0.417 0.383  0.467 0.298  0.529 0.249  0.529 0.138  0.627 0.117  0.709 0.047  0.780 0.007  0.847 -0.036  0.768 -0.036  0.675 -0.068  0.613 -0.160  0.552 -0.253  0.529 -0.356  0.515 -0.454  0.405 -0.454  0.314 -0.502  0.235 -0.580  0.157 -0.659  0.079 -0.737  -0.011 -0.788  -0.103 -0.835  -0.139 -0.931  -0.139 -1.041  -0.139 -1.152  -0.197 -1.206  -0.306 -1.207  -0.332 -1.302  -0.431 -1.352  -0.518 -1.418  -0.557 -1.512  -0.557 -1.623
2#tos#f1#f1009062/@  0.484 -1.343  0.386 -1.443  0.188 -1.443  0.052 -1.543  -0.146 -1.543  -0.344 -1.543  -0.480 -1.443  -0.528 -1.293  -0.566 -1.133  -0.616 -0.985  -0.666 -0.837  -0.666 -0.639  -0.616 -0.491  -0.616 -0.293  -0.573 -0.105  -0.566 0.091  -0.516 0.277  -0.516 0.475  -0.416 0.611  -0.366 0.759  -0.331 0.943  -0.216 1.093  -0.092 1.219  -0.015 1.358  0.183 1.358  0.360 1.408  0.534 1.383  0.684 1.297  0.684 1.099  0.684 0.901  0.684 0.703  0.684 0.505  0.634 0.357  0.634 0.159  0.534 0.023  0.502 -0.143  0.384 -0.261  0.288 -0.393  0.190 -0.493  -0.007 -0.493  -0.166 -0.453  -0.203 -0.293  -0.216 -0.108  -0.216 0.090  -0.185 0.257  -0.116 0.386  0.034 0.434  0.188 0.507  0.386 0.507  0.584 0.507
2#tos#f1#f1009062/_  -1.293 0.094  -1.366 0.094  -1.439 0.093  -1.440 0.021  -1.510 0.021  -1.437 0.021  -1.364 0.021  -1.291 0.021  -1.218 0.021  -1.144 0.021  -1.071 0.021  -0.998 0.021  -0.925 0.021  -0.852 0.021  -0.779 0.021  -0.706 0.021  -0.633 0.021  -0.559 0.021  -0.486 0.021  -0.413 0.021  -0.340 0.021  -0.267 0.021  -0.194 0.021  -0.121 0.021  -0.047 0.021  0.026 0.021  0.099 0.021  0.172 0.021  0.245 0.021  0.318 0.021  0.391 0.021  0.464 0.021  0.538 0.021  0.611 0.021  0.684 0.021  0.757 0.021  0.830 0.021  0.903 0.021  0.975 0.015  1.040 -0.017  1.106 -0.050  1.179 -0.052  1.252 -0.052  1.254 -0.122  1.325 -0.124  1.398 -0.124  1.472 -0.124  1.545 -0.124  1.618 -0.124  1.691 -0.124
2#tos#f1#f1009062/`  -0.284 1.156  -0.366 1.156  -0.447 1.156  -0.529 1.156  -0.610 1.156  -0.691 1.156  -0.724 1.107  -0.724 1.026  -0.724 0.945  -0.724 0.863  -0.724 0.782  -0.724 0.700  -0.724 0.619  -0.724 0.537  -0.685 0.496  -0.603 0.496  -0.522 0.496  -0.441 0.496  -0.359 0.496  -0.281 0.490  -0.245 0.417  -0.208 0.344  -0.172 0.271  -0.136 0.198  -0.099 0.125  -0.062 0.053  -0.004 -0.004  0.053 -0.062  0.111 -0.120  0.168 -0.177  0.226 -0.235  0.284 -0.292  0.341 -0.350  0.390 -0.413  0.427 -0.486  0.463 -0.559  0.500 -0.632  0.536 -0.705  0.573 -0.778  0.596 -0.854  0.596 -0.935  0.596 -1.016  0.633 -1.082  0.691 -1.140  0.749 -1.198  0.806 -1.255  0.864 -1.313  0.921 -1.370  0.979 -1.428  1.037 -1.486
2#tos#f1#f1009062/}  -0.245 1.520  -0.161 1.520  -0.117 1.476  -0.041 1.442  0.030 1.429  0.070 1.384  0.109 1.339  0.109 1.254  0.109 1.170  0.109 1.086  0.109 1.002  0.070 0.957  0.062 0.874  0.030 0.798  0.030 0.713  0.030 0.629  0.030 0.545  0.030 0.460  0.030 0.376  0.052 0.297  0.114 0.261  0.198 0.261  0.216 0.211  0.156 0.151  0.075 0.143  0.030 0.081  0.030 -0.004  0.030 -0.088  -0.009 -0.133  -0.009 -0.217  -0.009 -0.301  -0.009 -0.386  -0.009 -0.470  -0.009 -0.554  -0.009 -0.638  -0.009 -0.723  -0.009 -0.807  -0.009 -0.891  -0.009 -0.976  -0.009 -1.060  -0.009 -1.144  -0.009 -1.228  -0.048 -1.273  -0.048 -1.358  -0.048 -1.442  -0.065 -1.509  -0.127 -1.532  -0.194 -1.548  -0.279 -1.548  -0.363 -1.548
2#tos#f1#f1009062/0  -0.024 1.065  -0.150 1.027  -0.240 0.957  -0.333 0.890  -0.445 0.820  -0.476 0.690  -0.526 0.563  -0.586 0.438  -0.598 0.298  -0.656 0.188  -0.730 0.086  -0.774 -0.045  -0.774 -0.187  -0.774 -0.328  -0.774 -0.470  -0.774 -0.611  -0.768 -0.750  -0.730 -0.876  -0.721 -1.009  -0.598 -1.027  -0.505 -1.105  -0.413 -1.185  -0.289 -1.202  -0.175 -1.230  -0.043 -1.185  0.075 -1.130  0.175 -1.030  0.287 -0.949  0.389 -0.872  0.441 -0.741  0.541 -0.647  0.664 -0.577  0.692 -0.448  0.761 -0.347  0.770 -0.214  0.770 -0.073  0.770 0.069  0.770 0.210  0.770 0.352  0.770 0.493  0.770 0.635  0.741 0.770  0.726 0.908  0.638 0.995  0.556 1.102  0.436 1.153  0.294 1.153  0.153 1.153  0.027 1.115  -0.112 1.109
2#tos#f1#f1009062/1  -0.583 1.047  -0.685 0.985  -0.652 0.893  -0.537 0.844  -0.412 0.841  -0.286 0.841  -0.161 0.841  -0.035 0.841  0.034 0.898  0.062 0.996  0.183 1.019  0.247 1.106  0.300 1.210  0.342 1.318  0.342 1.370  0.293 1.256  0.291 1.130  0.291 1.004  0.291 0.879  0.291 0.753  0.291 0.627  0.291 0.502  0.291 0.376  0.291 0.250  0.256 0.139  0.240 0.020  0.240 -0.106  0.240 -0.232  0.240 -0.357  0.240 -0.483  0.240 -0.609  0.240 -0.735  0.234 -0.856  0.113 -0.891  -0.008 -0.927  -0.128 -0.962  -0.249 -0.998  -0.369 -1.033  -0.490 -1.069  -0.611 -1.104  -0.685 -1.161  -0.561 -1.163  -0.435 -1.163  -0.309 -1.163  -0.184 -1.163  -0.058 -1.163  0.068 -1.163  0.194 -1.163  0.319 -1.163  0.445 -1.163
2#tos#f1#f1009062/2  -0.237 0.305  -0.397 0.305  -0.466 0.395  -0.625 0.397  -0.696 0.521  -0.696 0.681  -0.696 0.841  -0.607 0.946  -0.509 1.046  -0.401 1.131  -0.241 1.131  -0.113 1.209  0.041 1.223  0.201 1.223  0.361 1.223  0.475 1.177  0.543 1.086  0.682 1.038  0.682 0.878  0.728 0.763  0.774 0.622  0.774 0.462  0.739 0.317  0.645 0.223  0.554 0.121  0.532 -0.016  0.406 -0.051  0.304 -0.108  0.223 -0.187  0.076 -0.200  0.008 -0.292  -0.137 -0.330  -0.242 -0.409  -0.328 -0.498  -0.373 -0.613  -0.441 -0.705  -0.466 -0.840  -0.558 -0.943  -0.589 -1.073  -0.650 -1.172  -0.574 -1.256  -0.414 -1.256  -0.346 -1.164  -0.186 -1.164  -0.026 -1.164  0.134 -1.164  0.294 -1.164  0.454 -1.164  0.614 -1.164  0.774 -1.164
2#tos#f1#f1009062/3  -0.093 0.689  -0.249 0.644  -0.416 0.644  -0.564 0.689  -0.628 0.826  -0.628 0.992  -0.547 1.126  -0.403 1.180  -0.255 1.224  -0.088 1.224  0.079 1.224  0.245 1.224  0.356 1.132  0.454 1.017  0.572 0.956  0.631 0.822  0.709 0.734  0.678 0.600  0.620 0.490  0.523 0.421  0.442 0.301  0.353 0.224  0.219 0.154  0.085 0.094  -0.052 0.065  -0.218 0.065  -0.157 0.065  0.009 0.065  0.131 0.020  0.280 -0.024  0.353 -0.118  0.386 -0.264  0.531 -0.307  0.531 -0.473  0.531 -0.640  0.520 -0.804  0.445 -0.937  0.308 -1.011  0.224 -1.094  0.113 -1.183  -0.048 -1.189  -0.118 -1.329  -0.277 -1.361  -0.443 -1.361  -0.583 -1.334  -0.716 -1.250  -0.878 -1.228  -0.911 -1.094  -1.029 -0.993  -1.029 -0.916
2#tos#f1#f1009062/6  0.519 1.756  0.400 1.712  0.251 1.697  0.130 1.635  -0.002 1.541  -0.062 1.397  -0.148 1.268  -0.254 1.169  -0.331 1.052  -0.331 0.888  -0.375 0.742  -0.418 0.596  -0.420 0.432  -0.420 0.268  -0.439 0.109  -0.465 -0.049  -0.465 -0.214  -0.465 -0.378  -0.465 -0.542  -0.465 -0.706  -0.465 -0.870  -0.415 -0.988  -0.375 -1.146  -0.262 -1.204  -0.118 -1.274  -0.003 -1.330  0.161 -1.330  0.305 -1.279  0.442 -1.189  0.549 -1.091  0.669 -0.986  0.704 -0.832  0.743 -0.683  0.743 -0.519  0.743 -0.355  0.722 -0.212  0.698 -0.072  0.662 0.057  0.588 0.146  0.468 0.191  0.349 0.236  0.185 0.236  0.065 0.191  -0.099 0.191  -0.243 0.144  -0.375 0.087  -0.465 0.012  -0.599 -0.018  -0.599 -0.182  -0.554 -0.301
2#tos#f1#f1009062/7  -0.820 0.808  -0.938 0.808  -1.049 0.776  -1.029 0.753  -0.911 0.753  -0.794 0.753  -0.676 0.753  -0.558 0.753  -0.440 0.753  -0.322 0.753  -0.204 0.753  -0.087 0.753  0.031 0.753  0.149 0.753  0.267 0.753  0.385 0.753  0.500 0.734  0.612 0.698  0.729 0.698  0.792 0.643  0.883 0.616  0.883 0.498  0.784 0.478  0.722 0.423  0.621 0.382  0.514 0.337  0.400 0.314  0.388 0.207  0.337 0.101  0.224 0.094  0.114 0.086  0.107 -0.030  0.059 -0.136  0.004 -0.199  0.004 -0.317  -0.031 -0.401  -0.051 -0.498  -0.051 -0.616  -0.051 -0.733  -0.081 -0.844  -0.106 -0.956  -0.106 -1.074  -0.106 -1.192  -0.127 -1.301  -0.161 -1.405  -0.161 -1.523  -0.161 -1.640  -0.161 -1.758  -0.161 -1.876  -0.161 -1.994
2#tos#f1#f1009062/8  0.670 1.172  0.490 1.141  0.451 1.063  0.319 1.172  0.189 1.281  -0.007 1.291  -0.195 1.335  -0.393 1.335  -0.532 1.234  -0.667 1.172  -0.750 1.056  -0.750 0.858  -0.750 0.660  -0.641 0.571  -0.522 0.443  -0.390 0.309  -0.217 0.243  -0.074 0.189  0.112 0.134  0.227 0.001  0.396 -0.083  0.535 -0.197  0.615 -0.366  0.713 -0.466  0.724 -0.653  0.724 -0.851  0.670 -0.995  0.581 -1.156  0.500 -1.285  0.326 -1.348  0.139 -1.395  -0.059 -1.395  -0.257 -1.395  -0.401 -1.340  -0.465 -1.169  -0.532 -1.027  -0.586 -0.883  -0.641 -0.708  -0.636 -0.511  -0.532 -0.379  -0.477 -0.204  -0.357 -0.117  -0.268 0.025  -0.124 0.080  0.074 0.080  0.163 0.189  0.361 0.189  0.554 0.213  0.744 0.243  0.943 0.243
2#tos#f1#f1009062/C  1.077 0.589  0.962 0.589  0.904 0.646  0.874 0.749  0.808 0.805  0.775 0.886  0.683 0.935  0.611 1.003  0.507 1.021  0.392 1.021  0.278 1.021  0.163 1.021  0.048 1.021  -0.067 1.021  -0.167 0.987  -0.192 0.892  -0.294 0.860  -0.355 0.781  -0.435 0.707  -0.510 0.638  -0.532 0.535  -0.564 0.434  -0.603 0.335  -0.608 0.222  -0.696 0.171  -0.737 0.086  -0.737 -0.029  -0.716 -0.141  -0.694 -0.253  -0.694 -0.368  -0.694 -0.483  -0.643 -0.584  -0.579 -0.677  -0.537 -0.777  -0.517 -0.884  -0.451 -0.976  -0.365 -1.044  -0.295 -1.095  -0.180 -1.095  -0.066 -1.095  0.049 -1.095  0.164 -1.095  0.272 -1.079  0.376 -1.052  0.456 -0.997  0.543 -0.930  0.646 -0.879  0.688 -0.806  0.789 -0.793  0.861 -0.750
2#tos#f1#f1009062/D  -0.280 1.244  -0.389 1.136  -0.334 0.942  -0.334 0.726  -0.334 0.510  -0.334 0.293  -0.389 0.090  -0.389 -0.126  -0.443 -0.288  -0.443 -0.505  -0.443 -0.721  -0.443 -0.937  -0.443 -1.154  -0.431 -1.043  -0.416 -0.827  -0.401 -0.611  -0.385 -0.396  -0.370 -0.180  -0.354 0.036  -0.339 0.252  -0.323 0.467  -0.308 0.683  -0.293 0.899  -0.311 1.065  -0.443 1.101  -0.261 1.135  -0.044 1.135  0.172 1.135  0.388 1.135  0.567 1.074  0.639 0.893  0.755 0.769  0.863 0.662  0.972 0.522  0.972 0.306  1.081 0.198  1.081 -0.018  1.029 -0.222  0.984 -0.411  0.809 -0.510  0.748 -0.682  0.597 -0.813  0.416 -0.892  0.247 -1.006  0.046 -1.043  -0.144 -1.111  -0.344 -1.184  -0.555 -1.206  -0.717 -1.261  -0.933 -1.261
2#tos#f1#f1009062/E  -0.678 1.181  -0.662 1.140  -0.447 1.173  -0.226 1.181  -0.003 1.181  0.221 1.181  0.444 1.181  0.661 1.155  0.873 1.123  1.045 1.057  0.901 0.991  0.681 0.958  0.460 0.924  0.239 0.891  0.019 0.857  -0.202 0.824  -0.404 0.776  -0.471 0.569  -0.554 0.380  -0.554 0.157  -0.554 -0.066  -0.545 -0.287  -0.512 -0.503  -0.471 -0.716  -0.470 -0.926  -0.438 -0.706  -0.407 -0.485  -0.375 -0.264  -0.366 -0.062  -0.369 -0.074  -0.149 -0.062  0.074 -0.062  0.297 -0.062  0.521 -0.062  0.461 -0.192  0.292 -0.337  0.122 -0.482  -0.048 -0.627  -0.218 -0.771  -0.388 -0.916  -0.554 -1.063  -0.574 -1.140  -0.351 -1.140  -0.128 -1.140  0.092 -1.118  0.312 -1.099  0.535 -1.099  0.758 -1.099  0.964 -1.140  1.146 -1.182
2#tos#f1#f1009062/G  0.538 1.365  0.333 1.333  0.119 1.322  -0.089 1.365  -0.308 1.365  -0.414 1.220  -0.552 1.134  -0.717 1.054  -0.771 0.889  -0.847 0.713  -0.963 0.586  -0.977 0.370  -1.020 0.162  -1.064 -0.039  -1.064 -0.257  -1.064 -0.476  -1.020 -0.651  -0.934 -0.783  -0.778 -0.855  -0.567 -0.886  -0.349 -0.886  -0.130 -0.886  0.088 -0.886  0.307 -0.886  0.452 -0.787  0.625 -0.741  0.654 -0.627  0.533 -0.445  0.412 -0.263  0.291 -0.082  0.169 0.100  0.048 0.282  -0.077 0.456  -0.241 0.351  -0.144 0.283  0.074 0.283  0.293 0.283  0.506 0.250  0.723 0.240  0.941 0.240  1.047 0.218  0.844 0.137  0.668 0.037  0.668 -0.181  0.635 -0.366  0.625 -0.575  0.625 -0.793  0.625 -1.012  0.625 -1.230  0.625 -1.449
