1c#apa#apa13#app1310/b  -0.348 2.142  -0.348 1.985  -0.348 1.828  -0.313 1.685  -0.263 1.549  -0.263 1.392  -0.263 1.234  -0.228 1.092  -0.179 0.955  -0.179 0.798  -0.179 0.641  -0.179 0.484  -0.179 0.327  -0.206 0.173  -0.244 0.020  -0.263 -0.134  -0.263 -0.291  -0.263 -0.449  -0.348 -0.571  -0.348 -0.728  -0.281 -0.819  -0.283 -0.681  -0.305 -0.526  -0.327 -0.370  -0.349 -0.215  -0.372 -0.059  -0.394 0.096  -0.416 0.252  -0.390 0.366  -0.233 0.366  -0.106 0.293  0.030 0.242  0.083 0.108  0.224 0.038  0.339 -0.067  0.450 -0.178  0.561 -0.290  0.697 -0.341  0.808 -0.452  0.919 -0.563  0.921 -0.719  0.863 -0.819  0.744 -0.911  0.646 -1.031  0.567 -1.157  0.411 -1.160  0.292 -1.260  0.153 -1.333  0.042 -1.444  -0.094 -1.495
1c#apa#apa13#app1310/l  0.106 1.677  0.075 1.615  0.044 1.553  0.013 1.490  -0.019 1.428  -0.023 1.359  -0.023 1.289  -0.023 1.219  -0.023 1.149  -0.023 1.080  -0.023 1.010  -0.023 0.940  -0.023 0.870  -0.023 0.800  -0.023 0.731  -0.023 0.661  -0.023 0.591  -0.023 0.521  -0.023 0.451  -0.023 0.382  -0.023 0.312  -0.023 0.242  -0.023 0.172  -0.023 0.102  -0.023 0.033  -0.023 -0.037  -0.023 -0.107  -0.023 -0.177  -0.023 -0.247  -0.023 -0.316  -0.023 -0.386  -0.023 -0.456  -0.023 -0.526  -0.023 -0.596  -0.023 -0.665  -0.023 -0.735  -0.023 -0.805  -0.023 -0.875  -0.023 -0.945  -0.023 -1.014  -0.023 -1.084  -0.023 -1.154  0.003 -1.218  0.035 -1.280  0.066 -1.342  0.097 -1.405  0.106 -1.472  0.106 -1.542  0.106 -1.612  0.106 -1.682
1c#apa#apa13#app1310/s  0.300 1.043  0.441 1.043  0.552 1.073  0.507 1.169  0.367 1.169  0.234 1.136  0.108 1.073  -0.025 1.043  -0.140 0.980  -0.254 0.917  -0.395 0.917  -0.512 0.860  -0.624 0.792  -0.747 0.750  -0.832 0.644  -0.868 0.540  -0.957 0.489  -0.957 0.348  -0.957 0.208  -0.861 0.163  -0.721 0.163  -0.580 0.163  -0.441 0.156  -0.315 0.093  -0.188 0.037  -0.048 0.037  0.093 0.037  0.234 0.037  0.374 0.037  0.515 0.037  0.625 -0.036  0.744 -0.089  0.803 -0.170  0.803 -0.310  0.803 -0.451  0.803 -0.592  0.803 -0.732  0.774 -0.843  0.678 -0.888  0.636 -1.011  0.532 -1.104  0.406 -1.167  0.278 -1.220  0.138 -1.220  -0.003 -1.220  -0.143 -1.220  -0.284 -1.220  -0.425 -1.220  -0.565 -1.220  -0.706 -1.220
1c#apa#apa13#app1310/w  -1.232 0.735  -1.296 0.866  -1.299 0.715  -1.299 0.557  -1.299 0.399  -1.299 0.240  -1.248 0.094  -1.232 -0.061  -1.167 -0.203  -1.039 -0.275  -0.956 -0.379  -0.805 -0.409  -0.647 -0.409  -0.529 -0.312  -0.397 -0.227  -0.281 -0.124  -0.199 0.006  -0.064 0.086  -0.021 0.226  0.047 0.357  0.047 0.515  -0.005 0.652  -0.089 0.599  -0.155 0.468  -0.195 0.319  -0.222 0.167  -0.222 0.009  -0.222 -0.150  -0.222 -0.308  -0.167 -0.453  -0.096 -0.595  0.011 -0.710  0.155 -0.746  0.313 -0.746  0.471 -0.746  0.630 -0.746  0.781 -0.703  0.912 -0.621  1.033 -0.522  1.164 -0.436  1.245 -0.302  1.349 -0.184  1.393 -0.044  1.393 0.114  1.387 0.270  1.325 0.403  1.258 0.533  1.134 0.629  1.006 0.718  0.854 0.735
1c#apa#apa13#app1310/a  0.034 0.868  -0.098 1.000  -0.278 1.019  -0.419 0.973  -0.501 0.868  -0.688 0.868  -0.830 0.759  -0.963 0.626  -1.095 0.494  -1.175 0.340  -1.175 0.153  -1.175 -0.035  -1.175 -0.222  -1.175 -0.409  -1.175 -0.596  -1.077 -0.743  -0.911 -0.796  -0.724 -0.796  -0.537 -0.796  -0.350 -0.796  -0.162 -0.796  0.025 -0.796  0.193 -0.716  0.356 -0.625  0.488 -0.493  0.621 -0.361  0.753 -0.228  0.885 -0.096  1.018 0.037  1.093 0.193  1.093 0.380  1.093 0.567  1.066 0.743  0.930 0.868  0.743 0.868  0.555 0.868  0.403 0.783  0.243 0.716  0.186 0.587  0.186 0.400  0.186 0.213  0.186 0.025  0.186 -0.162  0.189 -0.348  0.273 -0.516  0.337 -0.688  0.393 -0.852  0.526 -0.984  0.658 -1.117  0.790 -1.249
1c#apa#apa13#app1310/x  1.219 1.005  1.063 0.961  0.917 0.893  0.758 0.830  0.614 0.736  0.491 0.613  0.340 0.556  0.212 0.446  0.086 0.326  -0.070 0.248  -0.176 0.121  -0.254 -0.035  -0.332 -0.191  -0.444 -0.322  -0.567 -0.445  -0.626 -0.607  -0.681 -0.772  -0.798 -0.900  -0.802 -0.954  -0.813 -0.780  -0.823 -0.606  -0.833 -0.432  -0.843 -0.258  -0.854 -0.084  -0.864 0.089  -0.874 0.263  -0.884 0.437  -0.895 0.611  -0.905 0.785  -0.911 0.827  -0.911 0.652  -0.841 0.521  -0.686 0.444  -0.530 0.366  -0.393 0.262  -0.270 0.139  -0.122 0.050  0.034 -0.028  0.189 -0.106  0.317 -0.223  0.471 -0.303  0.636 -0.341  0.810 -0.341  0.955 -0.413  1.100 -0.505  1.258 -0.578  1.423 -0.633  1.590 -0.677  1.736 -0.745  1.780 -0.901
1c#apa#apa13#app1310/m  -1.227 0.558  -1.227 0.377  -1.227 0.196  -1.227 0.015  -1.227 -0.167  -1.227 -0.348  -1.227 -0.529  -1.183 -0.692  -1.120 -0.847  -0.972 -0.925  -0.902 -0.786  -0.774 -0.658  -0.763 -0.482  -0.715 -0.321  -0.618 -0.170  -0.578 0.001  -0.578 0.182  -0.485 0.325  -0.485 0.506  -0.394 0.649  -0.312 0.811  -0.147 0.836  -0.114 0.687  -0.114 0.506  -0.114 0.325  -0.114 0.144  -0.022 0.001  -0.022 -0.180  0.063 -0.276  0.151 -0.369  0.333 -0.369  0.475 -0.276  0.555 -0.163  0.652 -0.016  0.709 0.156  0.786 0.320  0.813 0.495  0.916 0.580  0.997 0.742  0.998 0.749  0.998 0.567  0.998 0.386  0.998 0.205  0.998 0.024  0.998 -0.157  1.091 -0.300  1.169 -0.448  1.303 -0.568  1.466 -0.647  1.647 -0.647
1c#apa#apa13#app1310/e  -0.299 -0.676  -0.159 -0.663  -0.141 -0.518  -0.033 -0.409  0.075 -0.301  0.120 -0.167  0.223 -0.117  0.342 -0.035  0.399 0.094  0.426 0.242  0.474 0.387  0.523 0.532  0.611 0.653  0.678 0.777  0.728 0.910  0.818 1.025  0.818 1.178  0.767 1.279  0.614 1.279  0.461 1.279  0.318 1.238  0.181 1.170  0.050 1.093  -0.077 1.008  -0.204 0.923  -0.327 0.832  -0.435 0.724  -0.543 0.616  -0.624 0.489  -0.692 0.352  -0.761 0.216  -0.829 0.079  -0.857 -0.067  -0.857 -0.220  -0.857 -0.373  -0.857 -0.525  -0.856 -0.677  -0.748 -0.785  -0.640 -0.894  -0.532 -1.002  -0.417 -1.095  -0.265 -1.095  -0.112 -1.095  0.041 -1.095  0.194 -1.095  0.347 -1.095  0.499 -1.095  0.652 -1.095  0.805 -1.095  0.958 -1.095
1c#apa#apa13#app1310/r  -0.379 -0.490  -0.379 -0.629  -0.379 -0.768  -0.275 -0.804  -0.222 -0.890  -0.174 -1.009  -0.075 -1.108  -0.064 -1.243  0.042 -1.276  0.093 -1.364  0.093 -1.362  0.093 -1.223  0.093 -1.084  0.093 -0.944  0.093 -0.805  0.093 -0.666  0.007 -0.562  -0.064 -0.452  -0.078 -0.319  -0.177 -0.220  -0.222 -0.099  -0.263 0.023  -0.361 0.121  -0.493 0.139  -0.633 0.139  -0.728 0.209  -0.791 0.334  -0.856 0.453  -0.995 0.453  -1.007 0.580  -0.898 0.610  -0.759 0.610  -0.619 0.610  -0.480 0.610  -0.341 0.610  -0.201 0.610  -0.062 0.611  0.073 0.645  0.208 0.678  0.343 0.712  0.478 0.746  0.615 0.767  0.754 0.767  0.889 0.778  0.988 0.877  1.107 0.925  1.246 0.925  1.386 0.925  1.525 0.925  1.664 0.925
1c#apa#apa13#app1310/c  0.480 0.249  0.591 0.257  0.672 0.338  0.686 0.446  0.686 0.560  0.686 0.674  0.686 0.788  0.686 0.902  0.686 1.017  0.645 1.114  0.556 1.175  0.442 1.175  0.328 1.175  0.214 1.175  0.121 1.124  0.040 1.043  -0.041 0.963  -0.122 0.882  -0.202 0.801  -0.283 0.721  -0.364 0.640  -0.444 0.559  -0.496 0.457  -0.547 0.355  -0.584 0.247  -0.620 0.139  -0.661 0.034  -0.742 -0.047  -0.754 -0.156  -0.754 -0.270  -0.754 -0.384  -0.754 -0.498  -0.754 -0.612  -0.705 -0.677  -0.609 -0.720  -0.549 -0.809  -0.508 -0.883  -0.409 -0.919  -0.324 -0.992  -0.215 -1.028  -0.107 -1.064  0.003 -1.089  0.117 -1.089  0.231 -1.089  0.345 -1.089  0.460 -1.089  0.574 -1.089  0.688 -1.089  0.790 -1.140  0.892 -1.191
1c#apa#apa13#app1310/i  0.159 0.637  0.159 0.513  0.159 0.389  0.048 0.376  0.028 0.271  0.028 0.147  0.028 0.023  0.028 -0.101  0.028 -0.225  0.028 -0.349  0.028 -0.473  0.028 -0.597  0.028 -0.721  0.028 -0.845  0.028 -0.969  0.028 -1.093  0.028 -1.217  0.043 -1.335  0.131 -1.423  0.159 -1.535  0.151 -1.504  0.137 -1.381  0.124 -1.257  0.111 -1.134  0.098 -1.011  0.085 -0.887  0.071 -0.764  0.058 -0.641  0.045 -0.517  0.032 -0.394  0.019 -0.271  0.005 -0.147  -0.008 -0.024  -0.021 0.099  -0.034 0.222  -0.048 0.346  -0.061 0.469  -0.074 0.592  -0.087 0.716  -0.100 0.839  -0.114 0.962  -0.127 1.086  -0.140 1.209  -0.153 1.332  -0.166 1.456  -0.180 1.579  -0.193 1.702  -0.206 1.826  -0.219 1.949  -0.232 2.072
1c#apa#apa13#app1310/f  -0.338 0.015  -0.138 0.015  0.026 0.100  0.176 0.150  0.292 0.302  0.456 0.411  0.558 0.548  0.706 0.664  0.769 0.853  0.860 1.016  0.860 1.216  0.838 1.406  0.672 1.487  0.501 1.555  0.301 1.555  0.123 1.503  -0.018 1.362  -0.159 1.221  -0.175 1.026  -0.271 0.852  -0.338 0.680  -0.338 0.481  -0.338 0.281  -0.338 0.081  -0.338 -0.118  -0.338 -0.318  -0.252 -0.482  -0.209 -0.671  -0.092 -0.830  -0.037 -1.015  0.004 -1.205  0.090 -1.369  0.090 -1.569  -0.012 -1.493  -0.142 -1.341  -0.272 -1.190  -0.402 -1.038  -0.531 -0.887  -0.661 -0.735  -0.791 -0.583  -0.921 -0.432  -0.762 -0.413  -0.562 -0.413  -0.369 -0.386  -0.183 -0.328  0.017 -0.328  0.216 -0.328  0.400 -0.397  0.595 -0.413  0.775 -0.499
1c#apa#apa13#app1310/u  -1.092 1.073  -1.092 0.944  -1.092 0.814  -1.207 0.800  -1.229 0.692  -1.229 0.563  -1.229 0.434  -1.229 0.304  -1.229 0.175  -1.229 0.046  -1.183 -0.065  -1.092 -0.156  -1.092 -0.286  -0.982 -0.347  -0.866 -0.405  -0.742 -0.428  -0.613 -0.428  -0.484 -0.428  -0.354 -0.428  -0.225 -0.428  -0.096 -0.428  0.024 -0.404  0.115 -0.313  0.236 -0.292  0.273 -0.199  0.333 -0.095  0.409 0.003  0.416 0.131  0.473 0.246  0.531 0.362  0.546 0.488  0.546 0.617  0.463 0.664  0.409 0.588  0.440 0.466  0.498 0.350  0.546 0.232  0.546 0.103  0.551 -0.024  0.643 -0.116  0.734 -0.207  0.828 -0.292  0.955 -0.294  0.955 -0.423  1.067 -0.484  1.182 -0.542  1.306 -0.565  1.415 -0.615  1.508 -0.701  1.638 -0.701
1c#apa#apa13#app1310/l  0.049 1.703  0.049 1.633  0.049 1.563  0.049 1.493  0.049 1.423  0.049 1.353  0.049 1.283  0.049 1.213  0.049 1.143  0.049 1.073  0.049 1.002  0.049 0.932  0.049 0.862  0.049 0.792  0.049 0.722  0.049 0.652  0.049 0.582  0.049 0.512  0.049 0.442  0.049 0.372  0.049 0.302  0.049 0.232  0.049 0.162  0.037 0.094  0.006 0.031  -0.026 -0.031  -0.057 -0.094  -0.057 -0.164  -0.057 -0.234  -0.057 -0.304  -0.057 -0.374  -0.057 -0.444  -0.057 -0.514  -0.057 -0.584  -0.057 -0.655  -0.057 -0.725  -0.057 -0.795  -0.057 -0.865  -0.057 -0.935  -0.057 -1.005  -0.057 -1.075  -0.057 -1.145  -0.057 -1.215  -0.057 -1.285  -0.057 -1.355  -0.057 -1.425  -0.045 -1.493  -0.014 -1.555  0.017 -1.618  0.049 -1.681
