2#tos#t2#t2038062/\"  -0.580 0.922  -0.580 0.781  -0.653 0.686  -0.779 0.623  -0.842 0.497  -0.905 0.371  -0.968 0.245  -1.095 0.222  -1.180 0.166  -1.180 0.025  -1.180 -0.115  -1.180 -0.256  -1.162 -0.379  -1.080 -0.438  -1.080 -0.579  -0.981 -0.679  -0.880 -0.719  -0.880 -0.860  -0.782 -0.808  -0.668 -0.725  -0.554 -0.642  -0.440 -0.560  -0.326 -0.477  -0.212 -0.394  -0.098 -0.311  0.016 -0.228  0.130 -0.145  0.244 -0.062  0.358 0.020  0.471 0.103  0.585 0.186  0.699 0.269  0.813 0.352  0.927 0.435  1.041 0.518  1.155 0.600  1.269 0.683  1.251 0.698  1.117 0.654  1.022 0.581  1.022 0.441  1.022 0.300  0.977 0.177  0.878 0.078  0.822 -0.040  0.822 -0.181  0.822 -0.322  0.859 -0.454  0.922 -0.580  1.022 -0.679
2#tos#t2#t2038062/=  -1.005 0.781  -1.154 0.731  -1.291 0.684  -1.134 0.684  -0.977 0.684  -0.820 0.684  -0.663 0.684  -0.506 0.684  -0.349 0.684  -0.192 0.684  -0.035 0.684  0.122 0.684  0.280 0.684  0.437 0.684  0.587 0.727  0.736 0.776  0.892 0.781  0.952 0.879  0.991 0.838  0.868 0.740  0.745 0.643  0.621 0.546  0.498 0.448  0.375 0.351  0.251 0.254  0.128 0.156  0.005 0.059  -0.119 -0.038  -0.242 -0.136  -0.365 -0.233  -0.488 -0.330  -0.612 -0.428  -0.735 -0.525  -0.810 -0.646  -0.810 -0.803  -0.810 -0.960  -0.666 -0.974  -0.509 -0.974  -0.352 -0.974  -0.195 -0.974  -0.038 -0.974  0.104 -0.938  0.236 -0.876  0.393 -0.876  0.550 -0.876  0.707 -0.876  0.864 -0.876  1.021 -0.876  1.178 -0.876  1.335 -0.876
2#tos#t2#t2038062/?  -0.510 0.343  -0.639 0.343  -0.768 0.343  -0.837 0.404  -0.896 0.474  -0.903 0.597  -0.903 0.727  -0.796 0.790  -0.706 0.839  -0.616 0.892  -0.569 0.998  -0.439 0.998  -0.310 0.998  -0.181 0.998  -0.051 0.998  0.078 0.998  0.207 0.998  0.336 0.998  0.383 0.891  0.502 0.867  0.537 0.773  0.630 0.736  0.668 0.645  0.668 0.516  0.668 0.386  0.668 0.257  0.649 0.147  0.544 0.088  0.483 0.016  0.406 -0.037  0.341 -0.139  0.319 -0.246  0.189 -0.246  0.107 -0.321  0.079 -0.444  0.079 -0.573  -0.051 -0.573  -0.052 -0.701  -0.117 -0.765  -0.087 -0.886  -0.020 -0.997  0.047 -1.107  0.113 -1.218  0.180 -1.329  0.246 -1.440  0.204 -1.489  0.074 -1.489  0.014 -1.558  0.014 -1.687  0.014 -1.816
2#tos#t2#t2038062/^  -0.974 -0.575  -1.062 -0.663  -1.150 -0.751  -1.247 -0.818  -1.303 -0.818  -1.216 -0.780  -1.187 -0.667  -1.099 -0.579  -1.011 -0.491  -0.974 -0.382  -0.898 -0.333  -0.809 -0.267  -0.739 -0.163  -0.670 -0.060  -0.610 0.047  -0.593 0.160  -0.481 0.216  -0.370 0.272  -0.281 0.359  -0.247 0.470  -0.247 0.594  -0.247 0.719  -0.161 0.757  -0.036 0.757  0.037 0.840  0.093 0.952  0.188 0.999  0.238 0.925  0.316 0.878  0.440 0.878  0.480 0.793  0.480 0.669  0.480 0.544  0.480 0.419  0.579 0.394  0.703 0.394  0.722 0.288  0.722 0.163  0.722 0.039  0.722 -0.086  0.722 -0.210  0.809 -0.299  0.897 -0.387  0.964 -0.484  0.964 -0.608  1.001 -0.696  1.114 -0.725  1.202 -0.813  1.207 -0.935  1.328 -0.939
2#tos#t2#t2038062/_  -1.065 -0.016  -1.142 -0.016  -1.220 -0.016  -1.277 -0.065  -1.332 -0.119  -1.387 -0.174  -1.325 -0.180  -1.247 -0.180  -1.229 -0.121  -1.229 -0.044  -1.179 -0.016  -1.102 -0.016  -1.024 -0.016  -0.947 -0.016  -0.869 -0.016  -0.792 -0.016  -0.714 -0.016  -0.637 -0.016  -0.559 -0.016  -0.482 -0.016  -0.404 -0.016  -0.327 -0.016  -0.249 -0.016  -0.172 -0.016  -0.095 -0.016  -0.017 -0.016  0.060 -0.016  0.138 -0.016  0.215 -0.016  0.293 -0.016  0.370 -0.016  0.448 -0.016  0.525 -0.016  0.595 0.002  0.650 0.057  0.724 0.066  0.801 0.066  0.879 0.066  0.956 0.066  1.033 0.066  1.111 0.066  1.188 0.066  1.266 0.066  1.343 0.066  1.421 0.066  1.498 0.066  1.562 0.080  1.571 0.148  1.649 0.148  1.726 0.148
2#tos#t2#t2038062/`  0.302 1.536  0.302 1.416  0.302 1.296  0.302 1.176  0.302 1.056  0.302 0.937  0.297 0.820  0.190 0.767  0.083 0.713  -0.025 0.659  -0.132 0.606  -0.239 0.552  -0.346 0.499  -0.453 0.445  -0.560 0.391  -0.668 0.338  -0.775 0.284  -0.882 0.231  -0.989 0.177  -1.096 0.124  -1.123 0.020  -1.123 -0.099  -1.123 -0.219  -1.031 -0.246  -0.911 -0.246  -0.791 -0.246  -0.671 -0.246  -0.552 -0.246  -0.432 -0.246  -0.411 -0.345  -0.411 -0.465  -0.411 -0.585  -0.309 -0.603  -0.189 -0.603  -0.069 -0.603  0.051 -0.603  0.170 -0.603  0.290 -0.603  0.410 -0.603  0.530 -0.603  0.650 -0.603  0.769 -0.603  0.889 -0.603  1.009 -0.603  1.129 -0.603  1.249 -0.603  1.369 -0.603  1.488 -0.603  1.608 -0.603  1.728 -0.603
2#tos#t2#t2038062/{  0.341 1.619  0.301 1.539  0.229 1.507  0.153 1.477  0.105 1.436  0.058 1.395  0.029 1.335  0.010 1.265  -0.054 1.241  -0.084 1.182  -0.084 1.093  -0.084 1.005  -0.084 0.916  -0.084 0.827  -0.084 0.739  -0.084 0.650  -0.084 0.561  -0.071 0.486  -0.037 0.431  -0.037 0.343  -0.037 0.254  -0.037 0.165  -0.037 0.077  -0.037 -0.012  -0.056 -0.081  -0.094 -0.138  -0.167 -0.175  -0.213 -0.245  -0.261 -0.276  -0.182 -0.315  -0.178 -0.402  -0.178 -0.491  -0.178 -0.579  -0.178 -0.668  -0.168 -0.752  -0.131 -0.826  -0.131 -0.914  -0.178 -0.956  -0.178 -1.044  -0.131 -1.086  -0.126 -1.172  -0.054 -1.214  0.015 -1.261  0.103 -1.261  0.192 -1.261  0.281 -1.261  0.369 -1.261  0.456 -1.271  0.536 -1.309  0.624 -1.309
2#tos#t2#t2038062/1  -0.507 0.673  -0.507 0.573  -0.507 0.549  -0.433 0.586  -0.362 0.656  -0.272 0.683  -0.184 0.727  -0.121 0.802  -0.078 0.891  -0.028 0.940  0.017 0.994  0.029 1.081  0.108 1.101  0.149 1.167  0.231 1.208  0.210 1.262  0.190 1.183  0.190 1.084  0.190 0.985  0.190 0.886  0.190 0.787  0.190 0.688  0.180 0.590  0.149 0.496  0.125 0.400  0.105 0.303  0.086 0.206  0.083 0.107  0.083 0.008  0.083 -0.091  0.083 -0.190  0.083 -0.289  0.083 -0.389  0.020 -0.462  -0.025 -0.542  -0.025 -0.641  -0.025 -0.741  -0.025 -0.840  -0.025 -0.939  -0.025 -1.038  0.004 -1.125  0.029 -1.214  0.029 -1.313  0.029 -1.412  0.029 -1.511  0.029 -1.611  0.029 -1.710  -0.025 -1.755  -0.025 -1.854  -0.025 -1.953
2#tos#t2#t2038062/3  -0.389 1.163  -0.554 1.163  -0.540 1.260  -0.375 1.260  -0.209 1.260  -0.043 1.260  0.123 1.260  0.269 1.212  0.385 1.134  0.481 1.008  0.600 0.948  0.626 0.793  0.577 0.676  0.530 0.518  0.444 0.438  0.281 0.420  0.160 0.326  0.014 0.293  -0.112 0.197  -0.278 0.197  -0.423 0.148  -0.569 0.100  -0.435 0.125  -0.275 0.148  -0.109 0.148  0.057 0.148  0.223 0.148  0.347 0.046  0.503 0.003  0.659 -0.037  0.675 -0.193  0.696 -0.346  0.771 -0.465  0.771 -0.631  0.705 -0.755  0.578 -0.806  0.478 -0.874  0.367 -0.963  0.249 -1.041  0.103 -1.106  -0.063 -1.108  -0.217 -1.157  -0.383 -1.157  -0.547 -1.150  -0.703 -1.108  -0.869 -1.108  -1.017 -1.091  -1.103 -1.012  -1.204 -0.922  -1.259 -0.770
2#tos#t2#t2038062/7  -0.464 1.119  -0.612 1.119  -0.663 1.021  -0.668 0.933  -0.659 0.788  -0.659 0.639  -0.659 0.491  -0.659 0.342  -0.659 0.194  -0.659 0.045  -0.659 -0.104  -0.657 -0.240  -0.617 -0.097  -0.577 0.046  -0.538 0.189  -0.498 0.332  -0.458 0.475  -0.418 0.619  -0.551 0.631  -0.472 0.582  -0.324 0.591  -0.178 0.620  -0.031 0.631  0.098 0.680  0.246 0.680  0.395 0.680  0.543 0.680  0.692 0.680  0.841 0.680  0.901 0.592  0.901 0.443  0.836 0.322  0.755 0.207  0.694 0.083  0.614 -0.040  0.566 -0.180  0.515 -0.314  0.462 -0.447  0.455 -0.591  0.344 -0.679  0.316 -0.821  0.316 -0.970  0.316 -1.118  0.316 -1.267  0.219 -1.355  0.219 -1.504  0.219 -1.653  0.219 -1.801  0.170 -1.901  0.170 -2.050
2#tos#t2#t2038062/8  0.756 0.726  0.756 0.735  0.756 0.931  0.710 1.080  0.571 1.190  0.405 1.263  0.219 1.284  0.024 1.284  -0.172 1.284  -0.367 1.284  -0.459 1.156  -0.632 1.078  -0.779 0.955  -0.779 0.759  -0.872 0.630  -0.778 0.492  -0.683 0.354  -0.628 0.209  -0.473 0.094  -0.296 0.028  -0.154 -0.056  0.012 -0.142  0.167 -0.259  0.300 -0.372  0.439 -0.471  0.493 -0.623  0.570 -0.769  0.524 -0.953  0.417 -1.042  0.335 -1.184  0.164 -1.270  0.008 -1.367  -0.187 -1.367  -0.383 -1.367  -0.500 -1.289  -0.639 -1.198  -0.686 -1.013  -0.686 -0.818  -0.568 -0.667  -0.509 -0.492  -0.343 -0.389  -0.186 -0.274  -0.012 -0.204  0.178 -0.163  0.233 -0.011  0.424 0.027  0.592 0.096  0.750 0.210  0.886 0.307  1.082 0.307
2#tos#t2#t2038062/D  -0.209 0.997  -0.336 1.021  -0.336 0.833  -0.378 0.662  -0.449 0.503  -0.504 0.326  -0.603 0.166  -0.657 -0.012  -0.717 -0.189  -0.802 -0.351  -0.845 -0.522  -0.845 -0.710  -0.822 -0.672  -0.764 -0.493  -0.706 -0.314  -0.648 -0.135  -0.590 0.044  -0.532 0.223  -0.473 0.402  -0.415 0.581  -0.357 0.760  -0.299 0.939  -0.207 1.039  -0.019 1.039  0.169 1.039  0.357 1.039  0.491 0.944  0.661 0.870  0.766 0.786  0.851 0.651  0.950 0.524  1.063 0.421  1.136 0.258  1.190 0.090  1.190 -0.098  1.180 -0.280  1.105 -0.422  0.989 -0.550  0.862 -0.688  0.757 -0.810  0.641 -0.910  0.512 -1.019  0.343 -1.038  0.154 -1.038  -0.034 -1.038  -0.222 -1.038  -0.410 -1.038  -0.581 -0.995  -0.721 -0.930  -0.887 -0.868
2#tos#t2#t2038062/E  -0.497 1.185  -0.701 1.114  -0.864 1.094  -0.631 1.003  -0.379 1.003  -0.128 1.003  0.124 1.003  0.375 1.003  0.616 1.048  0.868 1.048  0.902 1.058  0.652 1.080  0.401 1.101  0.150 1.123  -0.083 1.097  -0.223 0.904  -0.236 0.655  -0.360 0.449  -0.369 0.199  -0.405 -0.047  -0.441 -0.292  -0.451 -0.542  -0.542 -0.756  -0.542 -1.007  -0.542 -0.846  -0.542 -0.594  -0.542 -0.342  -0.540 -0.093  -0.288 -0.093  -0.037 -0.093  0.196 -0.048  0.433 0.029  0.672 0.080  0.872 0.134  0.673 -0.021  0.475 -0.175  0.276 -0.329  0.078 -0.484  -0.121 -0.638  -0.319 -0.793  -0.475 -0.985  -0.661 -1.144  -0.461 -1.179  -0.214 -1.189  0.038 -1.189  0.289 -1.189  0.503 -1.098  0.755 -1.098  1.006 -1.098  1.239 -1.052
2#tos#t2#t2038062/F  -0.495 0.927  -0.714 0.841  -0.640 0.810  -0.430 0.781  -0.191 0.781  0.048 0.781  0.287 0.781  0.526 0.781  0.765 0.781  1.004 0.781  1.243 0.781  1.160 0.842  0.922 0.865  0.684 0.887  0.446 0.909  0.208 0.932  -0.030 0.954  -0.268 0.975  -0.398 0.867  -0.398 0.627  -0.398 0.388  -0.398 0.149  -0.398 -0.090  -0.447 -0.323  -0.473 -0.557  -0.528 -0.785  -0.592 -1.009  -0.592 -1.248  -0.689 -1.427  -0.782 -1.636  -0.756 -1.505  -0.718 -1.269  -0.680 -1.033  -0.642 -0.797  -0.604 -0.561  -0.566 -0.325  -0.544 -0.286  -0.447 -0.429  -0.231 -0.526  0.008 -0.526  0.238 -0.475  0.470 -0.429  0.705 -0.411  0.828 -0.221  0.917 0.001  0.828 0.103  0.764 -0.071  0.715 -0.262  0.667 -0.453  0.619 -0.672
2#tos#t2#t2038062/H  -0.723 0.927  -0.816 0.846  -0.816 0.672  -0.816 0.498  -0.856 0.333  -0.863 0.160  -0.910 0.005  -0.946 -0.163  -0.957 -0.336  -1.003 -0.499  -1.003 -0.673  -1.003 -0.847  -1.003 -1.022  -0.939 -0.889  -0.869 -0.730  -0.800 -0.570  -0.730 -0.410  -0.717 -0.288  -0.891 -0.288  -0.803 -0.234  -0.638 -0.195  -0.466 -0.177  -0.295 -0.148  -0.121 -0.148  0.054 -0.148  0.220 -0.101  0.395 -0.101  0.526 -0.033  0.591 0.129  0.654 0.292  0.717 0.454  0.779 0.617  0.842 0.780  0.904 0.942  0.967 1.105  0.947 1.195  0.866 1.054  0.866 0.880  0.866 0.706  0.866 0.532  0.866 0.357  0.866 0.183  0.833 0.012  0.819 -0.161  0.773 -0.324  0.773 -0.498  0.773 -0.673  0.773 -0.847  0.726 -1.002  0.726 -1.176
2#tos#t2#t2038062/J  -0.471 0.950  -0.600 0.950  -0.728 0.950  -0.772 0.865  -0.821 0.837  -0.693 0.837  -0.565 0.837  -0.436 0.837  -0.308 0.837  -0.180 0.837  -0.051 0.837  0.077 0.837  0.204 0.846  0.328 0.880  0.448 0.912  0.577 0.912  0.705 0.912  0.778 0.901  0.660 0.850  0.542 0.800  0.424 0.749  0.306 0.699  0.279 0.588  0.279 0.460  0.279 0.332  0.279 0.203  0.287 0.078  0.354 -0.022  0.354 -0.151  0.379 -0.264  0.429 -0.361  0.429 -0.489  0.429 -0.617  0.429 -0.746  0.373 -0.834  0.354 -0.959  0.273 -1.029  0.228 -1.128  0.125 -1.205  0.018 -1.263  -0.072 -1.302  -0.200 -1.302  -0.328 -1.302  -0.454 -1.278  -0.546 -1.231  -0.622 -1.177  -0.687 -1.114  -0.703 -1.002  -0.734 -0.905  -0.659 -0.852
2#tos#t2#t2038062/K  -0.670 1.820  -0.771 1.707  -0.753 1.500  -0.720 1.300  -0.720 1.086  -0.720 0.872  -0.720 0.658  -0.720 0.444  -0.720 0.230  -0.720 0.016  -0.720 -0.198  -0.720 -0.413  -0.720 -0.627  -0.720 -0.841  -0.723 -1.054  -0.663 -1.003  -0.506 -0.858  -0.349 -0.712  -0.192 -0.567  -0.034 -0.422  0.123 -0.277  0.280 -0.132  0.438 0.014  0.595 0.159  0.752 0.304  0.909 0.449  1.067 0.594  1.194 0.671  1.002 0.611  0.812 0.546  0.615 0.473  0.424 0.377  0.224 0.302  0.032 0.207  -0.123 0.106  -0.331 0.053  -0.530 -0.024  -0.670 -0.113  -0.610 -0.300  -0.419 -0.396  -0.223 -0.441  -0.032 -0.497  0.177 -0.533  0.382 -0.596  0.595 -0.598  0.792 -0.674  0.994 -0.724  1.200 -0.755  1.368 -0.844  1.547 -0.900
2#tos#t2#t2038062/L  -0.264 1.704  -0.312 1.662  -0.360 1.621  -0.360 1.531  -0.360 1.441  -0.360 1.351  -0.360 1.261  -0.360 1.171  -0.341 1.086  -0.312 1.003  -0.312 0.913  -0.312 0.823  -0.312 0.733  -0.312 0.643  -0.312 0.553  -0.312 0.463  -0.312 0.373  -0.312 0.283  -0.312 0.193  -0.315 0.104  -0.343 0.018  -0.360 -0.069  -0.360 -0.159  -0.360 -0.248  -0.360 -0.338  -0.360 -0.428  -0.362 -0.518  -0.409 -0.588  -0.409 -0.678  -0.360 -0.720  -0.308 -0.758  -0.219 -0.758  -0.138 -0.797  -0.050 -0.806  0.040 -0.806  0.130 -0.806  0.220 -0.806  0.310 -0.806  0.399 -0.806  0.489 -0.806  0.579 -0.806  0.634 -0.748  0.699 -0.709  0.789 -0.709  0.879 -0.709  0.969 -0.709  1.059 -0.709  1.149 -0.709  1.239 -0.709  1.329 -0.709
2#tos#t2#t2038062/M  -0.538 1.237  -0.624 1.095  -0.624 0.868  -0.624 0.640  -0.624 0.413  -0.624 0.185  -0.624 -0.042  -0.624 -0.270  -0.624 -0.497  -0.624 -0.725  -0.624 -0.953  -0.624 -1.180  -0.623 -1.333  -0.619 -1.106  -0.615 -0.878  -0.611 -0.651  -0.606 -0.423  -0.602 -0.196  -0.598 0.032  -0.594 0.259  -0.589 0.487  -0.585 0.714  -0.581 0.934  -0.581 0.707  -0.548 0.487  -0.423 0.310  -0.337 0.132  -0.253 -0.060  -0.060 -0.173  0.168 -0.173  0.299 -0.063  0.444 0.104  0.530 0.287  0.640 0.473  0.684 0.690  0.753 0.895  0.803 1.082  0.915 1.091  0.915 0.863  0.915 0.636  0.915 0.408  0.882 0.188  0.872 -0.037  0.872 -0.264  0.872 -0.492  0.872 -0.719  0.915 -0.929  0.915 -1.157  1.001 -1.357  1.043 -1.541
