3#apb#apb07#app0719/E  1.012 1.106  1.007 1.229  0.876 1.277  0.731 1.280  0.587 1.284  0.444 1.268  0.302 1.238  0.161 1.208  0.021 1.171  -0.118 1.133  -0.253 1.085  -0.377 1.011  -0.501 0.936  -0.593 0.829  -0.671 0.708  -0.738 0.582  -0.768 0.440  -0.797 0.299  -0.781 0.159  -0.742 0.020  -0.692 -0.113  -0.596 -0.222  -0.501 -0.330  -0.381 -0.405  -0.247 -0.459  -0.113 -0.510  0.031 -0.518  0.176 -0.521  0.136 -0.407  0.010 -0.341  -0.127 -0.314  -0.269 -0.338  -0.389 -0.419  -0.474 -0.534  -0.522 -0.667  -0.539 -0.810  -0.490 -0.938  -0.363 -0.990  -0.221 -0.989  -0.078 -0.966  0.063 -0.936  0.204 -0.902  0.344 -0.869  0.481 -0.823  0.617 -0.775  0.754 -0.727  0.890 -0.679  1.027 -0.633  1.164 -0.588  1.301 -0.542
3#apb#apb07#app0719/r  1.222 1.555  1.148 1.587  1.067 1.441  1.001 1.286  0.926 1.135  0.837 0.992  0.747 0.848  0.651 0.710  0.545 0.579  0.438 0.448  0.333 0.316  0.235 0.178  0.137 0.041  0.040 -0.098  -0.053 -0.238  -0.147 -0.379  -0.243 -0.518  -0.339 -0.657  -0.398 -0.812  -0.423 -0.899  -0.423 -0.730  -0.423 -0.561  -0.423 -0.393  -0.423 -0.224  -0.423 -0.055  -0.423 0.114  -0.423 0.283  -0.423 0.452  -0.445 0.618  -0.481 0.783  -0.518 0.948  -0.599 0.992  -0.550 0.830  -0.502 0.668  -0.453 0.507  -0.405 0.345  -0.356 0.183  -0.308 0.021  -0.255 -0.139  -0.200 -0.299  -0.146 -0.459  -0.091 -0.618  -0.036 -0.778  0.019 -0.938  0.062 -1.101  0.103 -1.265  0.144 -1.429  0.185 -1.593  0.226 -1.757  0.267 -1.920
3#apb#apb07#app0719/a  0.430 0.009  0.505 0.197  0.559 0.387  0.518 0.583  0.433 0.767  0.339 0.947  0.236 1.120  0.087 1.257  -0.071 1.383  -0.245 1.485  -0.386 1.420  -0.495 1.250  -0.555 1.056  -0.614 0.863  -0.655 0.665  -0.680 0.464  -0.706 0.263  -0.728 0.062  -0.747 -0.140  -0.767 -0.342  -0.770 -0.544  -0.759 -0.746  -0.699 -0.937  -0.544 -1.037  -0.350 -0.977  -0.222 -0.829  -0.108 -0.662  -0.026 -0.478  0.038 -0.286  0.102 -0.094  0.166 0.098  0.181 0.298  0.181 0.501  0.183 0.703  0.199 0.905  0.189 0.755  0.199 0.553  0.212 0.351  0.226 0.149  0.243 -0.053  0.276 -0.253  0.309 -0.453  0.343 -0.653  0.389 -0.850  0.442 -1.045  0.495 -1.241  0.549 -1.436  0.624 -1.624  0.699 -1.812  0.774 -2.000
3#apb#apb07#app0719/t  -0.433 1.674  -0.408 1.578  -0.393 1.436  -0.385 1.293  -0.380 1.150  -0.375 1.007  -0.365 0.865  -0.356 0.722  -0.346 0.579  -0.333 0.437  -0.317 0.295  -0.302 0.152  -0.286 0.010  -0.270 -0.132  -0.250 -0.274  -0.230 -0.415  -0.210 -0.557  -0.190 -0.699  -0.173 -0.841  -0.158 -0.983  -0.142 -1.125  -0.128 -1.267  -0.133 -1.410  -0.139 -1.553  -0.150 -1.694  -0.108 -1.557  -0.067 -1.420  -0.026 -1.283  0.016 -1.146  0.057 -1.009  0.099 -0.872  0.140 -0.735  0.181 -0.598  0.223 -0.461  0.264 -0.324  0.305 -0.187  0.347 -0.050  0.388 0.087  0.430 0.224  0.471 0.361  0.512 0.498  0.554 0.634  0.595 0.771  0.636 0.908  0.653 1.049  0.518 1.012  0.380 0.975  0.237 0.966  0.095 0.958  -0.048 0.950
3#apb#apb07#app0719/i  0.193 1.677  0.162 1.615  0.131 1.553  0.111 1.487  0.101 1.418  0.090 1.349  0.079 1.281  0.069 1.212  0.058 1.143  0.048 1.074  0.041 1.005  0.041 0.936  0.041 0.866  0.041 0.797  0.041 0.727  0.041 0.658  0.041 0.588  0.041 0.519  0.041 0.449  0.035 0.380  0.025 0.311  0.015 0.242  0.005 0.174  -0.005 0.105  -0.014 0.036  -0.024 -0.033  -0.034 -0.102  -0.044 -0.171  -0.054 -0.239  -0.064 -0.308  -0.072 -0.377  -0.072 -0.447  -0.072 -0.516  -0.072 -0.586  -0.072 -0.655  -0.072 -0.725  -0.072 -0.794  -0.072 -0.864  -0.072 -0.933  -0.072 -1.003  -0.071 -1.072  -0.067 -1.142  -0.063 -1.211  -0.059 -1.281  -0.055 -1.350  -0.051 -1.420  -0.047 -1.489  -0.043 -1.558  -0.039 -1.628  -0.035 -1.697
3#apb#apb07#app0719/o  0.486 0.207  0.553 0.314  0.605 0.424  0.580 0.548  0.548 0.670  0.483 0.778  0.417 0.887  0.346 0.991  0.274 1.096  0.202 1.200  0.095 1.264  -0.020 1.315  -0.146 1.315  -0.261 1.285  -0.355 1.199  -0.448 1.113  -0.528 1.020  -0.547 0.895  -0.566 0.770  -0.585 0.645  -0.605 0.520  -0.622 0.394  -0.622 0.268  -0.622 0.141  -0.622 0.014  -0.622 -0.112  -0.622 -0.239  -0.591 -0.361  -0.552 -0.481  -0.513 -0.602  -0.475 -0.722  -0.436 -0.843  -0.380 -0.956  -0.317 -1.066  -0.255 -1.176  -0.157 -1.242  -0.036 -1.277  0.086 -1.312  0.199 -1.273  0.309 -1.210  0.419 -1.147  0.498 -1.054  0.557 -0.942  0.616 -0.830  0.676 -0.719  0.692 -0.594  0.702 -0.468  0.712 -0.342  0.722 -0.215  0.732 -0.089
3#apb#apb07#app0719/n  -0.841 1.369  -0.862 1.108  -0.855 0.843  -0.842 0.578  -0.781 0.321  -0.715 0.064  -0.648 -0.192  -0.581 -0.449  -0.520 -0.706  -0.469 -0.966  -0.441 -1.229  -0.474 -1.489  -0.494 -1.279  -0.509 -1.014  -0.524 -0.749  -0.539 -0.485  -0.553 -0.220  -0.568 0.044  -0.583 0.309  -0.598 0.574  -0.613 0.838  -0.628 1.103  -0.471 0.983  -0.384 0.733  -0.330 0.474  -0.236 0.227  -0.127 -0.015  0.016 -0.237  0.162 -0.458  0.327 -0.666  0.494 -0.871  0.682 -1.059  0.822 -1.225  0.807 -0.961  0.792 -0.696  0.777 -0.431  0.762 -0.167  0.747 0.098  0.732 0.362  0.716 0.627  0.701 0.892  0.686 1.156  0.671 1.276  0.657 1.011  0.664 0.747  0.675 0.482  0.728 0.222  0.785 -0.036  0.857 -0.292  0.928 -0.547
3#apb#apb07#app0719/s  0.550 0.923  0.515 1.003  0.480 1.082  0.399 1.115  0.318 1.147  0.237 1.177  0.153 1.200  0.069 1.223  -0.015 1.233  -0.096 1.200  -0.176 1.168  -0.244 1.119  -0.295 1.048  -0.345 0.977  -0.396 0.906  -0.447 0.835  -0.454 0.749  -0.458 0.662  -0.463 0.575  -0.468 0.488  -0.468 0.401  -0.454 0.315  -0.439 0.229  -0.425 0.143  -0.411 0.057  -0.388 -0.027  -0.356 -0.108  -0.324 -0.189  -0.293 -0.270  -0.261 -0.351  -0.221 -0.428  -0.171 -0.500  -0.122 -0.571  -0.072 -0.643  -0.017 -0.710  0.049 -0.767  0.115 -0.824  0.181 -0.881  0.247 -0.938  0.312 -0.995  0.377 -1.054  0.441 -1.112  0.506 -1.171  0.567 -1.233  0.622 -1.301  0.600 -1.365  0.516 -1.375  0.429 -1.381  0.342 -1.387  0.255 -1.393
3#apb#apb07#app0719/D  -0.659 0.897  -0.585 0.762  -0.495 0.580  -0.408 0.397  -0.344 0.204  -0.284 0.010  -0.224 -0.185  -0.184 -0.383  -0.168 -0.585  -0.168 -0.789  -0.231 -0.937  -0.270 -0.737  -0.310 -0.538  -0.349 -0.339  -0.389 -0.139  -0.429 0.060  -0.469 0.259  -0.509 0.459  -0.549 0.658  -0.589 0.857  -0.629 1.057  -0.668 1.256  -0.575 1.342  -0.381 1.282  -0.194 1.205  -0.019 1.102  0.154 0.995  0.325 0.885  0.496 0.775  0.675 0.680  0.855 0.584  1.012 0.457  1.162 0.320  1.245 0.136  1.292 -0.058  1.287 -0.260  1.174 -0.429  1.055 -0.591  0.890 -0.711  0.726 -0.831  0.550 -0.928  0.358 -0.995  0.166 -1.062  -0.032 -1.108  -0.231 -1.148  -0.431 -1.141  -0.620 -1.088  -0.731 -0.926  -0.724 -0.725  -0.575 -0.587
3#apb#apb07#app0719/i  -0.094 0.221  -0.065 0.281  -0.065 0.234  -0.065 0.118  -0.052 0.003  -0.033 -0.112  -0.019 -0.228  -0.008 -0.344  -0.008 -0.460  -0.008 -0.576  -0.019 -0.691  -0.054 -0.802  -0.088 -0.913  -0.123 -1.025  -0.169 -1.131  -0.224 -1.233  -0.279 -1.336  -0.334 -1.439  -0.356 -1.455  -0.330 -1.342  -0.303 -1.229  -0.277 -1.115  -0.250 -1.002  -0.224 -0.889  -0.197 -0.775  -0.171 -0.662  -0.144 -0.549  -0.118 -0.435  -0.092 -0.322  -0.065 -0.208  -0.039 -0.095  -0.012 0.018  0.014 0.132  0.041 0.245  0.067 0.358  0.094 0.472  0.120 0.585  0.146 0.698  0.173 0.812  0.199 0.925  0.226 1.038  0.252 1.152  0.279 1.265  0.305 1.379  0.332 1.492  0.358 1.605  0.385 1.719  0.411 1.832  0.434 1.942  0.451 1.842
3#apb#apb07#app0719/r  1.407 1.104  1.343 1.254  1.198 1.315  1.041 1.363  0.878 1.370  0.715 1.370  0.551 1.370  0.391 1.336  0.231 1.298  0.085 1.237  -0.037 1.127  -0.142 1.010  -0.142 0.846  -0.142 0.682  -0.139 0.518  -0.125 0.355  -0.110 0.192  -0.095 0.029  -0.066 -0.132  -0.035 -0.293  -0.004 -0.454  0.003 -0.617  0.003 -0.781  0.003 -0.945  0.003 -1.109  0.002 -1.272  -0.101 -1.347  -0.216 -1.233  -0.325 -1.111  -0.365 -0.954  -0.397 -0.793  -0.429 -0.633  -0.445 -0.470  -0.458 -0.307  -0.472 -0.143  -0.484 0.020  -0.494 0.184  -0.503 0.347  -0.407 0.353  -0.305 0.233  -0.224 0.090  -0.162 -0.058  -0.146 -0.221  -0.131 -0.384  -0.118 -0.547  -0.118 -0.711  -0.118 -0.875  -0.124 -1.039  -0.133 -1.202  -0.142 -1.366
3#apb#apb07#app0719/e  -0.973 -0.676  -1.006 -0.714  -0.850 -0.736  -0.696 -0.769  -0.547 -0.720  -0.398 -0.665  -0.254 -0.601  -0.114 -0.527  0.026 -0.453  0.140 -0.345  0.252 -0.233  0.356 -0.115  0.427 0.026  0.497 0.168  0.520 0.322  0.527 0.480  0.533 0.638  0.533 0.796  0.533 0.955  0.488 1.101  0.411 1.240  0.335 1.378  0.258 1.516  0.116 1.497  -0.036 1.453  -0.188 1.408  -0.266 1.279  -0.331 1.135  -0.397 0.991  -0.430 0.836  -0.461 0.681  -0.492 0.526  -0.510 0.371  -0.491 0.214  -0.472 0.056  -0.453 -0.101  -0.422 -0.254  -0.353 -0.397  -0.284 -0.539  -0.216 -0.682  -0.122 -0.807  -0.013 -0.922  0.096 -1.037  0.230 -1.112  0.379 -1.167  0.529 -1.203  0.684 -1.172  0.832 -1.122  0.968 -1.042  1.105 -0.962
3#apb#apb07#app0719/c  0.638 0.990  0.578 1.064  0.515 1.135  0.426 1.169  0.336 1.201  0.241 1.192  0.146 1.183  0.051 1.174  -0.035 1.132  -0.119 1.088  -0.204 1.044  -0.289 1.000  -0.351 0.929  -0.406 0.851  -0.461 0.773  -0.516 0.695  -0.571 0.616  -0.595 0.525  -0.616 0.431  -0.636 0.338  -0.657 0.245  -0.678 0.151  -0.682 0.057  -0.666 -0.037  -0.650 -0.131  -0.633 -0.225  -0.617 -0.319  -0.591 -0.409  -0.528 -0.481  -0.465 -0.553  -0.402 -0.625  -0.339 -0.697  -0.266 -0.756  -0.182 -0.802  -0.099 -0.848  -0.015 -0.894  0.069 -0.940  0.160 -0.958  0.256 -0.958  0.351 -0.958  0.447 -0.958  0.541 -0.951  0.635 -0.929  0.728 -0.908  0.821 -0.886  0.914 -0.864  0.993 -0.813  1.067 -0.753  1.142 -0.693  1.217 -0.634
3#apb#apb07#app0719/t  -0.538 0.581  -0.590 0.657  -0.603 0.508  -0.603 0.356  -0.599 0.204  -0.577 0.053  -0.556 -0.098  -0.522 -0.246  -0.487 -0.395  -0.454 -0.543  -0.422 -0.692  -0.390 -0.841  -0.357 -0.990  -0.322 -1.138  -0.289 -1.287  -0.264 -1.437  -0.222 -1.583  -0.154 -1.489  -0.083 -1.354  -0.012 -1.219  0.059 -1.084  0.130 -0.949  0.201 -0.815  0.272 -0.680  0.343 -0.545  0.414 -0.410  0.485 -0.276  0.556 -0.141  0.627 -0.006  0.698 0.129  0.769 0.264  0.840 0.398  0.910 0.533  0.981 0.668  1.052 0.803  0.999 0.897  0.893 0.941  0.741 0.945  0.588 0.945  0.436 0.939  0.284 0.927  0.133 0.913  -0.019 0.899  -0.170 0.881  -0.321 0.857  -0.471 0.833  -0.621 0.809  -0.772 0.784  -0.922 0.759  -1.072 0.735
3#apb#apb07#app0719/o  0.944 0.138  0.944 0.272  0.906 0.394  0.830 0.505  0.747 0.609  0.642 0.693  0.538 0.778  0.431 0.857  0.307 0.908  0.182 0.959  0.054 0.987  -0.080 0.982  -0.214 0.977  -0.344 0.950  -0.469 0.902  -0.595 0.855  -0.720 0.807  -0.795 0.698  -0.867 0.584  -0.938 0.471  -0.995 0.352  -1.009 0.219  -1.023 0.085  -1.037 -0.048  -1.002 -0.176  -0.961 -0.304  -0.920 -0.432  -0.872 -0.556  -0.779 -0.652  -0.686 -0.749  -0.593 -0.846  -0.496 -0.936  -0.370 -0.982  -0.243 -1.027  -0.117 -1.072  0.012 -1.061  0.141 -1.026  0.271 -0.992  0.385 -0.926  0.487 -0.840  0.589 -0.753  0.692 -0.666  0.764 -0.557  0.821 -0.435  0.878 -0.313  0.935 -0.192  0.930 -0.060  0.914 0.073  0.898 0.206  0.882 0.339
3#apb#apb07#app0719/r  -0.692 1.000  -0.651 0.759  -0.642 0.515  -0.659 0.270  -0.648 0.025  -0.627 -0.219  -0.595 -0.462  -0.557 -0.705  -0.523 -0.948  -0.494 -1.191  -0.465 -1.435  -0.470 -1.659  -0.545 -1.432  -0.565 -1.188  -0.570 -0.943  -0.529 -0.702  -0.487 -0.460  -0.441 -0.219  -0.392 0.022  -0.344 0.262  -0.303 0.504  -0.264 0.746  -0.224 0.989  -0.141 1.219  -0.023 1.424  0.178 1.547  0.398 1.437  0.594 1.291  0.780 1.132  0.904 0.920  1.024 0.706  1.108 0.476  1.161 0.243  1.119 0.001  0.944 -0.163  0.720 -0.249  0.481 -0.284  0.240 -0.236  0.006 -0.166  -0.219 -0.068  -0.416 0.070  -0.477 0.236  -0.247 0.151  -0.034 0.030  0.176 -0.096  0.347 -0.272  0.517 -0.449  0.684 -0.629  0.849 -0.810  1.015 -0.991
3#apb#apb07#app0719/T  1.637 0.810  1.523 0.831  1.382 0.804  1.244 0.772  1.111 0.721  0.976 0.673  0.841 0.626  0.704 0.590  0.564 0.559  0.425 0.527  0.288 0.486  0.151 0.445  0.013 0.411  -0.128 0.391  -0.270 0.371  -0.409 0.340  -0.547 0.304  -0.688 0.284  -0.830 0.272  -0.973 0.270  -1.116 0.270  -1.099 0.283  -0.958 0.306  -0.817 0.329  -0.676 0.352  -0.535 0.375  -0.394 0.398  -0.253 0.421  -0.112 0.444  0.029 0.467  0.170 0.490  0.213 0.457  0.164 0.323  0.119 0.187  0.071 0.053  0.029 -0.084  -0.008 -0.222  -0.044 -0.360  -0.063 -0.501  -0.081 -0.643  -0.099 -0.784  -0.106 -0.927  -0.113 -1.070  -0.121 -1.212  -0.137 -1.354  -0.153 -1.496  -0.174 -1.637  -0.203 -1.777  -0.257 -1.855  -0.289 -1.720
3#apb#apb07#app0719/r  1.610 1.009  1.525 1.156  1.385 1.249  1.214 1.264  1.043 1.258  0.872 1.243  0.714 1.176  0.558 1.104  0.416 1.006  0.281 0.902  0.181 0.762  0.081 0.622  0.026 0.459  -0.028 0.296  -0.074 0.131  -0.089 -0.040  -0.105 -0.212  -0.107 -0.383  -0.092 -0.554  -0.077 -0.726  -0.066 -0.897  -0.058 -1.069  -0.050 -1.241  -0.059 -1.412  -0.091 -1.575  -0.220 -1.498  -0.277 -1.336  -0.329 -1.173  -0.329 -1.001  -0.329 -0.829  -0.329 -0.657  -0.329 -0.485  -0.329 -0.313  -0.329 -0.141  -0.329 0.031  -0.356 0.200  -0.395 0.368  -0.433 0.535  -0.488 0.697  -0.566 0.825  -0.490 0.675  -0.412 0.525  -0.396 0.354  -0.379 0.183  -0.359 0.012  -0.334 -0.158  -0.310 -0.329  -0.314 -0.500  -0.321 -0.672  -0.329 -0.844
