2#tos#t2#t2044064/\"  -0.519 0.683  -0.680 0.683  -0.612 0.640  -0.612 0.478  -0.612 0.317  -0.612 0.155  -0.612 -0.007  -0.650 -0.161  -0.710 -0.312  -0.770 -0.462  -0.800 -0.618  -0.893 -0.741  -0.893 -0.903  -0.893 -1.064  -0.928 -1.191  -0.982 -1.277  -0.888 -1.146  -0.794 -1.014  -0.700 -0.882  -0.606 -0.751  -0.511 -0.619  -0.417 -0.487  -0.323 -0.356  -0.229 -0.224  -0.135 -0.092  -0.041 0.039  0.053 0.171  0.147 0.302  0.241 0.434  0.335 0.566  0.429 0.697  0.523 0.829  0.617 0.961  0.711 1.092  0.805 1.224  0.887 1.317  0.887 1.156  0.887 0.994  0.887 0.832  0.887 0.670  0.887 0.509  0.887 0.347  0.887 0.185  0.887 0.023  0.887 -0.139  0.842 -0.293  0.793 -0.447  0.793 -0.609  0.666 -0.692  0.606 -0.816
2#tos#t2#t2044064/^  -0.197 0.555  -0.277 0.498  -0.351 0.421  -0.473 0.360  -0.594 0.319  -0.637 0.190  -0.735 0.102  -0.843 0.021  -0.933 -0.079  -0.977 -0.208  -1.094 -0.234  -1.210 -0.254  -1.210 -0.390  -1.267 -0.503  -1.184 -0.423  -1.092 -0.323  -1.001 -0.222  -0.910 -0.121  -0.818 -0.020  -0.727 0.081  -0.636 0.182  -0.545 0.283  -0.453 0.384  -0.362 0.485  -0.271 0.586  -0.215 0.649  -0.307 0.555  -0.171 0.555  -0.034 0.555  0.032 0.442  0.168 0.442  0.254 0.391  0.328 0.329  0.464 0.329  0.535 0.265  0.565 0.150  0.694 0.107  0.716 -0.014  0.833 -0.081  0.930 -0.177  1.021 -0.249  1.082 -0.371  1.188 -0.448  1.260 -0.558  1.383 -0.579  1.454 -0.684  1.534 -0.740  1.614 -0.797  1.694 -0.853  1.774 -0.909
2#tos#t2#t2044064/{  0.434 1.607  0.332 1.607  0.233 1.596  0.137 1.571  0.107 1.499  0.038 1.467  0.010 1.371  -0.057 1.296  -0.096 1.208  -0.142 1.120  -0.142 1.018  -0.142 0.916  -0.142 0.814  -0.142 0.713  -0.089 0.627  -0.047 0.540  0.038 0.489  0.070 0.419  0.093 0.329  0.110 0.234  0.110 0.133  0.081 0.059  0.074 -0.035  0.074 -0.137  -0.008 -0.157  -0.088 -0.192  -0.152 -0.265  -0.250 -0.261  -0.214 -0.174  -0.165 -0.121  -0.064 -0.121  -0.011 -0.189  0.002 -0.289  0.038 -0.375  0.038 -0.477  0.038 -0.579  0.002 -0.672  0.002 -0.774  -0.048 -0.855  -0.087 -0.946  -0.106 -1.045  -0.142 -1.132  -0.142 -1.234  -0.142 -1.335  -0.102 -1.420  -0.045 -1.503  0.029 -1.560  0.122 -1.596  0.224 -1.596  0.326 -1.596
2#tos#t2#t2044064/|  0.057 1.574  -0.012 1.566  -0.075 1.535  -0.071 1.492  -0.048 1.431  -0.048 1.360  -0.032 1.296  0.004 1.240  0.004 1.170  0.004 1.099  0.004 1.028  0.004 0.958  0.004 0.887  0.004 0.816  0.004 0.746  0.004 0.675  0.004 0.604  0.004 0.534  0.004 0.463  0.004 0.392  0.004 0.322  0.004 0.251  0.004 0.180  0.004 0.110  0.004 0.039  0.004 -0.032  0.004 -0.102  0.004 -0.173  0.004 -0.244  0.004 -0.314  0.004 -0.385  0.004 -0.456  0.004 -0.526  0.004 -0.597  0.004 -0.668  0.004 -0.738  0.004 -0.809  0.004 -0.880  0.004 -0.950  0.004 -1.021  0.004 -1.092  0.004 -1.162  0.004 -1.233  0.004 -1.304  0.004 -1.374  0.004 -1.445  0.004 -1.516  0.004 -1.586  0.004 -1.589  0.057 -1.571
2#tos#t2#t2044064/4  0.198 1.208  0.086 1.182  -0.042 1.022  -0.168 0.866  -0.329 0.757  -0.417 0.568  -0.536 0.399  -0.652 0.242  -0.711 0.061  -0.890 -0.029  -0.944 -0.223  -1.084 -0.379  -1.104 -0.489  -0.894 -0.489  -0.684 -0.489  -0.474 -0.489  -0.274 -0.446  -0.064 -0.440  0.144 -0.410  0.354 -0.402  0.556 -0.354  0.757 -0.315  0.949 -0.272  0.866 -0.186  0.799 0.014  0.733 0.213  0.666 0.413  0.600 0.612  0.534 0.811  0.467 1.011  0.401 1.210  0.334 1.410  0.141 1.392  0.111 1.203  0.098 0.995  0.068 0.789  0.068 0.579  0.068 0.369  0.068 0.159  0.047 -0.050  0.024 -0.258  0.024 -0.468  0.024 -0.678  0.024 -0.889  0.024 -1.099  0.024 -1.309  0.024 -1.519  0.024 -1.729  -0.019 -1.933  -0.019 -2.143
2#tos#t2#t2044064/5  0.063 1.134  -0.040 1.023  -0.121 0.862  -0.225 0.735  -0.271 0.580  -0.287 0.410  -0.417 0.294  -0.457 0.132  -0.297 0.084  -0.136 0.037  0.023 -0.015  0.169 -0.117  0.232 -0.278  0.260 -0.453  0.302 -0.623  0.302 -0.803  0.302 -0.983  0.187 -1.100  0.139 -1.262  0.021 -1.385  -0.080 -1.468  -0.238 -1.490  -0.418 -1.490  -0.598 -1.490  -0.700 -1.376  -0.700 -1.196  -0.669 -1.021  -0.609 -0.851  -0.549 -0.681  -0.489 -0.511  -0.429 -0.341  -0.368 -0.172  -0.308 -0.002  -0.248 0.168  -0.188 0.338  -0.128 0.508  -0.068 0.678  -0.008 0.847  0.053 1.017  0.107 1.178  -0.021 1.050  0.076 0.961  0.252 0.943  0.433 0.943  0.605 0.911  0.782 0.896  0.960 0.883  1.134 0.848  1.315 0.848  1.352 0.800
2#tos#t2#t2044064/9  -0.321 -0.332  -0.179 -0.435  0.008 -0.382  0.170 -0.255  0.338 -0.176  0.463 -0.013  0.552 0.168  0.642 0.317  0.737 0.493  0.764 0.692  0.746 0.894  0.642 1.048  0.596 1.224  0.414 1.311  0.254 1.420  0.051 1.426  -0.140 1.361  -0.336 1.322  -0.467 1.182  -0.581 1.010  -0.705 0.854  -0.838 0.714  -0.838 0.509  -0.838 0.303  -0.838 0.097  -0.813 -0.098  -0.656 -0.229  -0.500 -0.336  -0.346 -0.435  -0.140 -0.435  0.066 -0.435  0.201 -0.321  0.320 -0.156  0.403 0.015  0.506 0.157  0.558 0.341  0.521 0.252  0.376 0.107  0.299 -0.067  0.229 -0.249  0.166 -0.444  0.086 -0.633  -0.019 -0.805  -0.086 -0.991  -0.114 -1.194  -0.138 -1.397  -0.195 -1.595  -0.272 -1.784  -0.321 -1.978  -0.425 -2.038
2#tos#t2#t2044064/C  0.767 0.837  0.728 0.827  0.714 0.929  0.624 0.987  0.523 1.018  0.419 1.033  0.341 1.106  0.235 1.112  0.127 1.112  0.019 1.112  -0.087 1.102  -0.190 1.072  -0.273 1.013  -0.332 0.929  -0.416 0.872  -0.505 0.813  -0.564 0.725  -0.606 0.627  -0.620 0.521  -0.645 0.418  -0.645 0.310  -0.666 0.207  -0.685 0.103  -0.685 -0.005  -0.685 -0.113  -0.685 -0.221  -0.685 -0.329  -0.671 -0.431  -0.628 -0.526  -0.606 -0.632  -0.599 -0.734  -0.497 -0.769  -0.418 -0.842  -0.342 -0.918  -0.239 -0.933  -0.136 -0.967  -0.029 -0.967  0.079 -0.967  0.187 -0.967  0.295 -0.967  0.403 -0.967  0.501 -0.935  0.595 -0.883  0.699 -0.857  0.783 -0.794  0.874 -0.737  0.967 -0.685  1.031 -0.614  1.107 -0.562  1.120 -0.457
2#tos#t2#t2044064/E  -0.394 1.107  -0.549 0.960  -0.549 0.657  -0.549 0.355  -0.549 0.052  -0.529 -0.247  -0.497 -0.544  -0.497 -0.846  -0.497 -1.149  -0.497 -1.405  -0.491 -1.103  -0.485 -0.800  -0.479 -0.498  -0.473 -0.196  -0.468 0.107  -0.462 0.409  -0.456 0.711  -0.450 1.014  -0.495 1.262  -0.193 1.262  0.110 1.262  0.409 1.275  0.702 1.314  0.729 1.211  0.501 1.012  0.273 0.814  0.045 0.616  -0.183 0.417  -0.434 0.279  -0.361 0.176  -0.072 0.197  0.179 0.279  0.482 0.279  0.784 0.279  1.065 0.331  1.036 0.284  0.800 0.094  0.565 -0.096  0.329 -0.286  0.094 -0.476  -0.141 -0.665  -0.377 -0.855  -0.560 -1.077  -0.355 -1.118  -0.074 -1.169  0.228 -1.169  0.530 -1.169  0.824 -1.118  1.063 -1.014  1.365 -1.014
2#tos#t2#t2044064/I  0.161 1.572  0.109 1.527  0.039 1.527  -0.019 1.515  -0.019 1.445  -0.019 1.375  -0.019 1.304  -0.019 1.234  -0.019 1.164  -0.019 1.093  -0.019 1.023  -0.019 0.953  -0.019 0.883  -0.019 0.812  -0.019 0.742  -0.019 0.672  -0.019 0.602  -0.019 0.531  -0.019 0.461  -0.019 0.391  -0.019 0.320  -0.019 0.250  -0.019 0.180  -0.019 0.110  -0.019 0.039  -0.019 -0.031  -0.019 -0.101  -0.019 -0.171  -0.019 -0.242  -0.019 -0.312  -0.019 -0.382  -0.019 -0.453  -0.019 -0.523  -0.019 -0.593  -0.019 -0.663  -0.019 -0.734  -0.019 -0.804  -0.015 -0.874  0.002 -0.942  0.019 -1.010  0.026 -1.079  0.026 -1.150  0.026 -1.220  0.026 -1.290  0.026 -1.360  0.026 -1.431  0.026 -1.501  0.026 -1.571  0.046 -1.622  0.071 -1.667
2#tos#t2#t2044064/J  -0.695 0.718  -0.818 0.704  -0.909 0.613  -1.006 0.537  -0.908 0.537  -0.780 0.537  -0.652 0.548  -0.527 0.573  -0.398 0.573  -0.274 0.588  -0.165 0.657  -0.050 0.715  0.077 0.718  0.206 0.718  0.335 0.718  0.460 0.744  0.588 0.755  0.716 0.755  0.845 0.755  0.937 0.791  0.952 0.785  0.828 0.751  0.704 0.716  0.580 0.682  0.456 0.648  0.332 0.613  0.276 0.537  0.211 0.474  0.211 0.345  0.211 0.217  0.211 0.088  0.175 -0.032  0.175 -0.161  0.175 -0.290  0.175 -0.418  0.175 -0.547  0.158 -0.673  0.138 -0.798  0.132 -0.925  0.059 -1.029  0.030 -1.146  0.030 -1.274  -0.041 -1.382  -0.157 -1.400  -0.215 -1.507  -0.339 -1.529  -0.467 -1.529  -0.596 -1.529  -0.716 -1.488  -0.840 -1.457
2#tos#t2#t2044064/K  -0.478 1.730  -0.512 1.618  -0.478 1.409  -0.453 1.183  -0.435 0.956  -0.435 0.726  -0.442 0.496  -0.478 0.271  -0.478 0.041  -0.478 -0.189  -0.499 -0.418  -0.521 -0.646  -0.521 -0.876  -0.521 -1.106  -0.521 -1.336  -0.564 -1.523  -0.548 -1.322  -0.531 -1.093  -0.514 -0.863  -0.498 -0.634  -0.481 -0.404  -0.464 -0.175  -0.447 0.054  -0.493 0.225  -0.459 0.148  -0.257 0.231  -0.060 0.311  0.142 0.406  0.347 0.509  0.553 0.612  0.753 0.721  0.970 0.784  1.147 0.870  0.951 0.787  0.738 0.700  0.525 0.613  0.312 0.526  0.099 0.439  -0.110 0.356  -0.210 0.172  -0.022 0.070  0.097 -0.076  0.244 -0.220  0.395 -0.390  0.529 -0.576  0.687 -0.737  0.864 -0.876  1.002 -1.040  1.179 -1.183  1.371 -1.279
2#tos#t2#t2044064/L  -0.361 1.687  -0.399 1.633  -0.399 1.541  -0.399 1.449  -0.399 1.357  -0.399 1.265  -0.399 1.174  -0.399 1.082  -0.399 0.990  -0.399 0.898  -0.399 0.806  -0.399 0.714  -0.414 0.624  -0.437 0.535  -0.438 0.443  -0.442 0.351  -0.457 0.260  -0.472 0.170  -0.476 0.078  -0.490 -0.012  -0.515 -0.100  -0.515 -0.192  -0.515 -0.283  -0.515 -0.375  -0.515 -0.467  -0.515 -0.559  -0.515 -0.651  -0.472 -0.701  -0.381 -0.701  -0.289 -0.701  -0.197 -0.701  -0.105 -0.701  -0.013 -0.701  0.079 -0.701  0.171 -0.701  0.261 -0.681  0.350 -0.663  0.442 -0.663  0.532 -0.647  0.620 -0.624  0.711 -0.618  0.801 -0.600  0.892 -0.585  0.984 -0.585  1.076 -0.585  1.153 -0.562  1.212 -0.508  1.304 -0.508  1.396 -0.508  1.449 -0.470
2#tos#t2#t2044064/N  -0.653 1.089  -0.756 1.012  -0.756 0.763  -0.756 0.513  -0.756 0.264  -0.756 0.015  -0.756 -0.235  -0.756 -0.484  -0.756 -0.733  -0.756 -0.982  -0.756 -1.232  -0.791 -1.190  -0.791 -0.940  -0.791 -0.691  -0.791 -0.442  -0.791 -0.193  -0.791 0.057  -0.791 0.306  -0.791 0.555  -0.791 0.805  -0.792 0.849  -0.636 0.694  -0.501 0.518  -0.361 0.334  -0.187 0.182  -0.017 0.006  0.141 -0.186  0.333 -0.344  0.504 -0.519  0.643 -0.715  0.791 -0.893  0.793 -0.875  0.805 -0.626  0.817 -0.377  0.829 -0.128  0.841 0.121  0.853 0.370  0.865 0.619  0.877 0.868  0.889 1.117  0.791 1.191  0.791 0.942  0.791 0.692  0.791 0.443  0.791 0.194  0.764 -0.052  0.757 -0.301  0.786 -0.545  0.791 -0.794  0.791 -1.043
2#tos#t2#t2044064/O  0.172 0.954  0.126 1.050  0.017 1.081  -0.105 1.022  -0.226 0.986  -0.342 0.921  -0.458 0.852  -0.557 0.755  -0.647 0.649  -0.730 0.538  -0.805 0.422  -0.846 0.298  -0.928 0.199  -0.942 0.060  -0.942 -0.082  -0.942 -0.223  -0.942 -0.365  -0.900 -0.496  -0.849 -0.628  -0.771 -0.743  -0.689 -0.857  -0.557 -0.899  -0.481 -0.999  -0.350 -1.038  -0.227 -1.082  -0.086 -1.082  0.056 -1.082  0.197 -1.082  0.327 -1.043  0.455 -1.000  0.580 -0.936  0.689 -0.852  0.773 -0.738  0.872 -0.649  0.903 -0.513  0.922 -0.374  0.936 -0.234  0.936 -0.092  0.936 0.049  0.879 0.177  0.872 0.317  0.818 0.436  0.718 0.536  0.623 0.622  0.536 0.723  0.442 0.819  0.329 0.890  0.200 0.922  0.059 0.922  -0.051 0.890
2#tos#t2#t2044064/P  -0.258 1.022  -0.366 0.917  -0.366 0.704  -0.366 0.491  -0.366 0.279  -0.360 0.067  -0.330 -0.143  -0.330 -0.355  -0.330 -0.568  -0.330 -0.780  -0.330 -0.993  -0.330 -1.205  -0.330 -1.418  -0.330 -1.631  -0.331 -1.475  -0.334 -1.263  -0.337 -1.050  -0.339 -0.838  -0.342 -0.625  -0.345 -0.413  -0.348 -0.200  -0.351 0.012  -0.354 0.225  -0.356 0.437  -0.359 0.650  -0.362 0.862  -0.365 1.075  -0.519 1.106  -0.360 1.093  -0.156 1.129  0.056 1.129  0.269 1.129  0.481 1.129  0.694 1.129  0.906 1.129  1.006 1.008  1.064 0.820  1.064 0.607  1.064 0.395  0.993 0.204  0.911 0.019  0.841 -0.167  0.735 -0.344  0.584 -0.495  0.411 -0.617  0.252 -0.756  0.049 -0.814  -0.155 -0.873  -0.368 -0.873  -0.580 -0.873
2#tos#t2#t2044064/R  -0.302 1.267  -0.451 1.118  -0.467 0.863  -0.467 0.604  -0.434 0.349  -0.434 0.091  -0.434 -0.167  -0.434 -0.426  -0.434 -0.684  -0.434 -0.943  -0.467 -1.197  -0.471 -1.454  -0.503 -1.333  -0.506 -1.074  -0.509 -0.816  -0.512 -0.558  -0.515 -0.299  -0.518 -0.041  -0.521 0.217  -0.524 0.476  -0.528 0.734  -0.531 0.992  -0.549 1.226  -0.399 1.201  -0.140 1.201  0.118 1.201  0.376 1.201  0.626 1.167  0.811 1.068  0.858 0.856  0.759 0.621  0.631 0.439  0.488 0.229  0.321 0.043  0.162 -0.125  -0.040 -0.261  -0.221 -0.395  -0.415 -0.529  -0.424 -0.481  -0.210 -0.335  0.004 -0.190  0.217 -0.045  0.311 -0.100  0.467 -0.294  0.648 -0.471  0.842 -0.639  1.040 -0.804  1.218 -0.991  1.373 -1.196  1.521 -1.317
2#tos#t2#t2044064/T  -1.374 0.286  -1.483 0.251  -1.520 0.159  -1.394 0.177  -1.249 0.177  -1.115 0.221  -0.973 0.250  -0.839 0.301  -0.700 0.341  -0.559 0.359  -0.416 0.373  -0.273 0.396  -0.129 0.396  0.015 0.396  0.156 0.423  0.294 0.465  0.438 0.469  0.582 0.469  0.726 0.469  0.871 0.469  1.012 0.491  1.146 0.542  1.291 0.542  1.251 0.578  1.108 0.560  0.965 0.542  0.822 0.524  0.679 0.506  0.535 0.488  0.392 0.471  0.249 0.453  0.106 0.435  -0.038 0.432  -0.073 0.323  -0.097 0.203  -0.061 0.073  -0.025 -0.062  -0.025 -0.207  -0.025 -0.351  -0.025 -0.495  -0.025 -0.640  -0.025 -0.784  -0.025 -0.928  -0.025 -1.073  -0.025 -1.217  -0.025 -1.361  -0.025 -1.506  -0.025 -1.650  -0.025 -1.794  -0.025 -1.938
2#tos#t2#t2044064/U  -0.673 1.133  -0.788 1.133  -0.767 1.060  -0.767 0.945  -0.767 0.830  -0.767 0.716  -0.767 0.601  -0.767 0.486  -0.767 0.371  -0.767 0.256  -0.767 0.141  -0.767 0.026  -0.767 -0.089  -0.767 -0.203  -0.698 -0.290  -0.673 -0.394  -0.641 -0.504  -0.610 -0.606  -0.590 -0.712  -0.507 -0.792  -0.421 -0.861  -0.361 -0.932  -0.287 -1.006  -0.175 -1.020  -0.072 -1.069  0.043 -1.069  0.153 -1.050  0.250 -0.989  0.348 -0.929  0.429 -0.848  0.492 -0.752  0.555 -0.656  0.598 -0.550  0.646 -0.445  0.680 -0.338  0.684 -0.224  0.700 -0.110  0.724 0.002  0.767 0.108  0.774 0.222  0.774 0.337  0.777 0.451  0.805 0.561  0.805 0.676  0.805 0.791  0.805 0.906  0.801 1.020  0.774 1.131  0.774 1.245  0.743 1.290
