2#apb#apb22#app2241/S  0.955 1.215  0.863 1.261  0.761 1.263  0.658 1.263  0.556 1.263  0.453 1.263  0.359 1.225  0.265 1.182  0.174 1.136  0.083 1.087  -0.007 1.039  -0.080 0.967  -0.153 0.894  -0.223 0.820  -0.290 0.742  -0.356 0.663  -0.409 0.576  -0.455 0.484  -0.468 0.383  -0.451 0.291  -0.378 0.218  -0.295 0.158  -0.212 0.097  -0.118 0.058  -0.022 0.021  0.071 -0.022  0.163 -0.068  0.254 -0.116  0.342 -0.169  0.412 -0.238  0.458 -0.330  0.473 -0.429  0.473 -0.532  0.432 -0.625  0.389 -0.718  0.322 -0.794  0.246 -0.863  0.166 -0.927  0.079 -0.981  -0.008 -1.036  -0.100 -1.080  -0.198 -1.110  -0.296 -1.141  -0.395 -1.166  -0.495 -1.189  -0.595 -1.211  -0.698 -1.211  -0.801 -1.211  -0.903 -1.204  -1.005 -1.195
2#apb#apb22#app2241/v  -0.283 1.281  -0.251 1.375  -0.197 1.281  -0.199 1.156  -0.211 1.030  -0.226 0.904  -0.245 0.779  -0.264 0.653  -0.284 0.528  -0.316 0.405  -0.348 0.283  -0.381 0.160  -0.413 0.038  -0.446 -0.085  -0.486 -0.205  -0.527 -0.325  -0.567 -0.446  -0.607 -0.566  -0.640 -0.688  -0.665 -0.812  -0.690 -0.937  -0.714 -1.061  -0.737 -1.186  -0.738 -1.305  -0.624 -1.285  -0.530 -1.199  -0.436 -1.114  -0.342 -1.029  -0.253 -0.940  -0.170 -0.844  -0.086 -0.748  -0.003 -0.652  0.080 -0.556  0.155 -0.455  0.221 -0.347  0.287 -0.238  0.353 -0.130  0.419 -0.022  0.491 0.082  0.577 0.175  0.664 0.268  0.750 0.360  0.837 0.453  0.921 0.547  0.997 0.649  1.073 0.750  1.149 0.852  1.226 0.953  1.302 1.055  1.378 1.156
2#apb#apb22#app2241/e  -0.097 -0.473  -0.016 -0.376  0.064 -0.280  0.135 -0.176  0.205 -0.071  0.275 0.033  0.354 0.131  0.434 0.228  0.513 0.325  0.593 0.422  0.676 0.517  0.759 0.612  0.831 0.713  0.875 0.831  0.919 0.948  0.891 1.070  0.809 1.164  0.695 1.178  0.570 1.165  0.450 1.136  0.344 1.068  0.238 1.000  0.133 0.932  0.027 0.864  -0.074 0.788  -0.173 0.711  -0.272 0.634  -0.352 0.538  -0.423 0.434  -0.495 0.331  -0.567 0.228  -0.622 0.116  -0.659 -0.004  -0.696 -0.124  -0.733 -0.244  -0.741 -0.369  -0.741 -0.495  -0.741 -0.620  -0.740 -0.746  -0.670 -0.850  -0.601 -0.955  -0.531 -1.060  -0.461 -1.164  -0.385 -1.262  -0.275 -1.323  -0.165 -1.383  -0.055 -1.444  0.056 -1.505  0.166 -1.565  0.276 -1.626
2#apb#apb22#app2241/r  0.015 0.254  0.070 0.369  0.003 0.396  -0.043 0.274  -0.091 0.153  -0.141 0.033  -0.204 -0.081  -0.268 -0.195  -0.316 -0.316  -0.360 -0.438  -0.404 -0.561  -0.446 -0.684  -0.484 -0.809  -0.522 -0.933  -0.571 -1.052  -0.656 -1.151  -0.737 -1.252  -0.785 -1.373  -0.791 -1.332  -0.788 -1.202  -0.732 -1.084  -0.677 -0.966  -0.621 -0.849  -0.566 -0.731  -0.507 -0.615  -0.446 -0.500  -0.385 -0.384  -0.325 -0.269  -0.264 -0.154  -0.207 -0.037  -0.152 0.081  -0.096 0.199  -0.040 0.317  0.016 0.434  0.108 0.526  0.200 0.618  0.292 0.710  0.384 0.803  0.473 0.898  0.560 0.995  0.647 1.092  0.753 1.166  0.866 1.230  0.994 1.239  1.082 1.161  1.152 1.051  1.198 0.929  1.242 0.807  1.270 0.680  1.298 0.553
2#apb#apb22#app2241/s  0.778 1.143  0.727 1.240  0.624 1.292  0.520 1.342  0.412 1.301  0.304 1.261  0.207 1.199  0.111 1.135  0.015 1.071  -0.081 1.007  -0.177 0.943  -0.273 0.879  -0.369 0.815  -0.458 0.741  -0.544 0.664  -0.630 0.587  -0.706 0.501  -0.780 0.412  -0.810 0.306  -0.758 0.203  -0.653 0.156  -0.547 0.109  -0.437 0.076  -0.324 0.052  -0.212 0.027  -0.099 0.003  0.013 -0.025  0.125 -0.053  0.237 -0.081  0.348 -0.114  0.458 -0.147  0.549 -0.207  0.613 -0.303  0.656 -0.409  0.688 -0.520  0.644 -0.622  0.587 -0.722  0.514 -0.811  0.439 -0.899  0.352 -0.974  0.257 -1.039  0.162 -1.105  0.067 -1.171  -0.035 -1.224  -0.140 -1.270  -0.248 -1.311  -0.361 -1.334  -0.474 -1.356  -0.588 -1.374  -0.702 -1.391
2#apb#apb22#app2241/i  0.488 0.852  0.403 0.753  0.333 0.644  0.281 0.525  0.229 0.405  0.163 0.293  0.087 0.187  0.011 0.080  -0.046 -0.036  -0.096 -0.157  -0.146 -0.277  -0.194 -0.399  -0.241 -0.520  -0.288 -0.642  -0.334 -0.764  -0.377 -0.887  -0.421 -1.010  -0.457 -1.135  -0.485 -1.263  -0.511 -1.391  -0.511 -1.521  -0.488 -1.511  -0.446 -1.387  -0.405 -1.263  -0.364 -1.139  -0.323 -1.015  -0.281 -0.891  -0.240 -0.768  -0.199 -0.644  -0.157 -0.520  -0.116 -0.396  -0.075 -0.272  -0.034 -0.148  0.008 -0.025  0.049 0.099  0.090 0.223  0.132 0.347  0.173 0.471  0.214 0.595  0.255 0.718  0.297 0.842  0.338 0.966  0.379 1.090  0.420 1.214  0.462 1.338  0.503 1.461  0.544 1.585  0.544 1.692  0.471 1.794  0.358 1.807
2#apb#apb22#app2241/t  1.125 1.779  1.082 1.661  1.038 1.542  0.991 1.425  0.937 1.310  0.882 1.196  0.827 1.082  0.769 0.970  0.711 0.858  0.653 0.745  0.595 0.633  0.537 0.521  0.479 0.408  0.421 0.296  0.363 0.183  0.305 0.071  0.247 -0.042  0.189 -0.154  0.131 -0.266  0.073 -0.379  0.013 -0.490  -0.049 -0.600  -0.111 -0.710  -0.174 -0.820  -0.242 -0.927  -0.310 -1.033  -0.380 -1.139  -0.452 -1.243  -0.546 -1.322  -0.578 -1.213  -0.602 -1.089  -0.627 -0.965  -0.652 -0.841  -0.677 -0.716  -0.702 -0.592  -0.727 -0.468  -0.751 -0.344  -0.776 -0.220  -0.801 -0.096  -0.826 0.028  -0.807 0.116  -0.681 0.116  -0.554 0.116  -0.428 0.114  -0.301 0.109  -0.175 0.103  -0.049 0.095  0.077 0.080  0.202 0.064  0.328 0.048
2#apb#apb22#app2241/y  -1.026 0.991  -0.977 0.885  -0.912 0.785  -0.839 0.691  -0.763 0.599  -0.683 0.510  -0.593 0.436  -0.484 0.388  -0.371 0.349  -0.257 0.314  -0.138 0.310  -0.020 0.319  0.095 0.351  0.205 0.393  0.306 0.457  0.406 0.522  0.494 0.602  0.582 0.683  0.669 0.765  0.753 0.849  0.844 0.925  0.948 0.982  0.905 0.899  0.839 0.800  0.766 0.705  0.694 0.610  0.621 0.515  0.554 0.417  0.489 0.317  0.424 0.217  0.358 0.117  0.293 0.017  0.230 -0.084  0.170 -0.187  0.109 -0.290  0.049 -0.393  -0.012 -0.496  -0.072 -0.599  -0.127 -0.705  -0.179 -0.812  -0.231 -0.920  -0.282 -1.027  -0.334 -1.135  -0.382 -1.244  -0.422 -1.356  -0.463 -1.469  -0.504 -1.581  -0.543 -1.694  -0.578 -1.808  -0.613 -1.922
2#apb#apb22#app2241/W  -0.738 1.323  -0.738 1.377  -0.738 1.241  -0.748 1.105  -0.762 0.969  -0.778 0.833  -0.799 0.698  -0.820 0.563  -0.841 0.429  -0.864 0.294  -0.888 0.159  -0.911 0.025  -0.920 -0.111  -0.926 -0.248  -0.925 -0.384  -0.896 -0.517  -0.848 -0.643  -0.760 -0.726  -0.626 -0.717  -0.511 -0.643  -0.400 -0.564  -0.311 -0.462  -0.221 -0.359  -0.131 -0.255  -0.042 -0.152  0.041 -0.044  0.120 0.067  0.134 -0.005  0.125 -0.141  0.110 -0.277  0.093 -0.412  0.074 -0.547  0.091 -0.681  0.182 -0.766  0.303 -0.751  0.424 -0.687  0.523 -0.594  0.620 -0.498  0.717 -0.401  0.813 -0.305  0.910 -0.208  1.006 -0.111  1.094 -0.007  1.172 0.105  1.250 0.217  1.329 0.328  1.408 0.440  1.482 0.554  1.534 0.680  1.586 0.807
2#apb#apb22#app2241/a  0.743 0.876  0.643 1.016  0.510 1.107  0.342 1.148  0.171 1.163  0.002 1.168  -0.149 1.085  -0.301 1.003  -0.434 0.894  -0.565 0.783  -0.696 0.672  -0.806 0.539  -0.915 0.406  -1.024 0.272  -1.110 0.127  -1.149 -0.040  -1.188 -0.208  -1.217 -0.377  -1.217 -0.549  -1.146 -0.685  -1.009 -0.789  -0.845 -0.813  -0.672 -0.813  -0.506 -0.789  -0.352 -0.712  -0.198 -0.635  -0.044 -0.558  0.102 -0.469  0.236 -0.360  0.369 -0.251  0.503 -0.143  0.627 -0.024  0.749 0.098  0.871 0.220  0.987 0.346  1.099 0.477  1.089 0.584  0.986 0.446  0.881 0.309  0.775 0.174  0.669 0.039  0.572 -0.103  0.503 -0.260  0.433 -0.418  0.363 -0.575  0.314 -0.740  0.270 -0.906  0.232 -1.073  0.246 -1.245  0.260 -1.416
2#apb#apb22#app2241/t  1.039 1.659  0.932 1.677  0.845 1.566  0.784 1.435  0.723 1.303  0.658 1.173  0.593 1.044  0.550 0.906  0.515 0.765  0.480 0.624  0.444 0.483  0.398 0.346  0.349 0.209  0.300 0.073  0.251 -0.064  0.200 -0.200  0.148 -0.335  0.096 -0.471  0.044 -0.606  -0.006 -0.742  -0.036 -0.884  -0.066 -1.026  -0.096 -1.168  -0.128 -1.310  -0.161 -1.451  -0.144 -1.594  -0.180 -1.479  -0.221 -1.340  -0.262 -1.201  -0.304 -1.062  -0.345 -0.923  -0.387 -0.784  -0.428 -0.645  -0.470 -0.506  -0.511 -0.367  -0.552 -0.228  -0.594 -0.088  -0.635 0.051  -0.677 0.190  -0.718 0.329  -0.760 0.468  -0.752 0.570  -0.616 0.522  -0.475 0.489  -0.331 0.468  -0.188 0.448  -0.044 0.430  0.101 0.423  0.246 0.416  0.391 0.408
2#apb#apb22#app2241/e  -0.522 -0.601  -0.427 -0.518  -0.343 -0.412  -0.255 -0.310  -0.151 -0.224  -0.047 -0.139  0.057 -0.053  0.162 0.033  0.264 0.121  0.365 0.211  0.465 0.301  0.566 0.390  0.667 0.480  0.761 0.576  0.853 0.675  0.944 0.775  1.033 0.876  1.088 0.999  1.133 1.121  1.007 1.132  0.873 1.118  0.747 1.073  0.625 1.015  0.504 0.958  0.382 0.900  0.268 0.830  0.166 0.741  0.065 0.652  -0.037 0.563  -0.138 0.473  -0.222 0.368  -0.306 0.263  -0.391 0.157  -0.475 0.052  -0.559 -0.053  -0.625 -0.171  -0.685 -0.292  -0.745 -0.412  -0.800 -0.535  -0.816 -0.669  -0.832 -0.803  -0.848 -0.937  -0.811 -1.059  -0.740 -1.174  -0.669 -1.289  -0.570 -1.366  -0.440 -1.403  -0.311 -1.441  -0.181 -1.478  -0.051 -1.515
2#apb#apb22#app2241/r  -0.374 0.683  -0.483 0.552  -0.592 0.421  -0.684 0.278  -0.769 0.130  -0.842 -0.024  -0.893 -0.186  -0.945 -0.349  -0.978 -0.515  -0.988 -0.685  -0.997 -0.856  -0.999 -1.026  -0.994 -1.196  -0.912 -1.274  -0.822 -1.129  -0.734 -0.983  -0.646 -0.837  -0.561 -0.689  -0.492 -0.533  -0.423 -0.377  -0.348 -0.224  -0.261 -0.077  -0.175 0.070  -0.088 0.217  0.002 0.362  0.095 0.505  0.188 0.648  0.283 0.790  0.398 0.915  0.514 1.041  0.651 1.133  0.813 1.187  0.973 1.247  1.083 1.145  1.085 0.999  1.008 0.846  0.939 0.690  0.871 0.534  0.788 0.386  0.678 0.255  0.568 0.125  0.448 0.004  0.327 -0.117  0.254 -0.220  0.363 -0.351  0.487 -0.467  0.614 -0.581  0.736 -0.701  0.856 -0.822  0.977 -0.943
2#apb#apb22#app2241/W  -0.585 1.294  -0.620 1.375  -0.637 1.280  -0.682 1.158  -0.723 1.035  -0.755 0.909  -0.783 0.783  -0.811 0.656  -0.834 0.528  -0.856 0.400  -0.879 0.272  -0.904 0.144  -0.930 0.017  -0.943 -0.112  -0.951 -0.242  -0.941 -0.371  -0.878 -0.480  -0.752 -0.470  -0.631 -0.423  -0.517 -0.362  -0.408 -0.292  -0.305 -0.212  -0.207 -0.127  -0.101 -0.053  0.007 0.018  0.021 -0.066  -0.007 -0.193  -0.021 -0.322  -0.035 -0.451  -0.043 -0.581  -0.043 -0.710  -0.002 -0.827  0.117 -0.879  0.241 -0.846  0.362 -0.801  0.471 -0.730  0.580 -0.660  0.684 -0.582  0.781 -0.496  0.879 -0.410  0.965 -0.313  1.047 -0.213  1.127 -0.110  1.195 0.000  1.263 0.111  1.320 0.228  1.372 0.347  1.411 0.470  1.442 0.596  1.498 0.712
2#apb#apb22#app2241/o  0.641 0.702  0.566 0.802  0.489 0.901  0.411 0.999  0.328 1.093  0.223 1.114  0.104 1.074  -0.005 1.015  -0.105 0.939  -0.206 0.864  -0.306 0.789  -0.406 0.713  -0.481 0.614  -0.550 0.509  -0.620 0.405  -0.690 0.300  -0.759 0.196  -0.824 0.089  -0.869 -0.028  -0.914 -0.145  -0.959 -0.262  -1.004 -0.379  -1.025 -0.503  -1.041 -0.627  -1.026 -0.741  -0.937 -0.830  -0.849 -0.919  -0.738 -0.939  -0.614 -0.918  -0.490 -0.897  -0.367 -0.877  -0.248 -0.836  -0.131 -0.791  -0.014 -0.745  0.102 -0.700  0.219 -0.654  0.336 -0.609  0.444 -0.545  0.548 -0.475  0.653 -0.406  0.757 -0.336  0.861 -0.267  0.963 -0.194  1.040 -0.095  1.117 0.004  1.194 0.103  1.265 0.206  1.329 0.314  1.317 0.428  1.271 0.544
2#apb#apb22#app2241/r  -0.759 0.596  -0.759 0.431  -0.759 0.265  -0.776 0.100  -0.796 -0.065  -0.820 -0.229  -0.882 -0.383  -0.944 -0.537  -1.003 -0.691  -1.060 -0.847  -1.127 -0.998  -1.160 -1.083  -1.066 -0.946  -0.972 -0.810  -0.877 -0.673  -0.774 -0.543  -0.671 -0.414  -0.567 -0.284  -0.471 -0.149  -0.379 -0.011  -0.287 0.127  -0.195 0.265  -0.081 0.386  0.032 0.507  0.145 0.628  0.266 0.742  0.393 0.849  0.519 0.956  0.645 1.064  0.776 1.162  0.937 1.203  1.066 1.126  1.119 0.982  1.103 0.818  1.060 0.658  1.018 0.498  0.924 0.365  0.812 0.242  0.701 0.119  0.591 -0.005  0.478 -0.126  0.353 -0.235  0.213 -0.317  0.192 -0.385  0.343 -0.445  0.480 -0.535  0.590 -0.659  0.700 -0.783  0.811 -0.906  0.922 -1.029
2#apb#apb22#app2241/k  0.671 2.086  0.633 1.887  0.559 1.698  0.464 1.518  0.372 1.337  0.300 1.146  0.228 0.955  0.155 0.765  0.080 0.575  0.002 0.387  -0.076 0.199  -0.154 0.010  -0.217 -0.183  -0.276 -0.378  -0.335 -0.573  -0.425 -0.756  -0.518 -0.937  -0.623 -1.112  -0.699 -1.300  -0.761 -1.144  -0.781 -0.941  -0.802 -0.738  -0.822 -0.535  -0.841 -0.332  -0.828 -0.130  -0.680 -0.020  -0.491 0.056  -0.302 0.132  -0.113 0.209  0.076 0.286  0.270 0.348  0.464 0.409  0.665 0.437  0.868 0.449  1.070 0.477  1.140 0.460  0.971 0.346  0.803 0.231  0.635 0.116  0.466 0.001  0.298 -0.114  0.129 -0.228  -0.039 -0.343  -0.207 -0.458  -0.376 -0.573  -0.329 -0.763  -0.269 -0.958  -0.209 -1.153  -0.122 -1.336  -0.025 -1.516
2#apb#apb22#app2241/s  0.915 1.205  0.817 1.231  0.713 1.231  0.610 1.231  0.512 1.200  0.416 1.160  0.320 1.121  0.224 1.081  0.130 1.039  0.040 0.988  -0.051 0.938  -0.142 0.888  -0.232 0.837  -0.323 0.787  -0.414 0.738  -0.506 0.689  -0.597 0.640  -0.667 0.566  -0.727 0.482  -0.774 0.390  -0.783 0.298  -0.718 0.217  -0.629 0.164  -0.540 0.110  -0.450 0.059  -0.356 0.016  -0.262 -0.028  -0.168 -0.072  -0.076 -0.119  0.012 -0.174  0.099 -0.230  0.186 -0.286  0.263 -0.355  0.340 -0.425  0.417 -0.494  0.456 -0.587  0.484 -0.687  0.511 -0.787  0.465 -0.880  0.419 -0.973  0.368 -1.062  0.304 -1.144  0.240 -1.226  0.164 -1.294  0.075 -1.347  -0.014 -1.400  -0.112 -1.423  -0.216 -1.430  -0.319 -1.437  -0.423 -1.444
2#apb#apb22#app2241/A  -1.050 -1.062  -1.194 -1.124  -1.310 -1.076  -1.261 -0.930  -1.191 -0.788  -1.111 -0.652  -1.023 -0.522  -0.934 -0.391  -0.845 -0.260  -0.745 -0.138  -0.641 -0.019  -0.538 0.100  -0.434 0.219  -0.329 0.337  -0.222 0.453  -0.115 0.569  -0.007 0.685  0.099 0.802  0.202 0.921  0.305 1.041  0.410 1.159  0.541 1.247  0.673 1.334  0.807 1.383  0.890 1.259  0.901 1.103  0.886 0.946  0.866 0.789  0.832 0.635  0.799 0.481  0.764 0.327  0.711 0.178  0.659 0.029  0.606 -0.120  0.546 -0.266  0.480 -0.409  0.414 -0.553  0.356 -0.699  0.314 -0.851  0.274 -1.004  0.225 -1.075  0.140 -0.942  0.055 -0.809  -0.030 -0.676  -0.115 -0.543  -0.201 -0.410  -0.286 -0.277  -0.207 -0.180  -0.059 -0.129  0.094 -0.091
