2#app#app09#app0901/S  0.241 0.509  0.144 0.605  0.124 0.733  0.112 0.858  0.008 0.890  -0.044 0.974  -0.109 1.046  -0.200 1.091  -0.337 1.091  -0.473 1.091  -0.609 1.091  -0.746 1.091  -0.807 1.015  -0.902 0.974  -0.923 0.859  -0.923 0.723  -0.896 0.598  -0.796 0.509  -0.669 0.487  -0.572 0.392  -0.442 0.349  -0.313 0.305  -0.186 0.257  -0.064 0.196  0.064 0.160  0.192 0.126  0.314 0.065  0.420 -0.019  0.534 -0.073  0.670 -0.073  0.706 -0.174  0.791 -0.275  0.915 -0.306  0.939 -0.418  0.932 -0.553  0.871 -0.675  0.822 -0.800  0.788 -0.922  0.692 -1.018  0.595 -1.115  0.465 -1.129  0.368 -1.225  0.237 -1.237  0.100 -1.237  -0.036 -1.237  -0.166 -1.208  -0.288 -1.147  -0.418 -1.120  -0.554 -1.120  -0.574 -1.004
2#app#app09#app0901/h  -0.447 1.358  -0.472 1.484  -0.568 1.580  -0.664 1.645  -0.749 1.544  -0.749 1.408  -0.749 1.272  -0.749 1.136  -0.749 1.000  -0.749 0.864  -0.693 0.741  -0.649 0.615  -0.616 0.487  -0.555 0.365  -0.534 0.236  -0.447 0.136  -0.447 -0.000  -0.410 -0.127  -0.349 -0.249  -0.288 -0.371  -0.245 -0.497  -0.192 -0.611  -0.095 -0.707  -0.043 -0.822  -0.043 -0.958  -0.043 -1.094  0.024 -1.163  0.057 -1.060  0.057 -0.923  0.057 -0.787  0.057 -0.651  0.057 -0.515  0.092 -0.387  0.153 -0.265  0.158 -0.130  0.158 0.006  0.225 0.114  0.347 0.148  0.476 0.133  0.573 0.036  0.669 -0.060  0.765 -0.156  0.862 -0.252  0.958 -0.349  0.990 -0.457  1.066 -0.517  1.066 -0.653  1.096 -0.759  1.167 -0.825  1.167 -0.961
2#app#app09#app0901/e  -0.558 0.131  -0.558 0.287  -0.558 0.231  -0.501 0.131  -0.345 0.131  -0.189 0.131  -0.032 0.131  0.124 0.131  0.280 0.131  0.437 0.131  0.558 0.215  0.669 0.326  0.680 0.478  0.770 0.543  0.886 0.584  0.886 0.740  0.886 0.897  0.817 1.024  0.707 1.135  0.561 1.162  0.405 1.162  0.254 1.149  0.144 1.038  0.021 0.956  -0.135 0.956  -0.248 0.853  -0.359 0.742  -0.470 0.631  -0.558 0.512  -0.558 0.355  -0.655 0.239  -0.764 0.128  -0.764 -0.028  -0.764 -0.185  -0.764 -0.341  -0.758 -0.495  -0.647 -0.605  -0.558 -0.724  -0.558 -0.881  -0.421 -0.900  -0.290 -0.962  -0.180 -1.072  -0.069 -1.183  0.041 -1.293  0.190 -1.313  0.323 -1.369  0.433 -1.479  0.573 -1.519  0.730 -1.519  0.886 -1.519
2#app#app09#app0901/d  0.463 -0.471  0.463 -0.265  0.315 -0.196  0.155 -0.087  -0.013 -0.178  -0.196 -0.233  -0.342 -0.379  -0.487 -0.524  -0.633 -0.670  -0.691 -0.852  -0.691 -1.058  -0.691 -1.264  -0.590 -1.369  -0.384 -1.369  -0.216 -1.278  -0.070 -1.133  0.075 -0.987  0.168 -0.804  0.206 -0.607  0.206 -0.401  0.206 -0.195  0.206 0.011  0.206 0.217  0.206 0.423  0.206 0.628  0.206 0.834  0.206 1.040  0.206 1.246  0.116 1.414  0.078 1.605  0.078 1.810  -0.102 1.836  -0.179 1.707  -0.306 1.553  -0.306 1.348  -0.306 1.142  -0.306 0.936  -0.306 0.730  -0.306 0.524  -0.306 0.318  -0.175 0.167  -0.050 0.013  0.025 -0.162  0.171 -0.307  0.226 -0.491  0.386 -0.599  0.554 -0.691  0.700 -0.837  0.770 -0.984  0.847 -1.112
2#app#app09#app0901/t  -0.423 0.626  -0.483 0.734  -0.531 0.828  -0.531 0.659  -0.531 0.490  -0.531 0.321  -0.531 0.152  -0.531 -0.016  -0.531 -0.185  -0.527 -0.354  -0.452 -0.505  -0.423 -0.667  -0.383 -0.819  -0.314 -0.960  -0.220 -1.090  -0.300 -0.987  -0.405 -0.855  -0.511 -0.723  -0.616 -0.591  -0.722 -0.459  -0.827 -0.327  -0.933 -0.195  -1.039 -0.064  -1.065 -0.137  -0.945 -0.257  -0.826 -0.376  -0.690 -0.455  -0.521 -0.455  -0.352 -0.455  -0.183 -0.455  -0.014 -0.455  0.155 -0.455  0.324 -0.455  0.493 -0.455  0.650 -0.405  0.794 -0.320  0.913 -0.200  1.033 -0.081  1.091 0.064  1.091 0.233  1.091 0.402  1.091 0.571  1.091 0.740  1.091 0.909  1.091 1.078  1.091 1.247  1.057 1.382  0.888 1.382  0.874 1.227  0.983 1.166
2#app#app09#app0901/h  0.022 1.639  0.022 1.775  -0.068 1.821  -0.068 1.865  -0.133 1.755  -0.159 1.630  -0.183 1.499  -0.244 1.378  -0.250 1.243  -0.250 1.106  -0.250 0.970  -0.250 0.834  -0.250 0.697  -0.250 0.561  -0.250 0.425  -0.250 0.289  -0.250 0.152  -0.250 0.016  -0.250 -0.120  -0.250 -0.256  -0.250 -0.393  -0.250 -0.529  -0.250 -0.665  -0.213 -0.793  -0.159 -0.916  -0.159 -1.053  -0.159 -1.189  -0.159 -1.202  -0.159 -1.066  -0.159 -0.930  -0.159 -0.794  -0.159 -0.657  -0.159 -0.521  -0.159 -0.385  -0.082 -0.280  -0.050 -0.157  0.022 -0.051  0.102 0.006  0.204 -0.028  0.260 -0.141  0.295 -0.263  0.389 -0.360  0.485 -0.456  0.567 -0.559  0.567 -0.695  0.646 -0.799  0.657 -0.930  0.710 -1.044  0.748 -1.165  0.839 -1.264
2#app#app09#app0901/e  -0.500 0.239  -0.650 0.223  -0.619 0.088  -0.500 0.042  -0.438 -0.063  -0.271 -0.063  -0.105 -0.063  0.029 0.014  0.165 0.088  0.308 0.142  0.426 0.260  0.543 0.377  0.661 0.495  0.706 0.642  0.706 0.809  0.706 0.975  0.601 1.097  0.453 1.143  0.287 1.143  0.121 1.143  -0.002 1.038  -0.149 0.992  -0.315 0.992  -0.442 0.899  -0.560 0.781  -0.677 0.664  -0.795 0.546  -0.806 0.384  -0.923 0.267  -0.952 0.113  -0.952 -0.054  -0.952 -0.220  -0.936 -0.379  -0.818 -0.497  -0.701 -0.614  -0.584 -0.732  -0.452 -0.816  -0.304 -0.860  -0.182 -0.967  -0.016 -0.967  0.150 -0.967  0.316 -0.967  0.482 -0.967  0.648 -0.967  0.815 -0.967  0.981 -0.967  1.147 -0.967  1.297 -0.897  1.445 -0.823  1.610 -0.816
2#app#app09#app0901/h  -0.642 1.237  -0.642 1.396  -0.642 1.555  -0.642 1.400  -0.642 1.242  -0.642 1.083  -0.642 0.924  -0.642 0.765  -0.642 0.606  -0.642 0.447  -0.642 0.289  -0.642 0.130  -0.575 -0.002  -0.535 -0.144  -0.535 -0.303  -0.535 -0.461  -0.535 -0.620  -0.535 -0.779  -0.535 -0.938  -0.467 -1.069  -0.428 -1.212  -0.322 -1.102  -0.304 -0.946  -0.253 -0.796  -0.215 -0.643  -0.215 -0.484  -0.199 -0.329  -0.128 -0.187  -0.109 -0.033  -0.065 0.108  -0.002 0.241  -0.002 0.400  0.046 0.539  0.180 0.598  0.232 0.705  0.370 0.653  0.482 0.540  0.594 0.428  0.707 0.316  0.819 0.203  0.856 0.060  0.957 -0.057  0.957 -0.216  1.011 -0.362  1.064 -0.508  1.129 -0.640  1.171 -0.782  1.171 -0.941  1.171 -1.099  1.277 -1.214
2#app#app09#app0901/o  0.237 0.710  0.233 0.875  0.067 0.870  -0.052 0.751  -0.203 0.710  -0.258 0.597  -0.341 0.462  -0.452 0.337  -0.545 0.197  -0.639 0.057  -0.732 -0.083  -0.754 -0.245  -0.754 -0.414  -0.754 -0.582  -0.754 -0.750  -0.754 -0.919  -0.754 -1.087  -0.604 -1.106  -0.589 -1.259  -0.432 -1.271  -0.264 -1.271  -0.095 -1.271  0.073 -1.270  0.192 -1.151  0.341 -1.106  0.478 -1.029  0.597 -0.910  0.716 -0.791  0.732 -0.629  0.732 -0.461  0.840 -0.338  0.897 -0.193  0.897 -0.024  0.897 0.144  0.897 0.312  0.852 0.470  0.776 0.621  0.732 0.778  0.681 0.926  0.560 1.040  0.392 1.040  0.223 1.040  0.055 1.040  -0.108 1.026  -0.227 0.907  -0.382 0.875  -0.513 0.785  -0.632 0.666  -0.751 0.547  -0.754 0.380
2#app#app09#app0901/m  -0.816 0.549  -0.926 0.473  -0.926 0.287  -0.926 0.101  -0.985 -0.062  -1.037 -0.226  -1.037 -0.413  -1.037 -0.599  -1.037 -0.785  -1.037 -0.971  -0.988 -1.108  -0.926 -0.983  -0.926 -0.797  -0.874 -0.619  -0.816 -0.442  -0.816 -0.256  -0.816 -0.070  -0.731 0.081  -0.677 0.246  -0.546 0.377  -0.485 0.538  -0.419 0.659  -0.233 0.659  -0.047 0.659  0.068 0.523  0.140 0.367  0.178 0.196  0.247 0.039  0.289 -0.130  0.289 -0.317  0.248 -0.486  0.240 -0.494  0.289 -0.328  0.348 -0.166  0.399 -0.001  0.399 0.185  0.508 0.326  0.620 0.466  0.694 0.622  0.825 0.754  0.952 0.717  1.075 0.646  1.173 0.500  1.261 0.351  1.314 0.186  1.394 0.033  1.433 -0.114  1.504 -0.229  1.561 -0.392  1.615 -0.556
2#app#app09#app0901/u  -0.875 1.328  -0.743 1.333  -0.743 1.452  -0.743 1.316  -0.743 1.180  -0.743 1.044  -0.743 0.908  -0.743 0.772  -0.767 0.646  -0.863 0.550  -0.875 0.419  -0.875 0.283  -0.875 0.147  -0.875 0.011  -0.875 -0.125  -0.875 -0.261  -0.866 -0.393  -0.770 -0.489  -0.743 -0.614  -0.641 -0.648  -0.505 -0.648  -0.369 -0.648  -0.233 -0.648  -0.132 -0.564  -0.016 -0.516  0.099 -0.465  0.179 -0.362  0.198 -0.234  0.294 -0.138  0.390 -0.042  0.443 0.073  0.489 0.189  0.575 0.290  0.575 0.426  0.575 0.514  0.575 0.378  0.575 0.242  0.575 0.106  0.575 -0.030  0.606 -0.152  0.702 -0.249  0.706 -0.383  0.801 -0.479  0.898 -0.576  0.994 -0.672  1.090 -0.768  1.221 -0.780  1.233 -0.903  1.361 -0.911  1.497 -0.911
2#app#app09#app0901/n  -0.502 0.653  -0.502 0.815  -0.502 0.653  -0.664 0.653  -0.665 0.491  -0.665 0.329  -0.665 0.167  -0.665 0.004  -0.665 -0.158  -0.665 -0.320  -0.665 -0.483  -0.665 -0.645  -0.665 -0.807  -0.665 -0.970  -0.665 -1.132  -0.665 -1.294  -0.504 -1.296  -0.502 -1.135  -0.502 -0.973  -0.389 -0.857  -0.340 -0.715  -0.340 -0.553  -0.340 -0.391  -0.340 -0.228  -0.340 -0.066  -0.340 0.096  -0.340 0.259  -0.274 0.394  -0.177 0.516  -0.177 0.678  -0.177 0.841  -0.160 0.996  -0.045 1.110  0.105 1.140  0.232 1.056  0.347 0.941  0.461 0.826  0.576 0.711  0.691 0.597  0.797 0.478  0.806 0.320  0.920 0.205  1.035 0.090  1.122 -0.036  1.150 -0.187  1.265 -0.302  1.380 -0.417  1.447 -0.551  1.494 -0.694  1.609 -0.808
2#app#app09#app0901/c  0.666 1.082  0.666 0.967  0.666 0.852  0.666 0.737  0.666 0.621  0.666 0.506  0.737 0.462  0.769 0.545  0.769 0.660  0.722 0.764  0.670 0.867  0.591 0.950  0.488 0.979  0.372 0.979  0.257 0.979  0.143 0.975  0.040 0.924  -0.062 0.871  -0.143 0.789  -0.225 0.708  -0.317 0.642  -0.420 0.591  -0.512 0.524  -0.581 0.435  -0.609 0.323  -0.636 0.211  -0.664 0.100  -0.722 0.004  -0.780 -0.086  -0.780 -0.202  -0.780 -0.317  -0.780 -0.432  -0.780 -0.547  -0.716 -0.635  -0.677 -0.735  -0.626 -0.829  -0.544 -0.910  -0.463 -0.991  -0.382 -1.073  -0.300 -1.154  -0.200 -1.191  -0.085 -1.191  0.030 -1.191  0.145 -1.191  0.260 -1.187  0.363 -1.136  0.464 -1.082  0.546 -1.001  0.654 -0.984  0.769 -0.984
2#app#app09#app0901/u  -0.809 1.510  -0.809 1.347  -0.809 1.184  -0.809 1.021  -0.809 0.859  -0.842 0.709  -0.937 0.586  -0.937 0.423  -0.937 0.261  -0.937 0.098  -0.937 -0.065  -0.937 -0.228  -0.860 -0.359  -0.809 -0.500  -0.809 -0.663  -0.786 -0.816  -0.667 -0.922  -0.504 -0.922  -0.350 -0.884  -0.205 -0.812  -0.169 -0.671  -0.058 -0.554  0.057 -0.439  0.141 -0.302  0.214 -0.156  0.328 -0.040  0.443 0.075  0.471 0.226  0.478 0.388  0.518 0.546  0.557 0.704  0.597 0.862  0.599 1.024  0.599 1.065  0.599 0.902  0.599 0.739  0.599 0.576  0.599 0.414  0.599 0.251  0.599 0.088  0.599 -0.075  0.599 -0.238  0.599 -0.400  0.599 -0.563  0.641 -0.708  0.727 -0.836  0.727 -0.998  0.805 -1.129  0.855 -1.271  0.983 -1.306
2#app#app09#app0901/l  -0.038 1.355  -0.038 1.427  -0.038 1.498  -0.038 1.547  -0.038 1.476  -0.038 1.404  -0.038 1.332  -0.038 1.261  -0.038 1.189  -0.038 1.117  -0.038 1.046  -0.038 0.974  -0.038 0.902  -0.038 0.831  -0.038 0.759  -0.038 0.687  -0.038 0.616  -0.038 0.544  -0.038 0.473  -0.038 0.401  -0.038 0.329  -0.038 0.258  -0.038 0.186  -0.038 0.114  -0.038 0.043  -0.038 -0.029  -0.038 -0.101  -0.038 -0.172  -0.038 -0.244  -0.038 -0.316  -0.038 -0.387  -0.038 -0.459  -0.038 -0.531  -0.028 -0.600  0.004 -0.664  0.036 -0.728  0.064 -0.793  0.064 -0.865  0.064 -0.936  0.064 -1.008  0.064 -1.080  0.064 -1.151  0.064 -1.223  0.064 -1.295  0.064 -1.366  0.083 -1.433  0.115 -1.497  0.147 -1.562  0.166 -1.629  0.166 -1.700
2#app#app09#app0901/u  -0.798 1.563  -0.652 1.547  -0.652 1.384  -0.652 1.222  -0.652 1.060  -0.710 0.922  -0.798 0.795  -0.798 0.633  -0.798 0.471  -0.798 0.308  -0.798 0.146  -0.798 -0.016  -0.798 -0.178  -0.798 -0.341  -0.798 -0.503  -0.798 -0.665  -0.739 -0.769  -0.577 -0.769  -0.441 -0.705  -0.313 -0.624  -0.169 -0.578  -0.054 -0.463  0.060 -0.349  0.175 -0.234  0.223 -0.091  0.223 0.071  0.313 0.196  0.428 0.311  0.514 0.437  0.514 0.599  0.566 0.740  0.660 0.864  0.660 0.934  0.660 0.772  0.660 0.609  0.660 0.447  0.660 0.285  0.569 0.160  0.514 0.021  0.514 -0.142  0.514 -0.304  0.514 -0.466  0.514 -0.629  0.514 -0.791  0.514 -0.953  0.514 -1.116  0.565 -1.257  0.660 -1.380  0.691 -1.529  0.806 -1.644
2#app#app09#app0901/s  0.411 0.844  0.411 0.950  0.411 1.056  0.355 1.107  0.249 1.107  0.143 1.107  0.036 1.107  -0.070 1.107  -0.176 1.107  -0.283 1.107  -0.389 1.107  -0.496 1.107  -0.512 1.017  -0.577 0.976  -0.643 0.936  -0.643 0.830  -0.643 0.723  -0.643 0.617  -0.643 0.510  -0.599 0.448  -0.498 0.435  -0.423 0.360  -0.348 0.285  -0.273 0.209  -0.197 0.134  -0.122 0.059  -0.047 -0.016  0.033 -0.079  0.140 -0.079  0.192 -0.167  0.239 -0.262  0.279 -0.359  0.279 -0.466  0.348 -0.543  0.424 -0.619  0.499 -0.694  0.543 -0.782  0.543 -0.888  0.543 -0.995  0.543 -1.101  0.543 -1.208  0.494 -1.265  0.394 -1.282  0.319 -1.357  0.229 -1.397  0.123 -1.397  0.016 -1.397  -0.090 -1.397  -0.173 -1.340  -0.248 -1.265
2#app#app09#app0901/.  1.803 -0.502  1.694 -0.502  1.586 -0.502  1.478 -0.502  1.369 -0.502  1.261 -0.502  1.152 -0.502  1.044 -0.502  0.935 -0.502  0.827 -0.502  0.718 -0.502  0.610 -0.502  0.502 -0.502  0.393 -0.502  0.285 -0.502  0.176 -0.502  0.068 -0.502  -0.041 -0.502  -0.149 -0.502  -0.258 -0.502  -0.366 -0.502  -0.474 -0.502  -0.583 -0.502  -0.691 -0.502  -0.800 -0.502  -0.854 -0.447  -0.854 -0.339  -0.854 -0.230  -0.854 -0.122  -0.854 -0.014  -0.854 0.095  -0.854 0.203  -0.854 0.312  -0.854 0.420  -0.854 0.529  -0.854 0.637  -0.854 0.746  -0.827 0.827  -0.718 0.827  -0.610 0.827  -0.502 0.827  -0.393 0.827  -0.285 0.827  -0.176 0.827  -0.068 0.827  0.041 0.827  0.149 0.827  0.258 0.827  0.366 0.827  0.474 0.827
2#app#app09#app0901/\"  -0.754 1.126  -0.754 1.260  -0.754 1.191  -0.754 1.057  -0.754 0.923  -0.754 0.790  -0.754 0.656  -0.754 0.522  -0.754 0.388  -0.754 0.255  -0.754 0.121  -0.754 -0.013  -0.754 -0.147  -0.754 -0.281  -0.754 -0.414  -0.754 -0.548  -0.754 -0.682  -0.754 -0.816  -0.696 -0.925  -0.601 -1.020  -0.588 -1.148  -0.535 -1.137  -0.450 -1.034  -0.364 -0.932  -0.278 -0.829  -0.193 -0.726  -0.107 -0.623  -0.021 -0.521  0.064 -0.418  0.150 -0.315  0.236 -0.212  0.321 -0.110  0.407 -0.007  0.492 0.096  0.578 0.199  0.664 0.302  0.749 0.404  0.835 0.507  0.921 0.610  1.006 0.713  1.074 0.766  1.074 0.632  1.074 0.498  1.074 0.365  1.074 0.231  1.074 0.097  1.074 -0.037  1.074 -0.171  1.146 -0.275  1.240 -0.369
