2#app#app35#app3546/T  0.307 0.891  0.250 0.761  0.233 0.615  0.233 0.462  0.233 0.308  0.284 0.176  0.307 0.032  0.307 -0.121  0.307 -0.275  0.307 -0.428  0.307 -0.582  0.307 -0.735  0.365 -0.864  0.380 -1.011  0.380 -1.164  0.380 -1.318  0.307 -1.397  0.251 -1.412  0.145 -1.301  0.040 -1.190  -0.066 -1.079  -0.172 -0.968  -0.278 -0.857  -0.384 -0.746  -0.489 -0.635  -0.595 -0.524  -0.701 -0.413  -0.807 -0.302  -0.912 -0.190  -1.018 -0.079  -1.124 0.032  -1.156 0.153  -1.004 0.162  -0.869 0.233  -0.760 0.341  -0.628 0.414  -0.486 0.471  -0.345 0.531  -0.217 0.616  -0.090 0.701  0.038 0.786  0.171 0.861  0.313 0.918  0.459 0.967  0.596 1.036  0.733 1.104  0.870 1.173  0.990 1.260  1.114 1.330  1.192 1.260
2#app#app35#app3546/d  0.190 -0.136  0.272 -0.042  0.073 -0.042  -0.115 -0.067  -0.283 -0.141  -0.438 -0.262  -0.604 -0.368  -0.678 -0.536  -0.746 -0.707  -0.746 -0.906  -0.746 -1.105  -0.622 -1.227  -0.431 -1.259  -0.232 -1.259  -0.033 -1.259  0.166 -1.259  0.280 -1.123  0.262 -0.925  0.244 -0.727  0.226 -0.529  0.208 -0.331  0.190 -0.133  0.172 0.065  0.154 0.263  0.136 0.461  0.118 0.659  0.100 0.857  0.082 1.055  0.064 1.254  0.046 1.452  0.028 1.650  0.010 1.848  -0.091 1.895  -0.091 1.697  -0.091 1.498  -0.091 1.299  -0.015 1.118  0.003 0.923  0.079 0.742  0.097 0.547  0.138 0.354  0.186 0.161  0.190 -0.038  0.262 -0.207  0.284 -0.397  0.284 -0.596  0.377 -0.756  0.377 -0.955  0.377 -1.154  0.377 -1.353
2#app#app35#app3546/p  -0.450 1.272  -0.450 1.073  -0.335 0.922  -0.332 0.725  -0.332 0.526  -0.331 0.328  -0.283 0.135  -0.235 -0.057  -0.214 -0.253  -0.180 -0.444  -0.097 -0.623  -0.097 -0.821  -0.097 -1.020  -0.084 -1.213  0.021 -1.368  0.021 -1.567  0.021 -1.765  0.021 -1.849  -0.077 -1.691  -0.097 -1.500  -0.102 -1.303  -0.164 -1.114  -0.214 -0.924  -0.214 -0.725  -0.214 -0.527  -0.214 -0.328  -0.214 -0.130  -0.214 0.069  -0.214 0.268  -0.214 0.466  -0.214 0.665  -0.214 0.863  -0.203 1.059  -0.114 1.237  0.016 1.384  0.212 1.389  0.411 1.389  0.575 1.306  0.632 1.131  0.727 0.972  0.727 0.774  0.727 0.575  0.727 0.376  0.693 0.212  0.610 0.097  0.413 0.095  0.262 -0.018  0.065 -0.023  -0.133 -0.023  -0.332 -0.023
2#app#app35#app3546/o  0.007 1.102  -0.133 1.102  -0.160 0.989  -0.246 0.936  -0.368 0.894  -0.467 0.795  -0.539 0.677  -0.601 0.552  -0.667 0.429  -0.765 0.330  -0.864 0.231  -0.963 0.133  -0.992 0.005  -0.992 -0.135  -0.992 -0.274  -0.992 -0.414  -0.992 -0.554  -0.992 -0.693  -0.886 -0.728  -0.825 -0.806  -0.774 -0.894  -0.634 -0.894  -0.494 -0.894  -0.354 -0.894  -0.215 -0.894  -0.075 -0.894  0.065 -0.894  0.195 -0.872  0.294 -0.773  0.415 -0.728  0.554 -0.728  0.672 -0.706  0.672 -0.566  0.807 -0.562  0.838 -0.453  0.896 -0.338  0.995 -0.239  1.005 -0.103  1.005 0.036  0.954 0.155  0.855 0.254  0.838 0.387  0.838 0.526  0.794 0.647  0.695 0.746  0.672 0.876  0.592 0.936  0.506 0.989  0.479 1.102  0.339 1.102
2#app#app35#app3546/s  0.157 0.980  0.157 1.109  0.055 1.134  -0.074 1.134  -0.203 1.134  -0.306 1.109  -0.306 0.980  -0.434 0.980  -0.533 0.907  -0.627 0.826  -0.756 0.826  -0.769 0.710  -0.833 0.608  -0.924 0.517  -1.052 0.517  -1.078 0.414  -1.078 0.285  -1.078 0.156  -1.052 0.054  -0.923 0.054  -0.832 -0.037  -0.730 -0.101  -0.602 -0.101  -0.473 -0.101  -0.344 -0.101  -0.216 -0.101  -0.087 -0.101  0.042 -0.101  0.170 -0.101  0.299 -0.101  0.422 -0.137  0.544 -0.178  0.666 -0.219  0.788 -0.255  0.917 -0.255  1.045 -0.255  1.084 -0.346  1.084 -0.474  1.084 -0.603  1.084 -0.731  1.084 -0.860  1.002 -0.955  0.903 -1.027  0.775 -1.027  0.646 -1.027  0.518 -1.027  0.389 -1.027  0.260 -1.027  0.132 -1.027  0.003 -1.027
2#app#app35#app3546/e  -1.409 -0.383  -1.238 -0.383  -1.066 -0.383  -0.920 -0.323  -0.799 -0.201  -0.641 -0.168  -0.494 -0.111  -0.373 0.010  -0.216 0.046  -0.045 0.046  0.127 0.046  0.298 0.046  0.422 0.161  0.552 0.261  0.723 0.261  0.894 0.261  1.066 0.261  1.165 0.333  1.165 0.505  1.165 0.676  1.054 0.801  0.925 0.904  0.754 0.904  0.627 1.013  0.500 1.119  0.328 1.119  0.307 0.969  0.200 0.904  0.029 0.904  -0.122 0.884  -0.122 0.713  -0.271 0.690  -0.337 0.584  -0.381 0.431  -0.502 0.310  -0.551 0.159  -0.551 -0.012  -0.551 -0.183  -0.551 -0.355  -0.551 -0.526  -0.551 -0.697  -0.511 -0.852  -0.390 -0.973  -0.268 -1.094  -0.147 -1.215  -0.026 -1.337  0.096 -1.455  0.267 -1.455  0.400 -1.548  0.521 -1.670
2#app#app35#app3546/d  0.555 -0.262  0.477 -0.078  0.315 0.055  0.098 0.055  -0.119 0.055  -0.322 0.022  -0.508 -0.054  -0.702 -0.151  -0.873 -0.262  -0.924 -0.429  -1.029 -0.540  -1.029 -0.757  -0.900 -0.920  -0.728 -1.047  -0.525 -1.108  -0.334 -1.169  -0.135 -1.213  0.082 -1.213  0.299 -1.213  0.439 -1.149  0.403 -0.935  0.368 -0.721  0.332 -0.507  0.296 -0.293  0.261 -0.079  0.225 0.135  0.190 0.348  0.154 0.562  0.118 0.776  0.083 0.990  0.047 1.204  0.011 1.418  -0.024 1.632  -0.060 1.845  -0.078 1.852  -0.078 1.635  -0.071 1.421  0.027 1.245  0.027 1.028  0.114 0.832  0.133 0.620  0.166 0.411  0.238 0.211  0.266 0.000  0.344 -0.198  0.365 -0.410  0.450 -0.607  0.450 -0.823  0.552 -0.998  0.555 -1.213
2#app#app35#app3546/a  0.702 0.413  0.702 0.570  0.702 0.726  0.702 0.882  0.659 1.021  0.544 1.120  0.388 1.120  0.231 1.120  0.075 1.120  -0.082 1.120  -0.238 1.120  -0.363 1.044  -0.474 0.934  -0.584 0.823  -0.695 0.713  -0.711 0.563  -0.716 0.409  -0.827 0.298  -0.937 0.188  -0.994 0.055  -1.058 -0.075  -1.135 -0.199  -1.135 -0.356  -1.135 -0.512  -1.070 -0.641  -0.945 -0.717  -0.789 -0.717  -0.632 -0.717  -0.476 -0.717  -0.320 -0.717  -0.200 -0.630  -0.065 -0.576  0.063 -0.508  0.173 -0.398  0.278 -0.285  0.302 -0.152  0.419 -0.113  0.419 0.043  0.419 0.062  0.419 -0.094  0.419 -0.251  0.500 -0.374  0.561 -0.505  0.621 -0.636  0.732 -0.747  0.842 -0.858  0.953 -0.968  1.096 -1.000  1.252 -1.000  1.409 -1.000
2#app#app35#app3546/l  -0.103 1.598  -0.175 1.598  -0.216 1.567  -0.216 1.494  -0.216 1.422  -0.216 1.349  -0.216 1.277  -0.216 1.205  -0.216 1.132  -0.216 1.060  -0.216 0.987  -0.216 0.915  -0.216 0.842  -0.216 0.770  -0.216 0.698  -0.187 0.632  -0.154 0.567  -0.122 0.503  -0.103 0.435  -0.103 0.362  -0.103 0.290  -0.089 0.223  -0.037 0.172  0.011 0.120  0.011 0.047  0.011 -0.025  0.011 -0.098  0.041 -0.163  0.073 -0.228  0.106 -0.293  0.124 -0.361  0.124 -0.433  0.124 -0.506  0.124 -0.578  0.124 -0.650  0.124 -0.723  0.124 -0.795  0.124 -0.868  0.155 -0.927  0.206 -0.978  0.237 -1.038  0.237 -1.110  0.237 -1.183  0.237 -1.255  0.237 -1.328  0.237 -1.400  0.237 -1.473  0.237 -1.545  0.237 -1.617  0.237 -1.690
2#app#app35#app3546/o  0.438 1.003  0.289 1.003  0.139 1.003  0.023 0.923  -0.090 0.836  -0.238 0.832  -0.372 0.765  -0.505 0.699  -0.623 0.610  -0.728 0.505  -0.834 0.399  -0.939 0.294  -1.045 0.188  -1.150 0.083  -1.232 -0.033  -1.232 -0.182  -1.232 -0.331  -1.127 -0.437  -1.022 -0.543  -0.916 -0.648  -0.774 -0.667  -0.731 -0.772  -0.643 -0.833  -0.494 -0.833  -0.345 -0.833  -0.195 -0.833  -0.046 -0.833  0.103 -0.833  0.252 -0.833  0.401 -0.833  0.551 -0.833  0.672 -0.766  0.780 -0.667  0.929 -0.667  0.939 -0.527  1.061 -0.500  1.106 -0.395  1.106 -0.246  1.057 -0.117  0.951 -0.012  0.939 0.132  0.858 0.248  0.753 0.354  0.647 0.459  0.605 0.591  0.534 0.669  0.438 0.722  0.402 0.836  0.271 0.854  0.271 1.003
2#app#app35#app3546/n  -1.213 0.801  -1.119 0.707  -1.070 0.594  -1.031 0.478  -0.937 0.384  -0.928 0.254  -0.928 0.121  -0.928 -0.012  -0.863 -0.118  -0.786 -0.219  -0.786 -0.352  -0.786 -0.485  -0.786 -0.618  -0.695 -0.713  -0.643 -0.825  -0.643 -0.957  -0.643 -1.007  -0.621 -0.884  -0.526 -0.790  -0.501 -0.667  -0.439 -0.560  -0.353 -0.461  -0.311 -0.335  -0.268 -0.209  -0.226 -0.083  -0.145 0.019  -0.074 0.123  -0.074 0.256  -0.064 0.384  0.030 0.478  0.124 0.573  0.218 0.667  0.312 0.761  0.428 0.801  0.561 0.801  0.694 0.801  0.813 0.768  0.907 0.674  0.972 0.559  1.032 0.440  1.064 0.315  1.100 0.196  1.194 0.102  1.207 -0.025  1.207 -0.158  1.207 -0.291  1.268 -0.399  1.349 -0.498  1.349 -0.631  1.349 -0.764
2#app#app35#app3546/g  0.193 1.067  0.193 1.218  0.071 1.247  -0.080 1.247  -0.230 1.247  -0.360 1.179  -0.486 1.095  -0.618 1.057  -0.668 0.927  -0.711 0.794  -0.798 0.679  -0.798 0.528  -0.738 0.437  -0.687 0.326  -0.618 0.203  -0.504 0.167  -0.353 0.167  -0.202 0.167  -0.077 0.193  0.010 0.257  0.064 0.373  0.193 0.444  0.241 0.575  0.347 0.682  0.397 0.617  0.463 0.532  0.503 0.397  0.609 0.291  0.643 0.154  0.676 0.011  0.749 -0.120  0.823 -0.240  0.823 -0.391  0.823 -0.541  0.823 -0.692  0.823 -0.843  0.766 -0.970  0.660 -1.077  0.516 -1.094  0.367 -1.099  0.252 -1.184  0.101 -1.184  -0.050 -1.184  -0.201 -1.184  -0.351 -1.184  -0.502 -1.184  -0.616 -1.095  -0.766 -1.094  -0.827 -1.004  -0.888 -0.914
2#app#app35#app3546/s  0.117 1.057  -0.015 1.057  -0.148 1.057  -0.280 1.057  -0.412 1.057  -0.545 1.057  -0.581 0.961  -0.670 0.918  -0.720 0.836  -0.795 0.778  -0.908 0.730  -0.999 0.636  -0.999 0.504  -1.127 0.499  -1.139 0.378  -1.058 0.279  -0.999 0.172  -0.957 0.081  -0.825 0.081  -0.693 0.081  -0.560 0.081  -0.428 0.081  -0.296 0.081  -0.163 0.081  -0.031 0.081  0.101 0.081  0.234 0.081  0.366 0.081  0.468 0.009  0.573 -0.059  0.705 -0.059  0.838 -0.059  0.954 -0.075  0.963 -0.198  1.093 -0.200  1.093 -0.332  1.093 -0.464  1.093 -0.597  1.014 -0.696  0.906 -0.756  0.814 -0.797  0.781 -0.896  0.656 -0.914  0.563 -1.008  0.442 -1.035  0.335 -1.096  0.235 -1.174  0.103 -1.174  -0.030 -1.174  -0.162 -1.174
2#app#app35#app3546/i  -0.080 0.688  -0.080 0.563  -0.134 0.460  -0.222 0.372  -0.254 0.260  -0.254 0.136  -0.254 0.011  -0.254 -0.114  -0.254 -0.239  -0.254 -0.364  -0.254 -0.488  -0.193 -0.588  -0.105 -0.676  -0.080 -0.791  -0.080 -0.916  -0.080 -1.041  -0.080 -1.165  -0.031 -1.270  0.057 -1.358  0.093 -1.468  0.093 -1.543  0.093 -1.419  0.093 -1.294  0.093 -1.169  0.093 -1.044  0.093 -0.919  0.093 -0.795  0.093 -0.670  0.093 -0.545  0.093 -0.420  0.093 -0.295  0.093 -0.171  0.093 -0.046  0.093 0.079  0.093 0.204  0.093 0.329  0.093 0.453  0.093 0.578  0.093 0.703  0.093 0.828  0.093 0.953  0.093 1.077  0.093 1.202  0.093 1.327  0.093 1.452  0.093 1.577  0.093 1.701  0.093 1.826  0.093 1.951  0.093 2.076
2#app#app35#app3546/d  0.346 -0.176  0.180 -0.082  0.013 0.012  -0.098 0.106  -0.304 0.106  -0.509 0.106  -0.680 0.022  -0.852 -0.057  -0.972 -0.213  -1.066 -0.379  -1.066 -0.585  -1.031 -0.776  -0.944 -0.929  -0.753 -0.991  -0.649 -1.117  -0.450 -1.143  -0.261 -1.211  -0.055 -1.211  0.150 -1.211  0.164 -1.013  0.170 -0.808  0.176 -0.603  0.182 -0.397  0.189 -0.192  0.195 0.013  0.201 0.219  0.207 0.424  0.214 0.629  0.220 0.835  0.226 1.040  0.232 1.245  0.238 1.451  0.245 1.656  0.251 1.861  0.252 1.722  0.252 1.517  0.258 1.312  0.323 1.117  0.346 0.915  0.346 0.710  0.346 0.505  0.346 0.299  0.346 0.094  0.434 -0.075  0.440 -0.278  0.440 -0.484  0.440 -0.689  0.440 -0.894  0.440 -1.100  0.440 -1.305
2#app#app35#app3546/e  -0.856 -0.725  -0.856 -0.548  -0.812 -0.390  -0.687 -0.265  -0.561 -0.142  -0.395 -0.118  -0.268 0.003  -0.128 0.040  -0.060 0.149  0.116 0.149  0.255 0.241  0.410 0.295  0.455 0.426  0.613 0.452  0.738 0.577  0.747 0.750  0.747 0.927  0.690 1.080  0.550 1.169  0.373 1.169  0.196 1.169  0.019 1.169  -0.128 1.140  -0.188 1.023  -0.365 1.023  -0.419 0.901  -0.528 0.769  -0.653 0.644  -0.710 0.491  -0.767 0.328  -0.846 0.170  -0.856 -0.005  -0.856 -0.182  -0.856 -0.358  -0.784 -0.505  -0.659 -0.630  -0.522 -0.725  -0.367 -0.777  -0.229 -0.871  -0.052 -0.871  0.125 -0.871  0.287 -0.932  0.445 -1.011  0.621 -1.016  0.797 -1.016  0.950 -0.959  1.091 -0.871  1.267 -0.871  1.444 -0.871  1.475 -0.725
2#app#app35#app3546/a  0.112 -0.049  0.219 0.009  0.327 0.068  0.327 0.234  0.306 0.380  0.219 0.458  0.198 0.615  0.081 0.733  -0.054 0.808  -0.113 0.916  -0.258 0.964  -0.400 1.023  -0.566 1.023  -0.704 0.957  -0.822 0.840  -0.939 0.722  -0.981 0.574  -1.067 0.444  -1.067 0.278  -1.175 0.156  -1.175 -0.010  -1.175 -0.176  -1.175 -0.341  -1.047 -0.392  -0.930 -0.509  -0.796 -0.586  -0.630 -0.586  -0.464 -0.586  -0.405 -0.478  -0.262 -0.423  -0.145 -0.306  -0.055 -0.169  0.005 -0.017  0.005 0.149  0.005 0.015  0.005 -0.150  0.112 -0.209  0.222 -0.267  0.339 -0.384  0.466 -0.478  0.623 -0.519  0.773 -0.586  0.939 -0.586  1.105 -0.586  1.271 -0.586  1.432 -0.551  1.593 -0.510  1.755 -0.478  1.921 -0.478  2.042 -0.371
