3#apa#apa00#app0089/B  -0.249 1.288  -0.340 1.101  -0.340 0.823  -0.340 0.545  -0.340 0.267  -0.287 0.001  -0.249 -0.268  -0.223 -0.543  -0.158 -0.813  -0.110 -1.079  -0.067 -1.347  -0.063 -1.624  -0.014 -1.560  -0.081 -1.291  -0.149 -1.021  -0.216 -0.751  -0.283 -0.481  -0.351 -0.211  -0.418 0.058  -0.486 0.328  -0.553 0.598  -0.621 0.868  -0.688 1.137  -0.679 1.404  -0.466 1.561  -0.188 1.561  0.090 1.561  0.321 1.446  0.453 1.223  0.478 0.955  0.478 0.677  0.428 0.420  0.284 0.185  0.088 -0.011  -0.126 -0.166  -0.367 -0.257  -0.489 -0.166  -0.313 -0.048  -0.089 0.085  0.179 0.107  0.437 0.057  0.660 -0.075  0.842 -0.225  0.959 -0.438  1.024 -0.652  0.933 -0.839  0.799 -0.984  0.560 -1.079  0.302 -1.165  0.024 -1.165
3#apa#apa00#app0089/t  -0.003 1.934  -0.049 1.806  -0.131 1.715  -0.135 1.542  -0.213 1.387  -0.260 1.224  -0.260 1.050  -0.260 0.876  -0.260 0.703  -0.260 0.529  -0.260 0.355  -0.260 0.181  -0.260 0.008  -0.260 -0.166  -0.260 -0.340  -0.264 -0.512  -0.342 -0.668  -0.388 -0.831  -0.388 -1.004  -0.388 -1.178  -0.388 -1.352  -0.264 -1.402  -0.102 -1.372  0.030 -1.273  0.181 -1.217  0.325 -1.145  0.464 -1.062  0.619 -1.017  0.748 -0.907  0.908 -0.875  1.015 -0.753  0.877 -0.648  0.739 -0.542  0.602 -0.436  0.464 -0.330  0.326 -0.224  0.188 -0.118  0.051 -0.012  -0.087 0.094  -0.225 0.200  -0.362 0.306  -0.500 0.412  -0.638 0.518  -0.528 0.640  -0.359 0.651  -0.185 0.651  -0.011 0.651  0.163 0.651  0.336 0.651  0.510 0.651
3#apa#apa00#app0089/e  -0.117 -0.089  0.014 -0.089  0.113 -0.013  0.211 0.066  0.342 0.066  0.437 0.155  0.540 0.222  0.667 0.231  0.760 0.323  0.813 0.432  0.845 0.532  0.968 0.539  0.968 0.670  0.968 0.801  0.878 0.842  0.767 0.889  0.674 0.981  0.549 0.997  0.418 0.997  0.287 0.997  0.193 0.961  0.181 0.842  0.050 0.842  -0.081 0.842  -0.117 0.747  -0.188 0.687  -0.306 0.654  -0.398 0.561  -0.491 0.468  -0.583 0.376  -0.676 0.283  -0.738 0.178  -0.738 0.047  -0.738 -0.084  -0.738 -0.215  -0.738 -0.346  -0.738 -0.477  -0.738 -0.608  -0.716 -0.730  -0.624 -0.823  -0.583 -0.937  -0.548 -1.054  -0.456 -1.146  -0.363 -1.239  -0.270 -1.332  -0.178 -1.424  -0.085 -1.517  0.008 -1.609  0.100 -1.702  0.193 -1.795
3#apa#apa00#app0089/r  -0.492 1.421  -0.492 1.276  -0.492 1.130  -0.492 0.985  -0.492 0.839  -0.492 0.694  -0.492 0.549  -0.492 0.403  -0.492 0.258  -0.492 0.113  -0.492 -0.033  -0.492 -0.178  -0.484 -0.320  -0.381 -0.423  -0.278 -0.526  -0.276 -0.670  -0.276 -0.815  -0.276 -0.961  -0.276 -1.106  -0.202 -1.178  -0.059 -1.180  -0.059 -1.326  -0.136 -1.394  -0.276 -1.389  -0.276 -1.243  -0.276 -1.098  -0.276 -0.953  -0.276 -0.807  -0.276 -0.662  -0.276 -0.517  -0.276 -0.371  -0.276 -0.226  -0.265 -0.085  -0.163 0.018  -0.060 0.121  -0.059 0.266  0.014 0.338  0.159 0.338  0.305 0.338  0.428 0.392  0.531 0.495  0.633 0.598  0.736 0.700  0.852 0.771  0.998 0.771  1.130 0.825  1.260 0.890  1.390 0.955  1.528 0.988  1.673 0.988
3#apa#apa00#app0089/s  -0.418 1.112  -0.308 1.112  -0.199 1.112  -0.089 1.112  -0.046 1.112  -0.156 1.112  -0.266 1.112  -0.376 1.112  -0.485 1.112  -0.583 1.082  -0.661 1.004  -0.738 0.927  -0.816 0.849  -0.824 0.742  -0.824 0.633  -0.776 0.570  -0.673 0.555  -0.595 0.477  -0.503 0.435  -0.400 0.417  -0.323 0.340  -0.229 0.300  -0.128 0.280  -0.050 0.202  0.028 0.124  0.105 0.047  0.183 -0.031  0.262 -0.106  0.372 -0.106  0.456 -0.168  0.532 -0.247  0.581 -0.346  0.630 -0.444  0.698 -0.512  0.799 -0.520  0.799 -0.630  0.799 -0.740  0.799 -0.850  0.770 -0.947  0.692 -1.025  0.614 -1.103  0.537 -1.181  0.430 -1.188  0.320 -1.188  0.224 -1.222  0.147 -1.300  0.047 -1.324  -0.063 -1.324  -0.148 -1.298  -0.148 -1.188
3#apa#apa00#app0089/t  0.279 2.164  0.279 2.019  0.266 1.880  0.164 1.778  0.144 1.642  0.144 1.498  0.144 1.353  0.140 1.209  0.076 1.080  0.011 0.951  0.009 0.807  0.009 0.662  0.009 0.518  0.009 0.373  0.009 0.229  0.009 0.084  0.009 -0.060  0.040 -0.197  0.104 -0.326  0.144 -0.462  0.144 -0.606  0.144 -0.751  0.144 -0.895  0.209 -1.013  0.279 -1.128  0.279 -1.273  0.279 -1.417  0.233 -1.431  0.143 -1.318  0.053 -1.205  -0.037 -1.093  -0.128 -0.980  -0.218 -0.867  -0.308 -0.754  -0.398 -0.641  -0.489 -0.528  -0.579 -0.416  -0.669 -0.303  -0.759 -0.190  -0.728 -0.136  -0.583 -0.136  -0.449 -0.094  -0.320 -0.029  -0.182 -0.000  -0.037 -0.000  0.107 -0.000  0.252 -0.000  0.396 -0.000  0.541 -0.000  0.685 -0.000
3#apa#apa00#app0089/r  -0.683 1.336  -0.683 1.200  -0.683 1.064  -0.683 0.928  -0.683 0.793  -0.626 0.680  -0.530 0.584  -0.483 0.468  -0.483 0.332  -0.483 0.197  -0.483 0.061  -0.483 -0.075  -0.483 -0.211  -0.483 -0.347  -0.483 -0.482  -0.483 -0.618  -0.483 -0.754  -0.470 -0.887  -0.410 -1.008  -0.349 -1.130  -0.288 -1.251  -0.283 -1.386  -0.283 -1.400  -0.283 -1.264  -0.190 -1.167  -0.094 -1.071  -0.084 -0.940  -0.084 -0.804  -0.084 -0.668  -0.084 -0.532  -0.084 -0.396  -0.083 -0.261  0.014 -0.165  0.110 -0.069  0.116 0.064  0.116 0.200  0.116 0.335  0.211 0.432  0.307 0.528  0.439 0.537  0.558 0.579  0.654 0.675  0.764 0.737  0.900 0.737  1.035 0.737  1.171 0.737  1.307 0.737  1.443 0.737  1.578 0.737  1.714 0.737
3#apa#apa00#app0089/u  -0.896 1.239  -0.896 1.124  -0.896 1.009  -0.896 0.894  -0.896 0.779  -0.896 0.664  -0.896 0.549  -0.896 0.434  -0.896 0.319  -0.896 0.204  -0.827 0.118  -0.745 0.036  -0.721 -0.068  -0.712 -0.181  -0.660 -0.284  -0.609 -0.387  -0.558 -0.490  -0.545 -0.602  -0.518 -0.690  -0.403 -0.690  -0.370 -0.771  -0.349 -0.865  -0.234 -0.865  -0.141 -0.919  -0.060 -1.000  0.039 -1.040  0.154 -1.040  0.236 -0.961  0.317 -0.879  0.398 -0.798  0.479 -0.717  0.507 -0.613  0.507 -0.498  0.507 -0.383  0.557 -0.289  0.638 -0.207  0.682 -0.111  0.682 0.004  0.758 0.088  0.839 0.169  0.857 0.277  0.857 0.392  0.857 0.507  0.857 0.622  0.857 0.737  0.857 0.852  0.912 0.944  0.994 1.025  1.032 1.124  1.032 1.239
3#apa#apa00#app0089/c  0.915 0.952  0.915 1.044  0.909 1.130  0.817 1.130  0.725 1.130  0.633 1.130  0.541 1.130  0.449 1.130  0.364 1.113  0.299 1.048  0.234 0.983  0.169 0.918  0.104 0.853  0.039 0.788  -0.047 0.774  -0.139 0.774  -0.153 0.697  -0.153 0.605  -0.212 0.537  -0.277 0.472  -0.347 0.418  -0.438 0.418  -0.509 0.397  -0.509 0.305  -0.509 0.213  -0.509 0.121  -0.509 0.029  -0.509 -0.063  -0.509 -0.155  -0.509 -0.247  -0.509 -0.338  -0.509 -0.430  -0.486 -0.517  -0.445 -0.599  -0.404 -0.681  -0.363 -0.764  -0.317 -0.842  -0.252 -0.907  -0.187 -0.972  -0.122 -1.037  -0.057 -1.102  0.008 -1.167  0.093 -1.183  0.185 -1.183  0.203 -1.258  0.203 -1.350  0.283 -1.361  0.375 -1.361  0.467 -1.361  0.559 -1.361
3#apa#apa00#app0089/k  -0.123 2.088  -0.123 1.880  -0.200 1.703  -0.226 1.506  -0.304 1.317  -0.329 1.115  -0.329 0.907  -0.329 0.699  -0.360 0.494  -0.401 0.290  -0.431 0.086  -0.431 -0.122  -0.457 -0.324  -0.534 -0.514  -0.534 -0.722  -0.534 -0.930  -0.554 -1.133  -0.636 -1.321  -0.636 -1.477  -0.636 -1.269  -0.636 -1.061  -0.612 -0.863  -0.490 -0.698  -0.431 -0.504  -0.406 -0.300  -0.341 -0.103  -0.253 0.085  -0.194 0.273  -0.119 0.450  0.028 0.597  0.213 0.651  0.421 0.651  0.619 0.627  0.794 0.549  0.870 0.376  0.860 0.199  0.677 0.138  0.572 0.036  0.364 0.036  0.156 0.036  -0.021 0.005  0.106 -0.091  0.184 -0.266  0.327 -0.415  0.497 -0.531  0.683 -0.624  0.854 -0.737  0.939 -0.887  1.136 -0.916  1.313 -0.990
3#apa#apa00#app0089/.  -0.123 2.088  -0.123 1.880  -0.200 1.703  -0.226 1.506  -0.304 1.317  -0.329 1.115  -0.329 0.907  -0.329 0.699  -0.360 0.494  -0.401 0.290  -0.431 0.086  -0.431 -0.122  -0.457 -0.324  -0.534 -0.514  -0.534 -0.722  -0.534 -0.930  -0.554 -1.133  -0.636 -1.321  -0.636 -1.477  -0.636 -1.269  -0.636 -1.061  -0.612 -0.863  -0.490 -0.698  -0.431 -0.504  -0.406 -0.300  -0.341 -0.103  -0.253 0.085  -0.194 0.273  -0.119 0.450  0.028 0.597  0.213 0.651  0.421 0.651  0.619 0.627  0.794 0.549  0.870 0.376  0.860 0.199  0.677 0.138  0.572 0.036  0.364 0.036  0.156 0.036  -0.021 0.005  0.106 -0.091  0.184 -0.266  0.327 -0.415  0.497 -0.531  0.683 -0.624  0.854 -0.737  0.939 -0.887  1.136 -0.916  1.313 -0.990
