1b#app#app31#app3126/F  -0.223 0.532  -0.326 0.677  -0.326 0.925  -0.326 0.919  -0.326 0.671  -0.326 0.423  -0.326 0.176  -0.326 -0.072  -0.326 -0.320  -0.326 -0.568  -0.326 -0.816  -0.326 -1.064  -0.326 -1.312  -0.326 -1.560  -0.429 -1.765  -0.351 -1.935  -0.344 -1.714  -0.381 -1.468  -0.418 -1.223  -0.454 -0.978  -0.491 -0.733  -0.528 -0.488  -0.565 -0.243  -0.601 0.003  -0.659 0.224  -0.690 0.374  -0.465 0.429  -0.240 0.524  -0.018 0.635  0.204 0.746  0.425 0.857  0.647 0.967  0.877 1.046  1.102 1.143  1.348 1.149  1.287 1.038  1.096 0.881  0.904 0.723  0.713 0.565  0.521 0.408  0.330 0.250  0.139 0.093  -0.053 -0.065  -0.244 -0.223  -0.196 -0.263  -0.021 -0.088  0.202 -0.006  0.412 0.121  0.599 0.181  0.805 0.224
1b#app#app31#app3126/P  0.145 0.963  0.280 0.897  0.186 0.735  0.145 0.552  0.093 0.373  0.011 0.206  -0.095 0.050  -0.135 -0.136  -0.225 -0.316  -0.258 -0.508  -0.298 -0.692  -0.393 -0.853  -0.452 -1.040  -0.528 -1.222  -0.626 -1.325  -0.662 -1.489  -0.662 -1.689  -0.501 -1.728  -0.384 -1.636  -0.365 -1.437  -0.346 -1.237  -0.327 -1.037  -0.308 -0.838  -0.289 -0.638  -0.270 -0.439  -0.251 -0.239  -0.232 -0.040  -0.213 0.160  -0.194 0.359  -0.175 0.559  -0.156 0.759  -0.137 0.958  -0.063 1.097  0.137 1.097  0.321 1.138  0.482 1.232  0.683 1.232  0.883 1.232  1.045 1.139  1.082 0.958  0.952 0.811  0.894 0.635  0.734 0.517  0.555 0.428  0.412 0.288  0.232 0.199  0.053 0.109  -0.127 0.021  -0.258 -0.048  -0.393 -0.114
1b#app#app31#app3126/E  -0.186 0.418  -0.052 0.567  -0.167 0.572  -0.272 0.332  -0.472 0.132  -0.672 -0.068  -0.873 -0.268  -0.993 -0.502  -1.127 -0.651  -1.262 -0.878  -1.127 -1.106  -0.934 -1.195  -0.672 -1.288  -0.399 -1.330  -0.116 -1.330  0.168 -1.330  0.451 -1.330  0.734 -1.330  0.616 -1.108  0.466 -0.867  0.316 -0.627  0.166 -0.387  0.016 -0.147  -0.134 0.093  -0.284 0.333  -0.434 0.573  -0.584 0.814  -0.491 1.055  -0.223 1.091  0.061 1.091  0.344 1.091  0.620 1.046  0.888 0.956  1.159 0.943  1.320 0.822  1.268 0.747  1.011 0.627  0.755 0.508  0.498 0.388  0.242 0.268  -0.015 0.148  -0.272 0.029  -0.528 -0.091  -0.508 0.015  -0.359 0.149  -0.108 0.227  0.151 0.284  0.435 0.284  0.689 0.215  0.890 0.015
1b#app#app31#app3126/C  0.913 0.983  0.913 1.081  0.849 1.115  0.751 1.115  0.653 1.115  0.555 1.115  0.457 1.115  0.359 1.115  0.262 1.115  0.174 1.073  0.086 1.029  -0.001 0.985  -0.071 0.917  -0.141 0.848  -0.210 0.779  -0.279 0.709  -0.348 0.640  -0.417 0.571  -0.487 0.502  -0.556 0.433  -0.625 0.363  -0.661 0.281  -0.661 0.183  -0.661 0.085  -0.661 -0.013  -0.661 -0.111  -0.661 -0.209  -0.661 -0.307  -0.661 -0.405  -0.661 -0.502  -0.652 -0.591  -0.554 -0.591  -0.478 -0.643  -0.409 -0.712  -0.339 -0.782  -0.270 -0.851  -0.173 -0.853  -0.093 -0.896  -0.024 -0.966  0.066 -0.985  0.164 -0.985  0.262 -0.985  0.359 -0.985  0.457 -0.985  0.555 -0.985  0.653 -0.985  0.751 -0.985  0.849 -0.985  0.947 -0.985  1.044 -0.985
1b#app#app31#app3126/T  0.391 0.923  0.371 0.771  0.301 0.631  0.279 0.479  0.171 0.368  0.167 0.212  0.129 0.065  0.059 -0.075  0.056 -0.231  0.056 -0.388  0.049 -0.542  -0.021 -0.682  -0.056 -0.831  -0.056 -0.987  -0.056 -1.144  -0.056 -1.301  -0.056 -1.457  -0.056 -1.614  0.033 -1.733  0.029 -1.635  -0.004 -1.482  -0.037 -1.329  -0.070 -1.176  -0.104 -1.023  -0.137 -0.870  -0.170 -0.717  -0.203 -0.564  -0.237 -0.411  -0.270 -0.258  -0.303 -0.105  -0.336 0.048  -0.370 0.201  -0.403 0.354  -0.436 0.507  -0.469 0.660  -0.504 0.812  -0.614 0.923  -0.614 1.080  -0.523 1.146  -0.366 1.146  -0.210 1.146  -0.053 1.146  0.103 1.146  0.260 1.146  0.376 1.049  0.527 1.034  0.663 0.985  0.793 0.923  0.917 0.843  1.060 0.811
1b#app#app31#app3126/E  -0.170 0.827  -0.057 0.640  0.056 0.452  -0.056 0.264  -0.111 0.043  -0.243 -0.147  -0.408 -0.313  -0.574 -0.478  -0.739 -0.644  -0.905 -0.810  -1.071 -0.975  -1.063 -1.201  -0.942 -1.314  -0.748 -1.412  -0.520 -1.427  -0.286 -1.427  -0.051 -1.427  0.183 -1.427  0.410 -1.410  0.604 -1.314  0.732 -1.141  0.674 -0.916  0.600 -0.694  0.526 -0.472  0.452 -0.249  0.378 -0.027  0.304 0.195  0.230 0.417  0.156 0.639  0.082 0.862  -0.096 0.940  -0.330 0.940  -0.395 1.109  -0.217 1.165  0.017 1.165  0.252 1.165  0.486 1.165  0.657 1.014  0.830 0.933  0.620 0.828  0.411 0.723  0.201 0.618  -0.008 0.514  -0.218 0.409  -0.395 0.426  -0.224 0.489  0.010 0.489  0.131 0.376  0.319 0.264  0.506 0.151
1b#app#app31#app3126/D  0.274 1.000  0.274 0.786  0.138 0.707  0.128 0.504  0.128 0.290  0.041 0.096  -0.075 -0.081  -0.165 -0.258  -0.171 -0.470  -0.312 -0.626  -0.370 -0.815  -0.458 -0.993  -0.570 -1.161  -0.721 -1.313  -0.751 -1.170  -0.751 -0.956  -0.744 -0.744  -0.648 -0.552  -0.523 -0.382  -0.458 -0.195  -0.427 0.007  -0.289 0.168  -0.193 0.359  -0.097 0.551  -0.001 0.742  0.095 0.934  0.253 1.063  0.420 1.174  0.488 1.360  0.639 1.511  0.822 1.586  0.860 1.409  0.860 1.194  0.860 0.980  0.860 0.766  0.860 0.552  0.825 0.346  0.730 0.154  0.691 -0.047  0.540 -0.198  0.388 -0.350  0.221 -0.464  0.042 -0.549  -0.019 -0.738  -0.200 -0.792  -0.368 -0.903  -0.569 -0.959  -0.762 -1.050  -0.897 -1.128  -0.897 -1.343
1b#app#app31#app3126/A  0.351 0.585  0.216 0.724  0.081 0.846  -0.062 0.711  -0.188 0.489  -0.259 0.245  -0.452 0.052  -0.625 -0.156  -0.760 -0.391  -0.861 -0.623  -1.052 -0.817  -1.245 -1.011  -1.399 -1.109  -1.262 -0.893  -1.130 -0.674  -1.065 -0.427  -0.872 -0.234  -0.746 0.008  -0.574 0.217  -0.446 0.456  -0.202 0.578  -0.078 0.775  0.081 0.950  0.247 1.155  0.351 1.385  0.617 1.393  0.755 1.257  0.889 1.039  0.889 0.766  0.889 0.492  0.889 0.219  0.889 -0.054  0.936 -0.317  1.024 -0.570  1.158 -0.787  1.129 -1.021  0.868 -0.941  0.606 -0.860  0.345 -0.780  0.084 -0.700  -0.178 -0.619  -0.439 -0.539  -0.592 -0.378  -0.592 -0.105  -0.335 -0.088  -0.075 -0.031  0.180 0.047  0.454 0.047  0.671 -0.088  0.889 -0.223
1b#app#app31#app3126/J  0.374 0.574  0.374 0.420  0.374 0.267  0.374 0.113  0.318 -0.018  0.240 -0.139  0.240 -0.293  0.182 -0.422  0.073 -0.531  -0.029 -0.642  -0.029 -0.796  -0.029 -0.950  -0.097 -1.035  -0.163 -1.123  -0.163 -1.277  -0.290 -1.303  -0.440 -1.294  -0.548 -1.186  -0.695 -1.169  -0.710 -1.024  -0.819 -0.915  -0.807 -0.770  -0.777 -0.619  -0.747 -0.469  -0.717 -0.318  -0.686 -0.167  -0.656 -0.017  -0.626 0.134  -0.596 0.285  -0.566 0.435  -0.580 0.574  -0.699 0.609  -0.699 0.762  -0.625 0.842  -0.472 0.842  -0.318 0.842  -0.164 0.842  -0.011 0.842  0.139 0.825  0.276 0.757  0.419 0.708  0.572 0.708  0.726 0.708  0.869 0.662  1.006 0.593  1.155 0.574  1.309 0.574  1.458 0.586  1.567 0.694  1.715 0.708
1b#app#app31#app3126/E  -0.226 0.583  -0.418 0.445  -0.521 0.288  -0.697 0.112  -0.777 -0.104  -0.967 -0.244  -1.071 -0.400  -1.247 -0.576  -1.329 -0.790  -1.223 -0.933  -1.111 -1.071  -0.878 -1.108  -0.671 -1.209  -0.422 -1.209  -0.173 -1.209  0.076 -1.209  0.325 -1.209  0.517 -1.071  0.758 -1.052  0.876 -0.852  0.763 -0.640  0.617 -0.439  0.471 -0.237  0.324 -0.036  0.178 0.165  0.031 0.367  -0.115 0.568  -0.226 0.781  -0.202 1.020  -0.001 1.134  0.248 1.134  0.497 1.134  0.746 1.134  0.960 1.050  1.177 0.972  1.207 0.827  0.975 0.737  0.743 0.648  0.510 0.559  0.278 0.469  0.046 0.380  -0.187 0.290  -0.419 0.201  -0.502 0.054  -0.368 0.169  -0.119 0.169  0.130 0.169  0.325 0.116  0.490 0.031  0.601 -0.106
1b#app#app31#app3126/J  0.579 0.489  0.579 0.349  0.579 0.209  0.567 0.073  0.468 -0.026  0.444 -0.156  0.394 -0.284  0.332 -0.409  0.309 -0.544  0.242 -0.656  0.174 -0.768  0.139 -0.894  0.040 -0.993  -0.059 -1.092  -0.158 -1.191  -0.257 -1.290  -0.356 -1.389  -0.493 -1.397  -0.633 -1.397  -0.634 -1.259  -0.634 -1.119  -0.634 -0.979  -0.631 -0.839  -0.610 -0.700  -0.588 -0.562  -0.567 -0.423  -0.546 -0.285  -0.525 -0.147  -0.503 -0.008  -0.482 0.130  -0.461 0.269  -0.439 0.407  -0.418 0.546  -0.397 0.684  -0.375 0.822  -0.365 0.962  -0.365 1.102  -0.285 1.162  -0.145 1.162  -0.031 1.099  0.079 1.028  0.219 1.028  0.359 1.028  0.499 1.028  0.622 0.985  0.724 0.893  0.864 0.893  1.002 0.883  1.127 0.821  1.252 0.758
1b#app#app31#app3126/U  -0.282 0.823  -0.294 0.963  -0.438 0.946  -0.546 0.839  -0.562 0.694  -0.702 0.683  -0.809 0.576  -0.916 0.469  -0.982 0.344  -1.032 0.213  -1.133 0.102  -1.200 -0.034  -1.262 -0.171  -1.262 -0.322  -1.262 -0.474  -1.262 -0.626  -1.203 -0.718  -1.051 -0.718  -0.900 -0.718  -0.748 -0.718  -0.597 -0.718  -0.445 -0.718  -0.293 -0.718  -0.183 -0.619  -0.048 -0.578  0.072 -0.503  0.180 -0.396  0.287 -0.289  0.394 -0.182  0.501 -0.075  0.629 -0.018  0.756 0.041  0.864 0.148  0.971 0.255  1.078 0.362  1.118 0.497  1.224 0.543  1.258 0.660  1.129 0.683  1.118 0.542  1.010 0.435  0.903 0.328  0.838 0.203  0.838 0.052  0.756 -0.018  0.698 -0.111  0.698 -0.263  0.698 -0.415  0.698 -0.566  0.698 -0.718
1b#app#app31#app3126/N  -0.284 0.553  -0.153 0.690  -0.284 0.814  -0.421 0.631  -0.559 0.500  -0.689 0.285  -0.781 0.055  -0.971 -0.134  -1.063 -0.364  -1.247 -0.556  -1.345 -0.784  -1.311 -0.686  -1.247 -0.481  -1.110 -0.270  -0.976 -0.136  -0.972 0.129  -0.750 0.224  -0.641 0.415  -0.525 0.587  -0.299 0.690  -0.284 0.437  -0.284 0.169  -0.284 -0.099  -0.146 -0.311  -0.027 -0.530  -0.009 -0.790  -0.009 -1.058  0.129 -1.009  0.255 -0.780  0.407 -0.559  0.560 -0.339  0.713 -0.118  0.865 0.102  1.018 0.323  1.171 0.543  1.323 0.764  1.505 0.881  1.368 1.011  1.329 0.965  1.198 0.828  1.075 0.673  0.885 0.483  0.793 0.253  0.603 0.063  0.461 -0.160  0.401 -0.414  0.267 -0.627  0.129 -0.757  0.084 -1.007  0.129 -1.099
1b#app#app31#app3126/E  0.114 1.260  -0.037 1.096  -0.189 0.931  -0.368 0.778  -0.591 0.554  -0.734 0.350  -0.947 0.158  -1.136 0.009  -1.254 -0.256  -1.402 -0.424  -1.274 -0.687  -1.030 -0.863  -0.723 -0.899  -0.434 -1.014  -0.117 -1.014  0.199 -1.014  0.515 -1.014  0.768 -0.863  0.980 -0.822  0.745 -0.611  0.510 -0.399  0.275 -0.188  0.040 0.024  -0.195 0.235  -0.430 0.447  -0.434 0.408  -0.309 0.654  -0.006 0.685  0.261 0.805  0.577 0.805  0.893 0.805  1.200 0.782  1.463 0.654  1.631 0.505  1.629 0.453  1.327 0.358  1.026 0.263  0.724 0.168  0.423 0.073  0.121 -0.023  -0.180 -0.118  -0.482 -0.213  -0.783 -0.308  -1.085 -0.403  -0.947 -0.258  -0.632 -0.256  -0.316 -0.256  -0.055 -0.389  0.253 -0.408  0.418 -0.559
