3#app#app31#app3191/B  -0.569 -0.594  -0.452 -0.406  -0.352 -0.143  -0.302 0.141  -0.169 0.390  -0.101 0.666  -0.218 0.854  -0.218 1.158  -0.218 0.857  -0.119 0.594  -0.101 0.297  -0.101 -0.008  -0.101 -0.312  -0.101 -0.616  -0.101 -0.921  -0.218 -1.177  -0.242 -1.347  -0.346 -1.061  -0.450 -0.775  -0.554 -0.489  -0.658 -0.202  -0.686 0.097  -0.686 0.401  -0.569 0.657  -0.452 0.913  -0.211 1.050  0.004 1.265  0.187 1.393  0.465 1.501  0.717 1.625  0.717 1.321  0.533 1.093  0.318 0.877  0.157 0.623  -0.045 0.398  -0.209 0.225  -0.157 -0.009  0.148 -0.009  0.452 -0.009  0.757 -0.009  1.029 -0.087  1.068 -0.375  1.007 -0.654  0.792 -0.870  0.576 -1.085  0.360 -1.298  0.097 -1.447  -0.125 -1.646  -0.335 -1.551  -0.218 -1.295
3#app#app31#app3191/t  -0.246 0.816  -0.066 0.816  0.065 0.865  0.065 1.045  0.065 1.225  -0.021 1.369  -0.090 1.358  -0.090 1.178  -0.090 0.998  -0.090 0.818  -0.090 0.638  -0.090 0.458  -0.090 0.278  -0.090 0.098  -0.090 -0.081  -0.090 -0.261  -0.090 -0.441  -0.090 -0.621  -0.090 -0.801  -0.090 -0.981  -0.013 -1.129  0.065 -1.276  0.065 -1.456  0.065 -1.636  -0.021 -1.559  -0.128 -1.415  -0.236 -1.271  -0.344 -1.127  -0.452 -0.983  -0.560 -0.839  -0.668 -0.695  -0.776 -0.552  -0.868 -0.403  -0.868 -0.223  -0.816 -0.065  -0.689 0.063  -0.561 0.190  -0.384 0.200  -0.214 0.257  -0.043 0.314  0.131 0.350  0.311 0.350  0.491 0.350  0.630 0.448  0.786 0.505  0.966 0.505  1.146 0.505  1.321 0.516  1.448 0.644  1.621 0.661
3#app#app31#app3191/h  -0.179 2.080  -0.179 1.967  -0.179 1.854  -0.179 1.741  -0.179 1.628  -0.179 1.515  -0.199 1.404  -0.222 1.293  -0.244 1.182  -0.266 1.071  -0.288 0.961  -0.294 0.848  -0.294 0.735  -0.294 0.622  -0.294 0.509  -0.294 0.396  -0.294 0.283  -0.294 0.170  -0.294 0.057  -0.294 -0.056  -0.294 -0.169  -0.294 -0.282  -0.294 -0.395  -0.294 -0.507  -0.294 -0.620  -0.255 -0.717  -0.179 -0.799  -0.179 -0.912  -0.178 -1.023  -0.065 -1.023  0.048 -1.023  0.129 -0.945  0.166 -0.847  0.166 -0.734  0.206 -0.638  0.281 -0.556  0.281 -0.443  0.281 -0.330  0.281 -0.221  0.281 -0.334  0.281 -0.447  0.281 -0.559  0.389 -0.564  0.395 -0.671  0.470 -0.753  0.510 -0.849  0.564 -0.908  0.662 -0.945  0.742 -1.023  0.855 -1.023
3#app#app31#app3191/a  1.063 0.385  0.912 0.536  0.722 0.594  0.508 0.594  0.436 0.736  0.289 0.803  0.076 0.803  -0.138 0.803  -0.352 0.803  -0.517 0.685  -0.669 0.534  -0.820 0.383  -0.971 0.232  -1.122 0.080  -1.236 -0.086  -1.294 -0.242  -1.445 -0.305  -1.445 -0.519  -1.445 -0.733  -1.367 -0.869  -1.153 -0.869  -0.965 -0.807  -0.812 -0.660  -0.601 -0.652  -0.450 -0.501  -0.257 -0.451  -0.191 -0.303  -0.038 -0.242  0.018 -0.085  0.180 -0.033  0.227 0.134  0.227 0.348  0.227 0.562  0.356 0.722  0.436 0.903  0.436 0.907  0.436 0.693  0.436 0.479  0.436 0.265  0.524 0.088  0.645 -0.076  0.645 -0.290  0.645 -0.503  0.645 -0.717  0.707 -0.869  0.921 -0.869  1.114 -0.818  1.265 -0.667  1.272 -0.456  1.481 -0.451
3#app#app31#app3191/t  -0.119 1.739  -0.119 1.565  -0.119 1.391  -0.119 1.218  -0.119 1.044  -0.050 0.899  0.035 0.761  0.035 0.587  0.035 0.414  0.035 0.240  0.035 0.066  0.035 -0.107  0.035 -0.281  0.061 -0.444  0.183 -0.567  0.197 -0.735  0.320 -0.857  0.343 -1.021  0.349 -1.189  0.497 -1.214  0.542 -1.343  0.651 -1.408  0.736 -1.497  0.732 -1.423  0.609 -1.301  0.487 -1.178  0.364 -1.055  0.241 -0.932  0.118 -0.810  -0.005 -0.687  -0.127 -0.564  -0.250 -0.441  -0.373 -0.319  -0.496 -0.196  -0.618 -0.073  -0.741 0.050  -0.864 0.172  -0.889 0.335  -0.889 0.509  -0.873 0.676  -0.751 0.799  -0.583 0.814  -0.410 0.814  -0.236 0.814  -0.063 0.814  0.111 0.814  0.285 0.814  0.458 0.814  0.632 0.814  0.651 0.660
3#app#app31#app3191/d  0.249 -0.143  0.115 -0.009  -0.035 0.085  -0.225 0.085  -0.414 0.085  -0.474 -0.067  -0.608 -0.201  -0.774 -0.258  -0.910 -0.388  -1.008 -0.537  -1.016 -0.723  -1.150 -0.857  -1.236 -1.011  -1.208 -1.172  -1.018 -1.172  -0.829 -1.172  -0.654 -1.109  -0.477 -1.058  -0.297 -1.033  -0.163 -0.899  -0.029 -0.765  0.105 -0.631  0.239 -0.497  0.292 -0.329  0.363 -0.169  0.398 0.006  0.478 0.162  0.478 0.352  0.478 0.542  0.478 0.731  0.584 0.877  0.592 1.063  0.592 1.252  0.592 1.442  0.592 1.631  0.478 1.663  0.478 1.473  0.363 1.331  0.363 1.142  0.363 0.952  0.363 0.762  0.363 0.573  0.363 0.383  0.363 0.194  0.363 0.004  0.363 -0.185  0.363 -0.375  0.363 -0.564  0.478 -0.640  0.478 -0.829
3#app#app31#app3191/i  0.597 -0.224  0.480 -0.224  0.364 -0.224  0.247 -0.224  0.130 -0.224  0.014 -0.224  -0.098 -0.236  -0.180 -0.319  -0.222 -0.418  -0.222 -0.534  -0.222 -0.651  -0.222 -0.767  -0.141 -0.850  -0.085 -0.944  -0.085 -1.061  -0.085 -1.177  -0.085 -1.294  -0.153 -1.382  -0.219 -1.433  -0.203 -1.317  -0.186 -1.202  -0.170 -1.087  -0.153 -0.971  -0.137 -0.856  -0.120 -0.741  -0.104 -0.625  -0.087 -0.510  -0.071 -0.394  -0.054 -0.279  -0.038 -0.164  -0.021 -0.048  -0.005 0.067  0.012 0.182  0.028 0.298  0.045 0.413  0.061 0.529  0.078 0.644  0.094 0.759  0.111 0.875  0.127 0.990  0.144 1.105  0.160 1.221  0.176 1.336  0.187 1.452  0.174 1.563  0.091 1.645  0.051 1.745  0.051 1.862  0.031 1.958  -0.085 1.958
3#app#app31#app3191/s  0.233 1.468  0.106 1.468  -0.022 1.468  -0.145 1.457  -0.235 1.367  -0.328 1.285  -0.456 1.285  -0.499 1.201  -0.528 1.102  -0.655 1.102  -0.682 1.001  -0.682 0.874  -0.682 0.746  -0.682 0.619  -0.638 0.510  -0.548 0.420  -0.499 0.312  -0.496 0.186  -0.382 0.129  -0.268 0.073  -0.154 0.016  -0.060 -0.068  0.030 -0.158  0.120 -0.249  0.211 -0.339  0.329 -0.361  0.456 -0.361  0.584 -0.361  0.711 -0.361  0.822 -0.401  0.912 -0.491  1.018 -0.544  1.145 -0.544  1.060 -0.632  0.969 -0.722  0.844 -0.727  0.716 -0.727  0.589 -0.727  0.462 -0.727  0.334 -0.727  0.214 -0.746  0.124 -0.836  0.027 -0.910  -0.100 -0.910  -0.227 -0.910  -0.355 -0.910  -0.482 -0.910  -0.610 -0.910  -0.737 -0.910  -0.865 -0.910
3#app#app31#app3191/a  -0.135 0.876  -0.296 0.876  -0.458 0.876  -0.620 0.876  -0.781 0.876  -0.893 0.826  -0.893 0.665  -0.893 0.503  -1.003 0.387  -1.082 0.258  -1.098 0.103  -1.212 -0.011  -1.272 -0.148  -1.272 -0.310  -1.257 -0.465  -1.143 -0.579  -1.029 -0.694  -0.914 -0.808  -0.762 -0.829  -0.600 -0.829  -0.438 -0.829  -0.291 -0.796  -0.176 -0.681  -0.032 -0.640  0.122 -0.606  0.266 -0.534  0.411 -0.462  0.570 -0.450  0.672 -0.354  0.744 -0.209  0.818 -0.066  0.932 0.048  1.002 0.181  1.002 0.343  1.002 0.504  1.002 0.666  1.002 0.828  0.889 0.876  0.813 0.791  0.772 0.647  0.658 0.532  0.623 0.385  0.623 0.224  0.623 0.062  0.623 -0.100  0.623 -0.261  0.623 -0.423  0.623 -0.585  0.698 -0.715  0.813 -0.829
3#app#app31#app3191/s  0.443 0.769  0.598 0.769  0.619 0.903  0.507 0.945  0.443 1.037  0.372 1.121  0.217 1.121  0.062 1.121  -0.093 1.121  -0.248 1.121  -0.262 0.979  -0.382 0.945  -0.438 0.845  -0.516 0.769  -0.655 0.728  -0.764 0.618  -0.874 0.509  -0.984 0.399  -1.093 0.289  -1.143 0.155  -1.143 -0.000  -1.100 -0.113  -0.951 -0.128  -0.841 -0.238  -0.707 -0.289  -0.552 -0.289  -0.397 -0.289  -0.242 -0.289  -0.087 -0.289  0.068 -0.289  0.223 -0.289  0.379 -0.289  0.534 -0.289  0.689 -0.289  0.844 -0.289  0.999 -0.289  1.148 -0.295  1.148 -0.450  1.049 -0.564  0.939 -0.674  0.830 -0.784  0.689 -0.818  0.559 -0.878  0.449 -0.988  0.312 -1.060  0.173 -1.129  0.027 -1.170  -0.128 -1.170  -0.283 -1.170  -0.438 -1.170
3#app#app31#app3191/t  0.022 1.705  -0.102 1.829  -0.120 1.697  -0.120 1.522  -0.120 1.346  -0.120 1.171  -0.120 0.995  -0.120 0.820  -0.120 0.645  -0.120 0.469  -0.060 0.308  0.018 0.151  0.022 -0.024  0.022 -0.199  0.022 -0.374  0.022 -0.550  0.134 -0.679  0.164 -0.842  0.164 -1.017  0.205 -1.176  0.338 -1.278  0.449 -1.342  0.518 -1.489  0.663 -1.562  0.665 -1.480  0.552 -1.346  0.440 -1.211  0.328 -1.076  0.216 -0.941  0.103 -0.807  -0.009 -0.672  -0.121 -0.537  -0.234 -0.402  -0.346 -0.268  -0.458 -0.133  -0.571 0.002  -0.683 0.137  -0.830 0.168  -0.830 0.344  -0.737 0.427  -0.688 0.552  -0.529 0.569  -0.353 0.569  -0.178 0.569  -0.002 0.569  0.173 0.569  0.348 0.569  0.524 0.569  0.699 0.569  0.875 0.569
3#app#app31#app3191/e  -0.883 0.161  -0.724 0.161  -0.639 0.087  -0.639 -0.072  -0.491 -0.083  -0.332 -0.083  -0.173 -0.083  -0.014 -0.083  0.145 -0.083  0.304 -0.083  0.463 -0.083  0.622 -0.083  0.781 -0.083  0.940 -0.083  1.099 -0.083  1.258 -0.083  1.315 0.019  1.315 0.178  1.315 0.337  1.251 0.469  1.139 0.582  1.026 0.694  0.914 0.806  0.791 0.894  0.632 0.894  0.473 0.894  0.314 0.894  0.155 0.894  -0.004 0.894  -0.159 0.885  -0.272 0.773  -0.384 0.660  -0.496 0.548  -0.609 0.435  -0.721 0.323  -0.834 0.211  -0.883 0.072  -0.883 -0.087  -0.883 -0.246  -0.883 -0.405  -0.883 -0.564  -0.883 -0.723  -0.836 -0.862  -0.724 -0.975  -0.611 -1.087  -0.499 -1.200  -0.383 -1.304  -0.224 -1.304  -0.150 -1.389  -0.150 -1.548
3#app#app31#app3191/r  -0.256 -0.271  -0.256 -0.367  -0.256 -0.464  -0.256 -0.561  -0.256 -0.657  -0.256 -0.754  -0.256 -0.851  -0.256 -0.947  -0.256 -1.044  -0.322 -1.113  -0.390 -1.181  -0.459 -1.250  -0.514 -1.288  -0.514 -1.191  -0.514 -1.094  -0.514 -0.998  -0.514 -0.901  -0.514 -0.804  -0.514 -0.708  -0.514 -0.611  -0.504 -0.519  -0.435 -0.450  -0.367 -0.382  -0.299 -0.314  -0.256 -0.235  -0.256 -0.138  -0.256 -0.041  -0.226 0.048  -0.182 0.135  -0.139 0.221  -0.096 0.308  -0.053 0.394  -0.009 0.480  0.052 0.554  0.120 0.622  0.188 0.691  0.257 0.759  0.325 0.828  0.393 0.896  0.462 0.964  0.530 1.033  0.599 1.101  0.667 1.169  0.735 1.238  0.814 1.282  0.910 1.282  1.007 1.282  1.104 1.282  1.200 1.282  1.297 1.282
3#app#app31#app3191/s  0.707 1.127  0.621 1.214  0.526 1.283  0.404 1.283  0.281 1.283  0.158 1.283  0.035 1.283  -0.088 1.283  -0.211 1.283  -0.230 1.179  -0.300 1.127  -0.403 1.093  -0.458 0.984  -0.513 0.874  -0.542 0.758  -0.542 0.635  -0.542 0.512  -0.542 0.389  -0.542 0.266  -0.496 0.190  -0.377 0.181  -0.290 0.094  -0.192 0.033  -0.074 0.029  -0.074 -0.094  -0.007 -0.189  0.080 -0.276  0.201 -0.279  0.324 -0.279  0.447 -0.279  0.551 -0.298  0.551 -0.421  0.659 -0.435  0.707 -0.510  0.707 -0.633  0.700 -0.751  0.590 -0.806  0.480 -0.861  0.376 -0.923  0.289 -1.010  0.187 -1.060  0.069 -1.074  -0.018 -1.160  -0.117 -1.216  -0.240 -1.216  -0.363 -1.216  -0.486 -1.216  -0.609 -1.216  -0.698 -1.183  -0.698 -1.060
3#app#app31#app3191/t  0.444 2.004  0.431 1.854  0.321 1.744  0.307 1.593  0.258 1.446  0.209 1.298  0.172 1.148  0.172 0.993  0.172 0.837  0.129 0.692  0.059 0.552  0.036 0.402  0.036 0.247  0.036 0.091  0.036 -0.064  0.036 -0.220  0.036 -0.376  0.036 -0.531  0.036 -0.687  0.036 -0.843  0.036 -0.998  0.036 -1.154  0.036 -1.310  0.036 -1.465  0.093 -1.597  0.153 -1.635  0.089 -1.493  0.024 -1.351  -0.040 -1.210  -0.104 -1.068  -0.169 -0.926  -0.233 -0.785  -0.298 -0.643  -0.362 -0.501  -0.426 -0.360  -0.491 -0.218  -0.620 -0.176  -0.646 -0.047  -0.646 0.109  -0.623 0.255  -0.513 0.365  -0.403 0.475  -0.260 0.505  -0.104 0.505  0.052 0.505  0.207 0.505  0.363 0.505  0.497 0.452  0.607 0.342  0.717 0.232
3#app#app31#app3191/r  -0.138 0.513  -0.138 0.374  -0.138 0.236  -0.138 0.097  -0.138 -0.041  -0.229 -0.142  -0.327 -0.240  -0.420 -0.340  -0.420 -0.478  -0.420 -0.617  -0.420 -0.755  -0.420 -0.894  -0.516 -0.992  -0.613 -1.090  -0.702 -1.192  -0.702 -1.331  -0.702 -1.451  -0.702 -1.313  -0.702 -1.174  -0.702 -1.036  -0.702 -0.897  -0.604 -0.799  -0.506 -0.701  -0.420 -0.599  -0.420 -0.460  -0.412 -0.325  -0.314 -0.227  -0.216 -0.129  -0.138 -0.023  -0.138 0.115  -0.122 0.247  -0.024 0.345  0.074 0.443  0.144 0.552  0.144 0.691  0.178 0.794  0.317 0.794  0.426 0.824  0.426 0.962  0.450 1.076  0.589 1.076  0.727 1.076  0.866 1.076  0.989 1.061  0.989 0.923  0.999 0.794  1.138 0.794  1.276 0.794  1.415 0.794  1.553 0.794
3#app#app31#app3191/u  -0.131 1.102  -0.296 1.102  -0.461 1.102  -0.625 1.102  -0.748 1.001  -0.865 0.884  -0.905 0.736  -0.911 0.573  -0.985 0.425  -1.059 0.278  -1.133 0.131  -1.163 -0.027  -1.163 -0.192  -1.163 -0.356  -1.087 -0.445  -0.922 -0.445  -0.905 -0.593  -0.866 -0.742  -0.750 -0.858  -0.628 -0.961  -0.463 -0.961  -0.298 -0.961  -0.133 -0.961  -0.016 -0.846  0.100 -0.730  0.217 -0.613  0.333 -0.497  0.477 -0.445  0.642 -0.445  0.643 -0.281  0.693 -0.137  0.809 -0.021  0.900 0.106  0.900 0.271  0.900 0.436  0.900 0.601  0.900 0.765  0.815 0.844  0.650 0.844  0.643 0.687  0.643 0.522  0.643 0.357  0.643 0.192  0.643 0.028  0.643 -0.137  0.643 -0.302  0.664 -0.445  0.829 -0.445  0.900 -0.538  0.900 -0.703
3#app#app31#app3191/c  0.995 1.145  0.910 1.145  0.825 1.145  0.741 1.145  0.656 1.145  0.572 1.145  0.504 1.103  0.444 1.044  0.385 0.984  0.325 0.924  0.241 0.921  0.157 0.921  0.072 0.921  -0.012 0.921  -0.097 0.921  -0.151 0.872  -0.189 0.796  -0.227 0.721  -0.265 0.645  -0.303 0.569  -0.341 0.494  -0.351 0.412  -0.351 0.327  -0.351 0.242  -0.351 0.158  -0.351 0.073  -0.351 -0.011  -0.351 -0.096  -0.351 -0.181  -0.351 -0.265  -0.351 -0.350  -0.351 -0.434  -0.351 -0.519  -0.351 -0.604  -0.324 -0.677  -0.264 -0.737  -0.205 -0.797  -0.145 -0.856  -0.127 -0.934  -0.127 -1.018  -0.127 -1.103  -0.127 -1.187  -0.127 -1.272  -0.093 -1.323  -0.009 -1.323  0.076 -1.323  0.142 -1.367  0.202 -1.427  0.262 -1.487  0.322 -1.547
3#app#app31#app3191/k  0.345 2.017  0.345 1.901  0.345 1.784  0.243 1.770  0.221 1.675  0.221 1.559  0.164 1.466  0.098 1.377  0.098 1.261  0.098 1.144  0.098 1.028  0.045 0.924  -0.007 0.820  -0.026 0.708  -0.026 0.592  -0.026 0.475  -0.026 0.359  -0.046 0.247  -0.098 0.143  -0.149 0.039  -0.149 -0.077  -0.149 -0.194  -0.149 -0.310  -0.149 -0.426  -0.149 -0.543  -0.149 -0.659  -0.149 -0.776  -0.206 -0.861  -0.303 -0.926  -0.400 -0.991  -0.496 -1.055  -0.520 -0.982  -0.462 -0.889  -0.380 -0.807  -0.297 -0.725  -0.215 -0.643  -0.126 -0.577  -0.010 -0.577  0.104 -0.570  0.186 -0.488  0.288 -0.453  0.312 -0.503  0.247 -0.599  0.183 -0.696  0.118 -0.793  0.098 -0.903  0.171 -0.947  0.221 -1.012  0.263 -1.112  0.345 -1.194
