2#app#app18#app1868/{  0.509 1.521  0.471 1.652  0.303 1.652  0.135 1.652  -0.028 1.638  -0.148 1.521  -0.275 1.480  -0.331 1.335  -0.405 1.198  -0.405 1.029  -0.405 0.861  -0.360 0.738  -0.275 0.655  -0.189 0.522  -0.040 0.477  -0.002 0.346  0.117 0.297  0.117 0.129  0.117 -0.039  0.086 -0.176  -0.014 -0.245  -0.120 -0.306  -0.289 -0.306  -0.457 -0.306  -0.599 -0.243  -0.666 -0.249  -0.556 -0.306  -0.405 -0.289  -0.350 -0.176  -0.209 -0.110  -0.067 -0.045  -0.014 0.069  0.094 -0.022  0.248 -0.050  0.248 -0.218  0.248 -0.387  0.129 -0.437  0.099 -0.585  -0.014 -0.707  -0.046 -0.861  -0.144 -0.989  -0.096 -1.137  -0.014 -1.271  0.076 -1.351  0.244 -1.351  0.412 -1.351  0.580 -1.351  0.748 -1.351  0.912 -1.339  1.031 -1.220
2#app#app18#app1868/e  -0.655 0.413  -0.655 0.222  -0.655 0.187  -0.655 0.379  -0.497 0.413  -0.306 0.413  -0.114 0.413  -0.045 0.290  -0.035 0.109  0.157 0.109  0.348 0.109  0.540 0.109  0.732 0.109  0.869 0.163  0.869 0.355  0.869 0.547  0.869 0.739  0.869 0.930  0.770 1.023  0.578 1.023  0.387 1.023  0.195 1.023  0.003 1.023  -0.189 1.023  -0.372 1.002  -0.507 0.866  -0.643 0.730  -0.655 0.544  -0.698 0.370  -0.834 0.234  -0.960 0.095  -0.960 -0.097  -0.960 -0.289  -0.960 -0.481  -0.788 -0.501  -0.655 -0.559  -0.655 -0.751  -0.518 -0.806  -0.326 -0.806  -0.134 -0.806  -0.045 -0.909  -0.045 -1.100  0.136 -1.111  0.328 -1.111  0.520 -1.111  0.712 -1.111  0.904 -1.111  1.095 -1.111  1.287 -1.111  1.479 -1.111
2#app#app18#app1868/l  0.321 1.547  0.245 1.547  0.169 1.547  0.101 1.538  0.101 1.462  0.101 1.386  0.101 1.309  0.101 1.233  0.101 1.157  0.101 1.081  0.101 1.004  0.101 0.928  0.101 0.852  0.101 0.776  0.101 0.699  0.101 0.623  0.101 0.547  0.101 0.471  0.101 0.394  0.101 0.318  0.101 0.242  0.101 0.166  0.101 0.089  0.101 0.013  0.030 0.009  -0.047 0.009  -0.118 0.004  -0.118 -0.072  -0.118 -0.148  -0.118 -0.225  -0.118 -0.301  -0.118 -0.377  -0.118 -0.453  -0.118 -0.530  -0.118 -0.606  -0.118 -0.682  -0.118 -0.758  -0.118 -0.835  -0.118 -0.911  -0.118 -0.987  -0.118 -1.063  -0.118 -1.140  -0.118 -1.216  -0.118 -1.292  -0.118 -1.368  -0.118 -1.445  -0.118 -1.521  -0.118 -1.597  -0.118 -1.673  -0.118 -1.750
2#app#app18#app1868/f  0.303 -1.938  0.122 -1.926  0.122 -1.732  0.095 -1.550  -0.042 -1.413  -0.059 -1.227  -0.059 -1.034  -0.072 -0.853  -0.240 -0.828  -0.240 -0.634  -0.240 -0.441  -0.240 -0.247  -0.240 -0.054  -0.240 0.139  -0.240 0.333  -0.240 0.526  -0.240 0.720  -0.240 0.913  -0.088 0.955  -0.059 1.119  0.118 1.135  0.311 1.135  0.505 1.135  0.664 1.101  0.711 0.955  0.904 0.955  1.098 0.955  1.207 0.870  1.117 0.736  0.938 0.662  0.760 0.588  0.581 0.513  0.403 0.439  0.224 0.365  0.046 0.290  -0.133 0.216  -0.311 0.141  -0.490 0.067  -0.668 -0.007  -0.847 -0.082  -0.963 -0.198  -1.043 -0.311  -1.051 -0.311  -0.858 -0.311  -0.664 -0.311  -0.471 -0.311  -0.278 -0.311  -0.084 -0.311  0.109 -0.311  0.303 -0.311
2#app#app18#app1868/}  -0.184 1.288  -0.184 1.427  -0.137 1.520  0.002 1.520  0.142 1.520  0.280 1.519  0.280 1.379  0.280 1.240  0.209 1.172  0.164 1.077  0.048 1.053  0.030 0.921  -0.068 0.823  -0.093 0.708  -0.184 0.660  -0.184 0.520  -0.184 0.381  -0.184 0.241  -0.158 0.128  -0.019 0.128  0.121 0.128  0.260 0.128  0.393 0.128  0.261 0.147  0.162 0.244  0.022 0.244  -0.068 0.195  -0.141 0.128  -0.184 0.032  -0.099 -0.073  -0.068 -0.199  -0.068 -0.339  -0.042 -0.452  0.048 -0.501  0.099 -0.620  0.164 -0.732  0.236 -0.800  0.280 -0.895  0.280 -1.035  0.280 -1.174  0.231 -1.264  0.164 -1.337  0.068 -1.380  -0.036 -1.465  -0.163 -1.496  -0.302 -1.495  -0.400 -1.396  -0.499 -1.297  -0.439 -1.264  -0.416 -1.380
2#app#app18#app1868/;  0.338 1.055  0.163 1.055  -0.011 1.055  -0.060 1.181  -0.060 1.356  0.018 1.453  0.139 1.400  0.168 1.254  0.338 1.249  0.338 1.075  0.228 0.946  0.090 0.856  -0.084 0.856  -0.259 0.857  -0.259 1.031  -0.108 1.055  0.066 1.055  0.241 1.055  0.338 0.978  0.327 0.804  0.293 0.633  0.259 0.461  0.225 0.290  0.190 0.119  0.156 -0.052  0.122 -0.224  0.088 -0.395  0.053 -0.566  0.019 -0.737  -0.015 -0.908  -0.049 -1.080  -0.181 -1.132  -0.259 -1.035  -0.259 -0.861  -0.210 -0.735  -0.036 -0.735  0.139 -0.735  0.139 -0.909  -0.011 -0.933  -0.060 -1.059  -0.162 -1.132  -0.314 -1.077  -0.437 -0.954  -0.312 -0.933  -0.138 -0.933  -0.060 -1.030  -0.133 -1.132  -0.259 -1.181  -0.283 -1.331  -0.458 -1.331
2#app#app18#app1868/@  0.285 0.209  0.285 0.441  0.144 0.532  -0.089 0.532  -0.199 0.409  -0.392 0.370  -0.521 0.267  -0.521 0.035  -0.438 -0.114  -0.205 -0.114  0.008 -0.068  0.124 0.116  -0.015 0.209  -0.037 -0.001  0.083 -0.114  0.154 -0.275  0.386 -0.275  0.618 -0.275  0.770 -0.194  0.770 0.038  0.770 0.270  0.770 0.503  0.770 0.735  0.770 0.967  0.639 1.146  0.447 1.204  0.349 1.338  0.117 1.338  -0.037 1.260  -0.187 1.177  -0.354 1.021  -0.405 0.810  -0.589 0.693  -0.683 0.555  -0.831 0.384  -0.844 0.157  -0.844 -0.075  -0.844 -0.308  -0.844 -0.540  -0.835 -0.769  -0.671 -0.933  -0.506 -1.097  -0.335 -1.243  -0.199 -1.340  -0.031 -1.405  0.201 -1.405  0.418 -1.471  0.628 -1.566  0.860 -1.566  1.092 -1.566
2#app#app18#app1868/e  -0.914 0.339  -0.725 0.339  -0.650 0.225  -0.611 0.075  -0.422 0.075  -0.233 0.075  -0.122 -0.003  -0.119 -0.189  0.070 -0.189  0.259 -0.189  0.448 -0.189  0.637 -0.189  0.671 -0.034  0.751 0.075  0.935 0.080  0.935 0.269  0.935 0.458  0.935 0.647  0.935 0.837  0.823 0.979  0.689 1.113  0.508 1.131  0.319 1.131  0.130 1.131  -0.059 1.131  -0.211 1.042  -0.345 0.908  -0.517 0.867  -0.689 0.828  -0.823 0.694  -0.914 0.543  -0.914 0.354  -0.914 0.165  -0.914 -0.024  -0.897 -0.206  -0.763 -0.340  -0.650 -0.482  -0.650 -0.671  -0.507 -0.717  -0.386 -0.785  -0.386 -0.974  -0.204 -0.981  -0.015 -0.981  0.165 -1.004  0.299 -1.137  0.443 -1.246  0.632 -1.246  0.821 -1.246  1.010 -1.246  1.199 -1.246
2#app#app18#app1868/a  0.056 -0.004  0.268 -0.004  0.370 0.105  0.370 0.317  0.370 0.528  0.255 0.625  0.056 0.637  0.056 0.849  -0.066 0.939  -0.278 0.939  -0.489 0.939  -0.701 0.939  -0.913 0.939  -1.125 0.939  -1.202 0.804  -1.202 0.593  -1.202 0.381  -1.202 0.169  -1.202 -0.043  -1.202 -0.254  -1.054 -0.319  -0.887 -0.364  -0.887 -0.575  -0.733 -0.633  -0.522 -0.633  -0.310 -0.633  -0.258 -0.473  -0.201 -0.319  0.011 -0.319  0.056 -0.152  0.056 0.060  0.056 0.272  0.056 0.483  0.056 0.554  0.056 0.342  0.056 0.131  0.133 -0.004  0.345 -0.004  0.370 -0.190  0.454 -0.319  0.666 -0.319  0.685 -0.511  0.775 -0.633  0.986 -0.633  1.198 -0.633  1.314 -0.729  1.314 -0.941  1.519 -0.947  1.731 -0.947  1.942 -0.947
2#app#app18#app1868/s  0.429 1.100  0.276 1.100  0.124 1.100  -0.028 1.100  -0.181 1.100  -0.333 1.100  -0.486 1.100  -0.638 1.100  -0.790 1.100  -0.893 1.050  -0.893 0.898  -0.803 0.835  -0.651 0.835  -0.629 0.705  -0.611 0.571  -0.458 0.571  -0.306 0.571  -0.153 0.571  -0.030 0.501  0.078 0.393  0.186 0.285  0.293 0.178  0.401 0.070  0.542 0.042  0.693 0.041  0.693 -0.112  0.735 -0.222  0.887 -0.222  0.958 -0.304  0.958 -0.457  0.958 -0.609  0.958 -0.762  0.958 -0.914  0.907 -1.016  0.754 -1.016  0.602 -1.016  0.450 -1.016  0.297 -1.016  0.145 -1.016  -0.008 -1.016  -0.160 -1.016  -0.312 -1.016  -0.364 -0.915  -0.364 -0.763  -0.505 -0.751  -0.649 -0.731  -0.757 -0.623  -0.865 -0.515  -0.781 -0.487  -0.629 -0.487
2#app#app18#app1868/e  -0.830 0.579  -0.647 0.579  -0.596 0.448  -0.516 0.345  -0.333 0.345  -0.151 0.345  -0.128 0.185  -0.019 0.111  0.163 0.111  0.346 0.111  0.528 0.111  0.574 0.248  0.660 0.345  0.808 0.379  0.808 0.562  0.643 0.579  0.574 0.693  0.574 0.876  0.563 1.047  0.380 1.047  0.198 1.047  0.015 1.047  -0.168 1.047  -0.350 1.047  -0.533 1.047  -0.596 0.927  -0.644 0.765  -0.773 0.636  -0.830 0.476  -0.830 0.294  -0.830 0.111  -0.830 -0.071  -0.737 -0.215  -0.608 -0.345  -0.596 -0.522  -0.515 -0.671  -0.386 -0.800  -0.362 -0.973  -0.265 -1.059  -0.082 -1.059  0.101 -1.059  0.106 -1.235  0.232 -1.292  0.414 -1.292  0.597 -1.292  0.780 -1.292  0.808 -1.138  0.911 -1.059  1.093 -1.059  1.276 -1.059
2#app#app18#app1868/@  0.107 0.235  0.283 0.313  0.128 0.412  0.050 0.588  -0.204 0.588  -0.396 0.439  -0.575 0.259  -0.599 0.015  -0.599 -0.239  -0.422 -0.316  -0.322 -0.470  -0.244 -0.293  -0.070 -0.214  -0.070 0.040  -0.011 -0.117  0.107 -0.253  0.309 -0.320  0.501 -0.470  0.755 -0.470  0.832 -0.293  0.988 -0.195  0.988 0.058  0.988 0.312  0.879 0.521  0.812 0.747  0.812 1.001  0.812 1.255  0.596 1.293  0.343 1.293  0.089 1.293  -0.137 1.226  -0.346 1.117  -0.423 0.941  -0.599 0.862  -0.709 0.654  -0.775 0.427  -0.837 0.235  -0.951 0.096  -0.951 -0.158  -0.951 -0.412  -0.937 -0.660  -0.758 -0.839  -0.578 -1.019  -0.389 -1.175  -0.168 -1.253  0.046 -1.351  0.299 -1.351  0.553 -1.351  0.757 -1.473  0.988 -1.527
2#app#app18#app1868/l  -0.034 1.126  0.043 1.126  0.119 1.126  0.196 1.126  0.210 1.189  0.210 1.265  0.210 1.342  0.175 1.334  0.121 1.280  0.066 1.226  0.012 1.172  -0.034 1.114  -0.034 1.038  -0.034 0.961  -0.034 0.885  -0.034 0.808  -0.034 0.731  -0.034 0.655  -0.034 0.578  -0.034 0.501  -0.034 0.425  -0.034 0.348  -0.034 0.272  -0.034 0.195  -0.034 0.118  -0.034 0.042  -0.034 -0.035  -0.034 -0.111  -0.034 -0.188  -0.034 -0.265  -0.034 -0.341  -0.034 -0.418  -0.034 -0.495  -0.034 -0.571  -0.034 -0.648  -0.034 -0.724  -0.034 -0.801  -0.034 -0.878  -0.034 -0.954  -0.034 -1.031  -0.034 -1.107  -0.034 -1.184  -0.034 -1.261  -0.034 -1.337  -0.034 -1.414  -0.034 -1.491  -0.034 -1.567  -0.034 -1.644  -0.034 -1.720  -0.034 -1.797
2#app#app18#app1868/a  0.538 -0.089  0.538 0.109  0.423 0.192  0.256 0.224  0.256 0.422  0.256 0.620  0.212 0.800  0.072 0.940  -0.086 1.037  -0.285 1.037  -0.483 1.037  -0.681 1.037  -0.871 1.029  -0.871 0.830  -0.994 0.756  -1.152 0.716  -1.152 0.517  -1.152 0.319  -1.152 0.121  -1.152 -0.077  -1.152 -0.276  -1.079 -0.444  -0.939 -0.584  -0.770 -0.653  -0.571 -0.653  -0.373 -0.653  -0.214 -0.559  -0.073 -0.419  -0.026 -0.240  0.008 -0.056  0.148 0.084  0.256 0.238  0.256 0.436  0.096 0.474  -0.026 0.398  -0.026 0.199  0.110 0.057  0.250 -0.083  0.256 -0.279  0.362 -0.371  0.538 -0.393  0.538 -0.592  0.675 -0.653  0.858 -0.691  0.998 -0.831  1.153 -0.934  1.351 -0.934  1.550 -0.934  1.664 -1.018  1.664 -1.216
2#app#app18#app1868/s  0.332 0.835  0.183 0.835  0.034 0.835  -0.116 0.835  -0.265 0.835  -0.415 0.835  -0.564 0.835  -0.714 0.835  -0.863 0.835  -1.013 0.835  -1.162 0.835  -1.246 0.770  -1.246 0.621  -1.146 0.572  -0.996 0.572  -0.847 0.572  -0.697 0.572  -0.548 0.572  -0.457 0.514  -0.457 0.364  -0.363 0.309  -0.213 0.309  -0.064 0.309  0.081 0.298  0.187 0.192  0.292 0.086  0.425 0.046  0.575 0.046  0.686 -0.045  0.792 -0.150  0.914 -0.217  1.063 -0.217  1.122 -0.308  1.122 -0.457  1.122 -0.607  1.109 -0.743  0.960 -0.743  0.859 -0.792  0.859 -0.942  0.774 -1.007  0.625 -1.007  0.475 -1.007  0.326 -1.007  0.177 -1.007  0.027 -1.007  -0.122 -1.007  -0.272 -1.007  -0.421 -1.007  -0.457 -0.893  -0.457 -0.743
2#app#app18#app1868/t  0.046 0.739  0.232 0.739  0.144 0.739  0.046 0.651  0.046 0.465  0.046 0.279  0.046 0.093  0.046 -0.093  0.046 -0.279  0.046 -0.466  0.046 -0.652  0.046 -0.838  0.046 -1.024  0.046 -1.210  0.046 -1.396  0.046 -1.582  0.201 -1.613  0.230 -1.519  0.141 -1.356  0.052 -1.193  -0.037 -1.029  -0.126 -0.866  -0.215 -0.703  -0.304 -0.539  -0.393 -0.376  -0.482 -0.213  -0.571 -0.049  -0.660 0.114  -0.750 0.277  -0.839 0.441  -0.928 0.604  -1.017 0.767  -1.106 0.931  -0.993 0.974  -0.806 0.974  -0.632 0.946  -0.500 0.815  -0.346 0.739  -0.160 0.739  0.026 0.739  0.164 0.621  0.301 0.504  0.487 0.504  0.673 0.504  0.859 0.504  1.028 0.462  1.160 0.331  1.320 0.268  1.506 0.268  1.692 0.268
2#app#app18#app1868/.  0.447 1.363  0.447 1.162  0.447 0.960  0.447 0.758  0.517 0.626  0.719 0.626  0.921 0.626  1.123 0.626  1.184 0.486  1.184 0.284  1.184 0.082  1.176 -0.111  0.974 -0.111  0.772 -0.111  0.570 -0.111  0.369 -0.111  0.167 -0.111  -0.035 -0.111  -0.237 -0.111  -0.290 0.037  -0.290 0.239  -0.290 0.441  -0.274 0.626  -0.072 0.626  0.130 0.626  0.332 0.626  0.447 0.539  0.447 0.337  0.447 0.136  0.447 -0.066  0.447 -0.268  0.447 -0.470  0.447 -0.672  0.422 -0.849  0.220 -0.849  0.018 -0.849  -0.184 -0.849  -0.386 -0.849  -0.587 -0.849  -0.789 -0.849  -0.991 -0.849  -1.145 -0.732  -1.287 -0.589  -1.430 -0.446  -1.573 -0.304  -1.715 -0.161  -1.633 -0.111  -1.431 -0.111  -1.230 -0.111  -1.028 -0.111
