2#apb#apb35#app3576/K  -0.237 1.476  -0.291 1.301  -0.332 1.086  -0.377 0.872  -0.424 0.659  -0.471 0.445  -0.516 0.231  -0.561 0.017  -0.617 -0.194  -0.679 -0.403  -0.727 -0.617  -0.770 -0.831  -0.793 -1.048  -0.831 -1.264  -0.879 -1.437  -0.761 -1.253  -0.643 -1.069  -0.525 -0.885  -0.407 -0.701  -0.290 -0.517  -0.172 -0.332  -0.054 -0.148  0.064 0.036  0.182 0.220  0.300 0.404  0.418 0.588  0.536 0.773  0.653 0.957  0.771 1.141  0.889 1.325  0.905 1.350  0.798 1.160  0.695 0.967  0.587 0.777  0.463 0.599  0.306 0.448  0.139 0.306  -0.033 0.171  -0.214 0.132  -0.104 0.273  0.104 0.221  0.228 0.043  0.302 -0.162  0.364 -0.372  0.417 -0.584  0.453 -0.799  0.486 -1.016  0.518 -1.232  0.549 -1.448  0.580 -1.665
2#apb#apb35#app3576/c  0.877 0.651  0.857 0.523  0.822 0.399  0.742 0.296  0.662 0.194  0.583 0.091  0.503 -0.011  0.419 -0.111  0.334 -0.209  0.242 -0.253  0.333 -0.162  0.421 -0.066  0.508 0.031  0.594 0.128  0.679 0.226  0.754 0.332  0.812 0.448  0.860 0.567  0.886 0.695  0.913 0.822  0.850 0.896  0.724 0.924  0.595 0.936  0.472 0.920  0.361 0.852  0.250 0.784  0.143 0.711  0.040 0.632  -0.063 0.553  -0.167 0.474  -0.263 0.388  -0.353 0.293  -0.442 0.199  -0.532 0.105  -0.621 0.010  -0.701 -0.092  -0.773 -0.200  -0.845 -0.308  -0.917 -0.416  -0.989 -0.524  -1.037 -0.644  -1.078 -0.768  -1.119 -0.891  -1.092 -1.014  -1.051 -1.138  -1.010 -1.261  -0.928 -1.360  -0.839 -1.455  -0.751 -1.550  -0.662 -1.645
2#apb#apb35#app3576/D  -0.580 -0.195  -0.689 -0.320  -0.779 -0.464  -0.877 -0.602  -0.955 -0.753  -1.062 -0.885  -1.056 -0.909  -0.955 -0.773  -0.869 -0.627  -0.787 -0.478  -0.706 -0.329  -0.733 -0.324  -0.812 -0.474  -0.824 -0.643  -0.777 -0.804  -0.648 -0.906  -0.482 -0.920  -0.315 -0.889  -0.168 -0.804  -0.026 -0.712  0.108 -0.607  0.225 -0.485  0.341 -0.360  0.453 -0.233  0.564 -0.104  0.668 0.030  0.753 0.177  0.837 0.324  0.918 0.473  0.996 0.625  1.073 0.776  1.096 0.944  1.114 1.112  1.079 1.278  0.974 1.393  0.816 1.397  0.657 1.341  0.517 1.244  0.394 1.131  0.293 0.994  0.195 0.856  0.127 0.700  0.059 0.544  0.004 0.384  -0.038 0.220  -0.080 0.055  -0.083 -0.113  -0.074 -0.283  0.010 -0.429  0.102 -0.571
2#apb#apb35#app3576/o  0.213 0.879  0.141 0.750  0.055 0.626  -0.034 0.504  -0.123 0.382  -0.232 0.278  -0.343 0.177  -0.442 0.063  -0.539 -0.053  -0.636 -0.167  -0.734 -0.282  -0.825 -0.401  -0.882 -0.541  -0.940 -0.680  -0.996 -0.820  -1.031 -0.961  -0.988 -1.106  -0.907 -1.219  -0.769 -1.278  -0.618 -1.266  -0.471 -1.242  -0.335 -1.179  -0.202 -1.108  -0.081 -1.019  0.041 -0.929  0.157 -0.833  0.271 -0.734  0.383 -0.634  0.479 -0.517  0.574 -0.400  0.660 -0.278  0.722 -0.140  0.784 -0.003  0.833 0.138  0.848 0.288  0.863 0.438  0.861 0.588  0.842 0.738  0.802 0.879  0.718 1.005  0.620 1.119  0.518 1.229  0.371 1.265  0.221 1.269  0.082 1.212  0.032 1.075  0.053 0.927  0.028 0.795  -0.031 0.658  -0.013 0.509
2#apb#apb35#app3576/n  -0.076 1.034  -0.142 0.968  -0.239 0.846  -0.332 0.721  -0.408 0.586  -0.475 0.445  -0.541 0.304  -0.603 0.160  -0.664 0.017  -0.725 -0.127  -0.811 -0.256  -0.906 -0.379  -0.992 -0.509  -1.061 -0.649  -1.125 -0.790  -1.156 -0.943  -1.210 -1.026  -1.064 -0.971  -0.964 -0.854  -0.866 -0.732  -0.771 -0.609  -0.676 -0.485  -0.576 -0.365  -0.475 -0.247  -0.373 -0.129  -0.270 -0.011  -0.168 0.106  -0.063 0.221  0.061 0.317  0.184 0.413  0.307 0.508  0.436 0.596  0.565 0.683  0.697 0.766  0.834 0.841  0.972 0.913  1.096 0.885  1.117 0.732  1.100 0.581  1.051 0.433  1.008 0.283  0.968 0.132  0.938 -0.021  0.918 -0.175  0.896 -0.330  0.864 -0.482  0.843 -0.634  0.887 -0.784  0.956 -0.923  1.036 -1.057
2#apb#apb35#app3576/a  1.084 1.105  1.106 1.284  0.958 1.341  0.782 1.344  0.613 1.286  0.467 1.180  0.318 1.079  0.159 0.993  0.007 0.896  -0.139 0.789  -0.285 0.682  -0.419 0.562  -0.552 0.439  -0.677 0.310  -0.789 0.168  -0.900 0.026  -0.998 -0.126  -1.093 -0.280  -1.161 -0.446  -1.214 -0.618  -1.230 -0.797  -1.157 -0.947  -1.010 -1.034  -0.830 -1.047  -0.660 -1.011  -0.501 -0.925  -0.340 -0.843  -0.177 -0.766  -0.013 -0.689  0.114 -0.566  0.228 -0.425  0.342 -0.285  0.447 -0.138  0.549 0.010  0.654 0.158  0.760 0.304  0.832 0.467  0.837 0.566  0.698 0.454  0.583 0.315  0.480 0.167  0.377 0.018  0.279 -0.133  0.181 -0.285  0.097 -0.445  0.028 -0.612  0.067 -0.770  0.189 -0.885  0.366 -0.918  0.544 -0.951
2#apb#apb35#app3576/l  -1.122 -1.250  -0.986 -1.238  -0.871 -1.157  -0.753 -1.082  -0.649 -0.990  -0.559 -0.882  -0.459 -0.784  -0.353 -0.692  -0.249 -0.598  -0.152 -0.496  -0.055 -0.394  0.041 -0.292  0.135 -0.188  0.229 -0.084  0.324 0.020  0.411 0.130  0.492 0.245  0.573 0.359  0.654 0.474  0.742 0.583  0.831 0.692  0.897 0.813  0.937 0.948  0.977 1.082  1.018 1.216  0.956 1.311  0.824 1.309  0.696 1.252  0.578 1.177  0.475 1.082  0.375 0.983  0.279 0.881  0.186 0.776  0.093 0.671  0.006 0.561  -0.078 0.448  -0.161 0.335  -0.241 0.220  -0.302 0.093  -0.363 -0.033  -0.423 -0.160  -0.479 -0.289  -0.535 -0.418  -0.591 -0.546  -0.606 -0.686  -0.620 -0.826  -0.616 -0.965  -0.596 -1.104  -0.508 -1.207  -0.404 -1.301
2#apb#apb35#app3576/d  0.286 0.168  0.101 0.168  -0.077 0.140  -0.237 0.047  -0.394 -0.052  -0.548 -0.154  -0.679 -0.285  -0.810 -0.416  -0.937 -0.551  -1.063 -0.687  -1.171 -0.838  -1.251 -1.003  -1.193 -1.151  -1.014 -1.124  -0.846 -1.046  -0.687 -0.951  -0.534 -0.848  -0.403 -0.717  -0.272 -0.586  -0.149 -0.447  -0.028 -0.307  0.092 -0.166  0.216 -0.028  0.341 0.109  0.465 0.246  0.587 0.386  0.708 0.526  0.828 0.667  0.927 0.823  1.019 0.984  1.110 1.145  1.198 1.308  1.174 1.429  1.015 1.353  0.868 1.240  0.728 1.119  0.589 0.997  0.471 0.856  0.363 0.704  0.256 0.553  0.153 0.399  0.054 0.243  -0.046 0.087  -0.114 -0.085  -0.172 -0.260  -0.226 -0.437  -0.226 -0.622  -0.226 -0.808  -0.159 -0.980  -0.088 -1.151
2#apb#apb35#app3576/N  -1.742 0.823  -1.681 0.651  -1.539 0.544  -1.358 0.511  -1.176 0.532  -0.997 0.570  -0.819 0.613  -0.640 0.654  -0.457 0.662  -0.277 0.698  -0.102 0.752  0.066 0.703  0.080 0.530  0.021 0.357  -0.045 0.186  -0.113 0.016  -0.191 -0.150  -0.294 -0.302  -0.388 -0.459  -0.485 -0.614  -0.597 -0.760  -0.720 -0.869  -0.662 -0.710  -0.581 -0.546  -0.481 -0.393  -0.374 -0.244  -0.267 -0.095  -0.155 0.050  -0.037 0.190  0.087 0.325  0.225 0.446  0.363 0.566  0.501 0.687  0.669 0.746  0.845 0.737  0.954 0.591  0.996 0.415  1.016 0.233  1.005 0.050  0.956 -0.125  0.899 -0.300  0.828 -0.468  0.736 -0.626  0.630 -0.776  0.564 -0.928  0.670 -0.981  0.751 -1.115  0.924 -1.153  1.106 -1.130  1.286 -1.097
2#apb#apb35#app3576/e  -1.451 -1.104  -1.303 -1.092  -1.164 -1.036  -1.025 -0.979  -0.886 -0.921  -0.763 -0.840  -0.657 -0.734  -0.551 -0.628  -0.442 -0.526  -0.328 -0.429  -0.213 -0.332  -0.095 -0.240  0.025 -0.150  0.145 -0.060  0.251 0.045  0.347 0.160  0.442 0.276  0.534 0.394  0.595 0.531  0.657 0.668  0.719 0.805  0.809 0.921  0.916 1.027  0.954 1.169  0.945 1.305  0.851 1.412  0.724 1.331  0.598 1.251  0.492 1.145  0.386 1.039  0.280 0.932  0.177 0.823  0.075 0.713  -0.028 0.604  -0.110 0.480  -0.182 0.348  -0.255 0.217  -0.324 0.084  -0.364 -0.060  -0.404 -0.205  -0.431 -0.349  -0.387 -0.492  -0.342 -0.635  -0.249 -0.753  -0.156 -0.871  -0.052 -0.971  0.093 -1.010  0.238 -1.049  0.383 -1.088  0.527 -1.127
2#apb#apb35#app3576/w  -0.716 1.035  -0.704 0.947  -0.780 0.813  -0.856 0.679  -0.942 0.552  -1.030 0.426  -1.125 0.305  -1.220 0.184  -1.265 0.039  -1.304 -0.110  -1.342 -0.259  -1.340 -0.409  -1.260 -0.522  -1.120 -0.581  -0.967 -0.568  -0.826 -0.516  -0.690 -0.444  -0.553 -0.373  -0.416 -0.304  -0.278 -0.235  -0.152 -0.149  -0.029 -0.056  0.090 0.041  0.192 0.156  0.294 0.270  0.395 0.386  0.495 0.503  0.596 0.619  0.545 0.648  0.440 0.537  0.353 0.411  0.280 0.276  0.220 0.135  0.168 -0.010  0.128 -0.157  0.118 -0.311  0.162 -0.442  0.289 -0.521  0.438 -0.559  0.591 -0.557  0.744 -0.549  0.890 -0.505  1.032 -0.445  1.168 -0.376  1.285 -0.277  1.402 -0.177  1.517 -0.076  1.606 0.050  1.696 0.175  1.785 0.300
2#apb#apb35#app3576/t  1.050 1.495  1.034 1.325  0.956 1.169  0.872 1.017  0.767 0.877  0.662 0.738  0.582 0.584  0.510 0.425  0.438 0.266  0.363 0.109  0.272 -0.039  0.180 -0.188  0.089 -0.336  0.000 -0.486  -0.087 -0.637  -0.175 -0.788  -0.263 -0.938  -0.358 -1.085  -0.453 -1.231  -0.520 -1.390  -0.563 -1.403  -0.591 -1.231  -0.620 -1.059  -0.648 -0.887  -0.676 -0.715  -0.705 -0.543  -0.733 -0.371  -0.762 -0.199  -0.790 -0.027  -0.819 0.145  -0.847 0.317  -0.875 0.489  -0.946 0.568  -1.083 0.463  -0.998 0.310  -0.836 0.250  -0.663 0.239  -0.489 0.239  -0.314 0.239  -0.140 0.239  0.034 0.239  0.209 0.237  0.383 0.231  0.557 0.225  0.731 0.216  0.905 0.204  1.079 0.193  1.253 0.180  1.427 0.167  1.600 0.153
2#apb#apb35#app3576/o  0.187 0.849  0.044 0.767  -0.077 0.647  -0.183 0.512  -0.290 0.378  -0.394 0.242  -0.498 0.106  -0.600 -0.032  -0.699 -0.172  -0.798 -0.312  -0.897 -0.453  -0.996 -0.593  -1.075 -0.744  -1.149 -0.899  -1.196 -1.063  -1.150 -1.207  -0.992 -1.269  -0.827 -1.243  -0.662 -1.197  -0.503 -1.133  -0.351 -1.056  -0.220 -0.946  -0.097 -0.827  0.012 -0.695  0.096 -0.547  0.163 -0.389  0.230 -0.231  0.281 -0.068  0.325 0.098  0.342 0.268  0.359 0.439  0.360 0.610  0.360 0.782  0.267 0.924  0.155 1.053  0.026 1.156  -0.028 1.002  -0.035 0.832  0.036 0.676  0.149 0.551  0.279 0.441  0.442 0.387  0.604 0.333  0.776 0.331  0.947 0.331  1.117 0.315  1.286 0.283  1.454 0.255  1.626 0.255  1.798 0.255
2#apb#apb35#app3576/n  -0.399 0.586  -0.513 0.482  -0.619 0.372  -0.695 0.238  -0.770 0.104  -0.861 -0.020  -0.952 -0.145  -1.027 -0.279  -1.096 -0.416  -1.184 -0.541  -1.287 -0.655  -1.367 -0.784  -1.263 -0.688  -1.162 -0.572  -1.063 -0.454  -0.953 -0.347  -0.841 -0.241  -0.730 -0.135  -0.624 -0.023  -0.518 0.089  -0.412 0.200  -0.301 0.307  -0.190 0.413  -0.078 0.520  0.037 0.621  0.167 0.703  0.297 0.786  0.428 0.867  0.559 0.948  0.704 0.965  0.811 0.882  0.781 0.743  0.717 0.603  0.648 0.465  0.579 0.328  0.518 0.187  0.462 0.043  0.413 -0.102  0.384 -0.254  0.373 -0.405  0.424 -0.538  0.571 -0.584  0.722 -0.602  0.876 -0.597  1.030 -0.591  1.182 -0.573  1.331 -0.534  1.480 -0.496  1.629 -0.458  1.778 -0.419
