1c#app#app07#app0773/p  0.116 1.204  0.116 0.996  0.116 0.788  0.027 0.618  -0.008 0.424  -0.045 0.222  -0.111 0.025  -0.132 -0.179  -0.177 -0.377  -0.257 -0.566  -0.257 -0.774  -0.257 -0.982  -0.280 -1.180  -0.381 -1.346  -0.381 -1.554  -0.381 -1.762  -0.378 -1.836  -0.369 -1.629  -0.359 -1.421  -0.350 -1.213  -0.340 -1.006  -0.331 -0.798  -0.321 -0.590  -0.312 -0.383  -0.302 -0.175  -0.293 0.033  -0.284 0.240  -0.274 0.448  -0.265 0.656  -0.234 0.854  -0.132 1.020  -0.028 1.185  0.120 1.329  0.303 1.391  0.485 1.453  0.633 1.309  0.738 1.144  0.862 1.061  0.862 0.853  0.862 0.645  0.847 0.443  0.738 0.281  0.600 0.210  0.489 0.113  0.328 0.005  0.130 -0.039  -0.025 -0.169  -0.222 -0.234  -0.381 -0.328  -0.505 -0.411
1c#app#app07#app0773/n  -1.080 -0.082  -0.986 -0.175  -0.909 -0.276  -0.909 -0.409  -0.909 -0.542  -0.909 -0.675  -0.909 -0.807  -0.910 -0.939  -1.043 -0.939  -1.080 -0.843  -1.080 -0.710  -1.062 -0.596  -0.929 -0.596  -0.829 -0.516  -0.737 -0.421  -0.737 -0.288  -0.640 -0.253  -0.540 -0.200  -0.480 -0.082  -0.421 0.037  -0.342 0.142  -0.248 0.236  -0.154 0.330  -0.060 0.424  -0.052 0.553  0.006 0.662  0.100 0.756  0.194 0.850  0.288 0.944  0.382 1.038  0.481 1.119  0.614 1.119  0.634 1.006  0.634 0.873  0.634 0.740  0.634 0.607  0.764 0.604  0.806 0.513  0.806 0.380  0.806 0.248  0.806 0.115  0.806 -0.018  0.855 -0.131  0.949 -0.225  0.977 -0.346  1.015 -0.463  1.109 -0.557  1.149 -0.673  1.187 -0.767  1.320 -0.767
1c#app#app07#app0773/c  1.004 1.087  0.894 1.087  0.784 1.087  0.675 1.087  0.565 1.087  0.456 1.087  0.346 1.087  0.255 1.041  0.178 0.964  0.094 0.895  -0.004 0.846  -0.102 0.797  -0.200 0.748  -0.283 0.678  -0.361 0.601  -0.453 0.559  -0.563 0.559  -0.645 0.493  -0.722 0.415  -0.800 0.338  -0.877 0.260  -0.930 0.172  -0.930 0.063  -0.930 -0.047  -0.930 -0.156  -0.930 -0.266  -0.891 -0.359  -0.813 -0.437  -0.736 -0.514  -0.658 -0.592  -0.581 -0.669  -0.472 -0.671  -0.362 -0.671  -0.253 -0.671  -0.168 -0.731  -0.090 -0.808  0.003 -0.847  0.113 -0.847  0.222 -0.847  0.332 -0.847  0.442 -0.847  0.529 -0.794  0.607 -0.717  0.698 -0.671  0.807 -0.671  0.917 -0.671  1.026 -0.671  1.136 -0.671  1.246 -0.671  1.355 -0.671
1c#app#app07#app0773/h  0.708 1.804  0.646 1.680  0.571 1.566  0.473 1.468  0.375 1.370  0.277 1.272  0.187 1.168  0.125 1.044  0.058 0.923  -0.013 0.804  -0.085 0.685  -0.156 0.567  -0.235 0.454  -0.333 0.356  -0.438 0.267  -0.562 0.205  -0.670 0.121  -0.768 0.023  -0.866 -0.075  -0.964 -0.173  -1.062 -0.271  -1.119 -0.386  -1.119 -0.524  -1.026 -0.624  -0.891 -0.633  -0.752 -0.633  -0.643 -0.562  -0.517 -0.531  -0.417 -0.438  -0.319 -0.340  -0.191 -0.314  -0.091 -0.220  0.033 -0.158  0.157 -0.096  0.281 -0.034  0.404 -0.037  0.353 -0.125  0.302 -0.213  0.302 -0.351  0.302 -0.490  0.302 -0.628  0.326 -0.757  0.432 -0.836  0.570 -0.836  0.679 -0.908  0.805 -0.937  0.944 -0.937  1.083 -0.937  1.220 -0.934  1.318 -0.836
1c#app#app07#app0773/a  0.543 1.036  0.379 1.036  0.214 1.036  0.050 1.036  -0.071 0.929  -0.210 0.867  -0.353 0.816  -0.469 0.699  -0.633 0.698  -0.751 0.586  -0.868 0.470  -0.984 0.354  -1.100 0.237  -1.146 0.092  -1.214 -0.045  -1.315 -0.167  -1.315 -0.332  -1.303 -0.484  -1.146 -0.492  -1.142 -0.653  -0.978 -0.653  -0.813 -0.653  -0.649 -0.653  -0.484 -0.653  -0.320 -0.653  -0.301 -0.507  -0.160 -0.484  0.005 -0.484  0.036 -0.351  0.165 -0.315  0.205 -0.191  0.290 -0.062  0.374 0.068  0.403 0.221  0.520 0.337  0.543 0.492  0.670 0.529  0.712 0.407  0.712 0.242  0.712 0.078  0.821 0.023  0.881 -0.082  0.881 -0.247  0.977 -0.315  1.050 -0.407  1.137 -0.484  1.219 -0.567  1.274 -0.709  1.392 -0.822  1.557 -0.822
1c#app#app07#app0773/n  -0.253 0.695  -0.253 0.522  -0.253 0.348  -0.342 0.211  -0.451 0.082  -0.451 -0.092  -0.571 -0.216  -0.649 -0.358  -0.688 -0.493  -0.858 -0.503  -0.981 -0.626  -1.104 -0.749  -1.227 -0.872  -1.243 -1.039  -1.243 -0.961  -1.141 -0.889  -0.990 -0.834  -0.867 -0.711  -0.744 -0.588  -0.610 -0.493  -0.451 -0.477  -0.451 -0.304  -0.335 -0.178  -0.212 -0.055  -0.089 0.068  0.034 0.191  0.157 0.314  0.280 0.437  0.341 0.586  0.370 0.753  0.447 0.908  0.525 1.064  0.682 1.092  0.737 1.210  0.832 1.290  0.935 1.219  0.935 1.045  0.925 0.874  0.847 0.718  0.769 0.562  0.737 0.396  0.737 0.222  0.737 0.048  0.737 -0.125  0.737 -0.299  0.737 -0.473  0.737 -0.647  0.737 -0.821  0.812 -0.964  0.935 -1.087
1c#app#app07#app0773/t  0.939 1.967  0.832 1.913  0.779 1.784  0.719 1.668  0.649 1.547  0.586 1.420  0.512 1.301  0.420 1.195  0.335 1.082  0.250 0.970  0.192 0.843  0.147 0.709  0.087 0.582  0.023 0.456  -0.040 0.329  -0.103 0.203  -0.166 0.077  -0.229 -0.049  -0.258 -0.184  -0.299 -0.308  -0.338 -0.433  -0.385 -0.554  -0.418 -0.682  -0.418 -0.823  -0.377 -0.947  -0.333 -1.070  -0.233 -1.170  -0.115 -1.225  0.013 -1.281  0.148 -1.305  0.289 -1.305  0.225 -1.199  0.144 -1.083  0.063 -0.968  -0.019 -0.853  -0.100 -0.738  -0.181 -0.622  -0.263 -0.507  -0.344 -0.392  -0.426 -0.276  -0.507 -0.161  -0.588 -0.046  -0.636 0.052  -0.494 0.052  -0.353 0.052  -0.212 0.052  -0.071 0.052  0.061 0.012  0.192 -0.028  0.300 -0.108
1c#app#app07#app0773/e  -0.290 0.120  -0.144 0.120  -0.128 0.250  -0.048 0.362  0.064 0.443  0.205 0.454  0.308 0.557  0.434 0.604  0.561 0.648  0.664 0.751  0.679 0.891  0.679 1.037  0.585 1.088  0.439 1.088  0.293 1.088  0.148 1.088  0.011 1.067  -0.092 0.964  -0.222 0.927  -0.345 0.872  -0.448 0.769  -0.551 0.666  -0.639 0.552  -0.704 0.422  -0.769 0.292  -0.869 0.187  -0.935 0.069  -0.935 -0.077  -0.935 -0.222  -0.935 -0.368  -0.935 -0.514  -0.802 -0.526  -0.774 -0.643  -0.672 -0.687  -0.552 -0.748  -0.448 -0.848  -0.302 -0.848  -0.171 -0.908  -0.040 -0.973  0.096 -1.010  0.242 -1.010  0.388 -1.010  0.529 -0.998  0.631 -0.895  0.758 -0.848  0.903 -0.848  1.049 -0.848  1.194 -0.848  1.340 -0.848  1.486 -0.848
1c#app#app07#app0773/d  -0.173 -0.099  -0.339 -0.131  -0.504 -0.166  -0.654 -0.264  -0.823 -0.300  -0.985 -0.371  -1.138 -0.462  -1.265 -0.589  -1.312 -0.749  -1.247 -0.901  -1.081 -0.873  -0.917 -0.836  -0.753 -0.769  -0.588 -0.709  -0.428 -0.628  -0.270 -0.543  -0.121 -0.444  0.021 -0.337  0.163 -0.232  0.290 -0.105  0.406 0.032  0.507 0.179  0.632 0.307  0.689 0.477  0.782 0.630  0.872 0.785  0.943 0.949  1.010 1.116  1.033 1.291  1.033 1.470  0.913 1.456  0.759 1.368  0.632 1.241  0.517 1.104  0.416 0.956  0.304 0.816  0.192 0.676  0.103 0.521  0.006 0.370  -0.083 0.215  -0.163 0.054  -0.173 -0.123  -0.173 -0.302  -0.173 -0.482  -0.155 -0.654  -0.028 -0.780  0.100 -0.906  0.254 -0.995  0.403 -1.091  0.564 -1.171
1c#app#app07#app0773/l  -1.107 -1.060  -0.973 -1.020  -0.844 -0.967  -0.707 -0.907  -0.586 -0.820  -0.462 -0.738  -0.334 -0.661  -0.217 -0.568  -0.082 -0.501  0.026 -0.396  0.133 -0.289  0.249 -0.195  0.384 -0.127  0.455 0.003  0.544 0.123  0.651 0.230  0.727 0.359  0.794 0.494  0.861 0.629  0.861 0.780  0.861 0.931  0.861 1.082  0.841 1.228  0.774 1.363  0.631 1.377  0.480 1.377  0.336 1.349  0.202 1.280  0.101 1.169  0.033 1.034  -0.034 0.899  -0.116 0.774  -0.223 0.668  -0.306 0.543  -0.369 0.407  -0.416 0.263  -0.469 0.122  -0.537 -0.013  -0.545 -0.162  -0.545 -0.313  -0.545 -0.464  -0.493 -0.602  -0.451 -0.743  -0.370 -0.861  -0.264 -0.968  -0.223 -1.101  -0.093 -1.154  0.043 -1.214  0.164 -1.301  0.299 -1.341
1c#app#app07#app0773/e  -0.795 -0.564  -0.674 -0.443  -0.640 -0.286  -0.500 -0.253  -0.484 -0.098  -0.317 -0.086  -0.196 0.035  -0.034 0.057  0.092 0.168  0.233 0.261  0.387 0.338  0.521 0.441  0.658 0.524  0.809 0.574  0.914 0.702  0.914 0.874  0.914 1.045  0.843 1.145  0.671 1.145  0.500 1.145  0.328 1.145  0.157 1.145  0.001 1.077  -0.152 1.000  -0.278 0.885  -0.399 0.764  -0.521 0.643  -0.642 0.521  -0.763 0.400  -0.795 0.242  -0.896 0.112  -0.951 -0.037  -0.951 -0.209  -0.951 -0.380  -0.850 -0.510  -0.795 -0.659  -0.684 -0.720  -0.550 -0.809  -0.406 -0.875  -0.234 -0.875  -0.074 -0.925  0.079 -1.001  0.244 -1.030  0.415 -1.030  0.587 -1.030  0.759 -1.030  0.880 -0.909  1.037 -0.875  1.209 -0.875  1.380 -0.875
1c#app#app07#app0773/v  -0.895 0.161  -0.789 0.161  -0.698 0.126  -0.623 0.052  -0.569 -0.031  -0.569 -0.137  -0.569 -0.242  -0.569 -0.348  -0.569 -0.453  -0.618 -0.538  -0.693 -0.613  -0.732 -0.702  -0.732 -0.808  -0.831 -0.815  -0.895 -0.856  -0.895 -0.961  -0.805 -0.977  -0.709 -0.954  -0.634 -0.879  -0.556 -0.815  -0.450 -0.815  -0.363 -0.771  -0.288 -0.696  -0.214 -0.621  -0.139 -0.547  -0.065 -0.472  0.010 -0.398  0.084 -0.323  0.159 -0.249  0.234 -0.174  0.243 -0.073  0.268 0.023  0.342 0.097  0.413 0.175  0.460 0.269  0.507 0.363  0.554 0.458  0.621 0.538  0.695 0.613  0.770 0.687  0.844 0.762  0.893 0.847  0.893 0.953  0.953 1.033  1.028 1.108  1.056 1.202  1.056 1.307  1.056 1.412  1.113 1.461  1.218 1.461
1c#app#app07#app0773/e  -0.641 -0.152  -0.477 -0.152  -0.453 -0.011  -0.335 0.036  -0.170 0.036  -0.013 0.068  0.134 0.142  0.282 0.215  0.445 0.224  0.486 0.347  0.586 0.412  0.674 0.488  0.728 0.600  0.862 0.630  0.857 0.793  0.741 0.909  0.624 1.026  0.508 1.142  0.352 1.163  0.187 1.163  0.022 1.163  -0.077 1.098  -0.119 0.975  -0.279 0.962  -0.395 0.846  -0.512 0.729  -0.628 0.613  -0.641 0.453  -0.764 0.412  -0.829 0.312  -0.829 0.147  -0.829 -0.018  -0.829 -0.182  -0.822 -0.340  -0.657 -0.340  -0.641 -0.489  -0.585 -0.640  -0.512 -0.788  -0.419 -0.904  -0.257 -0.912  -0.141 -1.029  -0.002 -1.092  0.147 -1.129  0.264 -1.245  0.414 -1.280  0.579 -1.280  0.744 -1.280  0.909 -1.280  1.073 -1.280  1.238 -1.280
1c#app#app07#app0773/r  -0.765 -1.299  -0.765 -1.402  -0.765 -1.445  -0.765 -1.342  -0.765 -1.239  -0.765 -1.136  -0.765 -1.033  -0.748 -0.947  -0.645 -0.947  -0.589 -0.900  -0.589 -0.798  -0.589 -0.695  -0.589 -0.592  -0.589 -0.489  -0.589 -0.386  -0.589 -0.283  -0.544 -0.198  -0.471 -0.126  -0.413 -0.047  -0.413 0.056  -0.413 0.159  -0.413 0.262  -0.333 0.285  -0.237 0.291  -0.237 0.394  -0.237 0.497  -0.237 0.600  -0.170 0.637  -0.067 0.637  -0.061 0.733  -0.038 0.813  0.065 0.813  0.168 0.813  0.271 0.813  0.374 0.813  0.467 0.803  0.467 0.700  0.507 0.637  0.610 0.637  0.692 0.588  0.765 0.515  0.846 0.461  0.949 0.461  1.035 0.421  1.108 0.348  1.184 0.285  1.287 0.285  1.378 0.255  1.450 0.182  1.523 0.109
1c#app#app07#app0773/h  1.079 1.733  0.994 1.648  0.910 1.564  0.825 1.479  0.741 1.395  0.665 1.304  0.612 1.197  0.545 1.100  0.460 1.015  0.376 0.931  0.291 0.846  0.207 0.762  0.122 0.677  0.038 0.593  -0.047 0.508  -0.131 0.424  -0.216 0.339  -0.300 0.255  -0.385 0.170  -0.469 0.086  -0.554 0.001  -0.627 -0.091  -0.681 -0.198  -0.750 -0.294  -0.807 -0.390  -0.848 -0.492  -0.906 -0.587  -0.906 -0.707  -0.906 -0.826  -0.808 -0.848  -0.689 -0.848  -0.581 -0.820  -0.491 -0.748  -0.383 -0.721  -0.293 -0.649  -0.185 -0.622  -0.112 -0.533  -0.075 -0.451  0.028 -0.410  0.123 -0.351  0.185 -0.409  0.263 -0.451  0.285 -0.549  0.303 -0.649  0.384 -0.688  0.426 -0.790  0.483 -0.886  0.542 -0.947  0.582 -1.026  0.682 -1.046
1c#app#app07#app0773/e  -0.588 -0.242  -0.426 -0.242  -0.290 -0.218  -0.253 -0.093  -0.106 -0.059  0.008 0.055  0.168 0.061  0.312 0.133  0.456 0.206  0.570 0.320  0.684 0.434  0.753 0.566  0.753 0.727  0.753 0.889  0.753 1.050  0.641 1.099  0.479 1.099  0.318 1.099  0.157 1.099  -0.003 1.093  -0.147 1.021  -0.291 0.948  -0.405 0.834  -0.552 0.801  -0.677 0.712  -0.791 0.598  -0.886 0.476  -0.913 0.326  -1.027 0.212  -1.035 0.054  -1.035 -0.107  -1.008 -0.242  -0.886 -0.281  -0.850 -0.427  -0.735 -0.540  -0.578 -0.550  -0.464 -0.664  -0.350 -0.778  -0.214 -0.838  -0.053 -0.838  0.079 -0.909  0.208 -0.987  0.369 -0.987  0.531 -0.987  0.692 -0.987  0.853 -0.987  1.014 -0.987  1.175 -0.987  1.337 -0.987  1.498 -0.987
