2#tos#t1#t1081062/\"  -0.525 1.111  -0.684 1.079  -0.740 0.913  -0.740 0.733  -0.740 0.553  -0.740 0.373  -0.740 0.194  -0.740 0.014  -0.740 -0.166  -0.740 -0.345  -0.740 -0.525  -0.740 -0.705  -0.740 -0.884  -0.740 -1.064  -0.668 -1.172  -0.648 -1.332  -0.596 -1.204  -0.515 -1.046  -0.426 -0.890  -0.337 -0.734  -0.248 -0.578  -0.159 -0.422  -0.069 -0.266  0.020 -0.110  0.109 0.046  0.198 0.202  0.287 0.359  0.376 0.515  0.466 0.671  0.555 0.827  0.644 0.983  0.733 1.139  0.822 1.295  0.698 1.327  0.553 1.292  0.553 1.112  0.553 0.933  0.553 0.753  0.553 0.573  0.553 0.393  0.553 0.214  0.553 0.034  0.553 -0.146  0.553 -0.325  0.553 -0.505  0.553 -0.685  0.553 -0.864  0.553 -1.044  0.553 -1.224  0.553 -1.404
2#tos#t1#t1081062/@  0.609 0.500  0.535 0.345  0.506 0.544  0.403 0.669  0.263 0.757  0.052 0.715  -0.060 0.564  -0.155 0.405  -0.163 0.181  -0.215 0.005  -0.163 -0.172  -0.112 -0.349  -0.065 -0.530  0.094 -0.599  0.288 -0.633  0.413 -0.530  0.506 -0.364  0.609 -0.209  0.609 0.019  0.609 0.247  0.557 0.454  0.557 0.682  0.506 0.858  0.454 1.035  0.309 1.118  0.236 1.272  0.080 1.375  -0.148 1.375  -0.307 1.283  -0.428 1.169  -0.592 1.066  -0.678 0.894  -0.730 0.678  -0.730 0.450  -0.730 0.222  -0.730 -0.006  -0.730 -0.234  -0.730 -0.462  -0.678 -0.678  -0.627 -0.854  -0.575 -1.070  -0.527 -1.250  -0.402 -1.353  -0.238 -1.456  -0.038 -1.502  0.155 -1.559  0.340 -1.456  0.438 -1.267  0.659 -1.250  0.763 -1.096
2#tos#t1#t1081062/]  -0.363 1.124  -0.456 1.124  -0.523 1.060  -0.589 0.994  -0.531 0.980  -0.437 0.980  -0.363 0.999  -0.346 1.076  -0.253 1.076  -0.159 1.076  -0.066 1.076  0.028 1.078  0.116 1.107  0.207 1.124  0.264 1.088  0.264 0.994  0.264 0.901  0.264 0.807  0.264 0.714  0.264 0.620  0.264 0.527  0.264 0.433  0.264 0.340  0.264 0.246  0.264 0.153  0.264 0.059  0.264 -0.035  0.264 -0.128  0.264 -0.222  0.216 -0.295  0.216 -0.389  0.216 -0.482  0.216 -0.576  0.216 -0.669  0.216 -0.763  0.216 -0.857  0.216 -0.950  0.216 -1.044  0.216 -1.137  0.216 -1.231  0.130 -1.238  0.037 -1.238  -0.057 -1.238  -0.151 -1.238  -0.244 -1.238  -0.317 -1.289  -0.391 -1.335  -0.485 -1.335  -0.523 -1.399  -0.604 -1.431
2#tos#t1#t1081062/_  -1.204 0.043  -1.282 0.043  -1.359 0.043  -1.436 0.043  -1.454 -0.016  -1.454 -0.093  -1.408 -0.124  -1.331 -0.124  -1.253 -0.124  -1.176 -0.124  -1.099 -0.124  -1.022 -0.124  -0.944 -0.124  -0.867 -0.124  -0.790 -0.124  -0.713 -0.124  -0.635 -0.124  -0.558 -0.124  -0.481 -0.124  -0.404 -0.124  -0.326 -0.124  -0.249 -0.124  -0.172 -0.124  -0.095 -0.124  -0.017 -0.124  0.060 -0.124  0.137 -0.122  0.210 -0.097  0.283 -0.073  0.356 -0.049  0.380 0.012  0.426 0.043  0.504 0.043  0.581 0.043  0.655 0.055  0.724 0.090  0.793 0.124  0.870 0.126  0.947 0.126  1.025 0.126  1.102 0.126  1.130 0.175  1.173 0.209  1.250 0.209  1.327 0.209  1.405 0.209  1.482 0.209  1.559 0.209  1.636 0.209  1.714 0.209
2#tos#t1#t1081062/{  0.497 1.437  0.384 1.437  0.270 1.437  0.157 1.437  0.043 1.437  -0.070 1.437  -0.091 1.345  -0.141 1.280  -0.141 1.167  -0.177 1.076  -0.239 1.000  -0.239 0.887  -0.239 0.773  -0.190 0.709  -0.095 0.654  0.007 0.641  0.041 0.535  0.132 0.480  0.203 0.418  0.203 0.304  0.203 0.191  0.138 0.113  0.056 0.082  -0.017 0.003  -0.121 -0.034  -0.141 -0.129  -0.250 -0.132  -0.337 -0.159  -0.428 -0.181  -0.328 -0.181  -0.214 -0.181  -0.101 -0.181  -0.036 -0.230  0.056 -0.252  0.056 -0.366  0.056 -0.479  0.056 -0.593  0.056 -0.706  0.056 -0.820  0.056 -0.933  0.020 -1.038  0.007 -1.149  0.007 -1.262  0.007 -1.376  0.007 -1.489  0.056 -1.554  0.119 -1.604  0.154 -1.683  0.194 -1.771  0.301 -1.800
2#tos#t1#t1081062/}  -0.451 1.169  -0.451 1.264  -0.487 1.305  -0.392 1.305  -0.297 1.305  -0.202 1.305  -0.107 1.305  -0.058 1.260  0.037 1.260  0.090 1.218  0.135 1.142  0.135 1.047  0.090 0.971  0.090 0.876  0.067 0.785  0.020 0.719  -0.033 0.652  -0.045 0.560  -0.045 0.465  -0.045 0.370  -0.045 0.275  0.019 0.230  0.081 0.177  0.131 0.132  0.136 0.042  0.226 0.037  0.171 -0.003  0.135 -0.062  0.090 -0.112  0.090 -0.207  0.045 -0.257  0.045 -0.352  0.045 -0.446  0.059 -0.539  0.089 -0.629  0.135 -0.679  0.139 -0.770  0.180 -0.823  0.180 -0.918  0.180 -1.013  0.158 -1.085  0.135 -1.157  0.081 -1.230  0.031 -1.307  0.001 -1.397  -0.045 -1.473  -0.068 -1.559  -0.125 -1.634  -0.178 -1.713  -0.180 -1.807
2#tos#t1#t1081062/7  -0.766 0.644  -0.790 0.776  -0.810 0.640  -0.766 0.502  -0.766 0.346  -0.766 0.189  -0.766 0.033  -0.766 -0.124  -0.682 -0.196  -0.678 -0.044  -0.678 0.113  -0.678 0.269  -0.678 0.425  -0.745 0.533  -0.855 0.624  -0.718 0.644  -0.561 0.644  -0.405 0.644  -0.248 0.644  -0.094 0.667  0.061 0.688  0.197 0.752  0.350 0.776  0.506 0.776  0.663 0.776  0.819 0.776  0.957 0.758  1.046 0.690  0.979 0.599  0.956 0.467  0.888 0.378  0.834 0.255  0.736 0.157  0.715 0.014  0.648 -0.101  0.561 -0.196  0.539 -0.339  0.414 -0.429  0.383 -0.573  0.336 -0.682  0.294 -0.797  0.246 -0.908  0.206 -1.048  0.154 -1.184  0.118 -1.332  0.024 -1.420  -0.042 -1.522  -0.059 -1.661  -0.117 -1.770  -0.192 -1.875
2#tos#t1#t1081062/8  0.298 0.391  0.470 0.439  0.578 0.575  0.586 0.792  0.586 1.013  0.520 1.178  0.366 1.297  0.195 1.352  -0.026 1.352  -0.239 1.304  -0.440 1.256  -0.564 1.160  -0.712 1.087  -0.764 0.916  -0.856 0.734  -0.773 0.548  -0.616 0.448  -0.461 0.343  -0.300 0.267  -0.107 0.198  0.093 0.150  0.207 0.006  0.379 -0.042  0.490 -0.152  0.602 -0.298  0.735 -0.436  0.778 -0.647  0.827 -0.819  0.790 -1.004  0.678 -1.150  0.468 -1.196  0.343 -1.292  0.171 -1.340  -0.050 -1.340  -0.271 -1.340  -0.492 -1.340  -0.616 -1.244  -0.712 -1.120  -0.766 -0.949  -0.796 -0.751  -0.664 -0.595  -0.512 -0.467  -0.452 -0.278  -0.237 -0.234  -0.135 -0.116  -0.013 0.039  0.191 0.121  0.292 0.288  0.394 0.410  0.538 0.487
2#tos#t1#t1081062/A  -1.368 -1.172  -1.368 -0.956  -1.299 -0.768  -1.247 -0.574  -1.094 -0.421  -0.986 -0.241  -0.941 -0.032  -0.818 0.143  -0.700 0.292  -0.625 0.477  -0.564 0.675  -0.489 0.873  -0.375 1.057  -0.225 1.166  -0.105 1.261  0.063 1.213  0.176 1.085  0.341 1.023  0.349 0.814  0.439 0.689  0.540 0.546  0.683 0.472  0.788 0.325  0.875 0.164  0.997 0.013  1.080 -0.185  1.179 -0.361  1.255 -0.528  1.351 -0.649  1.345 -0.777  1.135 -0.727  0.925 -0.677  0.715 -0.626  0.505 -0.576  0.295 -0.526  0.084 -0.476  -0.126 -0.426  -0.336 -0.375  -0.546 -0.325  -0.756 -0.275  -0.886 -0.127  -0.873 -0.122  -0.657 -0.122  -0.453 -0.084  -0.254 -0.027  -0.038 -0.027  0.178 -0.027  0.394 -0.027  0.610 -0.027  0.826 -0.027
2#tos#t1#t1081062/B  -0.481 1.190  -0.432 1.252  -0.432 0.973  -0.432 0.695  -0.432 0.416  -0.432 0.137  -0.432 -0.142  -0.432 -0.420  -0.432 -0.699  -0.432 -0.978  -0.432 -1.256  -0.443 -1.152  -0.473 -0.875  -0.504 -0.598  -0.535 -0.321  -0.566 -0.044  -0.596 0.233  -0.627 0.510  -0.658 0.787  -0.676 1.065  -0.522 1.190  -0.243 1.190  -0.005 1.287  0.274 1.287  0.536 1.217  0.656 1.027  0.688 0.762  0.498 0.605  0.375 0.368  0.153 0.216  -0.035 0.025  -0.289 -0.077  -0.491 -0.077  -0.212 -0.077  -0.031 0.021  0.227 0.069  0.506 0.069  0.785 0.069  1.029 0.035  1.190 -0.091  1.224 -0.356  1.250 -0.609  1.126 -0.841  0.925 -0.972  0.656 -1.018  0.391 -1.061  0.166 -1.148  -0.051 -1.250  -0.320 -1.294  -0.578 -1.343
2#tos#t1#t1081062/C  0.295 1.195  0.295 1.238  0.295 1.100  0.340 1.007  0.340 0.869  0.386 0.776  0.431 0.683  0.418 0.740  0.284 0.751  0.206 0.831  0.077 0.871  -0.015 0.922  -0.153 0.922  -0.291 0.922  -0.384 0.876  -0.478 0.805  -0.506 0.694  -0.569 0.620  -0.669 0.549  -0.783 0.474  -0.829 0.376  -0.842 0.251  -0.867 0.124  -0.888 -0.006  -0.888 -0.145  -0.888 -0.283  -0.888 -0.421  -0.785 -0.466  -0.734 -0.579  -0.660 -0.644  -0.615 -0.763  -0.520 -0.806  -0.400 -0.852  -0.281 -0.897  -0.142 -0.897  -0.040 -0.955  0.078 -0.988  0.205 -0.943  0.298 -0.897  0.437 -0.897  0.529 -0.852  0.667 -0.847  0.749 -0.760  0.843 -0.715  0.935 -0.670  1.064 -0.626  1.113 -0.536  1.159 -0.443  1.286 -0.401  1.386 -0.306
2#tos#t1#t1081062/D  -0.588 0.878  -0.540 0.916  -0.526 0.721  -0.492 0.535  -0.492 0.334  -0.492 0.134  -0.492 -0.066  -0.449 -0.256  -0.445 -0.456  -0.445 -0.656  -0.445 -0.857  -0.414 -1.027  -0.427 -0.846  -0.460 -0.648  -0.493 -0.450  -0.526 -0.253  -0.559 -0.055  -0.592 0.143  -0.625 0.340  -0.658 0.538  -0.705 0.731  -0.730 0.925  -0.673 1.069  -0.473 1.069  -0.272 1.069  -0.072 1.069  0.127 1.067  0.250 0.926  0.430 0.892  0.588 0.799  0.787 0.783  0.844 0.640  0.984 0.524  1.031 0.371  1.127 0.266  1.174 0.113  1.174 -0.088  1.174 -0.288  1.121 -0.467  0.989 -0.593  0.934 -0.741  0.782 -0.794  0.597 -0.870  0.439 -0.984  0.244 -1.027  0.046 -1.038  -0.149 -1.074  -0.349 -1.074  -0.530 -1.122  -0.730 -1.122
2#tos#t1#t1081062/E  -0.657 1.013  -0.651 1.092  -0.423 1.129  -0.198 1.171  0.045 1.171  0.209 1.250  0.452 1.250  0.655 1.289  0.787 1.274  0.554 1.206  0.321 1.139  0.087 1.071  -0.146 1.003  -0.379 0.936  -0.613 0.868  -0.578 0.817  -0.497 0.653  -0.460 0.419  -0.361 0.204  -0.342 -0.036  -0.342 -0.279  -0.342 -0.522  -0.381 -0.756  -0.381 -0.999  -0.413 -1.228  -0.428 -1.082  -0.475 -0.844  -0.523 -0.606  -0.571 -0.368  -0.456 -0.245  -0.284 -0.131  -0.065 -0.052  0.178 -0.052  0.395 0.027  0.622 0.066  0.596 -0.005  0.446 -0.196  0.296 -0.387  0.145 -0.577  -0.005 -0.768  -0.155 -0.959  -0.306 -1.150  -0.197 -1.156  0.046 -1.156  0.216 -0.999  0.459 -0.995  0.696 -0.959  0.920 -0.900  1.151 -0.841  1.354 -0.801
2#tos#t1#t1081062/I  -0.068 1.211  -0.018 1.391  0.031 1.247  0.081 1.039  0.081 0.809  0.081 0.580  0.130 0.359  0.130 0.130  0.130 -0.100  0.130 -0.329  0.130 -0.558  0.180 -0.738  0.203 -0.962  0.229 -1.185  0.215 -1.111  0.154 -0.891  0.093 -0.670  0.032 -0.449  -0.030 -0.228  -0.091 -0.007  -0.152 0.214  -0.213 0.435  -0.274 0.656  -0.335 0.877  -0.396 1.098  -0.516 1.261  -0.528 1.310  -0.299 1.310  -0.069 1.310  0.160 1.310  0.389 1.310  0.368 1.128  0.298 0.910  0.228 0.691  0.158 0.473  0.088 0.255  0.018 0.037  -0.053 -0.182  -0.123 -0.400  -0.193 -0.618  -0.263 -0.836  -0.333 -1.055  -0.403 -1.273  -0.463 -1.427  -0.349 -1.311  -0.120 -1.311  0.057 -1.436  0.277 -1.460  0.494 -1.410  0.724 -1.410
2#tos#t1#t1081062/M  -0.823 -0.796  -0.905 -0.872  -1.010 -0.872  -1.051 -0.754  -1.051 -0.595  -1.089 -0.452  -1.089 -0.293  -1.089 -0.134  -1.089 0.024  -1.076 0.180  -1.051 0.333  -1.051 0.492  -1.051 0.651  -1.007 0.758  -0.899 0.689  -0.817 0.611  -0.705 0.535  -0.661 0.421  -0.545 0.372  -0.443 0.271  -0.404 0.128  -0.290 0.083  -0.151 0.041  -0.089 -0.084  -0.024 -0.194  0.014 -0.114  0.128 -0.069  0.166 0.052  0.298 0.079  0.356 0.179  0.463 0.231  0.542 0.324  0.623 0.447  0.731 0.497  0.813 0.575  0.889 0.657  0.979 0.726  1.003 0.590  1.003 0.432  1.041 0.311  1.041 0.152  1.041 -0.007  1.041 -0.166  1.041 -0.324  1.041 -0.483  1.041 -0.642  1.003 -0.792  1.041 -0.912  1.041 -1.071  1.079 -1.214
2#tos#t1#t1081062/N  -0.630 -0.493  -0.671 -0.656  -0.798 -0.747  -0.801 -0.914  -0.844 -0.801  -0.844 -0.633  -0.863 -0.473  -0.886 -0.314  -0.886 -0.146  -0.886 0.023  -0.886 0.191  -0.886 0.359  -0.886 0.528  -0.886 0.696  -0.886 0.864  -0.886 1.033  -0.844 1.108  -0.801 0.957  -0.715 0.874  -0.631 0.791  -0.587 0.633  -0.501 0.518  -0.416 0.435  -0.320 0.363  -0.212 0.250  -0.101 0.163  0.011 0.064  0.098 -0.043  0.158 -0.156  0.320 -0.193  0.389 -0.313  0.450 -0.450  0.568 -0.500  0.654 -0.583  0.766 -0.664  0.831 -0.792  0.910 -0.881  1.039 -0.921  1.039 -0.837  1.039 -0.669  1.039 -0.500  1.039 -0.332  1.039 -0.164  1.039 0.005  1.039 0.173  0.996 0.299  0.996 0.467  1.022 0.629  1.039 0.793  1.039 0.962
2#tos#t1#t1081062/T  -1.072 0.611  -1.116 0.530  -1.173 0.524  -1.048 0.524  -0.924 0.524  -0.799 0.524  -0.674 0.524  -0.550 0.524  -0.425 0.524  -0.313 0.564  -0.203 0.611  -0.078 0.611  0.036 0.655  0.160 0.655  0.284 0.657  0.391 0.699  0.516 0.699  0.640 0.699  0.765 0.699  0.889 0.699  0.902 0.737  0.780 0.716  0.657 0.696  0.534 0.675  0.411 0.655  0.288 0.634  0.166 0.614  0.107 0.546  0.019 0.509  0.019 0.384  0.019 0.260  0.019 0.135  0.019 0.011  0.019 -0.114  0.019 -0.238  0.019 -0.363  0.019 -0.487  0.019 -0.612  0.019 -0.736  0.053 -0.853  0.063 -0.975  0.063 -1.100  0.063 -1.224  0.063 -1.349  0.063 -1.473  0.063 -1.598  0.063 -1.722  0.063 -1.847  0.063 -1.971  0.019 -1.965
2#tos#t1#t1081062/U  -0.713 1.154  -0.829 1.113  -0.829 0.989  -0.829 0.865  -0.829 0.740  -0.829 0.616  -0.790 0.530  -0.790 0.406  -0.790 0.281  -0.790 0.157  -0.752 0.048  -0.752 -0.076  -0.752 -0.200  -0.752 -0.325  -0.675 -0.395  -0.675 -0.519  -0.636 -0.605  -0.597 -0.691  -0.543 -0.793  -0.481 -0.869  -0.404 -0.916  -0.296 -0.932  -0.249 -1.010  -0.124 -1.010  0.000 -1.010  0.108 -0.971  0.214 -0.952  0.277 -0.873  0.360 -0.816  0.445 -0.778  0.488 -0.693  0.530 -0.584  0.562 -0.492  0.601 -0.406  0.627 -0.285  0.639 -0.162  0.678 -0.076  0.678 0.048  0.678 0.173  0.678 0.297  0.700 0.415  0.755 0.523  0.794 0.609  0.794 0.733  0.794 0.857  0.794 0.982  0.832 1.068  0.871 1.176  0.901 1.270  0.910 1.386
2#tos#t1#t1081062/W  -1.157 0.945  -1.262 0.917  -1.227 0.860  -1.217 0.715  -1.192 0.574  -1.157 0.433  -1.125 0.290  -1.087 0.158  -1.017 0.040  -0.947 -0.078  -0.936 -0.221  -0.848 -0.337  -0.842 -0.483  -0.772 -0.601  -0.724 -0.700  -0.667 -0.750  -0.647 -0.611  -0.527 -0.548  -0.442 -0.462  -0.372 -0.360  -0.332 -0.245  -0.282 -0.148  -0.248 -0.035  -0.158 0.054  -0.122 0.175  -0.072 0.218  0.025 0.144  0.103 0.072  0.108 -0.070  0.255 -0.070  0.292 -0.189  0.358 -0.295  0.467 -0.350  0.593 -0.371  0.613 -0.510  0.733 -0.546  0.796 -0.630  0.836 -0.495  0.908 -0.391  0.938 -0.260  1.013 -0.153  1.095 -0.035  1.119 0.105  1.188 0.224  1.203 0.365  1.292 0.455  1.328 0.596  1.328 0.743  1.351 0.885  1.433 0.980
