3#app#app33#app3324/S  0.053 0.630  0.053 0.781  0.053 0.932  0.089 1.068  0.092 1.132  -0.059 1.132  -0.192 1.088  -0.319 1.031  -0.434 0.945  -0.470 0.809  -0.577 0.702  -0.649 0.581  -0.749 0.530  -0.785 0.394  -0.892 0.287  -0.950 0.161  -1.051 0.110  -0.982 0.028  -0.931 0.128  -0.780 0.128  -0.642 0.182  -0.516 0.262  -0.392 0.329  -0.253 0.377  -0.114 0.429  0.037 0.429  0.188 0.429  0.339 0.429  0.479 0.404  0.599 0.329  0.722 0.261  0.829 0.155  0.865 0.019  0.956 -0.095  0.956 -0.246  0.956 -0.397  0.922 -0.540  0.855 -0.675  0.819 -0.811  0.712 -0.918  0.655 -1.045  0.569 -1.160  0.463 -1.267  0.356 -1.374  0.206 -1.376  0.055 -1.376  -0.096 -1.376  -0.247 -1.376  -0.348 -1.327  -0.449 -1.276
3#app#app33#app3324/h  -0.236 1.981  -0.236 1.826  -0.236 1.672  -0.236 1.518  -0.236 1.364  -0.236 1.210  -0.236 1.055  -0.265 0.908  -0.334 0.770  -0.349 0.619  -0.349 0.465  -0.349 0.311  -0.349 0.157  -0.349 0.003  -0.395 -0.141  -0.461 -0.279  -0.461 -0.433  -0.461 -0.588  -0.461 -0.742  -0.503 -0.879  -0.574 -1.003  -0.574 -1.158  -0.687 -1.152  -0.687 -0.997  -0.580 -0.950  -0.574 -0.802  -0.520 -0.670  -0.461 -0.540  -0.411 -0.398  -0.335 -0.267  -0.197 -0.198  -0.123 -0.089  -0.123 0.065  -0.014 0.174  0.114 0.260  0.242 0.346  0.379 0.403  0.534 0.403  0.681 0.387  0.790 0.278  0.891 0.166  0.929 0.027  1.004 -0.096  1.004 -0.250  1.004 -0.404  1.004 -0.559  1.004 -0.713  1.004 -0.867  1.004 -1.021  1.004 -1.175
3#app#app33#app3324/e  -0.725 0.542  -0.588 0.521  -0.588 0.364  -0.526 0.269  -0.393 0.210  -0.268 0.132  -0.111 0.132  0.047 0.132  0.204 0.132  0.323 0.225  0.462 0.269  0.619 0.269  0.777 0.269  0.888 0.380  1.035 0.405  1.050 0.547  1.050 0.705  1.050 0.862  0.982 0.952  0.825 0.952  0.668 0.952  0.510 0.952  0.353 0.952  0.206 0.927  0.095 0.815  -0.060 0.806  -0.201 0.736  -0.336 0.658  -0.447 0.546  -0.558 0.435  -0.670 0.324  -0.760 0.198  -0.831 0.057  -0.861 -0.093  -0.861 -0.250  -0.861 -0.407  -0.754 -0.521  -0.725 -0.666  -0.725 -0.823  -0.614 -0.934  -0.503 -1.045  -0.366 -1.096  -0.220 -1.144  -0.080 -1.214  0.073 -1.233  0.208 -1.308  0.339 -1.396  0.469 -1.483  0.620 -1.506  0.777 -1.506
3#app#app33#app3324/d  0.602 1.577  0.602 1.432  0.602 1.287  0.602 1.142  0.602 0.998  0.602 0.853  0.602 0.708  0.602 0.563  0.602 0.418  0.602 0.273  0.644 0.138  0.699 0.006  0.699 -0.139  0.715 -0.278  0.796 -0.328  0.796 -0.183  0.774 -0.047  0.699 0.067  0.638 0.187  0.602 0.317  0.570 0.448  0.467 0.551  0.346 0.609  0.201 0.609  0.056 0.609  -0.085 0.600  -0.191 0.503  -0.321 0.438  -0.433 0.349  -0.555 0.273  -0.670 0.194  -0.735 0.065  -0.827 -0.045  -0.951 -0.118  -1.073 -0.194  -1.140 -0.311  -1.140 -0.456  -1.140 -0.601  -1.140 -0.746  -1.037 -0.848  -0.930 -0.939  -0.804 -0.985  -0.688 -1.068  -0.558 -1.133  -0.413 -1.133  -0.268 -1.133  -0.123 -1.133  0.022 -1.133  0.167 -1.133  0.312 -1.133
3#app#app33#app3324/t  0.750 1.873  0.635 1.758  0.594 1.611  0.594 1.448  0.594 1.285  0.503 1.160  0.439 1.024  0.439 0.861  0.378 0.723  0.283 0.599  0.283 0.436  0.283 0.273  0.283 0.110  0.283 -0.053  0.283 -0.216  0.283 -0.379  0.283 -0.542  0.283 -0.705  0.283 -0.868  0.283 -1.031  0.283 -1.194  0.283 -1.357  0.409 -1.394  0.335 -1.310  0.209 -1.206  0.083 -1.103  -0.043 -1.000  -0.169 -0.897  -0.295 -0.793  -0.421 -0.690  -0.548 -0.587  -0.674 -0.484  -0.800 -0.381  -0.926 -0.277  -1.052 -0.174  -1.178 -0.071  -1.231 0.006  -1.068 0.006  -0.922 0.046  -0.807 0.161  -0.644 0.162  -0.482 0.168  -0.337 0.241  -0.191 0.314  -0.029 0.317  0.134 0.320  0.280 0.393  0.425 0.466  0.587 0.473  0.750 0.473
3#app#app33#app3324/h  -0.186 1.977  -0.186 1.830  -0.235 1.703  -0.298 1.583  -0.298 1.436  -0.355 1.302  -0.410 1.169  -0.410 1.022  -0.410 0.875  -0.410 0.728  -0.410 0.581  -0.410 0.434  -0.410 0.287  -0.410 0.140  -0.410 -0.006  -0.410 -0.153  -0.410 -0.300  -0.410 -0.447  -0.410 -0.594  -0.410 -0.741  -0.410 -0.888  -0.410 -1.035  -0.428 -1.163  -0.522 -1.110  -0.522 -0.963  -0.522 -0.816  -0.490 -0.683  -0.410 -0.569  -0.379 -0.429  -0.314 -0.298  -0.248 -0.166  -0.179 -0.038  -0.048 0.027  0.074 0.106  0.178 0.210  0.290 0.295  0.437 0.295  0.584 0.295  0.692 0.202  0.719 0.070  0.837 0.031  0.883 -0.109  0.930 -0.248  0.936 -0.394  0.936 -0.541  0.936 -0.688  0.936 -0.835  0.936 -0.981  0.936 -1.128  0.936 -1.275
3#app#app33#app3324/e  -0.959 0.455  -0.851 0.347  -0.712 0.313  -0.593 0.396  -0.465 0.455  -0.312 0.455  -0.159 0.455  -0.006 0.455  0.147 0.455  0.287 0.399  0.424 0.330  0.573 0.313  0.726 0.313  0.741 0.175  0.883 0.179  0.883 0.332  0.883 0.485  0.883 0.638  0.883 0.791  0.819 0.880  0.741 0.955  0.655 1.022  0.502 1.022  0.349 1.022  0.208 0.968  0.072 0.900  -0.045 0.803  -0.137 0.683  -0.205 0.546  -0.287 0.419  -0.395 0.310  -0.503 0.202  -0.583 0.074  -0.652 -0.063  -0.676 -0.211  -0.676 -0.364  -0.676 -0.517  -0.676 -0.670  -0.676 -0.823  -0.664 -0.968  -0.527 -1.037  -0.391 -1.106  -0.282 -1.214  -0.174 -1.322  -0.066 -1.431  0.046 -1.529  0.199 -1.529  0.352 -1.529  0.491 -1.563  0.600 -1.671
3#app#app33#app3324/h  0.112 2.027  0.087 1.882  0.020 1.748  -0.047 1.613  -0.104 1.475  -0.152 1.332  -0.175 1.185  -0.186 1.037  -0.234 0.894  -0.286 0.753  -0.353 0.619  -0.367 0.471  -0.367 0.321  -0.384 0.174  -0.451 0.040  -0.462 -0.108  -0.462 -0.258  -0.462 -0.409  -0.462 -0.559  -0.462 -0.709  -0.462 -0.860  -0.462 -1.010  -0.462 -1.161  -0.521 -1.169  -0.558 -1.034  -0.558 -0.883  -0.479 -0.766  -0.462 -0.622  -0.424 -0.481  -0.357 -0.346  -0.289 -0.212  -0.222 -0.077  -0.155 0.057  -0.088 0.192  0.039 0.267  0.181 0.304  0.331 0.304  0.481 0.304  0.592 0.207  0.698 0.101  0.796 -0.012  0.863 -0.146  0.878 -0.293  0.878 -0.444  0.878 -0.594  0.878 -0.744  0.855 -0.890  0.788 -1.024  0.782 -1.173  0.782 -1.324
3#app#app33#app3324/o  -0.045 0.794  -0.188 0.794  -0.289 0.694  -0.389 0.594  -0.490 0.493  -0.591 0.392  -0.691 0.292  -0.766 0.180  -0.766 0.038  -0.789 -0.095  -0.890 -0.195  -0.910 -0.329  -0.910 -0.471  -0.910 -0.614  -0.910 -0.756  -0.910 -0.898  -0.805 -0.936  -0.693 -1.009  -0.580 -1.080  -0.438 -1.080  -0.296 -1.080  -0.153 -1.080  -0.011 -1.080  0.122 -1.057  0.222 -0.956  0.356 -0.936  0.466 -0.857  0.566 -0.756  0.667 -0.656  0.768 -0.555  0.819 -0.434  0.819 -0.292  0.819 -0.149  0.819 -0.007  0.819 0.135  0.819 0.277  0.819 0.420  0.819 0.562  0.819 0.704  0.819 0.847  0.783 0.974  0.682 1.075  0.543 1.082  0.401 1.082  0.259 1.082  0.116 1.082  -0.026 1.082  -0.132 0.995  -0.233 0.894  -0.334 0.794
3#app#app33#app3324/m  -0.813 0.825  -0.709 0.734  -0.813 0.581  -0.829 0.392  -0.918 0.233  -0.918 0.037  -0.918 -0.159  -0.918 -0.355  -0.918 -0.551  -0.918 -0.746  -0.918 -0.942  -1.000 -1.056  -1.022 -0.883  -1.022 -0.687  -0.919 -0.534  -0.877 -0.348  -0.813 -0.168  -0.796 0.024  -0.708 0.199  -0.621 0.374  -0.492 0.519  -0.353 0.658  -0.215 0.796  -0.031 0.825  0.049 0.694  0.166 0.539  0.232 0.359  0.232 0.163  0.232 -0.033  0.226 -0.226  0.127 -0.381  0.127 -0.577  0.127 -0.504  0.144 -0.325  0.308 -0.248  0.336 -0.064  0.437 0.090  0.576 0.228  0.714 0.367  0.853 0.505  1.003 0.616  1.160 0.523  1.277 0.437  1.320 0.259  1.385 0.090  1.486 -0.064  1.486 -0.260  1.486 -0.456  1.486 -0.651  1.486 -0.847
3#app#app33#app3324/u  -0.731 1.389  -0.731 1.277  -0.731 1.165  -0.731 1.053  -0.731 0.942  -0.731 0.830  -0.731 0.718  -0.731 0.606  -0.731 0.494  -0.731 0.382  -0.731 0.271  -0.731 0.159  -0.731 0.047  -0.731 -0.065  -0.731 -0.177  -0.731 -0.288  -0.729 -0.399  -0.650 -0.478  -0.594 -0.567  -0.589 -0.677  -0.510 -0.756  -0.457 -0.846  -0.446 -0.947  -0.334 -0.947  -0.222 -0.947  -0.110 -0.947  0.002 -0.947  0.113 -0.947  0.225 -0.947  0.306 -0.871  0.385 -0.792  0.464 -0.713  0.505 -0.618  0.525 -0.515  0.604 -0.436  0.683 -0.357  0.762 -0.277  0.780 -0.173  0.780 -0.061  0.780 0.051  0.784 0.161  0.834 0.261  0.884 0.361  0.917 0.465  0.921 0.577  0.957 0.683  0.992 0.789  1.027 0.895  1.055 1.002  1.055 1.114
3#app#app33#app3324/n  -0.477 0.889  -0.477 0.737  -0.494 0.589  -0.562 0.452  -0.642 0.325  -0.744 0.215  -0.762 0.070  -0.870 -0.037  -0.877 -0.186  -0.877 -0.339  -0.910 -0.477  -1.011 -0.588  -1.011 -0.740  -1.011 -0.892  -0.944 -0.978  -0.877 -0.893  -0.877 -0.741  -0.791 -0.624  -0.744 -0.491  -0.744 -0.339  -0.656 -0.223  -0.549 -0.116  -0.441 -0.008  -0.337 0.102  -0.269 0.238  -0.196 0.370  -0.088 0.478  0.019 0.585  0.127 0.693  0.234 0.801  0.350 0.889  0.502 0.889  0.654 0.889  0.806 0.889  0.959 0.889  0.989 0.767  0.992 0.616  1.060 0.480  1.123 0.342  1.123 0.190  1.123 0.038  1.092 -0.107  1.023 -0.243  0.989 -0.387  0.989 -0.539  0.909 -0.658  0.856 -0.788  0.856 -0.940  0.741 -0.978  0.723 -1.111
3#app#app33#app3324/c  0.755 1.124  0.755 1.222  0.675 1.239  0.577 1.239  0.479 1.239  0.384 1.228  0.296 1.184  0.209 1.140  0.114 1.124  0.029 1.093  -0.040 1.024  -0.109 0.954  -0.179 0.885  -0.248 0.816  -0.317 0.747  -0.386 0.677  -0.456 0.608  -0.519 0.537  -0.519 0.439  -0.559 0.350  -0.602 0.262  -0.635 0.172  -0.635 0.074  -0.635 -0.024  -0.635 -0.122  -0.635 -0.220  -0.635 -0.318  -0.635 -0.416  -0.635 -0.514  -0.635 -0.612  -0.567 -0.682  -0.489 -0.730  -0.393 -0.735  -0.305 -0.779  -0.218 -0.823  -0.139 -0.879  -0.069 -0.948  0.023 -0.961  0.121 -0.961  0.219 -0.961  0.317 -0.961  0.415 -0.961  0.513 -0.961  0.585 -0.900  0.661 -0.846  0.759 -0.846  0.857 -0.846  0.954 -0.846  1.033 -0.799  1.102 -0.730
3#app#app33#app3324/u  -0.724 0.970  -0.724 0.868  -0.779 0.789  -0.851 0.717  -0.923 0.645  -0.974 0.565  -0.974 0.463  -0.974 0.361  -0.974 0.259  -0.974 0.158  -0.974 0.056  -0.974 -0.046  -0.974 -0.148  -0.974 -0.249  -0.924 -0.330  -0.852 -0.402  -0.849 -0.503  -0.796 -0.583  -0.724 -0.655  -0.623 -0.655  -0.521 -0.655  -0.419 -0.655  -0.317 -0.655  -0.216 -0.655  -0.114 -0.655  -0.012 -0.655  0.090 -0.655  0.191 -0.655  0.288 -0.643  0.360 -0.571  0.445 -0.530  0.541 -0.515  0.613 -0.443  0.684 -0.371  0.756 -0.299  0.776 -0.206  0.812 -0.119  0.884 -0.047  0.901 0.048  0.901 0.149  0.923 0.242  0.995 0.314  1.044 0.400  1.076 0.496  1.109 0.593  1.141 0.690  1.151 0.790  1.151 0.891  1.151 0.993  1.151 1.095
3#app#app33#app3324/l  0.311 1.604  0.311 1.531  0.311 1.458  0.311 1.384  0.311 1.311  0.243 1.306  0.170 1.306  0.162 1.241  0.162 1.168  0.162 1.095  0.162 1.022  0.135 0.955  0.103 0.890  0.070 0.824  0.037 0.759  0.013 0.692  0.013 0.618  0.013 0.545  0.013 0.472  0.013 0.399  0.013 0.326  0.013 0.253  0.013 0.180  0.013 0.107  0.013 0.034  0.013 -0.039  0.013 -0.112  0.011 -0.184  -0.041 -0.236  -0.092 -0.288  -0.135 -0.343  -0.135 -0.416  -0.135 -0.489  -0.135 -0.562  -0.135 -0.635  -0.135 -0.708  -0.135 -0.781  -0.135 -0.854  -0.135 -0.927  -0.135 -1.001  -0.135 -1.074  -0.135 -1.147  -0.135 -1.220  -0.135 -1.293  -0.135 -1.366  -0.135 -1.439  -0.135 -1.512  -0.181 -1.566  -0.233 -1.618  -0.284 -1.670
3#app#app33#app3324/u  -0.251 1.166  -0.251 1.049  -0.311 0.957  -0.394 0.874  -0.400 0.760  -0.454 0.665  -0.537 0.583  -0.593 0.481  -0.646 0.377  -0.698 0.272  -0.750 0.167  -0.803 0.063  -0.847 -0.044  -0.847 -0.161  -0.920 -0.247  -0.995 -0.333  -0.995 -0.450  -0.995 -0.567  -0.950 -0.666  -0.868 -0.748  -0.785 -0.831  -0.702 -0.914  -0.587 -0.918  -0.470 -0.918  -0.353 -0.918  -0.238 -0.912  -0.133 -0.859  -0.028 -0.807  0.070 -0.746  0.153 -0.663  0.252 -0.620  0.362 -0.603  0.445 -0.520  0.493 -0.424  0.505 -0.311  0.587 -0.229  0.670 -0.146  0.753 -0.063  0.819 0.031  0.872 0.136  0.924 0.240  0.940 0.354  0.975 0.456  1.057 0.539  1.089 0.643  1.089 0.760  1.095 0.874  1.178 0.957  1.238 1.049  1.238 1.166
3#app#app33#app3324/s  0.508 1.131  0.377 1.131  0.247 1.131  0.116 1.131  -0.015 1.131  -0.139 1.114  -0.232 1.022  -0.324 0.929  -0.451 0.920  -0.582 0.920  -0.713 0.920  -0.844 0.920  -0.964 0.909  -0.964 0.779  -0.964 0.648  -0.964 0.517  -0.964 0.386  -0.930 0.289  -0.799 0.289  -0.668 0.289  -0.543 0.283  -0.543 0.153  -0.486 0.079  -0.355 0.079  -0.224 0.079  -0.102 0.058  -0.009 -0.034  0.083 -0.127  0.212 -0.131  0.330 -0.163  0.422 -0.255  0.517 -0.341  0.648 -0.341  0.718 -0.402  0.718 -0.533  0.798 -0.631  0.890 -0.723  0.929 -0.838  0.929 -0.969  0.929 -1.100  0.881 -1.183  0.750 -1.183  0.619 -1.183  0.488 -1.183  0.357 -1.183  0.247 -1.132  0.155 -1.039  0.062 -0.947  -0.030 -0.854  -0.123 -0.762
3#app#app33#app3324/.  0.508 1.131  0.377 1.131  0.247 1.131  0.116 1.131  -0.015 1.131  -0.139 1.114  -0.232 1.022  -0.324 0.929  -0.451 0.920  -0.582 0.920  -0.713 0.920  -0.844 0.920  -0.964 0.909  -0.964 0.779  -0.964 0.648  -0.964 0.517  -0.964 0.386  -0.930 0.289  -0.799 0.289  -0.668 0.289  -0.543 0.283  -0.543 0.153  -0.486 0.079  -0.355 0.079  -0.224 0.079  -0.102 0.058  -0.009 -0.034  0.083 -0.127  0.212 -0.131  0.330 -0.163  0.422 -0.255  0.517 -0.341  0.648 -0.341  0.718 -0.402  0.718 -0.533  0.798 -0.631  0.890 -0.723  0.929 -0.838  0.929 -0.969  0.929 -1.100  0.881 -1.183  0.750 -1.183  0.619 -1.183  0.488 -1.183  0.357 -1.183  0.247 -1.132  0.155 -1.039  0.062 -0.947  -0.030 -0.854  -0.123 -0.762
3#app#app33#app3324/\"  0.380 1.269  0.380 1.452  0.286 1.407  0.157 1.278  0.028 1.149  -0.084 1.013  -0.084 0.831  -0.195 0.694  -0.324 0.565  -0.453 0.436  -0.596 0.341  -0.779 0.341  -0.780 0.160  -0.873 0.016  -1.002 -0.113  -1.012 -0.292  -1.096 -0.439  -1.225 -0.568  -1.244 -0.743  -1.138 -0.819  -1.012 -0.876  -1.005 -1.051  -0.822 -1.051  -0.669 -0.965  -0.525 -0.853  -0.381 -0.741  -0.237 -0.629  -0.093 -0.517  0.051 -0.405  0.195 -0.293  0.339 -0.181  0.483 -0.069  0.627 0.043  0.771 0.155  0.915 0.267  1.059 0.379  1.204 0.491  1.259 0.573  1.077 0.573  1.077 0.391  0.983 0.247  0.854 0.118  0.693 0.033  0.530 -0.048  0.380 -0.139  0.380 -0.321  0.380 -0.504  0.380 -0.686  0.380 -0.869  0.380 -1.051
