2#apb#apb13#app1357/a  -0.191 0.072  -0.079 0.193  -0.030 0.364  0.051 0.530  -0.025 0.684  -0.172 0.790  -0.357 0.796  -0.526 0.723  -0.688 0.631  -0.863 0.577  -0.948 0.415  -1.051 0.264  -1.124 0.094  -1.227 -0.061  -1.306 -0.228  -1.374 -0.401  -1.425 -0.576  -1.352 -0.741  -1.190 -0.768  -1.011 -0.720  -0.836 -0.657  -0.664 -0.586  -0.498 -0.503  -0.340 -0.406  -0.185 -0.303  -0.042 -0.184  0.101 -0.065  0.238 0.061  0.374 0.187  0.511 0.313  0.649 0.438  0.777 0.572  0.868 0.732  0.898 0.910  0.778 0.880  0.651 0.744  0.540 0.595  0.457 0.429  0.398 0.254  0.382 0.071  0.403 -0.113  0.440 -0.293  0.559 -0.436  0.690 -0.567  0.847 -0.658  1.023 -0.716  1.202 -0.770  1.375 -0.837  1.555 -0.867  1.741 -0.867
2#apb#apb13#app1357/l  -0.034 0.602  -0.022 0.461  0.033 0.287  0.088 0.114  0.143 -0.060  0.198 -0.233  0.253 -0.406  0.308 -0.580  0.363 -0.753  0.287 -0.687  0.105 -0.687  -0.071 -0.651  -0.209 -0.535  -0.305 -0.383  -0.434 -0.254  -0.478 -0.086  -0.496 0.095  -0.497 0.277  -0.493 0.459  -0.457 0.637  -0.412 0.813  -0.342 0.981  -0.272 1.149  -0.201 1.316  -0.099 1.463  0.029 1.591  0.189 1.584  0.349 1.504  0.462 1.362  0.515 1.188  0.569 1.014  0.594 0.836  0.594 0.654  0.594 0.472  0.566 0.294  0.522 0.117  0.478 -0.059  0.416 -0.229  0.343 -0.396  0.270 -0.563  0.189 -0.725  0.099 -0.883  0.009 -1.041  -0.102 -1.184  -0.230 -1.312  -0.364 -1.435  -0.515 -1.536  -0.687 -1.594  -0.849 -1.554  -0.993 -1.447
2#apb#apb13#app1357/m  -1.020 -0.853  -1.132 -0.692  -1.327 -0.667  -1.379 -0.566  -1.417 -0.380  -1.347 -0.202  -1.274 -0.018  -1.140 0.122  -1.012 0.270  -0.899 0.432  -0.760 0.571  -0.638 0.726  -0.509 0.875  -0.438 0.758  -0.438 0.561  -0.473 0.367  -0.513 0.174  -0.554 -0.020  -0.603 -0.211  -0.676 -0.394  -0.742 -0.515  -0.663 -0.442  -0.506 -0.323  -0.346 -0.207  -0.196 -0.078  -0.071 0.074  0.052 0.228  0.187 0.372  0.322 0.513  0.457 0.511  0.583 0.368  0.620 0.177  0.552 0.000  0.447 -0.166  0.382 -0.350  0.355 -0.469  0.462 -0.343  0.603 -0.206  0.730 -0.055  0.880 0.074  1.013 0.219  1.139 0.372  1.282 0.397  1.415 0.363  1.545 0.223  1.573 0.041  1.497 -0.141  1.423 -0.324  1.327 -0.497  1.228 -0.667
2#apb#apb13#app1357/n  -1.330 -0.613  -1.442 -0.559  -1.504 -0.449  -1.428 -0.352  -1.361 -0.242  -1.315 -0.120  -1.276 0.006  -1.201 0.119  -1.097 0.202  -0.986 0.280  -0.884 0.368  -0.777 0.450  -0.656 0.510  -0.534 0.569  -0.410 0.622  -0.284 0.673  -0.156 0.715  -0.106 0.644  -0.051 0.543  -0.077 0.412  -0.096 0.279  -0.145 0.154  -0.198 0.030  -0.220 -0.103  -0.276 -0.226  -0.281 -0.360  -0.308 -0.491  -0.271 -0.571  -0.154 -0.506  -0.044 -0.427  0.068 -0.352  0.179 -0.274  0.281 -0.186  0.382 -0.096  0.478 -0.000  0.574 0.095  0.671 0.189  0.777 0.273  0.859 0.377  0.994 0.372  1.115 0.322  1.211 0.227  1.298 0.123  1.374 0.012  1.434 -0.109  1.439 -0.243  1.448 -0.377  1.463 -0.510  1.439 -0.641  1.380 -0.759
2#apb#apb13#app1357/o  0.455 0.500  0.321 0.433  0.181 0.393  0.038 0.363  -0.095 0.296  -0.229 0.229  -0.371 0.182  -0.515 0.141  -0.658 0.100  -0.799 0.051  -0.923 -0.029  -1.062 -0.082  -1.202 -0.124  -1.308 -0.229  -1.398 -0.342  -1.418 -0.488  -1.347 -0.569  -1.197 -0.569  -1.048 -0.569  -0.913 -0.612  -0.789 -0.695  -0.659 -0.768  -0.542 -0.862  -0.409 -0.853  -0.269 -0.800  -0.125 -0.763  0.022 -0.734  0.166 -0.697  0.302 -0.635  0.439 -0.573  0.571 -0.505  0.698 -0.426  0.822 -0.343  0.920 -0.230  1.019 -0.118  1.102 0.005  1.175 0.136  1.241 0.269  1.262 0.417  1.236 0.553  1.149 0.675  1.040 0.766  0.897 0.809  0.754 0.852  0.607 0.883  0.461 0.912  0.314 0.941  0.169 0.951  0.027 0.903  -0.115 0.856
2#apb#apb13#app1357/p  -0.020 0.895  -0.020 1.087  -0.072 0.957  -0.159 0.788  -0.260 0.624  -0.360 0.461  -0.465 0.301  -0.571 0.142  -0.659 -0.028  -0.740 -0.201  -0.821 -0.375  -0.900 -0.549  -0.978 -0.724  -1.017 -0.909  -1.038 -1.100  -1.075 -1.287  -1.037 -1.249  -0.922 -1.096  -0.799 -0.949  -0.694 -0.790  -0.601 -0.622  -0.497 -0.462  -0.387 -0.305  -0.281 -0.146  -0.182 0.019  -0.084 0.183  0.011 0.349  0.106 0.516  0.201 0.682  0.286 0.853  0.437 0.952  0.592 1.041  0.771 0.972  0.919 0.852  1.080 0.751  1.255 0.675  1.390 0.539  1.463 0.374  1.421 0.190  1.285 0.055  1.137 -0.065  0.983 -0.180  0.810 -0.259  0.633 -0.333  0.451 -0.383  0.260 -0.396  0.069 -0.409  -0.120 -0.437  -0.307 -0.481  -0.493 -0.524
2#apb#apb13#app1357/q  -0.792 0.058  -0.932 0.129  -0.879 0.155  -0.685 0.239  -0.487 0.313  -0.299 0.409  -0.117 0.516  0.061 0.630  0.233 0.753  0.398 0.885  0.487 1.049  0.340 1.155  0.142 1.081  -0.047 0.986  -0.199 0.844  -0.346 0.692  -0.416 0.498  -0.330 0.339  -0.123 0.367  0.073 0.444  0.256 0.546  0.392 0.708  0.537 0.861  0.699 0.997  0.801 1.137  0.826 0.931  0.813 0.720  0.790 0.510  0.745 0.303  0.700 0.097  0.645 -0.107  0.585 -0.310  0.524 -0.513  0.451 -0.711  0.368 -0.906  0.282 -1.099  0.144 -1.259  0.007 -1.420  -0.123 -1.587  -0.292 -1.698  -0.492 -1.635  -0.666 -1.514  -0.757 -1.329  -0.778 -1.125  -0.750 -0.915  -0.657 -0.727  -0.549 -0.547  -0.372 -0.431  -0.195 -0.316  -0.017 -0.200
2#apb#apb13#app1357/r  -0.148 0.657  -0.165 0.450  -0.192 0.244  -0.229 0.040  -0.266 -0.165  -0.312 -0.368  -0.342 -0.572  -0.409 -0.760  -0.550 -0.818  -0.672 -0.658  -0.727 -0.458  -0.768 -0.255  -0.768 -0.047  -0.760 0.160  -0.722 0.365  -0.676 0.566  -0.575 0.748  -0.467 0.924  -0.332 1.082  -0.206 1.247  -0.084 1.413  0.079 1.543  0.285 1.547  0.453 1.468  0.590 1.312  0.737 1.165  0.770 0.962  0.810 0.758  0.855 0.555  0.858 0.347  0.880 0.141  0.877 -0.063  0.800 -0.253  0.668 -0.409  0.493 -0.505  0.285 -0.505  0.078 -0.505  -0.087 -0.423  -0.206 -0.253  -0.357 -0.117  -0.419 -0.263  -0.346 -0.457  -0.268 -0.650  -0.169 -0.832  -0.067 -1.013  0.063 -1.175  0.193 -1.338  0.343 -1.480  0.504 -1.612  0.665 -1.743
2#apb#apb13#app1357/s  -1.212 -0.867  -1.140 -0.762  -0.981 -0.757  -0.823 -0.775  -0.667 -0.761  -0.514 -0.715  -0.363 -0.663  -0.213 -0.608  -0.090 -0.511  0.023 -0.398  0.132 -0.281  0.237 -0.161  0.326 -0.029  0.408 0.108  0.465 0.257  0.511 0.409  0.540 0.565  0.540 0.725  0.527 0.884  0.510 1.043  0.487 1.201  0.454 1.357  0.388 1.493  0.245 1.543  0.088 1.526  -0.058 1.462  -0.176 1.360  -0.262 1.226  -0.269 1.071  -0.247 0.913  -0.205 0.759  -0.155 0.608  -0.080 0.467  -0.004 0.327  0.066 0.183  0.133 0.038  0.203 -0.105  0.283 -0.243  0.364 -0.381  0.426 -0.528  0.485 -0.677  0.476 -0.835  0.399 -0.967  0.260 -1.046  0.118 -1.119  -0.025 -1.191  -0.171 -1.256  -0.320 -1.305  -0.480 -1.304  -0.637 -1.278
2#apb#apb13#app1357/t  -0.818 0.691  -0.841 0.774  -0.808 0.741  -0.715 0.694  -0.612 0.675  -0.508 0.664  -0.403 0.665  -0.300 0.679  -0.197 0.699  -0.101 0.740  -0.006 0.785  0.081 0.843  0.168 0.902  0.253 0.963  0.337 1.025  0.412 1.099  0.486 1.173  0.512 1.098  0.525 0.995  0.525 0.890  0.525 0.785  0.524 0.680  0.516 0.576  0.508 0.471  0.500 0.367  0.477 0.265  0.447 0.164  0.418 0.064  0.388 -0.037  0.360 -0.137  0.345 -0.241  0.330 -0.345  0.315 -0.449  0.293 -0.551  0.257 -0.649  0.221 -0.748  0.179 -0.843  0.123 -0.931  0.067 -1.020  0.010 -1.108  -0.067 -1.179  -0.146 -1.247  -0.231 -1.308  -0.320 -1.362  -0.424 -1.379  -0.527 -1.391  -0.631 -1.376  -0.730 -1.350  -0.815 -1.289  -0.901 -1.228
2#apb#apb13#app1357/u  -0.666 0.696  -0.869 0.723  -1.046 0.736  -1.014 0.550  -0.825 0.534  -0.646 0.628  -0.481 0.749  -0.330 0.886  -0.167 1.009  -0.007 1.136  0.148 1.270  0.170 1.229  0.067 1.053  -0.017 0.867  -0.096 0.679  -0.194 0.499  -0.223 0.298  -0.078 0.241  0.093 0.347  0.240 0.490  0.377 0.641  0.522 0.786  0.671 0.890  0.737 0.698  0.765 0.497  0.755 0.293  0.729 0.092  0.662 -0.102  0.595 -0.295  0.528 -0.488  0.452 -0.678  0.376 -0.868  0.300 -1.058  0.211 -1.242  0.120 -1.425  0.024 -1.606  -0.083 -1.780  -0.215 -1.824  -0.304 -1.645  -0.335 -1.444  -0.346 -1.240  -0.350 -1.036  -0.350 -0.831  -0.311 -0.632  -0.252 -0.436  -0.158 -0.259  -0.029 -0.100  0.115 0.042  0.283 0.158  0.452 0.274
2#apb#apb13#app1357/v  -1.075 -1.019  -1.195 -0.923  -1.201 -0.802  -1.154 -0.656  -1.121 -0.505  -1.080 -0.356  -1.036 -0.209  -0.983 -0.065  -0.914 0.073  -0.845 0.211  -0.770 0.346  -0.689 0.476  -0.610 0.609  -0.535 0.744  -0.453 0.872  -0.332 0.968  -0.193 1.019  -0.112 0.903  -0.070 0.754  -0.101 0.603  -0.131 0.452  -0.152 0.299  -0.171 0.146  -0.190 -0.006  -0.217 -0.158  -0.261 -0.306  -0.304 -0.453  -0.287 -0.607  -0.271 -0.760  -0.251 -0.906  -0.131 -0.904  -0.006 -0.813  0.117 -0.720  0.235 -0.622  0.351 -0.519  0.466 -0.417  0.560 -0.295  0.655 -0.173  0.753 -0.054  0.853 0.063  0.927 0.195  0.978 0.340  1.044 0.479  1.036 0.621  1.132 0.508  1.261 0.426  1.399 0.357  1.542 0.301  1.691 0.261  1.840 0.220
2#apb#apb13#app1357/w  -0.699 0.654  -0.601 0.798  -0.561 0.605  -0.609 0.400  -0.686 0.206  -0.836 0.057  -1.020 -0.044  -1.186 0.006  -1.195 0.207  -1.128 0.408  -1.070 0.611  -0.919 0.746  -0.732 0.687  -0.583 0.538  -0.547 0.332  -0.566 0.122  -0.598 -0.087  -0.646 -0.292  -0.688 -0.499  -0.726 -0.707  -0.776 -0.912  -0.692 -1.074  -0.494 -1.045  -0.309 -0.948  -0.169 -0.790  -0.035 -0.627  0.089 -0.456  0.182 -0.270  0.233 -0.066  0.312 0.129  0.406 0.318  0.436 0.527  0.401 0.516  0.329 0.317  0.283 0.117  0.283 -0.094  0.287 -0.304  0.405 -0.480  0.463 -0.683  0.647 -0.738  0.797 -0.597  0.937 -0.438  1.067 -0.271  1.192 -0.102  1.313 0.072  1.430 0.247  1.531 0.432  1.617 0.624  1.672 0.828  1.755 1.022
2#apb#apb13#app1357/x  -1.634 -1.090  -1.544 -0.964  -1.454 -0.838  -1.335 -0.739  -1.216 -0.641  -1.096 -0.543  -0.966 -0.461  -0.830 -0.387  -0.694 -0.314  -0.557 -0.242  -0.417 -0.177  -0.276 -0.112  -0.136 -0.048  0.015 -0.019  0.169 -0.002  0.323 0.005  0.478 0.005  0.632 0.005  0.770 0.017  0.726 0.166  0.683 0.314  0.640 0.463  0.596 0.611  0.553 0.760  0.509 0.908  0.466 1.056  0.422 1.205  0.379 1.353  0.335 1.499  0.226 1.389  0.177 1.243  0.128 1.096  0.094 0.945  0.063 0.794  0.044 0.641  0.044 0.486  0.044 0.332  0.044 0.177  0.044 0.022  0.044 -0.132  0.044 -0.287  0.044 -0.442  0.107 -0.580  0.184 -0.714  0.260 -0.848  0.338 -0.982  0.456 -1.082  0.574 -1.182  0.692 -1.282  0.810 -1.382
2#apb#apb13#app1357/y  -0.619 0.511  -0.722 0.561  -0.641 0.573  -0.511 0.542  -0.383 0.562  -0.258 0.609  -0.137 0.669  -0.033 0.750  0.057 0.850  0.150 0.947  0.250 1.037  0.345 1.131  0.420 1.243  0.505 1.346  0.543 1.461  0.559 1.366  0.559 1.232  0.549 1.098  0.535 0.964  0.519 0.831  0.502 0.697  0.487 0.564  0.473 0.430  0.459 0.296  0.438 0.164  0.415 0.031  0.391 -0.101  0.368 -0.234  0.344 -0.366  0.300 -0.490  0.230 -0.605  0.160 -0.720  0.089 -0.834  0.017 -0.947  -0.056 -1.060  -0.140 -1.165  -0.230 -1.265  -0.333 -1.348  -0.450 -1.413  -0.582 -1.428  -0.685 -1.350  -0.714 -1.219  -0.687 -1.092  -0.639 -0.967  -0.562 -0.861  -0.463 -0.769  -0.365 -0.678  -0.261 -0.592  -0.151 -0.516  -0.040 -0.439
