2#tos#f1#f1013066/!  0.406 1.323  0.406 1.398  0.406 1.473  0.348 1.489  0.307 1.456  0.307 1.381  0.307 1.306  0.307 1.232  0.277 1.164  0.274 1.090  0.260 1.018  0.233 0.949  0.188 0.889  0.143 0.829  0.119 0.759  0.093 0.689  0.065 0.620  0.041 0.549  0.041 0.475  0.033 0.401  0.009 0.331  0.008 0.256  0.008 0.181  0.008 0.107  -0.002 0.034  -0.025 -0.037  -0.049 -0.108  -0.058 -0.181  -0.058 -0.256  -0.058 -0.331  -0.058 -0.405  -0.058 -0.480  -0.058 -0.555  -0.058 -0.629  -0.075 -0.700  -0.108 -0.767  -0.158 -0.805  -0.158 -0.879  -0.158 -0.954  -0.158 -1.029  -0.225 -1.037  -0.245 -1.109  -0.265 -1.181  -0.284 -1.253  -0.304 -1.325  -0.324 -1.397  -0.332 -1.464  -0.407 -1.464  -0.456 -1.489  -0.456 -1.563
2#tos#f1#f1013066/  0.757 1.432  0.720 1.396  0.720 1.324  0.649 1.322  0.647 1.252  0.585 1.217  0.574 1.152  0.574 1.079  0.574 1.006  0.521 0.966  0.456 0.933  0.409 0.883  0.381 0.816  0.358 0.747  0.335 0.679  0.310 0.610  0.277 0.545  0.245 0.480  0.205 0.420  0.165 0.359  0.133 0.294  0.100 0.229  0.068 0.164  0.040 0.097  0.013 0.029  -0.014 -0.038  -0.041 -0.106  -0.068 -0.173  -0.103 -0.235  -0.155 -0.287  -0.206 -0.338  -0.257 -0.389  -0.270 -0.457  -0.270 -0.530  -0.315 -0.578  -0.375 -0.619  -0.401 -0.685  -0.424 -0.754  -0.447 -0.823  -0.453 -0.895  -0.477 -0.962  -0.514 -1.024  -0.554 -1.085  -0.581 -1.152  -0.609 -1.218  -0.637 -1.279  -0.637 -1.352  -0.637 -1.424  -0.659 -1.488  -0.710 -1.539
2#tos#f1#f1013066/:  -0.156 1.690  -0.106 1.640  -0.071 1.582  -0.066 1.511  -0.061 1.440  -0.056 1.369  -0.051 1.298  -0.046 1.227  -0.041 1.156  -0.036 1.085  -0.031 1.013  -0.027 0.942  -0.022 0.871  -0.017 0.800  -0.012 0.729  -0.007 0.658  -0.002 0.587  0.003 0.515  0.008 0.444  0.013 0.373  0.018 0.302  0.022 0.231  0.027 0.160  0.032 0.089  0.037 0.017  0.042 -0.054  0.047 -0.125  0.052 -0.196  0.057 -0.267  0.062 -0.338  0.067 -0.409  0.072 -0.481  0.076 -0.552  0.081 -0.623  0.086 -0.694  0.091 -0.765  0.095 -0.836  0.094 -0.907  0.043 -0.958  -0.007 -1.008  -0.058 -1.058  -0.072 -1.124  -0.072 -1.195  -0.072 -1.266  -0.072 -1.337  -0.072 -1.409  -0.021 -1.459  0.011 -1.517  0.024 -1.576  0.095 -1.576
2#tos#f1#f1013066/<  0.598 1.508  0.501 1.508  0.475 1.437  0.475 1.339  0.414 1.304  0.374 1.223  0.305 1.154  0.237 1.086  0.152 1.040  0.074 0.984  0.005 0.915  -0.072 0.857  -0.153 0.803  -0.200 0.731  -0.208 0.636  -0.262 0.555  -0.316 0.475  -0.383 0.405  -0.449 0.334  -0.493 0.247  -0.566 0.190  -0.629 0.132  -0.630 0.036  -0.727 0.036  -0.752 -0.037  -0.752 -0.134  -0.693 -0.207  -0.606 -0.232  -0.568 -0.313  -0.551 -0.393  -0.454 -0.393  -0.371 -0.418  -0.328 -0.505  -0.242 -0.543  -0.150 -0.573  -0.063 -0.615  0.016 -0.670  0.091 -0.731  0.172 -0.784  0.250 -0.843  0.318 -0.911  0.399 -0.961  0.491 -0.992  0.559 -1.051  0.606 -1.134  0.693 -1.177  0.767 -1.238  0.836 -1.306  0.905 -1.339  0.905 -1.436
2#tos#f1#f1013066/>  -0.205 1.294  -0.253 1.231  -0.363 1.231  -0.394 1.152  -0.331 1.105  -0.331 0.995  -0.245 0.938  -0.140 0.917  -0.042 0.867  -0.017 0.773  0.046 0.709  0.151 0.674  0.259 0.667  0.348 0.615  0.453 0.604  0.540 0.548  0.621 0.479  0.714 0.437  0.815 0.416  0.925 0.415  0.986 0.330  0.994 0.228  0.998 0.203  0.900 0.154  0.802 0.105  0.703 0.056  0.605 0.007  0.527 -0.062  0.471 -0.154  0.373 -0.203  0.292 -0.277  0.214 -0.355  0.137 -0.433  0.042 -0.483  -0.062 -0.518  -0.162 -0.565  -0.260 -0.614  -0.331 -0.680  -0.346 -0.775  -0.456 -0.775  -0.534 -0.852  -0.612 -0.930  -0.690 -1.008  -0.783 -1.064  -0.887 -1.088  -0.975 -1.124  -1.030 -1.213  -1.083 -1.270  -1.175 -1.305  -1.208 -1.401
2#tos#f1#f1013066/?  -0.149 0.346  -0.255 0.346  -0.361 0.346  -0.428 0.409  -0.477 0.466  -0.548 0.501  -0.548 0.608  -0.548 0.714  -0.548 0.820  -0.548 0.927  -0.539 1.024  -0.433 1.024  -0.336 1.064  -0.246 1.104  -0.140 1.104  -0.034 1.104  0.073 1.104  0.179 1.104  0.277 1.071  0.332 0.983  0.407 0.908  0.410 0.803  0.410 0.696  0.410 0.590  0.405 0.484  0.379 0.381  0.326 0.293  0.292 0.192  0.220 0.116  0.192 0.015  0.171 -0.089  0.114 -0.178  0.091 -0.278  0.091 -0.384  0.091 -0.490  0.051 -0.587  0.051 -0.693  0.051 -0.800  0.051 -0.906  0.091 -0.972  0.091 -1.079  0.131 -1.168  0.131 -1.275  0.131 -1.381  0.131 -1.487  0.102 -1.587  0.091 -1.690  0.064 -1.770  0.051 -1.863  0.051 -1.969
2#tos#f1#f1013066/@  0.361 -1.198  0.212 -1.288  0.142 -1.437  -0.018 -1.470  -0.186 -1.425  -0.312 -1.343  -0.366 -1.179  -0.479 -1.040  -0.537 -0.873  -0.593 -0.704  -0.621 -0.523  -0.671 -0.343  -0.684 -0.159  -0.684 0.028  -0.684 0.214  -0.684 0.400  -0.684 0.587  -0.637 0.765  -0.600 0.948  -0.474 1.057  -0.438 1.229  -0.303 1.336  -0.152 1.392  0.034 1.392  0.221 1.392  0.394 1.359  0.548 1.290  0.648 1.135  0.762 0.991  0.770 0.807  0.798 0.626  0.815 0.442  0.815 0.256  0.756 0.079  0.697 -0.098  0.588 -0.243  0.543 -0.411  0.468 -0.536  0.320 -0.648  0.192 -0.743  0.005 -0.743  -0.115 -0.630  -0.247 -0.499  -0.275 -0.324  -0.275 -0.138  -0.197 0.016  -0.062 0.075  0.125 0.075  0.311 0.075  0.452 0.029
2#tos#f1#f1013066/]  -0.644 1.155  -0.688 1.102  -0.626 1.067  -0.528 1.067  -0.439 1.104  -0.344 1.111  -0.246 1.111  -0.149 1.111  -0.095 1.155  0.002 1.155  0.100 1.155  0.187 1.196  0.282 1.197  0.282 1.100  0.282 1.002  0.282 0.905  0.282 0.807  0.282 0.710  0.282 0.612  0.282 0.515  0.282 0.418  0.282 0.320  0.270 0.224  0.246 0.130  0.238 0.033  0.238 -0.064  0.238 -0.162  0.238 -0.259  0.244 -0.355  0.282 -0.444  0.282 -0.541  0.282 -0.639  0.317 -0.714  0.370 -0.779  0.370 -0.877  0.370 -0.974  0.348 -1.050  0.250 -1.050  0.176 -1.086  0.110 -1.138  0.013 -1.138  -0.085 -1.138  -0.182 -1.138  -0.280 -1.138  -0.377 -1.138  -0.475 -1.138  -0.572 -1.138  -0.670 -1.138  -0.767 -1.138  -0.821 -1.094
2#tos#f1#f1013066/^  -0.786 -0.820  -0.915 -0.820  -0.991 -0.874  -0.991 -1.004  -0.991 -0.918  -0.920 -0.817  -0.854 -0.715  -0.854 -0.586  -0.854 -0.456  -0.795 -0.351  -0.703 -0.259  -0.612 -0.168  -0.554 -0.055  -0.513 0.067  -0.512 0.197  -0.458 0.314  -0.390 0.424  -0.318 0.531  -0.307 0.658  -0.307 0.787  -0.307 0.917  -0.244 1.020  -0.170 1.119  -0.170 1.249  -0.096 1.291  -0.024 1.184  0.055 1.084  0.171 1.027  0.229 0.911  0.240 0.784  0.240 0.654  0.262 0.542  0.388 0.511  0.513 0.479  0.514 0.350  0.593 0.251  0.650 0.135  0.650 0.006  0.650 -0.124  0.699 -0.205  0.719 -0.315  0.719 -0.444  0.786 -0.546  0.856 -0.647  0.873 -0.769  0.924 -0.877  0.924 -1.007  0.992 -1.108  0.992 -1.238  0.992 -1.367
2#tos#f1#f1013066/|  0.230 1.537  0.160 1.537  0.089 1.537  0.036 1.519  0.036 1.448  0.036 1.377  0.036 1.307  0.036 1.236  0.036 1.165  0.036 1.094  0.036 1.024  0.036 0.953  0.036 0.882  0.036 0.811  0.036 0.740  0.036 0.670  0.036 0.599  0.036 0.528  0.036 0.457  0.036 0.387  0.036 0.316  0.036 0.245  0.036 0.174  0.036 0.103  0.031 0.033  0.009 -0.034  -0.014 -0.101  -0.029 -0.169  -0.029 -0.240  -0.029 -0.311  -0.029 -0.382  -0.029 -0.452  -0.029 -0.523  -0.029 -0.594  -0.029 -0.665  -0.029 -0.735  -0.029 -0.806  -0.029 -0.877  -0.029 -0.948  -0.029 -1.019  -0.055 -1.078  -0.093 -1.133  -0.093 -1.204  -0.093 -1.275  -0.093 -1.346  -0.093 -1.416  -0.093 -1.487  -0.093 -1.558  -0.093 -1.629  -0.093 -1.699
2#tos#f1#f1013066/~  -1.452 -0.473  -1.452 -0.494  -1.444 -0.398  -1.400 -0.310  -1.377 -0.220  -1.332 -0.140  -1.280 -0.063  -1.211 0.007  -1.136 0.064  -1.062 0.110  -1.008 0.192  -0.937 0.243  -0.872 0.306  -0.818 0.388  -0.738 0.422  -0.639 0.422  -0.541 0.422  -0.443 0.422  -0.344 0.422  -0.317 0.351  -0.267 0.303  -0.169 0.303  -0.130 0.243  -0.032 0.243  -0.018 0.158  -0.015 0.061  0.054 -0.008  0.133 -0.055  0.161 -0.126  0.196 -0.210  0.266 -0.279  0.353 -0.307  0.422 -0.376  0.505 -0.414  0.603 -0.414  0.702 -0.414  0.800 -0.414  0.890 -0.378  0.969 -0.322  1.053 -0.275  1.147 -0.244  1.176 -0.167  1.176 -0.069  1.252 -0.017  1.331 0.039  1.400 0.109  1.423 0.199  1.467 0.287  1.475 0.384  1.475 0.482
2#tos#f1#f1013066/0  -0.044 0.423  -0.167 0.442  -0.167 0.584  -0.284 0.609  -0.302 0.733  -0.435 0.692  -0.477 0.576  -0.513 0.449  -0.606 0.344  -0.651 0.209  -0.662 0.069  -0.702 -0.066  -0.724 -0.205  -0.724 -0.347  -0.724 -0.489  -0.724 -0.631  -0.724 -0.773  -0.679 -0.904  -0.637 -1.039  -0.603 -1.177  -0.468 -1.185  -0.326 -1.185  -0.184 -1.185  -0.042 -1.185  0.100 -1.185  0.242 -1.185  0.319 -1.079  0.437 -1.007  0.525 -0.901  0.570 -0.767  0.665 -0.663  0.721 -0.538  0.756 -0.400  0.761 -0.258  0.761 -0.116  0.761 0.026  0.761 0.168  0.728 0.302  0.665 0.429  0.618 0.562  0.583 0.700  0.515 0.822  0.436 0.941  0.358 1.059  0.265 1.166  0.165 1.266  0.093 1.387  0.018 1.500  -0.087 1.537  -0.167 1.475
2#tos#f1#f1013066/1  0.590 1.574  0.590 1.502  0.590 1.430  0.569 1.367  0.518 1.316  0.467 1.266  0.466 1.194  0.462 1.122  0.444 1.053  0.427 0.983  0.409 0.913  0.381 0.847  0.349 0.783  0.317 0.718  0.285 0.654  0.252 0.590  0.220 0.525  0.164 0.481  0.106 0.438  0.049 0.395  -0.009 0.352  -0.029 0.290  -0.029 0.218  -0.029 0.146  -0.029 0.074  -0.040 0.004  -0.072 -0.060  -0.105 -0.124  -0.137 -0.189  -0.161 -0.256  -0.179 -0.326  -0.196 -0.395  -0.214 -0.465  -0.240 -0.532  -0.267 -0.599  -0.294 -0.666  -0.320 -0.733  -0.338 -0.801  -0.338 -0.873  -0.347 -0.944  -0.361 -1.015  -0.375 -1.085  -0.389 -1.156  -0.407 -1.225  -0.440 -1.290  -0.462 -1.356  -0.462 -1.428  -0.462 -1.500  -0.462 -1.572  -0.462 -1.644
2#tos#f1#f1013066/2  0.309 1.885  0.371 1.761  0.457 1.697  0.531 1.594  0.559 1.450  0.559 1.301  0.559 1.152  0.559 1.003  0.559 0.854  0.559 0.705  0.540 0.558  0.503 0.414  0.411 0.301  0.306 0.195  0.224 0.071  0.144 -0.055  0.068 -0.183  -0.013 -0.307  -0.137 -0.389  -0.228 -0.501  -0.295 -0.634  -0.377 -0.758  -0.467 -0.877  -0.565 -0.988  -0.612 -1.129  -0.726 -1.199  -0.870 -1.235  -1.001 -1.219  -1.001 -1.070  -0.944 -0.934  -0.939 -0.786  -0.913 -0.648  -0.809 -0.542  -0.726 -0.418  -0.631 -0.304  -0.526 -0.199  -0.427 -0.088  -0.351 0.038  -0.228 0.118  -0.083 0.137  0.066 0.137  0.215 0.137  0.364 0.137  0.513 0.137  0.591 0.040  0.676 -0.050  0.802 -0.106  0.809 -0.252  0.809 -0.401  0.809 -0.550
2#tos#f1#f1013066/4  -0.247 1.470  -0.247 1.271  -0.255 1.076  -0.358 0.919  -0.446 0.741  -0.551 0.572  -0.711 0.499  -0.812 0.329  -0.893 0.149  -1.012 -0.010  -1.186 -0.040  -1.236 -0.203  -1.373 -0.297  -1.353 -0.297  -1.202 -0.376  -1.032 -0.459  -0.833 -0.463  -0.645 -0.496  -0.486 -0.615  -0.301 -0.684  -0.106 -0.700  0.078 -0.774  0.267 -0.812  0.372 -0.960  0.548 -1.015  0.623 -0.855  0.674 -0.663  0.725 -0.470  0.775 -0.278  0.826 -0.085  0.877 0.107  0.927 0.299  0.978 0.492  1.028 0.684  1.079 0.877  1.130 1.069  0.987 0.993  0.857 0.880  0.768 0.718  0.692 0.551  0.542 0.432  0.427 0.272  0.408 0.079  0.288 -0.080  0.175 -0.244  0.065 -0.409  -0.083 -0.538  -0.179 -0.701  -0.263 -0.881  -0.303 -1.071
2#tos#f1#f1013066/5  0.613 1.684  0.575 1.532  0.490 1.439  0.429 1.342  0.407 1.189  0.368 1.038  0.368 0.881  0.368 0.724  0.307 0.581  0.295 0.426  0.246 0.277  0.230 0.123  0.160 -0.018  0.123 -0.166  0.088 -0.318  0.062 -0.470  0.014 -0.616  -0.070 -0.749  -0.142 -0.887  -0.183 -1.038  -0.271 -1.159  -0.354 -1.290  -0.373 -1.438  -0.530 -1.438  -0.626 -1.377  -0.673 -1.266  -0.673 -1.109  -0.726 -0.964  -0.734 -0.809  -0.753 -0.656  -0.811 -0.510  -0.856 -0.361  -0.856 -0.204  -0.856 -0.047  -0.747 0.058  -0.624 0.156  -0.501 0.254  -0.379 0.352  -0.256 0.450  -0.163 0.399  -0.006 0.399  0.151 0.399  0.308 0.399  0.466 0.399  0.623 0.399  0.780 0.399  0.937 0.399  1.094 0.399  1.251 0.399  1.409 0.399
2#tos#f1#f1013066/7  0.064 1.267  -0.060 1.226  -0.127 1.133  -0.198 1.050  -0.291 0.957  -0.339 0.846  -0.388 0.741  -0.489 0.660  -0.562 0.551  -0.604 0.427  -0.692 0.331  -0.785 0.239  -0.757 0.170  -0.652 0.250  -0.548 0.329  -0.444 0.408  -0.339 0.488  -0.235 0.567  -0.131 0.647  -0.026 0.726  0.078 0.806  0.179 0.839  0.272 0.746  0.396 0.729  0.486 0.648  0.585 0.595  0.694 0.545  0.737 0.424  0.782 0.312  0.774 0.184  0.737 0.068  0.674 -0.042  0.614 -0.155  0.557 -0.263  0.519 -0.375  0.414 -0.454  0.317 -0.541  0.225 -0.634  0.157 -0.745  0.065 -0.838  0.007 -0.949  -0.019 -1.078  -0.032 -1.206  -0.114 -1.309  -0.196 -1.411  -0.213 -1.538  -0.255 -1.662  -0.294 -1.787  -0.294 -1.918  -0.249 -2.005
2#tos#f1#f1013066/8  0.615 0.913  0.688 0.863  0.643 0.986  0.505 1.058  0.410 1.131  0.245 1.138  0.126 1.256  -0.033 1.277  -0.201 1.277  -0.369 1.277  -0.537 1.277  -0.694 1.266  -0.694 1.098  -0.565 1.058  -0.481 0.923  -0.365 0.802  -0.277 0.662  -0.189 0.519  -0.091 0.383  -0.021 0.239  0.012 0.074  0.093 -0.032  0.179 -0.114  0.179 -0.282  0.179 -0.450  0.179 -0.618  0.179 -0.786  0.179 -0.954  0.139 -1.109  0.046 -1.249  -0.017 -1.392  -0.123 -1.519  -0.176 -1.678  -0.310 -1.642  -0.330 -1.487  -0.330 -1.319  -0.330 -1.151  -0.330 -0.983  -0.330 -0.815  -0.251 -0.680  -0.161 -0.544  -0.100 -0.396  0.033 -0.361  0.033 -0.193  0.113 -0.105  0.281 -0.105  0.413 -0.056  0.466 0.103  0.610 0.184  0.761 0.259
2#tos#f1#f1013066/9  0.538 0.307  0.694 0.307  0.727 0.185  0.878 0.181  0.916 0.298  0.979 0.428  0.979 0.583  0.941 0.723  0.831 0.832  0.722 0.942  0.591 1.005  0.450 1.063  0.294 1.063  0.139 1.063  -0.016 1.063  -0.172 1.063  -0.305 0.997  -0.429 0.904  -0.544 0.799  -0.669 0.711  -0.808 0.641  -0.926 0.543  -1.022 0.422  -1.099 0.290  -1.099 0.135  -1.099 -0.021  -1.099 -0.176  -1.093 -0.329  -1.003 -0.453  -0.910 -0.575  -0.758 -0.588  -0.614 -0.638  -0.459 -0.638  -0.303 -0.638  -0.148 -0.638  0.007 -0.638  0.162 -0.638  0.290 -0.571  0.421 -0.512  0.520 -0.421  0.638 -0.349  0.611 -0.429  0.559 -0.575  0.485 -0.709  0.392 -0.833  0.306 -0.962  0.226 -1.096  0.150 -1.231  0.092 -1.375  0.035 -1.519
