3#app#app13#app1350/h  -0.475 1.511  -0.632 1.511  -0.672 1.395  -0.672 1.238  -0.672 1.081  -0.672 0.925  -0.672 0.768  -0.672 0.611  -0.672 0.455  -0.672 0.298  -0.672 0.141  -0.672 -0.015  -0.672 -0.172  -0.672 -0.329  -0.672 -0.485  -0.672 -0.642  -0.672 -0.799  -0.672 -0.955  -0.672 -0.974  -0.642 -0.846  -0.486 -0.846  -0.475 -0.700  -0.400 -0.575  -0.289 -0.464  -0.279 -0.311  -0.206 -0.185  -0.096 -0.074  0.015 0.037  0.114 0.152  0.114 0.309  0.208 0.427  0.311 0.541  0.311 0.698  0.440 0.725  0.596 0.725  0.739 0.691  0.849 0.580  0.900 0.444  0.900 0.288  0.900 0.131  0.900 -0.026  0.900 -0.182  0.900 -0.339  0.900 -0.496  0.900 -0.652  0.900 -0.809  0.900 -0.966  0.900 -1.122  0.900 -1.279  0.900 -1.436
3#app#app13#app1350/v  -1.009 0.848  -1.009 0.736  -1.009 0.625  -0.981 0.526  -0.903 0.447  -0.824 0.368  -0.746 0.290  -0.714 0.192  -0.714 0.081  -0.714 -0.030  -0.714 -0.141  -0.714 -0.252  -0.714 -0.364  -0.714 -0.475  -0.714 -0.586  -0.714 -0.697  -0.714 -0.808  -0.714 -0.919  -0.604 -0.920  -0.493 -0.920  -0.382 -0.920  -0.271 -0.920  -0.159 -0.920  -0.048 -0.920  0.063 -0.920  0.172 -0.916  0.221 -0.817  0.271 -0.718  0.321 -0.618  0.370 -0.519  0.420 -0.419  0.464 -0.319  0.464 -0.208  0.464 -0.097  0.500 -0.000  0.579 0.078  0.657 0.157  0.736 0.235  0.759 0.337  0.759 0.448  0.759 0.559  0.759 0.670  0.759 0.781  0.790 0.879  0.869 0.958  0.948 1.036  1.026 1.115  1.053 1.214  1.053 1.326  1.053 1.437
3#app#app13#app1350/e  -0.941 -0.801  -0.766 -0.801  -0.591 -0.801  -0.416 -0.801  -0.247 -0.785  -0.124 -0.661  0.000 -0.537  0.124 -0.413  0.189 -0.265  0.221 -0.123  0.396 -0.123  0.415 0.034  0.490 0.178  0.613 0.302  0.641 0.466  0.641 0.641  0.641 0.816  0.641 0.991  0.641 1.166  0.641 1.341  0.584 1.460  0.409 1.460  0.234 1.460  0.097 1.368  -0.027 1.244  -0.197 1.234  -0.263 1.124  -0.289 0.955  -0.368 0.799  -0.446 0.642  -0.489 0.477  -0.509 0.310  -0.632 0.186  -0.715 0.046  -0.715 -0.129  -0.715 -0.305  -0.715 -0.480  -0.715 -0.655  -0.686 -0.801  -0.511 -0.801  -0.381 -0.909  -0.254 -1.027  -0.079 -1.027  0.096 -1.027  0.271 -1.027  0.443 -1.013  0.599 -0.935  0.756 -0.856  0.918 -0.801  1.093 -0.801
3#app#app13#app1350/r  -0.729 0.395  -0.729 0.282  -0.718 0.173  -0.637 0.092  -0.557 0.012  -0.517 -0.085  -0.517 -0.199  -0.517 -0.312  -0.517 -0.426  -0.517 -0.539  -0.517 -0.653  -0.517 -0.766  -0.517 -0.880  -0.517 -0.993  -0.517 -1.107  -0.517 -1.220  -0.480 -1.297  -0.366 -1.297  -0.306 -1.244  -0.306 -1.130  -0.275 -1.024  -0.224 -0.922  -0.174 -0.821  -0.123 -0.719  -0.059 -0.627  0.021 -0.547  0.101 -0.467  0.117 -0.360  0.117 -0.246  0.117 -0.133  0.124 -0.022  0.204 0.059  0.284 0.139  0.329 0.234  0.329 0.348  0.329 0.461  0.329 0.575  0.329 0.688  0.329 0.802  0.397 0.887  0.478 0.967  0.558 1.047  0.638 1.128  0.719 1.208  0.752 1.308  0.752 1.421  0.834 1.452  0.948 1.452  1.061 1.452  1.175 1.452
3#app#app13#app1350/y  -0.162 1.352  -0.162 1.228  -0.162 1.104  -0.162 0.980  -0.162 0.856  -0.162 0.732  -0.162 0.608  -0.162 0.484  -0.114 0.380  -0.027 0.292  -0.008 0.176  0.035 0.170  0.115 0.265  0.194 0.361  0.273 0.456  0.353 0.551  0.432 0.647  0.512 0.742  0.591 0.837  0.671 0.933  0.750 1.028  0.690 0.971  0.603 0.883  0.515 0.796  0.427 0.708  0.340 0.620  0.301 0.512  0.301 0.388  0.294 0.267  0.207 0.179  0.129 0.084  0.074 -0.027  0.018 -0.138  -0.037 -0.249  -0.093 -0.360  -0.148 -0.471  -0.204 -0.582  -0.259 -0.693  -0.315 -0.804  -0.316 -0.928  -0.316 -1.052  -0.359 -1.158  -0.447 -1.246  -0.470 -1.360  -0.470 -1.484  -0.492 -1.599  -0.580 -1.687  -0.625 -1.793  -0.625 -1.917  -0.625 -2.041
3#app#app13#app1350/o  0.022 0.671  -0.124 0.671  -0.270 0.671  -0.415 0.671  -0.441 0.551  -0.441 0.405  -0.544 0.362  -0.596 0.268  -0.656 0.147  -0.750 0.041  -0.752 -0.105  -0.817 -0.235  -0.882 -0.365  -0.905 -0.506  -0.905 -0.652  -0.905 -0.797  -0.905 -0.943  -0.905 -1.089  -0.852 -1.182  -0.706 -1.182  -0.561 -1.182  -0.415 -1.182  -0.271 -1.174  -0.141 -1.109  -0.010 -1.044  0.099 -0.950  0.193 -0.840  0.258 -0.710  0.323 -0.579  0.422 -0.473  0.525 -0.370  0.628 -0.267  0.697 -0.140  0.762 -0.009  0.794 0.129  0.824 0.268  0.889 0.398  0.948 0.530  0.948 0.675  0.948 0.821  0.948 0.967  0.854 1.074  0.733 1.134  0.587 1.134  0.442 1.134  0.330 1.099  0.330 0.953  0.313 0.825  0.176 0.816  0.176 0.671
3#app#app13#app1350/p  -0.319 0.829  -0.319 0.655  -0.319 0.481  -0.319 0.307  -0.319 0.132  -0.319 -0.042  -0.319 -0.216  -0.319 -0.390  -0.319 -0.564  -0.319 -0.738  -0.319 -0.913  -0.319 -1.087  -0.319 -1.261  -0.319 -1.435  -0.319 -1.609  -0.431 -1.737  -0.441 -1.623  -0.424 -1.450  -0.407 -1.277  -0.389 -1.103  -0.372 -0.930  -0.355 -0.757  -0.337 -0.583  -0.320 -0.410  -0.303 -0.237  -0.285 -0.063  -0.268 0.110  -0.251 0.283  -0.233 0.457  -0.216 0.630  -0.199 0.803  -0.183 0.977  -0.148 1.136  -0.016 1.238  0.158 1.238  0.332 1.238  0.507 1.238  0.668 1.207  0.791 1.083  0.914 0.960  1.037 0.837  1.045 0.666  0.999 0.511  0.909 0.374  0.825 0.284  0.772 0.162  0.613 0.147  0.439 0.147  0.264 0.147  0.090 0.147
3#app#app13#app1350/p  -0.247 0.812  -0.247 0.636  -0.247 0.460  -0.247 0.284  -0.247 0.108  -0.247 -0.069  -0.247 -0.245  -0.247 -0.421  -0.247 -0.597  -0.247 -0.773  -0.297 -0.937  -0.374 -1.095  -0.374 -1.272  -0.374 -1.448  -0.374 -1.624  -0.447 -1.727  -0.490 -1.605  -0.473 -1.430  -0.456 -1.254  -0.439 -1.079  -0.423 -0.904  -0.406 -0.728  -0.389 -0.553  -0.373 -0.378  -0.356 -0.202  -0.339 -0.027  -0.323 0.148  -0.306 0.324  -0.289 0.499  -0.272 0.674  -0.256 0.850  -0.247 1.026  -0.114 1.072  0.012 1.193  0.188 1.193  0.364 1.193  0.540 1.193  0.716 1.193  0.768 1.068  0.891 0.943  1.016 0.819  1.022 0.645  1.022 0.469  1.011 0.304  0.895 0.244  0.785 0.177  0.609 0.177  0.433 0.177  0.258 0.180  0.134 0.304
3#app#app13#app1350/o  -0.035 0.674  -0.035 0.811  -0.131 0.852  -0.268 0.852  -0.390 0.837  -0.390 0.701  -0.468 0.596  -0.565 0.499  -0.568 0.363  -0.633 0.253  -0.730 0.157  -0.746 0.026  -0.746 -0.111  -0.746 -0.247  -0.746 -0.384  -0.746 -0.521  -0.746 -0.658  -0.746 -0.795  -0.742 -0.930  -0.645 -1.027  -0.549 -1.124  -0.452 -1.221  -0.340 -1.282  -0.203 -1.282  -0.066 -1.282  0.040 -1.208  0.137 -1.111  0.233 -1.014  0.330 -0.917  0.427 -0.821  0.499 -0.713  0.499 -0.576  0.592 -0.478  0.677 -0.376  0.677 -0.239  0.677 -0.102  0.677 0.035  0.677 0.171  0.677 0.308  0.677 0.445  0.677 0.582  0.677 0.719  0.674 0.855  0.577 0.952  0.499 1.056  0.499 1.193  0.499 1.330  0.417 1.385  0.280 1.385  0.143 1.385
3#app#app13#app1350/r  -0.309 0.671  -0.309 0.544  -0.365 0.439  -0.455 0.349  -0.485 0.234  -0.485 0.107  -0.485 -0.021  -0.485 -0.148  -0.485 -0.276  -0.485 -0.403  -0.485 -0.530  -0.485 -0.658  -0.485 -0.785  -0.485 -0.913  -0.485 -1.040  -0.485 -1.168  -0.485 -1.295  -0.485 -1.423  -0.377 -1.442  -0.309 -1.382  -0.301 -1.258  -0.211 -1.168  -0.133 -1.073  -0.133 -0.945  -0.133 -0.818  -0.118 -0.693  -0.078 -0.572  -0.038 -0.451  0.003 -0.330  0.043 -0.209  0.100 -0.095  0.157 0.019  0.214 0.133  0.219 0.259  0.219 0.387  0.219 0.514  0.219 0.641  0.288 0.740  0.378 0.830  0.395 0.951  0.434 1.062  0.524 1.152  0.571 1.260  0.583 1.375  0.711 1.375  0.838 1.375  0.923 1.333  0.923 1.205  1.009 1.113  1.099 1.023
3#app#app13#app1350/t  -0.102 1.458  -0.102 1.305  -0.102 1.153  -0.102 1.000  -0.102 0.848  -0.102 0.695  -0.102 0.543  -0.102 0.391  -0.102 0.238  -0.102 0.086  -0.102 -0.067  -0.064 -0.204  0.043 -0.311  0.151 -0.419  0.169 -0.564  0.169 -0.717  0.169 -0.869  0.169 -1.021  0.169 -1.174  0.169 -1.326  0.169 -1.479  0.169 -1.631  0.169 -1.783  0.143 -1.647  0.116 -1.497  0.088 -1.347  0.061 -1.197  0.034 -1.047  0.007 -0.897  -0.021 -0.747  -0.048 -0.597  -0.075 -0.447  -0.102 -0.297  -0.130 -0.147  -0.157 0.003  -0.184 0.153  -0.212 0.303  -0.239 0.453  -0.266 0.603  -0.293 0.752  -0.321 0.902  -0.348 1.052  -0.357 1.187  -0.204 1.187  -0.052 1.187  0.101 1.187  0.253 1.187  0.405 1.187  0.558 1.187  0.710 1.187
3#app#app13#app1350/u  -0.606 1.644  -0.606 1.528  -0.606 1.413  -0.606 1.297  -0.606 1.182  -0.606 1.066  -0.606 0.950  -0.606 0.835  -0.606 0.719  -0.606 0.604  -0.606 0.488  -0.606 0.373  -0.606 0.257  -0.606 0.142  -0.606 0.026  -0.606 -0.089  -0.606 -0.205  -0.606 -0.321  -0.606 -0.436  -0.606 -0.552  -0.606 -0.667  -0.606 -0.783  -0.606 -0.898  -0.518 -0.926  -0.403 -0.926  -0.287 -0.926  -0.172 -0.926  -0.056 -0.926  0.059 -0.926  0.175 -0.926  0.250 -0.886  0.250 -0.771  0.250 -0.655  0.322 -0.569  0.404 -0.487  0.485 -0.406  0.580 -0.355  0.695 -0.355  0.811 -0.355  0.822 -0.250  0.822 -0.135  0.857 -0.034  0.939 0.048  1.021 0.130  1.102 0.211  1.107 0.325  1.107 0.440  1.107 0.556  1.107 0.672  1.107 0.787
3#app#app13#app1350/n  -0.837 0.930  -0.837 0.773  -0.837 0.617  -0.837 0.461  -0.837 0.305  -0.837 0.149  -0.837 -0.008  -0.837 -0.164  -0.837 -0.320  -0.837 -0.476  -0.837 -0.633  -0.837 -0.789  -0.837 -0.945  -0.837 -1.101  -0.801 -1.222  -0.645 -1.222  -0.641 -1.070  -0.561 -0.947  -0.451 -0.837  -0.379 -0.698  -0.309 -0.559  -0.250 -0.416  -0.250 -0.260  -0.110 -0.244  -0.054 -0.143  -0.054 0.013  -0.039 0.163  0.072 0.273  0.167 0.394  0.237 0.534  0.307 0.674  0.337 0.823  0.337 0.979  0.347 1.125  0.504 1.125  0.660 1.125  0.729 1.038  0.729 0.882  0.735 0.728  0.845 0.617  0.924 0.494  0.924 0.338  0.924 0.181  0.924 0.025  0.982 -0.107  1.093 -0.217  1.120 -0.362  1.120 -0.519  1.120 -0.675  1.120 -0.831
3#app#app13#app1350/i  0.022 0.080  0.022 -0.028  0.022 -0.136  0.019 -0.243  -0.029 -0.340  -0.077 -0.436  -0.125 -0.533  -0.136 -0.638  -0.136 -0.746  -0.136 -0.854  -0.136 -0.961  -0.136 -1.069  -0.136 -1.177  -0.136 -1.285  -0.136 -1.393  -0.136 -1.501  -0.127 -1.404  -0.116 -1.296  -0.106 -1.189  -0.096 -1.082  -0.086 -0.974  -0.075 -0.867  -0.065 -0.759  -0.055 -0.652  -0.045 -0.545  -0.035 -0.437  -0.024 -0.330  -0.014 -0.223  -0.004 -0.115  0.006 -0.008  0.017 0.100  0.027 0.207  0.037 0.314  0.047 0.422  0.057 0.529  0.068 0.636  0.078 0.744  0.088 0.851  0.098 0.959  0.109 1.066  0.119 1.173  0.129 1.281  0.139 1.388  0.149 1.495  0.160 1.603  0.170 1.710  0.180 1.818  0.181 1.723  0.181 1.615  0.181 1.507
3#app#app13#app1350/t  -0.402 1.998  -0.402 1.823  -0.402 1.647  -0.402 1.472  -0.402 1.296  -0.402 1.121  -0.402 0.945  -0.402 0.770  -0.402 0.594  -0.402 0.419  -0.402 0.243  -0.402 0.068  -0.402 -0.108  -0.402 -0.283  -0.402 -0.459  -0.402 -0.634  -0.402 -0.810  -0.402 -0.985  -0.402 -1.161  -0.281 -1.214  -0.105 -1.214  -0.001 -1.286  -0.001 -1.461  -0.001 -1.595  -0.001 -1.420  -0.001 -1.244  -0.001 -1.069  -0.001 -0.893  -0.001 -0.718  -0.001 -0.542  -0.001 -0.367  -0.001 -0.191  -0.001 -0.016  -0.001 0.160  -0.001 0.335  -0.001 0.511  -0.001 0.686  -0.001 0.725  -0.001 0.550  0.017 0.392  0.192 0.392  0.368 0.392  0.502 0.291  0.626 0.167  0.750 0.043  0.903 -0.010  1.079 -0.010  1.204 0.041  1.204 0.216  1.204 0.392
3#app#app13#app1350/y  -0.381 1.923  -0.381 1.755  -0.381 1.587  -0.269 1.531  -0.185 1.447  -0.185 1.279  -0.204 1.119  -0.323 1.001  -0.381 0.856  -0.381 0.688  -0.381 0.520  -0.381 0.352  -0.381 0.184  -0.381 0.016  -0.381 -0.152  -0.320 -0.295  -0.201 -0.414  -0.185 -0.575  -0.185 -0.743  -0.138 -0.748  -0.049 -0.606  0.040 -0.463  0.129 -0.321  0.218 -0.178  0.307 -0.036  0.396 0.107  0.485 0.249  0.574 0.392  0.664 0.534  0.753 0.677  0.796 0.661  0.738 0.550  0.600 0.521  0.600 0.353  0.600 0.185  0.500 0.058  0.389 -0.067  0.314 -0.217  0.239 -0.367  0.164 -0.518  0.089 -0.668  0.014 -0.818  -0.104 -0.938  -0.185 -1.073  -0.203 -1.233  -0.322 -1.352  -0.381 -1.496  -0.381 -1.664  -0.409 -1.804  -0.577 -1.804
