2#apb#apb35#app3585/A  0.246 -0.366  0.305 -0.163  0.366 0.041  0.448 0.236  0.499 0.439  0.516 0.650  0.568 0.856  0.610 1.063  0.610 1.275  0.561 1.481  0.450 1.635  0.274 1.547  0.111 1.412  -0.053 1.277  -0.190 1.119  -0.293 0.933  -0.409 0.756  -0.528 0.581  -0.618 0.388  -0.706 0.196  -0.787 -0.001  -0.867 -0.197  -0.918 -0.402  -0.953 -0.611  -1.002 -0.817  -1.032 -1.022  -0.966 -1.223  -0.825 -1.351  -0.635 -1.259  -0.465 -1.133  -0.318 -0.982  -0.189 -0.813  -0.070 -0.638  0.044 -0.459  0.148 -0.274  0.252 -0.089  0.338 0.105  0.431 0.295  0.530 0.483  0.537 0.513  0.442 0.323  0.386 0.119  0.336 -0.087  0.285 -0.293  0.257 -0.503  0.246 -0.714  0.268 -0.923  0.386 -1.081  0.579 -1.160  0.792 -1.160
2#apb#apb35#app3585/P  0.060 0.693  0.003 0.732  -0.066 0.566  -0.137 0.401  -0.190 0.229  -0.243 0.058  -0.300 -0.113  -0.357 -0.283  -0.412 -0.454  -0.465 -0.626  -0.518 -0.798  -0.566 -0.971  -0.614 -1.144  -0.659 -1.318  -0.718 -1.487  -0.780 -1.599  -0.764 -1.420  -0.743 -1.242  -0.713 -1.065  -0.674 -0.890  -0.627 -0.716  -0.566 -0.548  -0.504 -0.379  -0.439 -0.211  -0.375 -0.043  -0.308 0.123  -0.239 0.289  -0.170 0.455  -0.064 0.599  0.046 0.741  0.158 0.882  0.274 1.019  0.391 1.156  0.533 1.263  0.687 1.355  0.861 1.399  0.979 1.279  1.018 1.106  1.023 0.927  0.989 0.750  0.950 0.576  0.893 0.405  0.826 0.239  0.737 0.083  0.637 -0.066  0.531 -0.211  0.395 -0.329  0.244 -0.423  0.076 -0.482  -0.102 -0.509
2#apb#apb35#app3585/a  0.792 1.294  0.638 1.369  0.482 1.410  0.332 1.328  0.185 1.239  0.040 1.148  -0.104 1.054  -0.246 0.959  -0.364 0.836  -0.473 0.704  -0.582 0.571  -0.688 0.436  -0.793 0.301  -0.876 0.152  -0.949 -0.003  -1.007 -0.164  -1.041 -0.332  -1.070 -0.500  -1.080 -0.672  -1.078 -0.841  -1.011 -0.995  -0.872 -1.094  -0.702 -1.109  -0.537 -1.070  -0.384 -0.998  -0.253 -0.887  -0.133 -0.767  -0.023 -0.635  0.080 -0.497  0.180 -0.358  0.277 -0.217  0.368 -0.072  0.454 0.076  0.527 0.231  0.600 0.387  0.672 0.542  0.725 0.705  0.723 0.688  0.687 0.521  0.646 0.354  0.605 0.188  0.552 0.025  0.490 -0.135  0.449 -0.300  0.438 -0.471  0.462 -0.639  0.514 -0.799  0.630 -0.926  0.775 -1.001  0.942 -1.037
2#apb#apb35#app3585/r  -1.501 -1.305  -1.402 -1.216  -1.321 -1.105  -1.236 -0.996  -1.146 -0.891  -1.056 -0.786  -0.962 -0.685  -0.868 -0.584  -0.773 -0.483  -0.695 -0.369  -0.619 -0.254  -0.544 -0.138  -0.468 -0.022  -0.395 0.095  -0.323 0.213  -0.251 0.331  -0.180 0.449  -0.108 0.567  -0.038 0.686  0.032 0.805  0.103 0.924  0.151 1.052  0.182 1.186  0.249 1.304  0.250 1.274  0.239 1.136  0.230 0.998  0.211 0.862  0.192 0.725  0.243 0.597  0.320 0.485  0.424 0.398  0.557 0.368  0.695 0.364  0.832 0.349  0.969 0.368  0.962 0.279  0.896 0.157  0.823 0.041  0.739 -0.069  0.655 -0.179  0.575 -0.291  0.495 -0.404  0.431 -0.526  0.373 -0.651  0.337 -0.784  0.306 -0.919  0.357 -1.046  0.470 -1.121  0.589 -1.191
2#apb#apb35#app3585/i  -1.273 -0.972  -1.223 -0.931  -1.117 -0.821  -1.004 -0.718  -0.882 -0.624  -0.780 -0.509  -0.681 -0.392  -0.583 -0.273  -0.485 -0.154  -0.403 -0.024  -0.322 0.107  -0.235 0.234  -0.142 0.356  -0.061 0.486  -0.066 0.558  -0.138 0.424  -0.225 0.297  -0.288 0.158  -0.337 0.012  -0.371 -0.138  -0.420 -0.283  -0.477 -0.426  -0.477 -0.580  -0.477 -0.734  -0.440 -0.882  -0.319 -0.965  -0.167 -0.972  -0.016 -0.955  0.131 -0.910  0.279 -0.866  0.419 -0.803  0.559 -0.739  0.633 -0.632  0.638 -0.478  0.643 -0.324  0.647 -0.171  0.652 -0.017  0.657 0.137  0.661 0.291  0.666 0.444  0.671 0.598  0.675 0.752  0.680 0.906  0.685 1.060  0.689 1.213  0.694 1.367  0.699 1.521  0.703 1.675  0.708 1.828  0.616 1.869
2#apb#apb35#app3585/s  -1.580 -0.572  -1.455 -0.447  -1.313 -0.342  -1.168 -0.240  -1.020 -0.142  -0.886 -0.028  -0.769 0.105  -0.652 0.238  -0.533 0.369  -0.414 0.500  -0.292 0.629  -0.167 0.754  -0.046 0.883  0.062 1.024  0.176 1.158  0.257 1.202  0.257 1.025  0.217 0.852  0.180 0.679  0.152 0.504  0.120 0.330  0.079 0.158  0.045 -0.016  0.014 -0.190  -0.046 -0.357  -0.111 -0.522  -0.243 -0.632  -0.413 -0.659  -0.549 -0.547  -0.683 -0.433  -0.853 -0.390  -0.867 -0.504  -0.705 -0.577  -0.547 -0.656  -0.376 -0.655  -0.201 -0.626  -0.029 -0.587  0.139 -0.531  0.307 -0.475  0.475 -0.419  0.640 -0.353  0.804 -0.286  0.968 -0.219  1.126 -0.140  1.280 -0.053  1.434 0.034  1.586 0.126  1.726 0.234  1.867 0.342  2.007 0.450
2#apb#apb35#app3585/F  0.078 0.687  0.135 0.672  0.054 0.491  -0.080 0.348  -0.185 0.443  -0.144 0.634  -0.020 0.787  0.123 0.922  0.308 0.983  0.470 0.875  0.537 0.694  0.550 0.495  0.508 0.301  0.437 0.115  0.343 -0.059  0.224 -0.218  0.087 -0.362  -0.053 -0.504  -0.202 -0.635  -0.369 -0.744  -0.562 -0.790  -0.754 -0.845  -0.950 -0.866  -1.148 -0.884  -1.346 -0.897  -1.540 -0.861  -1.701 -0.813  -1.527 -0.783  -1.335 -0.749  -1.157 -0.660  -0.970 -0.590  -0.787 -0.513  -0.605 -0.431  -0.424 -0.348  -0.243 -0.265  -0.062 -0.182  0.119 -0.099  0.289 0.005  0.456 0.113  0.622 0.223  0.786 0.335  0.924 0.479  1.063 0.621  1.208 0.758  1.313 0.819  1.248 0.631  1.177 0.445  1.104 0.260  1.030 0.075  0.973 -0.116
2#apb#apb35#app3585/t  -1.572 -1.476  -1.391 -1.473  -1.212 -1.303  -1.033 -1.133  -0.859 -0.958  -0.690 -0.779  -0.531 -0.591  -0.405 -0.379  -0.280 -0.167  -0.146 0.041  -0.013 0.248  0.120 0.457  0.251 0.665  0.380 0.876  0.504 1.089  0.596 1.317  0.657 1.555  0.591 1.373  0.442 1.177  0.313 0.967  0.188 0.754  0.066 0.540  -0.031 0.313  -0.121 0.083  -0.203 -0.149  -0.264 -0.388  -0.292 -0.633  -0.216 -0.860  -0.037 -1.021  0.190 -1.094  0.430 -1.038  0.669 -0.976  0.856 -0.861  0.668 -0.702  0.480 -0.542  0.292 -0.382  0.104 -0.222  -0.084 -0.062  -0.272 0.098  -0.460 0.258  -0.648 0.417  -0.632 0.382  -0.386 0.382  -0.148 0.447  0.089 0.518  0.322 0.599  0.562 0.651  0.806 0.683  1.052 0.667  1.296 0.630
2#apb#apb35#app3585/.  0.000 1.698  0.000 1.629  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.242  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.242  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.629  0.000 -1.698
2#apb#apb35#app3585/M  -1.995 0.142  -1.784 0.171  -1.582 0.241  -1.383 0.318  -1.186 0.400  -0.994 0.493  -0.800 0.582  -0.605 0.670  -0.411 0.753  -0.262 0.665  -0.262 0.452  -0.304 0.244  -0.365 0.040  -0.422 -0.166  -0.511 -0.360  -0.610 -0.549  -0.729 -0.725  -0.890 -0.858  -0.874 -0.674  -0.786 -0.479  -0.679 -0.294  -0.564 -0.114  -0.443 0.061  -0.302 0.221  -0.156 0.376  0.026 0.488  0.215 0.587  0.409 0.576  0.494 0.385  0.520 0.174  0.520 -0.039  0.501 -0.252  0.460 -0.458  0.352 -0.641  0.239 -0.720  0.272 -0.509  0.367 -0.319  0.477 -0.137  0.595 0.041  0.739 0.199  0.899 0.338  1.082 0.443  1.290 0.478  1.372 0.299  1.404 0.090  1.379 -0.121  1.331 -0.329  1.295 -0.540  1.261 -0.747  1.400 -0.895
2#apb#apb35#app3585/u  -1.846 -0.622  -1.744 -0.596  -1.614 -0.537  -1.491 -0.461  -1.379 -0.370  -1.266 -0.279  -1.150 -0.193  -1.033 -0.107  -0.920 -0.018  -0.809 0.074  -0.704 0.174  -0.609 0.282  -0.510 0.387  -0.394 0.474  -0.297 0.579  -0.280 0.566  -0.343 0.437  -0.413 0.310  -0.477 0.181  -0.518 0.043  -0.536 -0.100  -0.548 -0.244  -0.540 -0.386  -0.442 -0.476  -0.298 -0.473  -0.159 -0.433  -0.029 -0.374  0.096 -0.301  0.215 -0.219  0.329 -0.131  0.441 -0.040  0.549 0.056  0.657 0.153  0.769 0.244  0.881 0.336  0.988 0.433  1.093 0.532  1.208 0.620  1.319 0.706  1.248 0.591  1.174 0.467  1.089 0.351  1.027 0.220  0.970 0.087  0.916 -0.047  0.910 -0.190  0.940 -0.331  1.042 -0.433  1.175 -0.467  1.319 -0.476
2#apb#apb35#app3585/n  -0.657 0.760  -0.730 0.643  -0.761 0.515  -0.808 0.387  -0.866 0.262  -0.932 0.141  -1.003 0.023  -1.057 -0.104  -1.117 -0.227  -1.201 -0.336  -1.274 -0.452  -1.332 -0.577  -1.312 -0.664  -1.192 -0.599  -1.084 -0.514  -0.969 -0.437  -0.853 -0.363  -0.748 -0.275  -0.646 -0.181  -0.543 -0.090  -0.435 -0.004  -0.328 0.082  -0.217 0.164  -0.101 0.239  0.014 0.313  0.131 0.388  0.247 0.461  0.364 0.534  0.482 0.606  0.600 0.677  0.718 0.748  0.852 0.746  0.983 0.770  1.010 0.672  1.010 0.535  0.959 0.409  0.889 0.290  0.810 0.177  0.754 0.053  0.710 -0.077  0.658 -0.205  0.618 -0.333  0.636 -0.470  0.716 -0.582  0.831 -0.648  0.960 -0.695  1.097 -0.698  1.235 -0.698  1.373 -0.688  1.510 -0.677
2#apb#apb35#app3585/i  -1.318 -0.846  -1.232 -0.750  -1.126 -0.676  -1.018 -0.605  -0.910 -0.533  -0.819 -0.442  -0.730 -0.348  -0.638 -0.257  -0.544 -0.168  -0.449 -0.079  -0.355 0.009  -0.259 0.096  -0.169 0.188  -0.239 0.120  -0.320 0.019  -0.401 -0.081  -0.475 -0.188  -0.544 -0.297  -0.603 -0.412  -0.639 -0.536  -0.645 -0.665  -0.564 -0.751  -0.441 -0.771  -0.312 -0.773  -0.182 -0.779  -0.054 -0.777  0.072 -0.748  0.199 -0.719  0.324 -0.688  0.450 -0.656  0.502 -0.558  0.523 -0.430  0.544 -0.302  0.564 -0.175  0.585 -0.047  0.606 0.081  0.626 0.209  0.647 0.337  0.668 0.465  0.688 0.592  0.709 0.720  0.730 0.848  0.750 0.976  0.771 1.104  0.792 1.231  0.812 1.359  0.833 1.487  0.854 1.615  0.874 1.743  0.862 1.857
2#apb#apb35#app3585/c  0.944 0.451  0.850 0.446  0.831 0.351  0.783 0.267  0.842 0.279  0.863 0.372  0.887 0.463  0.949 0.536  0.980 0.629  0.990 0.725  0.990 0.822  0.912 0.881  0.820 0.908  0.723 0.916  0.626 0.916  0.535 0.893  0.451 0.843  0.367 0.793  0.284 0.742  0.201 0.691  0.118 0.640  0.035 0.588  -0.036 0.522  -0.108 0.455  -0.179 0.389  -0.251 0.322  -0.317 0.252  -0.379 0.176  -0.440 0.100  -0.502 0.024  -0.563 -0.051  -0.616 -0.133  -0.662 -0.219  -0.708 -0.305  -0.754 -0.391  -0.791 -0.481  -0.819 -0.574  -0.848 -0.668  -0.865 -0.762  -0.851 -0.858  -0.837 -0.955  -0.823 -1.051  -0.753 -1.116  -0.677 -1.178  -0.602 -1.240  -0.515 -1.271  -0.417 -1.276  -0.320 -1.281  -0.222 -1.287  -0.125 -1.292
2#apb#apb35#app3585/h  -0.023 1.505  -0.141 1.408  -0.218 1.272  -0.292 1.135  -0.359 0.994  -0.426 0.853  -0.489 0.710  -0.550 0.567  -0.610 0.423  -0.680 0.284  -0.754 0.146  -0.828 0.009  -0.901 -0.128  -0.974 -0.266  -1.046 -0.405  -1.116 -0.544  -1.168 -0.691  -1.169 -0.773  -1.072 -0.655  -0.944 -0.566  -0.823 -0.468  -0.706 -0.364  -0.591 -0.259  -0.484 -0.146  -0.377 -0.033  -0.264 0.074  -0.133 0.159  -0.002 0.244  0.138 0.309  0.284 0.364  0.438 0.375  0.540 0.351  0.495 0.202  0.439 0.057  0.361 -0.078  0.289 -0.215  0.254 -0.367  0.249 -0.521  0.366 -0.624  0.514 -0.665  0.665 -0.673  0.815 -0.628  0.964 -0.583  1.110 -0.529  1.257 -0.475  1.380 -0.382  1.501 -0.283  1.605 -0.169  1.693 -0.040  1.781 0.088
