3#apb#apb38#app3800/4  -0.668 1.056  -0.732 0.929  -0.764 0.759  -0.809 0.591  -0.868 0.428  -0.936 0.268  -1.013 0.113  -1.066 -0.052  -1.112 -0.219  -1.204 -0.366  -1.236 -0.535  -1.238 -0.707  -1.159 -0.804  -0.993 -0.766  -0.835 -0.700  -0.682 -0.617  -0.533 -0.527  -0.376 -0.456  -0.211 -0.401  -0.040 -0.372  0.127 -0.326  0.300 -0.323  0.462 -0.373  0.513 -0.249  0.552 -0.080  0.590 0.090  0.628 0.259  0.667 0.429  0.705 0.598  0.744 0.767  0.782 0.937  0.821 1.106  0.859 1.276  0.807 1.234  0.730 1.079  0.655 0.922  0.601 0.759  0.568 0.588  0.539 0.417  0.534 0.245  0.546 0.071  0.542 -0.102  0.530 -0.275  0.504 -0.447  0.472 -0.618  0.438 -0.788  0.400 -0.957  0.345 -1.122  0.287 -1.286  0.228 -1.450
3#apb#apb38#app3800/5  -0.499 0.653  -0.447 0.653  -0.306 0.640  -0.164 0.661  -0.025 0.699  0.114 0.735  0.253 0.769  0.393 0.802  0.533 0.835  0.672 0.870  0.814 0.884  0.881 0.920  0.737 0.920  0.595 0.907  0.457 0.869  0.318 0.830  0.179 0.795  0.040 0.761  -0.103 0.742  -0.246 0.724  -0.375 0.662  -0.503 0.598  -0.638 0.549  -0.770 0.491  -0.898 0.426  -0.939 0.321  -0.862 0.200  -0.755 0.104  -0.652 0.004  -0.551 -0.097  -0.453 -0.197  -0.327 -0.225  -0.195 -0.281  -0.059 -0.328  0.084 -0.344  0.218 -0.393  0.323 -0.490  0.407 -0.606  0.483 -0.727  0.539 -0.857  0.555 -0.999  0.556 -1.140  0.487 -1.263  0.385 -1.365  0.269 -1.449  0.150 -1.530  0.029 -1.607  -0.098 -1.674  -0.232 -1.720  -0.375 -1.733
3#apb#apb38#app3800/7  -1.173 -0.043  -1.112 0.036  -1.067 0.148  -1.062 0.268  -1.053 0.388  -1.043 0.508  -1.043 0.628  -1.059 0.747  -1.019 0.695  -0.925 0.619  -0.832 0.542  -0.716 0.523  -0.595 0.514  -0.475 0.514  -0.355 0.500  -0.236 0.483  -0.116 0.487  0.003 0.503  0.123 0.516  0.244 0.525  0.364 0.535  0.483 0.553  0.602 0.573  0.718 0.605  0.836 0.630  0.956 0.643  1.039 0.644  0.982 0.569  0.879 0.506  0.801 0.414  0.733 0.315  0.671 0.211  0.616 0.104  0.563 -0.004  0.515 -0.115  0.467 -0.225  0.423 -0.338  0.385 -0.452  0.347 -0.567  0.311 -0.682  0.277 -0.798  0.243 -0.913  0.203 -1.027  0.163 -1.141  0.119 -1.253  0.073 -1.365  0.026 -1.476  -0.030 -1.582  -0.099 -1.681  -0.153 -1.787
3#apb#apb38#app3800/N  -1.236 -1.344  -1.236 -1.205  -1.158 -1.091  -1.103 -0.964  -1.046 -0.837  -0.989 -0.711  -0.933 -0.583  -0.879 -0.455  -0.825 -0.327  -0.775 -0.198  -0.725 -0.068  -0.668 0.059  -0.609 0.184  -0.551 0.310  -0.499 0.439  -0.443 0.566  -0.357 0.675  -0.313 0.806  -0.263 0.710  -0.250 0.571  -0.235 0.434  -0.207 0.297  -0.180 0.161  -0.153 0.025  -0.117 -0.109  -0.077 -0.242  -0.029 -0.372  0.033 -0.496  0.105 -0.614  0.159 -0.742  0.278 -0.799  0.415 -0.791  0.536 -0.724  0.643 -0.640  0.683 -0.507  0.720 -0.373  0.751 -0.238  0.782 -0.103  0.819 0.031  0.851 0.166  0.851 0.305  0.851 0.444  0.851 0.583  0.851 0.722  0.851 0.860  0.860 0.999  0.887 1.135  0.949 1.254  1.017 1.368  1.112 1.431
3#apb#apb38#app3800/.  0.544 -1.129  0.465 -1.129  0.386 -1.129  0.307 -1.129  0.230 -1.136  0.174 -1.191  0.119 -1.247  0.057 -1.270  -0.013 -1.235  -0.084 -1.199  -0.155 -1.164  -0.224 -1.128  -0.224 -1.049  -0.224 -0.970  -0.224 -0.890  -0.224 -0.811  -0.224 -0.732  -0.224 -0.653  -0.224 -0.574  -0.224 -0.495  -0.224 -0.416  -0.224 -0.337  -0.224 -0.258  -0.224 -0.179  -0.224 -0.100  -0.224 -0.021  -0.224 0.058  -0.224 0.137  -0.224 0.216  -0.211 0.293  -0.186 0.368  -0.161 0.443  -0.136 0.518  -0.111 0.593  -0.086 0.668  -0.061 0.743  -0.036 0.818  -0.011 0.893  0.014 0.968  0.039 1.043  0.064 1.117  0.097 1.188  0.153 1.244  0.208 1.300  0.264 1.355  0.320 1.411  0.376 1.467  0.432 1.523  0.488 1.579  0.544 1.635
3#apb#apb38#app3800/S  0.767 0.981  0.748 1.095  0.651 1.133  0.535 1.136  0.420 1.136  0.305 1.126  0.193 1.102  0.097 1.038  0.000 0.976  -0.105 0.927  -0.210 0.879  -0.311 0.823  -0.404 0.755  -0.498 0.687  -0.595 0.625  -0.693 0.564  -0.792 0.504  -0.877 0.426  -0.958 0.344  -1.039 0.262  -1.099 0.166  -1.064 0.061  -0.974 -0.009  -0.879 -0.076  -0.775 -0.119  -0.661 -0.142  -0.547 -0.161  -0.433 -0.178  -0.318 -0.194  -0.203 -0.205  -0.088 -0.216  0.024 -0.241  0.136 -0.271  0.242 -0.315  0.343 -0.371  0.444 -0.427  0.545 -0.483  0.635 -0.554  0.721 -0.631  0.809 -0.705  0.878 -0.793  0.878 -0.908  0.857 -1.014  0.767 -1.086  0.678 -1.160  0.585 -1.229  0.487 -1.288  0.374 -1.313  0.260 -1.330  0.145 -1.330
3#apb#apb38#app3800/a  0.498 0.701  0.434 0.756  0.304 0.734  0.175 0.713  0.045 0.691  -0.084 0.670  -0.212 0.639  -0.339 0.607  -0.467 0.575  -0.567 0.495  -0.660 0.402  -0.752 0.309  -0.845 0.216  -0.957 0.149  -1.072 0.085  -1.183 0.016  -1.284 -0.069  -1.368 -0.165  -1.417 -0.287  -1.329 -0.381  -1.204 -0.413  -1.075 -0.439  -0.946 -0.446  -0.818 -0.417  -0.690 -0.387  -0.562 -0.358  -0.448 -0.292  -0.335 -0.226  -0.222 -0.160  -0.113 -0.087  -0.009 -0.006  0.095 0.074  0.192 0.163  0.284 0.255  0.382 0.337  0.441 0.325  0.519 0.221  0.620 0.137  0.722 0.054  0.827 -0.025  0.932 -0.104  1.018 -0.202  1.097 -0.307  1.182 -0.406  1.289 -0.482  1.395 -0.559  1.488 -0.652  1.577 -0.748  1.656 -0.853  1.787 -0.853
3#apb#apb38#app3800/l  0.334 1.563  0.264 1.563  0.204 1.549  0.182 1.483  0.160 1.417  0.138 1.350  0.116 1.284  0.093 1.217  0.071 1.151  0.049 1.084  0.041 1.016  0.041 0.946  0.041 0.876  0.041 0.806  0.041 0.736  0.028 0.667  0.013 0.599  -0.002 0.530  -0.017 0.462  -0.033 0.394  -0.042 0.325  -0.042 0.255  -0.042 0.185  -0.042 0.115  -0.042 0.045  -0.042 -0.025  -0.042 -0.095  -0.042 -0.166  -0.042 -0.236  -0.042 -0.306  -0.042 -0.376  -0.042 -0.446  -0.042 -0.516  -0.042 -0.586  -0.042 -0.656  -0.042 -0.726  -0.042 -0.796  -0.042 -0.866  -0.046 -0.936  -0.053 -1.005  -0.061 -1.075  -0.069 -1.144  -0.077 -1.214  -0.084 -1.284  -0.091 -1.353  -0.098 -1.423  -0.105 -1.493  -0.112 -1.562  -0.119 -1.632  -0.126 -1.702
3#apb#apb38#app3800/i  -0.554 0.070  -0.515 -0.027  -0.475 -0.124  -0.432 -0.219  -0.390 -0.315  -0.359 -0.414  -0.341 -0.517  -0.324 -0.621  -0.307 -0.724  -0.294 -0.828  -0.283 -0.932  -0.266 -1.034  -0.208 -1.121  -0.150 -1.209  -0.147 -1.312  -0.147 -1.417  -0.125 -1.346  -0.100 -1.244  -0.075 -1.143  -0.049 -1.041  -0.024 -0.940  0.002 -0.838  0.027 -0.736  0.052 -0.635  0.078 -0.533  0.103 -0.432  0.129 -0.330  0.154 -0.229  0.179 -0.127  0.205 -0.025  0.230 0.076  0.255 0.178  0.281 0.279  0.306 0.381  0.332 0.483  0.357 0.584  0.382 0.686  0.408 0.787  0.388 0.885  0.344 0.980  0.301 1.075  0.257 1.170  0.202 1.259  0.146 1.348  0.098 1.440  0.072 1.541  0.055 1.645  0.046 1.748  0.075 1.848  0.103 1.949
3#apb#apb38#app3800/n  -1.081 0.175  -1.046 0.072  -1.012 -0.031  -1.012 -0.134  -1.042 -0.239  -1.072 -0.343  -1.057 -0.446  -1.022 -0.549  -0.988 -0.652  -0.954 -0.755  -0.919 -0.858  -0.885 -0.961  -0.817 -1.035  -0.745 -0.990  -0.684 -0.901  -0.620 -0.812  -0.557 -0.724  -0.494 -0.636  -0.440 -0.542  -0.386 -0.448  -0.332 -0.354  -0.286 -0.256  -0.242 -0.156  -0.198 -0.057  -0.154 0.042  -0.092 0.131  -0.029 0.219  0.034 0.308  0.102 0.392  0.173 0.475  0.243 0.557  0.314 0.640  0.413 0.683  0.513 0.725  0.612 0.769  0.689 0.846  0.777 0.894  0.886 0.894  0.993 0.891  1.053 0.801  1.106 0.706  1.154 0.609  1.160 0.502  1.160 0.393  1.160 0.285  1.160 0.176  1.160 0.068  1.160 -0.041  1.110 -0.128  1.033 -0.205
3#apb#apb38#app3800/a  0.112 0.591  0.109 0.659  0.008 0.735  -0.100 0.802  -0.212 0.856  -0.338 0.856  -0.454 0.814  -0.564 0.751  -0.672 0.685  -0.776 0.613  -0.880 0.540  -0.984 0.467  -1.074 0.380  -1.155 0.282  -1.220 0.177  -1.245 0.053  -1.213 -0.065  -1.163 -0.182  -1.104 -0.293  -1.033 -0.398  -0.945 -0.469  -0.818 -0.469  -0.692 -0.462  -0.570 -0.428  -0.448 -0.395  -0.326 -0.362  -0.211 -0.309  -0.098 -0.252  0.013 -0.192  0.109 -0.109  0.206 -0.027  0.292 0.065  0.339 0.177  0.339 0.304  0.395 0.341  0.474 0.242  0.562 0.152  0.661 0.075  0.739 -0.025  0.816 -0.125  0.894 -0.225  0.987 -0.311  1.083 -0.393  1.180 -0.475  1.279 -0.554  1.373 -0.638  1.443 -0.743  1.514 -0.848  1.627 -0.905  1.741 -0.962
3#apb#apb38#app3800/S  0.652 1.077  0.619 1.163  0.555 1.220  0.457 1.235  0.357 1.235  0.257 1.235  0.173 1.190  0.094 1.129  0.015 1.068  -0.075 1.028  -0.170 0.996  -0.264 0.965  -0.355 0.924  -0.438 0.869  -0.521 0.813  -0.589 0.743  -0.653 0.668  -0.718 0.594  -0.718 0.495  -0.683 0.409  -0.612 0.339  -0.561 0.253  -0.488 0.196  -0.401 0.154  -0.331 0.084  -0.252 0.023  -0.167 -0.029  -0.082 -0.080  -0.004 -0.142  0.069 -0.210  0.136 -0.284  0.187 -0.370  0.251 -0.445  0.318 -0.518  0.370 -0.604  0.417 -0.692  0.458 -0.783  0.495 -0.876  0.519 -0.972  0.536 -1.064  0.498 -1.156  0.453 -1.245  0.368 -1.281  0.270 -1.298  0.173 -1.322  0.076 -1.346  -0.023 -1.347  -0.123 -1.347  -0.223 -1.347  -0.323 -1.347
3#apb#apb38#app3800/t  0.650 0.712  0.580 0.607  0.514 0.474  0.447 0.341  0.370 0.215  0.291 0.089  0.221 -0.041  0.154 -0.174  0.093 -0.309  0.036 -0.446  -0.021 -0.583  -0.091 -0.713  -0.177 -0.835  -0.262 -0.956  -0.307 -1.093  -0.326 -1.240  -0.364 -1.383  -0.414 -1.522  -0.450 -1.469  -0.469 -1.322  -0.488 -1.175  -0.508 -1.028  -0.527 -0.881  -0.546 -0.733  -0.565 -0.586  -0.585 -0.439  -0.604 -0.292  -0.623 -0.145  -0.643 0.002  -0.662 0.150  -0.681 0.297  -0.701 0.444  -0.717 0.591  -0.731 0.635  -0.593 0.684  -0.446 0.702  -0.300 0.727  -0.155 0.759  -0.009 0.782  0.139 0.782  0.288 0.782  0.436 0.782  0.584 0.790  0.732 0.807  0.879 0.817  1.028 0.817  1.173 0.833  1.305 0.899  1.448 0.922  1.597 0.922
3#apb#apb38#app3800/.  0.850 2.246  0.752 2.049  0.654 1.852  0.555 1.656  0.457 1.459  0.359 1.263  0.261 1.066  0.162 0.870  0.064 0.673  -0.034 0.477  -0.133 0.280  -0.231 0.084  -0.329 -0.113  -0.338 0.070  -0.338 0.290  -0.338 0.510  -0.338 0.730  -0.338 0.949  -0.338 0.946  -0.338 0.727  -0.338 0.507  -0.338 0.287  -0.338 0.067  -0.338 -0.152  -0.338 -0.372  -0.338 -0.592  -0.338 -0.811  -0.338 -1.031  -0.338 -1.251  -0.230 -1.210  -0.074 -1.054  0.081 -0.899  0.236 -0.744  0.392 -0.588  0.547 -0.433  0.703 -0.278  0.842 -0.138  0.687 -0.293  0.532 -0.449  0.376 -0.604  0.221 -0.759  0.065 -0.915  -0.090 -1.070  -0.245 -1.226  -0.338 -1.229  -0.338 -1.009  -0.338 -0.789  -0.338 -0.570  -0.338 -0.350  -0.338 -0.130
3#apb#apb38#app3800/1  0.370 1.490  0.300 1.490  0.236 1.496  0.210 1.488  0.167 1.432  0.134 1.372  0.127 1.302  0.120 1.232  0.113 1.162  0.106 1.092  0.095 1.023  0.082 0.954  0.068 0.885  0.054 0.816  0.040 0.747  0.031 0.677  0.026 0.607  0.021 0.536  0.015 0.466  0.010 0.396  0.004 0.326  0.001 0.256  0.001 0.185  0.001 0.115  0.001 0.044  0.001 -0.026  0.001 -0.096  0.001 -0.167  0.001 -0.237  -0.006 -0.307  -0.014 -0.377  -0.023 -0.447  -0.032 -0.517  -0.041 -0.587  -0.049 -0.657  -0.058 -0.726  -0.067 -0.796  -0.080 -0.865  -0.092 -0.935  -0.105 -1.004  -0.117 -1.073  -0.130 -1.143  -0.143 -1.212  -0.157 -1.281  -0.171 -1.350  -0.185 -1.419  -0.199 -1.488  -0.211 -1.557  -0.222 -1.627  -0.234 -1.696
3#apb#apb38#app3800/2  -0.711 1.357  -0.710 1.393  -0.617 1.448  -0.507 1.477  -0.393 1.493  -0.284 1.472  -0.177 1.431  -0.068 1.395  0.040 1.359  0.117 1.275  0.189 1.187  0.219 1.076  0.249 0.966  0.282 0.856  0.316 0.747  0.349 0.637  0.353 0.523  0.353 0.409  0.349 0.295  0.325 0.183  0.301 0.071  0.277 -0.041  0.253 -0.153  0.229 -0.265  0.199 -0.374  0.151 -0.479  0.104 -0.583  0.048 -0.682  -0.011 -0.780  -0.081 -0.869  -0.169 -0.943  -0.258 -1.015  -0.358 -1.055  -0.473 -1.055  -0.587 -1.055  -0.616 -0.970  -0.579 -0.864  -0.499 -0.784  -0.407 -0.720  -0.295 -0.695  -0.183 -0.673  -0.069 -0.661  0.044 -0.660  0.158 -0.676  0.265 -0.715  0.372 -0.756  0.477 -0.801  0.578 -0.854  0.675 -0.915  0.779 -0.961
3#apb#apb38#app3800/B  -0.653 0.576  -0.675 0.389  -0.684 0.202  -0.667 0.014  -0.654 -0.175  -0.586 -0.350  -0.514 -0.525  -0.456 -0.705  -0.422 -0.891  -0.379 -1.075  -0.404 -1.054  -0.471 -0.878  -0.549 -0.705  -0.619 -0.531  -0.650 -0.344  -0.684 -0.158  -0.712 0.030  -0.737 0.217  -0.737 0.407  -0.701 0.590  -0.631 0.766  -0.546 0.935  -0.412 1.069  -0.266 1.188  -0.106 1.287  0.074 1.333  0.260 1.316  0.437 1.249  0.572 1.129  0.638 0.952  0.614 0.771  0.512 0.615  0.368 0.497  0.201 0.408  0.043 0.304  0.177 0.307  0.353 0.239  0.518 0.147  0.661 0.028  0.779 -0.120  0.884 -0.278  0.965 -0.449  1.051 -0.615  1.051 -0.805  0.985 -0.974  0.879 -1.131  0.730 -1.248  0.571 -1.338  0.382 -1.338  0.210 -1.275
3#apb#apb38#app3800/i  0.139 -0.098  0.078 -0.179  0.016 -0.261  -0.045 -0.343  -0.102 -0.427  -0.159 -0.512  -0.191 -0.606  -0.203 -0.707  -0.214 -0.809  -0.226 -0.910  -0.239 -1.012  -0.244 -1.111  -0.180 -1.191  -0.115 -1.269  -0.030 -1.325  0.055 -1.382  0.075 -1.316  0.077 -1.214  0.078 -1.112  0.079 -1.009  0.081 -0.907  0.082 -0.805  0.083 -0.703  0.085 -0.601  0.086 -0.499  0.087 -0.397  0.089 -0.295  0.090 -0.193  0.092 -0.090  0.093 0.012  0.094 0.114  0.096 0.216  0.097 0.318  0.098 0.420  0.100 0.522  0.101 0.624  0.102 0.726  0.104 0.829  0.105 0.931  0.106 1.033  0.079 1.131  0.049 1.229  0.020 1.326  -0.027 1.416  -0.084 1.501  -0.126 1.591  -0.143 1.692  -0.136 1.790  -0.096 1.884  -0.056 1.978
3#apb#apb38#app3800/g  0.019 1.057  -0.101 1.057  -0.213 1.022  -0.328 0.991  -0.432 0.938  -0.527 0.864  -0.631 0.804  -0.693 0.706  -0.760 0.606  -0.771 0.490  -0.679 0.413  -0.567 0.389  -0.449 0.397  -0.340 0.445  -0.238 0.507  -0.143 0.580  -0.063 0.668  0.006 0.766  0.062 0.871  0.079 0.990  0.126 0.992  0.216 0.914  0.285 0.816  0.349 0.716  0.391 0.603  0.434 0.491  0.474 0.378  0.509 0.264  0.544 0.149  0.587 0.037  0.630 -0.075  0.641 -0.192  0.632 -0.311  0.616 -0.430  0.593 -0.547  0.569 -0.665  0.508 -0.767  0.440 -0.865  0.370 -0.963  0.292 -1.054  0.214 -1.145  0.135 -1.234  0.035 -1.301  -0.064 -1.367  -0.173 -1.416  -0.287 -1.454  -0.400 -1.492  -0.517 -1.520  -0.634 -1.548  -0.750 -1.575
