2#apa#apa14#app1416/a  0.133 1.389  -0.033 1.389  -0.184 1.355  -0.301 1.238  -0.418 1.121  -0.534 1.004  -0.608 0.861  -0.660 0.704  -0.712 0.547  -0.765 0.390  -0.817 0.233  -0.869 0.076  -0.921 -0.080  -0.974 -0.237  -0.996 -0.399  -0.996 -0.564  -0.993 -0.729  -0.876 -0.845  -0.734 -0.807  -0.587 -0.733  -0.467 -0.620  -0.350 -0.504  -0.242 -0.379  -0.143 -0.247  -0.043 -0.115  0.056 0.018  0.149 0.153  0.223 0.301  0.297 0.449  0.371 0.597  0.415 0.752  0.415 0.917  0.415 0.850  0.415 0.685  0.415 0.519  0.415 0.354  0.415 0.189  0.415 0.023  0.415 -0.142  0.443 -0.304  0.476 -0.466  0.508 -0.629  0.540 -0.791  0.617 -0.929  0.744 -1.032  0.892 -1.106  1.047 -1.149  1.212 -1.149  1.378 -1.149  1.402 -1.008
2#apa#apa14#app1416/l  -0.244 1.681  -0.244 1.611  -0.244 1.540  -0.244 1.470  -0.244 1.400  -0.244 1.329  -0.244 1.259  -0.244 1.189  -0.244 1.118  -0.235 1.049  -0.218 0.981  -0.201 0.913  -0.184 0.845  -0.167 0.776  -0.150 0.708  -0.133 0.640  -0.115 0.572  -0.098 0.503  -0.081 0.435  -0.064 0.367  -0.047 0.299  -0.017 0.235  0.014 0.172  0.046 0.110  0.077 0.047  0.108 -0.016  0.140 -0.079  0.153 -0.146  0.153 -0.217  0.153 -0.287  0.153 -0.357  0.153 -0.428  0.153 -0.498  0.153 -0.568  0.153 -0.638  0.153 -0.709  0.153 -0.779  0.153 -0.849  0.153 -0.920  0.153 -0.990  0.153 -1.060  0.153 -1.131  0.153 -1.201  0.153 -1.271  0.153 -1.342  0.153 -1.412  0.153 -1.482  0.153 -1.552  0.153 -1.623  0.153 -1.693
2#apa#apa14#app1416/m  -1.023 0.437  -1.168 0.425  -1.157 0.271  -1.087 0.131  -1.023 -0.010  -1.023 -0.167  -1.023 -0.324  -1.023 -0.480  -1.023 -0.637  -1.023 -0.793  -0.939 -0.866  -0.878 -0.771  -0.878 -0.615  -0.878 -0.458  -0.846 -0.305  -0.808 -0.154  -0.770 -0.002  -0.733 0.150  -0.723 0.303  -0.612 0.413  -0.588 0.560  -0.453 0.582  -0.297 0.580  -0.187 0.470  -0.076 0.359  0.053 0.292  0.169 0.226  0.239 0.086  0.280 -0.061  0.280 -0.217  0.280 -0.374  0.280 -0.530  0.358 -0.499  0.425 -0.370  0.458 -0.221  0.528 -0.081  0.605 0.055  0.692 0.185  0.779 0.315  0.870 0.437  1.020 0.453  1.131 0.563  1.266 0.523  1.406 0.453  1.439 0.317  1.439 0.160  1.503 0.019  1.573 -0.121  1.584 -0.275  1.584 -0.432
2#apa#apa14#app1416/n  -1.077 0.386  -1.077 0.279  -1.069 0.174  -1.022 0.079  -0.974 -0.017  -0.926 -0.112  -0.882 -0.209  -0.882 -0.315  -0.882 -0.422  -0.882 -0.529  -0.882 -0.636  -0.882 -0.742  -0.882 -0.723  -0.882 -0.616  -0.846 -0.518  -0.798 -0.422  -0.750 -0.327  -0.703 -0.231  -0.687 -0.128  -0.687 -0.022  -0.623 0.059  -0.548 0.134  -0.472 0.210  -0.397 0.285  -0.321 0.361  -0.246 0.436  -0.170 0.512  -0.092 0.581  0.014 0.581  0.121 0.581  0.228 0.581  0.335 0.581  0.442 0.581  0.530 0.536  0.605 0.461  0.681 0.385  0.756 0.310  0.832 0.234  0.907 0.159  0.983 0.083  1.058 0.008  1.134 -0.068  1.209 -0.143  1.292 -0.200  1.399 -0.200  1.493 -0.232  1.568 -0.307  1.644 -0.383  1.657 -0.484  1.657 -0.591
2#apa#apa14#app1416/o  -0.155 0.724  -0.290 0.724  -0.364 0.785  -0.364 0.921  -0.451 0.846  -0.547 0.751  -0.574 0.626  -0.590 0.498  -0.686 0.402  -0.782 0.306  -0.783 0.171  -0.783 0.036  -0.783 -0.099  -0.783 -0.235  -0.768 -0.368  -0.725 -0.496  -0.683 -0.625  -0.640 -0.753  -0.597 -0.882  -0.574 -1.013  -0.574 -1.149  -0.450 -1.160  -0.315 -1.160  -0.179 -1.160  -0.044 -1.160  0.091 -1.160  0.227 -1.160  0.308 -1.072  0.368 -0.951  0.429 -0.830  0.489 -0.709  0.550 -0.588  0.610 -0.467  0.671 -0.346  0.732 -0.224  0.792 -0.103  0.853 0.018  0.876 0.141  0.834 0.270  0.791 0.398  0.748 0.527  0.705 0.655  0.682 0.787  0.682 0.922  0.594 1.021  0.499 1.117  0.403 1.213  0.307 1.308  0.190 1.352  0.054 1.352
2#apa#apa14#app1416/p  -0.357 0.273  -0.357 0.467  -0.410 0.608  -0.500 0.533  -0.438 0.349  -0.377 0.165  -0.357 -0.026  -0.357 -0.220  -0.357 -0.414  -0.344 -0.606  -0.282 -0.790  -0.221 -0.975  -0.147 -1.153  -0.060 -1.327  -0.022 -1.512  -0.022 -1.706  -0.022 -1.575  -0.197 -1.549  -0.258 -1.365  -0.319 -1.181  -0.381 -0.997  -0.442 -0.813  -0.504 -0.629  -0.525 -0.438  -0.525 -0.244  -0.525 -0.050  -0.525 0.144  -0.525 0.338  -0.484 0.523  -0.397 0.696  -0.310 0.870  -0.224 1.044  -0.071 1.111  0.123 1.111  0.317 1.111  0.511 1.111  0.705 1.111  0.899 1.111  1.093 1.111  1.151 0.974  1.151 0.780  1.141 0.589  1.054 0.415  0.949 0.262  0.765 0.201  0.581 0.139  0.392 0.106  0.198 0.106  0.004 0.106  -0.190 0.106
2#apa#apa14#app1416/q  0.181 0.948  0.181 1.070  0.181 1.191  0.075 1.207  -0.047 1.207  -0.159 1.166  -0.267 1.112  -0.373 1.052  -0.474 0.985  -0.575 0.918  -0.676 0.850  -0.769 0.773  -0.852 0.686  -0.852 0.564  -0.852 0.443  -0.774 0.354  -0.673 0.303  -0.552 0.303  -0.434 0.318  -0.325 0.372  -0.217 0.427  -0.129 0.510  -0.043 0.595  0.043 0.681  0.052 0.581  0.124 0.489  0.181 0.391  0.181 0.270  0.187 0.149  0.217 0.031  0.246 -0.086  0.276 -0.204  0.305 -0.322  0.310 -0.443  0.310 -0.564  0.310 -0.686  0.310 -0.807  0.310 -0.929  0.310 -1.050  0.310 -1.172  0.310 -1.293  0.310 -1.415  0.310 -1.536  0.310 -1.610  0.321 -1.494  0.407 -1.408  0.493 -1.322  0.584 -1.247  0.697 -1.239  0.697 -1.118
2#apa#apa14#app1416/r  -0.845 0.518  -0.965 0.518  -1.008 0.486  -0.923 0.402  -0.842 0.314  -0.804 0.201  -0.766 0.087  -0.728 -0.027  -0.690 -0.140  -0.652 -0.254  -0.615 -0.368  -0.577 -0.482  -0.539 -0.595  -0.501 -0.709  -0.463 -0.823  -0.455 -0.942  -0.455 -1.061  -0.455 -1.181  -0.455 -1.168  -0.455 -1.048  -0.455 -0.928  -0.455 -0.809  -0.455 -0.689  -0.455 -0.569  -0.452 -0.450  -0.399 -0.342  -0.345 -0.235  -0.292 -0.128  -0.238 -0.021  -0.184 0.087  -0.131 0.194  -0.077 0.301  0.026 0.346  0.142 0.375  0.259 0.405  0.375 0.434  0.491 0.463  0.608 0.492  0.721 0.526  0.806 0.611  0.891 0.696  1.003 0.713  1.123 0.713  1.243 0.713  1.363 0.713  1.483 0.713  1.570 0.635  1.655 0.550  1.687 0.443  1.687 0.323
2#apa#apa14#app1416/s  1.318 1.147  1.181 1.147  1.044 1.147  0.907 1.147  0.771 1.147  0.634 1.147  0.498 1.143  0.376 1.081  0.253 1.020  0.131 0.959  0.008 0.898  -0.114 0.837  -0.236 0.775  -0.359 0.714  -0.481 0.653  -0.597 0.583  -0.694 0.486  -0.791 0.389  -0.842 0.274  -0.842 0.137  -0.782 0.037  -0.660 -0.024  -0.538 -0.085  -0.415 -0.146  -0.292 -0.203  -0.155 -0.203  -0.018 -0.203  0.119 -0.203  0.256 -0.203  0.393 -0.203  0.529 -0.203  0.666 -0.203  0.778 -0.228  0.778 -0.365  0.752 -0.486  0.630 -0.547  0.507 -0.608  0.385 -0.669  0.262 -0.730  0.140 -0.792  0.018 -0.853  -0.105 -0.914  -0.227 -0.975  -0.355 -1.013  -0.492 -1.013  -0.623 -1.038  -0.745 -1.099  -0.868 -1.160  -0.990 -1.222  -1.112 -1.283
2#apa#apa14#app1416/t  -0.039 2.025  -0.039 1.867  -0.039 1.710  -0.039 1.552  -0.039 1.395  -0.039 1.238  -0.039 1.080  -0.039 0.923  -0.039 0.765  -0.039 0.608  -0.039 0.451  -0.077 0.298  -0.115 0.145  -0.154 -0.008  -0.192 -0.160  -0.214 -0.315  -0.214 -0.472  -0.214 -0.630  -0.214 -0.787  -0.214 -0.945  -0.214 -1.102  -0.079 -1.124  0.078 -1.124  0.236 -1.124  0.393 -1.124  0.550 -1.124  0.708 -1.124  0.865 -1.124  0.998 -1.124  0.841 -1.124  0.728 -1.017  0.617 -0.906  0.505 -0.794  0.394 -0.683  0.283 -0.572  0.171 -0.460  0.060 -0.349  -0.051 -0.238  -0.162 -0.126  -0.274 -0.015  -0.385 0.096  -0.496 0.207  -0.592 0.330  -0.662 0.471  -0.732 0.612  -0.638 0.726  -0.511 0.800  -0.354 0.800  -0.197 0.800  -0.039 0.800
2#apa#apa14#app1416/u  -0.834 1.075  -0.834 0.973  -0.834 0.870  -0.834 0.767  -0.834 0.665  -0.834 0.562  -0.834 0.459  -0.834 0.357  -0.834 0.254  -0.834 0.151  -0.834 0.049  -0.834 -0.054  -0.834 -0.157  -0.834 -0.259  -0.834 -0.362  -0.788 -0.446  -0.715 -0.518  -0.643 -0.591  -0.588 -0.671  -0.588 -0.774  -0.588 -0.876  -0.500 -0.891  -0.398 -0.891  -0.300 -0.870  -0.208 -0.824  -0.116 -0.778  -0.024 -0.732  0.067 -0.686  0.157 -0.637  0.230 -0.564  0.302 -0.492  0.375 -0.419  0.448 -0.347  0.520 -0.274  0.593 -0.201  0.665 -0.129  0.738 -0.056  0.811 0.016  0.883 0.089  0.917 0.185  0.950 0.283  0.982 0.380  1.015 0.478  1.047 0.575  1.080 0.672  1.112 0.770  1.160 0.858  1.233 0.930  1.305 1.003  1.378 1.075
2#apa#apa14#app1416/v  -0.790 0.530  -0.790 0.401  -0.790 0.272  -0.790 0.143  -0.790 0.014  -0.769 -0.112  -0.728 -0.234  -0.687 -0.357  -0.647 -0.479  -0.606 -0.602  -0.597 -0.729  -0.597 -0.859  -0.597 -0.988  -0.597 -1.117  -0.570 -1.235  -0.479 -1.326  -0.404 -1.377  -0.404 -1.248  -0.364 -1.128  -0.307 -1.013  -0.249 -0.897  -0.180 -0.790  -0.088 -0.699  -0.005 -0.602  0.053 -0.487  0.111 -0.371  0.169 -0.256  0.175 -0.128  0.175 0.001  0.175 0.130  0.290 0.144  0.368 0.093  0.368 -0.036  0.368 0.067  0.368 0.196  0.368 0.325  0.421 0.442  0.479 0.557  0.536 0.673  0.594 0.788  0.652 0.904  0.709 1.019  0.754 1.138  0.754 1.267  0.821 1.369  0.912 1.460  0.892 1.440  0.800 1.348  0.754 1.238  0.754 1.109
2#apa#apa14#app1416/w  -1.210 0.791  -1.034 0.791  -0.955 0.657  -0.900 0.491  -0.844 0.325  -0.789 0.158  -0.789 -0.017  -0.789 -0.193  -0.789 -0.368  -0.789 -0.544  -0.772 -0.715  -0.694 -0.872  -0.616 -1.029  -0.579 -1.196  -0.553 -1.260  -0.474 -1.104  -0.396 -0.947  -0.369 -0.778  -0.369 -0.602  -0.369 -0.427  -0.363 -0.253  -0.266 -0.107  -0.169 0.039  -0.071 0.185  0.026 0.331  0.052 0.498  0.052 0.487  0.052 0.312  0.052 0.136  0.052 -0.039  0.052 -0.215  0.052 -0.390  0.052 -0.565  0.111 -0.682  0.280 -0.664  0.404 -0.540  0.516 -0.407  0.613 -0.261  0.711 -0.115  0.808 0.031  0.894 0.181  0.894 0.356  0.894 0.532  0.964 0.686  1.061 0.832  1.158 0.978  1.256 1.124  1.314 1.281  1.314 1.457  1.314 1.632
2#apa#apa14#app1416/x  -1.228 1.092  -1.093 1.227  -0.935 1.228  -0.764 1.142  -0.607 1.036  -0.472 0.901  -0.336 0.765  -0.232 0.607  -0.147 0.436  -0.078 0.258  -0.032 0.072  0.015 -0.114  0.061 -0.299  0.130 -0.475  0.237 -0.634  0.343 -0.794  0.449 -0.953  0.466 -1.140  0.466 -1.004  0.585 -0.861  0.655 -0.699  0.655 -0.507  0.655 -0.315  0.655 -0.124  0.655 0.068  0.655 0.259  0.655 0.451  0.655 0.642  0.655 0.834  0.655 1.025  0.566 1.180  0.431 1.245  0.295 1.109  0.225 0.933  0.165 0.752  0.104 0.570  0.044 0.388  -0.017 0.206  -0.078 0.025  -0.098 -0.163  -0.098 -0.355  -0.172 -0.524  -0.278 -0.684  -0.384 -0.843  -0.487 -1.004  -0.573 -1.176  -0.659 -1.347  -0.663 -1.537  -0.848 -1.544  -0.851 -1.356
2#apa#apa14#app1416/y  -0.514 0.915  -0.509 1.048  -0.376 1.039  -0.314 0.915  -0.253 0.792  -0.191 0.668  -0.129 0.544  -0.081 0.415  -0.037 0.284  0.007 0.153  0.019 0.017  0.019 -0.122  0.048 -0.048  0.084 0.085  0.120 0.219  0.157 0.352  0.193 0.486  0.230 0.619  0.266 0.752  0.302 0.886  0.339 1.019  0.375 1.152  0.411 1.286  0.419 1.206  0.419 1.068  0.419 0.929  0.419 0.791  0.388 0.657  0.355 0.523  0.321 0.389  0.288 0.254  0.286 0.116  0.284 -0.022  0.223 -0.145  0.161 -0.269  0.099 -0.393  0.037 -0.516  -0.025 -0.640  -0.086 -0.764  -0.148 -0.887  -0.210 -1.011  -0.272 -1.134  -0.334 -1.258  -0.396 -1.382  -0.457 -1.505  -0.514 -1.630  -0.514 -1.769  -0.504 -1.905  -0.443 -2.028  -0.381 -2.152
2#apa#apa14#app1416/z  -0.986 0.969  -1.077 1.059  -1.157 1.145  -1.030 1.145  -0.906 1.119  -0.785 1.078  -0.663 1.038  -0.542 0.997  -0.423 0.952  -0.308 0.895  -0.194 0.838  -0.080 0.781  0.035 0.723  0.149 0.666  0.265 0.615  0.393 0.615  0.429 0.523  0.398 0.408  0.307 0.317  0.217 0.227  0.127 0.136  0.029 0.054  -0.077 -0.017  -0.183 -0.088  -0.290 -0.159  -0.396 -0.230  -0.496 -0.309  -0.586 -0.400  -0.676 -0.490  -0.767 -0.580  -0.742 -0.623  -0.614 -0.623  -0.486 -0.623  -0.358 -0.623  -0.230 -0.623  -0.102 -0.623  0.026 -0.623  0.154 -0.623  0.281 -0.630  0.405 -0.661  0.529 -0.692  0.653 -0.723  0.777 -0.754  0.901 -0.785  1.027 -0.800  1.155 -0.800  1.283 -0.800  1.411 -0.800  1.539 -0.800  1.666 -0.800
