2#apb#apb35#app3562/4  -1.014 0.644  -0.966 0.581  -0.978 0.399  -1.031 0.220  -1.090 0.043  -1.150 -0.133  -1.215 -0.307  -1.282 -0.481  -1.181 -0.544  -1.002 -0.494  -0.818 -0.467  -0.632 -0.456  -0.448 -0.431  -0.263 -0.411  -0.077 -0.403  0.109 -0.399  0.295 -0.399  0.481 -0.410  0.665 -0.436  0.851 -0.442  1.008 -0.421  0.948 -0.244  0.888 -0.068  0.828 0.108  0.768 0.284  0.708 0.460  0.648 0.637  0.588 0.813  0.528 0.989  0.468 1.165  0.408 1.342  0.348 1.518  0.315 1.446  0.297 1.261  0.283 1.075  0.270 0.889  0.258 0.704  0.246 0.518  0.225 0.333  0.200 0.148  0.175 -0.036  0.154 -0.221  0.134 -0.406  0.114 -0.591  0.078 -0.774  0.043 -0.957  0.006 -1.139  -0.032 -1.321  -0.073 -1.503  -0.085 -1.685
2#apb#apb35#app3562/5  -0.292 0.922  -0.277 0.871  -0.318 0.687  -0.366 0.506  -0.436 0.331  -0.507 0.156  -0.577 -0.018  -0.650 -0.191  -0.610 -0.139  -0.473 -0.013  -0.325 0.102  -0.152 0.173  0.033 0.210  0.219 0.232  0.405 0.225  0.544 0.098  0.661 -0.049  0.731 -0.221  0.767 -0.405  0.779 -0.592  0.761 -0.779  0.681 -0.949  0.560 -1.091  0.425 -1.222  0.288 -1.350  0.104 -1.378  -0.083 -1.402  -0.268 -1.417  -0.448 -1.364  -0.613 -1.274  -0.614 -1.112  -0.568 -0.930  -0.521 -0.748  -0.475 -0.565  -0.428 -0.383  -0.382 -0.201  -0.335 -0.018  -0.289 0.164  -0.242 0.346  -0.195 0.529  -0.149 0.711  -0.102 0.894  -0.056 1.076  -0.001 1.253  0.167 1.335  0.352 1.370  0.539 1.386  0.726 1.398  0.913 1.412  1.100 1.426
2#apb#apb35#app3562/7  -0.311 0.838  -0.332 0.731  -0.356 0.626  -0.387 0.522  -0.452 0.444  -0.527 0.368  -0.569 0.445  -0.584 0.550  -0.524 0.628  -0.449 0.702  -0.353 0.751  -0.267 0.816  -0.172 0.868  -0.073 0.914  0.028 0.947  0.136 0.947  0.238 0.981  0.338 1.020  0.438 1.040  0.533 1.075  0.564 0.997  0.562 0.889  0.531 0.785  0.498 0.681  0.462 0.579  0.425 0.477  0.396 0.372  0.368 0.267  0.341 0.162  0.308 0.059  0.270 -0.043  0.233 -0.145  0.195 -0.247  0.157 -0.348  0.122 -0.451  0.087 -0.554  0.053 -0.657  0.019 -0.760  -0.012 -0.864  -0.039 -0.969  -0.065 -1.075  -0.091 -1.180  -0.121 -1.284  -0.158 -1.386  -0.196 -1.488  -0.233 -1.590  -0.245 -1.697  -0.252 -1.806  -0.262 -1.914  -0.274 -2.022
2#apb#apb35#app3562/N  -1.598 0.932  -1.480 0.804  -1.329 0.700  -1.158 0.662  -0.974 0.674  -0.791 0.693  -0.609 0.722  -0.430 0.764  -0.266 0.846  -0.100 0.925  0.015 0.821  0.005 0.638  -0.048 0.462  -0.101 0.285  -0.152 0.108  -0.205 -0.068  -0.265 -0.242  -0.326 -0.416  -0.401 -0.584  -0.477 -0.752  -0.555 -0.918  -0.635 -1.084  -0.712 -1.251  -0.673 -1.214  -0.560 -1.069  -0.454 -0.919  -0.356 -0.762  -0.258 -0.606  -0.161 -0.450  -0.063 -0.294  0.057 -0.155  0.181 -0.019  0.299 0.121  0.400 0.275  0.501 0.430  0.614 0.574  0.740 0.708  0.887 0.814  1.048 0.811  1.074 0.630  1.065 0.447  1.029 0.267  0.988 0.087  0.941 -0.091  0.896 -0.270  0.854 -0.449  0.834 -0.630  0.846 -0.813  0.888 -0.993  0.976 -1.153
2#apb#apb35#app3562/.  1.797 0.168  1.717 0.168  1.637 0.168  1.557 0.168  1.476 0.168  1.396 0.168  1.316 0.168  1.236 0.168  1.155 0.168  1.075 0.168  0.995 0.168  0.915 0.168  0.834 0.168  0.754 0.168  0.674 0.168  0.594 0.168  0.514 0.168  0.433 0.168  0.353 0.168  0.273 0.168  0.193 0.168  0.112 0.168  0.032 0.168  -0.048 0.168  -0.128 0.168  -0.209 0.168  -0.289 0.168  -0.369 0.168  -0.449 0.168  -0.530 0.168  -0.610 0.168  -0.690 0.168  -0.770 0.168  -0.851 0.168  -0.931 0.168  -1.011 0.168  -1.011 0.088  -1.011 0.008  -1.011 -0.072  -1.011 -0.152  -1.011 -0.233  -1.011 -0.313  -1.011 -0.393  -1.011 -0.473  -1.011 -0.554  -1.011 -0.634  -1.011 -0.714  -1.011 -0.794  -1.011 -0.875  -1.011 -0.955
2#apb#apb35#app3562/S  -1.171 -0.894  -1.073 -0.789  -0.976 -0.684  -0.884 -0.574  -0.792 -0.464  -0.699 -0.355  -0.600 -0.252  -0.501 -0.148  -0.404 -0.043  -0.314 0.068  -0.223 0.179  -0.132 0.289  -0.033 0.393  0.067 0.496  0.164 0.601  0.249 0.716  0.334 0.832  0.419 0.947  0.502 1.064  0.584 1.181  0.668 1.297  0.733 1.423  0.715 1.420  0.652 1.294  0.602 1.160  0.579 1.020  0.574 0.877  0.574 0.734  0.574 0.590  0.584 0.448  0.592 0.305  0.600 0.162  0.592 0.018  0.583 -0.124  0.566 -0.266  0.518 -0.401  0.456 -0.530  0.383 -0.652  0.287 -0.759  0.181 -0.854  0.065 -0.937  -0.068 -0.991  -0.204 -1.032  -0.346 -1.054  -0.487 -1.050  -0.629 -1.027  -0.767 -0.989  -0.904 -0.948  -1.031 -0.882  -1.158 -0.816
2#apb#apb35#app3562/a  0.421 0.580  0.421 0.759  0.421 0.938  0.421 1.117  0.334 1.262  0.158 1.280  -0.012 1.237  -0.155 1.129  -0.285 1.006  -0.417 0.885  -0.555 0.772  -0.673 0.641  -0.762 0.486  -0.845 0.328  -0.894 0.156  -0.946 -0.016  -1.021 -0.178  -1.090 -0.342  -1.103 -0.521  -1.110 -0.699  -1.075 -0.874  -0.985 -1.024  -0.875 -1.165  -0.715 -1.122  -0.553 -1.048  -0.396 -0.961  -0.273 -0.832  -0.152 -0.700  -0.033 -0.567  0.087 -0.434  0.201 -0.296  0.314 -0.157  0.388 0.006  0.460 0.170  0.551 0.322  0.663 0.461  0.766 0.608  0.849 0.748  0.818 0.573  0.736 0.417  0.658 0.260  0.621 0.085  0.592 -0.091  0.578 -0.270  0.572 -0.448  0.572 -0.627  0.641 -0.786  0.737 -0.937  0.890 -1.026  1.050 -1.106
2#apb#apb35#app3562/l  -0.857 -1.311  -0.782 -1.394  -0.649 -1.358  -0.536 -1.275  -0.445 -1.166  -0.356 -1.055  -0.292 -0.928  -0.228 -0.801  -0.158 -0.677  -0.088 -0.554  -0.029 -0.425  0.016 -0.290  0.061 -0.155  0.106 -0.020  0.181 0.099  0.267 0.212  0.353 0.325  0.406 0.453  0.437 0.592  0.467 0.731  0.499 0.869  0.539 1.006  0.579 1.142  0.610 1.281  0.636 1.421  0.629 1.558  0.528 1.534  0.427 1.436  0.346 1.319  0.265 1.202  0.195 1.078  0.125 0.954  0.062 0.827  0.013 0.693  -0.035 0.560  -0.084 0.426  -0.134 0.293  -0.183 0.160  -0.233 0.027  -0.278 -0.108  -0.291 -0.249  -0.303 -0.391  -0.316 -0.533  -0.317 -0.675  -0.317 -0.817  -0.308 -0.957  -0.244 -1.084  -0.180 -1.211  -0.095 -1.324  -0.006 -1.435
2#apb#apb35#app3562/i  -1.311 -0.993  -1.179 -0.943  -1.046 -0.893  -0.934 -0.812  -0.833 -0.711  -0.733 -0.611  -0.638 -0.506  -0.544 -0.400  -0.450 -0.294  -0.373 -0.176  -0.309 -0.049  -0.246 0.078  -0.182 0.204  -0.113 0.328  -0.023 0.437  0.067 0.547  0.156 0.657  0.242 0.770  0.316 0.891  0.391 1.011  0.465 1.132  0.537 1.254  0.571 1.391  0.614 1.527  0.605 1.455  0.560 1.320  0.507 1.189  0.443 1.062  0.380 0.935  0.322 0.806  0.273 0.673  0.225 0.540  0.177 0.406  0.135 0.271  0.094 0.135  0.052 -0.000  0.014 -0.137  -0.017 -0.276  -0.048 -0.414  -0.086 -0.550  -0.127 -0.686  -0.168 -0.822  -0.104 -0.944  -0.029 -1.064  0.061 -1.168  0.187 -1.232  0.319 -1.283  0.456 -1.317  0.594 -1.352  0.732 -1.386
2#apb#apb35#app3562/n  -0.231 0.686  -0.275 0.555  -0.326 0.426  -0.380 0.300  -0.434 0.173  -0.484 0.044  -0.524 -0.088  -0.565 -0.220  -0.620 -0.345  -0.694 -0.461  -0.768 -0.578  -0.823 -0.703  -0.867 -0.834  -0.930 -0.956  -1.006 -1.071  -1.051 -1.184  -0.983 -1.079  -0.909 -0.963  -0.857 -0.835  -0.806 -0.707  -0.733 -0.590  -0.655 -0.477  -0.576 -0.363  -0.502 -0.247  -0.433 -0.127  -0.365 -0.007  -0.296 0.112  -0.209 0.219  -0.120 0.324  -0.030 0.430  0.060 0.534  0.152 0.637  0.244 0.739  0.349 0.825  0.474 0.882  0.600 0.940  0.734 0.938  0.871 0.918  1.007 0.895  1.087 0.786  1.134 0.662  1.134 0.524  1.134 0.386  1.164 0.251  1.193 0.116  1.193 -0.022  1.193 -0.160  1.203 -0.296  1.242 -0.428  1.282 -0.561
2#apb#apb35#app3562/a  0.862 1.297  0.693 1.297  0.526 1.274  0.361 1.235  0.199 1.186  0.038 1.133  -0.106 1.044  -0.251 0.955  -0.390 0.860  -0.528 0.761  -0.665 0.661  -0.779 0.536  -0.892 0.410  -0.965 0.257  -1.036 0.103  -1.081 -0.060  -1.116 -0.225  -1.133 -0.393  -1.122 -0.561  -1.080 -0.725  -0.910 -0.725  -0.741 -0.725  -0.582 -0.682  -0.434 -0.601  -0.294 -0.505  -0.162 -0.399  -0.046 -0.278  0.060 -0.145  0.147 -0.001  0.223 0.150  0.308 0.296  0.427 0.416  0.521 0.547  0.475 0.523  0.380 0.383  0.284 0.244  0.246 0.079  0.208 -0.087  0.177 -0.253  0.164 -0.419  0.213 -0.581  0.284 -0.733  0.372 -0.879  0.521 -0.939  0.686 -0.977  0.854 -0.987  1.024 -0.987  1.191 -0.970  1.355 -0.926  1.518 -0.882
2#apb#apb35#app3562/S  -1.172 -1.248  -1.172 -1.171  -1.104 -1.049  -1.017 -0.936  -0.930 -0.822  -0.844 -0.708  -0.758 -0.593  -0.666 -0.484  -0.567 -0.381  -0.468 -0.278  -0.376 -0.169  -0.291 -0.054  -0.206 0.061  -0.120 0.176  -0.034 0.290  0.053 0.404  0.139 0.518  0.215 0.639  0.289 0.761  0.364 0.883  0.433 1.008  0.501 1.134  0.570 1.259  0.640 1.384  0.699 1.514  0.642 1.418  0.597 1.282  0.552 1.146  0.522 1.007  0.510 0.865  0.510 0.722  0.518 0.579  0.525 0.436  0.533 0.293  0.535 0.150  0.535 0.007  0.535 -0.136  0.524 -0.278  0.504 -0.419  0.449 -0.551  0.356 -0.658  0.251 -0.756  0.139 -0.844  0.005 -0.891  -0.134 -0.926  -0.275 -0.950  -0.416 -0.939  -0.558 -0.919  -0.699 -0.899  -0.841 -0.878
2#apb#apb35#app3562/t  0.622 1.939  0.512 1.782  0.430 1.607  0.360 1.427  0.316 1.239  0.282 1.049  0.228 0.864  0.160 0.683  0.091 0.502  0.015 0.325  -0.061 0.147  -0.128 -0.034  -0.194 -0.216  -0.264 -0.396  -0.336 -0.576  -0.404 -0.757  -0.460 -0.940  -0.434 -1.127  -0.290 -1.219  -0.098 -1.224  0.090 -1.177  0.276 -1.126  0.455 -1.053  0.634 -0.980  0.814 -0.909  0.994 -0.839  1.151 -0.727  1.196 -0.627  1.019 -0.549  0.841 -0.472  0.664 -0.395  0.487 -0.318  0.309 -0.241  0.132 -0.164  -0.045 -0.087  -0.223 -0.010  -0.400 0.067  -0.577 0.144  -0.755 0.221  -0.932 0.299  -1.109 0.376  -1.286 0.453  -1.174 0.400  -0.991 0.339  -0.798 0.336  -0.605 0.336  -0.413 0.349  -0.223 0.388  -0.034 0.427  0.156 0.466
2#apb#apb35#app3562/.  1.675 0.279  1.606 0.268  1.538 0.256  1.470 0.245  1.401 0.234  1.333 0.222  1.265 0.211  1.196 0.199  1.128 0.188  1.059 0.177  0.991 0.165  0.923 0.154  0.854 0.142  0.786 0.131  0.718 0.120  0.649 0.108  0.581 0.097  0.513 0.085  0.444 0.074  0.376 0.063  0.308 0.051  0.239 0.040  0.171 0.028  0.103 0.017  0.034 0.006  -0.034 -0.006  -0.103 -0.017  -0.171 -0.028  -0.239 -0.040  -0.308 -0.051  -0.376 -0.063  -0.444 -0.074  -0.513 -0.085  -0.581 -0.097  -0.649 -0.108  -0.718 -0.120  -0.786 -0.131  -0.854 -0.142  -0.923 -0.154  -0.991 -0.165  -1.059 -0.177  -1.128 -0.188  -1.196 -0.199  -1.265 -0.211  -1.333 -0.222  -1.401 -0.234  -1.470 -0.245  -1.538 -0.256  -1.606 -0.268  -1.675 -0.279
2#apb#apb35#app3562/1  0.491 1.192  0.472 1.261  0.453 1.331  0.442 1.400  0.459 1.413  0.465 1.345  0.441 1.278  0.417 1.210  0.394 1.142  0.370 1.074  0.347 1.006  0.328 0.937  0.310 0.867  0.291 0.798  0.273 0.728  0.254 0.659  0.236 0.589  0.217 0.520  0.195 0.452  0.170 0.385  0.144 0.318  0.118 0.251  0.092 0.184  0.066 0.117  0.040 0.049  0.014 -0.018  -0.012 -0.085  -0.036 -0.152  -0.061 -0.220  -0.085 -0.287  -0.110 -0.355  -0.135 -0.422  -0.159 -0.490  -0.184 -0.557  -0.208 -0.625  -0.235 -0.692  -0.263 -0.758  -0.291 -0.824  -0.319 -0.890  -0.347 -0.957  -0.375 -1.023  -0.403 -1.089  -0.433 -1.154  -0.465 -1.218  -0.497 -1.283  -0.529 -1.347  -0.561 -1.411  -0.584 -1.479  -0.598 -1.549  -0.612 -1.620
2#apb#apb35#app3562/2  -0.099 1.218  -0.232 1.175  -0.343 1.074  -0.446 0.967  -0.472 1.047  -0.418 1.189  -0.301 1.276  -0.176 1.362  -0.043 1.417  0.104 1.399  0.237 1.326  0.313 1.195  0.368 1.057  0.387 0.907  0.407 0.757  0.380 0.608  0.354 0.458  0.324 0.310  0.273 0.167  0.222 0.025  0.167 -0.116  0.086 -0.244  0.004 -0.371  -0.080 -0.497  -0.184 -0.608  -0.287 -0.718  -0.409 -0.808  -0.532 -0.895  -0.676 -0.934  -0.824 -0.922  -0.883 -0.796  -0.890 -0.647  -0.862 -0.501  -0.778 -0.375  -0.653 -0.297  -0.516 -0.232  -0.366 -0.231  -0.215 -0.238  -0.083 -0.307  0.046 -0.387  0.171 -0.471  0.290 -0.566  0.408 -0.661  0.520 -0.762  0.630 -0.866  0.745 -0.964  0.877 -1.039  1.008 -1.115  1.152 -1.160  1.297 -1.206
2#apb#apb35#app3562/B  -0.196 0.944  -0.229 0.725  -0.292 0.504  -0.356 0.284  -0.414 0.061  -0.468 -0.162  -0.558 -0.374  -0.619 -0.595  -0.690 -0.813  -0.730 -0.886  -0.684 -0.660  -0.639 -0.435  -0.593 -0.210  -0.548 0.016  -0.502 0.241  -0.456 0.466  -0.411 0.692  -0.365 0.917  -0.320 1.142  -0.181 1.279  0.036 1.353  0.261 1.387  0.487 1.355  0.700 1.273  0.853 1.109  0.871 0.886  0.789 0.673  0.643 0.496  0.486 0.328  0.321 0.168  0.133 0.039  -0.078 -0.048  0.007 0.081  0.221 0.163  0.448 0.185  0.669 0.133  0.845 -0.006  0.992 -0.179  0.992 -0.408  0.940 -0.629  0.798 -0.806  0.618 -0.949  0.431 -1.082  0.219 -1.168  -0.001 -1.231  -0.229 -1.260  -0.458 -1.276  -0.688 -1.276  -0.915 -1.246  -1.140 -1.200
2#apb#apb35#app3562/i  -1.043 -1.176  -0.943 -1.051  -0.856 -0.918  -0.780 -0.777  -0.692 -0.644  -0.602 -0.512  -0.509 -0.381  -0.414 -0.252  -0.326 -0.119  -0.248 0.021  -0.170 0.161  -0.074 0.289  0.020 0.418  0.071 0.563  0.007 0.468  -0.068 0.327  -0.146 0.187  -0.225 0.048  -0.296 -0.096  -0.364 -0.241  -0.409 -0.393  -0.437 -0.550  -0.449 -0.709  -0.446 -0.869  -0.392 -1.019  -0.267 -1.092  -0.111 -1.113  0.046 -1.086  0.200 -1.046  0.341 -0.971  0.479 -0.894  0.479 -0.734  0.479 -0.574  0.479 -0.414  0.479 -0.254  0.479 -0.094  0.479 0.067  0.479 0.227  0.479 0.387  0.479 0.547  0.479 0.707  0.479 0.867  0.479 1.027  0.479 1.187  0.479 1.347  0.479 1.507  0.479 1.667  0.479 1.827  0.479 1.987  0.479 2.147
2#apb#apb35#app3562/g  0.408 1.091  0.435 1.275  0.313 1.359  0.153 1.263  0.033 1.119  -0.081 0.968  -0.197 0.820  -0.300 0.662  -0.330 0.479  -0.236 0.350  -0.060 0.378  0.088 0.491  0.212 0.633  0.334 0.776  0.442 0.878  0.386 0.700  0.340 0.516  0.308 0.330  0.263 0.148  0.210 -0.034  0.166 -0.217  0.125 -0.401  0.086 -0.586  0.049 -0.771  0.002 -0.954  -0.060 -1.132  -0.120 -1.311  -0.180 -1.490  -0.279 -1.650  -0.411 -1.781  -0.579 -1.753  -0.644 -1.576  -0.666 -1.388  -0.677 -1.200  -0.677 -1.012  -0.642 -0.827  -0.596 -0.644  -0.531 -0.468  -0.452 -0.296  -0.373 -0.125  -0.263 0.028  -0.153 0.182  -0.032 0.326  0.101 0.460  0.244 0.580  0.411 0.669  0.582 0.748  0.763 0.800  0.950 0.811  1.135 0.778
