2#apb#apb07#app0707/G  0.516 0.741  0.636 0.908  0.653 1.091  0.467 1.176  0.266 1.214  0.062 1.210  -0.138 1.172  -0.333 1.108  -0.518 1.020  -0.698 0.921  -0.852 0.790  -0.983 0.632  -1.110 0.472  -1.201 0.288  -1.293 0.104  -1.288 -0.099  -1.275 -0.304  -1.167 -0.474  -1.044 -0.638  -0.865 -0.736  -0.681 -0.827  -0.483 -0.870  -0.279 -0.897  -0.074 -0.898  0.131 -0.893  0.334 -0.873  0.530 -0.814  0.714 -0.732  0.859 -0.587  0.913 -0.389  0.865 -0.190  0.728 -0.041  0.545 0.051  0.341 0.046  0.146 -0.019  -0.047 -0.086  -0.236 -0.168  -0.424 -0.250  -0.587 -0.303  -0.391 -0.245  -0.189 -0.208  0.015 -0.180  0.219 -0.160  0.424 -0.160  0.629 -0.160  0.835 -0.160  1.040 -0.166  1.245 -0.174  1.450 -0.174  1.590 -0.068
2#apb#apb07#app0707/J  -0.277 0.732  -0.350 0.762  -0.278 0.594  -0.195 0.431  -0.108 0.270  -0.006 0.119  0.106 -0.026  0.217 -0.171  0.322 -0.321  0.426 -0.471  0.516 -0.629  0.577 -0.801  0.605 -0.973  0.533 -1.141  0.410 -1.271  0.261 -1.370  0.080 -1.398  -0.099 -1.405  -0.275 -1.355  -0.451 -1.306  -0.593 -1.192  -0.731 -1.072  -0.833 -0.927  -0.899 -0.756  -0.965 -0.585  -0.987 -0.404  -1.006 -0.222  -0.968 -0.053  -0.875 0.105  -0.702 0.159  -0.529 0.217  -0.362 0.292  -0.195 0.367  -0.029 0.442  0.138 0.517  0.305 0.592  0.472 0.667  0.639 0.742  0.806 0.817  0.973 0.892  1.139 0.967  1.082 0.975  0.901 0.949  0.720 0.926  0.537 0.911  0.355 0.898  0.172 0.885  -0.010 0.876  -0.193 0.876  -0.376 0.876
2#apb#apb07#app0707/o  0.126 0.290  0.187 0.406  0.191 0.536  0.164 0.666  0.094 0.781  0.035 0.900  -0.065 0.985  -0.197 1.004  -0.330 1.001  -0.457 0.968  -0.575 0.905  -0.685 0.829  -0.791 0.747  -0.870 0.643  -0.932 0.524  -0.993 0.405  -1.011 0.273  -1.029 0.140  -1.040 0.008  -1.002 -0.120  -0.964 -0.249  -0.925 -0.377  -0.844 -0.483  -0.763 -0.590  -0.682 -0.697  -0.601 -0.804  -0.484 -0.865  -0.362 -0.921  -0.240 -0.975  -0.107 -0.993  0.026 -1.011  0.158 -1.025  0.283 -0.978  0.408 -0.930  0.533 -0.882  0.645 -0.814  0.740 -0.719  0.835 -0.625  0.914 -0.520  0.963 -0.395  1.012 -0.271  1.047 -0.143  1.056 -0.010  1.064 0.124  1.060 0.256  1.016 0.383  0.972 0.509  0.915 0.626  0.807 0.704  0.698 0.783
2#apb#apb07#app0707/y  -0.304 1.539  -0.462 1.446  -0.587 1.305  -0.695 1.149  -0.743 0.966  -0.786 0.782  -0.796 0.592  -0.792 0.405  -0.734 0.225  -0.651 0.059  -0.523 -0.081  -0.365 -0.179  -0.188 -0.184  -0.022 -0.102  0.115 0.029  0.213 0.188  0.293 0.360  0.353 0.539  0.405 0.721  0.438 0.907  0.451 1.096  0.461 1.285  0.412 1.342  0.367 1.158  0.342 0.971  0.327 0.782  0.312 0.593  0.301 0.404  0.291 0.214  0.288 0.025  0.298 -0.164  0.309 -0.353  0.327 -0.542  0.353 -0.729  0.379 -0.917  0.399 -1.105  0.371 -1.292  0.342 -1.480  0.237 -1.626  0.090 -1.706  -0.079 -1.622  -0.170 -1.468  -0.228 -1.288  -0.247 -1.103  -0.231 -0.914  -0.216 -0.726  -0.111 -0.568  -0.006 -0.410  0.146 -0.304  0.314 -0.215
2#apb#apb07#app0707/n  -0.806 1.222  -0.811 1.172  -0.786 1.006  -0.762 0.839  -0.738 0.673  -0.714 0.507  -0.689 0.341  -0.658 0.175  -0.624 0.011  -0.591 -0.154  -0.548 -0.316  -0.502 -0.478  -0.457 -0.639  -0.423 -0.804  -0.393 -0.969  -0.383 -1.134  -0.417 -1.299  -0.496 -1.245  -0.491 -1.077  -0.486 -0.909  -0.457 -0.744  -0.415 -0.581  -0.374 -0.419  -0.327 -0.257  -0.272 -0.099  -0.218 0.060  -0.163 0.219  -0.108 0.378  -0.052 0.536  0.004 0.695  0.060 0.853  0.119 1.010  0.218 1.146  0.345 1.204  0.489 1.139  0.567 0.990  0.646 0.842  0.703 0.685  0.742 0.522  0.781 0.358  0.821 0.195  0.862 0.032  0.904 -0.131  0.945 -0.293  0.970 -0.459  0.990 -0.626  1.010 -0.793  1.009 -0.960  0.997 -1.128  0.979 -1.295
2#apb#apb07#app0707/e  -0.808 -0.721  -0.738 -0.605  -0.629 -0.521  -0.510 -0.453  -0.385 -0.394  -0.266 -0.325  -0.150 -0.252  -0.034 -0.177  0.070 -0.087  0.174 0.004  0.270 0.101  0.350 0.213  0.429 0.325  0.494 0.446  0.549 0.573  0.604 0.699  0.640 0.831  0.663 0.967  0.685 1.103  0.679 1.239  0.652 1.368  0.524 1.407  0.389 1.380  0.263 1.334  0.157 1.246  0.052 1.158  -0.033 1.053  -0.090 0.928  -0.148 0.803  -0.205 0.677  -0.242 0.545  -0.277 0.412  -0.312 0.279  -0.347 0.145  -0.356 0.008  -0.362 -0.129  -0.368 -0.267  -0.374 -0.405  -0.353 -0.539  -0.316 -0.672  -0.279 -0.804  -0.241 -0.937  -0.204 -1.070  -0.143 -1.193  -0.078 -1.314  -0.012 -1.435  0.053 -1.556  0.121 -1.676  0.190 -1.796  0.259 -1.915
2#apb#apb07#app0707/r  1.300 0.788  1.352 0.955  1.359 1.120  1.260 1.263  1.131 1.379  0.969 1.377  0.860 1.249  0.765 1.102  0.676 0.950  0.590 0.797  0.503 0.644  0.423 0.489  0.347 0.331  0.271 0.172  0.193 0.015  0.107 -0.138  0.021 -0.291  -0.066 -0.444  -0.139 -0.603  -0.211 -0.763  -0.285 -0.922  -0.363 -1.079  -0.434 -1.239  -0.490 -1.406  -0.445 -1.464  -0.391 -1.297  -0.353 -1.125  -0.315 -0.954  -0.277 -0.783  -0.266 -0.608  -0.266 -0.433  -0.266 -0.257  -0.266 -0.082  -0.266 0.094  -0.266 0.269  -0.266 0.445  -0.266 0.620  -0.293 0.792  -0.341 0.872  -0.380 0.701  -0.411 0.528  -0.435 0.355  -0.460 0.181  -0.485 0.007  -0.510 -0.167  -0.534 -0.341  -0.558 -0.514  -0.582 -0.688  -0.607 -0.862  -0.631 -1.036
2#apb#apb07#app0707/K  -0.736 1.484  -0.871 1.670  -0.923 1.600  -0.875 1.373  -0.824 1.146  -0.772 0.920  -0.719 0.694  -0.665 0.468  -0.614 0.242  -0.564 0.015  -0.528 -0.214  -0.509 -0.445  -0.509 -0.677  -0.523 -0.909  -0.557 -1.138  -0.548 -1.075  -0.440 -0.869  -0.294 -0.690  -0.144 -0.512  0.006 -0.335  0.156 -0.158  0.306 0.019  0.457 0.196  0.607 0.373  0.757 0.551  0.907 0.728  1.057 0.905  1.139 0.897  1.067 0.681  0.928 0.495  0.795 0.305  0.627 0.145  0.445 0.003  0.247 -0.119  0.031 -0.201  -0.191 -0.268  -0.417 -0.320  -0.646 -0.335  -0.848 -0.245  -0.689 -0.159  -0.462 -0.194  -0.242 -0.266  -0.036 -0.372  0.172 -0.475  0.382 -0.575  0.593 -0.673  0.805 -0.766  1.017 -0.860  1.220 -0.974  1.423 -1.086
2#apb#apb07#app0707/a  0.320 0.591  0.276 0.748  0.213 0.898  0.131 1.039  0.003 1.131  -0.143 1.204  -0.304 1.234  -0.465 1.260  -0.603 1.176  -0.741 1.088  -0.824 0.950  -0.899 0.805  -0.962 0.656  -0.989 0.495  -1.015 0.334  -1.026 0.173  -1.000 0.011  -0.973 -0.150  -0.927 -0.303  -0.835 -0.438  -0.742 -0.572  -0.628 -0.684  -0.489 -0.770  -0.339 -0.826  -0.177 -0.848  -0.041 -0.782  0.084 -0.677  0.177 -0.545  0.257 -0.403  0.327 -0.256  0.362 -0.097  0.397 0.063  0.421 0.224  0.437 0.386  0.451 0.549  0.442 0.602  0.458 0.440  0.482 0.279  0.513 0.118  0.548 -0.041  0.582 -0.201  0.619 -0.360  0.656 -0.519  0.694 -0.678  0.737 -0.835  0.788 -0.991  0.838 -1.146  0.896 -1.298  0.969 -1.444  1.042 -1.590
2#apb#apb07#app0707/t  -0.166 1.163  -0.264 1.015  -0.321 0.844  -0.366 0.671  -0.405 0.496  -0.441 0.320  -0.474 0.144  -0.488 -0.034  -0.488 -0.214  -0.478 -0.392  -0.444 -0.568  -0.409 -0.745  -0.364 -0.918  -0.315 -1.091  -0.268 -1.264  -0.226 -1.438  -0.189 -1.614  -0.106 -1.529  -0.017 -1.373  0.072 -1.217  0.161 -1.061  0.250 -0.905  0.339 -0.749  0.428 -0.594  0.517 -0.438  0.606 -0.282  0.694 -0.126  0.783 0.030  0.872 0.186  0.961 0.341  1.050 0.497  1.139 0.653  1.228 0.809  1.167 0.758  1.005 0.683  0.835 0.626  0.660 0.586  0.485 0.550  0.307 0.525  0.129 0.500  -0.050 0.485  -0.228 0.471  -0.407 0.460  -0.587 0.460  -0.766 0.460  -0.945 0.473  -1.123 0.492  -1.276 0.565  -1.127 0.645  -0.947 0.645
2#apb#apb07#app0707/z  -0.165 0.858  -0.267 0.885  -0.313 0.995  -0.230 1.114  -0.116 1.201  0.024 1.249  0.169 1.267  0.316 1.279  0.463 1.272  0.607 1.252  0.743 1.194  0.853 1.098  0.945 0.985  0.998 0.853  0.962 0.716  0.860 0.609  0.742 0.522  0.618 0.443  0.488 0.375  0.352 0.318  0.216 0.261  0.081 0.201  -0.053 0.142  -0.172 0.055  -0.290 -0.033  -0.366 -0.159  -0.423 -0.290  -0.407 -0.437  -0.384 -0.581  -0.321 -0.714  -0.256 -0.846  -0.172 -0.968  -0.089 -1.089  -0.015 -1.217  0.039 -1.351  0.011 -1.482  -0.136 -1.471  -0.264 -1.400  -0.385 -1.318  -0.460 -1.192  -0.535 -1.065  -0.553 -0.922  -0.553 -0.775  -0.553 -0.628  -0.530 -0.485  -0.477 -0.348  -0.423 -0.210  -0.326 -0.115  -0.191 -0.054  -0.057 0.006
