2#app#app12#app1218/A  -0.528 -0.660  -0.484 -0.487  -0.446 -0.313  -0.414 -0.138  -0.383 0.038  -0.352 0.213  -0.320 0.389  -0.289 0.564  -0.258 0.740  -0.226 0.915  -0.195 1.091  -0.164 1.266  -0.132 1.442  -0.076 1.604  -0.040 1.767  0.100 1.753  0.100 1.574  0.100 1.396  0.133 1.226  0.169 1.056  0.169 0.878  0.169 0.700  0.169 0.521  0.220 0.355  0.239 0.181  0.285 0.014  0.309 -0.159  0.351 -0.327  0.378 -0.499  0.428 -0.669  0.448 -0.844  0.518 -0.993  0.547 -1.167  0.588 -1.339  0.651 -1.490  0.581 -1.344  0.502 -1.185  0.422 -1.025  0.342 -0.866  0.262 -0.707  0.309 -0.604  0.213 -0.521  0.035 -0.521  -0.143 -0.521  -0.321 -0.521  -0.500 -0.521  -0.678 -0.521  -0.856 -0.521  -0.988 -0.632  -0.946 -0.590
2#app#app12#app1218/l  0.129 1.728  0.129 1.646  0.129 1.563  0.129 1.481  0.124 1.400  0.098 1.322  0.072 1.243  0.046 1.165  0.025 1.087  0.025 1.004  0.025 0.922  0.025 0.840  0.025 0.757  0.025 0.675  0.025 0.593  0.025 0.510  0.003 0.433  -0.033 0.359  -0.070 0.286  -0.080 0.327  -0.080 0.410  -0.080 0.459  -0.080 0.376  -0.080 0.294  -0.080 0.212  -0.080 0.130  -0.080 0.047  -0.080 -0.035  -0.080 -0.117  -0.080 -0.200  -0.080 -0.282  -0.080 -0.364  -0.080 -0.447  -0.080 -0.529  -0.061 -0.607  -0.024 -0.680  0.013 -0.754  0.025 -0.833  0.025 -0.916  0.025 -0.998  0.025 -1.080  0.025 -1.163  0.025 -1.245  0.025 -1.327  0.025 -1.410  0.025 -1.492  0.025 -1.574  0.025 -1.656  0.025 -1.739  0.025 -1.821
2#app#app12#app1218/e  -0.644 -0.415  -0.613 -0.542  -0.454 -0.542  -0.296 -0.542  -0.137 -0.542  -0.010 -0.511  0.035 -0.371  0.159 -0.288  0.244 -0.215  0.349 -0.162  0.378 -0.028  0.490 0.084  0.602 0.196  0.625 0.345  0.656 0.473  0.752 0.536  0.752 0.694  0.752 0.853  0.752 1.011  0.752 1.170  0.752 1.328  0.626 1.361  0.498 1.331  0.436 1.234  0.277 1.234  0.244 1.109  0.133 0.997  -0.010 0.972  -0.038 0.825  -0.156 0.727  -0.264 0.676  -0.264 0.517  -0.344 0.392  -0.456 0.280  -0.517 0.147  -0.591 0.019  -0.644 -0.118  -0.644 -0.276  -0.644 -0.435  -0.644 -0.593  -0.644 -0.752  -0.644 -0.910  -0.541 -1.026  -0.517 -1.175  -0.407 -1.287  -0.295 -1.399  -0.161 -1.482  -0.019 -1.553  0.095 -1.662  0.244 -1.684
2#app#app12#app1218/a  -0.809 1.380  -0.685 1.351  -0.625 1.257  -0.472 1.257  -0.437 1.137  -0.288 1.133  -0.134 1.133  0.020 1.133  0.140 1.051  0.249 0.943  0.357 0.834  0.431 0.710  0.487 0.580  0.555 0.454  0.555 0.300  0.555 0.146  0.572 -0.000  0.679 -0.110  0.679 -0.264  0.741 -0.355  0.803 -0.263  0.889 -0.145  0.927 -0.007  0.921 0.141  0.803 0.177  0.737 0.265  0.583 0.265  0.429 0.265  0.275 0.265  0.128 0.237  -0.010 0.168  -0.130 0.076  -0.239 -0.033  -0.362 -0.107  -0.437 -0.186  -0.514 -0.308  -0.622 -0.417  -0.685 -0.545  -0.752 -0.671  -0.809 -0.801  -0.809 -0.955  -0.809 -1.109  -0.770 -1.223  -0.685 -1.292  -0.586 -1.347  -0.433 -1.347  -0.279 -1.347  -0.125 -1.347  -0.065 -1.253  0.059 -1.223
2#app#app12#app1218/r  -0.481 0.771  -0.481 0.618  -0.481 0.465  -0.375 0.417  -0.304 0.335  -0.304 0.181  -0.304 0.028  -0.295 -0.122  -0.187 -0.231  -0.127 -0.359  -0.127 -0.513  -0.127 -0.666  -0.127 -0.820  -0.059 -0.957  0.009 -1.094  0.050 -1.238  0.050 -1.392  0.050 -1.545  0.050 -1.699  0.050 -1.561  0.050 -1.408  0.050 -1.255  0.050 -1.101  0.014 -0.963  -0.095 -0.854  -0.127 -0.714  -0.127 -0.561  -0.127 -0.407  -0.127 -0.254  -0.140 -0.114  -0.294 -0.114  -0.304 0.030  -0.304 0.183  -0.304 0.337  -0.304 0.490  -0.304 0.644  -0.278 0.771  -0.127 0.773  -0.127 0.927  0.005 0.948  0.050 1.057  0.135 1.126  0.288 1.126  0.442 1.126  0.591 1.135  0.700 1.244  0.829 1.303  0.982 1.303  1.136 1.303  1.289 1.303
2#app#app12#app1218/e  -1.159 -0.808  -0.992 -0.808  -0.831 -0.797  -0.713 -0.679  -0.558 -0.650  -0.431 -0.555  -0.291 -0.492  -0.133 -0.454  0.016 -0.379  0.152 -0.288  0.266 -0.169  0.280 -0.017  0.447 -0.017  0.582 0.014  0.622 0.141  0.740 0.189  0.740 0.356  0.805 0.458  0.899 0.530  0.899 0.697  0.899 0.863  0.899 1.030  0.899 1.196  0.785 1.249  0.618 1.249  0.452 1.249  0.285 1.249  0.266 1.103  0.111 1.091  0.102 0.933  -0.051 0.920  -0.072 0.774  -0.209 0.745  -0.236 0.589  -0.354 0.472  -0.471 0.354  -0.526 0.210  -0.526 0.044  -0.526 -0.123  -0.526 -0.289  -0.526 -0.456  -0.526 -0.622  -0.526 -0.789  -0.422 -0.912  -0.368 -1.056  -0.298 -1.194  -0.209 -1.324  -0.175 -1.476  -0.057 -1.594  -0.051 -1.758
2#app#app12#app1218/d  0.000 1.942  0.000 1.805  0.000 1.668  0.000 1.531  0.045 1.412  0.097 1.297  0.097 1.160  0.130 1.036  0.194 0.926  0.194 0.789  0.234 0.658  0.278 0.528  0.292 0.393  0.317 0.266  0.389 0.159  0.442 0.044  0.486 -0.075  0.499 -0.207  0.583 -0.309  0.583 -0.447  0.652 -0.416  0.680 -0.290  0.680 -0.153  0.599 -0.097  0.566 0.017  0.486 0.121  0.422 0.194  0.315 0.268  0.188 0.292  0.051 0.292  0.000 0.205  -0.118 0.173  -0.215 0.076  -0.312 -0.021  -0.409 -0.117  -0.506 -0.214  -0.582 -0.320  -0.631 -0.437  -0.680 -0.554  -0.680 -0.691  -0.680 -0.828  -0.680 -0.965  -0.680 -1.103  -0.680 -1.240  -0.667 -1.372  -0.582 -1.474  -0.525 -1.553  -0.388 -1.553  -0.291 -1.456  -0.194 -1.359
2#app#app12#app1218/f  0.810 0.817  0.756 0.956  0.702 1.094  0.642 1.230  0.557 1.306  0.455 1.425  0.322 1.491  0.196 1.576  0.041 1.564  -0.032 1.434  -0.116 1.357  -0.201 1.231  -0.201 1.071  -0.285 0.945  -0.285 0.784  -0.285 0.623  -0.285 0.463  -0.285 0.302  -0.285 0.141  -0.285 -0.020  -0.235 -0.159  -0.201 -0.306  -0.126 -0.436  -0.116 -0.593  -0.032 -0.718  -0.026 -0.877  0.064 -1.011  0.157 -1.141  0.271 -1.255  0.305 -1.401  0.379 -1.531  0.293 -1.430  0.188 -1.309  0.082 -1.187  -0.023 -1.066  -0.128 -0.944  -0.233 -0.823  -0.339 -0.701  -0.444 -0.580  -0.549 -0.459  -0.654 -0.337  -0.624 -0.278  -0.538 -0.203  -0.387 -0.193  -0.226 -0.193  -0.066 -0.193  0.082 -0.136  0.236 -0.109  0.397 -0.109  0.557 -0.109
2#app#app12#app1218/r  -0.193 -0.123  -0.193 -0.243  -0.193 -0.363  -0.174 -0.474  -0.089 -0.559  -0.027 -0.653  -0.027 -0.772  -0.027 -0.892  -0.027 -1.011  -0.027 -1.131  -0.027 -1.250  0.033 -1.345  0.118 -1.430  0.050 -1.451  -0.027 -1.409  -0.027 -1.289  -0.027 -1.169  -0.027 -1.050  -0.037 -0.933  -0.091 -0.826  -0.144 -0.719  -0.193 -0.611  -0.193 -0.491  -0.193 -0.372  -0.209 -0.256  -0.263 -0.149  -0.316 -0.042  -0.359 0.068  -0.359 0.187  -0.359 0.307  -0.359 0.426  -0.359 0.546  -0.359 0.665  -0.359 0.785  -0.327 0.872  -0.207 0.872  -0.193 0.978  -0.134 1.038  -0.027 1.051  -0.027 1.171  0.059 1.204  0.179 1.204  0.298 1.204  0.418 1.204  0.537 1.204  0.657 1.204  0.776 1.204  0.896 1.204  1.016 1.204  1.135 1.204
2#app#app12#app1218/o  0.211 1.415  0.111 1.314  0.010 1.214  -0.070 1.104  -0.101 0.993  -0.210 0.960  -0.245 0.853  -0.351 0.816  -0.389 0.712  -0.491 0.672  -0.521 0.542  -0.621 0.442  -0.632 0.304  -0.632 0.161  -0.632 0.019  -0.632 -0.123  -0.727 -0.226  -0.772 -0.350  -0.772 -0.492  -0.772 -0.634  -0.772 -0.776  -0.688 -0.834  -0.632 -0.921  -0.632 -1.063  -0.551 -1.155  -0.424 -1.219  -0.290 -1.256  -0.166 -1.212  -0.064 -1.115  0.076 -1.110  0.177 -1.009  0.211 -0.881  0.296 -0.791  0.424 -0.728  0.493 -0.628  0.560 -0.553  0.664 -0.491  0.728 -0.364  0.774 -0.233  0.774 -0.090  0.774 0.052  0.774 0.194  0.774 0.336  0.774 0.479  0.774 0.621  0.774 0.763  0.736 0.890  0.636 0.991  0.633 1.132  0.633 1.274
2#app#app12#app1218/m  -1.038 1.252  -0.918 1.049  -0.918 0.797  -0.918 0.544  -0.798 0.341  -0.798 0.088  -0.798 -0.164  -0.798 -0.417  -0.798 -0.670  -0.798 -0.897  -0.678 -0.765  -0.678 -0.512  -0.678 -0.259  -0.678 -0.006  -0.558 0.197  -0.558 0.449  -0.558 0.702  -0.438 0.835  -0.385 1.065  -0.280 1.252  -0.077 1.202  -0.077 0.949  -0.077 0.697  -0.077 0.444  -0.077 0.191  -0.077 -0.062  -0.074 -0.313  0.043 -0.517  0.043 -0.770  0.043 -1.023  0.048 -1.270  0.175 -1.138  0.283 -0.930  0.283 -0.677  0.287 -0.426  0.403 -0.221  0.403 0.032  0.523 0.235  0.523 0.487  0.643 0.620  0.744 0.772  0.764 0.539  0.884 0.336  0.946 0.109  1.027 -0.115  1.124 -0.344  1.199 -0.580  1.312 -0.806  1.425 -1.032  1.484 -1.270
