2#apa#apa14#app1472/@  0.092 0.210  0.092 0.361  0.035 0.181  0.006 -0.005  0.006 -0.198  0.006 -0.391  0.028 -0.562  0.150 -0.446  0.270 -0.298  0.386 -0.147  0.493 0.010  0.521 -0.114  0.521 -0.307  0.615 -0.367  0.676 -0.184  0.755 -0.009  0.779 0.178  0.779 0.371  0.779 0.564  0.779 0.757  0.779 0.950  0.707 1.126  0.620 1.299  0.444 1.326  0.251 1.326  0.058 1.326  -0.106 1.241  -0.261 1.125  -0.415 1.010  -0.569 0.894  -0.713 0.767  -0.829 0.613  -0.939 0.456  -0.960 0.265  -0.981 0.073  -1.003 -0.119  -1.023 -0.311  -1.023 -0.504  -1.023 -0.697  -0.930 -0.858  -0.814 -1.013  -0.654 -1.095  -0.464 -1.127  -0.274 -1.159  -0.081 -1.162  0.111 -1.158  0.298 -1.111  0.486 -1.067  0.675 -1.029  0.864 -0.991
2#apa#apa14#app1472/u  -0.332 1.214  -0.332 1.336  -0.332 1.459  -0.332 1.405  -0.332 1.282  -0.332 1.160  -0.332 1.037  -0.340 0.917  -0.395 0.807  -0.450 0.697  -0.505 0.588  -0.560 0.478  -0.611 0.368  -0.611 0.245  -0.611 0.123  -0.611 0.000  -0.611 -0.122  -0.611 -0.245  -0.611 -0.367  -0.611 -0.490  -0.611 -0.612  -0.611 -0.735  -0.529 -0.823  -0.442 -0.910  -0.355 -0.997  -0.332 -1.109  -0.332 -1.232  -0.293 -1.261  -0.206 -1.174  -0.120 -1.088  -0.033 -1.001  0.054 -0.915  0.140 -0.828  0.227 -0.741  0.314 -0.655  0.400 -0.568  0.487 -0.481  0.559 -0.383  0.627 -0.281  0.695 -0.179  0.763 -0.077  0.831 0.025  0.899 0.127  0.967 0.229  1.035 0.331  1.065 0.444  1.065 0.567  1.065 0.689  1.065 0.812  1.065 0.934
2#apa#apa14#app1472/g  0.400 0.769  0.400 0.881  0.400 0.994  0.400 1.106  0.363 1.182  0.254 1.190  0.174 1.270  0.087 1.301  -0.013 1.251  -0.114 1.200  -0.201 1.132  -0.281 1.052  -0.334 0.954  -0.384 0.853  -0.426 0.750  -0.426 0.638  -0.426 0.526  -0.426 0.413  -0.426 0.301  -0.396 0.218  -0.285 0.222  -0.206 0.301  -0.116 0.356  -0.013 0.366  -0.013 0.478  0.055 0.425  0.124 0.341  0.124 0.229  0.124 0.116  0.124 0.004  0.148 -0.103  0.198 -0.204  0.248 -0.304  0.262 -0.413  0.262 -0.526  0.262 -0.638  0.262 -0.750  0.262 -0.863  0.197 -0.948  0.124 -1.031  0.124 -1.143  0.124 -1.256  0.124 -1.368  0.091 -1.467  0.012 -1.546  -0.068 -1.626  -0.147 -1.705  -0.258 -1.709  -0.347 -1.650  -0.426 -1.571
2#apa#apa14#app1472/g  0.465 0.873  0.409 0.985  0.353 1.097  0.282 1.199  0.193 1.288  0.074 1.302  -0.052 1.302  -0.157 1.253  -0.245 1.165  -0.334 1.076  -0.423 0.987  -0.511 0.899  -0.537 0.784  -0.537 0.658  -0.537 0.533  -0.537 0.407  -0.537 0.282  -0.537 0.156  -0.537 0.031  -0.429 0.014  -0.303 0.014  -0.178 0.014  -0.083 0.064  -0.027 0.176  0.029 0.288  0.036 0.412  0.102 0.510  0.179 0.570  0.179 0.444  0.179 0.319  0.179 0.193  0.179 0.068  0.179 -0.058  0.179 -0.183  0.179 -0.308  0.179 -0.434  0.179 -0.559  0.179 -0.685  0.213 -0.805  0.253 -0.924  0.292 -1.043  0.322 -1.163  0.322 -1.289  0.322 -1.414  0.322 -1.540  0.275 -1.654  0.219 -1.766  0.143 -1.847  0.018 -1.847  -0.108 -1.847
2#apa#apa14#app1472/l  0.054 1.554  -0.017 1.554  -0.088 1.554  -0.101 1.497  -0.101 1.427  -0.088 1.358  -0.065 1.291  -0.043 1.224  -0.021 1.157  0.002 1.090  0.024 1.023  0.046 0.956  0.054 0.887  0.054 0.816  0.054 0.746  0.054 0.675  0.054 0.604  0.054 0.534  0.054 0.463  0.054 0.392  0.054 0.322  0.054 0.251  0.054 0.181  0.054 0.110  0.054 0.039  0.054 -0.031  0.054 -0.102  0.054 -0.173  0.054 -0.243  0.054 -0.314  0.054 -0.385  0.054 -0.455  0.054 -0.526  0.054 -0.596  0.054 -0.667  0.054 -0.738  0.042 -0.806  0.020 -0.873  -0.003 -0.940  -0.025 -1.007  -0.047 -1.074  -0.070 -1.141  -0.092 -1.208  -0.101 -1.278  -0.101 -1.348  -0.101 -1.419  -0.101 -1.489  -0.101 -1.560  -0.101 -1.631  -0.101 -1.701
2#apa#apa14#app1472/e  -0.173 0.376  -0.284 0.487  -0.383 0.593  -0.225 0.593  -0.079 0.546  0.062 0.476  0.203 0.405  0.327 0.311  0.438 0.200  0.579 0.158  0.725 0.186  0.836 0.298  0.915 0.423  0.915 0.580  0.812 0.696  0.701 0.807  0.545 0.811  0.387 0.811  0.230 0.811  0.072 0.811  -0.085 0.811  -0.243 0.811  -0.400 0.808  -0.549 0.758  -0.699 0.708  -0.848 0.658  -0.998 0.608  -1.043 0.483  -1.043 0.325  -1.043 0.168  -1.043 0.010  -0.994 -0.132  -0.906 -0.263  -0.819 -0.395  -0.732 -0.526  -0.644 -0.657  -0.531 -0.762  -0.400 -0.850  -0.269 -0.937  -0.138 -1.025  -0.007 -1.112  0.140 -1.146  0.298 -1.146  0.455 -1.146  0.613 -1.146  0.771 -1.146  0.927 -1.140  1.068 -1.070  1.209 -0.999  1.349 -0.929
2#apa#apa14#app1472/r  -0.456 1.484  -0.456 1.350  -0.456 1.216  -0.456 1.083  -0.456 0.949  -0.456 0.815  -0.456 0.681  -0.456 0.547  -0.456 0.413  -0.456 0.279  -0.456 0.145  -0.456 0.011  -0.456 -0.123  -0.456 -0.257  -0.456 -0.390  -0.433 -0.521  -0.391 -0.648  -0.348 -0.775  -0.306 -0.902  -0.264 -1.029  -0.221 -1.156  -0.179 -1.283  -0.179 -1.417  -0.179 -1.551  -0.179 -1.432  -0.179 -1.298  -0.179 -1.164  -0.179 -1.030  -0.145 -0.902  -0.103 -0.775  -0.060 -0.648  -0.018 -0.521  0.025 -0.394  0.067 -0.267  0.109 -0.139  0.152 -0.012  0.194 0.115  0.236 0.242  0.279 0.369  0.321 0.496  0.363 0.623  0.464 0.699  0.583 0.759  0.703 0.819  0.823 0.879  0.945 0.931  1.079 0.931  1.212 0.931  1.346 0.931  1.480 0.931
2#apa#apa14#app1472/s  0.308 0.977  0.308 1.084  0.308 1.192  0.308 1.300  0.246 1.257  0.169 1.181  0.075 1.148  -0.033 1.148  -0.141 1.148  -0.244 1.129  -0.340 1.081  -0.437 1.033  -0.533 0.984  -0.549 0.886  -0.549 0.778  -0.549 0.670  -0.599 0.584  -0.675 0.507  -0.688 0.431  -0.612 0.355  -0.536 0.279  -0.460 0.202  -0.383 0.126  -0.307 0.050  -0.231 -0.026  -0.134 -0.051  -0.026 -0.054  0.076 -0.088  0.178 -0.122  0.281 -0.156  0.383 -0.191  0.482 -0.228  0.530 -0.324  0.579 -0.421  0.627 -0.517  0.651 -0.619  0.651 -0.727  0.607 -0.825  0.559 -0.921  0.511 -1.017  0.445 -1.097  0.349 -1.145  0.252 -1.193  0.156 -1.241  0.060 -1.290  -0.037 -1.338  -0.133 -1.386  -0.225 -1.441  -0.301 -1.517  -0.377 -1.594
2#apa#apa14#app1472/_  -1.710 -0.362  -1.710 -0.271  -1.710 -0.180  -1.698 -0.102  -1.607 -0.102  -1.516 -0.102  -1.425 -0.102  -1.335 -0.102  -1.244 -0.102  -1.153 -0.102  -1.062 -0.102  -0.971 -0.102  -0.881 -0.102  -0.790 -0.102  -0.699 -0.102  -0.608 -0.102  -0.518 -0.102  -0.427 -0.102  -0.336 -0.102  -0.245 -0.102  -0.155 -0.102  -0.066 -0.081  0.022 -0.059  0.110 -0.037  0.198 -0.015  0.286 0.007  0.374 0.029  0.462 0.051  0.550 0.073  0.638 0.095  0.726 0.117  0.814 0.139  0.903 0.158  0.993 0.158  1.084 0.158  1.175 0.158  1.266 0.158  1.356 0.158  1.366 0.158  1.275 0.158  1.185 0.158  1.094 0.158  1.003 0.158  0.912 0.158  0.822 0.158  0.731 0.158  0.640 0.158  0.627 0.079  0.627 -0.011  0.627 -0.102
2#apa#apa14#app1472/_  -1.241 -0.145  -1.314 -0.145  -1.386 -0.145  -1.459 -0.145  -1.492 -0.145  -1.420 -0.145  -1.348 -0.145  -1.275 -0.145  -1.203 -0.145  -1.130 -0.145  -1.058 -0.145  -0.986 -0.145  -0.913 -0.145  -0.841 -0.145  -0.768 -0.145  -0.696 -0.144  -0.626 -0.127  -0.556 -0.109  -0.485 -0.091  -0.415 -0.074  -0.345 -0.056  -0.275 -0.039  -0.204 -0.021  -0.134 -0.004  -0.064 0.014  0.006 0.032  0.077 0.049  0.147 0.067  0.217 0.084  0.287 0.102  0.358 0.119  0.429 0.125  0.502 0.125  0.574 0.125  0.647 0.125  0.719 0.125  0.791 0.125  0.864 0.125  0.936 0.125  1.009 0.125  1.081 0.125  1.154 0.125  1.226 0.125  1.298 0.125  1.371 0.125  1.443 0.125  1.516 0.125  1.588 0.125  1.660 0.125  1.733 0.125
2#apa#apa14#app1472/w  -0.826 1.215  -1.005 1.215  -1.018 1.049  -1.018 0.871  -0.991 0.695  -0.956 0.519  -0.921 0.344  -0.886 0.169  -0.851 -0.006  -0.826 -0.182  -0.826 -0.361  -0.814 -0.537  -0.734 -0.697  -0.654 -0.856  -0.539 -0.991  -0.443 -1.044  -0.429 -0.868  -0.350 -0.708  -0.270 -0.549  -0.208 -0.381  -0.151 -0.212  -0.095 -0.042  -0.059 0.131  -0.059 0.309  -0.059 0.488  -0.059 0.612  -0.059 0.434  -0.059 0.255  -0.059 0.076  -0.059 -0.102  -0.059 -0.281  -0.059 -0.460  -0.002 -0.625  0.078 -0.785  0.188 -0.895  0.354 -0.865  0.481 -0.739  0.587 -0.596  0.687 -0.448  0.786 -0.299  0.885 -0.150  1.007 -0.021  1.133 0.106  1.260 0.232  1.283 0.401  1.283 0.580  1.283 0.758  1.283 0.937  1.349 1.088  1.475 1.215
2#apa#apa14#app1472/i  -0.516 1.609  -0.485 1.546  -0.453 1.483  -0.421 1.420  -0.390 1.356  -0.358 1.293  -0.327 1.230  -0.295 1.167  -0.263 1.104  -0.232 1.040  -0.200 0.977  -0.169 0.914  -0.137 0.851  -0.105 0.788  -0.074 0.724  -0.042 0.661  -0.011 0.598  0.021 0.535  0.053 0.472  0.084 0.408  0.116 0.345  0.145 0.282  0.145 0.211  0.145 0.140  0.145 0.070  0.145 -0.001  0.145 -0.072  0.145 -0.142  0.145 -0.213  0.145 -0.284  0.145 -0.354  0.145 -0.425  0.145 -0.496  0.145 -0.566  0.145 -0.637  0.145 -0.708  0.145 -0.778  0.145 -0.849  0.145 -0.920  0.145 -0.990  0.145 -1.061  0.145 -1.132  0.145 -1.202  0.145 -1.273  0.145 -1.343  0.145 -1.414  0.145 -1.485  0.145 -1.555  0.145 -1.626  0.145 -1.697
2#apa#apa14#app1472/l  -0.054 1.413  -0.054 1.486  -0.054 1.558  -0.054 1.549  -0.054 1.476  -0.054 1.404  -0.054 1.332  -0.054 1.259  -0.054 1.187  -0.054 1.115  -0.054 1.042  -0.054 0.970  -0.054 0.898  -0.054 0.825  -0.054 0.753  -0.054 0.681  -0.054 0.608  -0.054 0.536  -0.054 0.464  -0.054 0.391  -0.054 0.319  -0.054 0.247  -0.054 0.174  -0.054 0.102  -0.054 0.030  -0.054 -0.043  -0.054 -0.115  -0.054 -0.187  -0.054 -0.260  -0.054 -0.332  -0.040 -0.403  -0.023 -0.473  -0.005 -0.543  0.013 -0.613  0.030 -0.684  0.048 -0.754  0.065 -0.824  0.083 -0.894  0.100 -0.964  0.118 -1.034  0.122 -1.106  0.122 -1.179  0.122 -1.251  0.122 -1.323  0.122 -1.396  0.122 -1.468  0.122 -1.540  0.122 -1.550  0.122 -1.477  0.122 -1.405
2#apa#apa14#app1472/l  -0.139 1.256  -0.191 1.307  -0.242 1.359  -0.293 1.410  -0.228 1.413  -0.156 1.413  -0.139 1.357  -0.139 1.285  -0.139 1.212  -0.139 1.139  -0.139 1.067  -0.139 0.994  -0.139 0.922  -0.139 0.849  -0.137 0.777  -0.120 0.706  -0.102 0.636  -0.085 0.565  -0.067 0.495  -0.049 0.424  -0.032 0.354  -0.014 0.284  0.004 0.213  0.018 0.142  0.018 0.070  0.018 -0.003  0.018 -0.076  0.018 -0.148  0.028 -0.220  0.040 -0.292  0.052 -0.363  0.064 -0.435  0.076 -0.506  0.088 -0.578  0.100 -0.650  0.112 -0.721  0.124 -0.793  0.136 -0.864  0.147 -0.936  0.159 -1.008  0.171 -1.079  0.175 -1.152  0.175 -1.224  0.175 -1.297  0.175 -1.369  0.175 -1.442  0.175 -1.515  0.175 -1.587  0.175 -1.660  0.175 -1.732
2#apa#apa14#app1472/_  -1.701 -0.149  -1.631 -0.149  -1.560 -0.149  -1.490 -0.149  -1.419 -0.149  -1.349 -0.149  -1.278 -0.149  -1.208 -0.149  -1.137 -0.149  -1.068 -0.142  -0.999 -0.125  -0.931 -0.108  -0.863 -0.091  -0.794 -0.074  -0.726 -0.057  -0.658 -0.039  -0.589 -0.022  -0.521 -0.005  -0.453 0.012  -0.384 0.029  -0.316 0.046  -0.246 0.053  -0.176 0.053  -0.105 0.053  -0.035 0.053  0.036 0.053  0.106 0.053  0.177 0.053  0.247 0.053  0.318 0.053  0.388 0.053  0.458 0.053  0.529 0.053  0.599 0.053  0.670 0.053  0.740 0.053  0.811 0.053  0.881 0.053  0.952 0.053  1.022 0.053  1.093 0.053  1.163 0.053  1.234 0.053  1.304 0.053  1.374 0.053  1.445 0.053  1.515 0.053  1.525 0.113  1.525 0.184  1.525 0.254
2#apa#apa14#app1472/_  -1.516 -0.329  -1.516 -0.259  -1.516 -0.188  -1.506 -0.128  -1.436 -0.128  -1.366 -0.128  -1.295 -0.128  -1.225 -0.128  -1.155 -0.128  -1.085 -0.122  -1.016 -0.108  -0.947 -0.094  -0.878 -0.081  -0.809 -0.067  -0.740 -0.053  -0.671 -0.039  -0.602 -0.025  -0.533 -0.012  -0.464 0.002  -0.395 0.016  -0.326 0.030  -0.258 0.044  -0.189 0.057  -0.120 0.071  -0.050 0.074  0.021 0.074  0.091 0.074  0.161 0.074  0.232 0.074  0.302 0.074  0.372 0.074  0.443 0.074  0.513 0.074  0.583 0.074  0.654 0.074  0.724 0.074  0.794 0.074  0.865 0.074  0.935 0.074  1.005 0.074  1.075 0.074  1.146 0.074  1.216 0.074  1.286 0.074  1.357 0.074  1.427 0.074  1.497 0.074  1.568 0.074  1.638 0.074  1.708 0.074
2#apa#apa14#app1472/d  0.086 1.017  0.086 1.195  0.086 1.373  0.086 1.551  0.121 1.715  0.219 1.772  0.219 1.594  0.219 1.416  0.219 1.238  0.219 1.060  0.241 0.883  0.270 0.708  0.300 0.532  0.329 0.356  0.351 0.180  0.351 0.002  0.351 -0.176  0.386 -0.351  0.421 -0.526  0.456 -0.701  0.484 -0.805  0.484 -0.627  0.484 -0.448  0.472 -0.272  0.415 -0.103  0.359 0.066  0.242 0.197  0.074 0.221  -0.105 0.221  -0.283 0.221  -0.461 0.221  -0.621 0.177  -0.747 0.051  -0.862 -0.083  -0.941 -0.242  -1.007 -0.407  -1.064 -0.576  -1.079 -0.736  -0.950 -0.857  -0.801 -0.956  -0.653 -1.055  -0.490 -1.106  -0.312 -1.106  -0.134 -1.106  0.044 -1.106  0.208 -1.045  0.368 -0.967  0.537 -0.911  0.706 -0.855  0.617 -0.840
2#apa#apa14#app1472/e  -0.537 0.406  -0.391 0.406  -0.245 0.406  -0.099 0.406  0.032 0.469  0.163 0.534  0.294 0.600  0.433 0.628  0.579 0.628  0.725 0.628  0.795 0.704  0.795 0.850  0.692 0.954  0.589 1.057  0.449 1.072  0.317 1.039  0.214 0.935  0.104 0.842  -0.034 0.796  -0.173 0.750  -0.311 0.704  -0.450 0.657  -0.567 0.583  -0.648 0.462  -0.729 0.340  -0.810 0.219  -0.891 0.097  -0.972 -0.024  -0.981 -0.168  -0.981 -0.314  -0.981 -0.460  -0.981 -0.606  -0.938 -0.725  -0.807 -0.791  -0.677 -0.856  -0.546 -0.921  -0.401 -0.926  -0.255 -0.926  -0.109 -0.926  0.037 -0.926  0.183 -0.926  0.329 -0.926  0.475 -0.926  0.621 -0.926  0.767 -0.926  0.907 -0.888  1.046 -0.842  1.184 -0.796  1.323 -0.750  1.461 -0.704
2#apa#apa14#app1472/s  0.303 0.738  0.303 0.879  0.297 1.015  0.156 1.015  0.016 1.010  -0.110 0.947  -0.236 0.884  -0.363 0.820  -0.489 0.757  -0.597 0.668  -0.697 0.569  -0.797 0.469  -0.921 0.403  -1.047 0.340  -1.174 0.277  -1.300 0.213  -1.357 0.108  -1.357 -0.034  -1.274 -0.092  -1.133 -0.092  -0.991 -0.092  -0.850 -0.092  -0.709 -0.092  -0.568 -0.092  -0.427 -0.092  -0.285 -0.092  -0.144 -0.092  -0.003 -0.092  0.126 -0.042  0.253 0.021  0.379 0.085  0.505 0.148  0.638 0.185  0.779 0.185  0.901 0.140  1.001 0.040  1.101 -0.060  1.133 -0.188  1.133 -0.329  1.133 -0.470  1.133 -0.611  1.037 -0.693  0.910 -0.756  0.784 -0.819  0.658 -0.883  0.556 -0.970  0.492 -1.096  0.429 -1.222  0.366 -1.349  0.303 -1.475
