2#apb#apb17#app1792/A  -0.059 1.125  -0.163 1.049  -0.220 0.805  -0.311 0.570  -0.413 0.339  -0.539 0.124  -0.703 -0.068  -0.828 -0.284  -0.929 -0.515  -1.075 -0.721  -1.195 -0.942  -1.230 -0.988  -1.107 -0.767  -0.963 -0.562  -0.803 -0.367  -0.666 -0.155  -0.527 0.055  -0.373 0.256  -0.220 0.456  -0.059 0.651  0.101 0.846  0.297 1.004  0.495 1.160  0.693 1.318  0.944 1.320  1.125 1.187  1.151 0.938  1.132 0.688  1.088 0.439  0.971 0.217  0.850 -0.004  0.742 -0.233  0.629 -0.458  0.506 -0.678  0.404 -0.908  0.321 -1.146  0.233 -1.378  0.191 -1.232  0.024 -1.043  -0.143 -0.854  -0.310 -0.665  -0.477 -0.476  -0.643 -0.286  -0.446 -0.134  -0.200 -0.078  0.047 -0.023  0.293 0.032  0.540 0.081  0.788 0.129  1.036 0.176
2#apb#apb17#app1792/L  -0.124 1.177  -0.055 1.246  0.013 1.314  0.079 1.385  0.133 1.466  0.189 1.525  0.257 1.457  0.283 1.365  0.289 1.268  0.289 1.171  0.289 1.075  0.289 0.978  0.250 0.892  0.200 0.809  0.150 0.725  0.100 0.642  0.050 0.559  -0.002 0.478  -0.055 0.396  -0.107 0.315  -0.160 0.234  -0.212 0.152  -0.265 0.071  -0.316 -0.012  -0.367 -0.094  -0.417 -0.177  -0.468 -0.259  -0.513 -0.345  -0.557 -0.432  -0.600 -0.518  -0.619 -0.611  -0.619 -0.708  -0.619 -0.804  -0.550 -0.873  -0.482 -0.941  -0.387 -0.963  -0.293 -0.985  -0.198 -1.007  -0.103 -1.024  -0.006 -1.024  0.090 -1.024  0.187 -1.024  0.284 -1.024  0.381 -1.017  0.478 -1.010  0.574 -1.004  0.671 -0.997  0.764 -0.970  0.857 -0.942  0.949 -0.914
2#apb#apb17#app1792/M  -0.459 0.574  -0.513 0.434  -0.561 0.265  -0.616 0.099  -0.690 -0.060  -0.775 -0.213  -0.875 -0.357  -0.975 -0.501  -1.074 -0.645  -1.169 -0.792  -1.227 -0.952  -1.179 -0.871  -1.092 -0.718  -1.003 -0.567  -0.908 -0.420  -0.812 -0.273  -0.731 -0.118  -0.659 0.042  -0.587 0.202  -0.517 0.363  -0.446 0.523  -0.367 0.679  -0.262 0.817  -0.310 0.714  -0.351 0.544  -0.391 0.373  -0.426 0.201  -0.394 0.037  -0.266 -0.074  -0.093 -0.081  0.080 -0.057  0.249 -0.012  0.410 0.054  0.563 0.140  0.713 0.229  0.852 0.336  0.992 0.443  1.135 0.543  1.276 0.648  1.392 0.689  1.427 0.526  1.401 0.352  1.367 0.180  1.330 0.009  1.248 -0.145  1.163 -0.298  1.118 -0.467  1.071 -0.636  1.000 -0.796  0.941 -0.962
2#apb#apb17#app1792/N  -0.441 0.738  -0.385 0.762  -0.433 0.608  -0.491 0.457  -0.554 0.308  -0.626 0.163  -0.701 0.020  -0.793 -0.113  -0.885 -0.245  -0.955 -0.391  -1.022 -0.538  -1.094 -0.683  -1.126 -0.737  -1.057 -0.591  -0.979 -0.449  -0.897 -0.311  -0.812 -0.173  -0.746 -0.026  -0.692 0.126  -0.636 0.278  -0.560 0.420  -0.483 0.562  -0.397 0.699  -0.328 0.757  -0.283 0.609  -0.277 0.448  -0.262 0.287  -0.219 0.131  -0.172 -0.023  -0.124 -0.178  -0.075 -0.332  0.002 -0.474  0.100 -0.596  0.241 -0.675  0.382 -0.753  0.532 -0.798  0.689 -0.781  0.819 -0.686  0.948 -0.589  1.074 -0.487  1.178 -0.370  1.233 -0.218  1.287 -0.066  1.341 0.087  1.395 0.239  1.425 0.397  1.445 0.558  1.456 0.719  1.456 0.880  1.501 1.031
2#apb#apb17#app1792/O  -0.215 0.703  -0.168 0.813  -0.147 0.928  -0.214 0.886  -0.295 0.798  -0.372 0.707  -0.449 0.616  -0.525 0.525  -0.601 0.432  -0.676 0.340  -0.751 0.247  -0.821 0.151  -0.876 0.045  -0.932 -0.060  -0.988 -0.166  -1.025 -0.278  -1.052 -0.394  -1.074 -0.511  -1.048 -0.627  -0.999 -0.729  -0.905 -0.803  -0.812 -0.878  -0.695 -0.878  -0.576 -0.871  -0.457 -0.864  -0.342 -0.836  -0.229 -0.798  -0.116 -0.761  -0.003 -0.723  0.107 -0.676  0.211 -0.619  0.316 -0.562  0.421 -0.505  0.526 -0.447  0.612 -0.367  0.691 -0.278  0.770 -0.189  0.849 -0.099  0.923 -0.006  0.991 0.092  1.058 0.190  1.126 0.289  1.161 0.401  1.183 0.518  1.205 0.635  1.188 0.749  1.146 0.861  1.057 0.939  0.967 1.018  0.851 1.043
2#apb#apb17#app1792/P  -0.003 0.480  0.044 0.406  -0.009 0.230  -0.094 0.060  -0.149 -0.121  -0.203 -0.302  -0.258 -0.483  -0.315 -0.664  -0.388 -0.838  -0.473 -1.007  -0.549 -1.181  -0.623 -1.355  -0.707 -1.524  -0.721 -1.387  -0.723 -1.197  -0.725 -1.008  -0.727 -0.819  -0.729 -0.629  -0.732 -0.440  -0.734 -0.251  -0.736 -0.061  -0.738 0.128  -0.740 0.317  -0.742 0.507  -0.720 0.680  -0.542 0.744  -0.363 0.806  -0.184 0.866  -0.004 0.926  0.184 0.934  0.373 0.934  0.563 0.934  0.752 0.934  0.941 0.934  1.126 0.902  1.307 0.847  1.465 0.744  1.465 0.578  1.352 0.434  1.213 0.305  1.070 0.183  0.898 0.104  0.725 0.026  0.553 -0.052  0.381 -0.131  0.208 -0.209  0.035 -0.285  -0.153 -0.308  -0.341 -0.332  -0.529 -0.355
2#apb#apb17#app1792/Q  -0.438 0.903  -0.522 0.947  -0.652 0.810  -0.769 0.664  -0.855 0.492  -0.935 0.319  -1.002 0.139  -1.069 -0.040  -1.072 -0.231  -1.072 -0.422  -1.072 -0.614  -0.985 -0.769  -0.835 -0.876  -0.646 -0.907  -0.459 -0.892  -0.273 -0.846  -0.096 -0.774  0.080 -0.698  0.228 -0.580  0.369 -0.451  0.507 -0.318  0.643 -0.183  0.772 -0.042  0.875 0.119  0.979 0.280  1.006 0.467  1.005 0.658  0.967 0.843  0.881 1.014  0.745 1.142  0.573 1.219  0.386 1.258  0.232 1.206  0.128 1.045  0.024 0.884  -0.080 0.724  -0.184 0.563  -0.288 0.402  -0.165 0.316  -0.040 0.177  0.056 0.011  0.145 -0.158  0.231 -0.329  0.301 -0.506  0.353 -0.690  0.396 -0.877  0.428 -1.066  0.411 -1.255  0.382 -1.444  0.408 -1.634
2#apb#apb17#app1792/R  -0.430 0.848  -0.315 0.680  -0.350 0.453  -0.388 0.227  -0.428 0.002  -0.457 -0.226  -0.499 -0.450  -0.572 -0.667  -0.619 -0.891  -0.666 -1.115  -0.730 -1.238  -0.725 -1.009  -0.720 -0.780  -0.714 -0.551  -0.709 -0.322  -0.704 -0.093  -0.698 0.136  -0.693 0.365  -0.688 0.595  -0.598 0.784  -0.418 0.925  -0.226 1.047  -0.007 1.116  0.213 1.173  0.442 1.173  0.670 1.160  0.893 1.107  1.100 1.018  1.269 0.868  1.274 0.674  1.133 0.498  0.960 0.348  0.769 0.225  0.559 0.134  0.349 0.043  0.124 -0.002  -0.101 -0.043  -0.329 -0.066  -0.557 -0.072  -0.585 -0.040  -0.405 -0.183  -0.223 -0.322  -0.039 -0.458  0.148 -0.591  0.329 -0.732  0.504 -0.880  0.693 -1.009  0.883 -1.137  1.065 -1.275  1.216 -1.447
2#apb#apb17#app1792/S  0.974 1.177  0.985 1.279  0.858 1.279  0.733 1.260  0.611 1.223  0.490 1.185  0.373 1.135  0.257 1.081  0.142 1.027  0.028 0.969  -0.082 0.906  -0.193 0.843  -0.301 0.776  -0.400 0.695  -0.499 0.614  -0.594 0.530  -0.684 0.440  -0.716 0.326  -0.676 0.206  -0.574 0.145  -0.454 0.101  -0.331 0.070  -0.205 0.056  -0.078 0.042  0.049 0.027  0.173 0.000  0.297 -0.030  0.421 -0.061  0.537 -0.109  0.645 -0.177  0.750 -0.249  0.787 -0.354  0.773 -0.480  0.693 -0.568  0.589 -0.642  0.485 -0.716  0.377 -0.781  0.256 -0.821  0.135 -0.862  0.014 -0.902  -0.107 -0.942  -0.229 -0.981  -0.352 -1.013  -0.475 -1.046  -0.598 -1.078  -0.723 -1.105  -0.850 -1.116  -0.977 -1.126  -1.104 -1.128  -1.228 -1.103
2#apb#apb17#app1792/T  0.328 0.177  0.366 0.310  0.377 0.352  0.367 0.215  0.327 0.083  0.290 -0.050  0.256 -0.183  0.223 -0.317  0.182 -0.449  0.134 -0.578  0.086 -0.707  0.027 -0.831  -0.047 -0.947  -0.122 -1.064  -0.202 -1.176  -0.306 -1.260  -0.383 -1.368  -0.474 -1.347  -0.510 -1.214  -0.546 -1.081  -0.582 -0.948  -0.619 -0.815  -0.655 -0.682  -0.691 -0.549  -0.727 -0.416  -0.763 -0.282  -0.799 -0.149  -0.835 -0.016  -0.872 0.117  -0.908 0.250  -0.875 0.353  -0.766 0.438  -0.657 0.522  -0.522 0.549  -0.386 0.576  -0.252 0.606  -0.119 0.645  0.013 0.684  0.145 0.722  0.278 0.761  0.412 0.790  0.548 0.817  0.683 0.844  0.818 0.871  0.954 0.898  1.089 0.924  1.225 0.947  1.361 0.969  1.497 0.992  1.633 1.015
2#apb#apb17#app1792/U  -0.474 1.199  -0.377 1.216  -0.450 1.072  -0.506 0.920  -0.552 0.763  -0.600 0.608  -0.674 0.461  -0.747 0.315  -0.810 0.165  -0.871 0.013  -0.931 -0.138  -1.002 -0.285  -1.079 -0.429  -1.142 -0.579  -1.181 -0.737  -1.199 -0.898  -1.137 -1.000  -0.980 -0.964  -0.827 -0.909  -0.680 -0.837  -0.534 -0.764  -0.388 -0.691  -0.266 -0.587  -0.160 -0.463  -0.054 -0.338  0.052 -0.214  0.164 -0.096  0.280 0.020  0.395 0.135  0.511 0.251  0.625 0.368  0.736 0.487  0.848 0.606  0.961 0.724  1.088 0.827  1.214 0.930  1.179 0.784  1.106 0.637  1.016 0.502  0.923 0.367  0.820 0.241  0.709 0.121  0.599 0.001  0.536 -0.149  0.477 -0.302  0.469 -0.463  0.523 -0.612  0.640 -0.709  0.796 -0.758  0.952 -0.807
2#apb#apb17#app1792/V  -1.020 0.384  -0.976 0.488  -0.936 0.594  -0.891 0.696  -0.855 0.792  -0.841 0.750  -0.810 0.641  -0.788 0.530  -0.771 0.418  -0.755 0.306  -0.747 0.194  -0.739 0.081  -0.721 -0.030  -0.685 -0.137  -0.649 -0.245  -0.617 -0.353  -0.586 -0.462  -0.554 -0.570  -0.499 -0.670  -0.445 -0.769  -0.396 -0.871  -0.350 -0.974  -0.285 -1.065  -0.211 -1.151  -0.106 -1.136  -0.023 -1.074  0.038 -0.979  0.089 -0.878  0.140 -0.777  0.190 -0.676  0.241 -0.575  0.292 -0.474  0.345 -0.374  0.398 -0.274  0.451 -0.174  0.506 -0.075  0.563 0.023  0.621 0.120  0.678 0.218  0.740 0.312  0.804 0.406  0.868 0.499  0.932 0.592  1.000 0.682  1.069 0.772  1.138 0.862  1.199 0.957  1.255 1.055  1.318 1.149  1.381 1.243
2#apb#apb17#app1792/W  -0.970 0.661  -0.927 0.814  -0.879 0.822  -0.879 0.662  -0.899 0.505  -0.936 0.349  -0.977 0.195  -1.022 0.042  -1.054 -0.114  -1.073 -0.273  -1.080 -0.432  -1.076 -0.591  -1.039 -0.746  -0.935 -0.850  -0.794 -0.811  -0.694 -0.686  -0.591 -0.564  -0.488 -0.442  -0.392 -0.315  -0.297 -0.186  -0.204 -0.056  -0.111 0.074  -0.020 0.205  0.071 0.336  0.140 0.461  0.158 0.318  0.132 0.161  0.121 0.002  0.121 -0.158  0.104 -0.316  0.085 -0.474  0.085 -0.634  0.120 -0.789  0.234 -0.846  0.372 -0.770  0.494 -0.667  0.602 -0.551  0.693 -0.420  0.785 -0.289  0.863 -0.150  0.934 -0.007  1.005 0.136  1.073 0.281  1.139 0.426  1.206 0.571  1.254 0.723  1.301 0.876  1.349 1.028  1.409 1.176  1.486 1.316
2#apb#apb17#app1792/X  -1.235 1.198  -1.280 1.102  -1.198 0.950  -1.114 0.801  -1.003 0.669  -0.892 0.538  -0.773 0.413  -0.643 0.301  -0.513 0.188  -0.382 0.077  -0.245 -0.028  -0.108 -0.132  0.028 -0.237  0.162 -0.346  0.294 -0.456  0.426 -0.567  0.556 -0.679  0.636 -0.828  0.664 -0.995  0.597 -0.955  0.650 -0.792  0.704 -0.628  0.758 -0.465  0.811 -0.301  0.865 -0.137  0.919 0.026  0.972 0.190  1.026 0.353  1.080 0.517  1.134 0.680  1.183 0.841  1.011 0.841  0.854 0.787  0.709 0.694  0.571 0.592  0.441 0.479  0.311 0.366  0.176 0.260  0.032 0.166  -0.112 0.072  -0.257 -0.022  -0.392 -0.127  -0.518 -0.245  -0.644 -0.362  -0.770 -0.478  -0.897 -0.595  -1.024 -0.711  -1.124 -0.850  -1.210 -0.997  -1.235 -1.168
2#apb#apb17#app1792/Y  -1.282 1.050  -1.195 0.953  -1.137 0.807  -1.070 0.666  -0.980 0.538  -0.891 0.408  -0.806 0.276  -0.721 0.144  -0.623 0.025  -0.498 -0.069  -0.399 -0.188  -0.319 -0.323  -0.230 -0.452  -0.156 -0.587  -0.073 -0.460  0.010 -0.327  0.092 -0.193  0.174 -0.060  0.257 0.074  0.339 0.207  0.422 0.341  0.504 0.474  0.587 0.608  0.669 0.741  0.752 0.875  0.834 1.008  0.917 1.142  0.957 1.200  0.883 1.062  0.785 0.939  0.687 0.817  0.615 0.678  0.545 0.537  0.475 0.397  0.405 0.257  0.335 0.116  0.264 -0.024  0.194 -0.164  0.124 -0.305  0.061 -0.448  0.006 -0.595  -0.049 -0.742  -0.093 -0.892  -0.128 -1.045  -0.165 -1.198  -0.208 -1.348  -0.252 -1.499  -0.236 -1.653  -0.206 -1.806  -0.180 -1.961
2#apb#apb17#app1792/Z  -0.958 0.778  -1.059 0.841  -1.024 0.901  -0.895 0.941  -0.756 0.941  -0.617 0.941  -0.478 0.941  -0.338 0.941  -0.199 0.941  -0.061 0.957  0.076 0.982  0.212 1.008  0.351 1.023  0.490 1.034  0.622 1.055  0.605 0.931  0.555 0.801  0.504 0.674  0.424 0.560  0.344 0.445  0.265 0.331  0.181 0.220  0.087 0.118  -0.008 0.016  -0.103 -0.086  -0.192 -0.193  -0.281 -0.300  -0.374 -0.403  -0.473 -0.502  -0.571 -0.601  -0.662 -0.706  -0.748 -0.815  -0.818 -0.903  -0.745 -0.987  -0.611 -0.957  -0.478 -0.916  -0.339 -0.907  -0.200 -0.898  -0.062 -0.886  0.077 -0.872  0.216 -0.858  0.353 -0.840  0.489 -0.810  0.625 -0.780  0.761 -0.750  0.898 -0.723  1.035 -0.695  1.168 -0.658  1.301 -0.615  1.411 -0.662
