3#apb#apb18#app1830/P  -0.416 -1.792  -0.375 -1.697  -0.368 -1.594  -0.368 -1.490  -0.417 -1.400  -0.472 -1.312  -0.525 -1.222  -0.575 -1.130  -0.619 -1.036  -0.654 -0.939  -0.665 -0.835  -0.673 -0.732  -0.652 -0.630  -0.632 -0.527  -0.611 -0.425  -0.584 -0.325  -0.552 -0.226  -0.520 -0.126  -0.488 -0.027  -0.440 0.066  -0.392 0.158  -0.345 0.251  -0.295 0.342  -0.241 0.431  -0.187 0.521  -0.133 0.610  -0.071 0.693  -0.003 0.772  0.066 0.851  0.141 0.920  0.236 0.962  0.332 1.004  0.431 1.035  0.531 1.059  0.634 1.043  0.735 1.017  0.830 0.981  0.896 0.899  0.905 0.803  0.886 0.701  0.845 0.606  0.795 0.515  0.746 0.423  0.679 0.343  0.610 0.265  0.541 0.187  0.471 0.109  0.396 0.038  0.320 -0.034  0.245 -0.106
3#apb#apb18#app1830/s  1.015 0.644  0.935 0.680  0.855 0.716  0.775 0.753  0.696 0.789  0.616 0.826  0.536 0.863  0.458 0.902  0.389 0.956  0.320 1.010  0.252 1.065  0.190 1.127  0.128 1.189  0.133 1.177  0.141 1.090  0.150 1.003  0.148 0.915  0.143 0.828  0.138 0.740  0.133 0.652  0.124 0.565  0.111 0.479  0.098 0.392  0.085 0.305  0.072 0.218  0.058 0.132  0.032 0.048  0.006 -0.036  -0.019 -0.120  -0.045 -0.203  -0.070 -0.287  -0.096 -0.371  -0.131 -0.451  -0.168 -0.531  -0.204 -0.611  -0.241 -0.690  -0.277 -0.770  -0.314 -0.850  -0.351 -0.929  -0.398 -1.003  -0.444 -1.078  -0.491 -1.152  -0.537 -1.227  -0.582 -1.302  -0.621 -1.380  -0.661 -1.459  -0.715 -1.513  -0.759 -1.449  -0.792 -1.367  -0.824 -1.286
3#apb#apb18#app1830/i  0.853 1.459  0.828 1.393  0.804 1.328  0.779 1.262  0.754 1.197  0.730 1.131  0.705 1.066  0.681 1.000  0.656 0.935  0.632 0.869  0.607 0.804  0.565 0.749  0.518 0.698  0.470 0.647  0.422 0.596  0.374 0.545  0.327 0.493  0.279 0.442  0.231 0.391  0.183 0.340  0.136 0.289  0.088 0.238  0.040 0.187  -0.001 0.131  -0.034 0.069  -0.066 0.007  -0.099 -0.055  -0.131 -0.117  -0.164 -0.179  -0.197 -0.241  -0.229 -0.303  -0.262 -0.364  -0.294 -0.426  -0.327 -0.488  -0.360 -0.550  -0.392 -0.612  -0.427 -0.673  -0.464 -0.732  -0.500 -0.792  -0.537 -0.851  -0.574 -0.911  -0.610 -0.971  -0.647 -1.030  -0.684 -1.090  -0.720 -1.149  -0.750 -1.212  -0.770 -1.279  -0.789 -1.346  -0.808 -1.414  -0.827 -1.481
3#apb#apb18#app1830/s  0.873 0.104  0.789 0.157  0.706 0.210  0.622 0.263  0.575 0.347  0.536 0.438  0.497 0.530  0.458 0.621  0.419 0.712  0.379 0.802  0.338 0.892  0.296 0.982  0.255 1.072  0.218 1.164  0.183 1.257  0.175 1.319  0.195 1.222  0.214 1.125  0.213 1.027  0.203 0.929  0.194 0.830  0.184 0.731  0.174 0.633  0.153 0.536  0.129 0.440  0.105 0.344  0.081 0.248  0.057 0.152  0.033 0.056  -0.001 -0.037  -0.038 -0.129  -0.076 -0.220  -0.113 -0.312  -0.151 -0.404  -0.188 -0.496  -0.225 -0.587  -0.269 -0.676  -0.317 -0.763  -0.365 -0.849  -0.412 -0.936  -0.460 -1.023  -0.508 -1.109  -0.564 -1.191  -0.621 -1.273  -0.677 -1.354  -0.733 -1.436  -0.789 -1.517  -0.847 -1.598  -0.909 -1.648  -0.988 -1.588
3#apb#apb18#app1830/t  1.905 0.005  1.763 -0.066  1.621 -0.137  1.479 -0.208  1.331 -0.265  1.181 -0.318  1.032 -0.371  0.883 -0.425  0.732 -0.475  0.581 -0.524  0.430 -0.573  0.279 -0.621  0.128 -0.670  -0.030 -0.672  -0.189 -0.672  -0.347 -0.672  -0.499 -0.638  -0.646 -0.577  -0.793 -0.517  -0.874 -0.383  -0.952 -0.244  -0.999 -0.099  -0.988 0.059  -0.977 0.217  -0.966 0.375  -0.919 0.518  -0.809 0.632  -0.698 0.745  -0.587 0.859  -0.476 0.972  -0.366 1.086  -0.255 1.200  -0.144 1.313  -0.058 1.318  -0.008 1.167  0.034 1.015  0.034 0.857  0.034 0.698  0.034 0.539  0.029 0.381  0.007 0.224  -0.015 0.067  -0.038 -0.090  -0.060 -0.247  -0.083 -0.404  -0.104 -0.561  -0.126 -0.719  -0.148 -0.876  -0.170 -1.033  -0.192 -1.190
3#apb#apb18#app1830/a  0.188 -0.605  0.366 -0.506  0.544 -0.407  0.682 -0.260  0.806 -0.099  0.877 0.093  0.902 0.286  0.848 0.483  0.779 0.673  0.679 0.851  0.568 1.021  0.431 1.172  0.296 1.325  0.133 1.439  -0.063 1.436  -0.221 1.307  -0.350 1.154  -0.450 0.976  -0.536 0.792  -0.608 0.601  -0.680 0.410  -0.748 0.218  -0.815 0.025  -0.881 -0.168  -0.936 -0.364  -0.986 -0.562  -1.035 -0.760  -1.088 -0.957  -1.124 -1.156  -1.073 -1.335  -0.894 -1.237  -0.730 -1.117  -0.573 -0.986  -0.416 -0.856  -0.269 -0.716  -0.149 -0.552  -0.028 -0.387  0.093 -0.223  0.214 -0.059  0.336 0.105  0.458 0.268  0.600 0.412  0.756 0.472  0.743 0.273  0.717 0.071  0.658 -0.124  0.598 -0.319  0.533 -0.513  0.460 -0.703  0.388 -0.894
3#apb#apb18#app1830/n  -0.536 1.289  -0.577 1.138  -0.617 0.986  -0.648 0.833  -0.650 0.730  -0.676 0.587  -0.715 0.437  -0.773 0.292  -0.851 0.156  -0.935 0.024  -1.008 -0.114  -1.066 -0.260  -1.117 -0.408  -1.151 -0.561  -1.107 -0.690  -0.967 -0.760  -0.816 -0.760  -0.662 -0.731  -0.521 -0.666  -0.386 -0.587  -0.261 -0.496  -0.169 -0.369  -0.078 -0.241  0.014 -0.114  0.100 0.017  0.170 0.157  0.240 0.298  0.310 0.438  0.380 0.578  0.451 0.718  0.526 0.857  0.600 0.995  0.695 1.071  0.806 0.967  0.806 0.810  0.806 0.653  0.806 0.496  0.806 0.339  0.788 0.183  0.770 0.028  0.752 -0.128  0.734 -0.284  0.720 -0.440  0.714 -0.597  0.707 -0.754  0.701 -0.911  0.695 -1.067  0.711 -1.223  0.730 -1.379  0.750 -1.535
3#apb#apb18#app1830/t  1.898 -0.482  1.797 -0.482  1.650 -0.482  1.504 -0.482  1.357 -0.482  1.210 -0.482  1.063 -0.482  0.918 -0.466  0.772 -0.450  0.626 -0.434  0.480 -0.418  0.338 -0.382  0.198 -0.340  0.057 -0.299  -0.084 -0.257  -0.224 -0.212  -0.362 -0.164  -0.501 -0.116  -0.637 -0.062  -0.756 0.023  -0.875 0.108  -0.917 0.219  -0.871 0.359  -0.826 0.498  -0.780 0.638  -0.734 0.777  -0.689 0.917  -0.643 1.056  -0.597 1.195  -0.552 1.335  -0.499 1.332  -0.440 1.197  -0.382 1.063  -0.323 0.928  -0.264 0.794  -0.210 0.658  -0.194 0.512  -0.177 0.367  -0.161 0.221  -0.144 0.075  -0.127 -0.071  -0.111 -0.217  -0.099 -0.363  -0.099 -0.509  -0.099 -0.656  -0.099 -0.803  -0.099 -0.950  -0.099 -1.096  -0.099 -1.243  -0.099 -1.390
3#apb#apb18#app1830/B  -0.333 0.615  -0.362 0.394  -0.392 0.173  -0.417 -0.049  -0.430 -0.271  -0.444 -0.494  -0.460 -0.717  -0.477 -0.939  -0.496 -1.162  -0.522 -1.383  -0.581 -1.414  -0.610 -1.192  -0.639 -0.971  -0.669 -0.750  -0.698 -0.529  -0.727 -0.308  -0.756 -0.086  -0.785 0.135  -0.918 0.280  -0.808 0.472  -0.651 0.630  -0.482 0.775  -0.299 0.903  -0.101 1.006  0.107 1.075  0.329 1.064  0.550 1.031  0.768 0.985  0.987 0.945  1.207 0.906  1.427 0.869  1.214 0.802  0.999 0.741  0.783 0.685  0.573 0.611  0.367 0.525  0.164 0.433  -0.040 0.346  0.137 0.346  0.348 0.295  0.531 0.171  0.643 -0.006  0.665 -0.228  0.581 -0.435  0.496 -0.641  0.356 -0.814  0.212 -0.984  0.058 -1.145  -0.104 -1.299  -0.301 -1.398
3#apb#apb18#app1830/r  -0.576 -1.540  -0.591 -1.465  -0.603 -1.390  -0.608 -1.314  -0.614 -1.239  -0.619 -1.163  -0.625 -1.087  -0.626 -1.011  -0.626 -0.935  -0.626 -0.859  -0.626 -0.783  -0.626 -0.707  -0.626 -0.631  -0.616 -0.557  -0.593 -0.484  -0.570 -0.412  -0.547 -0.340  -0.524 -0.267  -0.501 -0.195  -0.478 -0.122  -0.455 -0.050  -0.411 0.011  -0.363 0.071  -0.316 0.130  -0.268 0.189  -0.221 0.249  -0.173 0.308  -0.126 0.367  -0.078 0.427  -0.023 0.477  0.042 0.516  0.108 0.554  0.173 0.593  0.239 0.631  0.304 0.670  0.370 0.708  0.444 0.725  0.518 0.740  0.593 0.755  0.667 0.769  0.742 0.784  0.818 0.786  0.894 0.786  0.970 0.786  1.046 0.786  1.121 0.781  1.197 0.772  1.272 0.764  1.338 0.731  1.399 0.686
3#apb#apb18#app1830/o  0.232 0.289  0.357 0.359  0.453 0.471  0.515 0.598  0.538 0.744  0.560 0.889  0.583 1.035  0.605 1.181  0.629 1.326  0.687 1.459  0.609 1.435  0.497 1.339  0.402 1.227  0.312 1.111  0.221 0.994  0.131 0.878  0.042 0.760  -0.030 0.632  -0.102 0.503  -0.174 0.375  -0.246 0.246  -0.318 0.117  -0.390 -0.011  -0.463 -0.139  -0.536 -0.267  -0.609 -0.395  -0.683 -0.523  -0.751 -0.653  -0.804 -0.791  -0.857 -0.928  -0.890 -1.069  -0.890 -1.217  -0.839 -1.354  -0.710 -1.396  -0.569 -1.385  -0.437 -1.319  -0.305 -1.254  -0.199 -1.157  -0.108 -1.041  -0.018 -0.925  0.073 -0.808  0.163 -0.692  0.227 -0.559  0.287 -0.425  0.348 -0.290  0.408 -0.156  0.459 -0.018  0.495 0.125  0.530 0.268  0.566 0.411
3#apb#apb18#app1830/k  -0.081 1.838  -0.033 1.624  -0.055 1.399  -0.109 1.181  -0.178 0.966  -0.254 0.754  -0.337 0.544  -0.420 0.334  -0.497 0.123  -0.575 -0.089  -0.658 -0.299  -0.743 -0.508  -0.811 -0.723  -0.830 -0.943  -0.645 -0.848  -0.472 -0.703  -0.299 -0.558  -0.126 -0.414  0.047 -0.269  0.220 -0.124  0.393 0.021  0.566 0.166  0.739 0.311  0.912 0.456  1.084 0.600  1.257 0.745  1.349 0.903  1.135 0.909  0.943 0.797  0.767 0.655  0.592 0.514  0.432 0.354  0.242 0.235  0.039 0.138  -0.173 0.062  -0.396 0.028  -0.617 -0.013  -0.836 -0.066  -1.031 -0.173  -1.021 -0.372  -0.861 -0.519  -0.666 -0.630  -0.456 -0.714  -0.246 -0.795  -0.034 -0.873  0.173 -0.961  0.373 -1.066  0.565 -1.183  0.741 -1.323  0.893 -1.490
3#apb#apb18#app1830/e  -0.643 0.417  -0.490 0.400  -0.342 0.361  -0.196 0.313  -0.051 0.260  0.094 0.211  0.231 0.143  0.366 0.172  0.430 0.306  0.464 0.456  0.485 0.608  0.505 0.760  0.501 0.913  0.489 1.066  0.470 1.219  0.365 1.321  0.215 1.346  0.083 1.290  -0.030 1.186  -0.131 1.071  -0.224 0.949  -0.316 0.826  -0.400 0.698  -0.467 0.559  -0.533 0.421  -0.600 0.283  -0.661 0.142  -0.711 -0.004  -0.761 -0.149  -0.812 -0.294  -0.835 -0.445  -0.850 -0.598  -0.865 -0.751  -0.799 -0.889  -0.714 -1.009  -0.569 -1.060  -0.424 -1.110  -0.276 -1.132  -0.124 -1.113  0.029 -1.094  0.180 -1.070  0.329 -1.030  0.477 -0.990  0.626 -0.950  0.760 -0.880  0.889 -0.796  1.018 -0.712  1.146 -0.627  1.272 -0.540  1.399 -0.453
3#apb#apb18#app1830/r  -0.574 -1.206  -0.618 -1.268  -0.662 -1.330  -0.728 -1.334  -0.739 -1.259  -0.751 -1.183  -0.763 -1.108  -0.742 -1.037  -0.712 -0.967  -0.682 -0.897  -0.652 -0.827  -0.622 -0.757  -0.592 -0.686  -0.561 -0.616  -0.531 -0.546  -0.501 -0.476  -0.471 -0.406  -0.438 -0.338  -0.406 -0.269  -0.373 -0.200  -0.340 -0.131  -0.308 -0.062  -0.275 0.007  -0.242 0.076  -0.210 0.145  -0.177 0.213  -0.145 0.282  -0.099 0.342  -0.046 0.397  0.006 0.453  0.059 0.508  0.111 0.563  0.164 0.619  0.216 0.674  0.283 0.706  0.355 0.730  0.428 0.755  0.500 0.779  0.572 0.803  0.645 0.823  0.721 0.823  0.798 0.823  0.874 0.823  0.950 0.823  1.026 0.823  1.102 0.820  1.176 0.802  1.250 0.783  1.324 0.765  1.398 0.746
3#apb#apb18#app1830/A  -0.513 -1.239  -0.592 -1.115  -0.598 -0.961  -0.598 -0.806  -0.610 -0.652  -0.648 -0.502  -0.688 -0.353  -0.707 -0.199  -0.712 -0.044  -0.697 0.110  -0.667 0.262  -0.618 0.408  -0.558 0.551  -0.498 0.694  -0.433 0.835  -0.368 0.976  -0.298 1.114  -0.223 1.250  -0.148 1.386  -0.061 1.512  0.069 1.579  0.188 1.486  0.271 1.356  0.341 1.218  0.380 1.068  0.419 0.918  0.455 0.767  0.487 0.615  0.519 0.463  0.547 0.311  0.570 0.158  0.592 0.004  0.611 -0.150  0.620 -0.305  0.629 -0.459  0.635 -0.614  0.629 -0.769  0.623 -0.924  0.615 -1.079  0.597 -1.233  0.528 -1.222  0.455 -1.086  0.364 -0.960  0.265 -0.841  0.152 -0.735  0.027 -0.647  -0.115 -0.584  -0.265 -0.546  -0.418 -0.529  -0.556 -0.487
3#apb#apb18#app1830/r  0.265 -0.919  0.265 -1.014  0.265 -1.109  0.243 -1.201  0.179 -1.267  0.097 -1.306  0.002 -1.306  -0.093 -1.306  -0.160 -1.239  -0.227 -1.172  -0.295 -1.105  -0.362 -1.038  -0.404 -0.953  -0.442 -0.866  -0.480 -0.779  -0.518 -0.692  -0.556 -0.605  -0.560 -0.512  -0.555 -0.417  -0.551 -0.322  -0.546 -0.227  -0.542 -0.132  -0.537 -0.037  -0.525 0.056  -0.508 0.150  -0.492 0.244  -0.475 0.337  -0.458 0.431  -0.418 0.514  -0.365 0.594  -0.312 0.673  -0.260 0.752  -0.197 0.821  -0.123 0.881  -0.048 0.940  0.026 0.999  0.116 1.014  0.211 1.014  0.306 1.014  0.400 1.011  0.495 1.001  0.589 0.990  0.672 0.950  0.748 0.893  0.824 0.836  0.899 0.778  0.973 0.718  1.058 0.677  1.145 0.638  1.231 0.600
3#apb#apb18#app1830/t  2.040 -0.569  1.945 -0.449  1.804 -0.388  1.663 -0.328  1.516 -0.291  1.364 -0.272  1.211 -0.253  1.059 -0.234  0.907 -0.247  0.756 -0.270  0.604 -0.293  0.453 -0.317  0.302 -0.345  0.152 -0.376  0.001 -0.407  -0.149 -0.439  -0.294 -0.487  -0.437 -0.543  -0.580 -0.598  -0.730 -0.618  -0.875 -0.607  -0.919 -0.460  -0.923 -0.314  -0.871 -0.170  -0.819 -0.026  -0.767 0.118  -0.715 0.263  -0.662 0.407  -0.610 0.551  -0.558 0.696  -0.506 0.840  -0.454 0.984  -0.402 1.128  -0.350 1.273  -0.300 1.327  -0.255 1.181  -0.217 1.033  -0.217 0.880  -0.217 0.726  -0.217 0.573  -0.227 0.420  -0.242 0.267  -0.258 0.115  -0.273 -0.038  -0.288 -0.190  -0.290 -0.344  -0.290 -0.497  -0.290 -0.651  -0.290 -0.804  -0.290 -0.957
3#apb#apb18#app1830/D  -0.371 0.788  -0.304 0.615  -0.293 0.431  -0.293 0.245  -0.293 0.059  -0.293 -0.126  -0.300 -0.312  -0.313 -0.497  -0.326 -0.682  -0.339 -0.868  -0.353 -1.053  -0.364 -1.238  -0.403 -1.367  -0.416 -1.182  -0.429 -0.997  -0.442 -0.811  -0.455 -0.626  -0.468 -0.441  -0.480 -0.255  -0.493 -0.070  -0.506 0.115  -0.519 0.300  -0.532 0.486  -0.545 0.671  -0.558 0.856  -0.570 1.042  -0.583 1.227  -0.597 1.194  -0.440 1.146  -0.255 1.146  -0.069 1.146  0.116 1.131  0.301 1.114  0.466 1.028  0.631 0.942  0.767 0.820  0.888 0.679  0.976 0.524  1.001 0.340  1.025 0.156  0.996 -0.026  0.954 -0.207  0.911 -0.387  0.824 -0.551  0.730 -0.711  0.637 -0.871  0.531 -1.023  0.407 -1.161  0.283 -1.299  0.159 -1.437
