2#apb#apb28#app2835/B  -0.360 0.473  -0.328 0.554  -0.368 0.365  -0.438 0.183  -0.510 0.002  -0.594 -0.174  -0.678 -0.350  -0.748 -0.532  -0.812 -0.716  -0.875 -0.901  -0.908 -1.091  -0.876 -1.095  -0.813 -0.911  -0.750 -0.726  -0.687 -0.541  -0.624 -0.357  -0.560 -0.172  -0.497 0.012  -0.434 0.197  -0.371 0.381  -0.308 0.566  -0.245 0.751  -0.182 0.935  -0.128 1.111  0.040 1.212  0.210 1.306  0.385 1.393  0.578 1.399  0.767 1.367  0.899 1.244  0.943 1.057  0.943 0.862  0.869 0.682  0.782 0.508  0.672 0.347  0.556 0.190  0.433 0.039  0.276 -0.077  0.391 -0.141  0.566 -0.213  0.702 -0.349  0.804 -0.515  0.753 -0.699  0.669 -0.875  0.550 -1.026  0.398 -1.145  0.217 -1.217  0.038 -1.232  -0.119 -1.119  -0.228 -0.961
2#apb#apb28#app2835/C  1.191 0.900  1.121 0.970  1.038 1.015  0.940 1.030  0.842 1.046  0.744 1.045  0.647 1.025  0.550 1.006  0.452 0.986  0.357 0.958  0.265 0.922  0.172 0.887  0.080 0.851  -0.013 0.815  -0.101 0.771  -0.179 0.710  -0.258 0.649  -0.337 0.589  -0.416 0.528  -0.488 0.462  -0.542 0.379  -0.597 0.296  -0.651 0.213  -0.705 0.130  -0.752 0.043  -0.789 -0.049  -0.826 -0.142  -0.858 -0.234  -0.830 -0.330  -0.803 -0.425  -0.776 -0.520  -0.723 -0.602  -0.658 -0.677  -0.594 -0.753  -0.506 -0.797  -0.415 -0.835  -0.323 -0.872  -0.230 -0.906  -0.131 -0.913  -0.032 -0.921  0.067 -0.929  0.166 -0.935  0.265 -0.931  0.364 -0.927  0.464 -0.923  0.563 -0.920  0.662 -0.920  0.761 -0.920  0.861 -0.920  0.960 -0.920
2#apb#apb28#app2835/E  -0.018 0.710  -0.152 0.634  -0.261 0.509  -0.358 0.373  -0.455 0.238  -0.548 0.100  -0.636 -0.041  -0.724 -0.182  -0.807 -0.325  -0.842 -0.487  -0.877 -0.650  -0.922 -0.810  -0.975 -0.968  -0.908 -1.116  -0.781 -1.208  -0.622 -1.256  -0.460 -1.247  -0.298 -1.212  -0.135 -1.176  0.025 -1.133  0.186 -1.090  0.347 -1.049  0.508 -1.008  0.605 -0.935  0.543 -0.781  0.480 -0.627  0.417 -0.473  0.355 -0.319  0.292 -0.165  0.229 -0.011  0.167 0.143  0.104 0.297  0.041 0.451  -0.021 0.605  -0.093 0.726  -0.226 0.626  -0.249 0.544  -0.086 0.511  0.078 0.482  0.242 0.453  0.282 0.581  0.291 0.747  0.301 0.913  0.420 1.013  0.555 1.110  0.688 1.210  0.827 1.296  0.992 1.314  1.157 1.332  1.323 1.351
2#apb#apb28#app2835/D  -0.721 -0.948  -0.806 -1.060  -0.890 -1.173  -0.964 -1.280  -0.919 -1.146  -0.863 -1.018  -0.800 -0.892  -0.737 -0.766  -0.674 -0.640  -0.615 -0.513  -0.558 -0.384  -0.500 -0.256  -0.442 -0.128  -0.385 0.001  -0.331 0.131  -0.278 0.261  -0.224 0.391  -0.173 0.522  -0.156 0.661  -0.138 0.801  -0.121 0.941  -0.090 1.077  -0.049 1.212  -0.023 1.349  -0.028 1.487  0.029 1.448  0.125 1.348  0.197 1.227  0.270 1.107  0.341 0.985  0.412 0.864  0.482 0.742  0.540 0.614  0.596 0.485  0.651 0.355  0.696 0.223  0.733 0.087  0.772 -0.048  0.829 -0.177  0.887 -0.305  0.888 -0.446  0.828 -0.564  0.738 -0.672  0.613 -0.736  0.486 -0.798  0.351 -0.835  0.215 -0.872  0.076 -0.887  -0.064 -0.887  -0.205 -0.887
2#apb#apb28#app2835/A  -0.838 -0.711  -0.938 -0.827  -1.038 -0.943  -1.139 -1.058  -1.201 -1.192  -1.168 -1.217  -1.090 -1.086  -1.013 -0.954  -0.948 -0.815  -0.882 -0.677  -0.817 -0.539  -0.738 -0.409  -0.646 -0.286  -0.554 -0.164  -0.463 -0.042  -0.373 0.082  -0.296 0.214  -0.220 0.347  -0.143 0.479  -0.061 0.608  0.033 0.729  0.126 0.849  0.220 0.970  0.321 1.085  0.434 1.187  0.548 1.289  0.670 1.364  0.775 1.260  0.819 1.113  0.852 0.965  0.870 0.813  0.888 0.661  0.889 0.509  0.865 0.358  0.841 0.207  0.817 0.056  0.785 -0.093  0.753 -0.243  0.738 -0.394  0.738 -0.547  0.679 -0.597  0.546 -0.521  0.414 -0.444  0.281 -0.368  0.149 -0.292  0.016 -0.216  -0.116 -0.139  -0.265 -0.124  -0.136 -0.124  0.017 -0.124
2#apb#apb28#app2835/R  -0.982 -0.600  -1.107 -0.667  -1.231 -0.734  -1.355 -0.801  -1.410 -0.860  -1.355 -0.734  -1.265 -0.625  -1.174 -0.517  -1.082 -0.410  -0.982 -0.310  -0.883 -0.210  -0.783 -0.110  -0.683 -0.011  -0.583 0.089  -0.483 0.189  -0.383 0.289  -0.284 0.389  -0.184 0.489  -0.084 0.588  0.019 0.685  0.122 0.781  0.226 0.877  0.329 0.974  0.452 1.040  0.581 1.098  0.719 1.113  0.860 1.113  0.964 1.024  0.969 0.896  0.939 0.759  0.897 0.624  0.852 0.490  0.807 0.356  0.734 0.239  0.639 0.135  0.544 0.030  0.442 -0.067  0.333 -0.157  0.225 -0.248  0.121 -0.343  0.029 -0.450  -0.024 -0.572  0.087 -0.616  0.225 -0.645  0.359 -0.689  0.493 -0.734  0.627 -0.775  0.768 -0.785  0.909 -0.794  1.050 -0.803
2#apb#apb28#app2835/F  -0.298 0.007  -0.385 -0.080  -0.371 -0.171  -0.262 -0.230  -0.143 -0.245  -0.019 -0.245  0.061 -0.257  -0.046 -0.318  -0.153 -0.380  -0.259 -0.442  -0.366 -0.504  -0.473 -0.566  -0.563 -0.646  -0.642 -0.742  -0.720 -0.837  -0.776 -0.946  -0.825 -1.059  -0.912 -1.143  -0.876 -1.101  -0.808 -1.000  -0.772 -0.882  -0.736 -0.764  -0.697 -0.647  -0.644 -0.536  -0.590 -0.425  -0.537 -0.314  -0.468 -0.211  -0.399 -0.109  -0.329 -0.008  -0.270 0.101  -0.212 0.209  -0.153 0.318  -0.084 0.420  -0.007 0.515  0.071 0.611  0.161 0.696  0.252 0.779  0.362 0.834  0.482 0.859  0.604 0.876  0.727 0.883  0.850 0.889  0.974 0.887  1.097 0.882  1.220 0.877  1.342 0.861  1.464 0.843  1.586 0.827  1.710 0.820  1.833 0.812
2#apb#apb28#app2835/A  -1.021 -0.512  -1.138 -0.613  -1.255 -0.715  -1.372 -0.816  -1.401 -0.804  -1.317 -0.677  -1.197 -0.579  -1.077 -0.481  -0.956 -0.384  -0.843 -0.279  -0.733 -0.169  -0.623 -0.059  -0.514 0.050  -0.404 0.160  -0.295 0.270  -0.185 0.379  -0.075 0.489  0.034 0.598  0.147 0.704  0.268 0.802  0.388 0.900  0.508 0.998  0.637 1.083  0.770 1.163  0.903 1.243  1.010 1.207  1.017 1.054  1.017 0.899  0.998 0.746  0.966 0.594  0.934 0.442  0.901 0.291  0.863 0.140  0.826 -0.010  0.788 -0.160  0.735 -0.305  0.666 -0.444  0.597 -0.583  0.533 -0.724  0.469 -0.865  0.335 -0.799  0.198 -0.725  0.062 -0.651  -0.074 -0.577  -0.211 -0.504  -0.347 -0.430  -0.484 -0.356  -0.504 -0.343  -0.349 -0.331  -0.195 -0.319
2#apb#apb28#app2835/L  1.007 1.601  0.945 1.539  0.914 1.457  0.884 1.375  0.854 1.293  0.824 1.210  0.780 1.135  0.731 1.063  0.681 0.991  0.631 0.919  0.582 0.846  0.532 0.774  0.482 0.702  0.430 0.631  0.377 0.562  0.324 0.492  0.271 0.423  0.217 0.353  0.164 0.283  0.111 0.214  0.058 0.144  -0.003 0.081  -0.065 0.019  -0.127 -0.043  -0.189 -0.105  -0.251 -0.167  -0.313 -0.229  -0.375 -0.291  -0.437 -0.353  -0.499 -0.415  -0.561 -0.477  -0.623 -0.539  -0.685 -0.601  -0.747 -0.663  -0.809 -0.725  -0.871 -0.787  -0.917 -0.789  -0.829 -0.789  -0.741 -0.789  -0.660 -0.816  -0.582 -0.855  -0.501 -0.885  -0.413 -0.885  -0.326 -0.885  -0.243 -0.910  -0.163 -0.945  -0.083 -0.981  -0.004 -1.018  0.071 -1.063  0.147 -1.108
2#apb#apb28#app2835/L  0.852 1.636  0.848 1.546  0.830 1.457  0.803 1.372  0.748 1.301  0.693 1.229  0.638 1.157  0.582 1.085  0.527 1.013  0.472 0.941  0.415 0.871  0.358 0.801  0.301 0.730  0.244 0.660  0.186 0.590  0.129 0.519  0.072 0.449  0.015 0.379  -0.053 0.319  -0.122 0.260  -0.191 0.202  -0.260 0.143  -0.330 0.085  -0.399 0.026  -0.464 -0.036  -0.520 -0.107  -0.575 -0.179  -0.631 -0.251  -0.686 -0.322  -0.749 -0.387  -0.814 -0.451  -0.834 -0.533  -0.808 -0.616  -0.753 -0.685  -0.665 -0.707  -0.580 -0.736  -0.497 -0.772  -0.413 -0.807  -0.329 -0.839  -0.243 -0.868  -0.157 -0.896  -0.071 -0.925  0.011 -0.964  0.092 -1.005  0.173 -1.045  0.256 -1.079  0.344 -1.104  0.431 -1.129  0.518 -1.152  0.606 -1.174
2#apb#apb28#app2835/S  0.673 1.610  0.593 1.563  0.514 1.515  0.435 1.467  0.365 1.408  0.303 1.340  0.241 1.271  0.178 1.203  0.116 1.134  0.055 1.065  -0.007 0.996  -0.068 0.927  -0.104 0.844  -0.123 0.754  -0.142 0.664  -0.162 0.573  -0.160 0.484  -0.125 0.399  -0.091 0.313  -0.052 0.230  0.005 0.157  0.062 0.084  0.119 0.010  0.189 -0.049  0.262 -0.105  0.335 -0.162  0.389 -0.233  0.424 -0.319  0.458 -0.405  0.487 -0.493  0.505 -0.583  0.456 -0.654  0.391 -0.719  0.325 -0.784  0.249 -0.830  0.159 -0.854  0.070 -0.878  -0.020 -0.902  -0.109 -0.926  -0.200 -0.944  -0.290 -0.962  -0.381 -0.981  -0.472 -0.999  -0.563 -1.010  -0.656 -1.010  -0.748 -1.010  -0.841 -1.010  -0.929 -1.030  -1.014 -1.066  -1.101 -1.092
2#apb#apb28#app2835/C  1.146 0.571  1.115 0.666  1.083 0.761  1.010 0.827  0.931 0.890  0.847 0.943  0.760 0.993  0.667 1.020  0.567 1.020  0.467 1.020  0.368 1.010  0.274 0.975  0.180 0.941  0.086 0.907  -0.001 0.860  -0.077 0.796  -0.154 0.731  -0.231 0.667  -0.308 0.602  -0.384 0.538  -0.443 0.457  -0.503 0.376  -0.562 0.295  -0.621 0.214  -0.680 0.133  -0.723 0.044  -0.759 -0.050  -0.794 -0.144  -0.829 -0.238  -0.840 -0.333  -0.816 -0.430  -0.792 -0.527  -0.767 -0.624  -0.687 -0.683  -0.605 -0.741  -0.523 -0.799  -0.437 -0.848  -0.346 -0.890  -0.254 -0.932  -0.163 -0.973  -0.071 -1.009  0.029 -1.009  0.129 -1.009  0.230 -1.009  0.330 -1.009  0.430 -1.008  0.530 -1.004  0.630 -1.000  0.730 -0.996  0.830 -0.993
2#apb#apb28#app2835/O  0.376 1.081  0.272 1.000  0.169 0.920  0.065 0.839  -0.039 0.759  -0.142 0.678  -0.246 0.597  -0.345 0.512  -0.434 0.416  -0.523 0.319  -0.611 0.222  -0.700 0.126  -0.776 0.020  -0.839 -0.095  -0.902 -0.210  -0.965 -0.325  -0.996 -0.451  -1.018 -0.581  -1.039 -0.710  -1.040 -0.833  -0.948 -0.926  -0.839 -0.994  -0.716 -1.039  -0.593 -1.084  -0.470 -1.123  -0.354 -1.061  -0.239 -0.999  -0.123 -0.936  -0.008 -0.874  0.096 -0.795  0.196 -0.710  0.295 -0.624  0.394 -0.538  0.493 -0.452  0.592 -0.366  0.677 -0.266  0.759 -0.164  0.841 -0.061  0.919 0.043  0.932 0.174  0.945 0.304  0.954 0.435  0.928 0.563  0.903 0.692  0.873 0.819  0.796 0.925  0.720 1.032  0.646 1.140  0.573 1.249  0.492 1.352
2#apb#apb28#app2835/R  -1.337 -0.936  -1.442 -0.988  -1.419 -0.954  -1.343 -0.864  -1.274 -0.770  -1.211 -0.671  -1.147 -0.573  -1.083 -0.474  -1.019 -0.376  -0.945 -0.285  -0.865 -0.200  -0.784 -0.115  -0.703 -0.029  -0.622 0.056  -0.542 0.141  -0.458 0.223  -0.367 0.297  -0.275 0.370  -0.183 0.443  -0.092 0.516  -0.000 0.590  0.092 0.663  0.195 0.718  0.299 0.773  0.402 0.828  0.506 0.884  0.622 0.890  0.739 0.890  0.856 0.883  0.968 0.851  1.042 0.782  1.068 0.667  1.083 0.553  1.056 0.438  1.030 0.324  1.004 0.210  0.943 0.109  0.882 0.009  0.820 -0.091  0.749 -0.180  0.648 -0.240  0.546 -0.299  0.445 -0.358  0.355 -0.433  0.267 -0.510  0.175 -0.583  0.074 -0.643  0.033 -0.748  0.064 -0.853  0.147 -0.936
2#apb#apb28#app2835/A  -0.753 -0.254  -0.869 -0.369  -0.984 -0.485  -1.097 -0.604  -1.203 -0.728  -1.284 -0.866  -1.329 -1.023  -1.344 -0.989  -1.221 -0.881  -1.102 -0.769  -0.995 -0.645  -0.889 -0.521  -0.782 -0.396  -0.679 -0.269  -0.582 -0.137  -0.485 -0.006  -0.388 0.126  -0.291 0.258  -0.189 0.386  -0.081 0.509  0.026 0.632  0.134 0.755  0.242 0.878  0.358 0.994  0.474 1.109  0.580 1.233  0.703 1.319  0.808 1.219  0.888 1.076  0.899 0.913  0.910 0.750  0.921 0.587  0.913 0.423  0.903 0.260  0.893 0.097  0.882 -0.067  0.870 -0.230  0.859 -0.393  0.823 -0.552  0.771 -0.707  0.684 -0.692  0.574 -0.571  0.464 -0.450  0.353 -0.329  0.243 -0.208  0.133 -0.087  0.002 -0.014  -0.077 -0.067  0.076 -0.099  0.239 -0.117
2#apb#apb28#app2835/L  0.622 1.700  0.564 1.627  0.506 1.555  0.450 1.481  0.394 1.406  0.338 1.332  0.282 1.258  0.227 1.184  0.174 1.107  0.121 1.031  0.068 0.954  0.016 0.877  -0.037 0.801  -0.089 0.724  -0.136 0.644  -0.178 0.561  -0.219 0.478  -0.261 0.395  -0.302 0.312  -0.344 0.229  -0.381 0.144  -0.414 0.057  -0.448 -0.030  -0.482 -0.116  -0.515 -0.203  -0.549 -0.289  -0.579 -0.377  -0.600 -0.468  -0.620 -0.558  -0.636 -0.649  -0.636 -0.742  -0.618 -0.824  -0.535 -0.866  -0.452 -0.907  -0.359 -0.914  -0.266 -0.921  -0.174 -0.928  -0.081 -0.936  0.010 -0.924  0.101 -0.903  0.192 -0.883  0.282 -0.863  0.373 -0.843  0.464 -0.823  0.556 -0.815  0.649 -0.815  0.742 -0.815  0.835 -0.815  0.927 -0.815  1.020 -0.815
2#apb#apb28#app2835/C  1.500 0.836  1.397 0.860  1.293 0.884  1.188 0.889  1.082 0.889  0.976 0.889  0.872 0.869  0.768 0.849  0.664 0.829  0.560 0.809  0.456 0.788  0.358 0.749  0.263 0.702  0.168 0.656  0.072 0.610  -0.023 0.563  -0.118 0.517  -0.213 0.470  -0.307 0.422  -0.402 0.373  -0.496 0.324  -0.590 0.276  -0.684 0.227  -0.772 0.168  -0.853 0.101  -0.935 0.034  -1.017 -0.034  -1.064 -0.127  -1.088 -0.225  -1.057 -0.327  -1.025 -0.428  -0.944 -0.496  -0.863 -0.564  -0.778 -0.626  -0.677 -0.658  -0.576 -0.690  -0.475 -0.722  -0.373 -0.745  -0.267 -0.753  -0.161 -0.760  -0.055 -0.768  0.050 -0.775  0.154 -0.794  0.258 -0.817  0.361 -0.840  0.465 -0.863  0.569 -0.884  0.674 -0.889  0.780 -0.895  0.886 -0.900
2#apb#apb28#app2835/R  -1.077 -1.271  -1.161 -1.160  -1.192 -1.041  -1.166 -0.903  -1.141 -0.766  -1.097 -0.635  -1.035 -0.510  -0.972 -0.385  -0.877 -0.283  -0.782 -0.180  -0.687 -0.078  -0.599 0.030  -0.519 0.144  -0.439 0.259  -0.358 0.373  -0.278 0.488  -0.179 0.585  -0.077 0.681  0.024 0.777  0.126 0.873  0.239 0.953  0.362 1.019  0.485 1.085  0.617 1.128  0.752 1.165  0.887 1.153  0.991 1.085  1.025 0.950  1.002 0.816  0.961 0.682  0.912 0.553  0.834 0.436  0.757 0.320  0.679 0.204  0.573 0.115  0.462 0.029  0.351 -0.056  0.239 -0.139  0.126 -0.221  0.017 -0.307  -0.082 -0.406  -0.166 -0.517  -0.202 -0.639  -0.146 -0.762  -0.030 -0.840  0.099 -0.893  0.230 -0.941  0.366 -0.971  0.504 -0.990  0.642 -1.010
2#apb#apb28#app2835/U  -0.276 1.192  -0.332 1.102  -0.389 1.012  -0.445 0.921  -0.501 0.831  -0.558 0.741  -0.614 0.651  -0.665 0.557  -0.712 0.462  -0.760 0.367  -0.808 0.271  -0.855 0.176  -0.887 0.077  -0.896 -0.030  -0.905 -0.136  -0.913 -0.242  -0.911 -0.347  -0.891 -0.452  -0.870 -0.556  -0.849 -0.660  -0.777 -0.737  -0.701 -0.812  -0.623 -0.879  -0.519 -0.858  -0.415 -0.837  -0.310 -0.816  -0.212 -0.777  -0.117 -0.730  -0.022 -0.682  0.074 -0.634  0.169 -0.587  0.264 -0.539  0.354 -0.483  0.442 -0.422  0.529 -0.362  0.617 -0.301  0.704 -0.241  0.783 -0.171  0.844 -0.084  0.906 0.003  0.968 0.089  1.030 0.176  1.092 0.262  1.148 0.353  1.198 0.446  1.249 0.540  1.300 0.633  1.338 0.731  1.353 0.837  1.368 0.942
