3#apa#apa03#app0360/f  1.302 0.967  1.302 1.098  1.244 1.170  1.200 1.257  1.085 1.272  0.955 1.272  0.825 1.272  0.724 1.201  0.606 1.170  0.510 1.089  0.489 0.967  0.397 0.875  0.305 0.783  0.184 0.762  0.126 0.646  0.084 0.525  0.038 0.414  -0.018 0.307  -0.037 0.179  -0.069 0.053  -0.100 -0.074  -0.119 -0.202  -0.119 -0.332  -0.119 -0.462  -0.119 -0.592  -0.166 -0.703  -0.221 -0.811  -0.221 -0.941  -0.221 -1.071  -0.221 -1.202  -0.221 -1.332  -0.275 -1.289  -0.350 -1.182  -0.425 -1.076  -0.499 -0.969  -0.574 -0.862  -0.649 -0.756  -0.723 -0.649  -0.798 -0.542  -0.873 -0.436  -0.903 -0.352  -0.789 -0.312  -0.684 -0.251  -0.554 -0.251  -0.525 -0.149  -0.395 -0.149  -0.265 -0.149  -0.160 -0.088  -0.047 -0.048  0.084 -0.048
3#apa#apa03#app0360/i  -0.090 -0.725  -0.090 -0.812  -0.136 -0.852  -0.216 -0.859  -0.216 -0.945  -0.270 -0.978  -0.342 -0.992  -0.342 -1.079  -0.342 -1.166  -0.342 -1.252  -0.342 -1.339  -0.327 -1.291  -0.307 -1.207  -0.287 -1.122  -0.266 -1.038  -0.246 -0.954  -0.226 -0.869  -0.206 -0.785  -0.186 -0.701  -0.166 -0.616  -0.146 -0.532  -0.126 -0.448  -0.106 -0.364  -0.086 -0.279  -0.066 -0.195  -0.046 -0.111  -0.026 -0.026  -0.005 0.058  0.015 0.142  0.035 0.227  0.055 0.311  0.075 0.395  0.095 0.480  0.115 0.564  0.135 0.648  0.155 0.733  0.175 0.817  0.195 0.901  0.215 0.986  0.235 1.070  0.256 1.154  0.276 1.239  0.290 1.324  0.290 1.410  0.362 1.425  0.416 1.457  0.416 1.544  0.496 1.551  0.582 1.551  0.669 1.551
3#apa#apa03#app0360/v  -1.015 1.066  -0.929 0.980  -0.842 0.894  -0.838 0.774  -0.898 0.712  -1.015 0.707  -1.015 0.585  -1.015 0.463  -1.015 0.340  -1.015 0.218  -0.956 0.121  -0.870 0.034  -0.761 0.002  -0.660 -0.019  -0.660 -0.141  -0.598 -0.238  -0.512 -0.324  -0.483 -0.434  -0.464 -0.548  -0.378 -0.635  -0.292 -0.721  -0.205 -0.807  -0.128 -0.898  -0.128 -1.020  -0.049 -1.062  0.073 -1.062  0.196 -1.062  0.227 -0.971  0.252 -0.859  0.338 -0.773  0.404 -0.678  0.404 -0.556  0.404 -0.434  0.445 -0.353  0.567 -0.353  0.581 -0.245  0.618 -0.138  0.705 -0.052  0.759 0.048  0.759 0.170  0.759 0.292  0.799 0.397  0.885 0.484  0.936 0.585  0.936 0.707  1.019 0.795  1.105 0.881  1.113 1.000  1.169 1.066  1.291 1.066
3#apa#apa03#app0360/e  -0.528 -0.147  -0.364 -0.147  -0.237 -0.057  -0.119 0.053  0.045 0.053  0.208 0.053  0.372 0.053  0.536 0.053  0.674 0.079  0.674 0.243  0.827 0.254  0.957 0.336  1.073 0.452  1.075 0.615  1.075 0.778  1.075 0.942  1.023 1.055  0.860 1.055  0.696 1.055  0.532 1.055  0.368 1.055  0.273 0.986  0.241 0.855  0.077 0.855  -0.087 0.855  -0.214 0.767  -0.330 0.651  -0.446 0.536  -0.562 0.420  -0.678 0.304  -0.728 0.161  -0.784 0.053  -0.928 0.034  -0.928 -0.130  -0.928 -0.294  -0.928 -0.458  -0.928 -0.622  -0.928 -0.785  -0.927 -0.948  -0.764 -0.948  -0.600 -0.948  -0.528 -1.040  -0.473 -1.149  -0.309 -1.149  -0.145 -1.149  0.019 -1.149  0.183 -1.149  0.346 -1.149  0.510 -1.149  0.674 -1.149
3#apa#apa03#app0360/r  -0.594 -0.158  -0.594 -0.265  -0.594 -0.371  -0.594 -0.478  -0.594 -0.585  -0.594 -0.691  -0.594 -0.798  -0.594 -0.905  -0.594 -1.011  -0.594 -1.118  -0.594 -1.225  -0.527 -1.264  -0.436 -1.249  -0.436 -1.142  -0.436 -1.036  -0.416 -0.948  -0.310 -0.948  -0.277 -0.874  -0.277 -0.767  -0.277 -0.660  -0.277 -0.554  -0.277 -0.447  -0.277 -0.340  -0.241 -0.242  -0.193 -0.147  -0.145 -0.052  -0.119 0.049  -0.119 0.156  -0.119 0.262  -0.119 0.369  -0.119 0.475  -0.043 0.551  0.032 0.626  0.039 0.730  0.085 0.791  0.192 0.791  0.197 0.892  0.247 0.949  0.354 0.949  0.460 0.949  0.567 0.949  0.674 0.949  0.780 0.949  0.887 0.949  0.994 0.949  1.100 0.949  1.207 0.949  1.311 0.956  1.386 1.031  1.462 1.107
3#apa#apa03#app0360/w  -1.191 0.664  -1.191 0.521  -1.191 0.378  -1.258 0.262  -1.359 0.161  -1.359 0.018  -1.359 -0.125  -1.359 -0.268  -1.359 -0.411  -1.312 -0.507  -1.169 -0.507  -1.026 -0.507  -0.883 -0.507  -0.752 -0.455  -0.624 -0.391  -0.493 -0.340  -0.355 -0.335  -0.355 -0.192  -0.232 -0.172  -0.188 -0.073  -0.113 -0.005  -0.021 0.046  0.006 0.162  0.146 0.164  0.146 0.307  0.146 0.450  0.146 0.400  0.074 0.329  -0.021 0.281  -0.004 0.145  0.097 0.044  0.146 -0.079  0.195 -0.172  0.314 -0.197  0.314 -0.340  0.457 -0.340  0.600 -0.340  0.743 -0.340  0.865 -0.290  0.966 -0.188  1.103 -0.172  1.218 -0.105  1.317 -0.003  1.317 0.140  1.438 0.162  1.484 0.259  1.484 0.402  1.484 0.545  1.484 0.688  1.484 0.831
3#apa#apa03#app0360/h  0.164 1.951  0.164 1.821  0.164 1.691  0.164 1.562  0.055 1.541  0.028 1.439  -0.040 1.337  -0.109 1.236  -0.120 1.109  -0.178 0.993  -0.236 0.877  -0.245 0.749  -0.318 0.649  -0.382 0.546  -0.382 0.416  -0.382 0.287  -0.382 0.157  -0.390 0.031  -0.482 -0.061  -0.519 -0.176  -0.519 -0.305  -0.519 -0.435  -0.519 -0.565  -0.519 -0.695  -0.519 -0.824  -0.519 -0.954  -0.519 -1.084  -0.495 -1.190  -0.382 -1.174  -0.372 -1.054  -0.245 -1.051  -0.245 -0.921  -0.156 -0.828  -0.065 -0.736  0.027 -0.645  0.119 -0.553  0.164 -0.442  0.206 -0.329  0.297 -0.238  0.389 -0.146  0.499 -0.098  0.629 -0.098  0.758 -0.098  0.847 -0.139  0.847 -0.268  0.847 -0.398  0.847 -0.528  0.847 -0.658  0.847 -0.787  0.847 -0.917
3#apa#apa03#app0360/i  -0.118 -0.709  -0.118 -0.795  -0.118 -0.881  -0.118 -0.966  -0.118 -1.052  -0.176 -1.079  -0.241 -1.099  -0.241 -1.185  -0.309 -1.203  -0.364 -1.233  -0.364 -1.318  -0.346 -1.250  -0.327 -1.167  -0.307 -1.084  -0.287 -1.000  -0.267 -0.917  -0.247 -0.834  -0.228 -0.751  -0.208 -0.667  -0.188 -0.584  -0.168 -0.501  -0.148 -0.418  -0.128 -0.335  -0.109 -0.251  -0.089 -0.168  -0.069 -0.085  -0.049 -0.002  -0.029 0.082  -0.010 0.165  0.010 0.248  0.030 0.331  0.050 0.414  0.070 0.498  0.090 0.581  0.109 0.664  0.129 0.747  0.149 0.831  0.169 0.914  0.189 0.997  0.208 1.080  0.228 1.163  0.248 1.247  0.321 1.263  0.375 1.294  0.375 1.380  0.431 1.442  0.491 1.503  0.574 1.510  0.622 1.547  0.622 1.633
3#apa#apa03#app0360/l  0.585 1.548  0.585 1.474  0.585 1.399  0.585 1.324  0.585 1.250  0.585 1.175  0.585 1.100  0.537 1.073  0.462 1.073  0.409 1.038  0.376 0.972  0.342 0.905  0.309 0.838  0.275 0.771  0.268 0.698  0.268 0.623  0.233 0.563  0.180 0.510  0.127 0.458  0.088 0.395  0.054 0.328  0.021 0.262  -0.013 0.195  -0.046 0.128  -0.098 0.074  -0.151 0.021  -0.203 -0.031  -0.207 -0.105  -0.207 -0.180  -0.207 -0.254  -0.207 -0.329  -0.207 -0.404  -0.207 -0.479  -0.237 -0.540  -0.290 -0.593  -0.343 -0.646  -0.365 -0.712  -0.365 -0.787  -0.365 -0.861  -0.365 -0.936  -0.365 -1.011  -0.365 -1.085  -0.365 -1.160  -0.365 -1.235  -0.365 -1.310  -0.365 -1.384  -0.365 -1.459  -0.417 -1.512  -0.470 -1.565  -0.523 -1.618
3#apa#apa03#app0360/e  -0.744 0.096  -0.580 0.096  -0.415 0.096  -0.251 0.096  -0.086 0.096  0.078 0.096  0.243 0.096  0.256 0.247  0.405 0.263  0.570 0.263  0.692 0.365  0.756 0.503  0.756 0.668  0.756 0.832  0.756 0.997  0.691 1.096  0.526 1.096  0.362 1.096  0.197 1.096  0.033 1.096  -0.116 1.057  -0.232 0.941  -0.349 0.825  -0.487 0.763  -0.577 0.688  -0.642 0.564  -0.789 0.490  -0.911 0.401  -0.911 0.236  -0.911 0.072  -0.911 -0.093  -0.911 -0.257  -0.911 -0.422  -0.897 -0.578  -0.750 -0.651  -0.603 -0.725  -0.577 -0.874  -0.443 -0.904  -0.279 -0.904  -0.114 -0.904  0.037 -0.961  0.184 -1.035  0.340 -1.071  0.505 -1.071  0.669 -1.071  0.834 -1.071  0.976 -1.018  1.094 -0.904  1.258 -0.904  1.423 -0.904
3#apa#apa03#app0360/d  -0.023 -0.127  -0.089 -0.013  -0.268 -0.013  -0.447 -0.013  -0.626 -0.013  -0.776 -0.083  -0.823 -0.240  -0.982 -0.289  -1.134 -0.354  -1.160 -0.507  -1.160 -0.686  -1.160 -0.865  -1.155 -1.041  -1.021 -1.150  -0.842 -1.150  -0.663 -1.150  -0.484 -1.150  -0.323 -1.072  -0.181 -0.967  -0.055 -0.840  0.072 -0.714  0.221 -0.660  0.301 -0.500  0.381 -0.340  0.479 -0.193  0.545 -0.041  0.545 0.138  0.545 0.317  0.659 0.449  0.659 0.628  0.659 0.807  0.659 0.986  0.728 1.148  0.772 1.317  0.772 1.496  0.676 1.578  0.624 1.430  0.545 1.284  0.452 1.144  0.415 0.977  0.335 0.817  0.318 0.642  0.318 0.463  0.318 0.285  0.241 0.137  0.204 -0.026  0.204 -0.205  0.204 -0.384  0.204 -0.563  0.318 -0.695
3#apa#apa03#app0360/r  -0.576 0.009  -0.576 -0.107  -0.531 -0.204  -0.449 -0.286  -0.408 -0.385  -0.408 -0.502  -0.408 -0.618  -0.459 -0.713  -0.541 -0.795  -0.576 -0.896  -0.576 -1.012  -0.576 -1.129  -0.576 -1.245  -0.576 -1.306  -0.576 -1.190  -0.485 -1.165  -0.408 -1.125  -0.408 -1.009  -0.408 -0.893  -0.371 -0.793  -0.289 -0.710  -0.241 -0.614  -0.241 -0.498  -0.241 -0.382  -0.241 -0.266  -0.237 -0.151  -0.185 -0.047  -0.133 0.057  -0.081 0.161  -0.073 0.275  -0.040 0.377  0.042 0.460  0.095 0.554  0.095 0.670  0.095 0.786  0.095 0.902  0.096 1.017  0.213 1.017  0.329 1.017  0.445 1.017  0.561 1.017  0.677 1.017  0.793 1.017  0.909 1.017  1.025 1.017  1.141 1.017  1.257 1.017  1.270 0.913  1.322 0.849  1.438 0.849
3#apa#apa03#app0360/i  -0.141 -0.530  -0.141 -0.616  -0.141 -0.703  -0.141 -0.789  -0.141 -0.876  -0.141 -0.962  -0.141 -1.048  -0.141 -1.135  -0.192 -1.170  -0.278 -1.170  -0.301 -1.234  -0.301 -1.320  -0.284 -1.256  -0.266 -1.172  -0.247 -1.088  -0.228 -1.003  -0.209 -0.919  -0.191 -0.835  -0.172 -0.750  -0.153 -0.666  -0.135 -0.582  -0.116 -0.497  -0.097 -0.413  -0.078 -0.329  -0.060 -0.244  -0.041 -0.160  -0.022 -0.076  -0.003 0.008  0.015 0.093  0.034 0.177  0.053 0.261  0.072 0.346  0.090 0.430  0.109 0.514  0.128 0.599  0.147 0.683  0.165 0.767  0.184 0.852  0.203 0.936  0.221 1.020  0.240 1.105  0.259 1.189  0.278 1.273  0.296 1.358  0.315 1.442  0.334 1.526  0.339 1.612  0.339 1.698  0.339 1.785  0.339 1.871
3#apa#apa03#app0360/n  -0.916 0.035  -0.916 -0.095  -0.916 -0.225  -0.964 -0.307  -1.087 -0.315  -1.087 -0.445  -1.184 -0.478  -1.258 -0.535  -1.258 -0.665  -1.258 -0.795  -1.153 -0.820  -1.041 -0.774  -0.949 -0.682  -0.833 -0.649  -0.745 -0.607  -0.743 -0.478  -0.613 -0.478  -0.574 -0.387  -0.538 -0.272  -0.446 -0.180  -0.354 -0.087  -0.262 0.005  -0.144 0.035  -0.061 0.081  -0.057 0.210  0.035 0.302  0.127 0.394  0.220 0.486  0.312 0.578  0.404 0.670  0.496 0.762  0.588 0.855  0.703 0.890  0.834 0.890  0.964 0.890  1.094 0.890  1.136 0.802  1.136 0.672  1.136 0.542  1.136 0.411  1.040 0.377  0.965 0.322  0.965 0.192  0.965 0.061  0.965 -0.069  0.921 -0.181  0.829 -0.273  0.794 -0.389  0.794 -0.519  0.794 -0.649
3#apa#apa03#app0360/k  -0.257 2.164  -0.257 1.958  -0.335 1.784  -0.409 1.608  -0.409 1.401  -0.409 1.195  -0.409 0.989  -0.417 0.784  -0.509 0.600  -0.560 0.405  -0.560 0.199  -0.560 -0.007  -0.560 -0.214  -0.674 -0.373  -0.712 -0.564  -0.712 -0.770  -0.712 -0.977  -0.702 -1.158  -0.556 -1.012  -0.410 -0.866  -0.264 -0.720  -0.118 -0.575  0.028 -0.429  0.174 -0.283  0.320 -0.137  0.466 0.009  0.612 0.155  0.758 0.301  0.904 0.447  1.050 0.593  1.106 0.523  0.928 0.484  0.743 0.392  0.578 0.273  0.404 0.195  0.198 0.195  0.051 0.049  -0.139 0.010  -0.285 -0.136  -0.409 -0.291  -0.323 -0.411  -0.257 -0.552  -0.062 -0.563  0.116 -0.633  0.262 -0.779  0.432 -0.866  0.500 -1.004  0.652 -1.059  0.748 -1.169  0.955 -1.169
3#apa#apa03#app0360/i  -0.145 -0.417  -0.145 -0.508  -0.145 -0.598  -0.145 -0.689  -0.234 -0.690  -0.281 -0.734  -0.281 -0.824  -0.281 -0.915  -0.281 -1.005  -0.281 -1.096  -0.281 -1.187  -0.281 -1.277  -0.281 -1.368  -0.263 -1.288  -0.243 -1.199  -0.224 -1.111  -0.205 -1.022  -0.186 -0.934  -0.166 -0.845  -0.147 -0.757  -0.128 -0.668  -0.109 -0.580  -0.089 -0.491  -0.070 -0.403  -0.051 -0.314  -0.032 -0.226  -0.012 -0.137  0.007 -0.049  0.026 0.040  0.045 0.128  0.064 0.217  0.084 0.306  0.103 0.394  0.122 0.483  0.141 0.571  0.161 0.660  0.180 0.748  0.199 0.837  0.218 0.925  0.238 1.014  0.257 1.102  0.276 1.191  0.295 1.279  0.315 1.368  0.334 1.456  0.353 1.545  0.372 1.633  0.392 1.722  0.401 1.811  0.401 1.902
3#apa#apa03#app0360/n  -0.664 0.384  -0.766 0.282  -0.846 0.172  -0.846 0.028  -0.846 -0.116  -0.916 -0.231  -1.017 -0.333  -1.027 -0.472  -1.027 -0.616  -1.065 -0.744  -1.167 -0.846  -1.124 -0.888  -1.027 -0.841  -1.021 -0.700  -0.919 -0.598  -0.846 -0.485  -0.844 -0.343  -0.700 -0.343  -0.588 -0.266  -0.486 -0.165  -0.384 -0.063  -0.301 0.046  -0.301 0.190  -0.208 0.295  -0.106 0.397  -0.004 0.499  0.097 0.600  0.199 0.702  0.316 0.783  0.444 0.847  0.573 0.912  0.713 0.929  0.857 0.929  0.971 0.900  0.971 0.756  1.106 0.747  1.153 0.650  1.153 0.506  1.153 0.362  1.153 0.218  1.062 0.112  0.971 0.006  0.971 -0.138  0.886 -0.246  0.789 -0.350  0.789 -0.494  0.789 -0.638  0.714 -0.706  0.608 -0.744  0.608 -0.888
3#apa#apa03#app0360/g  0.203 0.844  0.158 0.944  0.102 1.033  -0.032 1.045  -0.177 1.045  -0.322 1.045  -0.401 0.978  -0.479 0.866  -0.511 0.734  -0.602 0.626  -0.602 0.481  -0.527 0.367  -0.393 0.341  -0.248 0.341  -0.131 0.410  0.001 0.442  0.045 0.542  0.102 0.631  0.203 0.675  0.280 0.743  0.389 0.829  0.428 0.944  0.504 1.013  0.504 0.931  0.504 0.786  0.432 0.671  0.404 0.538  0.404 0.393  0.404 0.248  0.306 0.143  0.303 -0.001  0.303 -0.146  0.303 -0.291  0.303 -0.436  0.303 -0.581  0.303 -0.726  0.303 -0.872  0.303 -1.017  0.235 -1.134  0.203 -1.265  0.160 -1.368  0.102 -1.455  -0.030 -1.468  -0.175 -1.468  -0.320 -1.468  -0.465 -1.468  -0.608 -1.462  -0.714 -1.368  -0.859 -1.368  -0.903 -1.267
