2#apa#apa04#app0448/p  -0.151 0.627  -0.087 0.500  -0.024 0.370  -0.024 0.178  -0.024 -0.014  -0.024 -0.206  -0.028 -0.397  -0.151 -0.538  -0.151 -0.730  -0.151 -0.922  -0.212 -1.090  -0.279 -1.254  -0.279 -1.446  -0.378 -1.539  -0.406 -1.703  -0.406 -1.693  -0.406 -1.501  -0.406 -1.309  -0.406 -1.116  -0.406 -0.924  -0.406 -0.732  -0.406 -0.540  -0.406 -0.348  -0.329 -0.187  -0.279 -0.016  -0.279 0.176  -0.279 0.368  -0.279 0.561  -0.279 0.753  -0.234 0.927  -0.151 1.085  -0.139 1.264  -0.024 1.341  -0.010 1.519  0.182 1.519  0.370 1.508  0.506 1.372  0.613 1.224  0.687 1.063  0.741 0.893  0.741 0.700  0.741 0.508  0.741 0.316  0.741 0.124  0.682 -0.010  0.613 -0.133  0.425 -0.137  0.233 -0.137  0.041 -0.137  -0.151 -0.137
2#apa#apa04#app0448/n  -0.830 0.442  -0.830 0.303  -0.830 0.163  -0.830 0.023  -0.830 -0.117  -0.830 -0.257  -0.830 -0.397  -0.830 -0.537  -0.830 -0.677  -0.830 -0.817  -0.830 -0.957  -0.830 -1.097  -0.830 -1.237  -0.830 -1.178  -0.805 -1.063  -0.666 -1.063  -0.615 -0.973  -0.605 -0.837  -0.506 -0.738  -0.407 -0.639  -0.308 -0.540  -0.209 -0.441  -0.185 -0.311  -0.163 -0.181  -0.064 -0.082  0.030 0.019  0.030 0.159  0.081 0.278  0.180 0.377  0.279 0.476  0.378 0.575  0.460 0.681  0.460 0.821  0.523 0.935  0.622 1.034  0.721 1.133  0.820 1.232  0.890 1.262  0.890 1.122  0.890 0.982  0.890 0.842  0.890 0.702  0.890 0.562  0.890 0.422  0.890 0.282  0.890 0.142  0.890 0.002  0.890 -0.138  0.890 -0.278  0.890 -0.418
2#apa#apa04#app0448/c  0.603 0.897  0.703 0.897  0.783 0.917  0.783 1.018  0.741 1.077  0.641 1.077  0.541 1.077  0.440 1.077  0.340 1.077  0.240 1.077  0.139 1.077  0.046 1.060  -0.025 0.989  -0.096 0.918  -0.188 0.897  -0.288 0.897  -0.298 0.806  -0.298 0.706  -0.298 0.605  -0.312 0.508  -0.357 0.419  -0.402 0.329  -0.447 0.239  -0.499 0.155  -0.570 0.084  -0.641 0.013  -0.658 -0.080  -0.658 -0.181  -0.658 -0.281  -0.658 -0.382  -0.658 -0.482  -0.631 -0.571  -0.560 -0.642  -0.489 -0.713  -0.418 -0.784  -0.347 -0.855  -0.276 -0.926  -0.205 -0.997  -0.134 -1.068  -0.041 -1.084  0.060 -1.084  0.160 -1.084  0.260 -1.084  0.361 -1.084  0.461 -1.084  0.561 -1.084  0.662 -1.084  0.762 -1.084  0.862 -1.084  0.963 -1.084
2#apa#apa04#app0448/h  -0.012 2.085  -0.012 1.948  -0.037 1.822  -0.131 1.724  -0.131 1.587  -0.131 1.451  -0.149 1.317  -0.192 1.187  -0.236 1.057  -0.250 0.923  -0.250 0.786  -0.307 0.663  -0.368 0.541  -0.369 0.404  -0.369 0.267  -0.406 0.146  -0.488 0.043  -0.488 -0.094  -0.488 -0.230  -0.488 -0.367  -0.488 -0.504  -0.488 -0.641  -0.545 -0.764  -0.606 -0.886  -0.590 -1.006  -0.453 -1.006  -0.369 -0.954  -0.299 -0.887  -0.250 -0.799  -0.175 -0.693  -0.078 -0.597  -0.012 -0.487  0.031 -0.368  0.133 -0.279  0.256 -0.218  0.345 -0.137  0.384 -0.016  0.487 0.064  0.624 0.064  0.701 0.005  0.701 -0.132  0.701 -0.269  0.701 -0.406  0.701 -0.542  0.701 -0.679  0.701 -0.816  0.701 -0.952  0.618 -1.006  0.582 -1.107  0.582 -1.244
2#apa#apa04#app0448/a  0.286 0.842  0.458 0.842  0.503 0.968  0.423 1.059  0.251 1.059  0.079 1.059  -0.092 1.059  -0.230 0.977  -0.351 0.856  -0.473 0.734  -0.594 0.613  -0.715 0.492  -0.837 0.370  -0.958 0.249  -1.079 0.128  -1.201 0.006  -1.234 -0.152  -1.234 -0.323  -1.234 -0.495  -1.234 -0.666  -1.234 -0.838  -1.120 -0.895  -0.948 -0.895  -0.776 -0.895  -0.605 -0.895  -0.433 -0.895  -0.261 -0.895  -0.107 -0.854  0.014 -0.733  0.163 -0.678  0.321 -0.643  0.442 -0.522  0.588 -0.461  0.720 -0.421  0.720 -0.250  0.720 -0.078  0.720 0.094  0.720 0.265  0.750 0.408  0.921 0.408  0.938 0.563  0.860 0.547  0.739 0.426  0.720 0.262  0.720 0.090  0.720 -0.082  0.727 -0.250  0.848 -0.372  0.938 -0.507  0.938 -0.678
2#apa#apa04#app0448/n  -0.508 1.037  -0.508 0.863  -0.508 0.690  -0.508 0.517  -0.508 0.343  -0.508 0.170  -0.508 -0.004  -0.598 -0.140  -0.720 -0.263  -0.726 -0.434  -0.726 -0.607  -0.781 -0.758  -0.903 -0.881  -0.944 -1.038  -0.944 -1.211  -0.915 -1.356  -0.742 -1.356  -0.726 -1.199  -0.646 -1.059  -0.523 -0.936  -0.508 -0.769  -0.400 -0.704  -0.291 -0.639  -0.277 -0.472  -0.154 -0.349  -0.055 -0.212  0.000 -0.048  0.055 0.117  0.110 0.281  0.209 0.384  0.362 0.405  0.362 0.579  0.468 0.708  0.591 0.831  0.713 0.953  0.797 1.092  0.808 1.254  0.981 1.254  0.915 1.155  0.797 1.031  0.797 0.857  0.797 0.684  0.797 0.510  0.797 0.337  0.797 0.164  0.797 -0.010  0.797 -0.183  0.797 -0.357  0.797 -0.530  0.797 -0.704
2#apa#apa04#app0448/t  0.488 2.145  0.488 1.977  0.483 1.811  0.408 1.660  0.380 1.499  0.328 1.340  0.275 1.180  0.201 1.030  0.164 0.871  0.152 0.705  0.099 0.545  0.056 0.385  0.056 0.217  -0.011 0.065  -0.052 -0.093  -0.052 -0.261  -0.080 -0.425  -0.133 -0.584  -0.160 -0.747  -0.160 -0.915  -0.160 -1.083  -0.051 -1.206  0.072 -1.313  0.232 -1.347  0.382 -1.421  0.550 -1.421  0.519 -1.327  0.412 -1.198  0.306 -1.068  0.199 -0.939  0.092 -0.809  -0.014 -0.680  -0.121 -0.550  -0.228 -0.420  -0.335 -0.291  -0.441 -0.161  -0.548 -0.032  -0.655 0.098  -0.761 0.228  -0.868 0.357  -0.852 0.351  -0.733 0.232  -0.579 0.200  -0.411 0.200  -0.243 0.200  -0.075 0.200  0.093 0.200  0.261 0.200  0.429 0.200  0.596 0.200
2#apa#apa04#app0448/e  -1.336 -0.146  -1.180 -0.146  -1.024 -0.146  -0.867 -0.146  -0.711 -0.146  -0.555 -0.146  -0.398 -0.146  -0.242 -0.146  -0.086 -0.146  0.071 -0.146  0.227 -0.146  0.383 -0.146  0.539 -0.146  0.674 -0.093  0.784 0.018  0.907 0.099  1.063 0.099  1.188 0.176  1.298 0.287  1.355 0.420  1.355 0.576  1.355 0.732  1.299 0.833  1.143 0.833  0.986 0.833  0.830 0.833  0.674 0.833  0.518 0.833  0.363 0.826  0.223 0.756  0.083 0.686  -0.057 0.616  -0.113 0.495  -0.116 0.340  -0.227 0.230  -0.338 0.119  -0.485 0.099  -0.630 0.071  -0.741 -0.040  -0.847 -0.152  -0.847 -0.308  -0.847 -0.464  -0.847 -0.621  -0.847 -0.777  -0.847 -0.933  -0.847 -1.090  -0.761 -1.210  -0.650 -1.321  -0.514 -1.369  -0.358 -1.369
2#apa#apa04#app0448/d  0.005 -0.453  -0.114 -0.377  -0.267 -0.334  -0.463 -0.334  -0.639 -0.382  -0.777 -0.520  -0.831 -0.693  -0.949 -0.840  -0.949 -1.036  -0.785 -1.094  -0.620 -1.168  -0.439 -1.135  -0.300 -0.997  -0.132 -0.930  -0.073 -0.770  0.005 -0.606  0.077 -0.428  0.124 -0.243  0.124 -0.048  0.124 0.148  0.161 0.335  0.243 0.511  0.243 0.706  0.263 0.817  0.351 0.643  0.362 0.788  0.362 0.984  0.362 1.179  0.362 1.375  0.415 1.558  0.481 1.738  0.478 1.692  0.362 1.611  0.362 1.416  0.362 1.220  0.331 1.032  0.243 0.857  0.205 0.666  0.166 0.474  0.128 0.282  0.124 0.087  0.124 -0.109  0.124 -0.304  0.103 -0.495  0.016 -0.670  0.005 -0.863  0.005 -1.058  0.005 -1.254  0.005 -1.450  0.124 -1.526
2#apa#apa04#app0448/l  0.306 1.689  0.306 1.614  0.306 1.539  0.306 1.464  0.306 1.389  0.306 1.314  0.291 1.245  0.238 1.192  0.185 1.139  0.163 1.073  0.163 0.998  0.163 0.923  0.163 0.848  0.163 0.773  0.163 0.698  0.117 0.642  0.064 0.589  0.020 0.532  0.020 0.457  0.011 0.384  -0.022 0.317  -0.056 0.250  -0.090 0.183  -0.123 0.116  -0.123 0.041  -0.123 -0.034  -0.123 -0.109  -0.123 -0.184  -0.123 -0.259  -0.123 -0.334  -0.123 -0.409  -0.144 -0.476  -0.197 -0.529  -0.250 -0.582  -0.265 -0.650  -0.265 -0.725  -0.265 -0.800  -0.265 -0.875  -0.265 -0.950  -0.265 -1.025  -0.213 -1.079  -0.160 -1.132  -0.123 -1.191  -0.123 -1.266  -0.102 -1.333  -0.049 -1.386  0.004 -1.439  0.057 -1.492  0.110 -1.545  0.163 -1.598
2#apa#apa04#app0448/e  -1.101 -0.024  -0.928 -0.024  -0.823 -0.092  -0.823 -0.265  -0.688 -0.302  -0.515 -0.302  -0.342 -0.302  -0.169 -0.302  0.004 -0.302  0.176 -0.302  0.331 -0.259  0.453 -0.137  0.580 -0.024  0.753 -0.024  0.926 -0.024  1.098 -0.024  1.121 0.126  1.121 0.298  1.121 0.471  1.121 0.644  1.113 0.809  0.940 0.809  0.843 0.885  0.843 1.058  0.700 1.087  0.527 1.087  0.354 1.087  0.288 0.980  0.286 0.809  0.113 0.809  -0.060 0.809  -0.232 0.809  -0.268 0.672  -0.291 0.508  -0.413 0.386  -0.535 0.264  -0.546 0.095  -0.583 -0.062  -0.705 -0.184  -0.823 -0.308  -0.823 -0.481  -0.823 -0.654  -0.823 -0.827  -0.723 -0.958  -0.601 -1.080  -0.479 -1.202  -0.357 -1.325  -0.234 -1.447  -0.112 -1.569  0.010 -1.691
2#apa#apa04#app0448/v  -0.888 0.587  -0.888 0.463  -0.888 0.339  -0.888 0.215  -0.833 0.146  -0.709 0.146  -0.668 0.064  -0.668 -0.060  -0.668 -0.184  -0.668 -0.308  -0.668 -0.432  -0.626 -0.514  -0.502 -0.514  -0.448 -0.583  -0.448 -0.707  -0.448 -0.831  -0.447 -0.954  -0.323 -0.954  -0.228 -0.982  -0.228 -1.106  -0.172 -1.174  -0.048 -1.174  -0.008 -1.090  -0.008 -0.966  -0.008 -0.842  0.007 -0.734  0.131 -0.734  0.212 -0.691  0.212 -0.567  0.262 -0.464  0.349 -0.376  0.432 -0.287  0.432 -0.163  0.432 -0.039  0.432 0.085  0.452 0.206  0.491 0.323  0.530 0.441  0.569 0.558  0.608 0.676  0.647 0.793  0.652 0.916  0.652 1.040  0.652 1.164  0.652 1.288  0.652 1.411  0.652 1.535  0.652 1.659  0.748 1.687  0.872 1.687
2#apa#apa04#app0448/e  -0.593 0.494  -0.458 0.494  -0.324 0.494  -0.223 0.574  -0.116 0.639  -0.013 0.671  -0.033 0.784  -0.158 0.794  -0.158 0.929  -0.291 0.929  -0.389 0.843  -0.500 0.784  -0.593 0.743  -0.623 0.639  -0.737 0.620  -0.747 0.494  -0.881 0.494  -0.882 0.362  -1.004 0.349  -1.027 0.238  -1.027 0.104  -0.964 -0.004  -0.882 -0.105  -0.877 -0.236  -0.782 -0.331  -0.666 -0.375  -0.593 -0.437  -0.542 -0.520  -0.419 -0.548  -0.325 -0.643  -0.199 -0.665  -0.092 -0.731  0.009 -0.810  0.143 -0.810  0.278 -0.810  0.412 -0.810  0.546 -0.810  0.680 -0.810  0.785 -0.738  0.889 -0.665  1.017 -0.651  1.112 -0.556  1.185 -0.445  1.245 -0.325  1.312 -0.210  1.407 -0.115  1.437 0.007  1.495 0.117  1.582 0.215  1.582 0.349
2#apa#apa04#app0448/r  -0.571 -0.196  -0.571 -0.305  -0.571 -0.413  -0.571 -0.522  -0.571 -0.630  -0.571 -0.738  -0.571 -0.847  -0.571 -0.955  -0.571 -1.064  -0.583 -1.160  -0.692 -1.160  -0.664 -1.160  -0.571 -1.145  -0.571 -1.036  -0.571 -0.928  -0.571 -0.819  -0.571 -0.711  -0.495 -0.678  -0.410 -0.654  -0.410 -0.546  -0.410 -0.437  -0.410 -0.329  -0.410 -0.221  -0.410 -0.112  -0.388 -0.013  -0.311 0.064  -0.250 0.147  -0.250 0.255  -0.195 0.341  -0.118 0.418  -0.041 0.494  0.035 0.571  0.112 0.648  0.189 0.724  0.232 0.815  0.232 0.923  0.335 0.929  0.444 0.929  0.552 0.929  0.661 0.929  0.769 0.929  0.877 0.927  0.954 0.851  1.030 0.774  1.137 0.768  1.245 0.768  1.354 0.768  1.357 0.664  1.410 0.607  1.518 0.607
2#apa#apa04#app0448/.  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
2#apa#apa04#app0448/T  0.277 0.835  0.384 0.785  0.384 0.628  0.278 0.515  0.207 0.375  0.137 0.234  0.067 0.094  0.044 -0.058  -0.026 -0.199  -0.045 -0.351  -0.045 -0.509  -0.093 -0.654  -0.152 -0.797  -0.152 -0.954  -0.152 -1.112  -0.152 -1.269  -0.152 -1.426  -0.152 -1.583  -0.190 -1.525  -0.244 -1.378  -0.299 -1.230  -0.353 -1.083  -0.407 -0.935  -0.462 -0.788  -0.516 -0.641  -0.570 -0.493  -0.625 -0.346  -0.679 -0.198  -0.733 -0.051  -0.788 0.096  -0.842 0.244  -0.896 0.391  -0.771 0.430  -0.660 0.541  -0.535 0.621  -0.378 0.621  -0.328 0.728  -0.171 0.728  -0.014 0.728  0.143 0.728  0.293 0.744  0.413 0.835  0.570 0.835  0.727 0.835  0.884 0.835  1.041 0.835  1.198 0.835  1.355 0.835  1.512 0.835  1.669 0.835
2#apa#apa04#app0448/h  0.209 2.065  0.209 1.918  0.209 1.771  0.192 1.631  0.088 1.528  0.070 1.388  -0.021 1.279  -0.069 1.152  -0.097 1.010  -0.143 0.870  -0.189 0.731  -0.247 0.596  -0.313 0.465  -0.347 0.326  -0.382 0.188  -0.448 0.056  -0.486 -0.082  -0.535 -0.208  -0.625 -0.318  -0.625 -0.465  -0.650 -0.601  -0.754 -0.705  -0.764 -0.848  -0.763 -0.993  -0.625 -0.984  -0.608 -0.854  -0.486 -0.829  -0.453 -0.715  -0.318 -0.686  -0.214 -0.582  -0.208 -0.438  -0.105 -0.334  -0.069 -0.202  0.005 -0.085  0.109 0.019  0.214 0.119  0.361 0.119  0.508 0.119  0.626 0.090  0.652 -0.046  0.756 -0.150  0.765 -0.293  0.765 -0.440  0.758 -0.583  0.654 -0.687  0.626 -0.823  0.626 -0.970  0.626 -1.116  0.757 -1.132  0.765 -1.271
2#apa#apa04#app0448/e  -0.796 0.041  -0.623 0.041  -0.451 0.041  -0.288 0.051  -0.274 0.211  -0.102 0.211  0.071 0.211  0.221 0.234  0.247 0.380  0.420 0.380  0.560 0.414  0.596 0.550  0.729 0.590  0.698 0.750  0.576 0.872  0.560 1.038  0.407 1.058  0.234 1.058  0.061 1.058  -0.064 0.943  -0.214 0.889  -0.358 0.819  -0.480 0.696  -0.602 0.574  -0.724 0.452  -0.847 0.330  -0.969 0.208  -1.091 0.085  -1.135 -0.069  -1.135 -0.242  -1.135 -0.415  -1.135 -0.588  -1.011 -0.637  -0.852 -0.693  -0.698 -0.771  -0.533 -0.806  -0.360 -0.806  -0.187 -0.806  -0.015 -0.806  0.158 -0.806  0.331 -0.806  0.504 -0.806  0.677 -0.806  0.814 -0.721  0.952 -0.637  1.125 -0.637  1.298 -0.637  1.471 -0.637  1.624 -0.589  1.746 -0.467
