3#app#app13#app1325/@  0.367 0.200  0.215 0.303  -0.040 0.303  -0.247 0.256  -0.447 0.200  -0.555 0.053  -0.657 -0.159  -0.657 -0.414  -0.555 -0.566  -0.353 -0.619  -0.247 -0.470  -0.106 -0.273  0.060 -0.087  0.162 0.125  0.162 0.380  0.162 0.176  0.162 -0.079  0.389 -0.107  0.520 0.046  0.572 0.280  0.675 0.492  0.675 0.747  0.675 1.002  0.675 1.256  0.533 1.430  0.381 1.532  0.126 1.532  -0.109 1.448  -0.327 1.350  -0.434 1.140  -0.542 0.930  -0.657 0.723  -0.721 0.483  -0.760 0.237  -0.760 -0.017  -0.760 -0.272  -0.760 -0.527  -0.760 -0.782  -0.682 -1.004  -0.574 -1.214  -0.394 -1.395  -0.157 -1.438  0.098 -1.438  0.327 -1.376  0.517 -1.210  0.710 -1.061  0.851 -0.853  0.975 -0.632  1.084 -0.422  1.187 -0.209
3#app#app13#app1325/u  -0.949 0.439  -0.949 0.336  -0.949 0.234  -0.949 0.131  -0.949 0.029  -0.949 -0.074  -0.949 -0.177  -0.949 -0.279  -0.949 -0.382  -0.949 -0.484  -0.949 -0.587  -0.888 -0.664  -0.815 -0.737  -0.742 -0.809  -0.670 -0.882  -0.596 -0.950  -0.493 -0.950  -0.390 -0.950  -0.288 -0.950  -0.255 -0.881  -0.255 -0.778  -0.255 -0.675  -0.233 -0.582  -0.161 -0.509  -0.088 -0.436  -0.016 -0.364  0.057 -0.291  0.129 -0.219  0.202 -0.146  0.275 -0.074  0.347 -0.001  0.420 0.071  0.514 0.092  0.617 0.092  0.719 0.092  0.787 0.126  0.787 0.229  0.787 0.331  0.787 0.434  0.787 0.537  0.787 0.639  0.787 0.742  0.813 0.838  0.859 0.930  0.905 1.022  0.951 1.114  0.997 1.205  1.043 1.297  1.089 1.389  1.135 1.481
3#app#app13#app1325/g  -0.209 1.343  -0.376 1.343  -0.388 1.188  -0.532 1.164  -0.568 1.032  -0.568 0.864  -0.568 0.696  -0.568 0.529  -0.568 0.361  -0.568 0.193  -0.568 0.025  -0.521 -0.095  -0.363 -0.069  -0.245 0.049  -0.092 0.085  -0.029 0.190  -0.029 0.358  0.028 0.502  0.147 0.620  0.151 0.787  0.257 0.910  0.331 1.048  0.382 1.164  0.510 1.124  0.510 0.956  0.510 0.788  0.510 0.620  0.510 0.453  0.623 0.332  0.690 0.192  0.690 0.024  0.690 -0.144  0.690 -0.312  0.672 -0.472  0.554 -0.591  0.510 -0.740  0.510 -0.908  0.452 -1.052  0.333 -1.170  0.215 -1.289  0.096 -1.408  -0.022 -1.526  -0.187 -1.533  -0.312 -1.429  -0.448 -1.353  -0.568 -1.305  -0.568 -1.137  -0.568 -0.969  -0.568 -0.802  -0.568 -0.634
3#app#app13#app1325/g  -0.272 1.324  -0.415 1.293  -0.459 1.137  -0.558 1.004  -0.558 0.830  -0.626 0.684  -0.701 0.542  -0.701 0.368  -0.701 0.194  -0.587 0.067  -0.558 -0.095  -0.395 -0.106  -0.221 -0.106  -0.129 -0.024  -0.049 0.117  0.074 0.240  0.197 0.363  0.300 0.495  0.300 0.669  0.364 0.816  0.443 0.957  0.443 1.131  0.567 1.181  0.729 1.169  0.729 0.995  0.729 0.821  0.729 0.647  0.729 0.473  0.729 0.299  0.729 0.125  0.729 -0.049  0.729 -0.223  0.663 -0.382  0.586 -0.538  0.563 -0.702  0.443 -0.826  0.418 -0.990  0.295 -1.113  0.171 -1.236  0.048 -1.359  -0.111 -1.393  -0.285 -1.393  -0.459 -1.393  -0.611 -1.340  -0.701 -1.203  -0.701 -1.029  -0.701 -0.855  -0.701 -0.681  -0.681 -0.515  -0.558 -0.392
3#app#app13#app1325/l  -0.157 1.683  -0.157 1.611  -0.157 1.540  -0.157 1.469  -0.157 1.397  -0.157 1.326  -0.157 1.255  -0.157 1.183  -0.157 1.112  -0.157 1.041  -0.157 0.969  -0.157 0.898  -0.157 0.827  -0.142 0.761  -0.092 0.711  -0.041 0.660  0.009 0.610  0.059 0.560  0.070 0.493  0.070 0.421  0.070 0.350  0.070 0.279  0.070 0.207  0.070 0.136  0.070 0.065  0.070 -0.007  0.070 -0.078  0.070 -0.149  0.070 -0.221  0.070 -0.292  0.070 -0.363  0.070 -0.435  0.070 -0.506  0.070 -0.577  0.070 -0.649  0.070 -0.720  0.070 -0.791  0.070 -0.862  0.070 -0.934  0.070 -1.005  0.070 -1.076  0.070 -1.148  0.070 -1.219  0.070 -1.290  0.070 -1.362  0.070 -1.433  0.070 -1.504  0.070 -1.576  0.070 -1.647  0.070 -1.718
3#app#app13#app1325/e  0.578 0.798  0.578 0.886  0.578 0.975  0.578 1.064  0.578 1.152  0.564 1.227  0.475 1.227  0.387 1.227  0.298 1.227  0.209 1.227  0.129 1.207  0.066 1.144  0.004 1.082  -0.059 1.019  -0.066 0.933  -0.066 0.845  -0.095 0.768  -0.158 0.706  -0.220 0.643  -0.280 0.579  -0.280 0.490  -0.280 0.402  -0.280 0.313  -0.280 0.225  -0.280 0.136  -0.280 0.048  -0.280 -0.041  -0.280 -0.130  -0.280 -0.218  -0.280 -0.307  -0.280 -0.395  -0.280 -0.484  -0.280 -0.573  -0.280 -0.661  -0.280 -0.750  -0.280 -0.838  -0.280 -0.927  -0.280 -1.015  -0.280 -1.104  -0.237 -1.175  -0.174 -1.237  -0.112 -1.300  -0.042 -1.346  0.046 -1.346  0.135 -1.346  0.223 -1.346  0.312 -1.346  0.363 -1.309  0.363 -1.220  0.363 -1.132
3#app#app13#app1325/r  -0.427 0.511  -0.427 0.387  -0.427 0.264  -0.427 0.141  -0.404 0.027  -0.317 -0.060  -0.230 -0.147  -0.197 -0.257  -0.197 -0.380  -0.197 -0.503  -0.197 -0.627  -0.197 -0.750  -0.195 -0.872  -0.108 -0.959  -0.021 -1.047  0.033 -1.148  0.033 -1.271  0.033 -1.394  0.033 -1.517  0.033 -1.481  0.033 -1.357  0.033 -1.234  0.033 -1.111  0.033 -0.988  0.033 -0.864  0.033 -0.741  0.033 -0.618  0.033 -0.495  0.033 -0.371  0.033 -0.248  0.033 -0.125  0.033 -0.002  0.033 0.122  0.033 0.245  0.033 0.368  0.033 0.491  0.033 0.615  0.033 0.738  0.033 0.861  0.033 0.984  0.033 1.108  0.054 1.222  0.141 1.309  0.229 1.396  0.263 1.505  0.263 1.629  0.354 1.661  0.477 1.661  0.600 1.661  0.724 1.661
3#app#app13#app1325/s  0.131 1.575  0.028 1.575  -0.076 1.575  -0.180 1.575  -0.271 1.563  -0.271 1.459  -0.284 1.361  -0.358 1.288  -0.431 1.214  -0.473 1.128  -0.473 1.024  -0.473 0.920  -0.473 0.817  -0.473 0.713  -0.473 0.609  -0.473 0.505  -0.473 0.402  -0.473 0.298  -0.473 0.194  -0.420 0.113  -0.346 0.039  -0.273 -0.034  -0.271 -0.137  -0.267 -0.237  -0.164 -0.237  -0.063 -0.244  0.011 -0.318  0.084 -0.391  0.168 -0.438  0.272 -0.438  0.333 -0.481  0.333 -0.585  0.382 -0.640  0.485 -0.640  0.589 -0.640  0.693 -0.640  0.735 -0.701  0.735 -0.804  0.735 -0.908  0.735 -1.012  0.662 -1.042  0.558 -1.042  0.455 -1.042  0.351 -1.042  0.247 -1.042  0.144 -1.042  0.040 -1.042  -0.064 -1.042  -0.168 -1.042  -0.271 -1.042
3#app#app13#app1325/_  -1.704 -0.550  -1.645 -0.492  -1.587 -0.433  -1.528 -0.375  -1.470 -0.316  -1.411 -0.258  -1.344 -0.219  -1.261 -0.219  -1.179 -0.219  -1.096 -0.219  -1.013 -0.219  -0.930 -0.219  -0.847 -0.219  -0.764 -0.219  -0.682 -0.219  -0.599 -0.219  -0.516 -0.219  -0.433 -0.219  -0.358 -0.199  -0.300 -0.141  -0.241 -0.082  -0.183 -0.024  -0.124 0.035  -0.065 0.093  0.009 0.113  0.092 0.113  0.175 0.113  0.258 0.113  0.341 0.113  0.424 0.113  0.506 0.113  0.589 0.113  0.672 0.113  0.755 0.113  0.838 0.113  0.921 0.113  1.003 0.113  1.086 0.113  1.169 0.113  1.252 0.113  1.241 0.152  1.182 0.210  1.124 0.269  1.065 0.327  1.007 0.386  0.949 0.444  1.031 0.444  1.114 0.444  1.197 0.444  1.280 0.444
3#app#app13#app1325/_  -1.646 -0.658  -1.564 -0.658  -1.481 -0.658  -1.399 -0.658  -1.321 -0.648  -1.262 -0.590  -1.204 -0.531  -1.146 -0.473  -1.087 -0.415  -1.029 -0.356  -0.952 -0.343  -0.869 -0.343  -0.787 -0.343  -0.704 -0.343  -0.645 -0.287  -0.587 -0.229  -0.528 -0.171  -0.470 -0.112  -0.412 -0.054  -0.340 -0.028  -0.257 -0.028  -0.175 -0.028  -0.092 -0.028  -0.010 -0.028  0.073 -0.028  0.155 -0.028  0.238 -0.028  0.245 0.048  0.245 0.130  0.245 0.213  0.253 0.287  0.335 0.287  0.418 0.287  0.500 0.287  0.583 0.287  0.665 0.287  0.748 0.287  0.830 0.287  0.913 0.287  0.995 0.287  1.078 0.287  1.160 0.287  1.190 0.340  1.190 0.422  1.190 0.505  1.190 0.587  1.258 0.602  1.340 0.602  1.423 0.602  1.505 0.602
3#app#app13#app1325/w  -1.363 0.789  -1.363 0.660  -1.363 0.530  -1.306 0.458  -1.197 0.437  -1.197 0.308  -1.083 0.293  -1.032 0.214  -1.032 0.085  -1.028 -0.042  -0.936 -0.134  -0.867 -0.234  -0.867 -0.364  -0.867 -0.493  -0.804 -0.596  -0.713 -0.688  -0.622 -0.779  -0.528 -0.865  -0.398 -0.865  -0.269 -0.865  -0.159 -0.819  -0.067 -0.727  -0.040 -0.609  -0.001 -0.496  0.090 -0.404  0.126 -0.290  0.156 -0.173  0.247 -0.082  0.291 0.030  0.291 0.159  0.291 0.288  0.291 0.417  0.380 0.458  0.456 0.406  0.473 0.293  0.602 0.293  0.622 0.183  0.695 0.127  0.787 0.090  0.789 -0.038  0.918 -0.038  1.047 -0.038  1.118 0.021  1.134 0.143  1.225 0.235  1.317 0.326  1.408 0.418  1.449 0.530  1.449 0.660  1.449 0.789
3#app#app13#app1325/i  -0.194 -0.220  -0.194 -0.321  -0.166 -0.394  -0.065 -0.394  -0.020 -0.451  -0.020 -0.552  0.040 -0.628  0.112 -0.699  0.153 -0.783  0.153 -0.884  0.153 -0.986  0.153 -1.087  0.153 -1.188  0.153 -1.289  0.153 -1.390  0.153 -1.381  0.153 -1.280  0.144 -1.179  0.133 -1.079  0.122 -0.978  0.111 -0.877  0.099 -0.777  0.088 -0.676  0.077 -0.576  0.066 -0.475  0.055 -0.375  0.043 -0.274  0.032 -0.174  0.021 -0.073  0.010 0.027  -0.001 0.128  -0.012 0.228  -0.024 0.329  -0.035 0.429  -0.046 0.530  -0.057 0.630  -0.068 0.731  -0.079 0.832  -0.091 0.932  -0.102 1.033  -0.113 1.133  -0.124 1.234  -0.135 1.334  -0.146 1.435  -0.158 1.535  -0.169 1.636  -0.180 1.736  -0.191 1.837  -0.122 1.865  -0.020 1.865
3#app#app13#app1325/l  0.086 1.562  0.012 1.562  -0.062 1.562  -0.111 1.537  -0.111 1.463  -0.111 1.389  -0.111 1.316  -0.111 1.242  -0.111 1.168  -0.111 1.094  -0.111 1.020  -0.111 0.946  -0.111 0.873  -0.111 0.799  -0.111 0.725  -0.111 0.651  -0.111 0.577  -0.111 0.503  -0.111 0.430  -0.111 0.356  -0.111 0.282  -0.111 0.208  -0.074 0.150  -0.022 0.098  0.031 0.045  0.083 -0.007  0.086 -0.080  0.086 -0.153  0.086 -0.227  0.086 -0.301  0.086 -0.375  0.086 -0.449  0.086 -0.523  0.086 -0.596  0.086 -0.670  0.086 -0.744  0.086 -0.818  0.086 -0.892  0.086 -0.966  0.086 -1.039  0.086 -1.113  0.086 -1.187  0.086 -1.261  0.086 -1.335  0.086 -1.409  0.086 -1.482  0.086 -1.556  0.086 -1.532  0.086 -1.459  0.086 -1.385
3#app#app13#app1325/l  -0.091 1.761  -0.091 1.685  -0.091 1.610  -0.091 1.534  -0.091 1.458  -0.091 1.383  -0.091 1.307  -0.091 1.232  -0.091 1.156  -0.091 1.080  -0.091 1.005  -0.091 0.929  -0.091 0.854  -0.091 0.778  -0.091 0.703  -0.091 0.627  -0.091 0.551  -0.091 0.476  -0.091 0.400  -0.091 0.325  -0.091 0.249  -0.091 0.173  -0.091 0.098  -0.091 0.022  -0.091 -0.053  -0.091 -0.129  -0.091 -0.205  -0.091 -0.280  -0.091 -0.356  -0.091 -0.431  -0.046 -0.462  0.030 -0.462  0.105 -0.462  0.156 -0.487  0.156 -0.562  0.156 -0.638  0.156 -0.714  0.156 -0.789  0.156 -0.865  0.156 -0.940  0.156 -1.016  0.156 -1.092  0.156 -1.167  0.156 -1.243  0.156 -1.318  0.156 -1.394  0.156 -1.470  0.156 -1.545  0.156 -1.621  0.156 -1.696
3#app#app13#app1325/_  -1.044 0.244  -1.121 0.244  -1.199 0.244  -1.277 0.244  -1.355 0.244  -1.432 0.244  -1.386 0.244  -1.309 0.244  -1.231 0.244  -1.153 0.244  -1.076 0.244  -0.998 0.244  -0.920 0.244  -0.843 0.244  -0.765 0.244  -0.687 0.244  -0.618 0.223  -0.563 0.168  -0.508 0.113  -0.454 0.058  -0.399 0.003  -0.344 -0.051  -0.289 -0.106  -0.233 -0.160  -0.156 -0.160  -0.078 -0.160  -0.000 -0.160  0.078 -0.160  0.155 -0.160  0.233 -0.160  0.311 -0.160  0.388 -0.160  0.466 -0.160  0.544 -0.160  0.621 -0.160  0.699 -0.160  0.777 -0.160  0.854 -0.160  0.932 -0.160  1.010 -0.160  1.087 -0.160  1.165 -0.160  1.243 -0.160  1.320 -0.160  1.398 -0.160  1.476 -0.160  1.554 -0.160  1.631 -0.160  1.709 -0.160  1.787 -0.160
