2#apa#apa00#app0059/0  0.370 0.994  0.335 1.095  0.269 1.165  0.165 1.196  0.041 1.169  -0.055 1.073  -0.157 0.994  -0.276 0.953  -0.371 0.857  -0.467 0.761  -0.536 0.654  -0.568 0.527  -0.629 0.406  -0.720 0.307  -0.816 0.211  -0.838 0.085  -0.838 -0.050  -0.838 -0.186  -0.838 -0.321  -0.838 -0.456  -0.838 -0.592  -0.788 -0.715  -0.737 -0.839  -0.697 -0.957  -0.601 -1.053  -0.493 -1.119  -0.358 -1.119  -0.222 -1.119  -0.087 -1.119  0.049 -1.119  0.184 -1.119  0.305 -1.083  0.400 -0.988  0.496 -0.892  0.592 -0.796  0.682 -0.696  0.742 -0.575  0.772 -0.447  0.772 -0.312  0.772 -0.177  0.772 -0.041  0.772 0.094  0.772 0.229  0.772 0.365  0.738 0.495  0.695 0.623  0.628 0.736  0.547 0.842  0.486 0.963  0.471 1.095
2#apa#apa00#app0059/b  -0.460 2.010  -0.565 1.964  -0.565 1.813  -0.565 1.663  -0.565 1.512  -0.565 1.361  -0.565 1.211  -0.565 1.060  -0.565 0.909  -0.565 0.759  -0.498 0.624  -0.460 0.482  -0.457 0.332  -0.390 0.197  -0.356 0.054  -0.356 -0.096  -0.356 -0.247  -0.354 -0.397  -0.286 -0.532  -0.251 -0.674  -0.251 -0.825  -0.251 -0.976  -0.253 -0.914  -0.356 -0.806  -0.356 -0.655  -0.356 -0.505  -0.292 -0.369  -0.251 -0.228  -0.249 -0.080  -0.113 -0.045  0.009 0.025  0.149 0.069  0.286 0.129  0.436 0.129  0.587 0.129  0.723 0.095  0.793 -0.027  0.863 -0.149  0.898 -0.285  1.002 -0.392  1.002 -0.543  1.002 -0.694  0.969 -0.811  0.898 -0.890  0.772 -0.915  0.622 -0.915  0.471 -0.915  0.320 -0.915  0.170 -0.915  0.062 -0.811
2#apa#apa00#app0059/e  -0.366 -0.499  -0.270 -0.403  -0.153 -0.356  -0.035 -0.311  0.062 -0.215  0.197 -0.212  0.297 -0.123  0.351 -0.009  0.404 0.075  0.527 0.107  0.624 0.204  0.638 0.334  0.715 0.439  0.782 0.548  0.782 0.684  0.782 0.821  0.760 0.936  0.638 0.950  0.638 1.087  0.638 1.223  0.501 1.223  0.365 1.223  0.228 1.223  0.104 1.171  -0.018 1.110  -0.079 1.011  -0.123 0.892  -0.219 0.796  -0.316 0.699  -0.366 0.584  -0.366 0.447  -0.402 0.326  -0.499 0.229  -0.510 0.097  -0.510 -0.039  -0.510 -0.176  -0.510 -0.312  -0.510 -0.449  -0.510 -0.585  -0.510 -0.722  -0.510 -0.858  -0.510 -0.995  -0.510 -1.131  -0.487 -1.262  -0.426 -1.385  -0.364 -1.506  -0.267 -1.603  -0.171 -1.699  -0.072 -1.791  0.064 -1.791
2#apa#apa00#app0059/f  0.270 1.724  0.211 1.809  0.101 1.726  0.044 1.638  0.013 1.524  0.013 1.380  0.013 1.235  0.013 1.091  0.013 0.947  0.013 0.802  0.068 0.671  0.098 0.533  0.098 0.389  0.098 0.244  0.098 0.100  0.184 -0.009  0.184 -0.153  0.184 -0.298  0.184 -0.442  0.184 -0.587  0.184 -0.731  0.184 -0.876  0.184 -1.020  0.120 -1.149  0.091 -1.286  0.013 -1.398  -0.053 -1.515  -0.159 -1.565  -0.245 -1.618  -0.245 -1.473  -0.245 -1.329  -0.245 -1.184  -0.245 -1.040  -0.245 -0.895  -0.245 -0.751  -0.245 -0.606  -0.245 -0.462  -0.245 -0.317  -0.245 -0.173  -0.245 -0.028  -0.245 0.116  -0.245 0.260  -0.245 0.405  -0.159 0.464  -0.074 0.523  -0.015 0.609  0.120 0.631  0.238 0.695  0.383 0.695  0.527 0.695
2#apa#apa00#app0059/o  0.394 1.175  0.252 1.175  0.109 1.175  -0.034 1.175  -0.098 1.097  -0.155 1.011  -0.297 1.011  -0.426 0.997  -0.426 0.854  -0.522 0.751  -0.590 0.637  -0.607 0.502  -0.708 0.401  -0.754 0.277  -0.754 0.134  -0.754 -0.008  -0.754 -0.151  -0.754 -0.293  -0.754 -0.436  -0.754 -0.579  -0.688 -0.694  -0.587 -0.795  -0.486 -0.896  -0.386 -0.997  -0.285 -1.098  -0.184 -1.198  -0.077 -1.285  0.066 -1.285  0.208 -1.285  0.351 -1.285  0.464 -1.214  0.565 -1.114  0.666 -1.013  0.722 -0.893  0.722 -0.751  0.722 -0.608  0.722 -0.466  0.722 -0.323  0.668 -0.193  0.605 -0.065  0.558 0.066  0.558 0.209  0.558 0.351  0.496 0.479  0.432 0.607  0.394 0.741  0.369 0.873  0.268 0.974  0.167 1.074  0.066 1.175
2#apa#apa00#app0059/r  -0.420 1.107  -0.420 0.976  -0.420 0.845  -0.420 0.713  -0.420 0.582  -0.420 0.450  -0.420 0.319  -0.420 0.188  -0.420 0.056  -0.420 -0.075  -0.420 -0.207  -0.420 -0.338  -0.420 -0.469  -0.420 -0.601  -0.420 -0.732  -0.420 -0.864  -0.420 -0.995  -0.420 -1.126  -0.397 -1.249  -0.305 -1.342  -0.274 -1.460  -0.274 -1.445  -0.274 -1.313  -0.242 -1.195  -0.149 -1.102  -0.128 -0.979  -0.128 -0.848  -0.128 -0.717  -0.128 -0.585  -0.097 -0.467  -0.004 -0.374  0.018 -0.251  0.018 -0.120  0.068 -0.009  0.161 0.084  0.164 0.214  0.244 0.312  0.310 0.416  0.310 0.548  0.316 0.676  0.409 0.769  0.502 0.862  0.595 0.955  0.688 1.048  0.781 1.141  0.874 1.234  0.997 1.253  1.102 1.317  1.199 1.399  1.331 1.399
2#apa#apa00#app0059/e  -0.674 -0.015  -0.528 -0.015  -0.383 -0.015  -0.237 -0.015  -0.100 0.004  0.003 0.107  0.106 0.210  0.230 0.263  0.375 0.263  0.436 0.347  0.527 0.402  0.644 0.471  0.747 0.573  0.850 0.676  0.853 0.821  0.853 0.966  0.837 1.096  0.691 1.096  0.546 1.096  0.400 1.096  0.255 1.096  0.124 1.060  0.021 0.957  -0.123 0.953  -0.226 0.850  -0.358 0.818  -0.396 0.711  -0.477 0.599  -0.580 0.496  -0.674 0.389  -0.674 0.244  -0.674 0.098  -0.674 -0.047  -0.674 -0.193  -0.674 -0.338  -0.674 -0.484  -0.674 -0.629  -0.627 -0.755  -0.524 -0.858  -0.422 -0.961  -0.319 -1.064  -0.201 -1.144  -0.063 -1.190  0.075 -1.236  0.199 -1.304  0.303 -1.405  0.433 -1.470  0.563 -1.535  0.707 -1.541  0.853 -1.541
2#apa#apa00#app0059/'  -0.628 1.370  -0.552 1.370  -0.476 1.370  -0.400 1.370  -0.324 1.370  -0.249 1.370  -0.207 1.336  -0.207 1.260  -0.207 1.184  -0.207 1.108  -0.207 1.032  -0.207 0.956  -0.207 0.880  -0.207 0.804  -0.207 0.728  -0.207 0.652  -0.207 0.576  -0.207 0.500  -0.207 0.424  -0.207 0.348  -0.207 0.272  -0.207 0.197  -0.207 0.121  -0.164 0.062  -0.110 0.009  -0.056 -0.045  -0.003 -0.099  0.051 -0.152  0.105 -0.206  0.158 -0.260  0.212 -0.314  0.215 -0.388  0.215 -0.464  0.215 -0.540  0.215 -0.616  0.215 -0.692  0.215 -0.768  0.215 -0.844  0.215 -0.920  0.215 -0.996  0.215 -1.072  0.215 -1.148  0.260 -1.205  0.314 -1.259  0.368 -1.313  0.422 -1.366  0.475 -1.420  0.529 -1.474  0.583 -1.527  0.636 -1.581
2#apa#apa00#app0059/6  0.297 1.700  0.167 1.700  0.036 1.700  -0.038 1.644  -0.091 1.536  -0.171 1.435  -0.229 1.318  -0.303 1.212  -0.395 1.120  -0.485 1.027  -0.485 0.896  -0.514 0.777  -0.597 0.681  -0.597 0.551  -0.597 0.420  -0.597 0.290  -0.597 0.159  -0.597 0.029  -0.597 -0.102  -0.597 -0.232  -0.581 -0.360  -0.540 -0.484  -0.498 -0.608  -0.485 -0.736  -0.409 -0.835  -0.294 -0.871  -0.192 -0.941  -0.100 -1.033  0.005 -1.095  0.136 -1.095  0.266 -1.095  0.397 -1.095  0.493 -1.011  0.585 -0.919  0.677 -0.827  0.745 -0.724  0.783 -0.609  0.857 -0.509  0.857 -0.379  0.857 -0.248  0.798 -0.142  0.690 -0.088  0.559 -0.088  0.429 -0.088  0.298 -0.088  0.206 -0.180  0.114 -0.272  0.074 -0.386  0.074 -0.517  0.186 -0.536
2#apa#apa00#app0059/  0.630 1.563  0.580 1.513  0.530 1.463  0.511 1.400  0.511 1.329  0.481 1.266  0.450 1.203  0.418 1.140  0.393 1.075  0.393 1.005  0.376 0.938  0.345 0.875  0.313 0.812  0.282 0.749  0.250 0.686  0.219 0.623  0.187 0.559  0.156 0.496  0.124 0.433  0.093 0.370  0.061 0.307  0.029 0.244  -0.002 0.181  -0.034 0.118  -0.065 0.055  -0.080 -0.012  -0.080 -0.083  -0.080 -0.153  -0.084 -0.223  -0.106 -0.290  -0.129 -0.357  -0.151 -0.424  -0.173 -0.491  -0.195 -0.558  -0.226 -0.621  -0.257 -0.685  -0.289 -0.748  -0.320 -0.811  -0.352 -0.874  -0.384 -0.937  -0.415 -1.000  -0.435 -1.066  -0.435 -1.136  -0.435 -1.207  -0.435 -1.278  -0.435 -1.348  -0.435 -1.419  -0.435 -1.489  -0.435 -1.560  -0.435 -1.630
2#apa#apa00#app0059/7  -0.484 1.356  -0.332 1.356  -0.180 1.356  -0.029 1.356  0.123 1.356  0.275 1.356  0.427 1.356  0.579 1.356  0.640 1.265  0.509 1.243  0.415 1.186  0.415 1.034  0.354 0.897  0.302 0.757  0.302 0.605  0.302 0.453  0.302 0.301  0.244 0.174  0.190 0.044  0.190 -0.107  0.190 -0.259  0.154 -0.402  0.086 -0.538  0.078 -0.688  0.078 -0.840  0.078 -0.992  0.058 -1.136  -0.035 -1.249  -0.077 -1.383  -0.147 -1.506  -0.147 -1.658  -0.179 -1.550  -0.216 -1.403  -0.253 -1.256  -0.289 -1.108  -0.326 -0.961  -0.363 -0.814  -0.400 -0.667  -0.437 -0.519  -0.473 -0.372  -0.510 -0.225  -0.547 -0.078  -0.584 0.070  -0.496 0.120  -0.344 0.120  -0.192 0.120  -0.041 0.120  0.111 0.120  0.263 0.120  0.415 0.120
2#apa#apa00#app0059/  0.678 1.555  0.647 1.492  0.616 1.429  0.584 1.366  0.553 1.303  0.553 1.233  0.546 1.164  0.515 1.101  0.483 1.038  0.452 0.976  0.419 0.914  0.380 0.855  0.341 0.797  0.302 0.738  0.263 0.680  0.224 0.621  0.185 0.563  0.151 0.501  0.120 0.438  0.089 0.375  0.057 0.312  0.050 0.243  0.050 0.173  0.028 0.106  0.006 0.040  -0.016 -0.027  -0.039 -0.094  -0.061 -0.161  -0.086 -0.226  -0.118 -0.289  -0.149 -0.352  -0.181 -0.415  -0.212 -0.477  -0.243 -0.540  -0.275 -0.603  -0.306 -0.666  -0.338 -0.729  -0.369 -0.792  -0.401 -0.855  -0.432 -0.918  -0.452 -0.983  -0.452 -1.054  -0.452 -1.124  -0.452 -1.194  -0.477 -1.259  -0.508 -1.322  -0.540 -1.385  -0.571 -1.447  -0.578 -1.516  -0.578 -1.586
2#apa#apa00#app0059/8  0.227 1.311  0.019 1.309  -0.147 1.207  -0.289 1.140  -0.392 0.974  -0.485 0.805  -0.495 0.600  -0.453 0.401  -0.392 0.207  -0.289 0.102  -0.152 -0.030  0.057 -0.030  0.224 0.070  0.299 0.247  0.433 0.400  0.433 0.609  0.433 0.817  0.433 1.026  0.433 1.235  0.340 1.404  0.274 1.227  0.214 1.027  0.154 0.827  0.094 0.627  0.034 0.428  -0.020 0.238  -0.198 0.164  -0.345 0.016  -0.493 -0.131  -0.640 -0.279  -0.701 -0.462  -0.790 -0.634  -0.804 -0.837  -0.804 -1.045  -0.716 -1.165  -0.598 -1.317  -0.487 -1.474  -0.278 -1.474  -0.070 -1.474  0.139 -1.474  0.312 -1.389  0.494 -1.289  0.650 -1.154  0.743 -0.984  0.743 -0.776  0.706 -0.576  0.640 -0.383  0.595 -0.192  0.481 -0.021  0.433 0.176
2#apa#apa00#app0059/9  -0.717 -1.717  -0.580 -1.717  -0.519 -1.642  -0.406 -1.618  -0.285 -1.582  -0.188 -1.486  -0.091 -1.389  0.005 -1.292  0.076 -1.185  0.128 -1.070  0.175 -0.953  0.223 -0.828  0.274 -0.704  0.301 -0.573  0.362 -0.451  0.374 -0.317  0.396 -0.186  0.457 -0.064  0.473 0.069  0.473 0.206  0.473 0.342  0.473 0.479  0.473 0.615  0.473 0.752  0.383 0.851  0.356 0.977  0.260 1.073  0.175 1.175  0.120 1.257  -0.016 1.257  -0.153 1.257  -0.269 1.209  -0.366 1.112  -0.462 1.015  -0.576 0.959  -0.618 0.865  -0.618 0.728  -0.618 0.592  -0.618 0.455  -0.585 0.332  -0.476 0.265  -0.363 0.209  -0.244 0.166  -0.112 0.156  -0.012 0.067  0.125 0.067  0.261 0.067  0.398 0.067  0.534 0.067  0.671 0.067
