3#apa#apa00#app0047/o  0.218 0.581  0.320 0.684  0.338 0.821  0.338 0.966  0.291 1.064  0.218 1.136  0.121 1.184  -0.024 1.184  -0.126 1.081  -0.229 0.979  -0.331 0.876  -0.434 0.774  -0.525 0.663  -0.590 0.534  -0.671 0.416  -0.747 0.302  -0.747 0.157  -0.786 0.021  -0.850 -0.108  -0.867 -0.249  -0.867 -0.394  -0.867 -0.539  -0.867 -0.684  -0.808 -0.805  -0.706 -0.907  -0.626 -1.019  -0.569 -1.107  -0.433 -1.143  -0.303 -1.208  -0.162 -1.228  -0.017 -1.228  0.119 -1.206  0.222 -1.105  0.352 -1.040  0.477 -0.969  0.579 -0.866  0.596 -0.728  0.699 -0.626  0.700 -0.481  0.700 -0.336  0.700 -0.191  0.700 -0.046  0.700 0.099  0.700 0.244  0.700 0.389  0.700 0.534  0.700 0.679  0.700 0.824  0.682 0.961  0.580 1.064
3#apa#apa00#app0047/P  -0.142 0.904  -0.142 0.700  -0.142 0.495  -0.229 0.326  -0.265 0.137  -0.265 -0.068  -0.265 -0.273  -0.252 -0.474  -0.160 -0.657  -0.142 -0.858  -0.142 -1.062  -0.105 -1.258  -0.019 -1.442  0.047 -1.620  0.103 -1.798  0.054 -1.600  0.004 -1.401  -0.045 -1.203  -0.095 -1.004  -0.145 -0.806  -0.194 -0.607  -0.244 -0.409  -0.294 -0.210  -0.343 -0.011  -0.393 0.187  -0.443 0.386  -0.492 0.584  -0.542 0.783  -0.591 0.981  -0.634 1.181  -0.521 1.273  -0.388 1.344  -0.235 1.396  -0.030 1.396  0.123 1.273  0.317 1.228  0.504 1.150  0.675 1.070  0.820 0.926  0.841 0.730  0.841 0.525  0.841 0.320  0.841 0.116  0.747 -0.050  0.603 -0.195  0.452 -0.325  0.277 -0.397  0.132 -0.542  -0.060 -0.571  -0.265 -0.571
3#apa#apa00#app0047/O  0.141 1.315  0.130 1.191  -0.005 1.191  -0.130 1.167  -0.225 1.072  -0.321 0.977  -0.416 0.881  -0.526 0.821  -0.627 0.766  -0.687 0.646  -0.723 0.520  -0.770 0.404  -0.847 0.301  -0.847 0.166  -0.847 0.032  -0.847 -0.103  -0.847 -0.238  -0.788 -0.349  -0.723 -0.457  -0.723 -0.591  -0.677 -0.707  -0.582 -0.802  -0.486 -0.898  -0.369 -0.962  -0.248 -1.022  -0.149 -1.112  -0.032 -1.155  0.103 -1.155  0.238 -1.155  0.373 -1.155  0.388 -1.035  0.517 -1.026  0.612 -0.930  0.635 -0.805  0.715 -0.704  0.758 -0.587  0.758 -0.452  0.758 -0.317  0.758 -0.182  0.758 -0.047  0.755 0.087  0.695 0.207  0.635 0.328  0.635 0.463  0.624 0.595  0.564 0.716  0.511 0.838  0.511 0.973  0.483 1.096  0.388 1.191
3#apa#apa00#app0047/W  -1.153 1.269  -1.045 1.188  -1.045 1.000  -1.045 0.812  -1.045 0.624  -1.045 0.436  -1.009 0.262  -0.937 0.104  -0.937 -0.084  -0.839 -0.231  -0.830 -0.416  -0.725 -0.561  -0.722 -0.747  -0.614 -0.891  -0.614 -1.079  -0.506 -1.048  -0.410 -0.899  -0.398 -0.716  -0.290 -0.636  -0.284 -0.450  -0.183 -0.304  -0.183 -0.116  -0.114 0.044  -0.075 0.216  -0.075 0.404  0.008 0.573  0.033 0.704  0.033 0.516  0.033 0.328  0.141 0.184  0.141 -0.004  0.183 -0.175  0.249 -0.335  0.357 -0.479  0.448 -0.610  0.572 -0.722  0.664 -0.872  0.829 -0.847  0.896 -0.686  1.004 -0.543  1.004 -0.355  1.004 -0.166  1.004 0.022  1.004 0.210  1.004 0.398  1.004 0.586  1.072 0.758  1.111 0.937  1.111 1.125  1.219 1.269
3#apa#apa00#app0047/*  -0.913 1.420  -0.913 1.462  -0.749 1.244  -0.689 0.971  -0.561 0.715  -0.433 0.459  -0.421 0.176  -0.324 -0.088  -0.160 -0.319  -0.092 -0.577  0.012 -0.820  0.215 -1.022  0.236 -1.300  0.388 -1.524  0.423 -1.599  0.485 -1.320  0.547 -1.040  0.609 -0.760  0.672 -0.481  0.734 -0.201  0.796 0.078  0.858 0.358  0.920 0.638  0.982 0.917  1.044 1.197  0.893 1.194  0.729 1.009  0.565 0.824  0.357 0.720  0.236 0.484  0.049 0.365  -0.042 0.093  -0.092 -0.185  -0.092 -0.471  -0.238 -0.697  -0.257 -0.976  -0.388 -0.869  -0.560 -0.640  -0.731 -0.411  -0.903 -0.182  -1.075 0.048  -1.242 0.262  -1.112 0.106  -0.825 0.106  -0.539 0.106  -0.252 0.106  0.034 0.106  0.320 0.106  0.607 0.106  0.893 0.106
3#apa#apa00#app0047/,  0.501 1.631  0.501 1.559  0.501 1.486  0.501 1.414  0.501 1.342  0.501 1.269  0.501 1.197  0.501 1.124  0.481 1.057  0.448 0.992  0.416 0.927  0.384 0.862  0.351 0.798  0.319 0.733  0.287 0.668  0.254 0.603  0.222 0.538  0.189 0.474  0.157 0.409  0.125 0.344  0.092 0.279  0.060 0.215  0.027 0.150  -0.005 0.085  -0.032 0.019  -0.032 -0.053  -0.032 -0.126  -0.032 -0.198  -0.032 -0.271  -0.032 -0.343  -0.032 -0.416  -0.032 -0.488  -0.073 -0.544  -0.124 -0.595  -0.175 -0.646  -0.226 -0.697  -0.278 -0.749  -0.329 -0.800  -0.380 -0.851  -0.431 -0.902  -0.482 -0.953  -0.534 -1.005  -0.566 -1.064  -0.566 -1.136  -0.566 -1.209  -0.566 -1.281  -0.566 -1.353  -0.566 -1.426  -0.566 -1.498  -0.566 -1.571
3#apa#apa00#app0047/*  -1.017 1.314  -0.865 1.186  -0.865 0.907  -0.702 0.695  -0.562 0.474  -0.414 0.255  -0.205 0.073  0.045 -0.052  0.243 -0.249  0.440 -0.447  0.638 -0.644  0.760 -0.811  0.804 -0.880  0.804 -0.600  0.804 -0.321  0.804 -0.041  0.804 0.238  0.804 0.517  0.804 0.797  0.804 1.076  0.804 1.356  0.792 1.301  0.594 1.104  0.397 0.906  0.199 0.708  0.001 0.511  -0.163 0.289  -0.258 0.032  -0.396 -0.190  -0.410 -0.464  -0.469 -0.719  -0.562 -0.960  -0.562 -1.239  -0.684 -1.046  -0.820 -0.801  -0.956 -0.557  -1.091 -0.313  -1.227 -0.068  -1.259 0.038  -1.017 -0.052  -0.889 -0.204  -0.640 -0.277  -0.393 -0.356  -0.113 -0.356  0.166 -0.356  0.445 -0.356  0.725 -0.356  1.004 -0.356  1.284 -0.356  1.563 -0.356
3#apa#apa00#app0047/K  -0.632 1.160  -0.632 0.937  -0.632 0.714  -0.632 0.491  -0.632 0.268  -0.632 0.045  -0.632 -0.178  -0.632 -0.401  -0.632 -0.624  -0.632 -0.847  -0.618 -1.064  -0.531 -1.251  -0.523 -1.432  -0.437 -1.227  -0.350 -1.021  -0.264 -0.815  -0.178 -0.610  -0.092 -0.404  -0.005 -0.198  0.081 0.007  0.167 0.213  0.253 0.418  0.340 0.624  0.426 0.830  0.512 1.035  0.598 1.241  0.685 1.447  0.771 1.652  0.775 1.451  0.752 1.237  0.611 1.066  0.488 0.880  0.405 0.690  0.247 0.532  0.090 0.374  -0.068 0.217  -0.266 0.155  -0.489 0.155  -0.451 0.256  -0.330 0.095  -0.230 -0.086  -0.114 -0.262  -0.027 -0.448  0.172 -0.548  0.330 -0.706  0.416 -0.893  0.574 -1.050  0.732 -1.208  0.889 -1.366  0.976 -1.553
3#apa#apa00#app0047/E  -0.318 0.974  -0.318 0.751  -0.434 0.576  -0.463 0.365  -0.550 0.177  -0.550 -0.047  -0.550 -0.270  -0.550 -0.494  -0.550 -0.717  -0.434 -0.893  -0.434 -1.116  -0.324 -1.230  -0.217 -1.346  -0.020 -1.281  0.182 -1.230  0.406 -1.230  0.622 -1.188  0.834 -1.117  1.057 -1.114  0.900 -1.005  0.711 -0.886  0.521 -0.768  0.332 -0.650  0.142 -0.531  -0.047 -0.413  -0.237 -0.294  -0.426 -0.176  -0.616 -0.057  -0.782 0.018  -0.646 -0.070  -0.436 -0.013  -0.227 0.046  -0.012 0.083  0.193 0.162  0.416 0.162  0.380 0.251  0.204 0.389  0.027 0.526  -0.149 0.663  -0.325 0.800  -0.502 0.937  -0.434 1.021  -0.279 1.091  -0.063 1.137  0.148 1.208  0.324 1.323  0.548 1.323  0.771 1.323  0.979 1.391  1.191 1.439
3#apa#apa00#app0047/R  -0.256 1.061  -0.256 0.825  -0.379 0.639  -0.379 0.403  -0.379 0.167  -0.356 -0.060  -0.256 -0.254  -0.256 -0.490  -0.256 -0.726  -0.206 -0.942  -0.134 -1.148  -0.134 -1.384  -0.134 -1.620  -0.266 -1.514  -0.285 -1.279  -0.305 -1.044  -0.324 -0.809  -0.344 -0.573  -0.364 -0.338  -0.383 -0.103  -0.403 0.132  -0.422 0.367  -0.442 0.603  -0.462 0.838  -0.481 1.073  -0.497 1.305  -0.295 1.388  -0.075 1.427  0.161 1.427  0.348 1.310  0.551 1.230  0.718 1.063  0.842 0.950  0.964 0.764  0.919 0.573  0.805 0.451  0.585 0.383  0.362 0.329  0.177 0.207  -0.060 0.207  -0.256 0.167  -0.256 -0.069  -0.154 -0.262  -0.073 -0.465  0.094 -0.632  0.261 -0.799  0.427 -0.966  0.594 -1.132  0.761 -1.299  0.964 -1.380
3#apa#apa00#app0047/P  -0.108 0.813  -0.174 0.637  -0.217 0.451  -0.274 0.261  -0.326 0.069  -0.326 -0.134  -0.326 -0.338  -0.326 -0.541  -0.229 -0.705  -0.217 -0.903  -0.108 -1.062  -0.108 -1.265  -0.039 -1.440  0.001 -1.627  -0.130 -1.700  -0.235 -1.585  -0.266 -1.383  -0.297 -1.182  -0.328 -0.981  -0.358 -0.780  -0.389 -0.579  -0.420 -0.377  -0.451 -0.176  -0.482 0.025  -0.513 0.226  -0.544 0.427  -0.575 0.629  -0.606 0.830  -0.637 1.031  -0.561 1.141  -0.357 1.141  -0.154 1.141  0.050 1.141  0.253 1.141  0.457 1.141  0.659 1.138  0.819 1.031  0.979 0.927  1.123 0.783  1.203 0.613  1.203 0.409  1.051 0.333  0.907 0.189  0.762 0.046  0.580 -0.045  0.380 -0.061  0.179 -0.075  -0.015 -0.139  -0.182 -0.245  -0.326 -0.389
3#apa#apa00#app0047/L  -0.412 1.823  -0.324 1.779  -0.237 1.735  -0.190 1.665  -0.190 1.567  -0.190 1.469  -0.190 1.371  -0.190 1.273  -0.190 1.175  -0.190 1.076  -0.190 0.978  -0.190 0.880  -0.190 0.782  -0.190 0.684  -0.190 0.586  -0.190 0.488  -0.190 0.389  -0.190 0.291  -0.190 0.193  -0.190 0.095  -0.190 -0.003  -0.190 -0.101  -0.190 -0.200  -0.190 -0.298  -0.190 -0.396  -0.190 -0.494  -0.190 -0.592  -0.190 -0.690  -0.190 -0.789  -0.190 -0.887  -0.220 -0.954  -0.301 -0.972  -0.301 -1.061  -0.301 -0.963  -0.211 -0.954  -0.136 -0.900  -0.061 -0.843  0.037 -0.841  0.125 -0.797  0.212 -0.753  0.306 -0.732  0.404 -0.732  0.502 -0.732  0.600 -0.732  0.698 -0.732  0.768 -0.663  0.849 -0.621  0.947 -0.621  1.045 -0.621  1.143 -0.621
3#apa#apa00#app0047/U  -0.659 1.699  -0.659 1.595  -0.659 1.490  -0.659 1.385  -0.659 1.280  -0.659 1.175  -0.659 1.071  -0.659 0.966  -0.659 0.861  -0.659 0.756  -0.659 0.651  -0.659 0.547  -0.659 0.442  -0.659 0.337  -0.641 0.239  -0.567 0.165  -0.514 0.082  -0.514 -0.023  -0.514 -0.127  -0.475 -0.216  -0.400 -0.290  -0.342 -0.375  -0.296 -0.469  -0.249 -0.563  -0.202 -0.657  -0.155 -0.750  -0.108 -0.844  -0.049 -0.929  0.025 -1.004  0.114 -1.041  0.219 -1.041  0.324 -1.041  0.428 -1.041  0.522 -1.015  0.596 -0.941  0.640 -0.854  0.640 -0.749  0.640 -0.644  0.671 -0.547  0.718 -0.453  0.764 -0.359  0.784 -0.259  0.794 -0.156  0.841 -0.063  0.887 0.031  0.928 0.126  0.928 0.231  0.928 0.336  0.928 0.441  0.928 0.545
3#apa#apa00#app0047/N  -0.465 1.204  -0.465 0.993  -0.465 0.783  -0.465 0.573  -0.465 0.363  -0.465 0.152  -0.565 -0.016  -0.590 -0.217  -0.590 -0.427  -0.590 -0.637  -0.590 -0.847  -0.590 -1.057  -0.590 -1.268  -0.714 -1.218  -0.714 -1.008  -0.714 -0.798  -0.688 -0.589  -0.660 -0.381  -0.632 -0.173  -0.604 0.036  -0.576 0.244  -0.549 0.453  -0.521 0.661  -0.493 0.869  -0.465 1.078  -0.341 1.236  -0.257 1.244  -0.216 1.051  -0.135 0.874  -0.081 0.684  0.013 0.496  0.062 0.303  0.157 0.132  0.183 -0.067  0.282 -0.237  0.369 -0.421  0.485 -0.596  0.622 -0.754  0.770 -0.903  0.852 -1.037  0.938 -0.912  1.029 -0.793  1.120 -0.604  1.153 -0.402  1.153 -0.192  1.153 0.019  1.153 0.229  1.201 0.428  1.278 0.620  1.278 0.830
3#apa#apa00#app0047/K  -0.614 1.321  -0.489 1.097  -0.489 0.822  -0.594 0.590  -0.614 0.323  -0.614 0.047  -0.614 -0.228  -0.614 -0.503  -0.614 -0.779  -0.614 -1.054  -0.614 -1.330  -0.614 -1.605  -0.539 -1.496  -0.435 -1.241  -0.331 -0.986  -0.227 -0.731  -0.123 -0.476  -0.019 -0.221  0.085 0.034  0.189 0.289  0.293 0.544  0.397 0.799  0.500 1.054  0.604 1.310  0.708 1.565  0.762 1.563  0.762 1.287  0.762 1.012  0.637 0.788  0.637 0.513  0.578 0.262  0.472 0.030  0.248 -0.082  0.111 -0.305  -0.164 -0.305  -0.388 -0.180  -0.612 -0.057  -0.739 0.093  -0.739 0.369  -0.540 0.445  -0.364 0.347  -0.115 0.320  0.011 0.098  0.187 -0.105  0.337 -0.332  0.503 -0.547  0.676 -0.758  0.820 -0.989  1.014 -1.184  1.137 -1.431
3#apa#apa00#app0047/*  -0.471 1.637  -0.288 1.435  -0.175 1.270  -0.105 1.064  -0.105 0.786  0.045 0.571  0.078 0.307  0.078 0.030  0.078 -0.248  0.182 -0.482  0.335 -0.709  0.468 -0.951  0.628 -1.162  0.773 -1.295  0.811 -1.055  0.811 -0.778  0.811 -0.501  0.811 -0.223  0.811 0.054  0.811 0.332  0.811 0.609  0.811 0.886  0.811 1.010  0.690 0.783  0.624 0.533  0.428 0.337  0.262 0.128  0.165 -0.109  0.078 -0.350  0.078 -0.628  -0.035 -0.858  -0.105 -1.107  -0.320 -0.944  -0.539 -0.774  -0.758 -0.603  -0.977 -0.433  -1.196 -0.263  -1.415 -0.092  -1.634 0.078  -1.665 0.082  -1.469 0.090  -1.225 0.171  -0.947 0.171  -0.670 0.171  -0.393 0.171  -0.115 0.171  0.162 0.171  0.440 0.171  0.717 0.171  0.994 0.171
3#apa#apa00#app0047/.  0.792 1.126  0.666 1.126  0.541 1.126  0.415 1.126  0.289 1.126  0.163 1.126  0.038 1.126  -0.088 1.126  -0.088 1.001  -0.088 0.875  -0.088 0.749  -0.088 0.623  -0.088 0.498  -0.088 0.372  -0.088 0.246  -0.214 0.246  -0.339 0.246  -0.465 0.246  -0.591 0.246  -0.717 0.246  -0.842 0.246  -0.968 0.246  -0.968 0.121  -0.968 -0.005  -0.968 -0.131  -0.968 -0.256  -0.968 -0.382  -0.968 -0.508  -0.968 -0.634  -0.842 -0.634  -0.717 -0.634  -0.591 -0.634  -0.465 -0.634  -0.339 -0.634  -0.214 -0.634  -0.088 -0.634  0.038 -0.634  0.163 -0.634  0.289 -0.634  0.415 -0.634  0.541 -0.634  0.666 -0.634  0.792 -0.634  0.918 -0.634  1.043 -0.634  1.169 -0.634  1.295 -0.634  1.420 -0.634  1.546 -0.634  1.672 -0.634
