3#apb#apb12#app1244/B  -0.528 0.527  -0.511 0.336  -0.462 0.149  -0.417 -0.040  -0.367 -0.227  -0.311 -0.413  -0.261 -0.574  -0.367 -0.411  -0.472 -0.249  -0.578 -0.086  -0.683 0.076  -0.789 0.239  -0.894 0.401  -1.000 0.564  -1.074 0.739  -1.058 0.930  -0.948 1.030  -0.754 1.035  -0.561 1.041  -0.367 1.047  -0.173 1.053  0.020 1.058  0.214 1.064  0.408 1.070  0.584 1.057  0.584 0.864  0.519 0.687  0.421 0.520  0.301 0.368  0.170 0.226  0.029 0.093  -0.082 0.012  0.111 0.001  0.300 -0.041  0.489 -0.084  0.676 -0.134  0.851 -0.213  1.011 -0.322  1.117 -0.471  1.114 -0.661  1.055 -0.843  0.949 -1.002  0.801 -1.126  0.647 -1.245  0.479 -1.338  0.296 -1.390  0.103 -1.388  -0.088 -1.354  -0.266 -1.281  -0.238 -1.293
3#apb#apb12#app1244/C  0.142 0.129  0.186 0.217  0.207 0.326  0.227 0.434  0.247 0.542  0.268 0.651  0.288 0.759  0.309 0.868  0.329 0.976  0.346 1.085  0.332 1.194  0.281 1.289  0.197 1.360  0.107 1.340  0.006 1.294  -0.066 1.217  -0.123 1.123  -0.174 1.025  -0.223 0.926  -0.271 0.826  -0.315 0.725  -0.359 0.624  -0.397 0.521  -0.432 0.416  -0.467 0.311  -0.483 0.203  -0.493 0.093  -0.502 -0.017  -0.510 -0.127  -0.510 -0.238  -0.510 -0.348  -0.503 -0.458  -0.490 -0.568  -0.476 -0.677  -0.417 -0.770  -0.358 -0.863  -0.296 -0.955  -0.229 -1.042  -0.146 -1.114  -0.051 -1.169  0.050 -1.212  0.158 -1.237  0.265 -1.261  0.376 -1.261  0.486 -1.261  0.597 -1.261  0.700 -1.230  0.799 -1.181  0.898 -1.134  0.999 -1.089
3#apb#apb12#app1244/e  -1.092 0.377  -1.070 0.183  -1.040 -0.010  -1.005 -0.202  -0.971 -0.394  -0.934 -0.586  -0.892 -0.777  -0.751 -0.897  -0.556 -0.901  -0.361 -0.904  -0.165 -0.908  0.030 -0.912  0.225 -0.916  0.420 -0.919  0.615 -0.923  0.810 -0.922  1.004 -0.897  1.170 -0.797  1.308 -0.659  1.448 -0.539  1.263 -0.477  1.078 -0.414  0.893 -0.351  0.708 -0.289  0.524 -0.226  0.339 -0.164  0.154 -0.101  -0.031 -0.039  -0.216 0.024  -0.401 0.086  -0.534 0.153  -0.362 0.247  -0.191 0.340  -0.020 0.434  0.152 0.527  0.323 0.621  0.498 0.707  0.679 0.779  0.771 0.880  0.576 0.876  0.380 0.873  0.185 0.870  -0.010 0.867  -0.205 0.864  -0.400 0.861  -0.596 0.858  -0.791 0.855  -0.986 0.852  -1.059 0.930  -0.914 1.058
3#apb#apb12#app1244/d  -0.576 0.707  -0.613 0.568  -0.634 0.399  -0.612 0.232  -0.581 0.065  -0.549 -0.102  -0.517 -0.270  -0.486 -0.437  -0.454 -0.604  -0.423 -0.771  -0.305 -0.659  -0.362 -0.506  -0.430 -0.350  -0.499 -0.194  -0.567 -0.038  -0.635 0.118  -0.703 0.273  -0.771 0.429  -0.839 0.585  -0.908 0.741  -0.909 0.892  -0.805 1.024  -0.665 1.113  -0.497 1.137  -0.327 1.139  -0.174 1.090  -0.042 0.983  0.091 0.877  0.223 0.770  0.356 0.663  0.488 0.557  0.621 0.450  0.753 0.344  0.886 0.237  1.019 0.131  1.151 0.024  1.284 -0.083  1.306 -0.220  1.248 -0.380  1.161 -0.522  1.041 -0.642  0.921 -0.762  0.790 -0.871  0.659 -0.979  0.523 -1.082  0.380 -1.173  0.236 -1.264  0.068 -1.270  -0.086 -1.221  -0.236 -1.147
3#apb#apb12#app1244/a  -1.188 -0.635  -1.162 -0.815  -1.125 -0.903  -1.122 -0.721  -1.039 -0.558  -0.956 -0.396  -0.874 -0.233  -0.791 -0.070  -0.709 0.093  -0.626 0.255  -0.544 0.418  -0.461 0.581  -0.378 0.743  -0.296 0.906  -0.213 1.069  -0.131 1.231  -0.032 1.364  0.148 1.338  0.268 1.203  0.387 1.065  0.507 0.928  0.615 0.781  0.720 0.631  0.789 0.464  0.843 0.290  0.887 0.114  0.915 -0.067  0.942 -0.247  0.968 -0.428  0.994 -0.608  1.032 -0.787  1.077 -0.964  1.186 -1.073  1.038 -0.980  0.882 -0.886  0.726 -0.791  0.569 -0.696  0.413 -0.602  0.257 -0.507  0.101 -0.413  -0.055 -0.318  -0.211 -0.224  -0.367 -0.129  -0.523 -0.035  -0.679 0.060  -0.835 0.155  -0.750 0.141  -0.583 0.085  -0.400 0.085  -0.218 0.085
3#apb#apb12#app1244/r  -0.427 0.239  -0.461 0.069  -0.482 -0.103  -0.478 -0.277  -0.465 -0.451  -0.453 -0.624  -0.438 -0.797  -0.422 -0.970  -0.397 -1.142  -0.375 -1.306  -0.432 -1.141  -0.489 -0.977  -0.546 -0.813  -0.604 -0.649  -0.661 -0.485  -0.718 -0.320  -0.775 -0.156  -0.790 0.016  -0.800 0.190  -0.798 0.363  -0.759 0.532  -0.717 0.701  -0.657 0.864  -0.577 1.014  -0.454 1.137  -0.340 1.268  -0.193 1.326  -0.026 1.293  0.133 1.222  0.292 1.154  0.418 1.038  0.530 0.905  0.632 0.769  0.626 0.595  0.584 0.427  0.506 0.272  0.414 0.125  0.301 -0.007  0.154 -0.095  0.160 -0.093  0.295 -0.202  0.429 -0.312  0.585 -0.389  0.744 -0.459  0.909 -0.514  1.070 -0.580  1.230 -0.646  1.401 -0.674  1.574 -0.677  1.747 -0.658
3#apb#apb12#app1244/F  -1.114 0.297  -1.001 0.250  -0.892 0.079  -0.813 -0.107  -0.734 -0.293  -0.653 -0.478  -0.619 -0.676  -0.598 -0.877  -0.576 -1.078  -0.555 -1.280  -0.581 -1.226  -0.623 -1.029  -0.640 -0.827  -0.658 -0.626  -0.684 -0.425  -0.713 -0.225  -0.757 -0.028  -0.757 0.170  -0.742 0.371  -0.625 0.525  -0.451 0.625  -0.266 0.707  -0.067 0.740  0.133 0.774  0.332 0.809  0.533 0.833  0.735 0.842  0.937 0.846  1.139 0.846  1.341 0.831  1.539 0.830  1.649 0.857  1.481 0.744  1.313 0.632  1.145 0.519  0.976 0.407  0.808 0.294  0.640 0.182  0.472 0.069  0.304 -0.043  0.136 -0.156  -0.032 -0.268  -0.200 -0.381  -0.368 -0.493  -0.482 -0.589  -0.282 -0.620  -0.082 -0.639  0.118 -0.606  0.317 -0.571  0.516 -0.536
3#apb#apb12#app1244/a  -1.268 -0.945  -1.243 -1.080  -1.248 -0.916  -1.271 -0.753  -1.288 -0.591  -1.194 -0.455  -1.101 -0.320  -1.008 -0.184  -0.915 -0.048  -0.822 0.088  -0.729 0.224  -0.636 0.360  -0.543 0.496  -0.450 0.632  -0.357 0.768  -0.264 0.903  -0.171 1.039  -0.078 1.175  0.063 1.161  0.202 1.079  0.326 0.970  0.412 0.831  0.494 0.688  0.580 0.548  0.672 0.411  0.759 0.271  0.838 0.127  0.919 -0.016  1.004 -0.157  1.086 -0.301  1.165 -0.445  1.265 -0.570  1.410 -0.645  1.344 -0.637  1.188 -0.584  1.032 -0.532  0.876 -0.479  0.720 -0.426  0.564 -0.374  0.408 -0.321  0.252 -0.268  0.096 -0.216  -0.060 -0.163  -0.216 -0.111  -0.373 -0.058  -0.529 -0.005  -0.685 0.044  -0.562 -0.012  -0.409 -0.073  -0.254 -0.129
3#apb#apb12#app1244/l  -0.510 1.634  -0.495 1.560  -0.480 1.485  -0.465 1.411  -0.451 1.336  -0.436 1.262  -0.421 1.187  -0.406 1.113  -0.391 1.038  -0.376 0.964  -0.375 0.889  -0.386 0.814  -0.396 0.739  -0.407 0.663  -0.418 0.588  -0.429 0.513  -0.439 0.438  -0.429 0.363  -0.418 0.287  -0.408 0.212  -0.397 0.137  -0.386 0.062  -0.375 -0.013  -0.352 -0.083  -0.310 -0.147  -0.267 -0.210  -0.225 -0.273  -0.183 -0.336  -0.141 -0.399  -0.099 -0.463  -0.045 -0.516  0.012 -0.565  0.070 -0.615  0.128 -0.664  0.185 -0.713  0.243 -0.763  0.300 -0.812  0.358 -0.862  0.419 -0.904  0.495 -0.910  0.570 -0.916  0.646 -0.923  0.722 -0.929  0.797 -0.935  0.873 -0.942  0.949 -0.948  1.024 -0.954  1.100 -0.960  1.176 -0.967  1.251 -0.973
3#apb#apb12#app1244/l  -0.694 1.585  -0.678 1.511  -0.661 1.438  -0.645 1.364  -0.629 1.290  -0.612 1.217  -0.596 1.143  -0.579 1.069  -0.563 0.996  -0.547 0.922  -0.530 0.848  -0.514 0.775  -0.498 0.701  -0.481 0.627  -0.465 0.554  -0.441 0.482  -0.413 0.412  -0.385 0.342  -0.357 0.272  -0.329 0.202  -0.301 0.132  -0.273 0.062  -0.245 -0.009  -0.216 -0.078  -0.182 -0.146  -0.149 -0.213  -0.115 -0.281  -0.081 -0.348  -0.047 -0.416  -0.014 -0.483  0.020 -0.551  0.054 -0.618  0.088 -0.686  0.121 -0.753  0.184 -0.779  0.259 -0.786  0.334 -0.794  0.409 -0.801  0.485 -0.809  0.560 -0.816  0.635 -0.824  0.710 -0.831  0.785 -0.839  0.860 -0.846  0.935 -0.854  1.010 -0.861  1.085 -0.869  1.161 -0.876  1.236 -0.884  1.311 -0.891
3#apb#apb12#app1244/s  0.777 1.069  0.669 1.108  0.561 1.147  0.452 1.187  0.347 1.169  0.244 1.119  0.141 1.068  0.037 1.018  -0.066 0.967  -0.170 0.917  -0.273 0.866  -0.376 0.816  -0.480 0.765  -0.583 0.715  -0.686 0.664  -0.790 0.614  -0.893 0.563  -0.996 0.513  -0.918 0.472  -0.810 0.433  -0.701 0.393  -0.594 0.351  -0.489 0.306  -0.383 0.261  -0.277 0.215  -0.172 0.168  -0.075 0.106  0.022 0.045  0.119 -0.017  0.208 -0.088  0.285 -0.174  0.361 -0.260  0.438 -0.346  0.500 -0.442  0.561 -0.539  0.615 -0.640  0.638 -0.753  0.660 -0.865  0.664 -0.975  0.606 -1.075  0.549 -1.175  0.452 -1.234  0.352 -1.290  0.251 -1.346  0.137 -1.360  0.023 -1.373  -0.086 -1.360  -0.185 -1.301  -0.283 -1.242  -0.382 -1.182
3#apb#apb12#app1244/C  0.129 0.787  0.154 0.875  0.188 0.961  0.216 1.048  0.199 1.132  0.127 1.190  0.056 1.249  -0.015 1.308  -0.087 1.356  -0.167 1.309  -0.232 1.243  -0.263 1.157  -0.293 1.070  -0.325 0.983  -0.356 0.896  -0.365 0.804  -0.372 0.712  -0.378 0.620  -0.384 0.528  -0.390 0.435  -0.395 0.343  -0.401 0.251  -0.406 0.159  -0.413 0.067  -0.424 -0.025  -0.434 -0.117  -0.444 -0.209  -0.431 -0.300  -0.418 -0.391  -0.397 -0.481  -0.363 -0.567  -0.326 -0.651  -0.285 -0.734  -0.236 -0.810  -0.163 -0.867  -0.088 -0.920  0.001 -0.943  0.091 -0.965  0.179 -0.991  0.268 -1.018  0.357 -1.043  0.448 -1.058  0.539 -1.073  0.631 -1.082  0.723 -1.089  0.815 -1.085  0.906 -1.071  0.992 -1.038  1.075 -0.999  1.156 -0.953
3#apb#apb12#app1244/o  -1.227 0.141  -1.227 0.268  -1.227 0.394  -1.195 0.516  -1.124 0.620  -1.051 0.723  -0.968 0.819  -0.879 0.908  -0.789 0.998  -0.678 0.972  -0.562 0.923  -0.445 0.873  -0.329 0.823  -0.213 0.773  -0.096 0.723  0.020 0.673  0.136 0.623  0.253 0.574  0.369 0.524  0.485 0.474  0.602 0.424  0.718 0.374  0.834 0.324  0.939 0.265  0.964 0.141  0.989 0.017  1.017 -0.106  1.052 -0.228  1.071 -0.351  1.057 -0.477  1.043 -0.603  0.995 -0.718  0.914 -0.812  0.815 -0.891  0.697 -0.930  0.574 -0.961  0.451 -0.960  0.327 -0.933  0.204 -0.906  0.082 -0.869  -0.039 -0.833  -0.159 -0.793  -0.269 -0.732  -0.380 -0.670  -0.488 -0.605  -0.589 -0.529  -0.662 -0.427  -0.688 -0.303  -0.691 -0.181  -0.634 -0.068
3#apb#apb12#app1244/r  -0.892 0.198  -0.909 0.075  -0.891 -0.051  -0.870 -0.177  -0.810 -0.289  -0.756 -0.404  -0.715 -0.524  -0.709 -0.497  -0.726 -0.371  -0.743 -0.244  -0.760 -0.118  -0.777 0.008  -0.794 0.135  -0.892 0.207  -0.971 0.304  -1.028 0.414  -1.011 0.512  -0.921 0.602  -0.831 0.692  -0.712 0.733  -0.589 0.766  -0.463 0.783  -0.336 0.792  -0.209 0.797  -0.082 0.787  0.045 0.778  0.166 0.740  0.283 0.692  0.394 0.629  0.455 0.527  0.480 0.403  0.475 0.277  0.434 0.156  0.415 0.036  0.320 -0.043  0.300 -0.103  0.388 -0.195  0.452 -0.305  0.541 -0.389  0.653 -0.450  0.764 -0.513  0.868 -0.586  0.972 -0.659  1.087 -0.714  1.204 -0.766  1.318 -0.823  1.421 -0.896  1.530 -0.959  1.653 -0.982  1.781 -0.982
3#apb#apb12#app1244/a  0.032 0.616  0.130 0.746  0.183 0.901  0.249 1.049  0.198 1.189  0.160 1.314  0.029 1.239  -0.082 1.119  -0.193 1.000  -0.304 0.880  -0.415 0.760  -0.526 0.640  -0.637 0.521  -0.748 0.401  -0.859 0.281  -0.970 0.161  -1.081 0.042  -1.165 -0.089  -1.165 -0.252  -1.165 -0.415  -1.165 -0.578  -1.060 -0.703  -0.950 -0.821  -0.800 -0.887  -0.652 -0.955  -0.510 -1.036  -0.358 -1.080  -0.195 -1.080  -0.034 -1.067  0.117 -1.006  0.269 -0.946  0.422 -0.888  0.566 -0.817  0.690 -0.711  0.750 -0.583  0.716 -0.423  0.683 -0.263  0.649 -0.103  0.615 0.057  0.582 0.216  0.548 0.376  0.514 0.536  0.555 0.558  0.656 0.432  0.729 0.286  0.813 0.146  0.897 0.005  0.989 -0.129  1.091 -0.256  1.196 -0.382
3#apb#apb12#app1244/l  -0.616 1.578  -0.600 1.510  -0.584 1.443  -0.568 1.375  -0.553 1.308  -0.537 1.240  -0.521 1.173  -0.498 1.107  -0.470 1.044  -0.442 0.981  -0.413 0.917  -0.385 0.854  -0.357 0.790  -0.329 0.727  -0.301 0.664  -0.273 0.600  -0.245 0.537  -0.217 0.473  -0.189 0.410  -0.160 0.347  -0.132 0.283  -0.104 0.220  -0.076 0.157  -0.048 0.093  -0.020 0.030  0.008 -0.034  0.036 -0.097  0.064 -0.160  0.093 -0.224  0.121 -0.287  0.149 -0.351  0.177 -0.414  0.205 -0.477  0.233 -0.541  0.261 -0.604  0.289 -0.668  0.317 -0.731  0.346 -0.794  0.374 -0.858  0.402 -0.921  0.430 -0.985  0.458 -1.048  0.486 -1.111  0.514 -1.175  0.542 -1.238  0.570 -1.302  0.598 -1.365  0.627 -1.428  0.655 -1.492  0.683 -1.555
3#apb#apb12#app1244/G  -0.198 0.824  -0.152 0.949  -0.115 1.077  -0.086 1.206  -0.086 1.339  -0.141 1.348  -0.240 1.259  -0.338 1.170  -0.437 1.081  -0.536 0.992  -0.635 0.903  -0.733 0.814  -0.764 0.686  -0.790 0.555  -0.806 0.424  -0.813 0.291  -0.819 0.158  -0.819 0.025  -0.819 -0.108  -0.811 -0.241  -0.803 -0.373  -0.763 -0.500  -0.709 -0.620  -0.631 -0.727  -0.526 -0.805  -0.410 -0.871  -0.291 -0.930  -0.162 -0.958  -0.031 -0.976  0.102 -0.988  0.233 -0.975  0.351 -0.920  0.431 -0.816  0.456 -0.688  0.427 -0.561  0.381 -0.437  0.338 -0.311  0.259 -0.206  0.248 -0.113  0.362 -0.172  0.494 -0.192  0.627 -0.196  0.760 -0.196  0.893 -0.196  1.026 -0.196  1.159 -0.196  1.292 -0.196  1.423 -0.182  1.554 -0.156  1.651 -0.100
3#apb#apb12#app1244/a  0.099 0.540  0.150 0.670  0.124 0.820  0.025 0.887  -0.113 0.846  -0.243 0.769  -0.374 0.692  -0.505 0.615  -0.636 0.538  -0.766 0.461  -0.897 0.385  -1.028 0.308  -1.159 0.231  -1.290 0.154  -1.339 0.023  -1.351 -0.128  -1.333 -0.277  -1.259 -0.399  -1.127 -0.475  -0.992 -0.543  -0.851 -0.595  -0.702 -0.627  -0.552 -0.643  -0.401 -0.654  -0.252 -0.624  -0.137 -0.555  -0.085 -0.412  -0.032 -0.270  0.020 -0.128  0.072 0.015  0.125 0.157  0.177 0.300  0.229 0.442  0.282 0.584  0.302 0.550  0.326 0.407  0.419 0.286  0.512 0.166  0.604 0.046  0.697 -0.074  0.789 -0.195  0.882 -0.315  0.974 -0.435  1.067 -0.554  1.219 -0.554  1.370 -0.550  1.520 -0.527  1.670 -0.504  1.813 -0.453  1.956 -0.401
