3#apb#apb10#app1040/I  0.343 0.590  0.391 0.784  0.416 0.897  0.416 0.696  0.372 0.502  0.318 0.308  0.247 0.121  0.190 -0.070  0.126 -0.260  0.080 -0.455  0.009 -0.642  -0.074 -0.799  -0.271 -0.838  -0.468 -0.877  -0.665 -0.915  -0.862 -0.954  -1.059 -0.993  -1.111 -0.999  -0.913 -0.973  -0.714 -0.956  -0.515 -0.924  -0.318 -0.885  -0.119 -0.859  0.080 -0.838  0.281 -0.825  0.481 -0.817  0.682 -0.817  0.880 -0.795  1.076 -0.754  0.952 -0.620  0.809 -0.479  0.666 -0.339  0.522 -0.198  0.379 -0.058  0.236 0.083  0.092 0.224  -0.051 0.364  -0.195 0.505  -0.338 0.645  -0.481 0.786  -0.625 0.927  -0.768 1.067  -0.757 1.212  -0.561 1.252  -0.363 1.280  -0.164 1.311  0.036 1.329  0.236 1.340  0.436 1.355  0.637 1.363
3#apb#apb10#app1040/t  0.872 2.044  0.819 1.910  0.763 1.777  0.705 1.645  0.644 1.515  0.577 1.387  0.510 1.259  0.444 1.131  0.379 1.002  0.315 0.873  0.250 0.744  0.184 0.616  0.116 0.489  0.048 0.362  -0.021 0.235  -0.092 0.109  -0.167 -0.014  -0.243 -0.136  -0.319 -0.259  -0.389 -0.385  -0.453 -0.514  -0.518 -0.643  -0.577 -0.774  -0.622 -0.911  -0.585 -1.037  -0.483 -1.138  -0.355 -1.188  -0.212 -1.200  -0.068 -1.191  0.076 -1.182  0.210 -1.130  0.342 -1.073  0.477 -1.022  0.413 -0.930  0.309 -0.829  0.206 -0.729  0.102 -0.629  -0.002 -0.528  -0.105 -0.428  -0.209 -0.328  -0.313 -0.227  -0.416 -0.127  -0.520 -0.027  -0.624 0.073  -0.599 0.168  -0.457 0.192  -0.314 0.217  -0.173 0.244  -0.032 0.277  0.108 0.310
3#apb#apb10#app1040/h  -0.383 0.365  -0.237 0.466  -0.096 0.574  0.038 0.686  0.145 0.826  0.262 0.960  0.371 1.100  0.482 1.239  0.597 1.374  0.723 1.500  0.820 1.638  0.740 1.479  0.650 1.326  0.563 1.171  0.482 1.014  0.399 0.856  0.311 0.702  0.222 0.548  0.133 0.394  0.049 0.238  -0.035 0.082  -0.120 -0.074  -0.210 -0.227  -0.305 -0.377  -0.399 -0.528  -0.492 -0.679  -0.580 -0.833  -0.669 -0.987  -0.757 -1.141  -0.846 -1.295  -0.937 -1.447  -0.896 -1.413  -0.821 -1.252  -0.747 -1.091  -0.672 -0.929  -0.597 -0.768  -0.506 -0.623  -0.359 -0.529  -0.199 -0.453  -0.048 -0.360  0.103 -0.266  0.254 -0.173  0.405 -0.079  0.564 0.000  0.592 -0.090  0.521 -0.252  0.452 -0.416  0.386 -0.581  0.330 -0.749  0.319 -0.925
3#apb#apb10#app1040/V  -0.888 -0.014  -0.704 0.011  -0.508 0.124  -0.321 0.251  -0.166 0.414  -0.026 0.591  0.079 0.749  0.032 0.528  -0.047 0.316  -0.136 0.109  -0.231 -0.096  -0.344 -0.291  -0.465 -0.483  -0.582 -0.676  -0.699 -0.870  -0.810 -1.067  -0.935 -1.254  -0.928 -1.256  -0.786 -1.081  -0.644 -0.905  -0.501 -0.730  -0.359 -0.554  -0.216 -0.379  -0.074 -0.203  0.068 -0.028  0.211 0.148  0.353 0.323  0.496 0.499  0.638 0.675  0.781 0.850  0.923 1.026  1.065 1.201  1.208 1.377  1.338 1.487  1.237 1.285  1.124 1.089  0.994 0.905  0.857 0.725  0.720 0.545  0.583 0.365  0.441 0.190  0.297 0.016  0.152 -0.158  -0.001 -0.324  -0.155 -0.490  -0.308 -0.656  -0.460 -0.823  -0.613 -0.990  -0.768 -1.155  -0.923 -1.319
3#apb#apb10#app1040/a  1.244 0.181  1.222 0.308  1.162 0.426  1.161 0.558  1.152 0.686  1.059 0.780  0.976 0.882  0.887 0.972  0.757 0.998  0.627 0.999  0.496 0.985  0.364 0.970  0.245 0.918  0.129 0.855  0.013 0.791  -0.103 0.728  -0.215 0.658  -0.326 0.588  -0.438 0.517  -0.549 0.446  -0.651 0.363  -0.750 0.276  -0.850 0.189  -0.934 0.090  -1.000 -0.025  -1.065 -0.140  -1.125 -0.258  -1.184 -0.376  -1.146 -0.494  -1.081 -0.608  -0.991 -0.686  -0.859 -0.686  -0.729 -0.680  -0.613 -0.617  -0.497 -0.554  -0.381 -0.491  -0.264 -0.430  -0.141 -0.381  -0.019 -0.332  0.104 -0.283  0.226 -0.313  0.346 -0.367  0.400 -0.483  0.437 -0.610  0.458 -0.739  0.458 -0.871  0.458 -1.003  0.458 -1.135  0.489 -1.254  0.582 -1.348
3#apb#apb10#app1040/l  0.753 1.672  0.726 1.647  0.703 1.563  0.677 1.479  0.652 1.396  0.625 1.312  0.588 1.233  0.552 1.154  0.515 1.074  0.482 0.993  0.450 0.912  0.418 0.830  0.387 0.749  0.353 0.668  0.304 0.596  0.254 0.524  0.205 0.452  0.156 0.380  0.106 0.308  0.058 0.234  0.011 0.161  -0.036 0.087  -0.084 0.014  -0.129 -0.061  -0.174 -0.136  -0.219 -0.211  -0.270 -0.282  -0.321 -0.353  -0.351 -0.435  -0.367 -0.520  -0.351 -0.495  -0.276 -0.449  -0.202 -0.404  -0.127 -0.358  -0.127 -0.383  -0.162 -0.463  -0.193 -0.545  -0.234 -0.621  -0.279 -0.696  -0.324 -0.771  -0.346 -0.856  -0.367 -0.941  -0.388 -1.026  -0.410 -1.110  -0.446 -1.190  -0.483 -1.269  -0.519 -1.349  -0.558 -1.427  -0.597 -1.505  -0.637 -1.583
3#apb#apb10#app1040/l  -0.192 0.625  -0.130 0.641  -0.044 0.668  0.044 0.686  0.123 0.730  0.206 0.769  0.286 0.811  0.362 0.861  0.434 0.916  0.504 0.974  0.563 1.043  0.626 1.108  0.679 1.181  0.671 1.143  0.638 1.059  0.597 0.978  0.557 0.896  0.518 0.814  0.478 0.732  0.439 0.650  0.402 0.567  0.366 0.484  0.330 0.401  0.294 0.317  0.258 0.234  0.222 0.150  0.174 0.073  0.125 -0.003  0.076 -0.080  0.027 -0.157  -0.021 -0.233  -0.070 -0.310  -0.118 -0.387  -0.167 -0.464  -0.215 -0.541  -0.263 -0.618  -0.312 -0.695  -0.360 -0.772  -0.408 -0.849  -0.457 -0.926  -0.506 -1.002  -0.555 -1.079  -0.603 -1.156  -0.652 -1.232  -0.701 -1.309  -0.750 -1.385  -0.798 -1.463  -0.845 -1.540  -0.892 -1.618  -0.940 -1.696
3#apb#apb10#app1040/e  -0.787 -0.584  -0.871 -0.547  -0.730 -0.547  -0.590 -0.547  -0.449 -0.547  -0.308 -0.547  -0.169 -0.536  -0.035 -0.492  0.098 -0.447  0.234 -0.408  0.370 -0.371  0.506 -0.334  0.633 -0.276  0.759 -0.213  0.866 -0.126  0.952 -0.015  1.039 0.096  1.132 0.201  1.232 0.301  1.261 0.429  1.253 0.569  1.198 0.698  1.131 0.817  1.005 0.880  0.876 0.935  0.742 0.979  0.608 1.024  0.474 0.986  0.339 0.944  0.204 0.903  0.081 0.841  -0.028 0.752  -0.137 0.663  -0.246 0.573  -0.354 0.483  -0.462 0.392  -0.569 0.301  -0.677 0.210  -0.766 0.106  -0.817 -0.025  -0.867 -0.157  -0.918 -0.288  -0.948 -0.425  -0.970 -0.564  -0.991 -0.704  -0.995 -0.842  -0.957 -0.977  -0.891 -1.095  -0.784 -1.187  -0.677 -1.279
3#apb#apb10#app1040/y  -0.324 0.975  -0.379 0.850  -0.474 0.746  -0.575 0.647  -0.670 0.543  -0.713 0.413  -0.640 0.299  -0.525 0.217  -0.392 0.179  -0.251 0.179  -0.126 0.221  -0.022 0.317  0.081 0.414  0.185 0.510  0.288 0.606  0.392 0.703  0.495 0.799  0.599 0.895  0.703 0.992  0.806 1.088  0.756 1.170  0.621 1.138  0.489 1.088  0.372 1.013  0.317 0.883  0.289 0.744  0.269 0.604  0.252 0.464  0.235 0.324  0.252 0.183  0.268 0.043  0.284 -0.098  0.307 -0.237  0.334 -0.376  0.355 -0.516  0.370 -0.656  0.352 -0.795  0.319 -0.932  0.257 -1.059  0.177 -1.173  0.073 -1.269  -0.052 -1.329  -0.187 -1.370  -0.326 -1.393  -0.466 -1.411  -0.608 -1.404  -0.747 -1.391  -0.879 -1.339  -1.009 -1.284  -1.133 -1.217
3#apb#apb10#app1040/H  -0.841 0.258  -0.615 0.260  -0.361 0.354  -0.117 0.473  0.073 0.664  0.212 0.897  0.319 1.124  0.163 0.902  0.034 0.663  -0.108 0.432  -0.253 0.202  -0.396 -0.028  -0.541 -0.258  -0.694 -0.483  -0.849 -0.705  -1.010 -0.924  -1.153 -1.155  -1.172 -1.257  -0.982 -1.063  -0.793 -0.869  -0.603 -0.674  -0.413 -0.480  -0.223 -0.286  -0.034 -0.092  0.156 0.103  0.346 0.297  0.535 0.491  0.725 0.686  0.915 0.880  1.105 1.074  1.294 1.268  1.372 1.429  1.247 1.188  1.124 0.946  0.999 0.705  0.874 0.464  0.733 0.232  0.590 0.001  0.446 -0.229  0.295 -0.455  0.137 -0.675  -0.023 -0.895  -0.174 -1.121  -0.322 -1.201  -0.444 -0.959  -0.567 -0.716  -0.631 -0.511  -0.380 -0.410  -0.121 -0.331  0.125 -0.216
3#apb#apb10#app1040/o  0.384 0.346  0.419 0.482  0.419 0.624  0.419 0.766  0.320 0.867  0.196 0.909  0.054 0.909  -0.082 0.877  -0.214 0.824  -0.345 0.772  -0.456 0.685  -0.566 0.595  -0.676 0.505  -0.784 0.413  -0.889 0.318  -0.994 0.222  -1.098 0.127  -1.146 -0.000  -1.171 -0.140  -1.197 -0.279  -1.172 -0.418  -1.144 -0.557  -1.079 -0.672  -0.963 -0.753  -0.847 -0.835  -0.720 -0.884  -0.579 -0.884  -0.437 -0.884  -0.295 -0.883  -0.153 -0.874  -0.012 -0.866  0.130 -0.858  0.271 -0.849  0.394 -0.779  0.515 -0.707  0.637 -0.634  0.758 -0.561  0.863 -0.467  0.956 -0.360  1.049 -0.254  1.074 -0.114  1.098 0.025  1.121 0.165  1.122 0.307  1.097 0.437  0.986 0.525  0.870 0.607  0.752 0.686  0.627 0.752  0.489 0.768
3#apb#apb10#app1040/s  0.739 1.070  0.673 1.167  0.570 1.232  0.459 1.285  0.342 1.246  0.225 1.207  0.107 1.169  -0.011 1.133  -0.129 1.097  -0.242 1.050  -0.341 0.976  -0.440 0.901  -0.519 0.808  -0.564 0.696  -0.581 0.576  -0.475 0.513  -0.369 0.449  -0.262 0.387  -0.150 0.335  -0.038 0.282  0.074 0.230  0.186 0.178  0.304 0.144  0.423 0.110  0.542 0.076  0.642 0.016  0.711 -0.087  0.779 -0.190  0.811 -0.306  0.826 -0.429  0.781 -0.535  0.707 -0.634  0.633 -0.733  0.558 -0.832  0.447 -0.882  0.332 -0.930  0.218 -0.977  0.098 -1.003  -0.024 -1.019  -0.147 -1.035  -0.269 -1.052  -0.389 -1.022  -0.508 -0.990  -0.627 -0.956  -0.743 -0.914  -0.859 -0.872  -0.971 -0.822  -1.066 -0.743  -1.168 -0.684  -1.292 -0.684
3#apb#apb10#app1040/p  -0.088 0.866  -0.090 0.835  -0.102 0.655  -0.124 0.477  -0.154 0.300  -0.200 0.127  -0.253 -0.045  -0.306 -0.217  -0.363 -0.387  -0.420 -0.558  -0.481 -0.727  -0.551 -0.893  -0.621 -1.058  -0.696 -1.221  -0.780 -1.380  -0.859 -1.541  -0.850 -1.615  -0.787 -1.446  -0.723 -1.278  -0.659 -1.110  -0.596 -0.942  -0.532 -0.774  -0.468 -0.606  -0.405 -0.438  -0.341 -0.270  -0.278 -0.102  -0.214 0.066  -0.150 0.235  -0.087 0.403  -0.023 0.571  0.041 0.739  0.104 0.907  0.174 1.073  0.257 1.229  0.399 1.290  0.562 1.216  0.721 1.131  0.845 1.002  0.967 0.870  1.044 0.708  1.117 0.544  1.182 0.376  1.177 0.216  1.049 0.089  0.872 0.074  0.692 0.071  0.513 0.082  0.336 0.112  0.160 0.149  -0.013 0.197
3#apb#apb10#app1040/i  -0.079 -0.167  -0.128 -0.253  -0.178 -0.339  -0.232 -0.422  -0.293 -0.501  -0.354 -0.579  -0.415 -0.658  -0.467 -0.742  -0.516 -0.829  -0.552 -0.918  -0.538 -1.016  -0.524 -1.115  -0.466 -1.195  -0.392 -1.245  -0.292 -1.245  -0.193 -1.245  -0.107 -1.228  -0.089 -1.130  -0.071 -1.033  -0.053 -0.935  -0.034 -0.837  -0.016 -0.739  0.002 -0.642  0.020 -0.544  0.039 -0.446  0.057 -0.348  0.075 -0.251  0.093 -0.153  0.112 -0.055  0.130 0.043  0.148 0.140  0.167 0.238  0.185 0.336  0.203 0.434  0.221 0.531  0.240 0.629  0.258 0.727  0.276 0.825  0.294 0.922  0.313 1.020  0.331 1.118  0.349 1.216  0.367 1.313  0.386 1.411  0.404 1.509  0.422 1.607  0.368 1.659  0.272 1.685  0.176 1.711  0.080 1.737
3#apb#apb10#app1040/t  0.555 1.418  0.614 1.564  0.643 1.717  0.676 1.824  0.609 1.682  0.550 1.537  0.487 1.393  0.413 1.255  0.339 1.117  0.264 0.979  0.192 0.840  0.119 0.701  0.047 0.562  -0.028 0.424  -0.115 0.294  -0.202 0.163  -0.289 0.033  -0.364 -0.105  -0.436 -0.244  -0.509 -0.383  -0.560 -0.531  -0.607 -0.681  -0.630 -0.834  -0.614 -0.989  -0.528 -1.110  -0.395 -1.190  -0.239 -1.204  -0.087 -1.241  0.061 -1.292  0.209 -1.290  0.170 -1.187  0.072 -1.065  -0.027 -0.943  -0.125 -0.821  -0.224 -0.699  -0.322 -0.577  -0.421 -0.455  -0.519 -0.333  -0.638 -0.236  -0.595 -0.160  -0.444 -0.121  -0.289 -0.103  -0.134 -0.080  0.018 -0.042  0.175 -0.031  0.330 -0.018  0.478 0.034  0.626 0.087  0.773 0.142  0.920 0.197
3#apb#apb10#app1040/a  0.084 -0.622  0.214 -0.550  0.341 -0.473  0.402 -0.337  0.462 -0.201  0.511 -0.060  0.552 0.083  0.584 0.228  0.613 0.375  0.634 0.522  0.634 0.671  0.634 0.819  0.599 0.961  0.541 1.098  0.421 1.164  0.277 1.200  0.132 1.189  -0.013 1.155  -0.159 1.122  -0.293 1.066  -0.411 0.975  -0.529 0.884  -0.647 0.793  -0.754 0.691  -0.838 0.568  -0.923 0.446  -1.008 0.323  -1.067 0.190  -1.096 0.044  -1.125 -0.102  -1.087 -0.246  -1.035 -0.383  -0.930 -0.488  -0.825 -0.593  -0.718 -0.695  -0.569 -0.709  -0.421 -0.722  -0.273 -0.728  -0.124 -0.717  0.024 -0.705  0.173 -0.692  0.319 -0.665  0.466 -0.639  0.613 -0.622  0.762 -0.622  0.839 -0.739  0.909 -0.870  0.978 -1.001  1.019 -1.144  1.110 -1.245
3#apb#apb10#app1040/l  0.344 1.558  0.386 1.588  0.380 1.520  0.358 1.454  0.336 1.388  0.314 1.322  0.292 1.255  0.270 1.189  0.248 1.123  0.230 1.056  0.214 0.988  0.199 0.920  0.183 0.853  0.168 0.785  0.152 0.717  0.136 0.649  0.121 0.581  0.106 0.513  0.093 0.445  0.079 0.377  0.065 0.308  0.052 0.240  0.038 0.172  0.024 0.104  0.011 0.035  -0.003 -0.033  -0.016 -0.101  -0.029 -0.170  -0.042 -0.238  -0.056 -0.306  -0.069 -0.375  -0.082 -0.443  -0.095 -0.511  -0.108 -0.580  -0.127 -0.647  -0.147 -0.713  -0.167 -0.780  -0.187 -0.847  -0.208 -0.913  -0.228 -0.980  -0.248 -1.046  -0.266 -1.114  -0.282 -1.181  -0.298 -1.249  -0.314 -1.317  -0.330 -1.385  -0.347 -1.452  -0.365 -1.519  -0.383 -1.587  -0.402 -1.654
3#apb#apb10#app1040/n  0.103 1.361  0.049 1.251  -0.021 1.092  -0.090 0.933  -0.161 0.774  -0.232 0.616  -0.304 0.457  -0.376 0.299  -0.451 0.142  -0.526 -0.015  -0.601 -0.172  -0.682 -0.325  -0.763 -0.479  -0.844 -0.633  -0.921 -0.788  -0.999 -0.944  -1.077 -1.099  -1.155 -1.255  -1.097 -1.187  -0.995 -1.047  -0.893 -0.906  -0.791 -0.765  -0.689 -0.625  -0.587 -0.484  -0.484 -0.343  -0.382 -0.203  -0.280 -0.062  -0.178 0.079  -0.076 0.219  0.005 0.329  0.155 0.418  0.304 0.506  0.465 0.570  0.631 0.622  0.796 0.674  0.960 0.732  1.123 0.794  1.281 0.860  1.272 0.718  1.192 0.564  1.098 0.417  1.005 0.271  0.911 0.125  0.817 -0.022  0.740 -0.177  0.666 -0.335  0.594 -0.493  0.532 -0.655  0.479 -0.819  0.479 -0.993
3#apb#apb10#app1040/o  -0.325 0.639  -0.386 0.762  -0.482 0.853  -0.606 0.860  -0.735 0.817  -0.813 0.717  -0.867 0.591  -0.927 0.468  -0.995 0.349  -1.063 0.231  -1.064 0.094  -1.064 -0.043  -1.064 -0.180  -1.011 -0.306  -0.957 -0.432  -0.879 -0.543  -0.791 -0.648  -0.689 -0.734  -0.562 -0.785  -0.435 -0.835  -0.306 -0.879  -0.169 -0.879  -0.032 -0.879  0.105 -0.879  0.242 -0.879  0.375 -0.853  0.505 -0.813  0.636 -0.773  0.767 -0.733  0.882 -0.664  0.985 -0.574  1.088 -0.484  1.179 -0.383  1.250 -0.266  1.237 -0.145  1.176 -0.023  1.114 0.100  1.024 0.203  0.932 0.304  0.841 0.406  0.749 0.508  0.631 0.576  0.510 0.641  0.390 0.706  0.269 0.771  0.141 0.803  0.004 0.803  -0.133 0.803  -0.270 0.803  -0.407 0.803
