1c#ced#rigi0287_s_jc/j  0.373 0.736  0.355 0.829  0.317 0.940  0.261 0.952  0.261 0.814  0.279 0.679  0.279 0.541  0.279 0.403  0.296 0.266  0.298 0.128  0.298 -0.010  0.298 -0.148  0.280 -0.285  0.263 -0.422  0.232 -0.556  0.211 -0.692  0.181 -0.827  0.145 -0.960  0.097 -1.089  0.040 -1.214  -0.031 -1.331  -0.106 -1.447  -0.204 -1.544  -0.316 -1.621  -0.308 -1.490  -0.297 -1.352  -0.285 -1.215  -0.273 -1.077  -0.262 -0.940  -0.250 -0.802  -0.238 -0.665  -0.226 -0.527  -0.215 -0.390  -0.203 -0.252  -0.191 -0.115  -0.180 0.023  -0.168 0.160  -0.156 0.298  -0.144 0.435  -0.133 0.573  -0.121 0.711  -0.109 0.848  -0.098 0.986  -0.086 1.123  -0.074 1.261  -0.062 1.398  -0.051 1.536  -0.040 1.673  -0.084 1.799  -0.133 1.859
1c#ced#rigi0287_s_jc/i  -0.004 -0.869  0.047 -0.758  0.078 -0.642  0.098 -0.523  0.144 -0.411  0.159 -0.293  0.159 -0.171  0.153 -0.055  0.080 -0.133  0.010 -0.231  -0.044 -0.340  -0.044 -0.462  -0.044 -0.584  -0.044 -0.705  -0.044 -0.827  -0.044 -0.949  -0.044 -1.071  -0.044 -1.192  -0.035 -1.313  -0.005 -1.431  -0.004 -1.325  -0.004 -1.203  -0.004 -1.081  -0.004 -0.959  -0.004 -0.838  -0.004 -0.716  -0.004 -0.594  -0.004 -0.473  -0.004 -0.351  -0.004 -0.229  -0.004 -0.107  -0.004 0.014  0.023 0.133  0.037 0.253  0.037 0.375  0.033 0.496  0.009 0.615  -0.004 0.736  -0.004 0.858  -0.004 0.979  -0.004 1.101  -0.004 1.223  -0.004 1.345  -0.027 1.463  -0.044 1.583  -0.044 1.705  -0.073 1.822  -0.085 1.942  -0.123 2.054  -0.207 2.142
1c#ced#rigi0287_s_jc/n  -0.553 0.104  -0.595 0.250  -0.595 0.402  -0.620 0.550  -0.644 0.697  -0.677 0.842  -0.677 0.994  -0.718 1.136  -0.666 1.245  -0.624 1.108  -0.595 0.963  -0.595 0.811  -0.553 0.669  -0.553 0.516  -0.553 0.364  -0.553 0.212  -0.553 0.060  -0.553 -0.092  -0.553 -0.244  -0.553 -0.396  -0.553 -0.548  -0.553 -0.700  -0.553 -0.852  -0.553 -1.004  -0.595 -1.146  -0.533 -1.149  -0.442 -1.030  -0.371 -0.896  -0.286 -0.769  -0.202 -0.643  -0.122 -0.514  -0.051 -0.380  0.056 -0.272  0.142 -0.147  0.249 -0.039  0.337 0.084  0.457 0.175  0.584 0.260  0.697 0.360  0.841 0.392  0.977 0.408  1.109 0.334  1.200 0.215  1.281 0.086  1.346 -0.051  1.387 -0.196  1.467 -0.325  1.512 -0.470  1.552 -0.616  1.605 -0.759
1c#ced#rigi0287_s_jc/g  0.135 0.615  0.185 0.740  0.233 0.871  0.247 1.010  0.201 1.138  0.069 1.158  -0.058 1.097  -0.182 1.029  -0.292 0.943  -0.392 0.846  -0.481 0.741  -0.562 0.625  -0.596 0.489  -0.533 0.370  -0.398 0.354  -0.262 0.391  -0.132 0.446  -0.009 0.515  0.105 0.597  0.213 0.688  0.319 0.781  0.432 0.866  0.519 0.975  0.518 0.947  0.472 0.815  0.419 0.685  0.372 0.552  0.347 0.413  0.315 0.275  0.295 0.136  0.268 -0.003  0.241 -0.141  0.216 -0.280  0.190 -0.419  0.165 -0.558  0.140 -0.697  0.114 -0.836  0.086 -0.975  0.056 -1.113  0.013 -1.247  -0.039 -1.379  -0.093 -1.509  -0.162 -1.633  -0.253 -1.739  -0.386 -1.759  -0.444 -1.639  -0.455 -1.498  -0.429 -1.360  -0.398 -1.223  -0.329 -1.099
1c#ced#rigi0287_s_jc/k  -0.305 0.866  -0.276 1.077  -0.282 1.286  -0.258 1.500  -0.282 1.713  -0.352 1.679  -0.363 1.463  -0.401 1.250  -0.422 1.035  -0.442 0.819  -0.446 0.602  -0.472 0.387  -0.492 0.171  -0.495 -0.046  -0.526 -0.261  -0.566 -0.474  -0.589 -0.690  -0.614 -0.905  -0.641 -1.121  -0.582 -1.167  -0.424 -1.019  -0.266 -0.870  -0.108 -0.721  0.050 -0.572  0.208 -0.424  0.366 -0.275  0.524 -0.126  0.682 0.023  0.824 0.185  0.951 0.358  1.088 0.525  1.058 0.702  0.848 0.662  0.650 0.575  0.467 0.461  0.289 0.336  0.119 0.204  -0.057 0.077  -0.226 -0.059  -0.388 -0.202  -0.539 -0.350  -0.419 -0.502  -0.223 -0.594  -0.035 -0.694  0.154 -0.800  0.337 -0.917  0.494 -1.066  0.667 -1.195  0.795 -1.367  0.921 -1.540
1c#ced#rigi0287_s_jc/o  0.296 0.621  0.198 0.695  0.144 0.809  0.085 0.922  0.057 1.043  -0.049 1.118  -0.156 1.096  -0.257 1.014  -0.364 0.937  -0.454 0.841  -0.531 0.734  -0.591 0.617  -0.670 0.511  -0.731 0.395  -0.808 0.288  -0.861 0.169  -0.899 0.043  -0.925 -0.087  -0.951 -0.216  -0.973 -0.346  -0.972 -0.476  -0.942 -0.604  -0.880 -0.718  -0.795 -0.819  -0.702 -0.912  -0.593 -0.976  -0.466 -1.010  -0.345 -1.056  -0.214 -1.054  -0.084 -1.028  0.045 -1.002  0.169 -0.960  0.292 -0.911  0.408 -0.853  0.501 -0.759  0.603 -0.676  0.697 -0.585  0.780 -0.482  0.848 -0.369  0.902 -0.250  0.947 -0.126  0.993 -0.002  1.017 0.127  1.028 0.258  1.019 0.389  0.988 0.517  0.927 0.633  0.848 0.739  0.755 0.833  0.662 0.926
1c#ced#rigi0287_s_jc/w  -0.513 0.543  -0.544 0.673  -0.630 0.777  -0.714 0.871  -0.819 0.899  -0.919 0.807  -0.998 0.698  -1.074 0.584  -1.112 0.454  -1.140 0.321  -1.159 0.186  -1.159 0.050  -1.159 -0.087  -1.136 -0.221  -1.103 -0.353  -1.042 -0.470  -0.945 -0.566  -0.827 -0.626  -0.690 -0.626  -0.555 -0.618  -0.428 -0.571  -0.311 -0.500  -0.194 -0.431  -0.098 -0.335  -0.001 -0.238  0.093 -0.140  0.168 -0.026  0.222 0.098  0.258 0.226  0.238 0.279  0.233 0.144  0.233 0.008  0.267 -0.123  0.320 -0.247  0.379 -0.369  0.459 -0.479  0.580 -0.534  0.715 -0.551  0.850 -0.540  0.971 -0.481  1.069 -0.386  1.163 -0.288  1.241 -0.176  1.305 -0.057  1.356 0.070  1.392 0.201  1.416 0.335  1.441 0.469  1.451 0.605  1.451 0.741
1c#ced#rigi0287_s_jc/t  0.316 0.859  0.346 1.002  0.376 1.147  0.376 1.297  0.376 1.447  0.406 1.590  0.406 1.740  0.337 1.722  0.261 1.598  0.229 1.451  0.168 1.315  0.137 1.168  0.090 1.026  0.061 0.879  0.033 0.733  -0.015 0.590  -0.051 0.445  -0.088 0.299  -0.124 0.154  -0.150 0.006  -0.175 -0.141  -0.212 -0.287  -0.226 -0.435  -0.226 -0.585  -0.226 -0.735  -0.209 -0.884  -0.187 -1.032  -0.156 -1.178  -0.088 -1.312  -0.003 -1.435  0.074 -1.353  0.147 -1.222  0.221 -1.092  0.294 -0.961  0.368 -0.830  0.442 -0.699  0.515 -0.569  0.492 -0.508  0.344 -0.515  0.196 -0.500  0.048 -0.525  -0.100 -0.501  -0.247 -0.518  -0.396 -0.525  -0.546 -0.525  -0.692 -0.495  -0.820 -0.443  -0.815 -0.318  -0.718 -0.205  -0.587 -0.134
1c#ced#rigi0287_s_jc/o  0.315 0.543  0.272 0.660  0.217 0.774  0.170 0.882  0.110 0.985  0.032 1.084  -0.083 1.126  -0.206 1.108  -0.325 1.064  -0.431 0.996  -0.531 0.919  -0.611 0.823  -0.681 0.717  -0.740 0.604  -0.777 0.484  -0.833 0.371  -0.880 0.255  -0.905 0.131  -0.930 0.006  -0.933 -0.121  -0.917 -0.246  -0.890 -0.371  -0.860 -0.494  -0.818 -0.611  -0.734 -0.707  -0.645 -0.798  -0.555 -0.887  -0.449 -0.954  -0.330 -0.997  -0.205 -1.012  -0.078 -1.012  0.049 -1.007  0.174 -0.982  0.298 -0.957  0.416 -0.913  0.523 -0.845  0.622 -0.766  0.702 -0.668  0.786 -0.573  0.868 -0.479  0.893 -0.354  0.936 -0.235  0.983 -0.117  1.029 0.001  1.054 0.126  1.040 0.251  1.027 0.376  1.006 0.499  0.955 0.615  0.865 0.705
1c#ced#rigi0287_s_jc/w  -0.641 0.461  -0.641 0.573  -0.641 0.685  -0.622 0.793  -0.675 0.846  -0.764 0.781  -0.813 0.683  -0.880 0.594  -0.922 0.490  -0.961 0.386  -0.989 0.277  -1.016 0.168  -1.043 0.059  -1.066 -0.051  -1.092 -0.160  -1.092 -0.271  -1.060 -0.377  -0.985 -0.458  -0.880 -0.499  -0.770 -0.490  -0.662 -0.459  -0.566 -0.402  -0.462 -0.362  -0.368 -0.302  -0.283 -0.230  -0.190 -0.168  -0.097 -0.105  -0.018 -0.026  0.071 0.040  0.147 0.115  0.209 0.080  0.242 -0.022  0.292 -0.123  0.352 -0.217  0.429 -0.293  0.530 -0.340  0.636 -0.376  0.748 -0.377  0.859 -0.366  0.968 -0.339  1.077 -0.315  1.183 -0.279  1.278 -0.221  1.368 -0.154  1.457 -0.086  1.543 -0.014  1.611 0.074  1.686 0.157  1.734 0.258  1.776 0.362
1c#ced#rigi0287_s_jc/p  -0.115 0.934  -0.121 1.098  -0.151 1.255  -0.176 1.279  -0.161 1.117  -0.136 0.955  -0.130 0.791  -0.112 0.627  -0.088 0.464  -0.069 0.302  -0.062 0.137  -0.048 -0.027  -0.034 -0.191  -0.020 -0.355  -0.006 -0.519  0.007 -0.683  0.009 -0.847  0.022 -1.011  0.022 -1.176  0.029 -1.340  0.037 -1.504  0.025 -1.667  -0.054 -1.771  -0.149 -1.643  -0.209 -1.490  -0.262 -1.334  -0.299 -1.174  -0.332 -1.013  -0.363 -0.851  -0.394 -0.690  -0.416 -0.527  -0.420 -0.362  -0.420 -0.198  -0.409 -0.034  -0.380 0.128  -0.345 0.289  -0.291 0.445  -0.218 0.592  -0.141 0.737  -0.028 0.854  0.088 0.970  0.234 1.041  0.392 1.087  0.554 1.069  0.710 1.017  0.848 0.931  0.938 0.794  0.958 0.638  0.900 0.485  0.784 0.370
1c#ced#rigi0287_s_jc/u  -0.904 0.495  -0.904 0.637  -0.936 0.766  -0.988 0.829  -1.080 0.728  -1.129 0.602  -1.129 0.459  -1.125 0.318  -1.097 0.179  -1.087 0.038  -1.052 -0.100  -1.018 -0.238  -0.969 -0.370  -0.920 -0.503  -0.879 -0.639  -0.806 -0.760  -0.718 -0.870  -0.593 -0.935  -0.480 -1.013  -0.338 -1.013  -0.199 -0.992  -0.065 -0.946  0.049 -0.862  0.153 -0.766  0.265 -0.678  0.359 -0.573  0.426 -0.448  0.510 -0.334  0.563 -0.202  0.643 -0.085  0.693 0.046  0.741 0.179  0.800 0.309  0.848 0.442  0.882 0.580  0.893 0.720  0.925 0.857  0.925 1.000  0.825 1.000  0.759 0.874  0.699 0.748  0.669 0.611  0.654 0.471  0.637 0.331  0.653 0.190  0.680 0.051  0.710 -0.088  0.751 -0.224  0.808 -0.354  0.893 -0.468
1c#ced#rigi0287_s_jc/s  -0.968 -0.689  -1.108 -0.642  -1.263 -0.618  -1.394 -0.543  -1.344 -0.399  -1.228 -0.294  -1.088 -0.217  -0.969 -0.110  -0.835 -0.022  -0.707 0.074  -0.572 0.159  -0.448 0.261  -0.309 0.339  -0.180 0.433  -0.055 0.534  0.059 0.646  0.194 0.732  0.309 0.844  0.426 0.951  0.542 1.059  0.667 1.158  0.662 1.251  0.516 1.187  0.384 1.100  0.260 1.002  0.132 0.908  0.005 0.811  -0.116 0.707  -0.222 0.588  -0.303 0.450  -0.328 0.294  -0.276 0.146  -0.177 0.021  -0.051 -0.076  0.090 -0.151  0.233 -0.223  0.376 -0.295  0.520 -0.367  0.670 -0.418  0.814 -0.490  0.957 -0.559  1.072 -0.669  1.092 -0.813  0.991 -0.935  0.863 -1.030  0.719 -1.102  0.572 -1.164  0.424 -1.226  0.273 -1.275  0.123 -1.329
1c#ced#rigi0287_s_jc/h  -0.097 1.126  -0.115 1.261  -0.119 1.400  -0.145 1.535  -0.197 1.665  -0.283 1.727  -0.309 1.607  -0.336 1.471  -0.340 1.332  -0.340 1.192  -0.340 1.053  -0.340 0.913  -0.340 0.774  -0.340 0.635  -0.331 0.496  -0.321 0.357  -0.321 0.217  -0.321 0.078  -0.321 -0.061  -0.321 -0.201  -0.321 -0.340  -0.321 -0.480  -0.321 -0.619  -0.321 -0.759  -0.321 -0.898  -0.321 -1.037  -0.327 -1.176  -0.307 -1.169  -0.289 -1.032  -0.240 -0.902  -0.203 -0.768  -0.154 -0.638  -0.108 -0.506  -0.057 -0.377  0.009 -0.254  0.090 -0.141  0.186 -0.041  0.302 0.036  0.434 0.055  0.546 -0.026  0.614 -0.145  0.675 -0.271  0.705 -0.407  0.732 -0.544  0.760 -0.680  0.787 -0.817  0.814 -0.954  0.841 -1.091  0.841 -1.230  0.859 -1.366
1c#ced#rigi0287_s_jc/y  -0.433 1.158  -0.482 1.266  -0.522 1.217  -0.511 1.094  -0.499 0.971  -0.457 0.853  -0.370 0.766  -0.253 0.725  -0.130 0.720  -0.010 0.748  0.098 0.810  0.208 0.867  0.296 0.956  0.384 1.045  0.451 1.148  0.479 1.262  0.407 1.175  0.377 1.053  0.355 0.930  0.334 0.807  0.319 0.683  0.301 0.559  0.275 0.437  0.262 0.313  0.262 0.188  0.251 0.063  0.240 -0.061  0.230 -0.186  0.218 -0.311  0.207 -0.435  0.194 -0.559  0.182 -0.684  0.170 -0.808  0.157 -0.933  0.133 -1.055  0.102 -1.176  0.071 -1.298  0.016 -1.409  -0.060 -1.508  -0.156 -1.565  -0.262 -1.506  -0.331 -1.405  -0.371 -1.286  -0.389 -1.163  -0.389 -1.038  -0.363 -0.916  -0.326 -0.796  -0.284 -0.679  -0.229 -0.568  -0.152 -0.469
1c#ced#rigi0287_s_jc/x  -1.361 0.026  -1.504 0.121  -1.569 0.277  -1.494 0.426  -1.331 0.505  -1.154 0.544  -0.971 0.544  -0.788 0.543  -0.610 0.507  -0.435 0.454  -0.274 0.371  -0.112 0.286  0.034 0.176  0.150 0.037  0.225 -0.129  0.239 -0.308  0.203 -0.487  0.145 -0.660  0.051 -0.817  -0.043 -0.974  -0.146 -1.124  -0.254 -1.272  -0.383 -1.396  -0.492 -1.448  -0.394 -1.295  -0.297 -1.141  -0.191 -0.993  -0.102 -0.833  -0.014 -0.673  0.087 -0.521  0.177 -0.363  0.253 -0.197  0.341 -0.037  0.445 0.112  0.527 0.276  0.600 0.443  0.697 0.598  0.754 0.770  0.832 0.935  0.904 1.103  0.932 1.279  0.857 1.180  0.793 1.009  0.726 0.839  0.677 0.664  0.637 0.486  0.612 0.306  0.628 0.125  0.658 -0.055  0.735 -0.220
1c#ced#rigi0287_s_jc/a  0.395 -0.093  0.431 0.083  0.534 0.221  0.574 0.402  0.574 0.592  0.557 0.780  0.453 0.934  0.341 1.078  0.162 1.122  -0.026 1.098  -0.188 1.004  -0.328 0.875  -0.467 0.747  -0.581 0.595  -0.705 0.451  -0.815 0.297  -0.897 0.126  -0.962 -0.052  -1.026 -0.232  -1.084 -0.412  -1.106 -0.600  -1.124 -0.789  -1.142 -0.977  -1.107 -1.163  -1.008 -1.325  -0.838 -1.380  -0.653 -1.348  -0.480 -1.272  -0.337 -1.147  -0.203 -1.013  -0.085 -0.864  0.047 -0.727  0.152 -0.569  0.250 -0.406  0.331 -0.235  0.419 -0.066  0.510 0.101  0.604 0.266  0.672 0.442  0.775 0.596  0.824 0.775  0.851 0.934  0.737 0.785  0.681 0.609  0.649 0.422  0.645 0.232  0.654 0.043  0.700 -0.141  0.775 -0.316  0.860 -0.486
1c#ced#rigi0287_s_jc/v  -0.906 0.218  -0.928 0.336  -0.931 0.459  -0.931 0.583  -0.942 0.702  -0.956 0.820  -0.931 0.746  -0.878 0.635  -0.825 0.523  -0.778 0.409  -0.742 0.292  -0.699 0.178  -0.638 0.070  -0.584 -0.040  -0.541 -0.156  -0.499 -0.272  -0.444 -0.383  -0.396 -0.497  -0.344 -0.608  -0.292 -0.720  -0.246 -0.835  -0.194 -0.946  -0.121 -1.046  -0.059 -1.153  0.015 -1.249  0.126 -1.292  0.224 -1.225  0.280 -1.114  0.335 -1.004  0.360 -0.883  0.398 -0.765  0.434 -0.647  0.467 -0.528  0.497 -0.408  0.527 -0.288  0.557 -0.169  0.576 -0.047  0.592 0.076  0.608 0.198  0.635 0.319  0.665 0.439  0.695 0.558  0.727 0.678  0.761 0.797  0.795 0.915  0.829 1.034  0.861 1.153  0.882 1.275  0.951 1.376  1.008 1.485
