3#apb#apb10#app1039/A  -0.059 0.471  0.173 0.551  0.379 0.687  0.528 0.885  0.636 1.107  0.644 1.047  0.587 0.806  0.526 0.566  0.461 0.326  0.390 0.088  0.317 -0.149  0.243 -0.386  0.172 -0.624  0.119 -0.866  0.137 -0.772  0.188 -0.530  0.239 -0.287  0.291 -0.044  0.342 0.199  0.393 0.442  0.444 0.685  0.496 0.927  0.547 1.170  0.598 1.413  0.624 1.573  0.517 1.349  0.413 1.124  0.311 0.898  0.208 0.672  0.102 0.448  -0.005 0.224  -0.116 0.002  -0.231 -0.218  -0.348 -0.437  -0.471 -0.653  -0.596 -0.867  -0.727 -1.078  -0.866 -1.283  -1.009 -1.486  -1.165 -1.679  -1.136 -1.568  -1.007 -1.356  -0.878 -1.143  -0.749 -0.931  -0.620 -0.719  -0.491 -0.507  -0.362 -0.295  -0.234 -0.083  -0.092 0.106  0.140 0.195
3#apb#apb10#app1039/n  -0.440 0.541  -0.390 0.442  -0.419 0.298  -0.440 0.152  -0.525 0.033  -0.610 -0.087  -0.705 -0.199  -0.801 -0.311  -0.902 -0.417  -1.006 -0.521  -1.103 -0.631  -1.197 -0.744  -1.326 -0.806  -1.361 -0.876  -1.296 -0.766  -1.170 -0.690  -1.048 -0.608  -0.931 -0.520  -0.822 -0.421  -0.713 -0.323  -0.604 -0.224  -0.491 -0.130  -0.376 -0.039  -0.261 0.053  -0.147 0.145  -0.031 0.236  0.088 0.322  0.207 0.408  0.326 0.494  0.445 0.580  0.564 0.666  0.698 0.727  0.834 0.781  0.970 0.836  1.107 0.891  1.223 0.966  1.261 0.857  1.242 0.715  1.176 0.583  1.110 0.452  1.047 0.319  0.987 0.185  0.926 0.051  0.861 -0.081  0.796 -0.212  0.730 -0.344  0.683 -0.483  0.637 -0.622  0.609 -0.766  0.588 -0.912
3#apb#apb10#app1039/c  1.189 0.742  1.144 0.809  1.099 0.876  1.054 0.943  1.010 1.010  0.949 1.027  0.874 0.999  0.798 0.971  0.723 0.942  0.647 0.914  0.572 0.885  0.498 0.852  0.425 0.819  0.351 0.787  0.277 0.754  0.204 0.721  0.132 0.686  0.078 0.625  0.025 0.565  -0.029 0.505  -0.082 0.445  -0.136 0.384  -0.189 0.324  -0.243 0.264  -0.289 0.198  -0.330 0.129  -0.372 0.060  -0.413 -0.009  -0.455 -0.078  -0.496 -0.147  -0.538 -0.217  -0.571 -0.289  -0.590 -0.367  -0.610 -0.445  -0.630 -0.524  -0.649 -0.602  -0.657 -0.680  -0.632 -0.756  -0.606 -0.833  -0.581 -0.909  -0.547 -0.981  -0.495 -1.043  -0.443 -1.105  -0.392 -1.167  -0.340 -1.228  -0.281 -1.282  -0.214 -1.327  -0.147 -1.372  -0.080 -1.416  -0.013 -1.461
3#apb#apb10#app1039/e  0.200 -0.164  0.302 -0.120  0.405 -0.076  0.506 -0.027  0.595 0.040  0.681 0.111  0.761 0.190  0.840 0.269  0.926 0.340  1.016 0.407  1.055 0.509  1.086 0.616  1.102 0.722  1.040 0.815  0.950 0.879  0.854 0.936  0.749 0.939  0.640 0.914  0.531 0.889  0.422 0.863  0.313 0.838  0.214 0.788  0.120 0.728  0.025 0.668  -0.069 0.608  -0.163 0.548  -0.244 0.470  -0.323 0.391  -0.403 0.312  -0.482 0.233  -0.561 0.154  -0.637 0.072  -0.693 -0.024  -0.750 -0.121  -0.806 -0.218  -0.863 -0.314  -0.919 -0.411  -0.920 -0.523  -0.920 -0.635  -0.920 -0.747  -0.920 -0.858  -0.857 -0.949  -0.789 -1.037  -0.720 -1.126  -0.651 -1.214  -0.557 -1.266  -0.451 -1.301  -0.345 -1.337  -0.238 -1.372  -0.132 -1.408
3#apb#apb10#app1039/p  -0.267 0.891  -0.183 0.892  -0.183 0.702  -0.229 0.517  -0.280 0.333  -0.336 0.151  -0.395 -0.030  -0.454 -0.211  -0.516 -0.392  -0.577 -0.572  -0.640 -0.752  -0.704 -0.932  -0.768 -1.112  -0.828 -1.293  -0.876 -1.477  -0.809 -1.431  -0.762 -1.246  -0.715 -1.061  -0.668 -0.876  -0.621 -0.692  -0.574 -0.507  -0.527 -0.322  -0.480 -0.137  -0.433 0.048  -0.386 0.232  -0.339 0.417  -0.292 0.602  -0.245 0.787  -0.178 0.962  0.006 0.983  0.196 0.974  0.386 0.960  0.577 0.960  0.764 0.937  0.948 0.887  1.127 0.823  1.301 0.745  1.411 0.592  1.419 0.413  1.378 0.228  1.252 0.086  1.112 -0.041  0.945 -0.132  0.771 -0.207  0.585 -0.248  0.397 -0.279  0.207 -0.286  0.016 -0.294  -0.174 -0.303  -0.364 -0.291
3#apb#apb10#app1039/r  -0.056 0.716  -0.067 0.820  -0.168 0.744  -0.257 0.655  -0.338 0.558  -0.406 0.453  -0.449 0.334  -0.491 0.215  -0.534 0.096  -0.577 -0.023  -0.596 -0.148  -0.614 -0.273  -0.632 -0.399  -0.650 -0.524  -0.647 -0.650  -0.637 -0.776  -0.628 -0.902  -0.618 -1.028  -0.601 -1.154  -0.583 -1.279  -0.508 -1.375  -0.446 -1.351  -0.407 -1.231  -0.368 -1.110  -0.328 -0.990  -0.289 -0.870  -0.250 -0.750  -0.211 -0.629  -0.171 -0.509  -0.132 -0.389  -0.093 -0.268  -0.054 -0.148  -0.015 -0.028  0.025 0.092  0.064 0.213  0.115 0.326  0.204 0.415  0.296 0.502  0.401 0.572  0.507 0.642  0.612 0.712  0.717 0.783  0.822 0.853  0.928 0.923  1.046 0.962  1.170 0.991  1.293 1.019  1.416 1.047  1.541 1.070  1.665 1.091
3#apb#apb10#app1039/o  0.369 0.592  0.287 0.714  0.204 0.834  0.078 0.909  -0.057 0.950  -0.204 0.950  -0.344 0.912  -0.483 0.865  -0.612 0.803  -0.710 0.694  -0.808 0.585  -0.906 0.476  -0.978 0.351  -1.033 0.215  -1.087 0.079  -1.105 -0.065  -1.105 -0.211  -1.105 -0.358  -1.019 -0.475  -0.929 -0.591  -0.839 -0.706  -0.715 -0.782  -0.586 -0.852  -0.457 -0.921  -0.328 -0.991  -0.184 -1.001  -0.037 -1.001  0.110 -1.001  0.251 -0.979  0.379 -0.908  0.508 -0.838  0.637 -0.768  0.774 -0.716  0.912 -0.666  1.050 -0.616  1.109 -0.497  1.141 -0.354  1.151 -0.213  1.090 -0.079  1.029 0.054  0.969 0.188  0.873 0.298  0.776 0.408  0.678 0.517  0.556 0.593  0.422 0.652  0.288 0.712  0.143 0.736  -0.003 0.751  -0.149 0.751
3#apb#apb10#app1039/p  -0.502 0.508  -0.474 0.567  -0.464 0.390  -0.464 0.210  -0.470 0.031  -0.480 -0.149  -0.491 -0.328  -0.501 -0.508  -0.490 -0.687  -0.492 -0.866  -0.524 -1.043  -0.566 -1.217  -0.622 -1.387  -0.726 -1.534  -0.724 -1.425  -0.686 -1.249  -0.648 -1.073  -0.611 -0.897  -0.573 -0.722  -0.535 -0.546  -0.497 -0.370  -0.459 -0.195  -0.421 -0.019  -0.383 0.157  -0.345 0.332  -0.307 0.508  -0.269 0.684  -0.242 0.860  -0.197 1.011  -0.055 1.120  0.105 1.187  0.285 1.187  0.456 1.135  0.625 1.075  0.783 0.989  0.940 0.902  1.077 0.790  1.200 0.658  1.282 0.503  1.336 0.331  1.292 0.163  1.201 0.015  1.062 -0.099  0.895 -0.163  0.723 -0.205  0.544 -0.192  0.367 -0.161  0.191 -0.122  0.017 -0.078  -0.162 -0.076
3#apb#apb10#app1039/o  0.485 0.657  0.364 0.744  0.243 0.830  0.105 0.839  -0.041 0.813  -0.188 0.786  -0.333 0.753  -0.477 0.717  -0.621 0.681  -0.754 0.623  -0.866 0.525  -0.978 0.427  -1.076 0.317  -1.158 0.193  -1.196 0.056  -1.196 -0.093  -1.196 -0.241  -1.123 -0.367  -1.037 -0.489  -0.952 -0.611  -0.838 -0.698  -0.703 -0.760  -0.568 -0.821  -0.428 -0.867  -0.280 -0.876  -0.131 -0.886  0.017 -0.896  0.165 -0.900  0.314 -0.889  0.462 -0.877  0.610 -0.866  0.745 -0.808  0.875 -0.736  1.005 -0.664  1.087 -0.540  1.170 -0.417  1.241 -0.292  1.186 -0.154  1.131 -0.016  1.064 0.114  0.947 0.205  0.829 0.296  0.711 0.386  0.583 0.463  0.456 0.539  0.328 0.616  0.201 0.692  0.071 0.764  -0.062 0.831  -0.195 0.897
3#apb#apb10#app1039/s  1.076 1.058  0.952 1.068  0.829 1.077  0.705 1.087  0.581 1.084  0.457 1.077  0.333 1.070  0.209 1.063  0.087 1.046  -0.031 1.009  -0.150 0.973  -0.269 0.936  -0.388 0.902  -0.497 0.854  -0.544 0.744  -0.544 0.620  -0.507 0.505  -0.446 0.398  -0.355 0.319  -0.246 0.260  -0.137 0.201  -0.024 0.150  0.093 0.109  0.209 0.067  0.326 0.025  0.441 -0.022  0.556 -0.069  0.670 -0.117  0.751 -0.204  0.801 -0.314  0.801 -0.438  0.731 -0.530  0.637 -0.611  0.534 -0.678  0.421 -0.730  0.309 -0.783  0.196 -0.835  0.080 -0.874  -0.043 -0.893  -0.166 -0.911  -0.288 -0.930  -0.411 -0.948  -0.534 -0.962  -0.658 -0.970  -0.782 -0.979  -0.906 -0.987  -1.030 -0.989  -1.154 -0.989  -1.277 -0.979  -1.399 -0.959
3#apb#apb10#app1039/a  0.773 0.226  0.773 0.361  0.773 0.496  0.773 0.631  0.735 0.757  0.641 0.806  0.509 0.775  0.378 0.745  0.246 0.715  0.112 0.707  -0.023 0.699  -0.158 0.691  -0.292 0.683  -0.420 0.648  -0.544 0.595  -0.668 0.541  -0.792 0.488  -0.909 0.422  -1.023 0.350  -1.137 0.277  -1.237 0.192  -1.304 0.075  -1.357 -0.046  -1.357 -0.181  -1.302 -0.303  -1.196 -0.378  -1.075 -0.437  -0.940 -0.437  -0.805 -0.437  -0.672 -0.423  -0.541 -0.390  -0.410 -0.358  -0.279 -0.324  -0.149 -0.290  -0.019 -0.255  0.112 -0.220  0.243 -0.193  0.378 -0.193  0.513 -0.193  0.647 -0.202  0.777 -0.232  0.861 -0.337  0.932 -0.450  0.982 -0.576  1.005 -0.709  1.058 -0.826  1.153 -0.921  1.281 -0.892  1.412 -0.857  1.542 -0.821
3#apb#apb10#app1039/l  -1.112 -0.037  -1.015 0.020  -0.896 -0.023  -0.771 -0.037  -0.644 -0.037  -0.516 -0.035  -0.400 0.017  -0.280 0.062  -0.161 0.107  -0.052 0.172  0.054 0.243  0.155 0.322  0.222 0.427  0.276 0.543  0.344 0.650  0.423 0.750  0.502 0.851  0.584 0.948  0.667 1.045  0.752 1.141  0.842 1.231  0.908 1.264  0.852 1.152  0.784 1.044  0.712 0.939  0.640 0.834  0.567 0.728  0.514 0.612  0.462 0.496  0.410 0.379  0.355 0.264  0.300 0.149  0.245 0.034  0.190 -0.082  0.128 -0.193  0.065 -0.304  0.002 -0.416  -0.061 -0.527  -0.128 -0.635  -0.196 -0.743  -0.263 -0.852  -0.331 -0.960  -0.400 -1.067  -0.470 -1.174  -0.539 -1.282  -0.609 -1.388  -0.682 -1.493  -0.755 -1.598  -0.811 -1.712  -0.864 -1.828
