3#apa#apa14#app1473/1  -0.146 1.409  -0.146 1.482  -0.146 1.555  -0.146 1.537  -0.146 1.463  -0.146 1.390  -0.146 1.317  -0.146 1.244  -0.146 1.171  -0.146 1.097  -0.129 1.028  -0.096 0.963  -0.063 0.897  -0.031 0.832  0.002 0.766  0.028 0.699  0.028 0.626  0.028 0.553  0.028 0.480  0.028 0.406  0.028 0.333  0.028 0.260  0.028 0.187  0.028 0.114  0.028 0.040  0.028 -0.033  0.028 -0.106  0.028 -0.179  0.028 -0.252  0.028 -0.326  0.028 -0.399  0.028 -0.472  0.028 -0.545  0.028 -0.618  0.028 -0.692  0.028 -0.765  0.028 -0.838  0.028 -0.911  0.028 -0.984  0.028 -1.058  0.028 -1.131  0.028 -1.204  0.028 -1.277  0.028 -1.350  0.066 -1.408  0.118 -1.460  0.169 -1.511  0.202 -1.517  0.202 -1.443  0.202 -1.370
3#apa#apa14#app1473/a  0.415 1.331  0.290 1.456  0.164 1.514  0.038 1.388  -0.087 1.263  -0.213 1.137  -0.338 1.011  -0.460 0.883  -0.539 0.724  -0.619 0.565  -0.698 0.406  -0.778 0.247  -0.857 0.088  -0.887 -0.082  -0.887 -0.260  -0.887 -0.437  -0.887 -0.615  -0.887 -0.793  -0.757 -0.840  -0.606 -0.775  -0.480 -0.650  -0.376 -0.507  -0.277 -0.359  -0.179 -0.211  -0.080 -0.063  0.011 0.089  0.091 0.248  0.170 0.406  0.198 0.577  0.251 0.733  0.377 0.859  0.328 0.809  0.202 0.684  0.198 0.508  0.198 0.330  0.198 0.152  0.198 -0.025  0.198 -0.203  0.198 -0.381  0.198 -0.558  0.198 -0.736  0.250 -0.892  0.376 -1.018  0.524 -1.111  0.683 -1.191  0.842 -1.270  1.001 -1.198  1.160 -1.119  1.323 -1.057  1.501 -1.057
3#apa#apa14#app1473/r  0.340 1.236  0.210 1.301  0.081 1.366  -0.048 1.430  -0.177 1.495  -0.246 1.461  -0.246 1.317  -0.246 1.172  -0.246 1.028  -0.246 0.883  -0.246 0.739  -0.246 0.594  -0.246 0.450  -0.246 0.305  -0.246 0.161  -0.246 0.016  -0.246 -0.128  -0.246 -0.273  -0.246 -0.417  -0.246 -0.562  -0.246 -0.706  -0.246 -0.851  -0.246 -0.995  -0.246 -1.140  -0.246 -1.284  -0.246 -1.429  -0.246 -1.573  -0.246 -1.664  -0.246 -1.520  -0.240 -1.376  -0.205 -1.236  -0.170 -1.095  -0.135 -0.955  -0.100 -0.815  -0.065 -0.675  -0.030 -0.535  0.005 -0.394  0.040 -0.254  0.047 -0.111  0.047 0.034  0.127 0.145  0.229 0.247  0.331 0.350  0.433 0.452  0.535 0.554  0.640 0.651  0.784 0.651  0.929 0.651  1.073 0.651  1.218 0.651
3#apa#apa14#app1473/e  -0.634 0.303  -0.792 0.303  -0.703 0.303  -0.545 0.303  -0.387 0.303  -0.230 0.303  -0.072 0.303  0.086 0.303  0.244 0.303  0.402 0.303  0.560 0.303  0.715 0.308  0.827 0.420  0.902 0.547  0.890 0.699  0.779 0.811  0.710 0.940  0.684 1.065  0.531 1.027  0.378 0.989  0.225 0.950  0.072 0.912  -0.081 0.872  -0.230 0.822  -0.380 0.772  -0.530 0.722  -0.668 0.654  -0.779 0.542  -0.826 0.404  -0.826 0.246  -0.826 0.088  -0.826 -0.069  -0.791 -0.223  -0.753 -0.376  -0.714 -0.529  -0.676 -0.682  -0.638 -0.835  -0.491 -0.849  -0.333 -0.849  -0.188 -0.891  -0.057 -0.978  0.075 -1.066  0.206 -1.153  0.340 -1.233  0.497 -1.233  0.655 -1.233  0.813 -1.233  0.971 -1.233  1.129 -1.233  1.286 -1.233
3#apa#apa14#app1473/^  -1.240 -1.582  -1.161 -1.503  -1.082 -1.424  -1.004 -1.346  -0.925 -1.267  -0.858 -1.180  -0.808 -1.081  -0.758 -0.981  -0.709 -0.882  -0.659 -0.782  -0.609 -0.683  -0.559 -0.583  -0.509 -0.484  -0.460 -0.384  -0.410 -0.285  -0.360 -0.185  -0.297 -0.095  -0.218 -0.017  -0.144 0.065  -0.095 0.165  -0.045 0.264  0.005 0.364  0.055 0.463  0.104 0.563  0.154 0.662  0.204 0.762  0.254 0.861  0.303 0.961  0.353 1.060  0.392 1.163  0.392 1.274  0.439 1.272  0.517 1.193  0.573 1.105  0.573 0.993  0.573 0.882  0.573 0.771  0.573 0.660  0.573 0.548  0.573 0.437  0.573 0.326  0.573 0.215  0.573 0.103  0.573 -0.008  0.573 -0.119  0.573 -0.230  0.573 -0.342  0.573 -0.453  0.573 -0.564  0.573 -0.675
3#apa#apa14#app1473/u  -0.571 0.631  -0.571 0.815  -0.571 0.998  -0.571 1.181  -0.571 1.172  -0.571 0.989  -0.571 0.805  -0.573 0.622  -0.618 0.445  -0.662 0.267  -0.707 0.089  -0.751 -0.089  -0.783 -0.268  -0.783 -0.451  -0.783 -0.635  -0.783 -0.818  -0.636 -0.854  -0.506 -0.756  -0.404 -0.604  -0.302 -0.451  -0.201 -0.299  -0.119 -0.136  -0.061 0.037  -0.003 0.211  0.055 0.385  0.132 0.551  0.214 0.715  0.296 0.879  0.378 1.043  0.460 1.207  0.439 1.166  0.357 1.002  0.278 0.837  0.278 0.654  0.278 0.471  0.278 0.287  0.278 0.104  0.278 -0.079  0.278 -0.262  0.278 -0.446  0.278 -0.629  0.354 -0.794  0.436 -0.958  0.546 -1.094  0.710 -1.176  0.874 -1.258  1.038 -1.340  1.202 -1.422  1.340 -1.462  1.340 -1.279
3#apa#apa14#app1473/n  -0.794 0.681  -0.794 0.544  -0.794 0.406  -0.794 0.268  -0.794 0.131  -0.794 -0.007  -0.794 -0.145  -0.794 -0.283  -0.794 -0.420  -0.794 -0.558  -0.794 -0.696  -0.794 -0.833  -0.794 -0.971  -0.794 -1.010  -0.794 -0.873  -0.794 -0.735  -0.794 -0.597  -0.748 -0.470  -0.687 -0.347  -0.625 -0.224  -0.564 -0.101  -0.546 0.032  -0.546 0.170  -0.458 0.271  -0.361 0.369  -0.263 0.466  -0.166 0.563  -0.069 0.661  0.029 0.758  0.126 0.856  0.233 0.930  0.371 0.930  0.502 0.903  0.625 0.842  0.748 0.780  0.871 0.719  0.946 0.627  0.946 0.490  0.946 0.352  0.946 0.214  0.946 0.077  0.946 -0.061  1.041 -0.160  1.138 -0.257  1.195 -0.371  1.195 -0.509  1.195 -0.646  1.195 -0.784  1.195 -0.922  1.195 -1.059
3#apa#apa14#app1473/d  0.457 1.925  0.457 2.067  0.457 1.902  0.449 1.738  0.409 1.578  0.369 1.418  0.329 1.257  0.304 1.095  0.304 0.930  0.304 0.765  0.304 0.600  0.304 0.435  0.304 0.270  0.304 0.105  0.304 -0.060  0.304 -0.225  0.304 -0.390  0.304 -0.555  0.304 -0.720  0.304 -0.885  0.304 -0.937  0.304 -0.772  0.304 -0.607  0.304 -0.442  0.304 -0.277  0.304 -0.112  0.304 0.053  0.182 0.143  0.034 0.216  -0.126 0.235  -0.291 0.235  -0.449 0.189  -0.605 0.137  -0.762 0.085  -0.881 -0.028  -0.998 -0.145  -1.078 -0.277  -1.050 -0.435  -0.977 -0.583  -0.890 -0.721  -0.773 -0.838  -0.657 -0.954  -0.508 -0.994  -0.343 -0.994  -0.178 -0.994  -0.013 -0.994  0.152 -0.993  0.300 -0.919  0.447 -0.845  0.457 -0.686
3#apa#apa14#app1473/e  -0.536 0.142  -0.387 0.142  -0.239 0.142  -0.090 0.142  0.042 0.209  0.175 0.275  0.308 0.341  0.451 0.364  0.586 0.385  0.653 0.518  0.719 0.651  0.785 0.783  0.798 0.929  0.752 1.031  0.603 1.031  0.455 1.031  0.308 1.020  0.164 0.984  0.020 0.948  -0.124 0.912  -0.268 0.876  -0.412 0.840  -0.551 0.794  -0.655 0.689  -0.760 0.583  -0.826 0.451  -0.892 0.318  -0.959 0.185  -0.980 0.042  -0.980 -0.107  -0.980 -0.255  -0.935 -0.393  -0.869 -0.526  -0.802 -0.658  -0.714 -0.769  -0.581 -0.836  -0.449 -0.902  -0.316 -0.968  -0.168 -0.970  -0.019 -0.970  0.129 -0.970  0.278 -0.970  0.426 -0.970  0.574 -0.970  0.723 -0.970  0.871 -0.970  1.020 -0.970  1.168 -0.970  1.243 -0.896  1.243 -0.747
3#apa#apa14#app1473/f  0.433 1.358  0.418 1.510  0.305 1.623  0.193 1.735  0.049 1.770  0.021 1.639  -0.087 1.525  -0.199 1.413  -0.254 1.277  -0.254 1.118  -0.278 0.962  -0.309 0.807  -0.340 0.651  -0.371 0.495  -0.361 0.347  -0.279 0.211  -0.198 0.075  -0.116 -0.061  -0.035 -0.197  0.044 -0.335  0.115 -0.477  0.195 -0.613  0.290 -0.740  0.385 -0.867  0.481 -0.994  0.577 -1.120  0.689 -1.233  0.840 -1.251  0.691 -1.251  0.538 -1.230  0.406 -1.142  0.274 -1.054  0.142 -0.966  0.010 -0.878  -0.122 -0.790  -0.254 -0.702  -0.386 -0.613  -0.518 -0.525  -0.650 -0.437  -0.765 -0.328  -0.803 -0.185  -0.677 -0.152  -0.519 -0.149  -0.368 -0.099  -0.218 -0.049  -0.065 -0.015  0.094 -0.015  0.253 -0.015  0.411 -0.015  0.570 -0.015
3#apa#apa14#app1473/i  -0.384 0.991  -0.384 1.068  -0.384 1.144  -0.384 1.220  -0.384 1.296  -0.384 1.372  -0.337 1.333  -0.283 1.280  -0.229 1.226  -0.175 1.172  -0.122 1.118  -0.068 1.064  -0.014 1.010  0.005 0.942  0.005 0.866  0.005 0.790  0.005 0.714  0.005 0.638  0.005 0.562  0.005 0.485  0.005 0.409  0.005 0.333  0.005 0.257  0.005 0.181  0.005 0.105  0.005 0.029  0.005 -0.047  0.005 -0.124  0.005 -0.200  0.005 -0.276  0.005 -0.352  0.005 -0.428  0.005 -0.504  0.009 -0.580  0.033 -0.652  0.058 -0.724  0.082 -0.796  0.106 -0.868  0.130 -0.941  0.154 -1.013  0.178 -1.085  0.202 -1.157  0.226 -1.230  0.250 -1.302  0.274 -1.374  0.298 -1.446  0.322 -1.518  0.346 -1.591  0.370 -1.663  0.395 -1.735
3#apa#apa14#app1473/n  -1.346 1.003  -1.205 1.003  -1.065 1.003  -1.037 0.889  -1.037 0.749  -0.999 0.617  -0.936 0.491  -0.873 0.365  -0.810 0.239  -0.747 0.113  -0.684 -0.013  -0.621 -0.139  -0.558 -0.265  -0.495 -0.391  -0.432 -0.517  -0.419 -0.655  -0.419 -0.796  -0.419 -0.937  -0.419 -1.078  -0.419 -1.101  -0.419 -0.960  -0.405 -0.822  -0.342 -0.696  -0.279 -0.570  -0.216 -0.444  -0.153 -0.318  -0.096 -0.190  -0.051 -0.056  -0.007 0.078  0.038 0.211  0.082 0.345  0.127 0.479  0.171 0.612  0.253 0.694  0.394 0.694  0.535 0.694  0.676 0.694  0.817 0.694  0.880 0.568  0.943 0.442  1.006 0.316  1.069 0.190  1.126 0.062  1.126 -0.078  1.126 -0.219  1.183 -0.347  1.246 -0.473  1.309 -0.599  1.372 -0.725  1.435 -0.851
3#apa#apa14#app1473/e  -1.262 0.486  -1.094 0.486  -0.930 0.467  -0.780 0.392  -0.630 0.317  -0.480 0.242  -0.323 0.193  -0.155 0.193  0.012 0.193  0.180 0.193  0.348 0.193  0.516 0.193  0.684 0.193  0.852 0.193  1.020 0.193  1.084 0.297  1.084 0.465  1.084 0.633  1.062 0.779  0.894 0.779  0.726 0.779  0.558 0.779  0.391 0.779  0.223 0.779  0.055 0.779  -0.113 0.779  -0.281 0.779  -0.449 0.779  -0.617 0.779  -0.675 0.670  -0.675 0.502  -0.675 0.334  -0.675 0.166  -0.675 -0.002  -0.675 -0.170  -0.675 -0.338  -0.675 -0.506  -0.675 -0.673  -0.566 -0.796  -0.447 -0.915  -0.328 -1.033  -0.210 -1.152  -0.091 -1.271  0.076 -1.273  0.244 -1.273  0.412 -1.273  0.580 -1.273  0.748 -1.273  0.916 -1.273  1.084 -1.273
3#apa#apa14#app1473/d  0.312 1.718  0.198 1.832  0.179 1.717  0.179 1.555  0.179 1.394  0.206 1.237  0.257 1.083  0.308 0.930  0.342 0.772  0.373 0.614  0.405 0.455  0.437 0.297  0.446 0.136  0.446 -0.026  0.446 -0.187  0.446 -0.349  0.446 -0.510  0.569 -0.549  0.512 -0.414  0.436 -0.272  0.322 -0.158  0.246 -0.016  0.168 0.123  0.024 0.195  -0.121 0.268  -0.265 0.340  -0.416 0.384  -0.578 0.384  -0.733 0.347  -0.887 0.296  -1.030 0.233  -1.102 0.089  -1.155 -0.060  -1.155 -0.222  -1.074 -0.343  -0.944 -0.440  -0.815 -0.537  -0.686 -0.634  -0.552 -0.724  -0.414 -0.807  -0.275 -0.890  -0.136 -0.973  0.002 -1.057  0.156 -1.083  0.318 -1.083  0.479 -1.076  0.637 -1.044  0.796 -1.013  0.954 -0.981  1.113 -0.949
3#apa#apa14#app1473/^  -0.755 -1.353  -0.755 -1.225  -0.755 -1.098  -0.755 -0.971  -0.755 -0.843  -0.735 -0.719  -0.695 -0.598  -0.655 -0.477  -0.615 -0.356  -0.574 -0.235  -0.522 -0.119  -0.465 -0.005  -0.408 0.109  -0.357 0.225  -0.317 0.346  -0.276 0.467  -0.236 0.588  -0.196 0.709  -0.155 0.830  -0.115 0.951  -0.075 1.072  -0.035 1.192  0.006 1.313  0.011 1.440  0.032 1.479  0.089 1.366  0.146 1.252  0.203 1.137  0.203 1.010  0.203 0.883  0.203 0.755  0.228 0.630  0.253 0.505  0.278 0.380  0.303 0.255  0.328 0.130  0.353 0.005  0.378 -0.120  0.405 -0.244  0.435 -0.368  0.466 -0.492  0.497 -0.615  0.528 -0.739  0.559 -0.862  0.586 -0.987  0.586 -1.114  0.643 -1.218  0.733 -1.308  0.778 -1.417  0.778 -1.545
