3#apb#apb12#app1222/A  -0.995 0.794  -0.974 0.767  -0.871 0.535  -0.794 0.292  -0.717 0.050  -0.639 -0.193  -0.562 -0.436  -0.485 -0.678  -0.408 -0.921  -0.442 -0.862  -0.523 -0.621  -0.585 -0.374  -0.634 -0.125  -0.669 0.127  -0.688 0.381  -0.679 0.635  -0.660 0.889  -0.620 1.140  -0.550 1.384  -0.421 1.599  -0.197 1.558  -0.013 1.383  0.142 1.184  0.256 0.956  0.349 0.719  0.437 0.480  0.517 0.238  0.580 -0.008  0.634 -0.257  0.680 -0.507  0.740 -0.755  0.804 -1.001  0.869 -1.246  1.017 -1.422  1.150 -1.209  1.211 -0.963  1.045 -0.824  0.811 -0.722  0.578 -0.621  0.344 -0.520  0.111 -0.418  -0.123 -0.317  -0.356 -0.215  -0.559 -0.118  -0.315 -0.054  -0.063 -0.018  0.189 0.019  0.441 0.055  0.693 0.091  0.945 0.128
3#apb#apb12#app1222/B  -0.294 0.514  -0.294 0.421  -0.263 0.199  -0.224 -0.022  -0.184 -0.244  -0.145 -0.465  -0.105 -0.686  -0.065 -0.908  -0.013 -1.124  -0.002 -0.924  -0.107 -0.725  -0.211 -0.526  -0.316 -0.327  -0.420 -0.128  -0.524 0.071  -0.629 0.270  -0.733 0.470  -0.838 0.669  -0.942 0.868  -1.047 1.067  -0.997 1.280  -0.864 1.449  -0.653 1.524  -0.434 1.560  -0.212 1.523  -0.121 1.334  -0.052 1.120  0.017 0.906  0.085 0.692  0.154 0.478  0.223 0.264  0.292 0.050  0.202 -0.144  0.021 -0.220  0.076 -0.040  0.279 0.057  0.503 0.042  0.718 -0.023  0.917 -0.125  1.075 -0.284  1.183 -0.478  1.204 -0.699  1.138 -0.911  0.990 -1.077  0.791 -1.175  0.570 -1.213  0.346 -1.202  0.130 -1.147  -0.067 -1.040  -0.155 -0.971
3#apb#apb12#app1222/r  -0.492 0.512  -0.382 0.347  -0.313 0.145  -0.254 -0.060  -0.212 -0.270  -0.186 -0.482  -0.167 -0.695  -0.136 -0.906  -0.102 -1.117  -0.068 -1.327  -0.143 -1.226  -0.248 -1.040  -0.352 -0.854  -0.457 -0.668  -0.562 -0.482  -0.667 -0.296  -0.772 -0.109  -0.877 0.077  -1.040 0.199  -1.120 0.361  -0.992 0.532  -0.865 0.703  -0.737 0.874  -0.609 1.046  -0.482 1.217  -0.332 1.354  -0.123 1.400  0.089 1.410  0.297 1.375  0.477 1.271  0.599 1.102  0.659 0.897  0.689 0.686  0.658 0.481  0.594 0.277  0.540 0.071  0.435 -0.115  0.261 -0.238  0.060 -0.283  -0.106 -0.154  0.004 -0.024  0.192 -0.104  0.371 -0.222  0.544 -0.346  0.706 -0.484  0.851 -0.641  1.001 -0.793  1.136 -0.959  1.256 -1.135  1.374 -1.303
3#apb#apb12#app1222/o  -0.307 0.163  -0.467 0.163  -0.617 0.205  -0.753 0.286  -0.866 0.399  -0.874 0.496  -0.733 0.570  -0.591 0.644  -0.449 0.718  -0.308 0.792  -0.166 0.866  -0.024 0.940  0.126 0.932  0.281 0.891  0.423 0.822  0.557 0.736  0.687 0.644  0.810 0.541  0.925 0.431  1.016 0.300  1.104 0.167  1.170 0.021  1.209 -0.131  1.220 -0.290  1.215 -0.449  1.186 -0.605  1.115 -0.747  0.997 -0.849  0.862 -0.934  0.706 -0.966  0.549 -0.995  0.390 -1.008  0.230 -1.017  0.071 -1.016  -0.088 -0.995  -0.240 -0.956  -0.377 -0.873  -0.514 -0.791  -0.619 -0.672  -0.722 -0.550  -0.811 -0.418  -0.892 -0.280  -0.940 -0.129  -0.976 0.027  -0.969 0.186  -0.923 0.339  -0.858 0.484  -0.738 0.586  -0.591 0.642  -0.436 0.681
3#apb#apb12#app1222/w  -1.275 0.748  -1.275 0.720  -1.275 0.602  -1.267 0.485  -1.228 0.374  -1.189 0.263  -1.149 0.151  -1.110 0.040  -1.071 -0.071  -1.032 -0.183  -0.993 -0.294  -0.954 -0.406  -0.915 -0.517  -0.861 -0.587  -0.759 -0.526  -0.672 -0.448  -0.588 -0.365  -0.509 -0.278  -0.425 -0.195  -0.342 -0.116  -0.268 -0.063  -0.176 -0.135  -0.077 -0.199  0.015 -0.273  0.094 -0.361  0.185 -0.433  0.288 -0.489  0.385 -0.556  0.476 -0.631  0.588 -0.654  0.706 -0.662  0.824 -0.660  0.936 -0.637  0.993 -0.534  1.018 -0.420  1.035 -0.303  1.023 -0.185  1.011 -0.068  0.992 0.048  0.969 0.164  0.946 0.280  0.922 0.396  0.897 0.511  0.872 0.626  0.839 0.739  0.792 0.847  0.744 0.955  0.691 1.061  0.612 1.144  0.555 1.093
3#apb#apb12#app1222/n  -1.166 1.085  -1.085 0.882  -1.053 0.640  -1.019 0.399  -0.979 0.158  -0.940 -0.083  -0.900 -0.324  -0.861 -0.564  -0.824 -0.790  -0.881 -0.553  -0.937 -0.316  -0.994 -0.078  -1.051 0.159  -1.107 0.397  -1.164 0.634  -1.137 0.752  -0.936 0.614  -0.735 0.475  -0.534 0.337  -0.333 0.198  -0.132 0.060  0.069 -0.079  0.270 -0.218  0.470 -0.356  0.698 -0.436  0.928 -0.387  1.036 -0.178  0.965 0.025  0.795 0.200  0.626 0.375  0.555 0.357  0.587 0.207  0.570 0.450  0.554 0.694  0.538 0.937  0.489 1.011  0.516 0.769  0.544 0.526  0.571 0.284  0.598 0.041  0.625 -0.201  0.652 -0.444  0.680 -0.686  0.721 -0.926  0.784 -1.161  0.845 -1.395  0.807 -1.236  0.781 -0.994  0.759 -0.751  0.734 -0.508
3#apb#apb12#app1222/C  -0.280 0.215  -0.161 0.208  -0.051 0.255  0.041 0.336  0.134 0.416  0.226 0.496  0.318 0.577  0.411 0.657  0.503 0.738  0.596 0.818  0.612 0.924  0.566 1.035  0.483 1.123  0.374 1.168  0.252 1.175  0.130 1.175  0.007 1.166  -0.106 1.128  -0.214 1.070  -0.308 0.991  -0.389 0.903  -0.444 0.793  -0.491 0.680  -0.526 0.563  -0.559 0.445  -0.577 0.324  -0.595 0.203  -0.600 0.081  -0.605 -0.042  -0.604 -0.164  -0.595 -0.286  -0.586 -0.408  -0.568 -0.529  -0.545 -0.649  -0.510 -0.765  -0.450 -0.872  -0.372 -0.964  -0.281 -1.046  -0.173 -1.105  -0.061 -1.153  0.056 -1.186  0.176 -1.206  0.299 -1.206  0.421 -1.206  0.544 -1.206  0.665 -1.195  0.786 -1.176  0.906 -1.149  1.018 -1.103  1.128 -1.048
3#apb#apb12#app1222/o  -1.051 0.418  -1.019 0.559  -0.966 0.698  -0.868 0.791  -0.730 0.849  -0.592 0.905  -0.455 0.919  -0.321 0.855  -0.187 0.790  -0.053 0.726  0.082 0.662  0.216 0.598  0.350 0.533  0.484 0.469  0.619 0.405  0.753 0.341  0.887 0.277  1.021 0.212  1.156 0.148  1.290 0.084  1.318 -0.056  1.313 -0.201  1.262 -0.341  1.201 -0.475  1.108 -0.591  1.015 -0.707  0.884 -0.778  0.753 -0.848  0.617 -0.906  0.473 -0.945  0.328 -0.960  0.180 -0.941  0.033 -0.921  -0.110 -0.881  -0.251 -0.834  -0.392 -0.787  -0.512 -0.699  -0.631 -0.610  -0.750 -0.520  -0.867 -0.428  -0.960 -0.320  -1.003 -0.178  -1.014 -0.033  -0.979 0.110  -0.903 0.237  -0.816 0.354  -0.686 0.426  -0.551 0.487  -0.408 0.531  -0.266 0.575
3#apb#apb12#app1222/l  -0.519 1.608  -0.470 1.559  -0.453 1.492  -0.437 1.425  -0.421 1.357  -0.406 1.290  -0.390 1.222  -0.370 1.156  -0.349 1.090  -0.328 1.024  -0.307 0.958  -0.286 0.892  -0.265 0.825  -0.244 0.759  -0.223 0.693  -0.202 0.627  -0.181 0.561  -0.160 0.495  -0.139 0.429  -0.118 0.363  -0.097 0.297  -0.076 0.231  -0.055 0.164  -0.034 0.098  -0.013 0.032  0.008 -0.034  0.029 -0.100  0.050 -0.166  0.071 -0.232  0.092 -0.298  0.113 -0.364  0.134 -0.430  0.155 -0.497  0.176 -0.563  0.197 -0.629  0.218 -0.695  0.238 -0.761  0.259 -0.827  0.280 -0.893  0.301 -0.959  0.322 -1.025  0.343 -1.091  0.364 -1.158  0.385 -1.224  0.406 -1.290  0.427 -1.356  0.448 -1.422  0.469 -1.488  0.508 -1.545  0.550 -1.600
3#apb#apb12#app1222/e  -0.803 0.651  -0.834 0.570  -0.801 0.371  -0.768 0.172  -0.735 -0.027  -0.702 -0.226  -0.670 -0.425  -0.637 -0.623  -0.604 -0.822  -0.571 -1.021  -0.538 -1.220  -0.359 -1.290  -0.163 -1.258  0.029 -1.196  0.225 -1.151  0.404 -1.058  0.583 -0.965  0.763 -0.875  0.951 -0.801  1.077 -0.679  0.906 -0.604  0.714 -0.544  0.521 -0.484  0.329 -0.424  0.136 -0.364  -0.056 -0.304  -0.086 -0.261  0.114 -0.238  0.313 -0.204  0.513 -0.184  0.706 -0.127  0.844 -0.106  0.677 0.007  0.510 0.120  0.343 0.234  0.176 0.347  0.010 0.460  -0.157 0.573  -0.324 0.687  -0.491 0.800  -0.658 0.913  -0.825 1.026  -0.679 1.110  -0.490 1.178  -0.294 1.224  -0.103 1.286  0.085 1.361  0.277 1.422  0.474 1.460  0.669 1.509
3#apb#apb12#app1222/m  -1.346 0.561  -1.286 0.491  -1.253 0.349  -1.222 0.206  -1.173 0.067  -1.124 -0.072  -1.076 -0.210  -1.027 -0.349  -0.978 -0.488  -0.938 -0.557  -0.924 -0.411  -0.902 -0.266  -0.880 -0.120  -0.859 0.025  -0.837 0.170  -0.775 0.302  -0.701 0.429  -0.617 0.549  -0.518 0.657  -0.397 0.640  -0.293 0.536  -0.236 0.403  -0.192 0.263  -0.143 0.124  -0.095 -0.015  -0.055 -0.156  -0.005 -0.294  0.053 -0.429  0.138 -0.547  0.200 -0.569  0.252 -0.432  0.311 -0.297  0.373 -0.164  0.442 -0.035  0.515 0.093  0.582 0.224  0.654 0.351  0.752 0.461  0.874 0.530  0.984 0.448  1.060 0.323  1.126 0.192  1.185 0.057  1.243 -0.078  1.301 -0.213  1.366 -0.345  1.442 -0.470  1.540 -0.579  1.657 -0.667  1.802 -0.686
3#apb#apb12#app1222/a  -1.192 0.308  -1.157 0.109  -1.102 -0.085  -1.026 -0.273  -0.948 -0.459  -0.898 -0.431  -0.878 -0.230  -0.858 -0.029  -0.838 0.173  -0.818 0.374  -0.799 0.576  -0.779 0.777  -0.709 0.956  -0.560 1.088  -0.368 1.145  -0.168 1.140  0.017 1.066  0.180 0.948  0.316 0.799  0.469 0.667  0.611 0.524  0.736 0.365  0.846 0.195  0.950 0.022  1.040 -0.159  1.123 -0.344  1.209 -0.527  1.301 -0.707  1.387 -0.889  1.510 -1.049  1.333 -0.976  1.147 -0.897  0.961 -0.817  0.775 -0.738  0.589 -0.658  0.403 -0.579  0.217 -0.499  0.031 -0.419  -0.155 -0.340  -0.342 -0.260  -0.528 -0.181  -0.714 -0.101  -0.900 -0.022  -0.804 0.112  -0.602 0.114  -0.401 0.102  -0.202 0.067  -0.003 0.028  0.197 0.007  0.400 0.007
3#apb#apb12#app1222/n  -1.144 0.730  -1.149 0.617  -1.162 0.505  -1.155 0.392  -1.148 0.279  -1.133 0.167  -1.107 0.057  -1.081 -0.054  -1.053 -0.163  -1.022 -0.272  -0.991 -0.381  -0.883 -0.413  -0.774 -0.442  -0.664 -0.472  -0.555 -0.501  -0.486 -0.472  -0.475 -0.359  -0.463 -0.247  -0.452 -0.134  -0.414 -0.027  -0.377 0.080  -0.339 0.187  -0.307 0.296  -0.276 0.404  -0.234 0.509  -0.179 0.608  -0.096 0.682  -0.000 0.740  0.107 0.761  0.215 0.726  0.309 0.666  0.393 0.590  0.476 0.513  0.556 0.433  0.636 0.353  0.704 0.263  0.765 0.167  0.827 0.072  0.886 -0.024  0.939 -0.124  0.992 -0.224  1.045 -0.324  1.093 -0.427  1.140 -0.530  1.188 -0.633  1.235 -0.736  1.286 -0.837  1.360 -0.923  1.441 -1.002  1.527 -1.076
