1c#apb#apb38#app3826/d  0.162 0.128  0.051 0.117  -0.051 0.066  -0.142 -0.002  -0.229 -0.075  -0.316 -0.150  -0.400 -0.226  -0.485 -0.303  -0.565 -0.384  -0.646 -0.464  -0.721 -0.550  -0.789 -0.641  -0.837 -0.745  -0.867 -0.852  -0.862 -0.966  -0.823 -1.067  -0.727 -1.118  -0.613 -1.118  -0.502 -1.095  -0.392 -1.067  -0.286 -1.025  -0.180 -0.981  -0.086 -0.918  0.006 -0.851  0.088 -0.772  0.164 -0.687  0.231 -0.596  0.291 -0.499  0.349 -0.401  0.397 -0.297  0.445 -0.194  0.473 -0.084  0.499 0.027  0.506 0.141  0.506 0.255  0.505 0.369  0.498 0.483  0.492 0.597  0.485 0.710  0.479 0.824  0.473 0.938  0.465 1.052  0.452 1.165  0.440 1.279  0.418 1.390  0.387 1.500  0.355 1.609  0.323 1.719  0.307 1.830  0.271 1.933
1c#apb#apb38#app3826/o  0.627 1.207  0.525 1.156  0.423 1.105  0.321 1.054  0.219 1.003  0.116 0.955  0.008 0.919  -0.100 0.883  -0.208 0.847  -0.310 0.797  -0.410 0.743  -0.511 0.689  -0.611 0.635  -0.692 0.557  -0.769 0.472  -0.845 0.387  -0.915 0.299  -0.954 0.192  -0.993 0.085  -1.031 -0.023  -1.008 -0.134  -0.986 -0.246  -0.954 -0.354  -0.896 -0.452  -0.837 -0.550  -0.773 -0.642  -0.673 -0.697  -0.573 -0.751  -0.473 -0.806  -0.363 -0.820  -0.249 -0.820  -0.135 -0.820  -0.021 -0.820  0.090 -0.803  0.198 -0.765  0.305 -0.726  0.412 -0.688  0.519 -0.648  0.625 -0.608  0.732 -0.567  0.838 -0.526  0.927 -0.458  1.008 -0.377  1.088 -0.297  1.143 -0.197  1.199 -0.098  1.241 0.005  1.241 0.119  1.241 0.233  1.241 0.347
1c#apb#apb38#app3826/n  -0.776 0.857  -0.798 0.727  -0.818 0.596  -0.818 0.464  -0.818 0.332  -0.800 0.202  -0.768 0.074  -0.736 -0.054  -0.704 -0.182  -0.709 -0.311  -0.735 -0.441  -0.761 -0.570  -0.776 -0.701  -0.776 -0.833  -0.776 -0.965  -0.764 -1.034  -0.715 -0.911  -0.692 -0.783  -0.692 -0.651  -0.692 -0.519  -0.667 -0.390  -0.631 -0.263  -0.592 -0.137  -0.550 -0.012  -0.509 0.114  -0.436 0.212  -0.318 0.271  -0.202 0.335  -0.093 0.408  0.017 0.481  0.121 0.564  0.224 0.646  0.348 0.689  0.474 0.731  0.606 0.732  0.738 0.732  0.866 0.722  0.972 0.642  1.052 0.542  1.110 0.423  1.156 0.299  1.203 0.176  1.245 0.051  1.281 -0.076  1.312 -0.204  1.312 -0.336  1.312 -0.468  1.286 -0.597  1.258 -0.726  1.229 -0.855
1c#apb#apb38#app3826/s  0.554 1.358  0.499 1.373  0.433 1.315  0.343 1.281  0.251 1.252  0.158 1.227  0.065 1.201  -0.021 1.158  -0.106 1.112  -0.190 1.065  -0.285 1.047  -0.355 0.998  -0.398 0.911  -0.464 0.841  -0.470 0.763  -0.427 0.677  -0.370 0.599  -0.309 0.524  -0.247 0.450  -0.179 0.382  -0.107 0.317  -0.033 0.256  0.040 0.192  0.112 0.129  0.188 0.070  0.275 0.027  0.349 -0.033  0.405 -0.108  0.435 -0.200  0.497 -0.272  0.509 -0.364  0.503 -0.459  0.473 -0.551  0.450 -0.645  0.420 -0.735  0.377 -0.822  0.311 -0.892  0.243 -0.960  0.164 -1.013  0.076 -1.053  -0.012 -1.093  -0.099 -1.133  -0.188 -1.171  -0.277 -1.210  -0.365 -1.248  -0.457 -1.277  -0.551 -1.301  -0.644 -1.324  -0.740 -1.332  -0.836 -1.332
1c#apb#apb38#app3826/i  -0.085 0.089  -0.031 -0.000  0.012 -0.097  0.050 -0.196  0.062 -0.301  0.074 -0.407  0.058 -0.512  0.039 -0.616  0.022 -0.721  0.022 -0.827  0.022 -0.933  0.022 -1.039  0.022 -1.146  0.022 -1.252  0.022 -1.358  0.073 -1.433  0.126 -1.417  0.119 -1.311  0.113 -1.205  0.106 -1.099  0.100 -0.993  0.093 -0.887  0.087 -0.781  0.080 -0.675  0.074 -0.569  0.067 -0.463  0.061 -0.357  0.054 -0.251  0.048 -0.145  0.041 -0.039  0.035 0.067  0.028 0.173  0.022 0.279  0.015 0.385  0.009 0.491  0.002 0.597  -0.004 0.703  -0.011 0.809  -0.017 0.915  -0.024 1.021  -0.030 1.127  -0.037 1.233  -0.043 1.339  -0.050 1.445  -0.056 1.551  -0.116 1.629  -0.201 1.692  -0.286 1.756  -0.371 1.820  -0.433 1.906
1c#apb#apb38#app3826/r  -0.308 -1.131  -0.269 -1.198  -0.230 -1.266  -0.191 -1.334  -0.155 -1.403  -0.120 -1.473  -0.106 -1.428  -0.090 -1.351  -0.073 -1.275  -0.056 -1.199  -0.048 -1.122  -0.048 -1.044  -0.048 -0.966  -0.048 -0.888  -0.048 -0.810  -0.048 -0.732  -0.054 -0.654  -0.059 -0.577  -0.065 -0.499  -0.071 -0.421  -0.076 -0.343  -0.082 -0.265  -0.088 -0.188  -0.094 -0.110  -0.100 -0.032  -0.106 0.046  -0.112 0.123  -0.118 0.201  -0.125 0.279  -0.131 0.357  -0.138 0.434  -0.144 0.512  -0.137 0.590  -0.127 0.667  -0.118 0.744  -0.099 0.819  -0.070 0.892  -0.038 0.963  0.003 1.029  0.044 1.095  0.086 1.161  0.137 1.215  0.211 1.240  0.285 1.264  0.359 1.289  0.433 1.313  0.508 1.335  0.582 1.358  0.657 1.380  0.732 1.403
1c#apb#apb38#app3826/e  -0.039 -0.078  0.073 -0.029  0.186 0.020  0.298 0.069  0.403 0.132  0.507 0.196  0.609 0.263  0.700 0.346  0.790 0.428  0.872 0.518  0.945 0.616  1.019 0.714  1.096 0.809  1.125 0.914  1.027 0.947  0.905 0.947  0.783 0.943  0.660 0.936  0.538 0.929  0.424 0.898  0.323 0.829  0.222 0.760  0.121 0.691  0.019 0.624  -0.086 0.561  -0.191 0.498  -0.296 0.435  -0.399 0.369  -0.489 0.285  -0.578 0.202  -0.668 0.118  -0.751 0.029  -0.827 -0.067  -0.898 -0.166  -0.943 -0.279  -0.973 -0.395  -0.963 -0.517  -0.946 -0.637  -0.888 -0.745  -0.829 -0.852  -0.745 -0.941  -0.659 -1.028  -0.572 -1.114  -0.466 -1.175  -0.358 -1.232  -0.250 -1.289  -0.137 -1.332  -0.017 -1.357  0.103 -1.382  0.223 -1.408
1c#apb#apb38#app3826/c  0.444 1.602  0.397 1.543  0.349 1.483  0.301 1.424  0.254 1.364  0.206 1.305  0.159 1.245  0.111 1.186  0.072 1.120  0.033 1.055  -0.006 0.989  -0.046 0.924  -0.085 0.859  -0.124 0.793  -0.156 0.724  -0.184 0.653  -0.213 0.583  -0.241 0.512  -0.269 0.441  -0.297 0.370  -0.322 0.298  -0.346 0.226  -0.371 0.154  -0.386 0.080  -0.386 0.004  -0.386 -0.073  -0.386 -0.149  -0.386 -0.225  -0.386 -0.301  -0.345 -0.365  -0.301 -0.427  -0.257 -0.489  -0.213 -0.552  -0.170 -0.614  -0.126 -0.677  -0.081 -0.738  -0.034 -0.798  0.014 -0.858  0.062 -0.917  0.109 -0.977  0.157 -1.036  0.205 -1.096  0.255 -1.152  0.312 -1.203  0.368 -1.254  0.425 -1.305  0.482 -1.356  0.538 -1.407  0.595 -1.458  0.652 -1.509
1c#apb#apb38#app3826/t  0.568 0.660  0.499 0.660  0.519 0.537  0.482 0.391  0.463 0.242  0.450 0.092  0.413 -0.053  0.369 -0.197  0.341 -0.345  0.324 -0.494  0.308 -0.644  0.297 -0.794  0.288 -0.945  0.279 -1.095  0.256 -1.244  0.233 -1.393  0.231 -1.543  0.176 -1.565  0.107 -1.431  0.037 -1.297  -0.032 -1.164  -0.102 -1.030  -0.171 -0.896  -0.241 -0.763  -0.310 -0.629  -0.380 -0.496  -0.449 -0.362  -0.519 -0.228  -0.588 -0.095  -0.658 0.039  -0.728 0.172  -0.797 0.306  -0.867 0.440  -0.936 0.573  -1.006 0.707  -0.969 0.804  -0.818 0.804  -0.668 0.810  -0.519 0.832  -0.370 0.855  -0.221 0.877  -0.073 0.901  0.076 0.925  0.225 0.949  0.374 0.972  0.523 0.992  0.672 1.011  0.822 1.030  0.971 1.050  1.120 1.069
1c#apb#apb38#app3826/o  0.838 1.246  0.777 1.147  0.675 1.068  0.567 0.999  0.447 0.951  0.327 0.904  0.209 0.851  0.105 0.776  0.000 0.700  -0.105 0.625  -0.209 0.549  -0.319 0.482  -0.431 0.417  -0.543 0.352  -0.655 0.288  -0.759 0.213  -0.854 0.126  -0.949 0.038  -1.044 -0.049  -1.104 -0.163  -1.162 -0.279  -1.157 -0.401  -1.128 -0.527  -1.093 -0.649  -0.994 -0.732  -0.894 -0.815  -0.795 -0.897  -0.667 -0.910  -0.538 -0.923  -0.410 -0.936  -0.282 -0.948  -0.157 -0.913  -0.033 -0.879  0.092 -0.844  0.209 -0.795  0.312 -0.718  0.416 -0.640  0.519 -0.563  0.611 -0.475  0.686 -0.370  0.761 -0.265  0.836 -0.160  0.891 -0.043  0.945 0.074  0.993 0.193  1.002 0.322  1.011 0.451  1.017 0.579  1.017 0.709  1.017 0.838
1c#apb#apb38#app3826/r  -0.476 -0.755  -0.426 -0.830  -0.380 -0.905  -0.360 -0.993  -0.340 -1.080  -0.320 -1.167  -0.303 -1.254  -0.284 -1.337  -0.258 -1.292  -0.286 -1.207  -0.317 -1.123  -0.349 -1.039  -0.380 -0.956  -0.412 -0.872  -0.432 -0.786  -0.439 -0.697  -0.446 -0.608  -0.453 -0.519  -0.459 -0.430  -0.465 -0.341  -0.472 -0.252  -0.476 -0.162  -0.476 -0.073  -0.476 0.016  -0.470 0.105  -0.446 0.191  -0.423 0.277  -0.387 0.355  -0.319 0.413  -0.251 0.472  -0.182 0.528  -0.113 0.585  -0.044 0.642  0.028 0.693  0.112 0.723  0.196 0.753  0.281 0.783  0.366 0.810  0.453 0.829  0.540 0.847  0.628 0.866  0.713 0.891  0.797 0.921  0.882 0.952  0.966 0.982  1.053 0.996  1.142 1.004  1.231 1.012  1.320 1.014  1.410 1.014
1c#apb#apb38#app3826/r  -0.297 0.324  -0.297 0.204  -0.297 0.084  -0.289 -0.036  -0.281 -0.155  -0.272 -0.275  -0.258 -0.393  -0.240 -0.512  -0.221 -0.630  -0.203 -0.749  -0.185 -0.867  -0.167 -0.986  -0.127 -1.096  -0.061 -1.195  0.006 -1.295  0.061 -1.402  0.034 -1.454  -0.004 -1.340  -0.051 -1.230  -0.101 -1.121  -0.151 -1.012  -0.195 -0.901  -0.226 -0.785  -0.257 -0.670  -0.287 -0.554  -0.316 -0.437  -0.343 -0.321  -0.369 -0.204  -0.376 -0.085  -0.368 0.034  -0.359 0.154  -0.341 0.271  -0.299 0.383  -0.257 0.495  -0.215 0.608  -0.164 0.715  -0.089 0.808  -0.014 0.902  0.069 0.986  0.172 1.046  0.276 1.107  0.379 1.167  0.482 1.229  0.585 1.290  0.692 1.339  0.811 1.356  0.928 1.345  1.045 1.319  1.161 1.288  1.274 1.250
1c#apb#apb38#app3826/e  -0.902 0.130  -0.819 0.005  -0.693 -0.070  -0.553 -0.118  -0.404 -0.101  -0.255 -0.095  -0.105 -0.095  0.042 -0.068  0.189 -0.034  0.335 -0.000  0.481 0.033  0.625 0.073  0.766 0.125  0.893 0.198  0.999 0.304  1.111 0.404  1.231 0.491  1.300 0.622  1.253 0.753  1.130 0.835  0.991 0.890  0.846 0.929  0.700 0.956  0.550 0.956  0.402 0.937  0.256 0.901  0.112 0.861  -0.032 0.817  -0.175 0.772  -0.315 0.719  -0.424 0.621  -0.523 0.509  -0.628 0.401  -0.664 0.256  -0.713 0.114  -0.727 -0.033  -0.731 -0.183  -0.750 -0.332  -0.752 -0.482  -0.748 -0.631  -0.733 -0.781  -0.706 -0.928  -0.657 -1.066  -0.550 -1.172  -0.442 -1.275  -0.326 -1.371  -0.192 -1.438  -0.045 -1.463  0.103 -1.454  0.249 -1.421
1c#apb#apb38#app3826/a  -0.426 0.708  -0.512 0.635  -0.597 0.563  -0.682 0.491  -0.767 0.418  -0.852 0.346  -0.939 0.276  -1.027 0.207  -1.110 0.133  -1.179 0.045  -1.248 -0.043  -1.304 -0.139  -1.339 -0.240  -1.303 -0.341  -1.216 -0.410  -1.107 -0.404  -0.997 -0.389  -0.886 -0.374  -0.777 -0.350  -0.668 -0.323  -0.560 -0.296  -0.453 -0.264  -0.349 -0.225  -0.244 -0.185  -0.139 -0.146  -0.037 -0.101  0.064 -0.054  0.157 0.005  0.236 0.084  0.315 0.163  0.380 0.253  0.434 0.350  0.469 0.456  0.423 0.480  0.485 0.416  0.557 0.338  0.646 0.271  0.724 0.192  0.797 0.107  0.887 0.041  0.981 -0.019  1.076 -0.078  1.176 -0.128  1.276 -0.178  1.376 -0.228  1.476 -0.278  1.568 -0.339  1.653 -0.412  1.740 -0.481  1.824 -0.555
1c#apb#apb38#app3826/s  0.268 1.198  0.191 1.246  0.089 1.231  -0.008 1.189  -0.101 1.139  -0.191 1.085  -0.282 1.030  -0.373 0.977  -0.464 0.924  -0.556 0.871  -0.638 0.805  -0.720 0.738  -0.802 0.671  -0.878 0.599  -0.953 0.524  -1.008 0.437  -0.996 0.335  -0.906 0.295  -0.806 0.263  -0.710 0.219  -0.613 0.175  -0.513 0.150  -0.407 0.143  -0.302 0.136  -0.197 0.126  -0.096 0.097  0.006 0.068  0.107 0.039  0.200 -0.010  0.292 -0.063  0.383 -0.116  0.479 -0.160  0.577 -0.199  0.668 -0.248  0.743 -0.323  0.803 -0.407  0.836 -0.507  0.838 -0.612  0.833 -0.717  0.800 -0.817  0.766 -0.917  0.703 -1.002  0.639 -1.086  0.576 -1.171  0.503 -1.246  0.424 -1.316  0.345 -1.386  0.249 -1.429  0.151 -1.470  0.054 -1.510
1c#apb#apb38#app3826/u  -0.906 0.722  -0.987 0.695  -1.067 0.668  -1.063 0.588  -1.053 0.504  -1.045 0.419  -1.045 0.334  -1.045 0.250  -1.062 0.166  -1.078 0.083  -1.095 -0.000  -1.074 -0.077  -1.032 -0.151  -0.989 -0.225  -0.925 -0.280  -0.860 -0.335  -0.796 -0.391  -0.717 -0.423  -0.638 -0.454  -0.560 -0.486  -0.478 -0.500  -0.393 -0.495  -0.309 -0.489  -0.224 -0.483  -0.139 -0.478  -0.058 -0.458  0.021 -0.426  0.099 -0.394  0.178 -0.361  0.256 -0.329  0.335 -0.297  0.412 -0.261  0.487 -0.221  0.562 -0.181  0.637 -0.141  0.712 -0.102  0.787 -0.062  0.861 -0.020  0.928 0.032  0.995 0.084  1.062 0.136  1.130 0.187  1.197 0.239  1.258 0.298  1.318 0.358  1.379 0.418  1.439 0.478  1.487 0.547  1.529 0.620  1.571 0.694
1c#apb#apb38#app3826/r  -0.518 -0.466  -0.500 -0.558  -0.482 -0.649  -0.463 -0.740  -0.435 -0.828  -0.405 -0.917  -0.376 -1.005  -0.346 -1.093  -0.323 -1.182  -0.323 -1.275  -0.312 -1.357  -0.268 -1.308  -0.268 -1.215  -0.268 -1.122  -0.259 -1.029  -0.248 -0.937  -0.237 -0.845  -0.226 -0.752  -0.215 -0.660  -0.221 -0.568  -0.235 -0.476  -0.248 -0.384  -0.261 -0.291  -0.268 -0.199  -0.268 -0.106  -0.268 -0.013  -0.256 0.079  -0.242 0.171  -0.228 0.263  -0.214 0.355  -0.180 0.441  -0.142 0.526  -0.104 0.611  -0.050 0.687  0.006 0.761  0.062 0.835  0.134 0.893  0.209 0.949  0.283 1.004  0.369 1.039  0.457 1.071  0.544 1.103  0.632 1.132  0.721 1.162  0.811 1.176  0.904 1.176  0.997 1.176  1.086 1.151  1.175 1.121  1.263 1.092
1c#apb#apb38#app3826/y  -0.676 0.580  -0.702 0.453  -0.648 0.334  -0.567 0.228  -0.482 0.126  -0.388 0.032  -0.280 -0.044  -0.168 -0.115  -0.074 -0.089  0.005 0.018  0.083 0.125  0.162 0.232  0.241 0.339  0.320 0.446  0.399 0.553  0.477 0.660  0.556 0.767  0.635 0.874  0.714 0.981  0.792 1.088  0.871 1.195  0.917 1.264  0.883 1.137  0.841 1.011  0.788 0.889  0.724 0.773  0.656 0.659  0.584 0.547  0.513 0.435  0.436 0.327  0.356 0.221  0.276 0.115  0.195 0.009  0.112 -0.095  0.029 -0.198  -0.054 -0.302  -0.137 -0.406  -0.220 -0.510  -0.303 -0.613  -0.386 -0.717  -0.469 -0.821  -0.550 -0.926  -0.623 -1.037  -0.697 -1.147  -0.771 -1.258  -0.828 -1.377  -0.878 -1.500  -0.910 -1.627  -0.909 -1.759  -0.845 -1.876
