2#apa#apa15#app1556/P  0.002 0.673  -0.085 0.849  -0.157 0.904  -0.196 0.712  -0.234 0.520  -0.272 0.328  -0.291 0.134  -0.291 -0.062  -0.291 -0.258  -0.291 -0.454  -0.291 -0.650  -0.291 -0.846  -0.291 -1.042  -0.291 -1.238  -0.291 -1.434  -0.291 -1.630  -0.440 -1.671  -0.502 -1.485  -0.564 -1.299  -0.585 -1.106  -0.585 -0.910  -0.585 -0.714  -0.585 -0.518  -0.585 -0.322  -0.585 -0.126  -0.585 0.069  -0.528 0.256  -0.466 0.442  -0.390 0.622  -0.303 0.798  -0.270 0.978  -0.094 1.065  0.090 1.114  0.286 1.114  0.482 1.114  0.678 1.114  0.874 1.114  1.050 1.030  1.176 0.912  1.176 0.716  1.173 0.520  1.086 0.345  0.973 0.191  0.816 0.073  0.660 -0.045  0.503 -0.162  0.357 -0.293  0.219 -0.431  0.051 -0.501  -0.145 -0.501
2#apa#apa15#app1556/l  -0.389 1.642  -0.389 1.572  -0.389 1.502  -0.378 1.435  -0.347 1.372  -0.316 1.310  -0.284 1.248  -0.253 1.185  -0.222 1.123  -0.195 1.059  -0.173 0.993  -0.150 0.926  -0.128 0.860  -0.106 0.794  -0.084 0.728  -0.062 0.662  -0.040 0.595  -0.018 0.529  -0.007 0.460  0.005 0.392  0.016 0.323  0.027 0.254  0.039 0.185  0.050 0.116  0.062 0.047  0.073 -0.021  0.085 -0.090  0.096 -0.159  0.108 -0.228  0.119 -0.297  0.131 -0.366  0.142 -0.434  0.154 -0.503  0.165 -0.572  0.166 -0.642  0.166 -0.712  0.166 -0.781  0.166 -0.851  0.166 -0.921  0.166 -0.991  0.166 -1.060  0.166 -1.130  0.166 -1.200  0.166 -1.270  0.166 -1.339  0.166 -1.409  0.166 -1.479  0.166 -1.549  0.166 -1.619  0.166 -1.688
2#apa#apa15#app1556/a  -0.001 -0.471  0.134 -0.335  0.270 -0.200  0.405 -0.064  0.541 0.071  0.603 0.252  0.663 0.434  0.724 0.616  0.785 0.798  0.751 0.957  0.615 1.093  0.453 1.164  0.262 1.161  0.080 1.101  -0.102 1.040  -0.284 0.979  -0.465 0.919  -0.605 0.803  -0.712 0.644  -0.818 0.484  -0.924 0.325  -1.031 0.165  -1.128 0.001  -1.214 -0.171  -1.300 -0.342  -1.343 -0.513  -1.257 -0.685  -1.171 -0.856  -1.078 -1.016  -0.887 -1.016  -0.695 -1.016  -0.516 -0.985  -0.380 -0.850  -0.245 -0.714  -0.109 -0.579  0.026 -0.443  0.162 -0.308  0.297 -0.172  0.433 -0.037  0.544 0.109  0.544 0.301  0.689 0.347  0.816 0.282  0.816 0.090  0.816 -0.102  0.846 -0.289  0.907 -0.470  0.967 -0.652  1.028 -0.834  1.089 -1.016
2#apa#apa15#app1556/s  0.087 1.042  0.216 1.042  0.308 1.078  0.308 1.206  0.241 1.241  0.119 1.201  -0.003 1.160  -0.125 1.119  -0.247 1.079  -0.366 1.033  -0.457 0.942  -0.547 0.851  -0.638 0.760  -0.729 0.669  -0.820 0.578  -0.911 0.487  -1.002 0.396  -1.021 0.276  -1.012 0.152  -0.897 0.095  -0.782 0.037  -0.667 -0.020  -0.550 -0.065  -0.421 -0.065  -0.292 -0.065  -0.164 -0.065  -0.035 -0.065  0.093 -0.065  0.222 -0.065  0.350 -0.065  0.479 -0.065  0.599 -0.100  0.714 -0.158  0.829 -0.215  0.944 -0.273  0.943 -0.378  0.902 -0.500  0.861 -0.622  0.821 -0.744  0.780 -0.866  0.717 -0.969  0.602 -1.026  0.487 -1.084  0.372 -1.141  0.254 -1.191  0.132 -1.232  0.010 -1.273  -0.112 -1.313  -0.234 -1.354  -0.356 -1.395
2#apa#apa15#app1556/s  -0.391 0.888  -0.463 0.960  -0.534 1.032  -0.606 1.104  -0.522 1.111  -0.421 1.111  -0.463 1.111  -0.564 1.111  -0.650 1.074  -0.722 1.002  -0.794 0.930  -0.807 0.858  -0.735 0.787  -0.663 0.715  -0.585 0.651  -0.494 0.606  -0.403 0.560  -0.312 0.515  -0.222 0.469  -0.131 0.424  -0.040 0.379  0.051 0.333  0.142 0.288  0.233 0.242  0.329 0.220  0.431 0.220  0.515 0.191  0.560 0.100  0.606 0.009  0.651 -0.081  0.696 -0.172  0.723 -0.268  0.723 -0.369  0.716 -0.470  0.684 -0.566  0.652 -0.662  0.620 -0.759  0.587 -0.855  0.555 -0.952  0.523 -1.048  0.474 -1.130  0.383 -1.175  0.292 -1.221  0.202 -1.266  0.111 -1.311  0.016 -1.339  -0.086 -1.339  -0.188 -1.339  -0.289 -1.339  -0.391 -1.339
2#apa#apa15#app1556/p  -0.504 0.721  -0.464 0.561  -0.424 0.401  -0.384 0.241  -0.336 0.084  -0.284 -0.073  -0.233 -0.229  -0.233 -0.394  -0.233 -0.559  -0.233 -0.724  -0.233 -0.889  -0.233 -1.054  -0.233 -1.219  -0.233 -1.384  -0.233 -1.548  -0.233 -1.713  -0.347 -1.602  -0.368 -1.446  -0.368 -1.281  -0.368 -1.116  -0.368 -0.952  -0.368 -0.787  -0.368 -0.622  -0.368 -0.457  -0.368 -0.292  -0.368 -0.127  -0.368 0.038  -0.368 0.203  -0.345 0.362  -0.271 0.509  -0.197 0.657  -0.123 0.804  -0.097 0.963  -0.097 1.128  0.051 1.201  0.201 1.263  0.366 1.263  0.528 1.242  0.688 1.202  0.848 1.162  0.986 1.105  0.986 0.940  0.986 0.775  0.937 0.622  0.863 0.475  0.789 0.327  0.715 0.180  0.568 0.106  0.426 0.025  0.309 -0.091
2#apa#apa15#app1556/l  -0.089 1.248  -0.140 1.299  -0.192 1.351  -0.243 1.402  -0.294 1.454  -0.300 1.394  -0.300 1.321  -0.300 1.249  -0.300 1.176  -0.300 1.103  -0.300 1.030  -0.300 0.958  -0.300 0.885  -0.294 0.814  -0.262 0.749  -0.229 0.683  -0.197 0.618  -0.164 0.553  -0.131 0.488  -0.099 0.423  -0.077 0.354  -0.059 0.284  -0.041 0.213  -0.024 0.143  -0.006 0.072  0.012 0.002  0.029 -0.069  0.047 -0.140  0.064 -0.210  0.082 -0.281  0.100 -0.351  0.117 -0.422  0.133 -0.493  0.147 -0.564  0.161 -0.636  0.175 -0.707  0.190 -0.778  0.204 -0.850  0.218 -0.921  0.233 -0.992  0.247 -1.064  0.261 -1.135  0.275 -1.206  0.290 -1.278  0.304 -1.349  0.318 -1.420  0.332 -1.491  0.334 -1.564  0.334 -1.637  0.334 -1.710
2#apa#apa15#app1556/a  0.087 0.394  0.256 0.394  0.398 0.436  0.473 0.586  0.548 0.737  0.624 0.887  0.594 0.973  0.425 0.973  0.257 0.973  0.089 0.973  -0.046 0.872  -0.181 0.771  -0.316 0.670  -0.450 0.569  -0.585 0.468  -0.720 0.367  -0.854 0.267  -0.989 0.166  -1.092 0.042  -1.145 -0.118  -1.198 -0.278  -1.251 -0.437  -1.305 -0.597  -1.358 -0.757  -1.201 -0.765  -1.039 -0.743  -0.899 -0.650  -0.759 -0.557  -0.619 -0.463  -0.479 -0.370  -0.339 -0.276  -0.199 -0.182  -0.080 -0.063  0.039 0.056  0.177 0.149  0.327 0.224  0.478 0.299  0.628 0.374  0.755 0.305  0.874 0.186  0.956 0.051  0.956 -0.117  0.956 -0.286  0.956 -0.454  0.956 -0.622  0.956 -0.791  0.956 -0.959  1.008 -1.106  1.127 -1.225  1.246 -1.344
2#apa#apa15#app1556/t  -0.473 1.763  -0.473 1.592  -0.470 1.422  -0.437 1.255  -0.404 1.088  -0.370 0.920  -0.337 0.753  -0.304 0.586  -0.276 0.417  -0.248 0.249  -0.220 0.081  -0.192 -0.087  -0.164 -0.256  -0.142 -0.424  -0.142 -0.595  -0.142 -0.765  -0.142 -0.936  -0.142 -1.107  -0.142 -1.277  -0.142 -1.448  -0.063 -1.539  0.107 -1.539  0.220 -1.455  0.281 -1.296  0.343 -1.137  0.404 -0.978  0.465 -0.818  0.526 -0.659  0.587 -0.500  0.649 -0.341  0.710 -0.182  0.771 -0.022  0.832 0.137  0.894 0.296  0.955 0.455  1.006 0.607  0.835 0.607  0.665 0.607  0.494 0.607  0.324 0.607  0.155 0.594  -0.003 0.531  -0.161 0.468  -0.320 0.404  -0.478 0.341  -0.636 0.278  -0.802 0.236  -0.967 0.195  -1.133 0.153  -1.298 0.112
2#apa#apa15#app1556/e  -1.060 -0.552  -1.060 -0.708  -1.025 -0.815  -0.877 -0.766  -0.729 -0.717  -0.581 -0.667  -0.433 -0.618  -0.285 -0.569  -0.162 -0.479  -0.052 -0.369  0.059 -0.259  0.169 -0.148  0.279 -0.038  0.389 0.072  0.500 0.183  0.603 0.298  0.673 0.437  0.743 0.577  0.812 0.716  0.867 0.860  0.867 1.016  0.867 1.172  0.867 1.328  0.759 1.375  0.603 1.375  0.462 1.311  0.322 1.241  0.183 1.171  0.043 1.101  -0.044 0.973  -0.131 0.843  -0.217 0.713  -0.304 0.583  -0.390 0.453  -0.477 0.324  -0.510 0.177  -0.510 0.021  -0.477 -0.131  -0.439 -0.282  -0.402 -0.433  -0.364 -0.585  -0.326 -0.736  -0.288 -0.887  -0.250 -1.039  -0.148 -1.131  -0.000 -1.180  0.147 -1.229  0.295 -1.279  0.443 -1.328  0.591 -1.377
2#apa#apa15#app1556/s  0.091 0.920  0.091 1.043  0.062 1.138  -0.061 1.138  -0.184 1.138  -0.308 1.138  -0.431 1.138  -0.554 1.138  -0.644 1.056  -0.731 0.968  -0.818 0.881  -0.905 0.794  -0.992 0.707  -0.997 0.585  -0.997 0.462  -0.997 0.339  -0.951 0.244  -0.840 0.189  -0.730 0.134  -0.620 0.078  -0.503 0.049  -0.380 0.049  -0.257 0.049  -0.133 0.049  -0.010 0.049  0.112 0.042  0.229 0.003  0.346 -0.036  0.463 -0.075  0.580 -0.114  0.697 -0.153  0.810 -0.201  0.921 -0.256  1.031 -0.312  1.141 -0.367  1.123 -0.443  1.036 -0.530  0.949 -0.617  0.862 -0.704  0.774 -0.792  0.672 -0.858  0.562 -0.913  0.451 -0.968  0.341 -1.023  0.231 -1.078  0.120 -1.133  0.010 -1.189  -0.100 -1.244  -0.221 -1.257  -0.344 -1.257
2#apa#apa15#app1556/w  -0.716 0.628  -0.769 0.522  -0.822 0.416  -0.872 0.308  -0.916 0.198  -0.960 0.089  -1.004 -0.021  -1.048 -0.131  -1.092 -0.241  -1.131 -0.352  -1.131 -0.470  -1.082 -0.577  -1.029 -0.683  -0.956 -0.756  -0.838 -0.756  -0.719 -0.756  -0.665 -0.652  -0.612 -0.546  -0.542 -0.455  -0.444 -0.389  -0.345 -0.324  -0.247 -0.258  -0.163 -0.184  -0.163 -0.066  -0.163 -0.180  -0.163 -0.299  -0.109 -0.395  -0.025 -0.478  0.089 -0.451  0.204 -0.422  0.319 -0.393  0.434 -0.364  0.547 -0.331  0.653 -0.278  0.759 -0.226  0.826 -0.139  0.864 -0.027  0.901 0.085  0.939 0.198  0.989 0.304  1.042 0.410  1.095 0.516  1.148 0.622  1.201 0.728  1.220 0.842  1.220 0.960  1.195 1.068  1.111 1.152  1.027 1.236  0.944 1.319
2#apa#apa15#app1556/e  -0.138 -1.454  -0.253 -1.340  -0.367 -1.225  -0.407 -1.111  -0.293 -0.997  -0.178 -0.882  -0.091 -0.748  -0.019 -0.604  0.053 -0.459  0.126 -0.315  0.216 -0.183  0.330 -0.068  0.444 0.046  0.559 0.160  0.673 0.274  0.779 0.392  0.779 0.554  0.779 0.716  0.779 0.877  0.779 1.039  0.779 1.201  0.714 1.297  0.552 1.297  0.390 1.297  0.229 1.297  0.067 1.297  -0.095 1.297  -0.204 1.199  -0.294 1.065  -0.383 0.930  -0.473 0.796  -0.563 0.661  -0.652 0.527  -0.742 0.392  -0.750 0.233  -0.750 0.071  -0.750 -0.090  -0.750 -0.252  -0.750 -0.414  -0.723 -0.564  -0.608 -0.678  -0.494 -0.793  -0.353 -0.843  -0.191 -0.843  -0.030 -0.843  0.132 -0.843  0.294 -0.843  0.455 -0.843  0.617 -0.843  0.779 -0.843
2#apa#apa15#app1556/r  -0.869 0.135  -0.869 0.042  -0.869 -0.051  -0.869 -0.143  -0.869 -0.236  -0.869 -0.328  -0.869 -0.421  -0.853 -0.510  -0.811 -0.593  -0.770 -0.675  -0.729 -0.758  -0.687 -0.841  -0.646 -0.924  -0.604 -1.007  -0.563 -1.087  -0.563 -0.994  -0.563 -0.902  -0.563 -0.809  -0.527 -0.728  -0.475 -0.651  -0.424 -0.574  -0.373 -0.496  -0.321 -0.419  -0.270 -0.342  -0.219 -0.265  -0.167 -0.188  -0.116 -0.111  -0.065 -0.034  -0.013 0.043  0.038 0.120  0.108 0.180  0.182 0.235  0.256 0.291  0.330 0.346  0.404 0.402  0.478 0.457  0.552 0.513  0.627 0.569  0.701 0.624  0.775 0.680  0.849 0.735  0.923 0.791  0.997 0.846  1.071 0.902  1.145 0.957  1.219 1.013  1.299 1.052  1.392 1.052  1.484 1.052  1.577 1.052
2#apa#apa15#app1556/e  -1.185 -0.799  -1.074 -0.688  -0.963 -0.577  -0.846 -0.483  -0.689 -0.483  -0.533 -0.483  -0.376 -0.483  -0.225 -0.471  -0.114 -0.360  -0.003 -0.249  0.107 -0.139  0.218 -0.028  0.329 0.083  0.439 0.193  0.550 0.304  0.661 0.415  0.711 0.551  0.711 0.707  0.711 0.864  0.711 1.020  0.654 1.153  0.543 1.264  0.433 1.375  0.292 1.412  0.135 1.412  0.008 1.341  -0.103 1.231  -0.213 1.120  -0.276 0.980  -0.325 0.831  -0.375 0.683  -0.424 0.534  -0.474 0.386  -0.523 0.237  -0.533 0.089  -0.483 -0.060  -0.434 -0.208  -0.384 -0.357  -0.335 -0.505  -0.285 -0.654  -0.234 -0.801  -0.094 -0.871  0.046 -0.941  0.187 -1.011  0.327 -1.081  0.467 -1.151  0.607 -1.221  0.747 -1.291  0.887 -1.361  1.027 -1.431
