2#apb#apb31#app3164/O  -0.280 0.682  -0.394 0.618  -0.462 0.501  -0.521 0.378  -0.575 0.252  -0.640 0.132  -0.694 0.007  -0.731 -0.125  -0.765 -0.257  -0.788 -0.392  -0.810 -0.527  -0.832 -0.662  -0.854 -0.797  -0.861 -0.933  -0.849 -1.069  -0.830 -1.204  -0.768 -1.313  -0.633 -1.297  -0.517 -1.225  -0.404 -1.149  -0.299 -1.060  -0.194 -0.972  -0.103 -0.871  -0.014 -0.767  0.074 -0.662  0.159 -0.555  0.240 -0.445  0.321 -0.334  0.401 -0.224  0.481 -0.113  0.561 -0.002  0.641 0.109  0.721 0.221  0.792 0.338  0.863 0.455  0.934 0.572  0.994 0.694  1.053 0.818  1.071 0.949  1.030 1.068  0.916 1.130  0.782 1.105  0.647 1.080  0.519 1.032  0.391 0.984  0.270 0.922  0.155 0.847  0.042 0.771  -0.066 0.687  -0.174 0.603
2#apb#apb31#app3164/c  1.087 1.360  1.118 1.375  1.029 1.331  0.941 1.285  0.855 1.235  0.768 1.186  0.689 1.126  0.609 1.067  0.529 1.007  0.450 0.947  0.372 0.885  0.296 0.820  0.220 0.756  0.145 0.692  0.069 0.627  -0.011 0.567  -0.092 0.510  -0.173 0.452  -0.254 0.394  -0.335 0.336  -0.396 0.260  -0.447 0.175  -0.499 0.090  -0.550 0.004  -0.601 -0.081  -0.645 -0.170  -0.685 -0.261  -0.724 -0.353  -0.763 -0.444  -0.796 -0.537  -0.786 -0.636  -0.776 -0.735  -0.756 -0.829  -0.692 -0.906  -0.629 -0.982  -0.535 -1.012  -0.439 -1.039  -0.343 -1.065  -0.252 -1.047  -0.165 -1.000  -0.077 -0.953  0.011 -0.905  0.098 -0.858  0.186 -0.810  0.273 -0.763  0.360 -0.715  0.448 -0.668  0.535 -0.620  0.622 -0.572  0.710 -0.525
2#apb#apb31#app3164/e  -0.941 -0.636  -0.818 -0.584  -0.680 -0.476  -0.542 -0.369  -0.404 -0.261  -0.273 -0.145  -0.144 -0.027  -0.010 0.086  0.129 0.193  0.252 0.317  0.368 0.448  0.484 0.579  0.601 0.709  0.679 0.865  0.751 1.024  0.755 1.199  0.700 1.365  0.549 1.450  0.381 1.434  0.272 1.298  0.161 1.162  0.050 1.026  -0.061 0.891  -0.171 0.755  -0.282 0.619  -0.383 0.477  -0.479 0.330  -0.574 0.183  -0.670 0.036  -0.752 -0.118  -0.830 -0.275  -0.908 -0.431  -0.941 -0.598  -0.941 -0.774  -0.866 -0.928  -0.776 -1.078  -0.603 -1.068  -0.428 -1.056  -0.258 -1.017  -0.090 -0.969  0.078 -0.920  0.244 -0.866  0.404 -0.794  0.564 -0.722  0.723 -0.650  0.872 -0.558  1.017 -0.461  1.163 -0.364  1.266 -0.223  1.367 -0.080
2#apb#apb31#app3164/1  0.260 1.433  0.321 1.468  0.385 1.492  0.419 1.435  0.449 1.371  0.463 1.305  0.448 1.236  0.434 1.167  0.419 1.098  0.402 1.029  0.379 0.963  0.356 0.896  0.333 0.829  0.310 0.763  0.287 0.696  0.266 0.628  0.245 0.561  0.224 0.493  0.204 0.426  0.183 0.358  0.158 0.292  0.128 0.228  0.098 0.164  0.068 0.101  0.038 0.037  0.008 -0.027  -0.022 -0.091  -0.052 -0.155  -0.074 -0.222  -0.096 -0.289  -0.119 -0.356  -0.141 -0.423  -0.163 -0.490  -0.186 -0.557  -0.208 -0.624  -0.234 -0.690  -0.262 -0.755  -0.290 -0.819  -0.317 -0.884  -0.345 -0.949  -0.373 -1.014  -0.400 -1.080  -0.423 -1.146  -0.446 -1.213  -0.470 -1.279  -0.493 -1.346  -0.511 -1.414  -0.528 -1.483  -0.550 -1.549  -0.586 -1.610
2#apb#apb31#app3164/B  -0.228 0.718  -0.274 0.605  -0.324 0.414  -0.388 0.229  -0.457 0.044  -0.527 -0.139  -0.596 -0.323  -0.664 -0.508  -0.734 -0.692  -0.817 -0.870  -0.845 -0.743  -0.799 -0.552  -0.744 -0.363  -0.682 -0.177  -0.616 0.009  -0.544 0.192  -0.472 0.375  -0.388 0.553  -0.302 0.730  -0.211 0.903  -0.081 1.051  0.048 1.199  0.178 1.347  0.331 1.462  0.518 1.512  0.672 1.420  0.699 1.225  0.668 1.033  0.601 0.849  0.505 0.678  0.389 0.519  0.292 0.349  0.295 0.152  0.351 -0.035  0.465 -0.187  0.649 -0.236  0.841 -0.278  1.004 -0.377  1.065 -0.562  0.991 -0.736  0.831 -0.846  0.655 -0.933  0.473 -1.008  0.294 -1.089  0.115 -1.171  -0.080 -1.195  -0.275 -1.212  -0.472 -1.212  -0.647 -1.127  -0.762 -0.993
2#apb#apb31#app3164/e  -1.261 -0.257  -1.190 -0.374  -1.051 -0.413  -0.913 -0.460  -0.777 -0.509  -0.638 -0.527  -0.495 -0.503  -0.353 -0.480  -0.210 -0.456  -0.073 -0.408  0.063 -0.358  0.199 -0.308  0.335 -0.258  0.451 -0.172  0.567 -0.085  0.683 0.002  0.797 0.091  0.895 0.197  0.993 0.303  1.091 0.410  1.163 0.534  1.223 0.665  1.243 0.797  1.184 0.930  1.095 1.033  0.965 1.098  0.825 1.117  0.680 1.117  0.561 1.036  0.443 0.952  0.325 0.868  0.220 0.770  0.121 0.664  0.022 0.558  -0.076 0.451  -0.163 0.335  -0.248 0.219  -0.334 0.102  -0.418 -0.016  -0.501 -0.135  -0.583 -0.254  -0.665 -0.374  -0.728 -0.503  -0.776 -0.639  -0.825 -0.776  -0.833 -0.918  -0.822 -1.062  -0.802 -1.204  -0.737 -1.333  -0.672 -1.463
2#apb#apb31#app3164/a  0.436 1.070  0.364 1.055  0.193 0.930  0.030 0.795  -0.126 0.650  -0.283 0.508  -0.446 0.372  -0.609 0.237  -0.758 0.086  -0.893 -0.077  -1.028 -0.241  -1.162 -0.406  -1.296 -0.571  -1.405 -0.750  -1.406 -0.950  -1.262 -0.921  -1.091 -0.794  -0.921 -0.667  -0.762 -0.528  -0.612 -0.378  -0.462 -0.228  -0.319 -0.071  -0.183 0.092  -0.047 0.255  0.096 0.412  0.241 0.566  0.387 0.721  0.519 0.886  0.680 1.017  0.679 0.913  0.529 0.763  0.382 0.610  0.245 0.448  0.113 0.283  0.000 0.103  -0.112 -0.077  -0.213 -0.264  -0.277 -0.456  -0.188 -0.631  0.008 -0.710  0.212 -0.744  0.419 -0.695  0.624 -0.642  0.823 -0.568  1.022 -0.495  1.214 -0.404  1.404 -0.310  1.583 -0.198  1.748 -0.064  1.912 0.070
2#apb#apb31#app3164/c  0.764 1.099  0.860 1.176  0.949 1.197  0.864 1.123  0.742 1.109  0.626 1.079  0.526 1.007  0.427 0.934  0.327 0.863  0.223 0.796  0.120 0.730  0.017 0.663  -0.086 0.596  -0.189 0.528  -0.291 0.460  -0.394 0.392  -0.496 0.324  -0.598 0.255  -0.673 0.159  -0.744 0.059  -0.815 -0.042  -0.886 -0.142  -0.959 -0.241  -1.041 -0.333  -1.123 -0.425  -1.150 -0.531  -1.126 -0.652  -1.083 -0.759  -0.976 -0.820  -0.863 -0.855  -0.740 -0.855  -0.617 -0.855  -0.494 -0.852  -0.378 -0.812  -0.262 -0.771  -0.146 -0.730  -0.030 -0.690  0.085 -0.646  0.197 -0.594  0.308 -0.543  0.420 -0.492  0.532 -0.441  0.644 -0.389  0.754 -0.335  0.861 -0.275  0.968 -0.214  1.076 -0.154  1.183 -0.094  1.290 -0.034  1.397 0.026
2#apb#apb31#app3164/h  0.432 2.052  0.338 1.965  0.284 1.848  0.234 1.728  0.190 1.607  0.144 1.487  0.093 1.368  0.042 1.249  0.001 1.127  -0.034 1.003  -0.069 0.878  -0.104 0.754  -0.150 0.633  -0.197 0.513  -0.244 0.393  -0.292 0.273  -0.331 0.150  -0.369 0.026  -0.407 -0.097  -0.444 -0.221  -0.485 -0.343  -0.528 -0.465  -0.571 -0.587  -0.615 -0.709  -0.633 -0.836  -0.647 -0.964  -0.617 -1.078  -0.511 -1.004  -0.411 -0.922  -0.311 -0.841  -0.221 -0.748  -0.132 -0.655  -0.043 -0.561  0.035 -0.458  0.112 -0.354  0.188 -0.250  0.285 -0.166  0.390 -0.091  0.485 -0.004  0.555 -0.070  0.564 -0.197  0.564 -0.326  0.551 -0.454  0.518 -0.578  0.484 -0.703  0.451 -0.828  0.418 -0.953  0.386 -1.078  0.340 -1.198  0.285 -1.315
2#apb#apb31#app3164/P  -0.290 0.040  -0.311 -0.110  -0.350 -0.256  -0.386 -0.404  -0.421 -0.552  -0.475 -0.694  -0.530 -0.835  -0.595 -0.972  -0.663 -1.108  -0.767 -1.216  -0.872 -1.308  -1.005 -1.237  -1.028 -1.097  -0.992 -0.952  -0.938 -0.810  -0.877 -0.671  -0.813 -0.534  -0.749 -0.396  -0.674 -0.265  -0.595 -0.135  -0.516 -0.005  -0.434 0.123  -0.345 0.246  -0.256 0.368  -0.164 0.489  -0.056 0.596  0.051 0.703  0.168 0.799  0.292 0.886  0.418 0.971  0.559 1.028  0.699 1.086  0.848 1.112  0.998 1.138  1.144 1.100  1.224 0.987  1.259 0.844  1.216 0.698  1.139 0.571  1.042 0.454  0.940 0.342  0.836 0.232  0.731 0.122  0.608 0.032  0.485 -0.057  0.361 -0.143  0.234 -0.228  0.097 -0.290  -0.045 -0.343  -0.196 -0.349
2#apb#apb31#app3164/l  0.612 1.544  0.651 1.486  0.643 1.419  0.629 1.350  0.615 1.282  0.594 1.216  0.571 1.151  0.548 1.085  0.525 1.019  0.502 0.954  0.479 0.888  0.454 0.824  0.423 0.761  0.392 0.699  0.360 0.637  0.329 0.575  0.298 0.513  0.267 0.451  0.236 0.388  0.205 0.326  0.172 0.265  0.137 0.205  0.102 0.145  0.067 0.085  0.031 0.025  -0.004 -0.035  -0.039 -0.095  -0.074 -0.155  -0.109 -0.215  -0.144 -0.275  -0.178 -0.335  -0.209 -0.398  -0.239 -0.460  -0.269 -0.523  -0.300 -0.586  -0.330 -0.648  -0.360 -0.711  -0.391 -0.773  -0.421 -0.836  -0.451 -0.898  -0.482 -0.961  -0.512 -1.023  -0.547 -1.084  -0.581 -1.144  -0.615 -1.205  -0.649 -1.265  -0.683 -1.326  -0.718 -1.386  -0.752 -1.447  -0.786 -1.508
2#apb#apb31#app3164/.  0.587 1.592  0.559 1.529  0.531 1.465  0.503 1.402  0.474 1.338  0.446 1.275  0.418 1.211  0.390 1.148  0.361 1.084  0.333 1.021  0.305 0.957  0.277 0.894  0.249 0.830  0.220 0.767  0.192 0.703  0.168 0.638  0.146 0.572  0.124 0.506  0.102 0.441  0.080 0.375  0.058 0.309  0.036 0.243  0.014 0.177  -0.008 0.111  -0.030 0.045  -0.052 -0.021  -0.074 -0.087  -0.095 -0.153  -0.117 -0.218  -0.139 -0.284  -0.161 -0.350  -0.183 -0.416  -0.205 -0.482  -0.225 -0.549  -0.237 -0.617  -0.250 -0.685  -0.262 -0.754  -0.274 -0.822  -0.287 -0.890  -0.299 -0.959  -0.312 -1.027  -0.324 -1.095  -0.337 -1.164  -0.349 -1.232  -0.361 -1.301  -0.374 -1.369  -0.386 -1.437  -0.399 -1.506  -0.411 -1.574  -0.424 -1.642
2#apb#apb31#app3164/1  0.825 1.440  0.760 1.414  0.699 1.380  0.642 1.342  0.612 1.283  0.596 1.215  0.580 1.148  0.564 1.080  0.547 1.013  0.512 0.952  0.477 0.892  0.442 0.832  0.407 0.772  0.372 0.711  0.338 0.651  0.303 0.590  0.269 0.530  0.235 0.469  0.201 0.409  0.166 0.348  0.132 0.287  0.098 0.226  0.065 0.165  0.032 0.104  -0.001 0.042  -0.034 -0.019  -0.067 -0.080  -0.100 -0.141  -0.133 -0.203  -0.163 -0.265  -0.192 -0.329  -0.220 -0.392  -0.249 -0.456  -0.277 -0.520  -0.306 -0.583  -0.334 -0.647  -0.363 -0.710  -0.392 -0.773  -0.423 -0.836  -0.454 -0.898  -0.485 -0.960  -0.516 -1.023  -0.547 -1.085  -0.579 -1.147  -0.610 -1.209  -0.638 -1.273  -0.662 -1.338  -0.686 -1.404  -0.711 -1.469  -0.735 -1.534
2#apb#apb31#app3164/0  -0.105 0.974  -0.193 0.876  -0.279 0.777  -0.345 0.664  -0.412 0.551  -0.478 0.438  -0.516 0.313  -0.550 0.186  -0.583 0.059  -0.616 -0.068  -0.654 -0.193  -0.692 -0.319  -0.730 -0.444  -0.765 -0.570  -0.765 -0.701  -0.765 -0.832  -0.765 -0.964  -0.732 -1.090  -0.693 -1.215  -0.611 -1.309  -0.503 -1.348  -0.393 -1.277  -0.282 -1.206  -0.185 -1.120  -0.099 -1.021  -0.012 -0.922  0.073 -0.823  0.148 -0.715  0.223 -0.608  0.298 -0.500  0.372 -0.392  0.432 -0.275  0.493 -0.159  0.554 -0.043  0.614 0.074  0.665 0.195  0.714 0.316  0.764 0.438  0.811 0.560  0.834 0.689  0.857 0.818  0.865 0.947  0.837 1.075  0.784 1.195  0.701 1.266  0.572 1.243  0.447 1.206  0.323 1.161  0.213 1.096  0.129 0.995
2#apb#apb31#app3164/5  -0.145 0.743  -0.223 0.602  -0.294 0.457  -0.376 0.318  -0.445 0.174  -0.473 0.014  -0.415 -0.124  -0.275 -0.176  -0.113 -0.169  0.048 -0.161  0.208 -0.180  0.346 -0.250  0.438 -0.382  0.431 -0.538  0.384 -0.692  0.283 -0.812  0.150 -0.903  0.005 -0.975  -0.145 -1.035  -0.301 -1.069  -0.463 -1.078  -0.624 -1.079  -0.784 -1.069  -0.935 -1.011  -1.083 -0.944  -1.038 -0.816  -0.957 -0.677  -0.875 -0.537  -0.794 -0.397  -0.712 -0.257  -0.631 -0.117  -0.549 0.022  -0.468 0.162  -0.386 0.302  -0.305 0.442  -0.223 0.581  -0.142 0.721  -0.035 0.824  0.123 0.861  0.281 0.888  0.443 0.888  0.605 0.888  0.767 0.888  0.925 0.866  1.077 0.813  1.235 0.786  1.397 0.786  1.550 0.737  1.693 0.794  1.823 0.888
2#apb#apb31#app3164/E  -0.052 0.793  -0.155 0.535  -0.229 0.267  -0.313 0.001  -0.459 -0.235  -0.607 -0.471  -0.753 -0.708  -0.940 -0.915  -1.031 -1.039  -0.880 -0.804  -0.730 -0.569  -0.579 -0.334  -0.429 -0.099  -0.278 0.136  -0.128 0.371  0.022 0.605  0.173 0.840  0.323 1.075  0.331 1.026  0.597 1.037  0.867 1.083  1.139 1.145  1.319 1.196  1.105 1.017  0.891 0.839  0.676 0.660  0.462 0.481  0.248 0.303  0.033 0.124  -0.181 -0.054  0.029 0.103  0.271 0.241  0.514 0.378  0.780 0.463  1.033 0.578  0.972 0.488  0.767 0.299  0.562 0.109  0.357 -0.080  0.152 -0.269  -0.053 -0.458  -0.259 -0.647  -0.464 -0.837  -0.669 -1.026  -0.874 -1.215  -1.079 -1.404  -1.010 -1.409  -0.752 -1.304  -0.493 -1.199  -0.228 -1.115
2#apb#apb31#app3164/.  -0.052 0.793  -0.155 0.535  -0.229 0.267  -0.313 0.001  -0.459 -0.235  -0.607 -0.471  -0.753 -0.708  -0.940 -0.915  -1.031 -1.039  -0.880 -0.804  -0.730 -0.569  -0.579 -0.334  -0.429 -0.099  -0.278 0.136  -0.128 0.371  0.022 0.605  0.173 0.840  0.323 1.075  0.331 1.026  0.597 1.037  0.867 1.083  1.139 1.145  1.319 1.196  1.105 1.017  0.891 0.839  0.676 0.660  0.462 0.481  0.248 0.303  0.033 0.124  -0.181 -0.054  0.029 0.103  0.271 0.241  0.514 0.378  0.780 0.463  1.033 0.578  0.972 0.488  0.767 0.299  0.562 0.109  0.357 -0.080  0.152 -0.269  -0.053 -0.458  -0.259 -0.647  -0.464 -0.837  -0.669 -1.026  -0.874 -1.215  -1.079 -1.404  -1.010 -1.409  -0.752 -1.304  -0.493 -1.199  -0.228 -1.115
2#apb#apb31#app3164/5  0.560 1.153  0.364 1.074  0.233 0.892  0.113 0.701  -0.032 0.529  -0.181 0.360  -0.315 0.181  -0.438 -0.002  -0.543 -0.162  -0.359 -0.134  -0.160 -0.030  0.048 0.036  0.273 0.036  0.498 0.036  0.721 0.016  0.938 -0.045  1.107 -0.170  1.134 -0.387  1.036 -0.578  0.869 -0.729  0.703 -0.881  0.510 -0.992  0.300 -1.073  0.081 -1.128  -0.132 -1.199  -0.344 -1.276  -0.565 -1.323  -0.789 -1.335  -1.013 -1.321  -1.153 -1.213  -1.026 -1.037  -0.919 -0.838  -0.812 -0.640  -0.706 -0.441  -0.599 -0.242  -0.492 -0.044  -0.386 0.155  -0.279 0.353  -0.173 0.552  -0.066 0.750  0.041 0.949  0.123 1.140  0.277 1.084  0.495 1.024  0.575 0.986  0.349 0.992  0.124 0.998  -0.101 1.004  -0.024 1.151  0.139 1.068
2#apb#apb31#app3164/2  -0.965 0.965  -0.864 1.053  -0.736 1.105  -0.606 1.154  -0.476 1.200  -0.345 1.246  -0.210 1.276  -0.074 1.301  0.063 1.326  0.197 1.294  0.330 1.258  0.435 1.167  0.516 1.057  0.586 0.937  0.581 0.800  0.573 0.662  0.529 0.531  0.483 0.400  0.425 0.274  0.364 0.150  0.302 0.026  0.218 -0.084  0.133 -0.193  0.048 -0.302  -0.039 -0.411  -0.127 -0.518  -0.215 -0.624  -0.303 -0.731  -0.399 -0.831  -0.500 -0.926  -0.601 -1.021  -0.686 -1.130  -0.771 -1.238  -0.765 -1.181  -0.682 -1.070  -0.594 -0.963  -0.493 -0.869  -0.390 -0.776  -0.282 -0.690  -0.173 -0.605  -0.048 -0.546  0.081 -0.496  0.215 -0.463  0.350 -0.434  0.489 -0.434  0.627 -0.441  0.763 -0.468  0.894 -0.508  1.018 -0.570  1.125 -0.658
