2#app#app13#app1369/w  -1.103 0.999  -0.978 0.957  -0.978 0.790  -0.978 0.623  -0.978 0.456  -0.978 0.289  -0.978 0.122  -0.978 -0.044  -0.978 -0.211  -0.978 -0.378  -0.949 -0.533  -0.853 -0.660  -0.853 -0.827  -0.853 -0.994  -0.706 -0.982  -0.588 -0.864  -0.477 -0.743  -0.477 -0.576  -0.411 -0.437  -0.352 -0.294  -0.352 -0.128  -0.234 -0.010  -0.204 0.145  -0.102 0.270  -0.102 0.436  0.004 0.498  0.149 0.476  0.149 0.309  0.149 0.142  0.215 -0.009  0.274 -0.162  0.274 -0.329  0.274 -0.496  0.274 -0.663  0.350 -0.754  0.517 -0.754  0.548 -0.605  0.650 -0.480  0.696 -0.332  0.799 -0.204  0.874 -0.055  0.949 0.095  1.023 0.244  1.140 0.363  1.219 0.509  1.276 0.663  1.276 0.830  1.363 0.961  1.451 1.100  1.526 1.249
2#app#app13#app1369/d  -0.335 0.348  -0.335 0.169  -0.513 0.167  -0.517 -0.008  -0.639 -0.137  -0.698 -0.292  -0.698 -0.471  -0.698 -0.650  -0.698 -0.829  -0.698 -1.008  -0.698 -1.187  -0.698 -1.367  -0.614 -1.462  -0.435 -1.462  -0.279 -1.406  -0.154 -1.279  -0.154 -1.100  -0.027 -0.973  0.027 -0.816  0.027 -0.637  0.097 -0.487  0.208 -0.354  0.208 -0.175  0.208 0.004  0.208 0.184  0.208 0.363  0.208 0.542  0.208 0.721  0.208 0.900  0.208 1.079  0.208 1.258  0.208 1.438  0.208 1.617  0.208 1.796  0.208 1.618  0.208 1.439  0.208 1.260  0.330 1.131  0.389 0.976  0.389 0.797  0.389 0.618  0.389 0.439  0.389 0.260  0.389 0.081  0.389 -0.098  0.389 -0.278  0.389 -0.457  0.444 -0.613  0.570 -0.740  0.570 -0.919
2#app#app13#app1369/f  -0.317 0.176  -0.317 -0.053  -0.317 -0.283  -0.317 -0.512  -0.364 -0.730  -0.467 -0.935  -0.479 -1.161  -0.479 -1.390  -0.358 -1.569  -0.317 -1.437  -0.317 -1.208  -0.317 -0.979  -0.296 -0.755  -0.193 -0.550  -0.155 -0.330  -0.155 -0.101  -0.155 0.128  -0.155 0.357  -0.155 0.586  -0.086 0.799  0.007 1.006  0.007 1.236  0.007 1.465  0.170 1.532  0.294 1.636  0.523 1.636  0.724 1.568  0.914 1.474  0.981 1.311  0.843 1.128  0.706 0.945  0.568 0.761  0.431 0.578  0.293 0.395  0.156 0.211  0.018 0.028  -0.119 -0.155  -0.257 -0.339  -0.394 -0.522  -0.541 -0.697  -0.728 -0.798  -0.650 -0.798  -0.438 -0.757  -0.259 -0.636  -0.030 -0.636  0.143 -0.500  0.352 -0.453  0.523 -0.311  0.656 -0.216  0.819 -0.149
2#app#app13#app1369/i  -0.088 0.073  -0.088 -0.033  -0.088 -0.139  -0.088 -0.246  -0.088 -0.352  -0.088 -0.458  -0.088 -0.565  -0.088 -0.671  -0.088 -0.777  -0.088 -0.884  -0.088 -0.990  -0.088 -1.096  -0.086 -1.202  -0.011 -1.277  0.064 -1.353  0.139 -1.428  0.162 -1.388  0.153 -1.282  0.145 -1.176  0.137 -1.070  0.129 -0.964  0.121 -0.858  0.113 -0.752  0.104 -0.646  0.096 -0.540  0.088 -0.434  0.080 -0.328  0.072 -0.222  0.064 -0.116  0.056 -0.010  0.047 0.096  0.039 0.202  0.031 0.308  0.023 0.414  0.015 0.520  0.007 0.627  -0.002 0.733  -0.010 0.839  -0.018 0.945  -0.026 1.051  -0.034 1.157  -0.042 1.263  -0.051 1.369  -0.059 1.475  -0.067 1.581  -0.075 1.687  -0.083 1.793  -0.088 1.815  -0.088 1.709  -0.088 1.602
2#app#app13#app1369/g  0.153 1.315  0.005 1.315  -0.100 1.211  -0.230 1.165  -0.378 1.165  -0.445 1.084  -0.525 1.016  -0.595 0.937  -0.595 0.789  -0.595 0.641  -0.595 0.492  -0.595 0.344  -0.544 0.217  -0.440 0.123  -0.335 0.228  -0.230 0.333  -0.116 0.417  0.004 0.445  0.023 0.586  0.128 0.691  0.265 0.716  0.303 0.827  0.412 0.866  0.561 0.866  0.602 0.759  0.602 0.611  0.602 0.463  0.602 0.314  0.531 0.196  0.453 0.080  0.453 -0.069  0.453 -0.217  0.453 -0.365  0.430 -0.504  0.325 -0.609  0.303 -0.748  0.303 -0.896  0.189 -0.930  0.153 -1.043  0.153 -1.192  0.153 -1.340  0.076 -1.456  -0.029 -1.561  -0.134 -1.666  -0.238 -1.586  -0.296 -1.461  -0.342 -1.333  -0.445 -1.227  -0.445 -1.079  -0.445 -0.930
2#app#app13#app1369/u  -0.485 1.544  -0.485 1.426  -0.485 1.309  -0.485 1.191  -0.485 1.073  -0.485 0.956  -0.561 0.869  -0.645 0.786  -0.685 0.685  -0.685 0.567  -0.685 0.450  -0.685 0.332  -0.685 0.214  -0.685 0.097  -0.685 -0.021  -0.685 -0.139  -0.685 -0.256  -0.685 -0.374  -0.685 -0.492  -0.685 -0.610  -0.609 -0.651  -0.491 -0.651  -0.485 -0.763  -0.464 -0.872  -0.381 -0.955  -0.298 -1.038  -0.185 -1.050  -0.067 -1.050  0.050 -1.050  0.152 -1.011  0.235 -0.928  0.319 -0.845  0.402 -0.762  0.485 -0.678  0.512 -0.572  0.512 -0.454  0.594 -0.370  0.677 -0.287  0.712 -0.184  0.712 -0.066  0.785 0.021  0.869 0.104  0.911 0.204  0.911 0.322  0.977 0.412  1.060 0.496  1.111 0.592  1.111 0.710  1.111 0.828  1.111 0.945
2#app#app13#app1369/r  -0.393 0.050  -0.393 -0.056  -0.393 -0.162  -0.393 -0.268  -0.393 -0.374  -0.393 -0.480  -0.393 -0.585  -0.393 -0.691  -0.393 -0.797  -0.393 -0.903  -0.393 -1.009  -0.393 -1.115  -0.393 -1.221  -0.393 -1.327  -0.314 -1.353  -0.208 -1.353  -0.193 -1.263  -0.193 -1.157  -0.193 -1.051  -0.193 -0.945  -0.193 -0.839  -0.184 -0.735  -0.137 -0.640  -0.089 -0.546  -0.042 -0.451  0.005 -0.356  0.008 -0.251  0.008 -0.145  0.008 -0.039  0.008 0.067  0.008 0.173  0.021 0.276  0.068 0.371  0.115 0.465  0.163 0.560  0.208 0.655  0.208 0.761  0.208 0.867  0.208 0.973  0.227 1.071  0.302 1.146  0.377 1.221  0.409 1.314  0.409 1.420  0.481 1.454  0.587 1.454  0.693 1.454  0.799 1.454  0.904 1.454  1.010 1.454
2#app#app13#app1369/e  -0.841 -0.061  -0.841 -0.234  -0.841 -0.407  -0.827 -0.567  -0.654 -0.567  -0.481 -0.567  -0.316 -0.548  -0.194 -0.425  -0.067 -0.314  0.106 -0.314  0.170 -0.205  0.191 -0.041  0.313 0.082  0.441 0.191  0.614 0.191  0.676 0.303  0.690 0.472  0.767 0.627  0.844 0.782  0.922 0.936  0.928 1.108  0.850 1.202  0.677 1.202  0.676 1.374  0.583 1.455  0.414 1.446  0.292 1.324  0.170 1.201  0.092 1.047  0.015 0.892  -0.062 0.737  -0.083 0.569  -0.117 0.410  -0.239 0.288  -0.335 0.154  -0.335 -0.019  -0.335 -0.192  -0.371 -0.350  -0.493 -0.472  -0.588 -0.606  -0.588 -0.779  -0.588 -0.952  -0.588 -1.125  -0.588 -1.298  -0.442 -1.325  -0.269 -1.325  -0.096 -1.325  0.077 -1.325  0.250 -1.325  0.423 -1.325
2#app#app13#app1369/l  0.135 1.694  0.135 1.623  0.135 1.553  0.135 1.483  0.135 1.412  0.135 1.342  0.135 1.271  0.135 1.201  0.135 1.130  0.135 1.060  0.135 0.989  0.135 0.919  0.135 0.849  0.135 0.778  0.135 0.708  0.135 0.637  0.135 0.567  0.106 0.503  0.075 0.440  0.043 0.377  0.012 0.314  -0.020 0.251  -0.051 0.188  -0.083 0.125  -0.091 0.057  -0.091 -0.014  -0.091 -0.084  -0.091 -0.155  -0.091 -0.225  -0.091 -0.295  -0.091 -0.366  -0.091 -0.436  -0.091 -0.507  -0.091 -0.577  -0.091 -0.648  -0.091 -0.718  -0.091 -0.788  -0.091 -0.859  -0.091 -0.929  -0.091 -1.000  -0.091 -1.070  -0.091 -1.141  -0.091 -1.211  -0.091 -1.282  -0.091 -1.352  -0.091 -1.422  -0.091 -1.493  -0.091 -1.563  -0.091 -1.634  -0.091 -1.704
2#app#app13#app1369/e  -0.727 -0.154  -0.727 -0.324  -0.644 -0.410  -0.475 -0.410  -0.306 -0.410  -0.136 -0.410  0.033 -0.410  0.202 -0.410  0.294 -0.333  0.294 -0.163  0.455 -0.154  0.624 -0.154  0.794 -0.154  0.805 0.003  0.805 0.172  0.805 0.342  0.805 0.511  0.805 0.680  0.805 0.850  0.805 1.019  0.740 1.123  0.570 1.123  0.550 1.272  0.487 1.378  0.318 1.378  0.294 1.233  0.235 1.123  0.065 1.123  0.039 0.980  -0.001 0.827  -0.121 0.708  -0.241 0.588  -0.360 0.468  -0.472 0.345  -0.472 0.176  -0.539 0.034  -0.659 -0.086  -0.727 -0.227  -0.727 -0.396  -0.727 -0.565  -0.727 -0.735  -0.727 -0.904  -0.727 -1.073  -0.668 -1.206  -0.517 -1.282  -0.365 -1.357  -0.214 -1.432  -0.044 -1.432  0.125 -1.432  0.294 -1.432
2#app#app13#app1369/a  0.088 1.258  -0.058 1.258  -0.187 1.216  -0.290 1.113  -0.378 1.004  -0.378 0.858  -0.458 0.791  -0.604 0.791  -0.612 0.653  -0.612 0.507  -0.612 0.361  -0.721 0.325  -0.845 0.303  -0.845 0.157  -0.845 0.011  -0.845 -0.135  -0.845 -0.281  -0.845 -0.427  -0.845 -0.573  -0.845 -0.719  -0.845 -0.865  -0.845 -1.011  -0.763 -1.075  -0.617 -1.075  -0.471 -1.075  -0.325 -1.075  -0.179 -1.075  -0.066 -0.996  0.037 -0.893  0.162 -0.842  0.308 -0.842  0.321 -0.710  0.353 -0.577  0.456 -0.474  0.555 -0.368  0.555 -0.222  0.601 -0.096  0.704 0.007  0.788 0.119  0.788 0.265  0.874 0.325  1.020 0.325  1.021 0.469  1.021 0.615  1.021 0.761  1.021 0.675  1.021 0.529  1.021 0.383  1.021 0.237  1.021 0.091
2#app#app13#app1369/n  -0.905 0.780  -0.905 0.624  -0.905 0.468  -0.905 0.312  -0.905 0.156  -0.905 0.000  -0.905 -0.156  -0.905 -0.312  -0.860 -0.457  -0.790 -0.597  -0.721 -0.736  -0.676 -0.882  -0.676 -1.038  -0.676 -1.194  -0.676 -1.221  -0.676 -1.065  -0.529 -1.056  -0.446 -0.983  -0.446 -0.827  -0.446 -0.671  -0.388 -0.539  -0.278 -0.428  -0.217 -0.298  -0.217 -0.141  -0.109 -0.030  0.001 0.080  0.112 0.191  0.222 0.301  0.243 0.448  0.243 0.605  0.243 0.761  0.339 0.877  0.449 0.987  0.472 1.134  0.522 1.239  0.678 1.239  0.702 1.107  0.743 0.968  0.854 0.858  0.931 0.734  0.931 0.578  0.931 0.422  0.931 0.266  0.931 0.110  0.931 -0.046  0.931 -0.202  0.931 -0.358  0.931 -0.514  0.931 -0.670  0.931 -0.826
2#app#app13#app1369/e  -0.362 0.178  -0.362 0.016  -0.362 -0.147  -0.362 -0.310  -0.362 -0.472  -0.293 -0.566  -0.130 -0.566  0.032 -0.566  0.195 -0.566  0.358 -0.566  0.520 -0.566  0.630 -0.513  0.630 -0.350  0.630 -0.188  0.630 -0.025  0.630 0.138  0.752 0.178  0.878 0.215  0.878 0.377  0.878 0.540  0.866 0.700  0.793 0.845  0.720 0.991  0.647 1.136  0.542 1.258  0.427 1.373  0.284 1.419  0.125 1.409  0.010 1.294  -0.105 1.179  -0.114 1.020  -0.143 0.864  -0.216 0.719  -0.288 0.573  -0.361 0.428  -0.476 0.313  -0.591 0.198  -0.610 0.043  -0.610 -0.120  -0.610 -0.282  -0.610 -0.445  -0.610 -0.608  -0.610 -0.770  -0.610 -0.933  -0.610 -1.096  -0.610 -1.258  -0.610 -1.421  -0.592 -1.576  -0.477 -1.691  -0.362 -1.806
2#app#app13#app1369/d  -0.487 -0.364  -0.487 -0.531  -0.566 -0.619  -0.614 -0.737  -0.614 -0.904  -0.614 -1.071  -0.614 -1.238  -0.510 -1.361  -0.352 -1.384  -0.199 -1.351  -0.104 -1.223  -0.053 -1.078  0.023 -0.942  0.023 -0.775  0.023 -0.609  0.045 -0.447  0.120 -0.298  0.151 -0.138  0.151 0.029  0.151 0.196  0.151 0.362  0.151 0.529  0.151 0.696  0.151 0.863  0.151 1.030  0.151 1.197  0.151 1.364  0.151 1.531  0.151 1.697  0.090 1.804  0.023 1.704  0.023 1.537  0.023 1.370  0.023 1.203  0.023 1.036  0.023 0.869  0.023 0.703  0.023 0.536  0.023 0.369  0.023 0.202  0.102 0.068  0.151 -0.079  0.151 -0.246  0.151 -0.413  0.190 -0.570  0.265 -0.719  0.287 -0.874  0.406 -0.923  0.494 -1.001  0.661 -1.001
2#app#app13#app1369/o  -0.412 0.293  -0.412 0.427  -0.534 0.439  -0.668 0.439  -0.702 0.339  -0.765 0.231  -0.848 0.132  -0.848 -0.002  -0.848 -0.136  -0.848 -0.270  -0.848 -0.404  -0.848 -0.538  -0.848 -0.672  -0.848 -0.806  -0.848 -0.940  -0.807 -1.057  -0.712 -1.152  -0.582 -1.161  -0.448 -1.161  -0.343 -1.092  -0.248 -0.998  -0.153 -0.903  -0.033 -0.870  0.101 -0.870  0.216 -0.825  0.311 -0.730  0.406 -0.635  0.486 -0.530  0.546 -0.410  0.606 -0.290  0.700 -0.195  0.771 -0.086  0.814 0.041  0.856 0.168  0.898 0.295  0.898 0.429  0.898 0.563  0.898 0.697  0.898 0.831  0.898 0.965  0.819 1.021  0.705 1.068  0.610 1.163  0.478 1.166  0.344 1.166  0.241 1.091  0.136 1.021  0.025 0.998  0.013 0.875  -0.121 0.875
2#app#app13#app1369/u  -0.968 1.025  -0.968 0.926  -0.968 0.827  -0.968 0.728  -0.968 0.630  -0.968 0.531  -0.968 0.432  -0.968 0.333  -0.968 0.234  -0.968 0.136  -0.968 0.037  -0.968 -0.062  -0.966 -0.160  -0.896 -0.229  -0.826 -0.299  -0.756 -0.369  -0.732 -0.458  -0.732 -0.557  -0.706 -0.630  -0.608 -0.630  -0.509 -0.630  -0.410 -0.630  -0.311 -0.630  -0.213 -0.630  -0.114 -0.630  -0.015 -0.630  0.084 -0.630  0.183 -0.630  0.274 -0.599  0.362 -0.555  0.451 -0.511  0.539 -0.467  0.628 -0.423  0.710 -0.370  0.779 -0.300  0.849 -0.230  0.919 -0.160  0.922 -0.063  0.922 0.036  0.922 0.135  0.922 0.234  0.934 0.327  1.004 0.397  1.074 0.467  1.144 0.537  1.159 0.630  1.159 0.728  1.159 0.827  1.159 0.926  1.159 1.025
2#app#app13#app1369/t  -0.372 1.197  -0.372 1.045  -0.372 0.893  -0.272 0.782  -0.164 0.674  -0.056 0.566  -0.056 0.414  -0.056 0.261  -0.056 0.109  -0.056 -0.044  -0.056 -0.196  -0.056 -0.349  -0.056 -0.501  -0.056 -0.654  -0.056 -0.806  -0.056 -0.959  -0.056 -1.111  -0.056 -1.263  -0.056 -1.416  -0.056 -1.568  0.020 -1.644  0.173 -1.644  0.259 -1.578  0.259 -1.426  0.246 -1.275  0.209 -1.127  0.172 -0.979  0.135 -0.831  0.098 -0.683  0.061 -0.535  0.024 -0.387  -0.013 -0.240  -0.050 -0.092  -0.087 0.056  -0.124 0.204  -0.161 0.352  -0.198 0.500  -0.235 0.648  -0.272 0.796  -0.309 0.944  -0.346 1.092  -0.329 1.197  -0.176 1.197  -0.024 1.197  0.129 1.197  0.281 1.197  0.434 1.197  0.586 1.197  0.738 1.197  0.891 1.197
2#app#app13#app1369/,  0.606 1.669  0.606 1.587  0.606 1.505  0.606 1.423  0.606 1.341  0.606 1.259  0.606 1.177  0.606 1.095  0.585 1.022  0.527 0.964  0.469 0.906  0.411 0.848  0.354 0.790  0.296 0.732  0.238 0.674  0.180 0.616  0.122 0.559  0.064 0.501  0.006 0.443  -0.020 0.371  -0.020 0.289  -0.020 0.207  -0.020 0.125  -0.020 0.043  -0.020 -0.039  -0.020 -0.120  -0.020 -0.202  -0.020 -0.284  -0.020 -0.366  -0.020 -0.448  -0.020 -0.530  -0.020 -0.612  -0.020 -0.694  -0.020 -0.776  -0.043 -0.835  -0.125 -0.835  -0.207 -0.835  -0.289 -0.835  -0.371 -0.835  -0.452 -0.835  -0.534 -0.835  -0.616 -0.835  -0.646 -0.888  -0.646 -0.970  -0.646 -1.052  -0.646 -1.134  -0.646 -1.216  -0.646 -1.297  -0.646 -1.379  -0.646 -1.461
