3#app#app13#app1391/k  -0.050 2.080  -0.108 1.935  -0.196 1.819  -0.196 1.615  -0.196 1.412  -0.260 1.224  -0.341 1.040  -0.341 0.837  -0.341 0.634  -0.341 0.431  -0.341 0.228  -0.460 0.074  -0.486 -0.118  -0.486 -0.322  -0.486 -0.525  -0.486 -0.728  -0.486 -0.931  -0.500 -1.128  -0.631 -1.277  -0.555 -1.404  -0.411 -1.292  -0.299 -1.123  -0.186 -0.954  -0.073 -0.785  0.039 -0.616  0.152 -0.447  0.265 -0.278  0.377 -0.109  0.490 0.060  0.603 0.229  0.716 0.398  0.828 0.567  0.941 0.736  0.807 0.773  0.604 0.773  0.530 0.644  0.355 0.598  0.240 0.443  0.170 0.269  0.027 0.125  -0.117 -0.019  -0.196 -0.189  -0.196 -0.392  -0.151 -0.577  -0.050 -0.739  0.068 -0.823  0.219 -0.948  0.385 -0.998  0.472 -1.113  0.675 -1.113
3#app#app13#app1391/e  -0.950 0.312  -0.841 0.204  -0.733 0.095  -0.601 0.045  -0.448 0.045  -0.295 0.045  -0.142 0.045  0.011 0.045  0.151 0.076  0.259 0.185  0.368 0.293  0.476 0.401  0.584 0.510  0.692 0.618  0.801 0.726  0.909 0.834  0.921 0.982  0.899 1.114  0.746 1.114  0.593 1.114  0.440 1.114  0.287 1.114  0.134 1.114  -0.019 1.114  -0.148 1.089  -0.148 0.936  -0.193 0.801  -0.301 0.693  -0.409 0.585  -0.415 0.434  -0.415 0.281  -0.415 0.128  -0.415 -0.025  -0.415 -0.178  -0.415 -0.331  -0.415 -0.484  -0.415 -0.638  -0.415 -0.791  -0.415 -0.944  -0.343 -1.024  -0.190 -1.024  -0.148 -1.136  -0.148 -1.289  0.002 -1.292  0.119 -1.328  0.119 -1.481  0.194 -1.559  0.348 -1.559  0.501 -1.559  0.654 -1.559
3#app#app13#app1391/w  -1.099 0.959  -0.950 0.959  -0.891 0.959  -1.039 0.959  -1.099 0.870  -1.099 0.721  -1.099 0.572  -1.099 0.424  -1.099 0.275  -1.099 0.127  -1.099 -0.022  -1.099 -0.171  -1.084 -0.304  -0.935 -0.304  -0.786 -0.304  -0.638 -0.304  -0.594 -0.200  -0.593 -0.051  -0.445 -0.051  -0.341 -0.006  -0.341 0.142  -0.251 0.201  -0.103 0.201  -0.089 0.335  -0.058 0.454  0.090 0.454  0.164 0.379  0.164 0.230  0.284 0.201  0.417 0.186  0.417 0.037  0.417 -0.112  0.417 -0.260  0.417 -0.409  0.417 -0.557  0.417 -0.706  0.462 -0.809  0.611 -0.809  0.759 -0.809  0.908 -0.809  0.922 -0.674  0.952 -0.556  1.101 -0.556  1.174 -0.481  1.174 -0.333  1.259 -0.219  1.364 -0.114  1.469 -0.009  1.574 0.096  1.679 0.201
3#app#app13#app1391/i  -0.016 0.263  -0.016 0.147  -0.016 0.032  -0.070 -0.030  -0.186 -0.030  -0.301 -0.030  -0.308 -0.138  -0.308 -0.254  -0.308 -0.369  -0.308 -0.485  -0.308 -0.601  -0.308 -0.716  -0.308 -0.832  -0.308 -0.948  -0.308 -1.063  -0.308 -1.179  -0.308 -1.294  -0.308 -1.410  -0.300 -1.459  -0.272 -1.347  -0.244 -1.235  -0.216 -1.123  -0.188 -1.011  -0.160 -0.898  -0.132 -0.786  -0.104 -0.674  -0.076 -0.562  -0.048 -0.450  -0.020 -0.338  0.008 -0.225  0.036 -0.113  0.064 -0.001  0.092 0.111  0.120 0.223  0.149 0.335  0.177 0.447  0.205 0.560  0.233 0.672  0.261 0.784  0.289 0.896  0.317 1.008  0.345 1.120  0.373 1.233  0.401 1.345  0.429 1.457  0.457 1.569  0.485 1.681  0.513 1.793  0.541 1.905  0.569 2.018
3#app#app13#app1391/t  1.399 0.352  1.253 0.352  1.106 0.352  0.960 0.352  0.814 0.352  0.668 0.352  0.522 0.352  0.376 0.352  0.230 0.352  0.084 0.352  -0.063 0.352  -0.208 0.350  -0.311 0.247  -0.415 0.144  -0.518 0.040  -0.469 0.149  -0.403 0.280  -0.338 0.411  -0.272 0.541  -0.207 0.672  -0.142 0.803  -0.076 0.933  -0.011 1.064  0.054 1.195  0.114 1.303  0.114 1.157  0.114 1.011  0.023 0.903  -0.080 0.799  -0.183 0.696  -0.207 0.560  -0.207 0.414  -0.207 0.267  -0.207 0.121  -0.207 -0.025  -0.207 -0.171  -0.207 -0.317  -0.207 -0.463  -0.207 -0.609  -0.207 -0.755  -0.207 -0.902  -0.207 -1.048  -0.207 -1.194  -0.207 -1.340  -0.207 -1.486  -0.207 -1.632  -0.207 -1.778  -0.207 -1.924  -0.207 -2.071  -0.207 -2.217
3#app#app13#app1391/h  -0.138 2.140  -0.138 2.009  -0.138 1.878  -0.138 1.747  -0.138 1.616  -0.138 1.485  -0.138 1.354  -0.138 1.222  -0.138 1.091  -0.138 0.960  -0.138 0.829  -0.138 0.698  -0.138 0.567  -0.138 0.436  -0.196 0.328  -0.289 0.236  -0.358 0.133  -0.358 0.002  -0.358 -0.129  -0.358 -0.260  -0.358 -0.392  -0.358 -0.523  -0.358 -0.654  -0.358 -0.785  -0.358 -0.916  -0.358 -1.047  -0.358 -1.120  -0.358 -0.989  -0.325 -0.865  -0.267 -0.748  -0.208 -0.631  -0.150 -0.513  -0.138 -0.385  -0.126 -0.259  -0.033 -0.166  0.060 -0.074  0.182 -0.053  0.313 -0.053  0.445 -0.053  0.519 -0.109  0.519 -0.240  0.519 -0.371  0.524 -0.501  0.583 -0.618  0.642 -0.736  0.700 -0.853  0.739 -0.975  0.739 -1.106  0.739 -1.237  0.739 -1.368
3#app#app13#app1391/f  0.495 0.426  0.643 0.426  0.649 0.569  0.649 0.718  0.649 0.866  0.649 1.014  0.649 1.163  0.532 1.194  0.416 1.273  0.299 1.348  0.151 1.348  0.003 1.348  -0.146 1.348  -0.273 1.327  -0.289 1.194  -0.427 1.184  -0.427 1.036  -0.427 0.888  -0.427 0.739  -0.427 0.591  -0.427 0.443  -0.427 0.294  -0.427 0.146  -0.427 -0.002  -0.427 -0.151  -0.427 -0.299  -0.352 -0.417  -0.273 -0.532  -0.273 -0.681  -0.273 -0.829  -0.259 -0.971  -0.154 -1.076  -0.120 -1.210  -0.120 -1.359  -0.120 -1.507  -0.078 -1.498  -0.004 -1.370  0.069 -1.241  0.143 -1.112  0.216 -0.983  0.290 -0.854  0.364 -0.726  0.437 -0.597  0.463 -0.496  0.315 -0.496  0.166 -0.496  0.018 -0.496  -0.130 -0.496  -0.279 -0.496  -0.427 -0.496
3#app#app13#app1391/r  -0.573 -0.424  -0.573 -0.546  -0.556 -0.652  -0.434 -0.652  -0.345 -0.684  -0.345 -0.806  -0.394 -0.879  -0.516 -0.879  -0.573 -0.944  -0.573 -1.066  -0.573 -1.188  -0.573 -1.310  -0.573 -1.238  -0.573 -1.116  -0.573 -0.994  -0.573 -0.872  -0.573 -0.750  -0.556 -0.635  -0.470 -0.549  -0.383 -0.462  -0.345 -0.356  -0.345 -0.234  -0.345 -0.112  -0.345 0.010  -0.345 0.132  -0.345 0.254  -0.345 0.376  -0.334 0.487  -0.212 0.487  -0.117 0.514  -0.117 0.636  -0.117 0.758  -0.117 0.880  -0.058 0.943  0.064 0.943  0.186 0.943  0.308 0.943  0.430 0.943  0.552 0.943  0.674 0.943  0.795 0.941  0.881 0.855  0.968 0.769  1.067 0.715  1.189 0.715  1.249 0.653  1.249 0.531  1.305 0.432  1.391 0.346  1.477 0.259
3#app#app13#app1391/a  0.344 0.196  0.224 0.316  0.104 0.436  -0.015 0.556  -0.039 0.715  -0.039 0.884  -0.130 0.963  -0.300 0.963  -0.469 0.963  -0.639 0.963  -0.807 0.961  -0.927 0.842  -1.047 0.722  -1.166 0.602  -1.189 0.442  -1.189 0.273  -1.189 0.103  -1.189 -0.066  -1.189 -0.235  -1.189 -0.405  -1.185 -0.570  -1.015 -0.570  -0.846 -0.570  -0.677 -0.570  -0.507 -0.570  -0.338 -0.570  -0.169 -0.570  -0.011 -0.541  0.109 -0.422  0.229 -0.302  0.350 -0.187  0.519 -0.187  0.689 -0.187  0.727 -0.055  0.727 0.114  0.727 0.283  0.727 0.453  0.727 0.537  0.727 0.368  0.727 0.199  0.727 0.029  0.727 -0.140  0.814 -0.273  0.933 -0.393  1.053 -0.513  1.110 -0.659  1.110 -0.828  1.110 -0.997  1.110 -1.167  1.110 -1.336
3#app#app13#app1391/n  -0.613 1.020  -0.613 0.848  -0.613 0.676  -0.613 0.505  -0.613 0.333  -0.613 0.161  -0.613 -0.011  -0.613 -0.182  -0.774 -0.192  -0.946 -0.192  -1.017 -0.293  -1.017 -0.465  -1.017 -0.637  -1.017 -0.809  -1.017 -0.980  -0.865 -1.000  -0.693 -1.000  -0.613 -0.909  -0.613 -0.737  -0.591 -0.574  -0.469 -0.453  -0.348 -0.331  -0.227 -0.210  -0.209 -0.046  -0.209 0.126  -0.209 0.298  -0.209 0.469  -0.183 0.616  -0.012 0.616  0.160 0.616  0.195 0.752  0.195 0.924  0.271 1.020  0.443 1.020  0.599 1.004  0.599 0.833  0.599 0.661  0.689 0.526  0.810 0.405  0.932 0.283  1.003 0.141  1.003 -0.030  1.003 -0.202  1.003 -0.374  1.003 -0.545  1.124 -0.596  1.296 -0.596  1.407 -0.657  1.407 -0.828  1.407 -1.000
3#app#app13#app1391/t  1.436 -0.100  1.436 -0.260  1.436 -0.421  1.346 -0.492  1.185 -0.492  1.025 -0.492  0.864 -0.492  0.704 -0.492  0.543 -0.492  0.383 -0.492  0.233 -0.465  0.120 -0.351  0.006 -0.238  -0.107 -0.124  -0.221 -0.011  -0.334 0.103  -0.448 0.216  -0.577 0.292  -0.738 0.292  -0.898 0.292  -0.916 0.435  -0.916 0.595  -0.865 0.735  -0.752 0.849  -0.638 0.962  -0.525 1.076  -0.411 1.189  -0.298 1.303  -0.184 1.416  -0.132 1.381  -0.132 1.221  -0.132 1.060  -0.132 0.900  -0.132 0.739  -0.132 0.578  -0.132 0.418  -0.132 0.257  -0.132 0.097  -0.132 -0.064  -0.132 -0.224  -0.132 -0.385  -0.132 -0.545  -0.132 -0.706  -0.132 -0.867  -0.132 -1.027  -0.132 -1.188  -0.081 -1.327  0.033 -1.440  0.146 -1.554  0.260 -1.667
3#app#app13#app1391/i  -0.130 -0.049  -0.130 0.064  -0.130 0.121  -0.130 0.008  -0.130 -0.105  -0.130 -0.218  -0.130 -0.332  -0.130 -0.445  -0.130 -0.558  -0.130 -0.671  -0.130 -0.784  -0.130 -0.897  -0.130 -1.010  -0.130 -1.124  -0.130 -1.237  -0.130 -1.350  -0.102 -1.435  0.011 -1.435  0.068 -1.378  0.068 -1.265  0.068 -1.152  0.068 -1.039  0.068 -0.926  0.068 -0.812  0.068 -0.699  0.068 -0.586  0.068 -0.473  0.068 -0.360  0.068 -0.247  0.068 -0.134  0.068 -0.020  0.068 0.093  0.068 0.206  0.068 0.319  0.068 0.432  0.068 0.545  0.068 0.658  0.068 0.772  0.068 0.885  0.068 0.998  0.068 1.111  0.068 1.224  0.068 1.337  0.068 1.450  0.068 1.564  0.068 1.677  0.068 1.790  0.068 1.903  0.068 1.846  0.068 1.733
3#app#app13#app1391/c  0.904 -0.487  0.904 -0.358  0.904 -0.229  0.904 -0.100  0.904 0.029  0.889 0.152  0.798 0.243  0.707 0.334  0.616 0.425  0.591 0.544  0.591 0.673  0.551 0.761  0.422 0.761  0.293 0.761  0.279 0.877  0.279 1.006  0.218 1.073  0.089 1.073  -0.040 1.073  -0.168 1.073  -0.297 1.073  -0.345 0.992  -0.345 0.863  -0.372 0.761  -0.501 0.761  -0.630 0.761  -0.657 0.659  -0.657 0.530  -0.657 0.402  -0.657 0.273  -0.657 0.144  -0.657 0.015  -0.657 -0.114  -0.657 -0.243  -0.657 -0.372  -0.657 -0.501  -0.657 -0.630  -0.657 -0.759  -0.594 -0.862  -0.503 -0.953  -0.412 -1.044  -0.311 -1.111  -0.182 -1.111  -0.053 -1.111  0.044 -1.188  0.135 -1.279  0.227 -1.371  0.334 -1.423  0.463 -1.423  0.591 -1.423
