2#app#app31#app3161/0  0.905 0.126  0.905 0.302  0.762 0.335  0.695 0.445  0.619 0.545  0.443 0.545  0.266 0.545  0.090 0.545  -0.087 0.545  -0.229 0.461  -0.353 0.336  -0.354 0.160  -0.496 0.126  -0.641 0.049  -0.766 -0.076  -0.891 -0.201  -1.015 -0.326  -1.140 -0.450  -1.194 -0.605  -1.194 -0.781  -1.161 -0.924  -0.984 -0.924  -0.984 -1.101  -0.841 -1.134  -0.664 -1.134  -0.488 -1.134  -0.324 -1.104  -0.199 -0.979  -0.045 -0.924  0.112 -0.878  0.237 -0.753  0.384 -0.660  0.542 -0.581  0.699 -0.500  0.824 -0.376  0.905 -0.233  0.905 -0.056  0.905 0.120  0.905 0.297  0.905 0.473  0.831 0.619  0.707 0.744  0.582 0.869  0.450 0.983  0.292 1.062  0.134 1.141  -0.035 1.175  -0.211 1.175  -0.354 1.142  -0.354 0.965
2#app#app31#app3161/b  0.459 2.148  0.459 2.003  0.459 1.859  0.459 1.714  0.428 1.575  0.382 1.438  0.336 1.301  0.300 1.162  0.289 1.022  0.187 0.920  0.141 0.795  0.095 0.669  -0.007 0.567  -0.018 0.427  -0.099 0.316  -0.177 0.204  -0.177 0.060  -0.181 -0.081  -0.326 -0.081  -0.337 -0.215  -0.421 -0.324  -0.457 -0.399  -0.337 -0.375  -0.327 -0.240  -0.183 -0.240  -0.079 -0.142  0.040 -0.081  0.185 -0.081  0.329 -0.081  0.474 -0.081  0.618 -0.081  0.619 -0.225  0.619 -0.369  0.504 -0.399  0.459 -0.499  0.399 -0.619  0.296 -0.718  0.151 -0.718  0.046 -0.813  -0.018 -0.931  -0.057 -1.036  -0.202 -1.036  -0.343 -1.043  -0.446 -1.145  -0.569 -1.195  -0.714 -1.195  -0.814 -1.151  -0.814 -1.007  -0.814 -0.862  -0.814 -0.718
2#app#app31#app3161/e  -1.108 -0.057  -0.939 -0.057  -0.769 -0.057  -0.600 -0.057  -0.431 -0.057  -0.262 -0.057  -0.093 -0.057  0.076 -0.057  0.245 -0.057  0.414 -0.057  0.584 -0.057  0.753 -0.057  0.922 -0.057  1.091 -0.057  1.260 -0.057  1.429 -0.057  1.445 0.096  1.445 0.265  1.398 0.415  1.279 0.535  1.129 0.581  0.966 0.608  0.815 0.683  0.663 0.759  0.502 0.794  0.333 0.794  0.164 0.794  -0.005 0.794  -0.174 0.794  -0.318 0.733  -0.437 0.613  -0.593 0.581  -0.739 0.524  -0.858 0.405  -0.978 0.285  -1.098 0.165  -1.108 0.000  -1.108 -0.169  -1.108 -0.338  -1.090 -0.500  -0.971 -0.619  -0.840 -0.723  -0.688 -0.799  -0.537 -0.874  -0.376 -0.908  -0.222 -0.943  -0.102 -1.063  0.043 -1.121  0.212 -1.121  0.381 -1.121
2#app#app31#app3161/f  0.929 1.600  0.850 1.521  0.758 1.474  0.647 1.474  0.535 1.474  0.423 1.474  0.423 1.363  0.327 1.347  0.239 1.290  0.160 1.211  0.081 1.132  0.043 1.036  0.043 0.924  0.030 0.815  -0.020 0.715  -0.070 0.616  -0.084 0.507  -0.084 0.396  -0.106 0.289  -0.156 0.189  -0.206 0.089  -0.210 -0.021  -0.210 -0.133  -0.210 -0.245  -0.210 -0.356  -0.210 -0.468  -0.210 -0.580  -0.210 -0.691  -0.210 -0.803  -0.210 -0.915  -0.168 -1.016  -0.118 -1.116  -0.068 -1.216  -0.018 -1.316  0.032 -1.416  0.009 -1.359  -0.035 -1.256  -0.079 -1.154  -0.123 -1.051  -0.167 -0.948  -0.211 -0.846  -0.255 -0.743  -0.299 -0.641  -0.337 -0.537  -0.337 -0.425  -0.337 -0.313  -0.240 -0.299  -0.128 -0.299  -0.036 -0.347  0.043 -0.426
2#app#app31#app3161/o  0.288 0.395  0.150 0.395  0.011 0.395  -0.128 0.395  -0.267 0.395  -0.370 0.431  -0.370 0.569  -0.370 0.708  -0.493 0.724  -0.632 0.724  -0.770 0.724  -0.909 0.724  -1.029 0.705  -1.029 0.566  -1.029 0.427  -1.029 0.288  -1.029 0.150  -1.029 0.011  -1.029 -0.128  -1.026 -0.266  -0.928 -0.364  -0.830 -0.462  -0.732 -0.560  -0.606 -0.593  -0.468 -0.593  -0.370 -0.634  -0.370 -0.773  -0.370 -0.911  -0.242 -0.922  -0.103 -0.922  0.036 -0.922  0.175 -0.922  0.306 -0.904  0.404 -0.806  0.502 -0.708  0.601 -0.610  0.699 -0.512  0.797 -0.414  0.895 -0.315  0.947 -0.198  0.947 -0.059  0.957 0.075  1.055 0.174  1.153 0.272  1.251 0.370  1.276 0.498  1.276 0.637  1.276 0.776  1.276 0.915  1.276 1.053
2#app#app31#app3161/r  -0.628 -1.541  -0.628 -1.462  -0.628 -1.383  -0.628 -1.304  -0.628 -1.225  -0.628 -1.147  -0.628 -1.068  -0.628 -0.989  -0.628 -0.910  -0.628 -0.831  -0.579 -0.800  -0.500 -0.800  -0.422 -0.800  -0.381 -0.762  -0.381 -0.683  -0.381 -0.604  -0.381 -0.525  -0.381 -0.446  -0.381 -0.367  -0.368 -0.294  -0.312 -0.238  -0.257 -0.182  -0.201 -0.126  -0.145 -0.070  -0.089 -0.015  -0.033 0.041  0.022 0.097  0.078 0.153  0.113 0.217  0.113 0.296  0.113 0.375  0.127 0.448  0.183 0.504  0.238 0.560  0.294 0.616  0.350 0.672  0.406 0.728  0.462 0.783  0.518 0.839  0.573 0.895  0.607 0.960  0.607 1.039  0.607 1.118  0.628 1.176  0.707 1.176  0.786 1.176  0.865 1.176  0.944 1.176  1.023 1.176  1.101 1.176
2#app#app31#app3161/e  -0.555 -0.238  -0.555 -0.059  -0.422 -0.014  -0.331 0.074  -0.288 0.210  -0.110 0.210  0.018 0.335  0.155 0.435  0.334 0.435  0.513 0.435  0.692 0.435  0.870 0.435  1.049 0.435  1.228 0.435  1.239 0.603  1.116 0.659  0.938 0.659  0.759 0.659  0.580 0.659  0.401 0.659  0.222 0.659  0.044 0.659  -0.135 0.659  -0.314 0.659  -0.493 0.659  -0.672 0.659  -0.851 0.659  -1.004 0.633  -1.004 0.454  -1.116 0.322  -1.228 0.189  -1.228 0.011  -1.228 -0.168  -1.151 -0.315  -1.025 -0.442  -0.898 -0.568  -0.769 -0.687  -0.590 -0.687  -0.453 -0.789  -0.325 -0.911  -0.146 -0.911  0.033 -0.911  0.211 -0.911  0.390 -0.911  0.569 -0.911  0.748 -0.911  0.927 -0.911  1.106 -0.911  1.284 -0.911  1.463 -0.911
2#app#app31#app3161/'  1.610 0.663  1.522 0.663  1.435 0.663  1.348 0.663  1.260 0.663  1.173 0.663  1.086 0.663  0.998 0.663  0.911 0.663  0.824 0.663  0.737 0.663  0.649 0.663  0.562 0.663  0.475 0.663  0.387 0.663  0.300 0.663  0.246 0.629  0.246 0.542  0.246 0.455  0.246 0.367  0.246 0.280  0.235 0.197  0.173 0.135  0.112 0.074  0.050 0.012  -0.012 -0.050  -0.074 -0.112  -0.135 -0.173  -0.197 -0.235  -0.280 -0.246  -0.367 -0.246  -0.455 -0.246  -0.542 -0.246  -0.629 -0.246  -0.663 -0.300  -0.663 -0.387  -0.663 -0.475  -0.663 -0.562  -0.663 -0.649  -0.699 -0.701  -0.786 -0.701  -0.873 -0.701  -0.961 -0.701  -1.048 -0.701  -1.117 -0.719  -1.117 -0.806  -1.117 -0.893  -1.117 -0.981  -1.117 -1.068  -1.117 -1.155
2#app#app31#app3161/6  1.112 1.611  0.962 1.611  0.813 1.611  0.676 1.580  0.569 1.477  0.426 1.463  0.320 1.358  0.214 1.252  0.109 1.146  0.035 1.027  0.035 0.878  -0.018 0.750  -0.124 0.645  -0.230 0.539  -0.298 0.406  -0.365 0.273  -0.469 0.166  -0.503 0.030  -0.503 -0.119  -0.634 -0.137  -0.637 -0.284  -0.637 -0.433  -0.637 -0.582  -0.637 -0.732  -0.566 -0.810  -0.442 -0.871  -0.336 -0.977  -0.229 -1.079  -0.079 -1.079  0.070 -1.079  0.220 -1.079  0.369 -1.079  0.495 -1.023  0.612 -0.945  0.708 -0.891  0.708 -0.742  0.708 -0.592  0.638 -0.471  0.516 -0.406  0.388 -0.355  0.273 -0.272  0.128 -0.251  -0.005 -0.184  -0.144 -0.137  -0.293 -0.137  -0.443 -0.137  -0.592 -0.137  -0.742 -0.137  -0.772 -0.257  -0.772 -0.406
2#app#app31#app3161/  0.927 1.435  0.875 1.382  0.815 1.347  0.752 1.336  0.752 1.262  0.712 1.200  0.671 1.138  0.630 1.076  0.589 1.014  0.539 0.959  0.488 0.906  0.455 0.840  0.421 0.773  0.388 0.707  0.355 0.640  0.322 0.574  0.289 0.508  0.256 0.441  0.222 0.375  0.189 0.309  0.156 0.242  0.123 0.176  0.090 0.109  0.056 0.043  0.023 -0.023  -0.010 -0.090  -0.048 -0.153  -0.100 -0.205  -0.153 -0.258  -0.205 -0.310  -0.210 -0.382  -0.210 -0.457  -0.247 -0.508  -0.313 -0.541  -0.379 -0.574  -0.385 -0.645  -0.385 -0.719  -0.414 -0.781  -0.467 -0.834  -0.519 -0.886  -0.572 -0.939  -0.624 -0.991  -0.647 -1.056  -0.676 -1.102  -0.745 -1.113  -0.798 -1.165  -0.822 -1.229  -0.796 -1.277  -0.722 -1.277  -0.647 -1.277
2#app#app31#app3161/7  -0.365 1.368  -0.347 1.530  -0.177 1.505  -0.049 1.377  0.078 1.250  0.240 1.205  0.421 1.205  0.448 1.052  0.619 1.043  0.745 1.043  0.610 0.998  0.565 0.836  0.448 0.704  0.425 0.533  0.298 0.406  0.285 0.230  0.204 0.069  0.124 -0.092  0.111 -0.268  -0.016 -0.395  -0.040 -0.566  -0.040 -0.746  -0.040 -0.927  -0.040 -1.107  -0.040 -1.288  0.013 -1.446  0.140 -1.574  0.268 -1.702  0.201 -1.587  0.105 -1.435  0.008 -1.283  -0.089 -1.131  -0.186 -0.978  -0.283 -0.826  -0.380 -0.674  -0.477 -0.522  -0.574 -0.370  -0.670 -0.217  -0.767 -0.065  -0.852 0.090  -0.812 0.231  -0.649 0.272  -0.518 0.393  -0.338 0.393  -0.157 0.393  0.005 0.349  0.136 0.231  0.316 0.231  0.482 0.196  0.610 0.068
2#app#app31#app3161/  0.822 1.459  0.822 1.387  0.793 1.322  0.761 1.257  0.710 1.223  0.665 1.195  0.665 1.123  0.655 1.055  0.604 1.004  0.553 0.953  0.504 0.901  0.471 0.836  0.439 0.772  0.407 0.707  0.375 0.643  0.342 0.578  0.310 0.513  0.278 0.449  0.239 0.388  0.199 0.328  0.159 0.268  0.119 0.208  0.086 0.144  0.054 0.079  0.021 0.015  -0.011 -0.050  -0.043 -0.114  -0.066 -0.183  -0.089 -0.251  -0.112 -0.320  -0.150 -0.379  -0.201 -0.430  -0.252 -0.481  -0.303 -0.532  -0.354 -0.583  -0.388 -0.646  -0.420 -0.711  -0.461 -0.769  -0.512 -0.820  -0.553 -0.880  -0.593 -0.940  -0.633 -1.000  -0.673 -1.060  -0.673 -1.132  -0.720 -1.185  -0.778 -1.217  -0.831 -1.237  -0.818 -1.296  -0.746 -1.296  -0.673 -1.296
2#app#app31#app3161/8  0.834 0.566  0.834 0.781  0.795 0.958  0.638 1.016  0.561 1.154  0.442 1.250  0.327 1.350  0.112 1.350  -0.104 1.350  -0.146 1.178  -0.338 1.154  -0.353 0.948  -0.505 0.795  -0.538 0.594  -0.538 0.379  -0.392 0.224  -0.342 0.030  -0.227 -0.138  -0.146 -0.320  -0.061 -0.499  0.091 -0.652  0.243 -0.804  0.395 -0.956  0.442 -1.152  0.611 -1.198  0.638 -1.386  0.442 -1.383  0.411 -1.198  0.196 -1.198  0.001 -1.149  -0.151 -0.997  -0.303 -0.845  -0.502 -0.806  -0.699 -0.726  -0.891 -0.630  -0.930 -0.439  -1.121 -0.414  -1.113 -0.218  -0.907 -0.195  -0.755 -0.043  -0.549 -0.022  -0.333 -0.022  -0.126 -0.002  0.026 0.150  0.231 0.174  0.388 0.316  0.580 0.370  0.795 0.370  1.011 0.370  1.030 0.566
2#app#app31#app3161/9  0.282 1.230  0.282 1.107  0.237 1.030  0.114 1.030  -0.009 1.030  -0.131 1.030  -0.254 1.030  -0.360 0.988  -0.446 0.902  -0.539 0.830  -0.662 0.830  -0.718 0.763  -0.718 0.640  -0.830 0.630  -0.918 0.595  -0.918 0.472  -0.860 0.373  -0.774 0.286  -0.674 0.230  -0.551 0.230  -0.429 0.230  -0.306 0.230  -0.183 0.230  -0.061 0.230  0.062 0.230  0.185 0.230  0.300 0.248  0.387 0.335  0.474 0.422  0.482 0.319  0.482 0.197  0.482 0.074  0.482 -0.049  0.482 -0.171  0.482 -0.294  0.449 -0.403  0.362 -0.490  0.282 -0.579  0.282 -0.702  0.282 -0.825  0.282 -0.947  0.282 -1.070  0.282 -1.193  0.282 -1.315  0.282 -1.438  0.282 -1.561  0.363 -1.650  0.450 -1.737  0.482 -1.846  0.482 -1.969
