1d#apa#apa03#app0389/!  0.533 1.537  0.621 1.537  0.625 1.502  0.564 1.440  0.533 1.365  0.533 1.278  0.533 1.190  0.479 1.157  0.407 1.142  0.407 1.054  0.407 0.967  0.389 0.887  0.327 0.825  0.280 0.757  0.280 0.669  0.231 0.602  0.169 0.540  0.154 0.459  0.154 0.372  0.154 0.284  0.079 0.272  0.027 0.236  0.027 0.148  0.027 0.061  0.027 -0.027  0.023 -0.112  -0.039 -0.174  -0.099 -0.237  -0.099 -0.325  -0.151 -0.361  -0.226 -0.373  -0.226 -0.461  -0.226 -0.548  -0.248 -0.614  -0.335 -0.614  -0.352 -0.684  -0.320 -0.740  -0.233 -0.740  -0.267 -0.809  -0.312 -0.884  -0.357 -0.959  -0.402 -1.034  -0.447 -1.109  -0.492 -1.184  -0.537 -1.259  -0.582 -1.334  -0.575 -1.403  -0.513 -1.465  -0.479 -1.460  -0.479 -1.372
1d#apa#apa03#app0389/~  -0.819 -0.039  -0.819 -0.155  -0.867 -0.252  -0.950 -0.334  -1.032 -0.417  -1.115 -0.499  -1.218 -0.532  -1.297 -0.517  -1.215 -0.434  -1.148 -0.345  -1.148 -0.229  -1.057 -0.203  -0.983 -0.160  -0.983 -0.043  -0.904 0.040  -0.822 0.123  -0.739 0.205  -0.657 0.288  -0.575 0.370  -0.492 0.453  -0.410 0.535  -0.327 0.618  -0.211 0.619  -0.161 0.553  -0.161 0.437  -0.161 0.320  -0.074 0.290  0.004 0.251  0.004 0.135  0.080 0.050  0.162 -0.033  0.168 -0.147  0.228 -0.203  0.345 -0.203  0.462 -0.203  0.578 -0.203  0.695 -0.203  0.811 -0.203  0.928 -0.203  1.045 -0.203  1.161 -0.203  1.278 -0.203  1.373 -0.151  1.455 -0.068  1.484 0.036  1.511 0.126  1.628 0.126  1.649 0.222  1.649 0.338  1.649 0.455
1d#apa#apa03#app0389/  -1.497 0.402  -1.497 0.328  -1.497 0.255  -1.497 0.181  -1.452 0.151  -1.378 0.151  -1.305 0.151  -1.231 0.151  -1.157 0.151  -1.083 0.151  -1.009 0.151  -0.935 0.151  -0.861 0.151  -0.787 0.151  -0.713 0.151  -0.639 0.151  -0.566 0.151  -0.492 0.151  -0.439 0.099  -0.387 0.046  -0.335 -0.006  -0.283 -0.058  -0.226 -0.100  -0.152 -0.100  -0.078 -0.100  -0.005 -0.100  0.069 -0.100  0.143 -0.100  0.217 -0.100  0.291 -0.100  0.365 -0.100  0.439 -0.100  0.513 -0.100  0.587 -0.100  0.661 -0.100  0.735 -0.100  0.808 -0.100  0.882 -0.100  0.956 -0.100  1.030 -0.100  1.104 -0.100  1.178 -0.100  1.252 -0.100  1.326 -0.100  1.400 -0.100  1.474 -0.100  1.518 -0.130  1.518 -0.203  1.518 -0.277  1.518 -0.351
1d#apa#apa03#app0389/_  -1.644 0.259  -1.594 0.209  -1.544 0.159  -1.494 0.109  -1.430 0.093  -1.359 0.093  -1.289 0.093  -1.218 0.093  -1.147 0.093  -1.076 0.093  -1.006 0.093  -0.935 0.093  -0.864 0.093  -0.793 0.093  -0.722 0.093  -0.652 0.093  -0.581 0.093  -0.510 0.093  -0.439 0.093  -0.369 0.093  -0.298 0.093  -0.227 0.093  -0.156 0.093  -0.092 0.064  -0.029 0.033  0.034 0.001  0.098 -0.031  0.161 -0.062  0.229 -0.073  0.300 -0.073  0.371 -0.073  0.442 -0.073  0.512 -0.073  0.583 -0.073  0.654 -0.073  0.725 -0.073  0.795 -0.073  0.866 -0.073  0.937 -0.073  1.008 -0.073  1.078 -0.073  1.149 -0.073  1.216 -0.092  1.279 -0.123  1.342 -0.155  1.406 -0.187  1.469 -0.218  1.535 -0.239  1.605 -0.239  1.676 -0.239
1d#apa#apa03#app0389/+  0.493 1.438  0.493 1.270  0.493 1.103  0.448 0.954  0.329 0.836  0.275 0.691  0.275 0.524  0.275 0.356  0.165 0.234  0.056 0.112  0.056 -0.055  0.056 -0.223  0.056 -0.390  0.056 -0.558  0.056 -0.725  0.056 -0.893  -0.009 -1.033  -0.127 -1.152  -0.163 -1.304  -0.163 -1.472  -0.169 -1.612  -0.237 -1.459  -0.305 -1.306  -0.373 -1.153  -0.441 -1.000  -0.509 -0.847  -0.577 -0.694  -0.645 -0.541  -0.713 -0.388  -0.781 -0.234  -0.849 -0.081  -0.917 0.072  -0.985 0.225  -1.012 0.370  -0.894 0.488  -0.757 0.563  -0.590 0.563  -0.422 0.563  -0.255 0.563  -0.087 0.563  0.080 0.563  0.248 0.563  0.415 0.563  0.583 0.563  0.750 0.563  0.917 0.563  1.085 0.563  1.252 0.563  1.420 0.563  1.587 0.563
1d#apa#apa03#app0389/=  -1.030 0.899  -0.878 0.899  -0.725 0.899  -0.573 0.899  -0.420 0.899  -0.268 0.899  -0.115 0.899  0.037 0.899  0.190 0.899  0.342 0.899  0.495 0.899  0.647 0.899  0.781 0.853  0.889 0.746  0.810 0.662  0.678 0.585  0.546 0.508  0.415 0.431  0.283 0.355  0.151 0.278  0.019 0.201  -0.112 0.124  -0.244 0.047  -0.376 -0.030  -0.507 -0.106  -0.639 -0.183  -0.771 -0.260  -0.903 -0.337  -1.034 -0.414  -1.166 -0.491  -1.207 -0.620  -1.126 -0.691  -0.973 -0.691  -0.821 -0.691  -0.668 -0.691  -0.516 -0.691  -0.363 -0.691  -0.211 -0.691  -0.058 -0.691  0.094 -0.691  0.247 -0.691  0.399 -0.691  0.552 -0.691  0.704 -0.691  0.857 -0.691  1.009 -0.691  1.162 -0.691  1.314 -0.691  1.467 -0.691  1.619 -0.691
1d#apa#apa03#app0389/[  1.154 0.828  1.049 0.829  1.047 0.933  0.941 0.933  0.836 0.933  0.732 0.936  0.657 1.011  0.563 1.037  0.457 1.037  0.352 1.037  0.246 1.037  0.140 1.037  0.035 1.037  -0.071 1.037  -0.176 1.037  -0.259 0.983  -0.310 0.898  -0.310 0.793  -0.310 0.687  -0.310 0.581  -0.310 0.476  -0.310 0.370  -0.310 0.265  -0.310 0.159  -0.310 0.054  -0.310 -0.052  -0.354 -0.113  -0.414 -0.158  -0.414 -0.264  -0.448 -0.355  -0.519 -0.432  -0.523 -0.535  -0.598 -0.610  -0.623 -0.705  -0.623 -0.811  -0.623 -0.916  -0.550 -0.949  -0.444 -0.949  -0.339 -0.949  -0.310 -1.025  -0.232 -1.053  -0.127 -1.053  -0.021 -1.053  0.084 -1.053  0.190 -1.053  0.271 -1.111  0.358 -1.158  0.463 -1.158  0.556 -1.188  0.631 -1.262
1d#apa#apa03#app0389/]  -0.993 0.971  -1.095 0.971  -0.989 0.971  -0.883 0.971  -0.776 0.971  -0.670 0.971  -0.567 0.963  -0.492 0.887  -0.394 0.866  -0.288 0.866  -0.181 0.866  -0.075 0.866  0.031 0.866  0.138 0.866  0.218 0.804  0.307 0.762  0.413 0.762  0.520 0.762  0.611 0.725  0.667 0.657  0.565 0.648  0.489 0.573  0.469 0.475  0.389 0.448  0.365 0.367  0.365 0.260  0.365 0.154  0.303 0.073  0.260 -0.016  0.260 -0.122  0.260 -0.228  0.260 -0.335  0.260 -0.441  0.221 -0.531  0.156 -0.610  0.156 -0.717  0.156 -0.823  0.156 -0.930  0.156 -1.036  0.156 -1.142  0.156 -1.249  0.156 -1.355  0.126 -1.432  0.020 -1.432  -0.087 -1.432  -0.183 -1.406  -0.258 -1.331  -0.362 -1.327  -0.366 -1.225  -0.471 -1.223
1d#apa#apa03#app0389/{  0.520 1.503  0.412 1.503  0.304 1.503  0.213 1.487  0.191 1.401  0.091 1.381  0.015 1.305  -0.090 1.299  -0.094 1.195  -0.094 1.087  -0.094 0.979  -0.082 0.877  -0.006 0.800  0.071 0.724  0.147 0.648  0.223 0.572  0.299 0.496  0.401 0.480  0.417 0.389  0.417 0.281  0.315 0.275  0.310 0.171  0.214 0.122  0.117 0.074  0.040 0.000  -0.055 -0.032  -0.143 -0.080  -0.219 -0.156  -0.295 -0.232  -0.401 -0.236  -0.405 -0.343  -0.482 -0.419  -0.504 -0.517  -0.422 -0.543  -0.314 -0.543  -0.233 -0.609  -0.141 -0.645  -0.094 -0.707  -0.094 -0.815  -0.094 -0.923  -0.149 -1.008  -0.197 -1.096  -0.197 -1.204  -0.197 -1.311  -0.156 -1.402  -0.080 -1.479  -0.004 -1.555  0.099 -1.566  0.207 -1.566  0.315 -1.566
1d#apa#apa03#app0389/}  -0.184 1.366  -0.068 1.366  0.033 1.328  0.128 1.276  0.244 1.276  0.332 1.208  0.440 1.186  0.534 1.164  0.583 1.096  0.623 1.021  0.532 0.961  0.426 0.917  0.310 0.917  0.193 0.917  0.085 0.909  0.050 0.827  -0.048 0.784  -0.130 0.702  -0.184 0.607  -0.184 0.491  -0.184 0.375  -0.184 0.258  -0.184 0.142  -0.100 0.110  -0.073 0.020  -0.005 -0.028  0.070 -0.070  0.096 -0.159  0.175 -0.197  0.175 -0.314  0.084 -0.340  0.002 -0.422  -0.094 -0.446  -0.138 -0.518  -0.184 -0.589  -0.184 -0.705  -0.184 -0.822  -0.141 -0.920  -0.094 -1.017  -0.040 -1.111  -0.005 -1.213  0.085 -1.239  0.055 -1.326  -0.061 -1.326  -0.153 -1.385  -0.257 -1.415  -0.373 -1.415  -0.490 -1.415  -0.606 -1.415  -0.722 -1.415
1d#apa#apa03#app0389/\\  -0.914 1.307  -0.914 1.230  -0.893 1.175  -0.816 1.175  -0.782 1.133  -0.782 1.057  -0.719 1.043  -0.645 1.038  -0.591 0.984  -0.537 0.930  -0.518 0.862  -0.518 0.785  -0.448 0.779  -0.386 0.764  -0.386 0.688  -0.361 0.622  -0.307 0.568  -0.253 0.514  -0.199 0.460  -0.145 0.406  -0.122 0.339  -0.122 0.263  -0.076 0.206  -0.022 0.152  0.010 0.088  0.010 0.012  0.033 -0.059  0.067 -0.127  0.101 -0.195  0.135 -0.264  0.186 -0.320  0.240 -0.374  0.294 -0.428  0.348 -0.482  0.402 -0.536  0.437 -0.604  0.471 -0.672  0.506 -0.740  0.541 -0.807  0.595 -0.861  0.649 -0.915  0.669 -0.984  0.669 -1.060  0.669 -1.136  0.669 -1.213  0.669 -1.289  0.704 -1.331  0.780 -1.331  0.801 -1.386  0.801 -1.463
1d#apa#apa03#app0389/,  -0.051 1.633  0.002 1.580  0.054 1.527  0.107 1.475  0.160 1.422  0.213 1.369  0.217 1.296  0.217 1.222  0.217 1.147  0.217 1.072  0.217 0.998  0.217 0.923  0.217 0.849  0.217 0.774  0.217 0.700  0.217 0.625  0.217 0.550  0.217 0.476  0.217 0.401  0.217 0.327  0.217 0.252  0.217 0.178  0.217 0.103  0.217 0.028  0.217 -0.046  0.217 -0.121  0.217 -0.195  0.217 -0.270  0.217 -0.345  0.217 -0.419  0.217 -0.494  0.174 -0.551  0.121 -0.603  0.068 -0.656  0.016 -0.709  -0.037 -0.761  -0.090 -0.814  -0.143 -0.867  -0.195 -0.920  -0.248 -0.972  -0.301 -1.025  -0.354 -1.078  -0.406 -1.131  -0.459 -1.183  -0.512 -1.236  -0.564 -1.289  -0.630 -1.311  -0.705 -1.311  -0.779 -1.311  -0.854 -1.311
1d#apa#apa03#app0389/  0.741 1.207  0.817 1.207  0.893 1.207  0.899 1.137  0.899 1.061  0.835 1.048  0.759 1.048  0.741 0.991  0.741 0.914  0.704 0.853  0.651 0.800  0.597 0.746  0.526 0.731  0.450 0.731  0.389 0.696  0.335 0.642  0.281 0.589  0.266 0.519  0.266 0.443  0.244 0.372  0.210 0.303  0.176 0.235  0.142 0.167  0.108 0.099  0.054 0.045  0.001 -0.009  -0.053 -0.063  -0.107 -0.117  -0.161 -0.170  -0.215 -0.224  -0.269 -0.278  -0.323 -0.332  -0.376 -0.386  -0.430 -0.440  -0.484 -0.494  -0.527 -0.552  -0.527 -0.628  -0.527 -0.704  -0.527 -0.780  -0.529 -0.856  -0.583 -0.909  -0.637 -0.963  -0.691 -1.017  -0.745 -1.071  -0.798 -1.125  -0.844 -1.182  -0.844 -1.258  -0.844 -1.335  -0.844 -1.411  -0.844 -1.487
1d#apa#apa03#app0389/?  -0.380 1.000  -0.269 1.000  -0.158 1.000  -0.047 1.000  0.064 1.000  0.175 1.000  0.285 1.000  0.396 1.000  0.507 1.000  0.618 1.000  0.715 0.966  0.793 0.888  0.896 0.867  0.903 0.824  0.825 0.746  0.719 0.735  0.681 0.662  0.645 0.566  0.567 0.487  0.472 0.431  0.373 0.382  0.276 0.329  0.197 0.251  0.106 0.204  -0.005 0.204  -0.115 0.203  -0.115 0.092  -0.205 0.072  -0.296 0.023  -0.374 -0.055  -0.380 -0.164  -0.461 -0.194  -0.512 -0.253  -0.512 -0.364  -0.501 -0.470  -0.423 -0.548  -0.330 -0.591  -0.254 -0.619  -0.281 -0.726  -0.308 -0.834  -0.335 -0.941  -0.362 -1.049  -0.388 -1.156  -0.415 -1.264  -0.442 -1.372  -0.469 -1.479  -0.496 -1.587  -0.512 -1.695  -0.491 -1.785  -0.380 -1.785
1d#apa#apa03#app0389/'  0.808 1.402  0.808 1.331  0.808 1.260  0.808 1.189  0.808 1.118  0.808 1.047  0.808 0.976  0.808 0.906  0.808 0.835  0.808 0.764  0.775 0.707  0.725 0.656  0.675 0.606  0.625 0.556  0.575 0.506  0.525 0.456  0.475 0.406  0.424 0.356  0.374 0.306  0.324 0.256  0.274 0.205  0.224 0.155  0.174 0.105  0.124 0.055  0.074 0.005  0.024 -0.045  -0.027 -0.095  -0.077 -0.145  -0.127 -0.196  -0.177 -0.246  -0.227 -0.296  -0.277 -0.346  -0.327 -0.396  -0.377 -0.446  -0.428 -0.496  -0.478 -0.546  -0.528 -0.596  -0.578 -0.647  -0.628 -0.697  -0.678 -0.747  -0.728 -0.797  -0.778 -0.847  -0.828 -0.897  -0.879 -0.947  -0.929 -0.997  -0.979 -1.047  -1.029 -1.098  -1.079 -1.148  -1.129 -1.198  -1.179 -1.248
1d#apa#apa03#app0389/\"  0.086 1.074  -0.033 0.955  -0.152 0.836  -0.291 0.767  -0.459 0.767  -0.528 0.667  -0.528 0.499  -0.657 0.460  -0.825 0.460  -0.835 0.302  -0.835 0.134  -0.835 -0.034  -0.835 -0.202  -0.835 -0.370  -0.912 -0.461  -1.080 -0.461  -1.142 -0.568  -1.142 -0.736  -1.142 -0.904  -1.142 -1.072  -1.011 -0.977  -0.876 -0.876  -0.742 -0.775  -0.607 -0.674  -0.473 -0.573  -0.338 -0.472  -0.204 -0.372  -0.069 -0.271  0.065 -0.170  0.200 -0.069  0.334 0.032  0.469 0.133  0.603 0.234  0.738 0.334  0.872 0.435  1.007 0.536  1.141 0.637  1.276 0.738  1.314 0.646  1.314 0.478  1.165 0.460  1.007 0.449  1.007 0.281  1.007 0.113  1.007 -0.055  0.958 -0.203  0.839 -0.322  0.721 -0.441  0.700 -0.600  0.700 -0.768
1d#apa#apa03#app0389/<  1.085 1.112  1.085 0.997  1.085 1.017  1.071 1.097  0.990 1.016  0.903 0.950  0.788 0.950  0.674 0.950  0.559 0.950  0.444 0.950  0.361 0.873  0.280 0.792  0.179 0.739  0.076 0.688  -0.026 0.637  -0.138 0.626  -0.240 0.595  -0.321 0.514  -0.415 0.465  -0.530 0.465  -0.532 0.352  -0.597 0.303  -0.694 0.285  -0.694 0.170  -0.779 0.141  -0.856 0.103  -0.856 -0.012  -0.856 -0.126  -0.856 -0.241  -0.844 -0.344  -0.730 -0.344  -0.615 -0.344  -0.532 -0.376  -0.532 -0.491  -0.433 -0.506  -0.334 -0.543  -0.253 -0.624  -0.156 -0.668  -0.047 -0.673  -0.047 -0.788  0.005 -0.881  0.086 -0.962  0.188 -0.991  0.277 -1.018  0.277 -1.132  0.343 -1.219  0.424 -1.300  0.533 -1.315  0.600 -1.362  0.600 -1.477
1d#apa#apa03#app0389/|  0.504 1.609  0.504 1.536  0.504 1.463  0.504 1.391  0.504 1.318  0.483 1.254  0.431 1.202  0.392 1.145  0.392 1.073  0.355 1.015  0.304 0.963  0.281 0.900  0.281 0.827  0.281 0.755  0.256 0.692  0.204 0.641  0.169 0.582  0.169 0.509  0.169 0.437  0.161 0.366  0.128 0.301  0.096 0.235  0.063 0.170  0.030 0.105  -0.002 0.040  -0.035 -0.025  -0.054 -0.093  -0.054 -0.166  -0.054 -0.239  -0.065 -0.309  -0.098 -0.374  -0.131 -0.440  -0.163 -0.505  -0.165 -0.577  -0.178 -0.647  -0.211 -0.712  -0.244 -0.777  -0.276 -0.842  -0.277 -0.915  -0.300 -0.978  -0.351 -1.030  -0.403 -1.081  -0.454 -1.133  -0.500 -1.187  -0.500 -1.260  -0.500 -1.332  -0.500 -1.405  -0.500 -1.478  -0.538 -1.512  -0.611 -1.512
1d#apa#apa03#app0389/>  -0.104 1.384  -0.104 1.280  -0.104 1.237  -0.104 1.341  -0.165 1.384  -0.269 1.384  -0.282 1.292  -0.282 1.188  -0.282 1.084  -0.233 1.028  -0.129 1.028  -0.104 0.949  -0.104 0.845  -0.104 0.741  -0.068 0.673  0.037 0.673  0.074 0.606  0.074 0.502  0.171 0.495  0.263 0.474  0.309 0.380  0.356 0.287  0.402 0.194  0.460 0.109  0.534 0.035  0.608 -0.039  0.608 -0.143  0.608 -0.247  0.608 -0.351  0.608 -0.456  0.608 -0.560  0.516 -0.572  0.417 -0.585  0.343 -0.659  0.269 -0.733  0.172 -0.750  0.070 -0.754  -0.004 -0.828  -0.077 -0.902  -0.171 -0.928  -0.275 -0.928  -0.282 -1.026  -0.303 -1.117  -0.396 -1.163  -0.490 -1.210  -0.583 -1.256  -0.681 -1.284  -0.785 -1.284  -0.815 -1.357  -0.815 -1.462
