3#apb#apb08#app0866/9  0.388 0.178  0.424 0.334  0.420 0.496  0.362 0.647  0.272 0.777  0.153 0.887  0.018 0.972  -0.132 1.034  -0.284 1.081  -0.446 1.072  -0.607 1.064  -0.746 0.981  -0.885 0.897  -1.007 0.795  -1.102 0.663  -1.196 0.532  -1.236 0.376  -1.271 0.218  -1.217 0.070  -1.148 -0.077  -1.038 -0.193  -0.916 -0.300  -0.783 -0.389  -0.634 -0.453  -0.485 -0.517  -0.325 -0.527  -0.163 -0.527  -0.008 -0.484  0.146 -0.433  0.277 -0.342  0.399 -0.236  0.504 -0.115  0.592 0.021  0.673 0.161  0.731 0.312  0.811 0.452  0.817 0.361  0.772 0.205  0.732 0.048  0.696 -0.110  0.660 -0.268  0.645 -0.429  0.631 -0.591  0.623 -0.752  0.623 -0.914  0.623 -1.076  0.623 -1.238  0.629 -1.400  0.656 -1.560  0.731 -1.702
3#apb#apb08#app0866/R  -0.441 0.925  -0.570 0.947  -0.616 0.764  -0.639 0.577  -0.652 0.389  -0.662 0.200  -0.662 0.012  -0.662 -0.177  -0.662 -0.366  -0.662 -0.555  -0.661 -0.744  -0.643 -0.932  -0.625 -1.120  -0.599 -1.301  -0.599 -1.112  -0.599 -0.923  -0.586 -0.734  -0.569 -0.546  -0.553 -0.358  -0.533 -0.170  -0.513 0.017  -0.493 0.205  -0.436 0.384  -0.369 0.561  -0.293 0.733  -0.180 0.884  -0.064 1.032  0.079 1.156  0.240 1.243  0.424 1.263  0.605 1.212  0.756 1.099  0.838 0.932  0.877 0.754  0.848 0.567  0.766 0.401  0.662 0.243  0.517 0.122  0.365 0.010  0.193 -0.064  0.233 -0.123  0.393 -0.223  0.555 -0.320  0.676 -0.462  0.779 -0.619  0.855 -0.792  0.912 -0.972  0.950 -1.157  0.994 -1.340  1.029 -1.524
3#apb#apb08#app0866/e  -0.518 -0.361  -0.373 -0.382  -0.232 -0.377  -0.099 -0.315  0.033 -0.250  0.163 -0.181  0.293 -0.112  0.394 -0.006  0.491 0.104  0.589 0.214  0.661 0.342  0.729 0.472  0.797 0.602  0.806 0.749  0.816 0.896  0.741 1.019  0.652 1.134  0.515 1.187  0.375 1.227  0.228 1.219  0.082 1.211  -0.057 1.165  -0.193 1.109  -0.316 1.034  -0.414 0.925  -0.513 0.816  -0.611 0.706  -0.683 0.579  -0.747 0.447  -0.810 0.314  -0.856 0.176  -0.870 0.030  -0.884 -0.117  -0.859 -0.257  -0.801 -0.392  -0.743 -0.527  -0.663 -0.647  -0.559 -0.751  -0.454 -0.854  -0.329 -0.932  -0.204 -1.010  -0.073 -1.075  0.064 -1.129  0.201 -1.182  0.348 -1.193  0.494 -1.202  0.638 -1.177  0.779 -1.137  0.916 -1.084  1.052 -1.028
3#apb#apb08#app0866/a  0.504 0.471  0.473 0.626  0.422 0.774  0.345 0.912  0.209 0.980  0.060 1.033  -0.097 1.046  -0.255 1.058  -0.408 1.017  -0.561 0.976  -0.698 0.904  -0.826 0.810  -0.953 0.717  -1.045 0.591  -1.122 0.453  -1.200 0.316  -1.209 0.160  -1.209 0.002  -1.190 -0.152  -1.116 -0.291  -1.041 -0.431  -0.933 -0.541  -0.805 -0.633  -0.676 -0.725  -0.521 -0.751  -0.364 -0.775  -0.211 -0.742  -0.057 -0.703  0.084 -0.642  0.206 -0.540  0.327 -0.439  0.404 -0.302  0.479 -0.162  0.533 -0.014  0.576 0.138  0.595 0.292  0.579 0.449  0.577 0.441  0.587 0.284  0.597 0.126  0.625 -0.029  0.667 -0.181  0.709 -0.334  0.759 -0.484  0.811 -0.633  0.864 -0.782  0.957 -0.909  1.055 -1.033  1.181 -1.127  1.311 -1.218
3#apb#apb08#app0866/l  -0.527 1.614  -0.521 1.545  -0.493 1.481  -0.465 1.418  -0.436 1.354  -0.407 1.290  -0.379 1.227  -0.350 1.163  -0.321 1.099  -0.293 1.036  -0.269 0.970  -0.247 0.904  -0.225 0.838  -0.203 0.771  -0.181 0.705  -0.159 0.639  -0.137 0.573  -0.115 0.507  -0.092 0.441  -0.069 0.375  -0.046 0.309  -0.023 0.243  -0.000 0.177  0.022 0.111  0.045 0.045  0.066 -0.022  0.086 -0.089  0.106 -0.155  0.127 -0.222  0.147 -0.289  0.167 -0.356  0.186 -0.423  0.203 -0.491  0.220 -0.558  0.237 -0.626  0.253 -0.694  0.270 -0.761  0.283 -0.830  0.296 -0.899  0.309 -0.967  0.322 -1.036  0.325 -1.105  0.325 -1.175  0.325 -1.245  0.320 -1.314  0.305 -1.382  0.290 -1.451  0.269 -1.517  0.245 -1.583  0.214 -1.645
3#apb#apb08#app0866/1  0.080 1.263  0.051 1.329  0.023 1.395  -0.006 1.461  -0.065 1.491  -0.076 1.419  -0.087 1.348  -0.098 1.277  -0.109 1.206  -0.120 1.134  -0.123 1.062  -0.123 0.990  -0.123 0.918  -0.123 0.846  -0.123 0.774  -0.123 0.702  -0.123 0.630  -0.123 0.558  -0.117 0.486  -0.110 0.414  -0.102 0.343  -0.094 0.271  -0.087 0.199  -0.079 0.128  -0.072 0.056  -0.064 -0.016  -0.053 -0.087  -0.042 -0.158  -0.030 -0.229  -0.019 -0.301  -0.008 -0.372  0.003 -0.443  0.015 -0.514  0.026 -0.585  0.038 -0.656  0.050 -0.728  0.062 -0.799  0.074 -0.870  0.085 -0.941  0.097 -1.012  0.109 -1.083  0.126 -1.153  0.142 -1.223  0.158 -1.294  0.174 -1.364  0.190 -1.434  0.206 -1.505  0.222 -1.575  0.237 -1.645  0.253 -1.716
3#apb#apb08#app0866/2  -1.330 0.644  -1.296 0.746  -1.215 0.823  -1.113 0.867  -1.003 0.893  -0.891 0.909  -0.778 0.909  -0.664 0.909  -0.551 0.909  -0.438 0.909  -0.324 0.909  -0.211 0.908  -0.098 0.900  0.015 0.893  0.121 0.857  0.222 0.806  0.308 0.737  0.358 0.639  0.355 0.526  0.290 0.433  0.225 0.341  0.148 0.257  0.071 0.174  -0.006 0.091  -0.094 0.019  -0.182 -0.053  -0.262 -0.132  -0.338 -0.216  -0.406 -0.305  -0.436 -0.414  -0.451 -0.524  -0.427 -0.635  -0.351 -0.709  -0.255 -0.771  -0.160 -0.832  -0.048 -0.840  0.066 -0.845  0.179 -0.850  0.292 -0.854  0.406 -0.849  0.519 -0.845  0.632 -0.840  0.746 -0.836  0.859 -0.836  0.972 -0.836  1.086 -0.834  1.196 -0.810  1.307 -0.786  1.420 -0.779  1.533 -0.779
3#apb#apb08#app0866/3  -1.215 0.598  -1.324 0.665  -1.314 0.762  -1.213 0.836  -1.097 0.890  -0.982 0.945  -0.856 0.962  -0.729 0.978  -0.603 0.994  -0.476 0.985  -0.349 0.975  -0.221 0.965  -0.101 0.925  0.018 0.879  0.129 0.820  0.230 0.742  0.264 0.619  0.246 0.501  0.189 0.387  0.095 0.302  -0.003 0.220  -0.112 0.155  -0.222 0.089  -0.333 0.029  -0.223 0.035  -0.096 0.043  0.032 0.050  0.159 0.056  0.286 0.044  0.412 0.027  0.534 -0.009  0.651 -0.057  0.750 -0.137  0.831 -0.232  0.886 -0.346  0.904 -0.473  0.899 -0.597  0.861 -0.719  0.801 -0.830  0.732 -0.938  0.652 -1.036  0.566 -1.130  0.461 -1.199  0.344 -1.249  0.221 -1.283  0.096 -1.309  -0.029 -1.317  -0.151 -1.284  -0.258 -1.215  -0.341 -1.118
3#apb#apb08#app0866/4  -0.019 1.084  -0.020 1.261  -0.182 1.211  -0.341 1.110  -0.480 0.987  -0.601 0.843  -0.736 0.713  -0.881 0.593  -1.007 0.454  -1.129 0.311  -1.235 0.156  -1.333 -0.004  -1.375 -0.187  -1.300 -0.344  -1.120 -0.395  -0.938 -0.439  -0.750 -0.456  -0.563 -0.473  -0.376 -0.470  -0.188 -0.453  -0.001 -0.436  0.184 -0.402  0.369 -0.369  0.556 -0.354  0.740 -0.320  0.926 -0.304  0.902 -0.180  0.809 -0.016  0.716 0.147  0.624 0.311  0.531 0.475  0.438 0.638  0.346 0.802  0.253 0.965  0.256 0.986  0.320 0.809  0.363 0.627  0.380 0.440  0.397 0.253  0.413 0.065  0.429 -0.122  0.446 -0.309  0.466 -0.496  0.486 -0.684  0.504 -0.871  0.523 -1.058  0.539 -1.245  0.552 -1.433  0.553 -1.621  0.553 -1.802
3#apb#apb08#app0866/L  -0.641 1.560  -0.639 1.535  -0.621 1.453  -0.603 1.370  -0.590 1.287  -0.579 1.203  -0.568 1.120  -0.557 1.036  -0.546 0.952  -0.536 0.868  -0.525 0.785  -0.515 0.701  -0.506 0.617  -0.499 0.533  -0.492 0.449  -0.485 0.364  -0.479 0.280  -0.467 0.197  -0.455 0.113  -0.443 0.029  -0.433 -0.054  -0.433 -0.139  -0.433 -0.223  -0.433 -0.308  -0.410 -0.389  -0.387 -0.470  -0.352 -0.545  -0.300 -0.612  -0.236 -0.662  -0.156 -0.688  -0.075 -0.710  0.009 -0.710  0.094 -0.710  0.178 -0.710  0.262 -0.700  0.345 -0.688  0.429 -0.676  0.513 -0.664  0.596 -0.655  0.680 -0.645  0.764 -0.636  0.848 -0.626  0.932 -0.615  1.015 -0.602  1.092 -0.567  1.168 -0.531  1.249 -0.512  1.333 -0.505  1.409 -0.473  1.481 -0.428
3#apb#apb08#app0866/e  -0.438 -0.258  -0.362 -0.283  -0.221 -0.270  -0.082 -0.254  0.034 -0.173  0.149 -0.092  0.262 -0.008  0.374 0.078  0.486 0.164  0.569 0.274  0.632 0.400  0.694 0.527  0.735 0.662  0.771 0.797  0.719 0.928  0.666 1.059  0.544 1.128  0.420 1.196  0.281 1.217  0.141 1.239  0.010 1.215  -0.115 1.148  -0.239 1.081  -0.346 0.991  -0.446 0.891  -0.546 0.791  -0.637 0.686  -0.694 0.557  -0.750 0.427  -0.807 0.298  -0.815 0.159  -0.815 0.018  -0.815 -0.123  -0.769 -0.252  -0.695 -0.372  -0.621 -0.492  -0.532 -0.601  -0.436 -0.704  -0.340 -0.808  -0.238 -0.904  -0.122 -0.984  -0.006 -1.064  0.109 -1.146  0.224 -1.229  0.338 -1.312  0.471 -1.343  0.612 -1.353  0.750 -1.351  0.883 -1.302  1.016 -1.254
3#apb#apb08#app0866/x  0.616 1.477  0.556 1.293  0.504 1.107  0.446 0.922  0.387 0.737  0.340 0.549  0.302 0.359  0.264 0.169  0.209 -0.016  0.141 -0.198  0.075 -0.380  0.040 -0.570  0.004 -0.761  -0.034 -0.951  -0.068 -1.142  -0.090 -1.335  -0.092 -1.528  -0.140 -1.395  -0.195 -1.210  -0.250 -1.024  -0.305 -0.838  -0.360 -0.652  -0.416 -0.466  -0.471 -0.280  -0.526 -0.095  -0.581 0.091  -0.636 0.277  -0.692 0.463  -0.747 0.649  -0.802 0.835  -0.857 1.021  -0.912 1.206  -0.940 1.218  -0.840 1.052  -0.729 0.895  -0.591 0.758  -0.454 0.620  -0.316 0.485  -0.174 0.352  -0.033 0.219  0.108 0.087  0.265 -0.027  0.423 -0.140  0.580 -0.254  0.746 -0.353  0.915 -0.448  1.084 -0.544  1.250 -0.643  1.415 -0.744  1.580 -0.847
3#apb#apb08#app0866/i  -0.425 1.413  -0.364 1.379  -0.299 1.353  -0.226 1.353  -0.153 1.353  -0.080 1.353  -0.007 1.353  -0.010 1.284  -0.018 1.211  -0.025 1.138  -0.033 1.065  -0.041 0.993  -0.048 0.920  -0.056 0.847  -0.064 0.774  -0.072 0.702  -0.079 0.629  -0.087 0.556  -0.095 0.483  -0.103 0.410  -0.110 0.338  -0.118 0.265  -0.126 0.192  -0.133 0.119  -0.141 0.047  -0.137 -0.026  -0.128 -0.099  -0.119 -0.171  -0.110 -0.244  -0.096 -0.315  -0.071 -0.384  -0.046 -0.453  -0.021 -0.521  0.005 -0.590  0.030 -0.659  0.055 -0.728  0.079 -0.797  0.103 -0.866  0.127 -0.935  0.151 -1.004  0.175 -1.073  0.203 -1.141  0.232 -1.208  0.260 -1.276  0.289 -1.343  0.317 -1.411  0.347 -1.477  0.385 -1.540  0.423 -1.603  0.460 -1.665
3#apb#apb08#app0866/n  -1.108 -0.009  -1.120 -0.121  -1.123 -0.232  -1.105 -0.343  -1.088 -0.454  -1.067 -0.565  -1.044 -0.675  -1.008 -0.781  -0.952 -0.809  -0.899 -0.719  -0.867 -0.611  -0.817 -0.511  -0.762 -0.413  -0.707 -0.315  -0.664 -0.212  -0.638 -0.103  -0.613 0.007  -0.588 0.116  -0.563 0.226  -0.517 0.326  -0.451 0.417  -0.385 0.508  -0.319 0.599  -0.239 0.674  -0.140 0.727  -0.041 0.780  0.061 0.826  0.169 0.857  0.277 0.888  0.385 0.879  0.492 0.846  0.596 0.807  0.680 0.731  0.763 0.656  0.828 0.568  0.868 0.463  0.907 0.358  0.943 0.251  0.966 0.141  0.989 0.031  1.012 -0.079  1.019 -0.190  1.019 -0.303  1.019 -0.415  1.019 -0.527  0.998 -0.638  0.977 -0.748  0.957 -0.859  0.947 -0.971  0.937 -1.083
3#apb#apb08#app0866/g  0.240 1.089  0.257 1.203  0.242 1.308  0.136 1.336  0.025 1.308  -0.080 1.260  -0.179 1.201  -0.253 1.113  -0.312 1.016  -0.331 0.902  -0.316 0.791  -0.269 0.686  -0.191 0.600  -0.087 0.552  0.026 0.540  0.132 0.576  0.222 0.645  0.283 0.743  0.320 0.852  0.316 0.820  0.299 0.706  0.282 0.592  0.274 0.477  0.283 0.361  0.292 0.246  0.311 0.132  0.329 0.018  0.348 -0.096  0.370 -0.210  0.391 -0.324  0.409 -0.438  0.420 -0.553  0.430 -0.669  0.419 -0.781  0.379 -0.890  0.337 -0.996  0.253 -1.076  0.169 -1.155  0.066 -1.208  -0.039 -1.255  -0.152 -1.270  -0.267 -1.270  -0.383 -1.266  -0.497 -1.249  -0.612 -1.231  -0.718 -1.186  -0.822 -1.137  -0.891 -1.044  -0.929 -0.941  -0.929 -0.825
3#apb#apb08#app0866/t  -0.554 2.056  -0.488 1.912  -0.403 1.772  -0.336 1.623  -0.268 1.474  -0.206 1.323  -0.157 1.167  -0.109 1.011  -0.060 0.855  -0.028 0.695  -0.006 0.533  0.015 0.371  0.037 0.209  0.062 0.048  0.087 -0.114  0.111 -0.276  0.128 -0.438  0.142 -0.601  0.156 -0.764  0.165 -0.927  0.174 -1.091  0.169 -1.254  0.157 -1.417  0.183 -1.578  0.142 -1.507  0.071 -1.360  -0.001 -1.213  -0.073 -1.067  -0.145 -0.920  -0.217 -0.773  -0.289 -0.626  -0.361 -0.479  -0.433 -0.332  -0.505 -0.185  -0.576 -0.039  -0.648 0.108  -0.720 0.255  -0.595 0.266  -0.435 0.236  -0.278 0.191  -0.121 0.147  0.041 0.122  0.203 0.101  0.365 0.080  0.528 0.065  0.690 0.049  0.853 0.052  1.015 0.073  1.178 0.081  1.342 0.081
3#apb#apb08#app0866/o  -0.324 1.171  -0.431 1.118  -0.514 1.035  -0.589 0.942  -0.660 0.846  -0.722 0.744  -0.785 0.643  -0.832 0.535  -0.856 0.418  -0.879 0.301  -0.903 0.184  -0.907 0.066  -0.895 -0.053  -0.882 -0.172  -0.870 -0.291  -0.826 -0.401  -0.778 -0.511  -0.730 -0.620  -0.661 -0.715  -0.577 -0.800  -0.493 -0.884  -0.386 -0.936  -0.276 -0.983  -0.166 -1.030  -0.048 -1.017  0.071 -1.003  0.190 -0.989  0.295 -0.938  0.397 -0.875  0.498 -0.812  0.595 -0.744  0.669 -0.650  0.743 -0.556  0.817 -0.462  0.853 -0.350  0.877 -0.234  0.902 -0.117  0.924 0.000  0.924 0.120  0.924 0.239  0.924 0.359  0.899 0.472  0.846 0.579  0.792 0.686  0.718 0.776  0.624 0.849  0.529 0.922  0.431 0.988  0.326 1.046  0.221 1.103
3#apb#apb08#app0866/n  -0.846 0.372  -0.793 0.267  -0.793 0.140  -0.802 0.014  -0.820 -0.112  -0.838 -0.237  -0.851 -0.364  -0.861 -0.490  -0.871 -0.617  -0.883 -0.743  -0.896 -0.869  -0.899 -0.996  -0.883 -0.906  -0.858 -0.782  -0.833 -0.658  -0.798 -0.536  -0.750 -0.419  -0.702 -0.301  -0.653 -0.184  -0.599 -0.069  -0.540 0.043  -0.480 0.155  -0.421 0.268  -0.360 0.379  -0.274 0.472  -0.187 0.565  -0.101 0.658  -0.013 0.749  0.099 0.809  0.210 0.869  0.322 0.929  0.446 0.958  0.569 0.983  0.675 0.913  0.758 0.822  0.820 0.711  0.876 0.597  0.921 0.479  0.967 0.360  1.006 0.240  1.037 0.117  1.068 -0.006  1.099 -0.130  1.108 -0.256  1.116 -0.383  1.125 -0.509  1.117 -0.636  1.106 -0.762  1.091 -0.888  1.073 -1.014
3#apb#apb08#app0866/A  -0.483 0.823  -0.593 0.647  -0.632 0.408  -0.691 0.172  -0.742 -0.064  -0.766 -0.306  -0.809 -0.544  -0.851 -0.783  -0.864 -1.025  -0.753 -0.824  -0.649 -0.604  -0.547 -0.384  -0.460 -0.158  -0.385 0.073  -0.310 0.303  -0.257 0.540  -0.207 0.777  -0.144 1.011  -0.059 1.238  0.053 1.450  0.210 1.633  0.413 1.685  0.553 1.489  0.645 1.265  0.710 1.031  0.769 0.796  0.817 0.558  0.863 0.320  0.883 0.078  0.901 -0.164  0.913 -0.406  0.925 -0.648  0.931 -0.890  0.910 -1.132  0.804 -1.278  0.600 -1.147  0.397 -1.015  0.193 -0.883  -0.011 -0.752  -0.215 -0.620  -0.419 -0.488  -0.622 -0.357  -0.826 -0.225  -0.755 -0.195  -0.513 -0.212  -0.271 -0.232  -0.029 -0.240  0.214 -0.249  0.456 -0.241  0.699 -0.232
