2#tos#f2#f2018063/\"  -0.710 1.024  -0.831 1.017  -0.831 0.888  -0.831 0.760  -0.831 0.631  -0.831 0.503  -0.831 0.375  -0.831 0.246  -0.831 0.118  -0.831 -0.011  -0.831 -0.139  -0.831 -0.267  -0.831 -0.396  -0.831 -0.524  -0.831 -0.653  -0.831 -0.781  -0.831 -0.910  -0.777 -1.025  -0.719 -1.140  -0.639 -1.077  -0.554 -0.981  -0.469 -0.885  -0.384 -0.788  -0.299 -0.692  -0.214 -0.596  -0.129 -0.499  -0.044 -0.403  0.041 -0.307  0.126 -0.210  0.211 -0.114  0.296 -0.018  0.381 0.078  0.466 0.175  0.551 0.271  0.636 0.367  0.721 0.464  0.806 0.560  0.891 0.656  0.976 0.752  1.060 0.849  1.108 0.846  1.108 0.718  1.108 0.589  1.108 0.461  1.108 0.332  1.108 0.204  1.108 0.076  1.108 -0.053  1.108 -0.181  1.108 -0.310
2#tos#f2#f2018063/?  -0.551 0.147  -0.674 0.147  -0.798 0.147  -0.878 0.218  -0.968 0.286  -0.972 0.407  -0.888 0.474  -0.842 0.583  -0.746 0.643  -0.675 0.719  -0.573 0.787  -0.464 0.845  -0.347 0.885  -0.225 0.895  -0.101 0.895  0.019 0.921  0.140 0.942  0.264 0.942  0.387 0.942  0.511 0.942  0.634 0.942  0.758 0.942  0.758 0.818  0.758 0.695  0.738 0.576  0.711 0.459  0.619 0.428  0.579 0.311  0.527 0.199  0.468 0.091  0.381 0.004  0.293 -0.083  0.244 -0.186  0.160 -0.227  0.074 -0.286  0.057 -0.406  0.041 -0.523  0.010 -0.634  0.010 -0.757  0.010 -0.881  0.057 -0.985  0.125 -1.068  0.182 -1.117  0.146 -1.235  0.109 -1.353  0.073 -1.471  0.037 -1.590  0.010 -1.709  -0.056 -1.811  -0.130 -1.910
2#tos#f2#f2018063/@  0.131 0.781  0.027 0.693  -0.165 0.693  -0.269 0.605  -0.375 0.476  -0.399 0.290  -0.399 0.097  -0.365 -0.074  -0.227 -0.173  -0.045 -0.198  0.111 -0.234  0.303 -0.234  0.496 -0.234  0.654 -0.153  0.720 0.015  0.783 0.180  0.880 0.296  0.875 0.485  0.838 0.669  0.793 0.817  0.617 0.833  0.505 0.914  0.401 1.002  0.264 1.057  0.105 1.091  -0.088 1.091  -0.280 1.091  -0.473 1.091  -0.531 0.920  -0.669 0.809  -0.730 0.626  -0.752 0.437  -0.796 0.289  -0.796 0.097  -0.796 -0.096  -0.796 -0.288  -0.796 -0.481  -0.714 -0.643  -0.618 -0.810  -0.531 -0.974  -0.431 -1.110  -0.307 -1.205  -0.182 -1.331  0.007 -1.338  0.199 -1.338  0.392 -1.338  0.584 -1.338  0.777 -1.338  0.967 -1.312  1.103 -1.205
2#tos#f2#f2018063/^  -0.883 0.033  -0.997 0.033  -1.103 0.018  -1.154 -0.084  -1.205 -0.187  -1.256 -0.289  -1.307 -0.391  -1.201 -0.385  -1.195 -0.272  -1.143 -0.170  -1.091 -0.069  -1.010 0.012  -0.904 0.033  -0.799 0.075  -0.697 0.126  -0.632 0.215  -0.581 0.317  -0.564 0.428  -0.480 0.458  -0.365 0.458  -0.251 0.458  -0.168 0.535  -0.139 0.637  -0.139 0.752  -0.050 0.776  0.065 0.776  0.179 0.776  0.179 0.662  0.191 0.553  0.272 0.472  0.353 0.391  0.392 0.293  0.392 0.178  0.459 0.105  0.562 0.054  0.664 0.003  0.766 -0.048  0.843 -0.125  0.894 -0.228  0.923 -0.335  0.981 -0.392  1.095 -0.392  1.135 -0.466  1.135 -0.580  1.135 -0.695  1.224 -0.755  1.326 -0.806  1.348 -0.907  1.348 -1.021  1.454 -1.029
2#tos#f2#f2018063/_  -0.763 0.511  -0.850 0.511  -0.937 0.511  -0.983 0.469  -0.983 0.382  -0.983 0.295  -1.066 0.292  -1.153 0.292  -1.240 0.292  -1.312 0.276  -1.312 0.189  -1.232 0.182  -1.145 0.182  -1.058 0.182  -0.974 0.174  -0.913 0.112  -0.845 0.059  -0.767 0.020  -0.690 -0.019  -0.607 -0.037  -0.520 -0.037  -0.433 -0.037  -0.346 -0.037  -0.259 -0.037  -0.172 -0.037  -0.085 -0.037  0.002 -0.037  0.089 -0.037  0.176 -0.037  0.263 -0.037  0.350 -0.037  0.437 -0.037  0.524 -0.037  0.605 -0.063  0.683 -0.102  0.761 -0.141  0.772 -0.222  0.824 -0.256  0.911 -0.256  0.998 -0.256  1.085 -0.256  1.172 -0.256  1.259 -0.256  1.346 -0.256  1.429 -0.260  1.429 -0.347  1.497 -0.366  1.584 -0.366  1.671 -0.366  1.758 -0.366
2#tos#f2#f2018063/{  0.520 1.365  0.408 1.365  0.295 1.365  0.183 1.365  0.071 1.365  -0.041 1.365  -0.111 1.318  -0.210 1.287  -0.221 1.185  -0.221 1.073  -0.182 0.999  -0.143 0.926  -0.104 0.853  -0.104 0.741  -0.030 0.702  -0.026 0.594  -0.026 0.482  -0.074 0.411  -0.104 0.306  -0.182 0.272  -0.182 0.159  -0.248 0.095  -0.352 0.064  -0.435 0.010  -0.460 0.073  -0.350 0.078  -0.286 0.156  -0.182 0.149  -0.179 0.039  -0.143 -0.037  -0.143 -0.149  -0.143 -0.261  -0.143 -0.373  -0.143 -0.486  -0.143 -0.598  -0.115 -0.706  -0.070 -0.808  -0.065 -0.919  -0.065 -1.031  -0.018 -1.114  0.013 -1.207  0.092 -1.287  0.157 -1.364  0.269 -1.364  0.365 -1.404  0.461 -1.442  0.573 -1.442  0.685 -1.442  0.720 -1.364  0.832 -1.364
2#tos#f2#f2018063/|  0.059 1.653  -0.015 1.653  -0.036 1.600  -0.036 1.526  -0.036 1.452  -0.036 1.378  -0.036 1.304  -0.036 1.230  -0.036 1.156  -0.036 1.082  -0.036 1.008  -0.034 0.935  0.012 0.879  0.012 0.805  0.012 0.731  0.012 0.657  0.012 0.583  0.012 0.509  0.012 0.435  0.012 0.361  0.012 0.287  0.012 0.213  0.017 0.139  0.028 0.066  0.039 -0.007  0.050 -0.080  0.062 -0.154  0.073 -0.227  0.084 -0.300  0.095 -0.373  0.107 -0.446  0.107 -0.521  0.057 -0.544  -0.017 -0.544  -0.036 -0.599  -0.036 -0.673  -0.036 -0.748  -0.036 -0.822  -0.036 -0.896  -0.036 -0.970  -0.036 -1.044  -0.036 -1.118  -0.036 -1.192  -0.036 -1.266  -0.036 -1.340  -0.036 -1.414  -0.036 -1.488  -0.036 -1.562  -0.007 -1.624  0.012 -1.691
2#tos#f2#f2018063/~  -1.530 0.470  -1.420 0.507  -1.313 0.547  -1.224 0.610  -1.179 0.681  -1.069 0.717  -0.961 0.755  -0.857 0.806  -0.815 0.890  -0.700 0.890  -0.585 0.890  -0.469 0.890  -0.354 0.890  -0.270 0.859  -0.200 0.813  -0.200 0.698  -0.200 0.583  -0.200 0.467  -0.200 0.352  -0.200 0.237  -0.200 0.122  -0.200 0.006  -0.200 -0.109  -0.200 -0.224  -0.200 -0.340  -0.200 -0.455  -0.200 -0.570  -0.130 -0.657  -0.130 -0.772  -0.110 -0.879  -0.016 -0.929  0.100 -0.929  0.215 -0.929  0.330 -0.929  0.446 -0.929  0.527 -0.874  0.578 -0.771  0.630 -0.668  0.734 -0.649  0.829 -0.600  0.910 -0.518  0.989 -0.436  0.989 -0.320  1.073 -0.257  1.129 -0.176  1.129 -0.061  1.133 0.051  1.248 0.051  1.339 0.075  1.409 0.121
2#tos#f2#f2018063/0  -0.120 -1.005  -0.268 -1.035  -0.418 -1.052  -0.544 -1.027  -0.560 -0.879  -0.591 -0.736  -0.591 -0.584  -0.639 -0.480  -0.639 -0.329  -0.639 -0.178  -0.639 -0.027  -0.639 0.125  -0.639 0.276  -0.639 0.427  -0.639 0.579  -0.612 0.719  -0.497 0.795  -0.450 0.899  -0.347 0.975  -0.290 1.069  -0.161 1.123  -0.087 1.243  0.038 1.290  0.151 1.352  0.302 1.352  0.376 1.255  0.444 1.120  0.498 1.022  0.540 0.912  0.605 0.801  0.681 0.679  0.728 0.547  0.728 0.396  0.728 0.245  0.728 0.094  0.690 -0.034  0.634 -0.151  0.564 -0.273  0.540 -0.414  0.508 -0.534  0.493 -0.670  0.412 -0.796  0.365 -0.911  0.308 -1.005  0.258 -1.144  0.108 -1.146  -0.026 -1.164  -0.100 -1.241  -0.252 -1.241  -0.403 -1.241
2#tos#f2#f2018063/2  -0.412 0.621  -0.547 0.621  -0.683 0.621  -0.717 0.733  -0.750 0.855  -0.643 0.915  -0.514 0.958  -0.475 1.056  -0.359 1.105  -0.223 1.105  -0.097 1.129  0.009 1.201  0.145 1.201  0.281 1.201  0.415 1.197  0.513 1.105  0.587 1.025  0.604 0.896  0.604 0.760  0.563 0.649  0.507 0.547  0.440 0.434  0.360 0.324  0.317 0.195  0.314 0.060  0.217 -0.016  0.217 -0.152  0.130 -0.201  0.037 -0.271  -0.035 -0.386  -0.094 -0.507  -0.172 -0.589  -0.285 -0.665  -0.364 -0.749  -0.475 -0.812  -0.571 -0.878  -0.605 -0.980  -0.629 -1.072  -0.542 -1.120  -0.406 -1.120  -0.270 -1.120  -0.134 -1.120  0.002 -1.120  0.138 -1.120  0.274 -1.120  0.410 -1.120  0.542 -1.103  0.671 -1.072  0.807 -1.072  0.894 -1.023
2#tos#f2#f2018063/3  -0.063 1.199  -0.197 1.199  -0.164 1.239  -0.032 1.244  0.102 1.244  0.236 1.244  0.370 1.244  0.486 1.199  0.567 1.147  0.612 1.031  0.635 0.907  0.702 0.801  0.612 0.757  0.530 0.705  0.425 0.625  0.327 0.539  0.229 0.480  0.141 0.429  0.011 0.397  -0.032 0.300  -0.166 0.300  -0.243 0.242  -0.187 0.255  -0.059 0.230  0.071 0.210  0.162 0.167  0.246 0.106  0.342 0.041  0.342 -0.093  0.342 -0.227  0.380 -0.354  0.387 -0.487  0.387 -0.621  0.358 -0.748  0.252 -0.789  0.201 -0.874  0.089 -0.949  -0.029 -1.011  -0.149 -1.071  -0.243 -1.130  -0.321 -1.185  -0.433 -1.240  -0.552 -1.275  -0.686 -1.275  -0.816 -1.244  -0.941 -1.196  -1.023 -1.123  -1.053 -0.993  -1.058 -0.860  -1.098 -0.735
2#tos#f2#f2018063/7  -0.480 0.907  -0.600 0.885  -0.698 0.809  -0.726 0.708  -0.726 0.579  -0.726 0.450  -0.726 0.321  -0.726 0.192  -0.726 0.063  -0.726 -0.066  -0.775 -0.175  -0.754 -0.146  -0.720 -0.022  -0.686 0.103  -0.652 0.227  -0.618 0.352  -0.585 0.476  -0.551 0.601  -0.517 0.725  -0.483 0.849  -0.458 0.760  -0.329 0.760  -0.200 0.760  -0.071 0.760  0.048 0.717  0.175 0.710  0.304 0.710  0.413 0.661  0.520 0.626  0.610 0.563  0.650 0.474  0.650 0.345  0.650 0.216  0.650 0.087  0.650 -0.042  0.650 -0.171  0.650 -0.300  0.650 -0.429  0.650 -0.558  0.650 -0.687  0.650 -0.816  0.650 -0.945  0.645 -1.073  0.605 -1.196  0.578 -1.322  0.553 -1.448  0.503 -1.557  0.503 -1.686  0.503 -1.815  0.503 -1.944
2#tos#f2#f2018063/8  0.697 1.213  0.521 1.213  0.344 1.213  0.168 1.213  -0.008 1.213  -0.178 1.197  -0.341 1.165  -0.518 1.165  -0.648 1.079  -0.734 0.962  -0.666 0.838  -0.602 0.674  -0.457 0.596  -0.292 0.546  -0.155 0.450  0.021 0.450  0.190 0.402  0.322 0.321  0.466 0.259  0.567 0.138  0.666 0.020  0.745 -0.132  0.745 -0.308  0.745 -0.484  0.745 -0.661  0.697 -0.790  0.697 -0.966  0.578 -1.088  0.438 -1.192  0.313 -1.317  0.156 -1.362  -0.009 -1.410  -0.186 -1.410  -0.356 -1.384  -0.527 -1.362  -0.589 -1.221  -0.638 -1.056  -0.638 -0.880  -0.638 -0.703  -0.638 -0.527  -0.591 -0.362  -0.495 -0.217  -0.398 -0.072  -0.302 0.074  -0.182 0.164  -0.075 0.294  0.033 0.420  0.204 0.450  0.348 0.530  0.459 0.641
2#tos#f2#f2018063/A  0.451 1.680  0.298 1.558  0.124 1.389  0.020 1.171  -0.069 0.939  -0.146 0.674  -0.354 0.529  -0.469 0.303  -0.527 0.033  -0.669 -0.204  -0.797 -0.448  -0.970 -0.662  -1.006 -0.927  -1.113 -1.164  -1.039 -1.072  -0.900 -0.834  -0.760 -0.595  -0.621 -0.357  -0.481 -0.118  -0.342 0.120  -0.202 0.359  -0.063 0.597  0.077 0.836  0.216 1.074  0.356 1.313  0.389 1.414  0.349 1.154  0.349 0.878  0.487 0.679  0.502 0.407  0.641 0.205  0.703 -0.052  0.758 -0.315  0.860 -0.571  0.861 -0.847  0.995 -1.027  1.014 -1.289  0.797 -1.120  0.579 -0.951  0.361 -0.781  0.143 -0.612  -0.075 -0.442  -0.294 -0.272  -0.544 -0.244  -0.668 -0.368  -0.392 -0.368  -0.121 -0.417  0.155 -0.419  0.431 -0.419  0.707 -0.419
2#tos#f2#f2018063/C  0.887 0.914  0.775 0.914  0.664 0.914  0.598 0.960  0.563 1.036  0.468 1.054  0.367 1.099  0.275 1.145  0.163 1.145  0.051 1.145  -0.014 1.099  -0.121 1.081  -0.212 1.019  -0.296 0.948  -0.400 0.914  -0.456 0.832  -0.508 0.768  -0.569 0.675  -0.624 0.578  -0.642 0.470  -0.642 0.359  -0.642 0.247  -0.642 0.136  -0.642 0.024  -0.642 -0.088  -0.642 -0.199  -0.642 -0.311  -0.624 -0.418  -0.595 -0.523  -0.581 -0.629  -0.535 -0.721  -0.456 -0.800  -0.364 -0.819  -0.329 -0.910  -0.225 -0.939  -0.160 -0.991  -0.055 -1.027  0.056 -1.032  0.167 -1.039  0.273 -1.074  0.384 -1.078  0.495 -1.078  0.545 -0.992  0.618 -0.939  0.655 -0.864  0.711 -0.771  0.778 -0.682  0.854 -0.601  0.933 -0.522  0.979 -0.429
2#tos#f2#f2018063/D  -0.222 1.494  -0.376 1.360  -0.376 1.145  -0.376 0.929  -0.376 0.713  -0.376 0.497  -0.376 0.282  -0.428 0.074  -0.428 -0.142  -0.428 -0.357  -0.428 -0.573  -0.428 -0.789  -0.428 -1.005  -0.428 -1.220  -0.428 -1.436  -0.413 -1.338  -0.393 -1.124  -0.372 -0.909  -0.352 -0.694  -0.332 -0.479  -0.312 -0.264  -0.291 -0.050  -0.271 0.165  -0.251 0.380  -0.231 0.595  -0.210 0.810  -0.190 1.024  -0.174 1.236  -0.338 1.184  -0.199 1.184  -0.015 1.152  0.175 1.085  0.348 0.978  0.515 0.860  0.646 0.729  0.731 0.554  0.832 0.400  0.963 0.285  1.015 0.082  1.015 -0.134  1.015 -0.350  0.912 -0.523  0.792 -0.619  0.654 -0.697  0.547 -0.879  0.343 -0.928  0.239 -1.084  0.046 -1.181  -0.169 -1.186  -0.376 -1.237
2#tos#f2#f2018063/E  -0.675 1.207  -0.831 1.118  -0.574 1.118  -0.317 1.118  -0.064 1.088  0.191 1.073  0.447 1.071  0.694 1.029  0.945 1.016  0.856 0.989  0.600 0.996  0.343 1.004  0.086 1.011  -0.170 1.019  -0.427 1.027  -0.585 0.930  -0.541 0.718  -0.541 0.462  -0.541 0.205  -0.541 -0.052  -0.506 -0.305  -0.496 -0.561  -0.496 -0.817  -0.496 -1.074  -0.541 -1.320  -0.512 -1.102  -0.481 -0.847  -0.450 -0.592  -0.419 -0.337  -0.389 -0.082  -0.362 0.098  -0.176 0.001  0.081 0.001  0.327 -0.043  0.584 -0.043  0.841 -0.043  1.043 -0.061  0.835 -0.212  0.627 -0.362  0.419 -0.513  0.211 -0.663  0.003 -0.814  -0.205 -0.964  -0.400 -1.101  -0.183 -1.098  0.046 -1.070  0.302 -1.070  0.559 -1.070  0.814 -1.056  1.067 -1.026
2#tos#f2#f2018063/Q  0.065 1.322  -0.161 1.322  -0.365 1.300  -0.519 1.185  -0.666 1.044  -0.703 0.825  -0.774 0.610  -0.881 0.414  -0.881 0.188  -0.881 -0.038  -0.881 -0.264  -0.833 -0.452  -0.620 -0.514  -0.478 -0.671  -0.336 -0.837  -0.115 -0.870  0.093 -0.913  0.295 -0.855  0.430 -0.698  0.475 -0.497  0.548 -0.295  0.623 -0.092  0.669 0.123  0.709 0.339  0.709 0.565  0.709 0.791  0.670 1.011  0.469 1.064  0.254 1.107  0.028 1.107  -0.183 1.057  -0.323 0.946  -0.329 0.720  -0.336 0.494  -0.342 0.268  -0.348 0.042  -0.354 -0.184  -0.361 -0.409  -0.431 -0.569  -0.503 -0.655  -0.287 -0.612  -0.061 -0.612  0.165 -0.612  0.369 -0.661  0.538 -0.785  0.645 -0.977  0.827 -1.089  1.009 -1.171  1.214 -1.257  1.440 -1.257
2#tos#f2#f2018063/R  -0.622 1.130  -0.745 1.132  -0.542 1.213  -0.324 1.216  -0.105 1.216  0.114 1.216  0.333 1.216  0.552 1.210  0.712 1.088  0.834 0.991  0.877 0.782  0.791 0.598  0.657 0.452  0.491 0.316  0.303 0.248  0.149 0.103  -0.025 0.045  -0.239 0.017  -0.423 -0.069  -0.547 -0.049  -0.585 0.167  -0.623 0.382  -0.661 0.598  -0.750 0.469  -0.707 0.260  -0.707 0.041  -0.707 -0.178  -0.707 -0.397  -0.707 -0.617  -0.707 -0.836  -0.707 -1.055  -0.665 -1.231  -0.573 -1.110  -0.463 -0.920  -0.353 -0.731  -0.243 -0.541  -0.133 -0.352  -0.023 -0.162  0.087 0.027  0.030 -0.030  0.112 -0.197  0.278 -0.283  0.398 -0.464  0.570 -0.580  0.734 -0.696  0.856 -0.839  1.017 -0.980  1.131 -1.139  1.219 -1.282  1.348 -1.396
