2#tos#t1#t1002062/\"  -1.116 0.714  -1.008 0.714  -1.088 0.714  -1.116 0.634  -1.116 0.526  -1.116 0.418  -1.116 0.310  -1.116 0.202  -1.116 0.094  -1.116 -0.014  -1.116 -0.122  -1.116 -0.230  -1.062 -0.315  -0.989 -0.394  -0.941 -0.490  -0.892 -0.587  -0.818 -0.595  -0.726 -0.540  -0.633 -0.484  -0.540 -0.429  -0.448 -0.373  -0.355 -0.317  -0.263 -0.262  -0.170 -0.206  -0.077 -0.151  0.015 -0.095  0.108 -0.040  0.200 0.016  0.293 0.072  0.386 0.127  0.478 0.183  0.571 0.238  0.663 0.294  0.756 0.349  0.849 0.405  0.941 0.461  1.047 0.470  1.155 0.470  1.202 0.410  1.202 0.302  1.202 0.194  1.202 0.086  1.202 -0.022  1.202 -0.130  1.202 -0.238  1.202 -0.346  1.139 -0.415  1.042 -0.463  0.958 -0.520  0.958 -0.628
2#tos#t1#t1002062/`  0.977 1.482  0.904 1.410  0.832 1.338  0.761 1.265  0.761 1.163  0.761 1.060  0.678 1.009  0.587 0.963  0.495 0.917  0.404 0.872  0.312 0.826  0.221 0.780  0.129 0.734  0.038 0.688  -0.054 0.643  -0.145 0.597  -0.237 0.551  -0.328 0.505  -0.420 0.460  -0.511 0.414  -0.537 0.327  -0.537 0.225  -0.599 0.185  -0.701 0.185  -0.753 0.134  -0.753 0.032  -0.753 -0.070  -0.753 -0.173  -0.728 -0.260  -0.637 -0.306  -0.545 -0.351  -0.454 -0.397  -0.362 -0.443  -0.321 -0.519  -0.321 -0.622  -0.321 -0.724  -0.321 -0.826  -0.288 -0.896  -0.186 -0.896  -0.084 -0.896  0.019 -0.896  0.118 -0.903  0.191 -0.975  0.263 -1.048  0.335 -1.120  0.408 -1.192  0.480 -1.265  0.556 -1.329  0.658 -1.329  0.761 -1.329
2#tos#t1#t1002062/0  0.339 0.785  0.293 0.926  0.145 0.932  -0.007 0.932  -0.138 0.883  -0.290 0.883  -0.393 0.834  -0.490 0.723  -0.555 0.629  -0.681 0.545  -0.783 0.456  -0.796 0.306  -0.832 0.161  -0.866 0.013  -0.922 -0.127  -0.929 -0.276  -0.929 -0.428  -0.929 -0.579  -0.905 -0.725  -0.827 -0.855  -0.732 -0.972  -0.685 -1.104  -0.546 -1.116  -0.422 -1.184  -0.283 -1.214  -0.131 -1.214  0.008 -1.174  0.137 -1.095  0.273 -1.027  0.323 -0.910  0.459 -0.850  0.566 -0.742  0.658 -0.624  0.712 -0.483  0.730 -0.336  0.851 -0.262  0.875 -0.120  0.875 0.031  0.875 0.183  0.875 0.334  0.875 0.486  0.875 0.637  0.871 0.785  0.769 0.834  0.621 0.844  0.486 0.883  0.334 0.883  0.200 0.842  0.051 0.834  -0.003 0.834
2#tos#t1#t1002062/1  0.772 1.297  0.772 1.374  0.765 1.424  0.731 1.355  0.697 1.287  0.678 1.214  0.649 1.144  0.604 1.083  0.550 1.028  0.496 0.974  0.469 0.902  0.444 0.830  0.390 0.775  0.336 0.721  0.305 0.657  0.305 0.580  0.304 0.503  0.250 0.449  0.196 0.394  0.141 0.340  0.119 0.272  0.119 0.196  0.063 0.159  -0.010 0.135  -0.045 0.070  -0.074 -0.001  -0.102 -0.072  -0.114 -0.147  -0.114 -0.224  -0.167 -0.268  -0.236 -0.302  -0.301 -0.339  -0.301 -0.416  -0.305 -0.492  -0.324 -0.567  -0.342 -0.642  -0.381 -0.707  -0.427 -0.768  -0.473 -0.830  -0.487 -0.902  -0.487 -0.979  -0.506 -1.044  -0.575 -1.078  -0.580 -1.152  -0.580 -1.229  -0.607 -1.294  -0.627 -1.363  -0.627 -1.440  -0.690 -1.454  -0.674 -1.454
2#tos#t1#t1002062/4  -0.372 0.907  -0.372 1.103  -0.411 1.261  -0.520 1.209  -0.653 1.068  -0.682 0.880  -0.818 0.753  -0.876 0.570  -0.876 0.374  -0.890 0.181  -0.915 -0.010  -0.847 -0.160  -0.741 -0.263  -0.550 -0.295  -0.353 -0.295  -0.174 -0.350  0.016 -0.373  0.212 -0.373  0.407 -0.376  0.582 -0.450  0.743 -0.508  0.869 -0.586  0.908 -0.522  0.832 -0.404  0.837 -0.207  0.842 -0.011  0.847 0.185  0.852 0.381  0.857 0.578  0.862 0.774  0.867 0.970  0.803 1.101  0.675 1.033  0.577 0.867  0.520 0.684  0.454 0.509  0.404 0.330  0.268 0.190  0.162 0.026  0.098 -0.158  -0.019 -0.313  -0.126 -0.475  -0.213 -0.649  -0.335 -0.803  -0.423 -0.979  -0.511 -1.154  -0.589 -1.334  -0.708 -1.485  -0.760 -1.666  -0.760 -1.730
2#tos#t1#t1002062/5  0.366 1.303  0.432 1.419  0.289 1.323  0.179 1.178  0.113 1.012  0.089 0.833  -0.057 0.724  -0.177 0.587  -0.251 0.422  -0.294 0.246  -0.333 0.072  -0.333 -0.110  -0.301 -0.280  -0.161 -0.326  -0.049 -0.443  0.127 -0.481  0.249 -0.572  0.358 -0.699  0.482 -0.786  0.482 -0.969  0.363 -1.052  0.198 -1.119  0.043 -1.204  -0.061 -1.332  -0.196 -1.402  -0.369 -1.451  -0.552 -1.451  -0.713 -1.381  -0.759 -1.218  -0.746 -1.037  -0.715 -0.858  -0.635 -0.694  -0.554 -0.530  -0.474 -0.366  -0.394 -0.202  -0.313 -0.038  -0.233 0.126  -0.153 0.290  -0.072 0.454  0.008 0.618  0.089 0.782  0.169 0.947  0.162 0.988  0.123 0.954  0.306 0.954  0.488 0.954  0.671 0.954  0.854 0.954  1.036 0.954  1.219 0.954
2#tos#t1#t1002062/8  0.942 0.237  0.827 0.339  0.827 0.526  0.789 0.698  0.704 0.836  0.657 1.000  0.529 1.107  0.386 1.213  0.229 1.299  0.043 1.305  -0.144 1.305  -0.327 1.296  -0.448 1.191  -0.609 1.128  -0.622 0.946  -0.622 0.759  -0.583 0.593  -0.422 0.524  -0.329 0.364  -0.206 0.224  -0.087 0.081  0.013 -0.061  0.104 -0.221  0.179 -0.377  0.255 -0.541  0.255 -0.728  0.255 -0.915  0.198 -1.079  0.119 -1.233  0.016 -1.386  -0.132 -1.479  -0.319 -1.479  -0.497 -1.441  -0.584 -1.286  -0.660 -1.176  -0.775 -1.052  -0.813 -0.873  -0.813 -0.686  -0.728 -0.545  -0.574 -0.439  -0.448 -0.315  -0.298 -0.211  -0.131 -0.127  0.042 -0.068  0.205 0.017  0.387 0.047  0.551 0.123  0.729 0.161  0.907 0.199  1.018 0.199
2#tos#t1#t1002062/9  0.137 0.086  0.180 -0.056  0.208 -0.214  0.393 -0.214  0.477 -0.050  0.524 0.124  0.638 0.248  0.695 0.383  0.695 0.569  0.695 0.754  0.695 0.940  0.615 1.101  0.545 1.253  0.438 1.361  0.266 1.374  0.082 1.361  -0.096 1.319  -0.223 1.195  -0.294 1.024  -0.366 0.855  -0.421 0.686  -0.449 0.503  -0.464 0.319  -0.464 0.134  -0.456 -0.048  -0.335 -0.168  -0.169 -0.209  0.015 -0.214  0.200 -0.214  0.296 -0.069  0.446 0.020  0.561 0.160  0.695 0.215  0.595 0.129  0.461 0.066  0.368 -0.064  0.246 -0.182  0.087 -0.277  -0.029 -0.414  -0.173 -0.529  -0.292 -0.665  -0.436 -0.768  -0.505 -0.940  -0.611 -1.092  -0.731 -1.230  -0.809 -1.397  -0.877 -1.566  -0.936 -1.740  -1.052 -1.842  -1.065 -2.018
2#tos#t1#t1002062/A  -0.779 -0.667  -0.940 -0.818  -1.153 -0.901  -1.300 -1.042  -1.268 -0.968  -1.155 -0.772  -1.015 -0.609  -0.897 -0.422  -0.793 -0.222  -0.652 -0.052  -0.574 0.167  -0.460 0.369  -0.338 0.564  -0.190 0.728  -0.028 0.891  0.087 1.068  0.207 1.244  0.380 1.389  0.442 1.603  0.579 1.637  0.582 1.406  0.582 1.174  0.582 0.941  0.582 0.708  0.582 0.476  0.582 0.243  0.582 0.010  0.582 -0.223  0.582 -0.455  0.582 -0.688  0.629 -0.910  0.634 -1.140  0.676 -1.355  0.598 -1.266  0.492 -1.060  0.386 -0.853  0.279 -0.646  0.173 -0.439  0.066 -0.232  -0.040 -0.025  -0.147 0.182  -0.302 0.145  -0.527 0.089  -0.517 0.084  -0.292 0.131  -0.059 0.131  0.174 0.131  0.399 0.084  0.631 0.084  0.770 0.084
2#tos#t1#t1002062/C  0.794 0.653  0.713 0.614  0.601 0.622  0.601 0.742  0.601 0.862  0.592 0.980  0.562 1.093  0.506 1.169  0.395 1.206  0.285 1.232  0.180 1.197  0.069 1.160  -0.044 1.120  -0.114 1.032  -0.219 0.984  -0.286 0.886  -0.371 0.801  -0.404 0.695  -0.428 0.579  -0.501 0.490  -0.595 0.415  -0.635 0.314  -0.642 0.195  -0.665 0.078  -0.713 -0.025  -0.713 -0.145  -0.713 -0.265  -0.713 -0.385  -0.713 -0.505  -0.675 -0.619  -0.674 -0.739  -0.660 -0.857  -0.595 -0.933  -0.495 -0.999  -0.426 -1.086  -0.315 -1.125  -0.195 -1.125  -0.075 -1.125  0.015 -1.053  0.122 -1.001  0.231 -0.954  0.332 -0.892  0.446 -0.854  0.524 -0.812  0.584 -0.717  0.696 -0.700  0.798 -0.656  0.883 -0.572  0.983 -0.508  1.064 -0.468
2#tos#t1#t1002062/D  0.342 1.378  0.204 1.277  0.115 1.077  0.024 0.902  -0.068 0.727  -0.149 0.531  -0.210 0.319  -0.312 0.122  -0.340 -0.097  -0.451 -0.275  -0.542 -0.474  -0.599 -0.687  -0.691 -0.889  -0.753 -1.090  -0.825 -1.296  -0.746 -1.285  -0.664 -1.076  -0.583 -0.868  -0.501 -0.660  -0.420 -0.451  -0.338 -0.243  -0.257 -0.034  -0.175 0.174  -0.093 0.382  -0.012 0.591  0.070 0.799  0.151 1.008  0.233 1.216  0.135 1.302  0.320 1.302  0.529 1.266  0.695 1.145  0.793 0.982  0.908 0.858  0.937 0.641  0.946 0.419  0.934 0.207  0.870 0.047  0.765 -0.114  0.660 -0.288  0.568 -0.462  0.455 -0.572  0.266 -0.607  0.188 -0.774  0.013 -0.866  -0.122 -0.963  -0.304 -1.038  -0.451 -1.144  -0.651 -1.189  -0.866 -1.227
2#tos#t1#t1002062/E  -0.586 1.178  -0.804 1.178  -0.556 1.178  -0.314 1.211  -0.070 1.238  0.170 1.278  0.418 1.278  0.652 1.244  0.732 1.230  0.494 1.163  0.255 1.096  0.016 1.029  -0.223 0.962  -0.436 0.911  -0.511 0.693  -0.550 0.452  -0.585 0.212  -0.586 -0.036  -0.586 -0.285  -0.586 -0.533  -0.552 -0.773  -0.494 -0.991  -0.451 -1.051  -0.422 -0.805  -0.393 -0.558  -0.364 -0.312  -0.335 -0.065  -0.419 0.071  -0.532 -0.023  -0.312 0.043  -0.064 0.043  0.185 0.043  0.433 0.043  0.667 0.077  0.585 -0.075  0.423 -0.263  0.261 -0.451  0.099 -0.639  -0.063 -0.827  -0.236 -0.975  -0.444 -1.091  -0.226 -1.057  0.023 -1.057  0.251 -0.991  0.483 -0.924  0.715 -0.908  0.938 -0.857  1.086 -0.757  1.301 -0.791  1.516 -0.757
2#tos#t1#t1002062/G  0.541 0.787  0.464 0.941  0.363 1.093  0.273 1.256  0.121 1.363  0.002 1.475  -0.229 1.475  -0.439 1.437  -0.578 1.301  -0.682 1.131  -0.780 0.963  -0.878 0.806  -0.940 0.584  -1.026 0.377  -1.026 0.146  -0.990 -0.080  -0.949 -0.305  -0.887 -0.521  -0.782 -0.718  -0.656 -0.898  -0.436 -0.932  -0.206 -0.932  0.007 -0.855  0.159 -0.724  0.245 -0.550  0.383 -0.436  0.388 -0.210  0.352 -0.015  0.141 0.078  -0.077 0.138  -0.267 0.019  -0.353 -0.053  -0.138 -0.015  0.054 0.023  0.285 0.023  0.516 0.023  0.746 0.023  0.977 0.023  1.174 0.023  0.947 -0.016  0.723 -0.067  0.495 -0.092  0.388 -0.215  0.388 -0.446  0.388 -0.677  0.388 -0.907  0.369 -1.134  0.312 -1.354  0.342 -1.581  0.388 -1.773
2#tos#t1#t1002062/H  -0.659 1.155  -0.795 1.119  -0.823 0.973  -0.829 0.801  -0.850 0.630  -0.850 0.457  -0.877 0.288  -0.877 0.115  -0.905 -0.054  -0.905 -0.227  -0.905 -0.400  -0.903 -0.573  -0.877 -0.742  -0.877 -0.915  -0.823 -1.034  -0.775 -0.891  -0.737 -0.722  -0.698 -0.553  -0.659 -0.384  -0.621 -0.216  -0.582 -0.047  -0.724 -0.022  -0.639 -0.022  -0.470 0.005  -0.297 0.006  -0.124 0.006  0.049 0.006  0.218 0.033  0.364 0.061  0.509 0.033  0.639 0.086  0.711 0.243  0.782 0.401  0.854 0.559  0.926 0.716  0.997 0.874  0.963 0.964  0.929 0.825  0.929 0.652  0.929 0.479  0.929 0.306  0.929 0.132  0.929 -0.041  0.929 -0.214  0.929 -0.387  0.929 -0.560  0.929 -0.733  0.929 -0.907  0.929 -1.080  0.929 -1.198
2#tos#t1#t1002062/K  -0.337 2.054  -0.454 1.884  -0.428 1.676  -0.376 1.479  -0.376 1.260  -0.376 1.041  -0.415 0.839  -0.415 0.620  -0.415 0.401  -0.454 0.192  -0.454 -0.027  -0.454 -0.246  -0.454 -0.464  -0.454 -0.683  -0.415 -0.886  -0.376 -1.088  -0.376 -1.307  -0.298 -1.448  -0.294 -1.330  -0.222 -1.123  -0.150 -0.917  -0.078 -0.710  -0.005 -0.504  0.067 -0.297  0.139 -0.091  0.211 0.116  0.283 0.322  0.355 0.529  0.427 0.735  0.499 0.942  0.528 1.117  0.447 0.926  0.272 0.813  0.153 0.632  0.026 0.466  -0.121 0.325  -0.254 0.169  -0.337 -0.020  -0.180 0.044  -0.041 0.110  0.011 -0.086  0.068 -0.262  0.223 -0.379  0.344 -0.553  0.457 -0.731  0.600 -0.854  0.735 -1.008  0.902 -1.127  1.079 -1.207  1.185 -1.342
2#tos#t1#t1002062/L  -0.322 1.671  -0.363 1.671  -0.354 1.593  -0.354 1.506  -0.354 1.419  -0.354 1.331  -0.354 1.244  -0.354 1.157  -0.354 1.070  -0.354 0.982  -0.354 0.895  -0.354 0.808  -0.354 0.721  -0.354 0.633  -0.354 0.546  -0.354 0.459  -0.354 0.372  -0.354 0.285  -0.354 0.197  -0.354 0.110  -0.354 0.023  -0.354 -0.064  -0.354 -0.152  -0.354 -0.239  -0.363 -0.325  -0.386 -0.408  -0.386 -0.495  -0.386 -0.583  -0.386 -0.670  -0.344 -0.715  -0.257 -0.715  -0.202 -0.747  -0.115 -0.747  -0.028 -0.747  0.060 -0.747  0.147 -0.747  0.234 -0.747  0.321 -0.747  0.409 -0.747  0.496 -0.747  0.583 -0.747  0.670 -0.747  0.758 -0.747  0.845 -0.747  0.932 -0.747  1.006 -0.780  1.093 -0.780  1.180 -0.780  1.268 -0.780  1.323 -0.747
2#tos#t1#t1002062/O  0.310 1.008  0.156 1.008  0.044 1.049  -0.108 1.043  -0.231 0.955  -0.367 0.891  -0.451 0.776  -0.543 0.709  -0.625 0.589  -0.665 0.453  -0.766 0.360  -0.828 0.227  -0.828 0.074  -0.868 -0.070  -0.909 -0.214  -0.909 -0.367  -0.909 -0.521  -0.909 -0.674  -0.909 -0.827  -0.842 -0.955  -0.703 -0.992  -0.634 -1.120  -0.486 -1.145  -0.333 -1.145  -0.180 -1.145  -0.026 -1.145  0.110 -1.104  0.222 -1.037  0.350 -0.983  0.432 -0.880  0.510 -0.768  0.571 -0.649  0.675 -0.552  0.716 -0.439  0.790 -0.340  0.847 -0.233  0.878 -0.087  0.912 0.033  0.919 0.179  0.919 0.333  0.872 0.439  0.838 0.558  0.716 0.613  0.632 0.683  0.594 0.798  0.457 0.846  0.309 0.866  0.210 0.967  0.057 0.967  -0.015 0.967
2#tos#t1#t1002062/S  0.793 0.812  0.759 0.781  0.759 0.922  0.649 0.977  0.621 1.096  0.523 1.170  0.387 1.190  0.280 1.224  0.139 1.224  -0.002 1.224  -0.134 1.216  -0.249 1.190  -0.321 1.121  -0.427 1.035  -0.478 0.915  -0.546 0.803  -0.634 0.709  -0.684 0.592  -0.684 0.451  -0.674 0.312  -0.615 0.185  -0.502 0.154  -0.409 0.057  -0.277 0.024  -0.179 -0.047  -0.041 -0.059  0.095 -0.081  0.207 -0.150  0.280 -0.219  0.415 -0.224  0.458 -0.322  0.526 -0.411  0.553 -0.535  0.587 -0.662  0.587 -0.803  0.587 -0.944  0.518 -1.056  0.437 -1.138  0.312 -1.180  0.173 -1.184  0.073 -1.249  -0.068 -1.249  -0.209 -1.249  -0.306 -1.205  -0.409 -1.167  -0.478 -1.095  -0.541 -0.980  -0.588 -0.857  -0.615 -0.723  -0.649 -0.596
2#tos#t1#t1002062/V  -0.935 1.193  -1.068 1.193  -1.067 1.117  -0.971 1.040  -0.900 0.932  -0.865 0.807  -0.813 0.691  -0.761 0.569  -0.716 0.454  -0.657 0.339  -0.596 0.230  -0.553 0.109  -0.483 0.045  -0.483 -0.088  -0.449 -0.214  -0.406 -0.321  -0.355 -0.428  -0.310 -0.542  -0.246 -0.612  -0.240 -0.740  -0.139 -0.817  -0.136 -0.949  -0.117 -1.063  -0.067 -1.146  0.003 -1.210  0.037 -1.309  0.072 -1.273  0.107 -1.154  0.109 -1.021  0.159 -0.897  0.223 -0.807  0.246 -0.683  0.265 -0.553  0.280 -0.422  0.350 -0.331  0.395 -0.209  0.419 -0.081  0.471 0.014  0.515 0.137  0.558 0.233  0.612 0.345  0.634 0.468  0.732 0.548  0.811 0.648  0.867 0.766  0.940 0.856  1.009 0.947  1.113 0.976  1.154 1.089  1.252 1.124
