2#apb#apb25#app2572/k  -0.322 2.024  -0.297 1.957  -0.315 1.747  -0.322 1.537  -0.322 1.327  -0.338 1.117  -0.356 0.908  -0.386 0.700  -0.425 0.493  -0.465 0.286  -0.516 0.082  -0.569 -0.121  -0.619 -0.326  -0.665 -0.531  -0.724 -0.732  -0.794 -0.931  -0.835 -1.137  -0.877 -1.309  -0.706 -1.190  -0.548 -1.051  -0.394 -0.908  -0.239 -0.766  -0.084 -0.623  0.070 -0.481  0.225 -0.338  0.380 -0.196  0.534 -0.053  0.689 0.089  0.844 0.232  0.999 0.374  1.153 0.517  1.115 0.607  0.914 0.546  0.720 0.465  0.525 0.385  0.330 0.306  0.132 0.236  -0.062 0.155  -0.244 0.051  -0.417 -0.069  -0.475 -0.110  -0.277 -0.154  -0.091 -0.244  0.103 -0.322  0.284 -0.430  0.458 -0.549  0.636 -0.660  0.793 -0.798  0.886 -0.979  0.894 -1.134
2#apb#apb25#app2572/u  -0.591 1.151  -0.671 1.085  -0.787 1.031  -0.860 0.904  -0.906 0.766  -0.935 0.622  -0.963 0.478  -0.992 0.334  -1.021 0.190  -1.050 0.047  -1.054 -0.100  -1.054 -0.247  -1.054 -0.393  -1.027 -0.537  -0.988 -0.678  -0.938 -0.812  -0.816 -0.893  -0.682 -0.924  -0.536 -0.905  -0.407 -0.843  -0.285 -0.762  -0.163 -0.681  -0.058 -0.582  0.026 -0.461  0.110 -0.340  0.193 -0.220  0.285 -0.105  0.378 0.008  0.471 0.122  0.542 0.249  0.603 0.383  0.663 0.516  0.700 0.658  0.739 0.800  0.804 0.931  0.819 0.968  0.805 0.824  0.819 0.678  0.832 0.532  0.832 0.385  0.832 0.238  0.843 0.092  0.855 -0.055  0.861 -0.201  0.843 -0.346  0.832 -0.492  0.832 -0.639  0.808 -0.784  0.780 -0.928  0.732 -1.065
2#apb#apb25#app2572/r  -0.501 0.465  -0.589 0.436  -0.589 0.319  -0.589 0.202  -0.589 0.085  -0.589 -0.032  -0.589 -0.149  -0.574 -0.264  -0.549 -0.378  -0.523 -0.493  -0.499 -0.607  -0.482 -0.723  -0.466 -0.839  -0.449 -0.955  -0.433 -1.070  -0.416 -1.186  -0.454 -1.293  -0.447 -1.309  -0.440 -1.198  -0.421 -1.082  -0.413 -0.966  -0.413 -0.849  -0.413 -0.732  -0.413 -0.615  -0.394 -0.500  -0.371 -0.385  -0.348 -0.270  -0.325 -0.155  -0.278 -0.048  -0.231 0.059  -0.183 0.166  -0.128 0.268  -0.051 0.356  0.026 0.444  0.103 0.532  0.186 0.613  0.287 0.673  0.387 0.733  0.487 0.793  0.588 0.854  0.702 0.862  0.819 0.862  0.936 0.862  1.052 0.878  1.167 0.897  1.277 0.935  1.381 0.987  1.497 0.994  1.595 0.959  1.660 0.862
2#apb#apb25#app2572/n  -0.170 1.128  -0.256 1.003  -0.363 0.896  -0.423 0.756  -0.479 0.616  -0.494 0.465  -0.509 0.314  -0.532 0.164  -0.562 0.015  -0.592 -0.133  -0.646 -0.275  -0.703 -0.416  -0.754 -0.558  -0.783 -0.707  -0.813 -0.856  -0.873 -0.993  -0.940 -1.126  -0.917 -1.014  -0.858 -0.874  -0.806 -0.732  -0.764 -0.586  -0.712 -0.444  -0.652 -0.304  -0.592 -0.165  -0.532 -0.025  -0.453 0.103  -0.365 0.227  -0.278 0.352  -0.179 0.465  -0.071 0.572  0.036 0.680  0.155 0.771  0.291 0.839  0.429 0.897  0.580 0.897  0.705 0.831  0.808 0.720  0.892 0.594  0.965 0.462  1.019 0.320  1.070 0.177  1.114 0.032  1.157 -0.114  1.168 -0.262  1.152 -0.413  1.139 -0.564  1.139 -0.716  1.139 -0.867  1.091 -1.008  1.023 -1.143
2#apb#apb25#app2572/e  -0.289 0.005  -0.178 -0.078  -0.050 -0.111  0.089 -0.111  0.218 -0.152  0.346 -0.169  0.478 -0.125  0.587 -0.044  0.684 0.055  0.773 0.162  0.862 0.269  0.867 0.406  0.867 0.545  0.867 0.684  0.834 0.809  0.735 0.907  0.646 1.014  0.559 1.122  0.422 1.145  0.285 1.161  0.146 1.161  0.007 1.157  -0.123 1.108  -0.253 1.059  -0.354 0.970  -0.445 0.864  -0.531 0.756  -0.593 0.631  -0.655 0.507  -0.715 0.382  -0.742 0.246  -0.769 0.109  -0.790 -0.028  -0.790 -0.167  -0.790 -0.306  -0.790 -0.445  -0.729 -0.568  -0.661 -0.689  -0.594 -0.810  -0.520 -0.928  -0.446 -1.046  -0.352 -1.143  -0.231 -1.212  -0.108 -1.272  0.029 -1.297  0.166 -1.321  0.303 -1.341  0.439 -1.316  0.576 -1.292  0.713 -1.267
2#apb#apb25#app2572/y  -0.726 1.184  -0.721 1.074  -0.685 0.948  -0.635 0.823  -0.545 0.724  -0.455 0.624  -0.365 0.524  -0.276 0.424  -0.183 0.327  -0.088 0.232  0.004 0.135  0.082 0.026  0.198 -0.010  0.278 -0.030  0.367 0.071  0.456 0.171  0.545 0.272  0.634 0.372  0.723 0.472  0.812 0.573  0.901 0.673  0.990 0.774  1.079 0.874  1.059 0.878  0.959 0.795  0.870 0.695  0.780 0.596  0.689 0.497  0.599 0.398  0.513 0.295  0.427 0.192  0.341 0.089  0.255 -0.014  0.162 -0.111  0.070 -0.209  -0.022 -0.306  -0.115 -0.403  -0.203 -0.504  -0.290 -0.606  -0.377 -0.709  -0.464 -0.811  -0.547 -0.916  -0.621 -1.028  -0.696 -1.139  -0.770 -1.251  -0.852 -1.357  -0.938 -1.460  -1.025 -1.562  -1.113 -1.661  -1.085 -1.644
2#apb#apb25#app2572/s  0.768 1.024  0.768 1.121  0.694 1.173  0.598 1.192  0.503 1.209  0.406 1.193  0.310 1.177  0.213 1.172  0.116 1.168  0.021 1.149  -0.063 1.113  -0.117 1.032  -0.094 0.940  -0.064 0.848  -0.029 0.757  0.009 0.668  0.048 0.578  0.101 0.498  0.164 0.424  0.228 0.350  0.289 0.275  0.329 0.186  0.368 0.097  0.408 0.008  0.447 -0.081  0.485 -0.171  0.524 -0.260  0.536 -0.352  0.512 -0.446  0.462 -0.529  0.396 -0.599  0.317 -0.655  0.238 -0.712  0.157 -0.766  0.070 -0.809  -0.017 -0.853  -0.105 -0.896  -0.192 -0.940  -0.288 -0.942  -0.386 -0.942  -0.483 -0.942  -0.580 -0.947  -0.677 -0.957  -0.774 -0.967  -0.871 -0.976  -0.968 -0.971  -1.064 -0.959  -1.161 -0.947  -1.241 -0.900  -1.309 -0.831
2#apb#apb25#app2572/h  0.200 1.460  0.253 1.617  0.309 1.768  0.309 1.631  0.297 1.467  0.257 1.306  0.216 1.145  0.162 0.988  0.108 0.832  0.054 0.675  -0.005 0.520  -0.066 0.365  -0.127 0.211  -0.187 0.057  -0.259 -0.093  -0.333 -0.241  -0.407 -0.390  -0.483 -0.537  -0.577 -0.674  -0.671 -0.810  -0.775 -0.939  -0.887 -1.062  -0.985 -1.194  -0.986 -1.091  -0.914 -0.942  -0.843 -0.792  -0.771 -0.643  -0.700 -0.493  -0.628 -0.343  -0.556 -0.194  -0.485 -0.044  -0.413 0.106  -0.345 0.238  -0.190 0.261  -0.028 0.292  0.135 0.315  0.301 0.315  0.465 0.291  0.626 0.256  0.772 0.177  0.903 0.077  0.988 -0.058  1.018 -0.220  1.007 -0.383  0.943 -0.537  0.868 -0.684  0.777 -0.822  0.667 -0.945  0.549 -1.063  0.436 -1.176
2#apb#apb25#app2572/i  0.371 0.761  0.434 0.702  0.420 0.573  0.405 0.444  0.378 0.317  0.351 0.191  0.323 0.064  0.290 -0.061  0.232 -0.177  0.174 -0.293  0.116 -0.409  0.059 -0.524  -0.002 -0.639  -0.063 -0.753  -0.124 -0.868  -0.185 -0.982  -0.252 -1.093  -0.326 -1.199  -0.401 -1.305  -0.476 -1.411  -0.553 -1.515  -0.521 -1.440  -0.463 -1.324  -0.429 -1.199  -0.395 -1.074  -0.361 -0.949  -0.327 -0.824  -0.293 -0.699  -0.259 -0.574  -0.225 -0.449  -0.190 -0.324  -0.156 -0.199  -0.122 -0.074  -0.088 0.052  -0.054 0.177  -0.020 0.302  0.014 0.427  0.048 0.552  0.082 0.677  0.116 0.802  0.151 0.927  0.185 1.052  0.219 1.177  0.253 1.302  0.287 1.427  0.321 1.552  0.355 1.677  0.340 1.797  0.235 1.738  0.128 1.666
2#apb#apb25#app2572/d  0.568 0.223  0.373 0.223  0.178 0.223  -0.016 0.207  -0.203 0.156  -0.390 0.101  -0.582 0.072  -0.748 -0.025  -0.902 -0.144  -1.039 -0.280  -1.138 -0.449  -1.197 -0.632  -1.211 -0.824  -1.182 -1.016  -1.054 -1.154  -0.863 -1.177  -0.674 -1.156  -0.492 -1.085  -0.316 -1.004  -0.161 -0.886  -0.006 -0.767  0.086 -0.601  0.157 -0.420  0.229 -0.239  0.301 -0.057  0.373 0.124  0.445 0.305  0.516 0.487  0.588 0.668  0.660 0.849  0.732 1.030  0.804 1.212  0.875 1.393  0.925 1.578  0.780 1.545  0.662 1.392  0.566 1.222  0.504 1.038  0.450 0.851  0.395 0.664  0.341 0.476  0.296 0.287  0.250 0.097  0.192 -0.089  0.134 -0.275  0.077 -0.462  0.020 -0.648  -0.044 -0.832  -0.109 -1.015  -0.148 -1.186
2#apb#apb25#app2572/d  0.236 -0.159  0.106 -0.047  -0.076 -0.005  -0.254 0.054  -0.445 0.062  -0.628 0.050  -0.799 -0.036  -0.964 -0.128  -1.080 -0.278  -1.158 -0.453  -1.207 -0.637  -1.175 -0.823  -1.055 -0.962  -0.882 -1.037  -0.695 -1.053  -0.505 -1.039  -0.333 -0.960  -0.166 -0.870  -0.018 -0.749  0.108 -0.613  0.167 -0.431  0.225 -0.249  0.284 -0.068  0.343 0.114  0.402 0.296  0.460 0.478  0.519 0.659  0.578 0.841  0.636 1.023  0.695 1.204  0.754 1.386  0.813 1.568  0.797 1.682  0.687 1.527  0.602 1.356  0.534 1.178  0.477 0.996  0.431 0.811  0.382 0.626  0.330 0.442  0.281 0.258  0.234 0.073  0.193 -0.114  0.155 -0.301  0.116 -0.488  0.076 -0.675  0.035 -0.861  -0.010 -1.047  -0.060 -1.231  -0.144 -1.370
2#apb#apb25#app2572/e  -0.429 0.103  -0.361 0.134  -0.234 0.058  -0.097 -0.001  0.046 -0.028  0.195 -0.022  0.340 0.011  0.473 0.078  0.589 0.168  0.686 0.281  0.769 0.405  0.830 0.540  0.853 0.685  0.849 0.832  0.753 0.942  0.620 1.009  0.477 1.049  0.332 1.081  0.184 1.080  0.036 1.066  -0.107 1.035  -0.239 0.964  -0.370 0.894  -0.500 0.822  -0.617 0.729  -0.733 0.636  -0.841 0.535  -0.920 0.409  -0.996 0.281  -1.055 0.144  -1.058 0.007  -0.998 -0.129  -0.932 -0.263  -0.856 -0.391  -0.779 -0.518  -0.671 -0.617  -0.550 -0.705  -0.430 -0.793  -0.300 -0.865  -0.167 -0.932  -0.033 -0.998  0.104 -1.054  0.251 -1.078  0.398 -1.103  0.546 -1.113  0.695 -1.113  0.844 -1.113  0.990 -1.081  1.135 -1.048  1.280 -1.014
2#apb#apb25#app2572/n  -0.647 0.881  -0.705 0.764  -0.718 0.635  -0.755 0.510  -0.793 0.385  -0.808 0.255  -0.821 0.125  -0.826 -0.006  -0.826 -0.137  -0.833 -0.268  -0.844 -0.398  -0.857 -0.528  -0.886 -0.656  -0.914 -0.784  -0.886 -0.910  -0.891 -0.854  -0.855 -0.729  -0.809 -0.606  -0.762 -0.484  -0.709 -0.364  -0.656 -0.244  -0.591 -0.131  -0.524 -0.019  -0.453 0.091  -0.365 0.187  -0.276 0.284  -0.188 0.380  -0.092 0.468  0.014 0.545  0.120 0.622  0.233 0.683  0.360 0.715  0.487 0.747  0.613 0.740  0.737 0.699  0.852 0.641  0.950 0.555  1.049 0.469  1.090 0.346  1.128 0.221  1.155 0.093  1.173 -0.037  1.192 -0.166  1.204 -0.296  1.204 -0.427  1.203 -0.558  1.175 -0.685  1.146 -0.813  1.120 -0.941  1.085 -1.000
2#apb#apb25#app2572/b  -0.562 1.807  -0.444 1.758  -0.389 1.606  -0.373 1.445  -0.361 1.284  -0.352 1.122  -0.343 0.960  -0.343 0.798  -0.343 0.636  -0.356 0.476  -0.402 0.321  -0.449 0.165  -0.495 0.010  -0.534 -0.147  -0.573 -0.304  -0.624 -0.458  -0.703 -0.596  -0.659 -0.454  -0.593 -0.306  -0.513 -0.166  -0.420 -0.033  -0.303 0.076  -0.174 0.174  -0.041 0.265  0.109 0.326  0.259 0.388  0.414 0.420  0.576 0.420  0.735 0.445  0.890 0.491  1.035 0.424  1.103 0.279  1.092 0.122  1.062 -0.037  1.023 -0.195  0.974 -0.348  0.902 -0.493  0.822 -0.634  0.721 -0.760  0.615 -0.883  0.501 -0.997  0.353 -1.058  0.196 -1.094  0.035 -1.110  -0.127 -1.112  -0.289 -1.107  -0.450 -1.089  -0.605 -1.041  -0.740 -0.952  -0.854 -0.844
2#apb#apb25#app2572/y  -0.747 1.083  -0.704 0.962  -0.664 0.822  -0.608 0.689  -0.521 0.573  -0.414 0.474  -0.302 0.382  -0.201 0.278  -0.110 0.164  -0.012 0.057  0.089 -0.048  0.170 -0.169  0.196 -0.308  0.237 -0.194  0.333 -0.085  0.430 0.024  0.527 0.133  0.623 0.242  0.720 0.351  0.816 0.460  0.913 0.569  1.010 0.678  1.106 0.787  1.203 0.896  1.160 0.904  1.052 0.807  0.944 0.709  0.837 0.610  0.731 0.511  0.625 0.410  0.525 0.304  0.425 0.198  0.325 0.092  0.223 -0.012  0.118 -0.112  0.013 -0.213  -0.093 -0.314  -0.198 -0.414  -0.306 -0.512  -0.417 -0.606  -0.528 -0.700  -0.640 -0.794  -0.751 -0.888  -0.862 -0.983  -0.971 -1.079  -1.080 -1.176  -1.189 -1.272  -1.294 -1.373  -1.389 -1.482  -1.353 -1.432
2#apb#apb25#app2572/q  0.327 0.648  0.297 0.821  0.220 0.983  0.093 1.107  -0.078 1.148  -0.242 1.097  -0.397 1.005  -0.548 0.908  -0.659 0.769  -0.758 0.619  -0.844 0.461  -0.895 0.291  -0.893 0.114  -0.829 -0.051  -0.703 -0.175  -0.538 -0.234  -0.361 -0.240  -0.184 -0.205  -0.012 -0.153  0.157 -0.093  0.313 -0.003  0.468 0.088  0.621 0.182  0.670 0.346  0.698 0.524  0.727 0.702  0.755 0.879  0.784 1.057  0.749 1.060  0.662 0.903  0.576 0.746  0.500 0.582  0.434 0.415  0.369 0.247  0.304 0.080  0.239 -0.088  0.186 -0.260  0.134 -0.432  0.077 -0.603  0.017 -0.772  -0.056 -0.936  -0.123 -1.103  -0.185 -1.271  -0.274 -1.426  -0.278 -1.343  -0.420 -1.429  -0.443 -1.603  -0.387 -1.772  -0.223 -1.817  -0.048 -1.773
2#apb#apb25#app2572/u  -1.023 0.792  -1.023 0.850  -1.023 0.726  -1.049 0.608  -1.097 0.493  -1.144 0.379  -1.182 0.262  -1.202 0.139  -1.223 0.017  -1.240 -0.105  -1.251 -0.229  -1.262 -0.352  -1.206 -0.451  -1.108 -0.513  -0.984 -0.513  -0.860 -0.511  -0.739 -0.485  -0.618 -0.459  -0.497 -0.433  -0.381 -0.392  -0.269 -0.339  -0.156 -0.287  -0.044 -0.234  0.067 -0.179  0.176 -0.120  0.285 -0.061  0.394 -0.003  0.479 0.087  0.561 0.180  0.643 0.272  0.750 0.335  0.857 0.396  0.904 0.511  0.957 0.623  1.012 0.734  1.029 0.735  1.002 0.614  0.981 0.492  0.981 0.368  0.975 0.245  0.955 0.123  0.935 0.000  0.920 -0.122  0.920 -0.246  0.907 -0.368  0.868 -0.486  0.829 -0.603  0.786 -0.719  0.733 -0.831  0.677 -0.938
2#apb#apb25#app2572/i  0.298 0.653  0.378 0.761  0.450 0.772  0.510 0.652  0.510 0.518  0.478 0.389  0.436 0.262  0.393 0.135  0.351 0.008  0.298 -0.115  0.242 -0.237  0.186 -0.359  0.130 -0.481  0.070 -0.600  -0.002 -0.714  -0.074 -0.827  -0.146 -0.940  -0.216 -1.054  -0.266 -1.179  -0.315 -1.303  -0.365 -1.428  -0.432 -1.543  -0.465 -1.517  -0.432 -1.389  -0.380 -1.266  -0.333 -1.141  -0.310 -1.009  -0.287 -0.877  -0.264 -0.745  -0.241 -0.613  -0.218 -0.481  -0.195 -0.349  -0.172 -0.216  -0.149 -0.084  -0.126 0.048  -0.103 0.180  -0.080 0.312  -0.057 0.444  -0.034 0.576  -0.011 0.708  0.012 0.840  0.035 0.972  0.058 1.105  0.081 1.237  0.104 1.369  0.127 1.501  0.150 1.633  0.167 1.765  0.128 1.871  0.086 1.755
2#apb#apb25#app2572/e  -0.729 0.421  -0.620 0.333  -0.508 0.249  -0.388 0.177  -0.257 0.160  -0.118 0.179  0.022 0.187  0.162 0.187  0.275 0.267  0.380 0.360  0.479 0.459  0.550 0.577  0.595 0.708  0.575 0.846  0.558 0.985  0.535 1.118  0.441 1.214  0.308 1.258  0.176 1.251  0.047 1.198  -0.063 1.110  -0.171 1.022  -0.278 0.931  -0.384 0.839  -0.465 0.727  -0.535 0.606  -0.586 0.477  -0.613 0.340  -0.640 0.202  -0.651 0.063  -0.651 -0.077  -0.649 -0.217  -0.630 -0.356  -0.606 -0.494  -0.562 -0.627  -0.504 -0.753  -0.423 -0.867  -0.341 -0.981  -0.209 -1.026  -0.076 -1.071  0.055 -1.119  0.183 -1.176  0.311 -1.233  0.446 -1.256  0.586 -1.256  0.727 -1.256  0.865 -1.244  0.996 -1.196  1.128 -1.148  1.260 -1.100
2#apb#apb25#app2572/t  0.992 1.627  0.941 1.641  0.850 1.509  0.785 1.362  0.719 1.215  0.652 1.069  0.595 0.920  0.563 0.762  0.532 0.604  0.499 0.447  0.465 0.289  0.433 0.132  0.413 -0.028  0.394 -0.188  0.368 -0.346  0.333 -0.503  0.298 -0.660  0.260 -0.816  0.202 -0.966  0.144 -1.116  0.104 -1.272  0.062 -1.426  0.020 -1.447  0.001 -1.292  -0.093 -1.162  -0.188 -1.032  -0.282 -0.902  -0.377 -0.772  -0.471 -0.642  -0.566 -0.511  -0.660 -0.381  -0.755 -0.251  -0.849 -0.121  -0.944 0.009  -1.038 0.140  -1.133 0.270  -1.227 0.400  -1.105 0.318  -0.958 0.252  -0.800 0.238  -0.639 0.238  -0.478 0.238  -0.318 0.238  -0.157 0.238  0.004 0.238  0.165 0.238  0.324 0.254  0.482 0.286  0.640 0.317  0.797 0.349
2#apb#apb25#app2572/z  -1.027 1.053  -0.955 1.015  -0.731 1.015  -0.498 1.050  -0.266 1.088  -0.035 1.131  0.194 1.183  0.423 1.237  0.650 1.297  0.881 1.326  1.014 1.208  0.916 0.998  0.782 0.807  0.629 0.628  0.469 0.456  0.308 0.285  0.143 0.118  -0.024 -0.048  -0.186 -0.218  -0.346 -0.390  -0.506 -0.562  -0.666 -0.734  -0.823 -0.909  -0.928 -1.098  -0.707 -1.094  -0.477 -1.049  -0.242 -1.036  -0.009 -1.009  0.223 -0.972  0.457 -0.957  0.692 -0.943  0.926 -0.925  1.140 -0.982  0.948 -0.865  0.750 -0.738  0.552 -0.612  0.354 -0.485  0.156 -0.358  -0.042 -0.232  -0.240 -0.105  -0.438 0.022  -0.636 0.148  -0.834 0.275  -0.897 0.316  -0.714 0.168  -0.518 0.039  -0.311 -0.072  -0.082 -0.122  0.150 -0.160  0.383 -0.189
2#apb#apb25#app2572/e  -0.909 0.131  -0.798 0.052  -0.663 0.021  -0.520 0.007  -0.377 0.009  -0.234 0.025  -0.099 0.066  0.028 0.135  0.154 0.204  0.275 0.281  0.393 0.364  0.511 0.446  0.599 0.559  0.682 0.676  0.762 0.795  0.819 0.922  0.772 1.039  0.648 1.109  0.504 1.109  0.360 1.109  0.217 1.099  0.073 1.086  -0.065 1.057  -0.191 0.988  -0.317 0.919  -0.426 0.829  -0.512 0.714  -0.592 0.596  -0.641 0.461  -0.690 0.325  -0.699 0.187  -0.671 0.046  -0.642 -0.095  -0.614 -0.236  -0.586 -0.377  -0.517 -0.502  -0.443 -0.626  -0.363 -0.745  -0.268 -0.853  -0.174 -0.962  -0.058 -1.046  0.062 -1.126  0.182 -1.204  0.304 -1.280  0.431 -1.343  0.573 -1.369  0.714 -1.395  0.858 -1.402  1.001 -1.402  1.145 -1.402
2#apb#apb25#app2572/a  0.651 0.377  0.680 0.564  0.542 0.695  0.367 0.767  0.183 0.817  -0.005 0.842  -0.195 0.842  -0.383 0.817  -0.569 0.775  -0.744 0.707  -0.902 0.601  -1.046 0.477  -1.178 0.341  -1.235 0.159  -1.291 -0.024  -1.324 -0.211  -1.353 -0.399  -1.296 -0.571  -1.198 -0.734  -1.052 -0.852  -0.893 -0.955  -0.703 -0.971  -0.514 -0.981  -0.335 -0.914  -0.157 -0.847  0.016 -0.770  0.177 -0.668  0.334 -0.560  0.468 -0.425  0.603 -0.290  0.686 -0.120  0.735 0.063  0.770 0.250  0.805 0.438  0.785 0.627  0.766 0.817  0.748 1.007  0.690 0.997  0.636 0.814  0.587 0.631  0.573 0.441  0.560 0.251  0.558 0.060  0.558 -0.131  0.551 -0.321  0.522 -0.509  0.493 -0.697  0.464 -0.886  0.435 -1.074  0.434 -1.265
2#apb#apb25#app2572/l  0.203 1.647  0.160 1.645  0.144 1.576  0.129 1.506  0.116 1.436  0.112 1.365  0.107 1.295  0.102 1.224  0.097 1.153  0.096 1.082  0.096 1.011  0.096 0.939  0.096 0.868  0.096 0.797  0.096 0.726  0.093 0.655  0.090 0.584  0.088 0.513  0.085 0.442  0.082 0.371  0.079 0.300  0.076 0.229  0.069 0.158  0.057 0.088  0.045 0.018  0.034 -0.052  0.022 -0.122  0.010 -0.192  -0.001 -0.262  -0.014 -0.332  -0.028 -0.402  -0.043 -0.471  -0.057 -0.541  -0.072 -0.611  -0.086 -0.680  -0.101 -0.750  -0.115 -0.819  -0.127 -0.889  -0.138 -0.960  -0.149 -1.030  -0.160 -1.100  -0.171 -1.170  -0.182 -1.241  -0.189 -1.311  -0.196 -1.382  -0.203 -1.453  -0.203 -1.524  -0.154 -1.504  -0.114 -1.445  -0.075 -1.386
