2#apa#apa14#app1460/[  0.298 1.230  0.347 1.230  0.258 1.230  0.170 1.230  0.082 1.230  -0.007 1.230  -0.095 1.230  -0.182 1.228  -0.161 1.161  -0.113 1.202  -0.174 1.230  -0.125 1.173  -0.113 1.089  -0.113 1.001  -0.083 0.925  -0.045 0.853  -0.045 0.765  -0.078 0.684  -0.113 0.604  -0.113 0.516  -0.113 0.428  -0.083 0.346  -0.045 0.267  -0.045 0.179  -0.045 0.091  -0.045 0.002  -0.045 -0.086  -0.045 -0.174  -0.045 -0.263  -0.045 -0.351  -0.045 -0.439  -0.045 -0.528  -0.045 -0.616  -0.045 -0.704  -0.045 -0.792  -0.045 -0.881  -0.045 -0.969  -0.063 -1.050  -0.113 -1.117  -0.113 -1.206  -0.113 -1.294  -0.052 -1.306  -0.086 -1.306  0.002 -1.306  0.090 -1.306  0.179 -1.306  0.267 -1.306  0.355 -1.306  0.421 -1.361  0.503 -1.375
2#apa#apa14#app1460/k  -0.035 1.340  -0.154 1.516  -0.168 1.417  -0.239 1.203  -0.273 0.983  -0.273 0.758  -0.273 0.532  -0.273 0.306  -0.273 0.081  -0.273 -0.145  -0.273 -0.370  -0.273 -0.596  -0.284 -0.817  -0.393 -0.998  -0.393 -1.223  -0.393 -1.449  -0.425 -1.642  -0.506 -1.505  -0.432 -1.291  -0.358 -1.078  -0.284 -0.865  -0.210 -0.652  -0.137 -0.439  -0.063 -0.225  0.011 -0.012  0.085 0.201  0.158 0.414  0.232 0.627  0.306 0.840  0.380 1.054  0.454 1.267  0.527 1.480  0.507 1.470  0.406 1.268  0.310 1.064  0.239 0.850  0.141 0.649  0.016 0.461  -0.109 0.274  -0.235 0.086  -0.367 0.002  -0.196 -0.143  -0.008 -0.268  0.165 -0.411  0.325 -0.571  0.484 -0.730  0.614 -0.911  0.734 -1.099  0.800 -1.297  0.681 -1.404
2#apa#apa14#app1460/n  -0.934 0.861  -0.934 0.724  -0.934 0.587  -0.934 0.450  -0.934 0.312  -0.934 0.175  -0.895 0.044  -0.852 -0.086  -0.808 -0.216  -0.765 -0.347  -0.721 -0.477  -0.701 -0.611  -0.701 -0.748  -0.701 -0.653  -0.701 -0.516  -0.701 -0.379  -0.701 -0.241  -0.701 -0.104  -0.701 0.033  -0.698 0.170  -0.636 0.293  -0.575 0.415  -0.514 0.538  -0.432 0.629  -0.295 0.629  -0.157 0.629  -0.020 0.629  0.082 0.713  0.179 0.810  0.276 0.816  0.373 0.719  0.473 0.629  0.611 0.629  0.720 0.582  0.781 0.460  0.842 0.337  0.904 0.214  0.929 0.083  0.929 -0.055  0.929 -0.192  0.929 -0.329  0.929 -0.466  0.977 -0.584  1.074 -0.681  1.162 -0.782  1.162 -0.919  1.162 -1.056  1.162 -1.194  1.067 -1.235  0.929 -1.235
2#apa#apa14#app1460/o  0.614 0.505  0.544 0.645  0.474 0.786  0.404 0.926  0.301 1.014  0.144 1.014  -0.001 0.960  -0.141 0.890  -0.282 0.820  -0.418 0.744  -0.529 0.633  -0.640 0.522  -0.657 0.372  -0.657 0.215  -0.657 0.058  -0.725 -0.071  -0.836 -0.182  -0.912 -0.308  -0.912 -0.465  -0.912 -0.622  -0.912 -0.779  -0.912 -0.936  -0.848 -1.053  -0.707 -1.124  -0.567 -1.194  -0.426 -1.264  -0.272 -1.276  -0.115 -1.276  0.042 -1.276  0.147 -1.192  0.218 -1.052  0.288 -0.911  0.358 -0.771  0.468 -0.659  0.579 -0.548  0.690 -0.437  0.801 -0.326  0.869 -0.197  0.869 -0.040  0.869 0.117  0.858 0.272  0.788 0.412  0.718 0.553  0.647 0.693  0.556 0.818  0.445 0.929  0.322 1.014  0.165 1.014  0.008 1.014  -0.149 1.014
2#apa#apa14#app1460/w  -0.830 0.833  -0.953 0.956  -1.025 0.957  -1.025 0.784  -1.025 0.611  -1.025 0.438  -1.025 0.264  -1.025 0.091  -0.982 -0.075  -0.928 -0.240  -0.873 -0.404  -0.830 -0.571  -0.830 -0.744  -0.830 -0.917  -0.830 -1.091  -0.683 -1.117  -0.635 -0.991  -0.603 -0.823  -0.548 -0.659  -0.493 -0.495  -0.435 -0.332  -0.313 -0.209  -0.190 -0.087  -0.068 0.036  0.055 0.158  0.145 0.295  0.145 0.468  0.145 0.641  0.145 0.814  0.299 0.833  0.340 0.701  0.340 0.527  0.340 0.354  0.361 0.184  0.416 0.020  0.471 -0.145  0.526 -0.309  0.637 -0.439  0.759 -0.561  0.882 -0.684  0.960 -0.620  1.015 -0.455  1.070 -0.291  1.131 -0.130  1.254 -0.008  1.315 0.140  1.315 0.313  1.315 0.487  1.315 0.660  1.315 0.833
2#apa#apa14#app1460/w  -0.928 0.969  -0.928 0.815  -0.928 0.661  -0.928 0.507  -0.928 0.353  -0.928 0.199  -0.928 0.045  -0.928 -0.109  -0.928 -0.263  -0.928 -0.417  -0.901 -0.567  -0.852 -0.713  -0.804 -0.859  -0.783 -1.010  -0.686 -1.067  -0.590 -0.973  -0.521 -0.835  -0.492 -0.688  -0.468 -0.537  -0.431 -0.388  -0.393 -0.238  -0.356 -0.089  -0.296 0.052  -0.227 0.190  -0.201 0.338  -0.096 0.387  -0.055 0.274  0.031 0.156  0.090 0.026  0.090 -0.128  0.090 -0.282  0.158 -0.408  0.275 -0.505  0.413 -0.574  0.546 -0.612  0.655 -0.503  0.764 -0.394  0.873 -0.285  0.975 -0.171  1.044 -0.033  1.111 0.105  1.148 0.255  1.186 0.404  1.223 0.554  1.254 0.704  1.239 0.855  1.170 0.992  1.101 1.130  1.032 1.268  0.963 1.406
2#apa#apa14#app1460/h  -0.225 1.635  -0.318 1.729  -0.389 1.768  -0.389 1.636  -0.389 1.503  -0.413 1.374  -0.446 1.246  -0.478 1.117  -0.510 0.989  -0.542 0.860  -0.542 0.730  -0.523 0.599  -0.505 0.469  -0.486 0.338  -0.467 0.207  -0.448 0.076  -0.430 -0.055  -0.411 -0.186  -0.392 -0.317  -0.389 -0.449  -0.389 -0.582  -0.389 -0.714  -0.389 -0.846  -0.389 -0.979  -0.389 -0.882  -0.389 -0.750  -0.354 -0.632  -0.260 -0.539  -0.199 -0.425  -0.157 -0.300  -0.115 -0.174  -0.073 -0.049  0.021 0.031  0.140 0.090  0.258 0.149  0.389 0.155  0.495 0.093  0.589 -0.001  0.683 -0.094  0.762 -0.194  0.762 -0.326  0.800 -0.452  0.842 -0.578  0.884 -0.703  0.926 -0.829  0.927 -0.961  0.927 -1.093  0.927 -1.226  0.927 -1.294  0.927 -1.161
2#apa#apa14#app1460/a  0.631 0.354  0.509 0.477  0.427 0.616  0.427 0.789  0.427 0.962  0.351 1.117  0.274 1.272  0.162 1.372  -0.011 1.372  -0.184 1.371  -0.306 1.249  -0.428 1.127  -0.551 1.004  -0.673 0.882  -0.794 0.759  -0.836 0.591  -0.878 0.423  -0.920 0.255  -0.962 0.087  -0.988 -0.080  -0.933 -0.245  -0.879 -0.409  -0.824 -0.573  -0.794 -0.741  -0.747 -0.867  -0.574 -0.867  -0.400 -0.867  -0.298 -0.734  -0.202 -0.590  -0.106 -0.446  -0.010 -0.302  0.020 -0.139  0.059 0.025  0.137 0.180  0.214 0.335  0.224 0.203  0.224 0.030  0.224 -0.144  0.266 -0.299  0.389 -0.421  0.427 -0.579  0.427 -0.752  0.479 -0.893  0.634 -0.970  0.789 -1.048  0.956 -1.071  1.129 -1.071  1.242 -1.010  1.211 -0.867  1.038 -0.867
2#apa#apa14#app1460/t  0.087 1.869  0.087 1.699  0.087 1.529  0.087 1.359  0.087 1.189  0.087 1.019  0.087 0.849  0.087 0.679  0.087 0.509  0.087 0.339  0.087 0.169  0.087 -0.001  0.086 -0.171  0.010 -0.323  -0.049 -0.479  -0.049 -0.649  -0.049 -0.819  -0.049 -0.989  -0.049 -1.159  -0.049 -1.329  0.028 -1.468  0.165 -1.488  0.317 -1.412  0.482 -1.391  0.635 -1.321  0.750 -1.238  0.629 -1.118  0.509 -0.998  0.389 -0.878  0.269 -0.757  0.148 -0.637  0.028 -0.517  -0.092 -0.397  -0.212 -0.276  -0.332 -0.156  -0.453 -0.036  -0.573 0.084  -0.693 0.204  -0.813 0.325  -0.864 0.474  -0.864 0.644  -0.696 0.647  -0.528 0.663  -0.363 0.704  -0.198 0.745  -0.033 0.786  0.131 0.828  0.296 0.869  0.461 0.910  0.630 0.918
2#apa#apa14#app1460/!  -0.121 1.308  -0.121 1.380  -0.121 1.452  -0.121 1.524  -0.121 1.472  -0.114 1.401  -0.092 1.333  -0.069 1.265  -0.046 1.197  -0.023 1.129  -0.008 1.059  -0.008 0.987  -0.008 0.915  -0.008 0.844  -0.008 0.772  -0.008 0.700  -0.008 0.628  -0.008 0.556  -0.008 0.484  -0.008 0.413  -0.008 0.341  -0.008 0.269  -0.008 0.197  -0.008 0.125  -0.008 0.053  -0.008 -0.018  -0.008 -0.090  -0.008 -0.162  -0.008 -0.234  -0.008 -0.306  -0.008 -0.378  -0.008 -0.450  -0.006 -0.521  0.001 -0.593  0.009 -0.664  0.016 -0.736  0.023 -0.807  0.030 -0.879  0.037 -0.950  0.044 -1.022  0.051 -1.093  0.059 -1.165  0.066 -1.236  0.073 -1.308  0.080 -1.379  0.087 -1.451  0.094 -1.522  0.102 -1.593  0.146 -1.624  0.217 -1.624
2#apa#apa14#app1460/}  -0.363 1.428  -0.348 1.507  -0.254 1.507  -0.160 1.507  -0.066 1.507  0.007 1.455  0.059 1.377  0.101 1.293  0.113 1.202  0.113 1.108  0.113 1.014  0.113 0.920  0.092 0.830  0.050 0.746  0.007 0.662  -0.035 0.578  -0.046 0.486  -0.046 0.392  -0.046 0.298  -0.046 0.204  0.004 0.159  0.098 0.159  0.113 0.238  0.098 0.159  0.034 0.130  -0.011 0.080  -0.088 0.038  -0.125 -0.041  -0.125 -0.135  -0.125 -0.229  -0.119 -0.320  -0.035 -0.362  0.034 -0.413  0.034 -0.508  0.067 -0.588  0.113 -0.663  0.127 -0.755  0.157 -0.844  0.186 -0.934  0.192 -1.027  0.192 -1.121  0.174 -1.207  0.113 -1.276  0.113 -1.370  0.086 -1.454  0.014 -1.506  -0.080 -1.506  -0.125 -1.556  -0.189 -1.585  -0.284 -1.585
2#apa#apa14#app1460/]  -0.277 1.456  -0.265 1.394  -0.197 1.376  -0.141 1.331  -0.066 1.331  0.004 1.315  0.071 1.281  0.143 1.269  0.115 1.227  0.096 1.160  0.054 1.103  0.034 1.036  0.034 0.962  0.034 0.887  0.034 0.812  0.034 0.738  0.034 0.663  0.034 0.588  0.034 0.513  0.034 0.439  0.034 0.364  0.034 0.289  0.034 0.214  0.034 0.140  0.034 0.065  0.034 -0.010  0.034 -0.085  0.034 -0.159  0.034 -0.234  0.034 -0.309  0.034 -0.384  0.034 -0.458  0.034 -0.533  0.034 -0.608  0.034 -0.682  0.034 -0.757  0.034 -0.832  0.034 -0.907  0.034 -0.981  0.034 -1.056  0.034 -1.131  0.034 -1.206  0.034 -1.280  0.034 -1.355  0.034 -1.430  -0.004 -1.467  -0.064 -1.502  -0.128 -1.529  -0.203 -1.529  -0.277 -1.529
2#apa#apa14#app1460/.  1.600 0.548  1.512 0.548  1.425 0.548  1.337 0.548  1.249 0.548  1.161 0.548  1.074 0.548  0.986 0.548  0.899 0.548  0.811 0.548  0.723 0.548  0.636 0.548  0.548 0.548  0.460 0.548  0.373 0.548  0.285 0.548  0.197 0.548  0.110 0.548  0.022 0.548  -0.066 0.548  -0.153 0.548  -0.241 0.548  -0.329 0.548  -0.416 0.548  -0.504 0.548  -0.548 0.504  -0.548 0.416  -0.548 0.329  -0.548 0.241  -0.548 0.153  -0.548 0.066  -0.548 -0.022  -0.548 -0.110  -0.548 -0.197  -0.548 -0.285  -0.548 -0.373  -0.548 -0.460  -0.548 -0.548  -0.548 -0.636  -0.548 -0.723  -0.548 -0.811  -0.548 -0.899  -0.548 -0.986  -0.548 -1.074  -0.548 -1.162  -0.548 -1.249  -0.548 -1.337  -0.548 -1.425  -0.548 -1.512  -0.548 -1.600
