3#app#app37#app3781/B  -0.319 1.287  -0.525 1.163  -0.465 0.918  -0.422 0.666  -0.422 0.397  -0.422 0.127  -0.422 -0.143  -0.386 -0.398  -0.240 -0.621  -0.216 -0.885  -0.216 -1.155  -0.216 -1.425  -0.113 -1.592  -0.113 -1.333  -0.173 -1.071  -0.246 -0.811  -0.318 -0.551  -0.390 -0.292  -0.462 -0.032  -0.534 0.228  -0.607 0.488  -0.701 0.494  -0.553 0.716  -0.379 0.918  -0.188 1.109  0.003 1.300  0.224 1.418  0.462 1.493  0.505 1.266  0.375 1.104  0.279 0.855  0.093 0.662  0.043 0.413  -0.148 0.222  -0.216 -0.019  -0.185 -0.052  -0.046 0.118  0.166 0.257  0.393 0.360  0.663 0.360  0.898 0.276  0.917 0.014  0.917 -0.255  0.917 -0.525  0.861 -0.782  0.698 -0.992  0.568 -1.185  0.432 -1.361  0.241 -1.552  -0.010 -1.597
3#app#app37#app3781/t  -0.207 1.986  -0.207 1.746  -0.207 1.507  -0.207 1.267  -0.287 1.046  -0.363 0.825  -0.363 0.585  -0.363 0.345  -0.363 0.106  -0.363 -0.134  -0.363 -0.374  -0.363 -0.613  -0.363 -0.853  -0.363 -1.093  -0.318 -1.288  -0.079 -1.288  0.161 -1.288  0.360 -1.189  0.488 -0.989  0.595 -0.775  0.702 -0.561  0.902 -0.491  1.040 -0.308  1.168 -0.196  1.252 -0.041  1.352 0.099  1.287 0.252  1.057 0.185  0.827 0.117  0.597 0.049  0.367 -0.018  0.137 -0.086  -0.093 -0.154  -0.322 -0.221  -0.552 -0.289  -0.782 -0.356  -1.012 -0.424  -1.242 -0.492  -1.281 -0.335  -1.098 -0.196  -0.896 -0.106  -0.684 -0.041  -0.512 0.123  -0.333 0.271  -0.207 0.385  -0.010 0.427  0.193 0.516  0.261 0.727  0.489 0.739  0.572 0.895
3#app#app37#app3781/h  -0.350 2.035  -0.350 1.862  -0.350 1.690  -0.350 1.517  -0.350 1.344  -0.350 1.172  -0.350 0.999  -0.350 0.826  -0.350 0.654  -0.350 0.481  -0.350 0.308  -0.350 0.136  -0.350 -0.037  -0.350 -0.210  -0.350 -0.382  -0.350 -0.555  -0.350 -0.727  -0.354 -0.898  -0.476 -1.021  -0.489 -1.188  -0.489 -1.360  -0.489 -1.372  -0.375 -1.313  -0.350 -1.166  -0.350 -0.993  -0.326 -0.824  -0.272 -0.661  -0.217 -0.497  -0.202 -0.329  -0.080 -0.207  -0.071 -0.038  -0.033 0.119  0.069 0.250  0.112 0.404  0.208 0.537  0.258 0.689  0.393 0.779  0.566 0.779  0.627 0.668  0.631 0.497  0.753 0.375  0.766 0.208  0.766 0.035  0.766 -0.138  0.766 -0.310  0.766 -0.483  0.766 -0.655  0.766 -0.828  0.766 -1.001  0.766 -1.173
3#app#app37#app3781/a  0.307 1.519  0.111 1.495  -0.035 1.348  -0.209 1.315  -0.256 1.128  -0.381 0.973  -0.381 0.767  -0.451 0.589  -0.553 0.425  -0.553 0.218  -0.645 0.050  -0.726 -0.123  -0.783 -0.317  -0.875 -0.501  -0.898 -0.702  -0.898 -0.909  -0.898 -1.115  -0.811 -1.235  -0.605 -1.235  -0.398 -1.235  -0.247 -1.101  -0.101 -0.955  -0.037 -0.775  -0.037 -0.569  -0.031 -0.364  0.061 -0.179  0.135 0.010  0.135 0.217  0.212 0.391  0.307 0.558  0.307 0.765  0.307 0.971  0.307 1.178  0.307 1.309  0.307 1.102  0.307 0.896  0.307 0.689  0.307 0.483  0.307 0.276  0.307 0.070  0.307 -0.137  0.307 -0.343  0.431 -0.498  0.479 -0.685  0.480 -0.891  0.652 -0.926  0.721 -1.063  0.927 -1.063  0.996 -0.926  1.168 -0.891
3#app#app37#app3781/t  0.228 2.019  0.228 1.853  0.228 1.687  0.228 1.521  0.228 1.355  0.228 1.189  0.228 1.023  0.209 0.861  0.135 0.713  0.068 0.563  0.068 0.397  0.068 0.231  0.068 0.064  0.068 -0.102  0.099 -0.254  0.217 -0.372  0.228 -0.533  0.228 -0.699  0.228 -0.865  0.228 -1.032  0.228 -1.198  0.228 -1.364  0.228 -1.478  0.196 -1.344  0.068 -1.306  0.068 -1.140  0.022 -1.004  -0.131 -0.938  -0.283 -0.873  -0.436 -0.808  -0.589 -0.742  -0.741 -0.677  -0.894 -0.611  -1.046 -0.546  -0.941 -0.431  -0.795 -0.383  -0.660 -0.309  -0.542 -0.192  -0.425 -0.074  -0.307 0.043  -0.213 0.177  -0.139 0.326  -0.030 0.418  0.129 0.449  0.278 0.523  0.418 0.608  0.535 0.726  0.696 0.738  0.708 0.892  0.868 0.898
3#app#app37#app3781/d  0.097 0.334  -0.082 0.394  -0.260 0.452  -0.377 0.366  -0.496 0.281  -0.504 0.080  -0.595 -0.102  -0.644 -0.288  -0.732 -0.454  -0.732 -0.657  -0.732 -0.860  -0.732 -1.064  -0.843 -1.214  -0.732 -1.372  -0.601 -1.443  -0.397 -1.443  -0.252 -1.311  -0.161 -1.129  -0.029 -0.977  0.064 -0.797  0.189 -0.640  0.263 -0.495  0.334 -0.363  0.334 -0.160  0.334 0.043  0.334 0.246  0.334 0.450  0.334 0.653  0.334 0.856  0.334 1.059  0.334 1.262  0.334 1.465  0.334 1.668  0.334 1.871  0.334 1.673  0.334 1.470  0.334 1.267  0.334 1.064  0.334 0.861  0.311 0.667  0.215 0.504  0.215 0.301  0.215 0.097  0.215 -0.106  0.215 -0.309  0.215 -0.512  0.215 -0.715  0.215 -0.918  0.249 -1.088  0.334 -0.969
3#app#app37#app3781/i  -0.040 0.968  -0.040 0.833  -0.040 0.698  -0.040 0.564  -0.040 0.429  -0.040 0.294  -0.040 0.160  -0.040 0.025  -0.040 -0.110  -0.040 -0.244  -0.040 -0.379  -0.040 -0.514  -0.040 -0.648  -0.040 -0.783  -0.040 -0.918  -0.040 -1.052  -0.040 -1.187  -0.040 -1.322  -0.040 -1.457  -0.040 -1.591  -0.040 -1.677  -0.040 -1.543  -0.040 -1.408  -0.040 -1.273  -0.040 -1.139  -0.040 -1.004  -0.037 -0.869  -0.029 -0.735  -0.022 -0.600  -0.014 -0.466  -0.006 -0.331  0.002 -0.197  0.010 -0.062  0.018 0.072  0.026 0.206  0.034 0.341  0.042 0.475  0.050 0.610  0.058 0.744  0.065 0.879  0.073 1.013  0.081 1.148  0.089 1.282  0.097 1.417  0.105 1.551  0.113 1.685  0.117 1.686  0.117 1.551  0.095 1.439  -0.040 1.439
3#app#app37#app3781/s  0.452 1.460  0.364 1.373  0.267 1.309  0.144 1.309  0.020 1.309  -0.001 1.206  -0.076 1.158  -0.186 1.124  -0.273 1.037  -0.360 0.949  -0.448 0.862  -0.535 0.775  -0.630 0.706  -0.754 0.706  -0.755 0.583  -0.755 0.460  -0.755 0.336  -0.714 0.254  -0.590 0.254  -0.467 0.254  -0.343 0.254  -0.220 0.254  -0.096 0.254  0.019 0.234  0.106 0.146  0.212 0.103  0.325 0.078  0.413 -0.009  0.520 -0.048  0.603 -0.089  0.612 -0.209  0.700 -0.296  0.753 -0.397  0.753 -0.521  0.753 -0.644  0.753 -0.768  0.690 -0.865  0.603 -0.953  0.515 -1.040  0.418 -1.104  0.295 -1.104  0.171 -1.104  0.048 -1.104  -0.054 -1.157  -0.141 -1.244  -0.260 -1.254  -0.384 -1.254  -0.508 -1.254  -0.604 -1.227  -0.604 -1.104
3#app#app37#app3781/a  0.429 0.854  0.281 1.001  0.133 1.149  -0.071 1.162  -0.188 1.070  -0.335 1.008  -0.497 0.961  -0.569 0.781  -0.651 0.606  -0.756 0.440  -0.805 0.252  -0.892 0.063  -0.959 -0.130  -0.959 -0.340  -0.959 -0.549  -0.959 -0.758  -0.872 -0.931  -0.805 -1.113  -0.790 -1.307  -0.581 -1.307  -0.372 -1.307  -0.215 -1.179  -0.171 -0.998  -0.034 -0.927  0.023 -0.731  0.116 -0.544  0.141 -0.340  0.235 -0.153  0.275 0.047  0.398 0.205  0.440 0.391  0.584 0.456  0.584 0.665  0.584 0.874  0.584 1.084  0.584 1.293  0.561 1.140  0.429 0.986  0.429 0.776  0.429 0.567  0.429 0.358  0.429 0.149  0.429 -0.060  0.429 -0.270  0.429 -0.479  0.429 -0.688  0.467 -0.882  0.584 -1.043  0.683 -1.152  0.892 -1.152
3#app#app37#app3781/s  0.347 1.402  0.220 1.402  0.094 1.402  -0.032 1.402  -0.096 1.340  -0.137 1.254  -0.244 1.235  -0.244 1.109  -0.332 1.019  -0.421 0.929  -0.510 0.840  -0.599 0.751  -0.689 0.661  -0.778 0.572  -0.834 0.469  -0.834 0.343  -0.834 0.217  -0.834 0.091  -0.726 0.073  -0.600 0.073  -0.473 0.073  -0.347 0.073  -0.221 0.073  -0.095 0.073  0.032 0.073  0.158 0.073  0.284 0.073  0.347 0.009  0.389 -0.075  0.515 -0.075  0.641 -0.075  0.768 -0.075  0.790 -0.179  0.790 -0.305  0.790 -0.432  0.790 -0.558  0.790 -0.684  0.790 -0.810  0.702 -0.900  0.613 -0.990  0.524 -1.079  0.410 -1.108  0.283 -1.108  0.169 -1.138  0.080 -1.227  -0.034 -1.256  -0.160 -1.256  -0.287 -1.256  -0.413 -1.256  -0.539 -1.256
3#app#app37#app3781/t  0.050 2.077  0.050 1.923  0.050 1.769  0.050 1.616  0.050 1.462  0.050 1.308  0.050 1.154  0.050 1.001  0.050 0.847  0.050 0.693  0.050 0.539  0.050 0.386  0.050 0.232  0.037 0.081  -0.032 -0.056  -0.060 -0.204  -0.060 -0.357  -0.060 -0.511  -0.060 -0.665  -0.060 -0.818  -0.060 -0.972  -0.060 -1.126  -0.060 -1.280  -0.060 -1.433  -0.060 -1.587  -0.060 -1.549  -0.060 -1.395  -0.060 -1.242  -0.066 -1.090  -0.166 -0.973  -0.266 -0.857  -0.366 -0.740  -0.466 -0.623  -0.566 -0.507  -0.667 -0.390  -0.640 -0.331  -0.521 -0.246  -0.388 -0.211  -0.349 -0.074  -0.241 0.035  -0.122 0.130  0.015 0.199  0.153 0.268  0.286 0.343  0.401 0.435  0.548 0.465  0.686 0.534  0.837 0.544  0.991 0.544  1.035 0.654
3#app#app37#app3781/e  -0.845 -0.235  -0.669 -0.235  -0.519 -0.173  -0.394 -0.049  -0.270 0.075  -0.146 0.200  -0.021 0.324  0.082 0.457  0.156 0.559  0.297 0.642  0.421 0.767  0.546 0.891  0.695 0.957  0.744 1.083  0.744 1.259  0.662 1.354  0.486 1.354  0.443 1.221  0.290 1.165  0.214 1.021  0.103 0.957  -0.028 0.847  -0.152 0.723  -0.277 0.598  -0.436 0.559  -0.521 0.412  -0.580 0.250  -0.580 0.074  -0.673 -0.063  -0.766 -0.210  -0.845 -0.367  -0.845 -0.543  -0.845 -0.719  -0.845 -0.895  -0.815 -1.059  -0.682 -1.161  -0.506 -1.161  -0.330 -1.161  -0.155 -1.161  0.021 -1.161  0.197 -1.161  0.326 -1.049  0.494 -1.029  0.653 -0.988  0.791 -0.897  0.876 -0.806  0.876 -0.630  0.876 -0.454  0.876 -0.278  0.876 -0.102
3#app#app37#app3781/r  -0.130 1.206  -0.130 1.060  -0.130 0.914  -0.130 0.768  -0.130 0.623  -0.130 0.477  -0.212 0.365  -0.282 0.248  -0.282 0.102  -0.282 -0.044  -0.282 -0.189  -0.282 -0.335  -0.282 -0.481  -0.282 -0.627  -0.282 -0.773  -0.282 -0.919  -0.282 -1.064  -0.282 -1.210  -0.282 -1.356  -0.282 -1.502  -0.282 -1.648  -0.282 -1.563  -0.282 -1.417  -0.282 -1.271  -0.282 -1.126  -0.282 -0.980  -0.282 -0.834  -0.282 -0.688  -0.282 -0.542  -0.282 -0.396  -0.282 -0.251  -0.282 -0.105  -0.282 0.041  -0.282 0.187  -0.245 0.295  -0.108 0.317  -0.005 0.421  0.021 0.555  0.094 0.671  0.197 0.774  0.300 0.877  0.436 0.902  0.582 0.902  0.727 0.902  0.846 0.968  0.956 1.054  1.084 1.072  1.096 1.206  1.242 1.206  1.388 1.206
3#app#app37#app3781/s  0.764 1.133  0.644 1.163  0.525 1.193  0.406 1.223  0.287 1.253  0.166 1.273  0.043 1.273  -0.080 1.273  -0.203 1.273  -0.325 1.273  -0.350 1.174  -0.350 1.051  -0.350 0.929  -0.301 0.855  -0.188 0.832  -0.101 0.745  -0.072 0.634  -0.025 0.530  0.062 0.443  0.119 0.335  0.174 0.225  0.207 0.110  0.230 -0.004  0.317 -0.090  0.404 -0.177  0.491 -0.264  0.577 -0.351  0.624 -0.455  0.624 -0.578  0.624 -0.701  0.617 -0.816  0.494 -0.816  0.485 -0.930  0.387 -0.955  0.264 -0.955  0.141 -0.955  0.068 -1.004  0.035 -1.094  -0.088 -1.094  -0.211 -1.094  -0.298 -1.007  -0.399 -0.955  -0.512 -0.932  -0.599 -0.845  -0.710 -0.816  -0.768 -0.751  -0.817 -0.677  -0.940 -0.677  -1.046 -0.660  -1.046 -0.537
3#app#app37#app3781/t  -0.090 2.162  -0.090 2.031  -0.090 1.900  -0.090 1.769  -0.090 1.638  -0.090 1.507  -0.090 1.376  -0.090 1.245  -0.090 1.114  -0.090 0.983  -0.090 0.852  -0.090 0.721  -0.090 0.590  -0.090 0.459  -0.090 0.328  -0.090 0.197  -0.090 0.066  -0.090 -0.065  -0.090 -0.196  -0.090 -0.327  -0.090 -0.458  -0.090 -0.589  -0.090 -0.720  -0.090 -0.851  -0.060 -0.969  0.017 -1.068  0.017 -1.199  0.017 -1.330  0.017 -1.461  0.115 -1.465  0.023 -1.372  0.017 -1.243  0.003 -1.115  -0.043 -0.992  -0.089 -0.870  -0.135 -0.747  -0.181 -0.624  -0.227 -0.502  -0.273 -0.379  -0.273 -0.266  -0.174 -0.190  -0.043 -0.190  0.067 -0.140  0.175 -0.083  0.284 -0.030  0.393 0.024  0.501 0.080  0.610 0.131  0.741 0.131  0.659 0.131
3#app#app37#app3781/r  -0.217 1.256  -0.217 1.111  -0.217 0.966  -0.217 0.821  -0.217 0.675  -0.217 0.530  -0.217 0.385  -0.217 0.240  -0.217 0.095  -0.217 -0.051  -0.217 -0.196  -0.217 -0.341  -0.217 -0.486  -0.217 -0.631  -0.217 -0.777  -0.217 -0.922  -0.217 -1.067  -0.217 -1.212  -0.217 -1.358  -0.217 -1.503  -0.217 -1.648  -0.217 -1.618  -0.217 -1.473  -0.217 -1.327  -0.217 -1.182  -0.217 -1.037  -0.217 -0.892  -0.217 -0.747  -0.217 -0.601  -0.217 -0.456  -0.217 -0.311  -0.217 -0.166  -0.217 -0.021  -0.197 0.104  -0.052 0.105  -0.052 0.251  -0.052 0.396  0.024 0.510  0.126 0.612  0.229 0.715  0.277 0.840  0.335 0.927  0.469 0.955  0.572 1.057  0.703 1.092  0.771 1.169  0.829 1.256  0.974 1.256  1.100 1.276  1.100 1.421
3#app#app37#app3781/u  -0.876 1.146  -0.876 0.953  -0.876 0.760  -0.876 0.567  -0.876 0.374  -0.876 0.181  -0.876 -0.012  -0.876 -0.205  -0.876 -0.398  -0.876 -0.591  -0.876 -0.784  -0.816 -0.952  -0.730 -1.109  -0.611 -1.183  -0.467 -1.065  -0.330 -0.928  -0.194 -0.792  -0.148 -0.618  -0.024 -0.476  0.112 -0.340  0.143 -0.160  0.166 0.028  0.252 0.200  0.288 0.385  0.288 0.578  0.288 0.771  0.365 0.932  0.434 1.096  0.434 1.289  0.434 1.482  0.434 1.489  0.434 1.296  0.301 1.158  0.288 0.971  0.288 0.778  0.288 0.585  0.288 0.392  0.288 0.199  0.288 0.006  0.288 -0.187  0.288 -0.380  0.288 -0.573  0.434 -0.620  0.434 -0.813  0.515 -0.973  0.681 -1.037  0.874 -1.037  1.016 -0.987  1.016 -0.794  1.016 -0.601
3#app#app37#app3781/c  0.440 0.887  0.356 0.971  0.308 1.070  0.270 1.151  0.152 1.151  0.033 1.151  -0.086 1.151  -0.205 1.151  -0.323 1.151  -0.415 1.086  -0.499 1.002  -0.583 0.918  -0.614 0.812  -0.658 0.711  -0.742 0.627  -0.746 0.510  -0.746 0.392  -0.746 0.273  -0.746 0.154  -0.746 0.035  -0.746 -0.084  -0.746 -0.202  -0.746 -0.321  -0.746 -0.440  -0.746 -0.559  -0.666 -0.644  -0.582 -0.728  -0.498 -0.812  -0.414 -0.896  -0.321 -0.959  -0.202 -0.959  -0.084 -0.959  0.035 -0.959  0.154 -0.959  0.273 -0.959  0.392 -0.959  0.490 -0.909  0.575 -0.827  0.693 -0.827  0.780 -0.751  0.836 -0.655  0.855 -0.544  0.939 -0.460  0.968 -0.353  0.968 -0.234  0.968 -0.116  0.968 0.003  0.968 0.122  0.968 0.241  0.968 0.359
3#app#app37#app3781/k  -0.328 2.053  -0.328 2.102  -0.328 1.875  -0.328 1.649  -0.328 1.422  -0.328 1.195  -0.328 0.968  -0.328 0.741  -0.328 0.515  -0.328 0.288  -0.190 0.118  -0.190 -0.108  -0.190 -0.335  -0.190 -0.562  -0.190 -0.789  -0.190 -1.016  -0.190 -1.242  -0.190 -1.469  -0.208 -1.375  -0.328 -1.198  -0.328 -0.971  -0.328 -0.744  -0.301 -0.525  -0.179 -0.334  -0.058 -0.142  0.064 0.049  0.186 0.240  0.308 0.432  0.429 0.623  0.551 0.814  0.703 0.950  0.638 0.933  0.532 0.812  0.362 0.675  0.299 0.474  0.139 0.314  0.076 0.113  -0.098 -0.015  -0.285 -0.110  -0.348 -0.311  -0.405 -0.429  -0.190 -0.440  -0.089 -0.566  0.086 -0.618  0.226 -0.706  0.386 -0.866  0.566 -0.980  0.650 -1.130  0.824 -1.256  0.913 -1.118
