2#app#app07#app0787/w  -0.717 0.844  -0.841 0.824  -0.841 0.679  -0.841 0.535  -0.899 0.415  -1.001 0.313  -1.089 0.205  -1.117 0.072  -1.213 -0.032  -1.213 -0.176  -1.213 -0.321  -1.213 -0.465  -1.149 -0.583  -1.030 -0.643  -0.909 -0.587  -0.793 -0.519  -0.717 -0.450  -0.628 -0.395  -0.516 -0.318  -0.414 -0.216  -0.312 -0.114  -0.210 -0.012  -0.108 0.090  -0.094 0.220  0.008 0.118  0.026 -0.019  0.026 -0.163  0.026 -0.307  0.082 -0.395  0.150 -0.472  0.219 -0.588  0.340 -0.643  0.484 -0.643  0.597 -0.568  0.721 -0.519  0.838 -0.451  0.894 -0.330  0.979 -0.271  1.018 -0.166  1.107 -0.058  1.209 0.044  1.265 0.164  1.265 0.309  1.192 0.422  1.142 0.546  1.142 0.690  1.142 0.834  1.046 0.939  1.018 1.071  1.142 1.092
2#app#app07#app0787/o  0.746 1.078  0.591 1.078  0.571 0.943  0.456 0.903  0.302 0.903  0.169 0.850  0.059 0.741  -0.076 0.667  -0.214 0.598  -0.342 0.515  -0.451 0.405  -0.561 0.296  -0.670 0.186  -0.779 0.077  -0.827 -0.058  -0.875 -0.193  -0.984 -0.302  -1.002 -0.450  -1.002 -0.604  -1.002 -0.759  -0.932 -0.844  -0.827 -0.894  -0.797 -1.019  -0.652 -1.028  -0.652 -1.183  -0.508 -1.193  -0.353 -1.193  -0.229 -1.120  -0.116 -1.019  0.038 -1.019  0.150 -0.915  0.275 -0.844  0.396 -0.810  0.406 -0.660  0.515 -0.550  0.625 -0.441  0.734 -0.332  0.746 -0.182  0.746 -0.027  0.746 0.128  0.746 0.282  0.746 0.437  0.746 0.592  0.728 0.728  0.573 0.728  0.571 0.881  0.477 0.997  0.396 1.118  0.376 1.253  0.221 1.253
2#app#app07#app0787/u  -0.435 1.270  -0.435 1.123  -0.435 0.976  -0.521 0.864  -0.625 0.760  -0.729 0.656  -0.833 0.552  -0.937 0.448  -1.041 0.344  -1.075 0.212  -1.136 0.090  -1.235 -0.016  -1.235 -0.163  -1.235 -0.310  -1.108 -0.330  -1.075 -0.444  -0.974 -0.490  -0.827 -0.490  -0.680 -0.490  -0.551 -0.446  -0.447 -0.342  -0.343 -0.238  -0.224 -0.170  -0.077 -0.170  0.063 -0.152  0.166 -0.048  0.270 0.056  0.365 0.164  0.366 0.310  0.513 0.310  0.524 0.445  0.524 0.592  0.524 0.739  0.524 0.694  0.524 0.547  0.524 0.399  0.524 0.252  0.524 0.105  0.524 -0.042  0.538 -0.183  0.642 -0.287  0.746 -0.391  0.849 -0.495  0.953 -0.599  1.057 -0.703  1.161 -0.807  1.265 -0.911  1.381 -0.998  1.513 -1.064  1.644 -1.130
2#app#app07#app0787/s  0.891 0.971  0.759 0.971  0.627 0.971  0.495 0.971  0.363 0.971  0.231 0.971  0.099 0.971  -0.034 0.971  -0.166 0.971  -0.298 0.971  -0.418 0.919  -0.536 0.861  -0.668 0.861  -0.800 0.861  -0.912 0.812  -0.973 0.705  -0.924 0.593  -0.831 0.500  -0.731 0.422  -0.604 0.402  -0.486 0.343  -0.367 0.284  -0.249 0.225  -0.122 0.203  0.010 0.203  0.104 0.113  0.217 0.047  0.336 -0.012  0.454 -0.072  0.573 -0.126  0.695 -0.149  0.789 -0.243  0.882 -0.336  0.891 -0.465  0.859 -0.564  0.743 -0.603  0.649 -0.696  0.556 -0.790  0.463 -0.883  0.347 -0.946  0.229 -1.005  0.111 -1.064  -0.007 -1.123  -0.126 -1.182  -0.236 -1.253  -0.335 -1.332  -0.467 -1.332  -0.599 -1.332  -0.731 -1.332  -0.754 -1.222
2#app#app07#app0787/h  0.667 1.953  0.667 1.834  0.667 1.715  0.667 1.596  0.615 1.489  0.562 1.382  0.509 1.276  0.456 1.169  0.402 1.063  0.349 0.956  0.289 0.854  0.205 0.770  0.145 0.668  0.092 0.562  0.038 0.455  -0.015 0.349  -0.082 0.257  -0.189 0.203  -0.295 0.149  -0.361 0.050  -0.427 -0.049  -0.493 -0.148  -0.566 -0.241  -0.650 -0.326  -0.735 -0.410  -0.775 -0.512  -0.818 -0.614  -0.895 -0.701  -0.886 -0.811  -0.767 -0.811  -0.648 -0.808  -0.542 -0.754  -0.435 -0.701  -0.319 -0.691  -0.227 -0.624  -0.130 -0.570  -0.024 -0.540  0.061 -0.456  0.066 -0.339  0.176 -0.330  0.296 -0.330  0.307 -0.438  0.307 -0.557  0.307 -0.676  0.307 -0.795  0.307 -0.915  0.379 -1.004  0.427 -1.103  0.463 -1.207  0.547 -1.291
2#app#app07#app0787/o  0.450 0.683  0.306 0.683  0.162 0.683  0.019 0.683  -0.101 0.624  -0.203 0.523  -0.345 0.519  -0.489 0.519  -0.604 0.450  -0.706 0.348  -0.807 0.246  -0.863 0.125  -0.908 0.027  -1.027 0.002  -1.027 -0.142  -1.027 -0.286  -1.027 -0.430  -1.027 -0.574  -1.027 -0.718  -1.027 -0.862  -0.979 -0.958  -0.835 -0.958  -0.691 -0.958  -0.547 -0.958  -0.404 -0.958  -0.260 -0.958  -0.116 -0.958  0.007 -0.908  0.109 -0.806  0.248 -0.794  0.361 -0.719  0.466 -0.622  0.594 -0.557  0.723 -0.493  0.778 -0.383  0.822 -0.258  0.924 -0.156  0.942 -0.020  0.942 0.124  0.942 0.268  0.942 0.412  0.942 0.556  0.942 0.700  0.942 0.843  0.803 0.847  0.725 0.954  0.660 1.083  0.574 1.176  0.430 1.176  0.286 1.176
2#app#app07#app0787/u  -0.196 1.021  -0.196 0.865  -0.324 0.837  -0.380 0.737  -0.453 0.653  -0.596 0.621  -0.707 0.511  -0.845 0.468  -0.934 0.400  -0.974 0.284  -1.127 0.275  -1.237 0.165  -1.302 0.035  -1.302 -0.121  -1.302 -0.278  -1.302 -0.434  -1.166 -0.454  -1.010 -0.454  -0.853 -0.454  -0.703 -0.431  -0.563 -0.361  -0.423 -0.291  -0.271 -0.270  -0.139 -0.212  -0.028 -0.102  0.082 0.009  0.193 0.119  0.304 0.230  0.438 0.284  0.542 0.336  0.542 0.492  0.542 0.649  0.650 0.760  0.726 0.789  0.726 0.632  0.726 0.476  0.726 0.320  0.726 0.163  0.726 0.007  0.726 -0.150  0.726 -0.306  0.726 -0.462  0.726 -0.619  0.863 -0.638  0.911 -0.747  0.968 -0.880  1.078 -0.990  1.189 -1.101  1.308 -1.192  1.464 -1.192
2#app#app07#app0787/l  -1.317 -1.214  -1.167 -1.214  -1.117 -1.114  -0.982 -1.047  -0.863 -0.960  -0.741 -0.876  -0.609 -0.806  -0.496 -0.714  -0.386 -0.651  -0.319 -0.517  -0.213 -0.410  -0.104 -0.308  0.030 -0.241  0.147 -0.150  0.253 -0.044  0.359 0.062  0.465 0.168  0.481 0.311  0.536 0.439  0.620 0.561  0.681 0.697  0.681 0.847  0.681 0.997  0.681 1.147  0.681 1.297  0.681 1.447  0.568 1.483  0.436 1.438  0.330 1.332  0.224 1.226  0.118 1.120  0.038 0.996  -0.029 0.861  -0.096 0.727  -0.163 0.593  -0.218 0.456  -0.218 0.306  -0.218 0.156  -0.218 0.006  -0.218 -0.144  -0.218 -0.294  -0.205 -0.441  -0.138 -0.575  -0.114 -0.719  -0.008 -0.825  0.099 -0.931  0.205 -1.037  0.323 -1.114  0.473 -1.114  0.581 -1.214
2#app#app07#app0787/d  0.085 -0.209  -0.003 -0.110  -0.190 -0.110  -0.359 -0.184  -0.536 -0.223  -0.703 -0.306  -0.870 -0.390  -1.037 -0.473  -1.183 -0.586  -1.321 -0.705  -1.401 -0.811  -1.306 -0.903  -1.119 -0.903  -0.933 -0.903  -0.787 -0.804  -0.603 -0.798  -0.471 -0.666  -0.320 -0.560  -0.165 -0.459  0.000 -0.408  0.157 -0.335  0.266 -0.185  0.370 -0.029  0.499 0.105  0.612 0.251  0.705 0.411  0.815 0.558  0.911 0.716  0.976 0.876  1.035 1.038  1.075 1.209  1.075 1.395  0.968 1.474  0.809 1.407  0.677 1.275  0.545 1.143  0.413 1.011  0.318 0.852  0.207 0.705  0.080 0.570  0.021 0.392  -0.014 0.212  -0.014 0.025  -0.014 -0.162  -0.014 -0.349  0.006 -0.527  0.085 -0.681  0.149 -0.804  0.221 -0.940  0.283 -1.101
2#app#app07#app0787/n  -0.882 -0.859  -0.882 -0.983  -0.970 -1.020  -1.095 -1.020  -1.203 -1.004  -1.203 -0.879  -1.129 -0.786  -1.043 -0.697  -1.043 -0.573  -0.953 -0.538  -0.882 -0.485  -0.870 -0.366  -0.782 -0.278  -0.694 -0.190  -0.606 -0.102  -0.518 -0.014  -0.430 0.074  -0.342 0.162  -0.255 0.249  -0.167 0.337  -0.079 0.425  0.009 0.513  0.080 0.608  0.080 0.732  0.159 0.824  0.247 0.912  0.335 0.999  0.401 1.097  0.401 1.221  0.520 1.226  0.561 1.142  0.561 1.018  0.561 0.894  0.561 0.770  0.561 0.645  0.561 0.521  0.561 0.397  0.561 0.272  0.561 0.148  0.561 0.024  0.561 -0.100  0.566 -0.223  0.654 -0.311  0.722 -0.407  0.722 -0.531  0.804 -0.621  0.892 -0.709  0.980 -0.797  1.078 -0.859  1.203 -0.859
2#app#app07#app0787/'  0.431 1.628  0.431 1.555  0.431 1.483  0.431 1.410  0.431 1.337  0.431 1.264  0.431 1.191  0.431 1.119  0.431 1.046  0.431 0.973  0.431 0.900  0.431 0.828  0.431 0.755  0.421 0.686  0.370 0.635  0.318 0.583  0.267 0.532  0.215 0.480  0.164 0.429  0.112 0.377  0.061 0.326  0.010 0.274  -0.035 0.220  -0.035 0.147  -0.035 0.074  -0.035 0.002  -0.035 -0.071  -0.035 -0.144  -0.035 -0.217  -0.059 -0.284  -0.091 -0.349  -0.124 -0.414  -0.157 -0.479  -0.189 -0.544  -0.222 -0.610  -0.254 -0.675  -0.287 -0.740  -0.319 -0.805  -0.352 -0.870  -0.384 -0.935  -0.417 -1.000  -0.449 -1.065  -0.482 -1.130  -0.501 -1.199  -0.501 -1.271  -0.501 -1.344  -0.501 -1.417  -0.501 -1.490  -0.501 -1.563  -0.501 -1.635
2#app#app07#app0787/t  1.149 1.690  1.083 1.568  0.897 1.563  0.741 1.458  0.584 1.354  0.445 1.229  0.312 1.097  0.179 0.964  0.046 0.831  -0.080 0.693  -0.165 0.525  -0.196 0.345  -0.313 0.206  -0.313 0.018  -0.313 -0.170  -0.270 -0.347  -0.192 -0.517  -0.136 -0.681  -0.070 -0.842  -0.042 -1.019  0.091 -1.152  0.223 -1.284  0.381 -1.357  0.399 -1.457  0.276 -1.315  0.153 -1.173  0.029 -1.031  -0.094 -0.889  -0.217 -0.747  -0.340 -0.605  -0.463 -0.463  -0.586 -0.321  -0.709 -0.179  -0.832 -0.037  -0.955 0.106  -1.078 0.248  -1.129 0.312  -0.976 0.228  -0.788 0.228  -0.600 0.228  -0.415 0.217  -0.247 0.133  -0.065 0.106  0.123 0.106  0.311 0.106  0.499 0.106  0.679 0.088  0.824 -0.016  1.012 -0.016  1.149 -0.138
2#app#app07#app0787/o  0.575 0.566  0.422 0.566  0.270 0.566  0.117 0.566  -0.035 0.566  -0.188 0.566  -0.302 0.474  -0.410 0.367  -0.537 0.304  -0.664 0.243  -0.772 0.136  -0.880 0.028  -0.988 -0.080  -1.096 -0.188  -1.127 -0.328  -1.127 -0.480  -1.112 -0.627  -1.004 -0.735  -0.986 -0.874  -0.843 -0.896  -0.735 -1.004  -0.583 -1.005  -0.430 -1.005  -0.278 -1.005  -0.125 -1.005  0.028 -1.005  0.180 -1.005  0.289 -0.898  0.419 -0.821  0.555 -0.753  0.667 -0.651  0.804 -0.612  0.837 -0.493  0.936 -0.381  0.968 -0.242  0.968 -0.089  0.968 0.063  0.968 0.216  0.922 0.350  0.815 0.458  0.707 0.565  0.638 0.702  0.567 0.836  0.459 0.944  0.351 1.052  0.243 1.160  0.116 1.221  -0.036 1.221  -0.189 1.221  -0.341 1.221
2#app#app07#app0787/f  1.397 1.502  1.244 1.502  1.091 1.502  0.980 1.401  0.844 1.331  0.707 1.262  0.570 1.194  0.459 1.090  0.337 0.997  0.215 0.905  0.093 0.813  -0.005 0.701  -0.073 0.564  -0.205 0.490  -0.315 0.395  -0.384 0.258  -0.394 0.108  -0.445 -0.024  -0.500 -0.155  -0.500 -0.308  -0.500 -0.461  -0.500 -0.614  -0.500 -0.767  -0.500 -0.920  -0.432 -1.057  -0.363 -1.194  -0.295 -1.331  -0.190 -1.442  -0.082 -1.550  -0.112 -1.410  -0.147 -1.261  -0.182 -1.112  -0.217 -0.963  -0.252 -0.814  -0.287 -0.665  -0.322 -0.516  -0.357 -0.367  -0.392 -0.218  -0.427 -0.069  -0.462 0.080  -0.498 0.229  -0.355 0.238  -0.202 0.238  -0.088 0.143  0.060 0.132  0.209 0.107  0.354 0.058  0.502 0.027  0.655 0.027  0.765 -0.078
