3#app#app34#app3485/B  -0.754 1.175  -0.754 0.931  -0.749 0.690  -0.658 0.485  -0.658 0.241  -0.561 0.038  -0.490 -0.194  -0.465 -0.433  -0.465 -0.676  -0.465 -0.920  -0.400 -0.816  -0.459 -0.580  -0.518 -0.344  -0.577 -0.108  -0.636 0.128  -0.695 0.364  -0.754 0.600  -0.813 0.836  -0.850 1.075  -0.610 1.079  -0.406 1.175  -0.163 1.175  0.080 1.175  0.323 1.175  0.546 1.124  0.688 0.940  0.784 0.736  0.709 0.524  0.592 0.329  0.405 0.219  0.273 0.087  0.153 -0.075  -0.059 -0.149  -0.273 -0.150  -0.106 -0.075  0.138 -0.075  0.381 -0.075  0.621 -0.089  0.845 -0.171  0.976 -0.339  1.131 -0.518  1.168 -0.746  1.072 -0.950  0.976 -1.097  0.800 -1.211  0.600 -1.315  0.361 -1.324  0.117 -1.324  -0.126 -1.324  -0.273 -1.228
3#app#app34#app3485/O  -0.026 1.072  -0.168 1.072  -0.307 1.066  -0.408 0.966  -0.439 0.838  -0.540 0.797  -0.577 0.692  -0.577 0.550  -0.657 0.442  -0.715 0.324  -0.715 0.182  -0.763 0.060  -0.853 -0.044  -0.853 -0.186  -0.853 -0.327  -0.853 -0.469  -0.831 -0.602  -0.731 -0.702  -0.715 -0.837  -0.591 -0.856  -0.577 -0.983  -0.446 -0.993  -0.318 -1.054  -0.192 -1.117  -0.053 -1.131  0.083 -1.095  0.217 -1.050  0.352 -1.005  0.491 -0.993  0.601 -0.916  0.701 -0.816  0.800 -0.715  0.804 -0.575  0.905 -0.475  0.937 -0.347  0.937 -0.205  0.937 -0.064  0.889 0.067  0.826 0.193  0.741 0.305  0.662 0.414  0.647 0.552  0.584 0.678  0.515 0.797  0.377 0.806  0.277 0.906  0.249 1.036  0.174 1.147  0.074 1.247  -0.026 1.348
3#app#app34#app3485/U  -0.958 0.884  -0.958 0.998  -0.958 0.933  -0.958 0.819  -0.958 0.705  -0.950 0.593  -0.899 0.492  -0.849 0.390  -0.820 0.283  -0.820 0.169  -0.820 0.056  -0.820 -0.058  -0.820 -0.172  -0.773 -0.266  -0.693 -0.346  -0.682 -0.455  -0.630 -0.548  -0.549 -0.628  -0.544 -0.739  -0.486 -0.829  -0.406 -0.910  -0.292 -0.910  -0.178 -0.910  -0.065 -0.910  0.049 -0.910  0.163 -0.910  0.276 -0.910  0.359 -0.835  0.447 -0.772  0.560 -0.772  0.560 -0.658  0.623 -0.570  0.702 -0.489  0.753 -0.387  0.803 -0.285  0.836 -0.179  0.836 -0.066  0.836 0.048  0.836 0.162  0.836 0.276  0.836 0.389  0.836 0.503  0.836 0.617  0.836 0.730  0.767 0.815  0.698 0.900  0.698 1.014  0.698 1.128  0.641 1.218  0.560 1.298
3#app#app34#app3485/S  0.334 0.995  0.206 1.005  0.186 1.123  0.048 1.123  -0.090 1.123  -0.213 1.088  -0.313 0.995  -0.451 0.995  -0.589 0.995  -0.690 0.959  -0.737 0.867  -0.858 0.827  -0.960 0.739  -1.075 0.716  -1.075 0.578  -1.075 0.440  -1.022 0.354  -0.903 0.310  -0.799 0.226  -0.670 0.206  -0.572 0.108  -0.438 0.098  -0.300 0.098  -0.164 0.091  -0.041 0.029  0.084 -0.030  0.222 -0.030  0.352 -0.048  0.450 -0.145  0.583 -0.158  0.720 -0.159  0.818 -0.257  0.847 -0.383  0.953 -0.414  1.057 -0.497  1.103 -0.616  1.103 -0.754  1.037 -0.865  0.939 -0.962  0.840 -1.055  0.702 -1.055  0.564 -1.055  0.426 -1.055  0.288 -1.055  0.150 -1.055  0.031 -1.008  -0.073 -0.927  -0.202 -0.903  -0.299 -0.806  -0.434 -0.799
3#app#app34#app3485/S  0.594 1.029  0.490 1.133  0.380 1.172  0.304 1.243  0.157 1.243  0.010 1.243  -0.137 1.243  -0.247 1.153  -0.383 1.125  -0.487 1.021  -0.593 0.922  -0.726 0.888  -0.800 0.771  -0.883 0.707  -0.907 0.584  -0.907 0.437  -0.839 0.318  -0.735 0.214  -0.615 0.132  -0.483 0.066  -0.337 0.064  -0.197 0.031  -0.066 -0.035  0.080 -0.043  0.227 -0.043  0.374 -0.043  0.521 -0.043  0.668 -0.043  0.782 -0.124  0.907 -0.200  1.023 -0.275  1.023 -0.422  1.023 -0.569  0.993 -0.687  0.916 -0.757  0.807 -0.796  0.703 -0.900  0.567 -0.928  0.453 -1.008  0.306 -1.008  0.159 -1.008  0.012 -1.008  -0.136 -1.008  -0.175 -0.901  -0.323 -0.901  -0.470 -0.901  -0.608 -0.879  -0.720 -0.794  -0.800 -0.727  -0.907 -0.687
3#app#app34#app3485/T  0.019 0.820  0.019 0.663  0.019 0.506  0.019 0.349  0.079 0.206  0.142 0.064  0.142 -0.094  0.142 -0.251  0.142 -0.408  0.249 -0.521  0.265 -0.671  0.265 -0.828  0.321 -0.962  0.389 -1.091  0.389 -1.248  0.389 -1.406  0.389 -1.563  0.351 -1.586  0.269 -1.452  0.187 -1.318  0.105 -1.184  0.023 -1.050  -0.059 -0.916  -0.141 -0.782  -0.222 -0.647  -0.304 -0.513  -0.386 -0.379  -0.468 -0.245  -0.550 -0.111  -0.632 0.023  -0.714 0.157  -0.796 0.291  -0.878 0.425  -0.960 0.559  -0.951 0.697  -0.794 0.697  -0.662 0.757  -0.531 0.820  -0.374 0.820  -0.220 0.828  -0.109 0.939  0.047 0.944  0.204 0.944  0.333 1.011  0.467 1.067  0.624 1.067  0.781 1.067  0.882 1.123  0.972 1.190  1.129 1.190
3#app#app34#app3485/I  -0.228 1.513  -0.157 1.513  -0.086 1.513  -0.016 1.513  -0.003 1.455  -0.003 1.385  -0.003 1.314  -0.003 1.243  -0.003 1.172  -0.003 1.101  -0.003 1.031  -0.003 0.960  -0.003 0.889  -0.003 0.818  -0.003 0.748  -0.003 0.677  -0.003 0.606  -0.003 0.535  -0.003 0.464  -0.003 0.394  -0.003 0.323  -0.003 0.252  -0.003 0.181  -0.003 0.111  -0.003 0.040  -0.003 -0.031  -0.003 -0.102  -0.003 -0.173  -0.003 -0.243  -0.003 -0.314  -0.003 -0.385  -0.003 -0.456  -0.003 -0.527  -0.003 -0.597  -0.003 -0.668  -0.003 -0.739  -0.003 -0.810  -0.003 -0.880  -0.003 -0.951  -0.003 -1.022  -0.003 -1.093  -0.003 -1.164  -0.003 -1.234  -0.003 -1.305  -0.003 -1.376  0.022 -1.436  0.072 -1.486  0.122 -1.537  0.172 -1.587  0.222 -1.637
3#app#app34#app3485/C  0.689 1.242  0.591 1.242  0.494 1.242  0.396 1.242  0.298 1.242  0.201 1.242  0.130 1.177  0.057 1.119  -0.040 1.119  -0.113 1.058  -0.182 0.989  -0.251 0.920  -0.320 0.851  -0.389 0.782  -0.457 0.713  -0.526 0.644  -0.545 0.554  -0.545 0.457  -0.545 0.359  -0.545 0.262  -0.609 0.191  -0.669 0.118  -0.669 0.020  -0.669 -0.077  -0.669 -0.175  -0.669 -0.272  -0.663 -0.367  -0.594 -0.436  -0.545 -0.514  -0.543 -0.609  -0.445 -0.609  -0.369 -0.661  -0.300 -0.730  -0.204 -0.732  -0.126 -0.781  -0.057 -0.850  0.038 -0.855  0.135 -0.855  0.233 -0.855  0.330 -0.855  0.428 -0.855  0.525 -0.855  0.623 -0.855  0.720 -0.855  0.818 -0.855  0.915 -0.855  1.013 -0.855  1.110 -0.855  1.208 -0.855  1.305 -0.855
3#app#app34#app3485/K  -1.049 1.619  -0.906 1.519  -0.906 1.276  -0.795 1.080  -0.764 0.850  -0.764 0.608  -0.713 0.377  -0.621 0.156  -0.621 -0.086  -0.621 -0.329  -0.621 -0.571  -0.515 -0.770  -0.478 -0.997  -0.475 -1.230  -0.347 -1.024  -0.218 -0.818  -0.090 -0.613  0.039 -0.407  0.167 -0.201  0.296 0.004  0.424 0.210  0.553 0.416  0.681 0.621  0.810 0.827  0.938 1.033  0.805 0.966  0.635 0.878  0.440 0.763  0.341 0.620  0.138 0.523  -0.033 0.352  -0.193 0.259  -0.359 0.169  -0.552 0.050  -0.652 -0.093  -0.856 -0.186  -0.743 -0.215  -0.551 -0.093  -0.316 -0.112  -0.125 -0.236  0.110 -0.254  0.301 -0.378  0.520 -0.402  0.643 -0.521  0.824 -0.673  1.041 -0.782  1.233 -0.851  1.336 -1.051  1.376 -1.191  1.233 -1.092
3#app#app34#app3485/Y  -1.102 0.823  -1.075 0.929  -0.969 0.800  -0.925 0.646  -0.815 0.515  -0.738 0.361  -0.703 0.196  -0.703 0.024  -0.581 -0.098  -0.459 -0.220  -0.337 -0.342  -0.303 -0.501  -0.170 -0.540  -0.099 -0.642  -0.037 -0.532  0.096 -0.492  0.136 -0.336  0.229 -0.202  0.265 -0.038  0.342 0.116  0.363 0.284  0.363 0.456  0.413 0.608  0.496 0.746  0.496 0.919  0.497 1.091  0.619 1.213  0.629 1.381  0.612 1.428  0.566 1.261  0.520 1.095  0.473 0.929  0.427 0.763  0.381 0.596  0.335 0.430  0.289 0.264  0.243 0.098  0.196 -0.068  0.150 -0.235  0.104 -0.401  0.058 -0.567  0.012 -0.733  -0.035 -0.899  -0.037 -1.072  -0.037 -1.244  -0.037 -1.417  -0.037 -1.589  -0.037 -1.762  -0.037 -1.934  -0.037 -2.107
3#app#app34#app3485/J  0.217 0.361  0.217 0.225  0.217 0.090  0.217 -0.045  0.217 -0.180  0.217 -0.316  0.217 -0.451  0.217 -0.586  0.217 -0.722  0.217 -0.857  0.218 -0.992  0.314 -1.031  0.314 -1.166  0.197 -1.185  0.062 -1.185  -0.074 -1.185  -0.197 -1.157  -0.293 -1.061  -0.399 -0.992  -0.535 -0.992  -0.637 -0.911  -0.732 -0.815  -0.842 -0.784  -0.809 -0.653  -0.776 -0.521  -0.743 -0.390  -0.711 -0.259  -0.678 -0.128  -0.645 0.004  -0.612 0.135  -0.579 0.266  -0.547 0.397  -0.514 0.529  -0.481 0.660  -0.414 0.747  -0.303 0.807  -0.183 0.844  -0.048 0.844  0.069 0.889  0.183 0.940  0.318 0.940  0.453 0.940  0.565 0.998  0.684 1.037  0.797 1.060  0.858 1.134  0.983 1.178  1.106 1.230  1.183 1.172  1.280 1.134
3#app#app34#app3485/U  -1.090 1.022  -1.090 0.912  -1.027 0.827  -0.957 0.745  -0.957 0.634  -0.957 0.523  -0.957 0.412  -0.957 0.301  -0.957 0.190  -0.957 0.079  -0.957 -0.031  -0.957 -0.142  -0.957 -0.253  -0.931 -0.358  -0.881 -0.457  -0.832 -0.556  -0.730 -0.572  -0.640 -0.623  -0.562 -0.701  -0.453 -0.705  -0.342 -0.705  -0.231 -0.705  -0.120 -0.705  -0.009 -0.705  0.102 -0.705  0.213 -0.705  0.324 -0.705  0.416 -0.661  0.495 -0.583  0.601 -0.572  0.712 -0.572  0.771 -0.520  0.801 -0.439  0.904 -0.431  0.904 -0.320  0.904 -0.209  0.904 -0.098  0.904 0.012  0.904 0.123  0.904 0.234  0.904 0.345  0.904 0.456  0.850 0.545  0.772 0.623  0.771 0.734  0.771 0.845  0.771 0.956  0.727 1.022  0.638 1.044  0.638 1.155
3#app#app34#app3485/I  -0.114 1.325  -0.114 1.399  -0.114 1.474  -0.114 1.549  -0.114 1.501  -0.114 1.426  -0.114 1.351  -0.114 1.276  -0.114 1.202  -0.114 1.127  -0.114 1.052  -0.114 0.977  -0.114 0.902  -0.114 0.828  -0.114 0.753  -0.114 0.678  -0.114 0.603  -0.114 0.528  -0.114 0.453  -0.114 0.379  -0.114 0.304  -0.114 0.229  -0.114 0.154  -0.114 0.079  -0.114 0.004  -0.114 -0.070  -0.084 -0.133  -0.031 -0.186  0.022 -0.239  0.075 -0.291  0.124 -0.346  0.124 -0.421  0.124 -0.496  0.124 -0.570  0.124 -0.645  0.124 -0.720  0.124 -0.795  0.124 -0.870  0.124 -0.945  0.124 -1.019  0.124 -1.094  0.124 -1.169  0.124 -1.244  0.124 -1.319  0.124 -1.394  0.124 -1.468  0.137 -1.530  0.212 -1.530  0.287 -1.530  0.362 -1.530
3#app#app34#app3485/C  0.875 0.838  0.875 0.945  0.809 1.025  0.725 1.082  0.618 1.082  0.511 1.082  0.403 1.082  0.296 1.082  0.189 1.082  0.100 1.038  0.024 0.962  -0.083 0.960  -0.164 0.896  -0.240 0.820  -0.316 0.744  -0.411 0.716  -0.466 0.663  -0.487 0.562  -0.547 0.473  -0.606 0.384  -0.666 0.294  -0.710 0.200  -0.719 0.097  -0.795 0.021  -0.831 -0.071  -0.831 -0.179  -0.831 -0.286  -0.823 -0.390  -0.747 -0.466  -0.710 -0.558  -0.669 -0.625  -0.569 -0.643  -0.493 -0.719  -0.398 -0.747  -0.296 -0.771  -0.200 -0.819  -0.104 -0.867  0.003 -0.868  0.110 -0.868  0.218 -0.868  0.325 -0.868  0.432 -0.868  0.540 -0.868  0.647 -0.868  0.754 -0.868  0.862 -0.868  0.969 -0.868  1.053 -0.812  1.133 -0.747  1.241 -0.747
3#app#app34#app3485/E  0.816 1.010  0.764 1.132  0.601 1.179  0.445 1.254  0.271 1.254  0.097 1.254  -0.065 1.225  -0.200 1.132  -0.374 1.132  -0.419 0.993  -0.523 0.863  -0.523 0.689  -0.515 0.524  -0.401 0.463  -0.289 0.402  -0.163 0.285  0.008 0.280  0.182 0.280  0.356 0.280  0.530 0.280  0.684 0.280  0.511 0.280  0.337 0.280  0.163 0.280  0.017 0.212  -0.105 0.089  -0.257 0.037  -0.431 0.037  -0.581 -0.021  -0.728 -0.085  -0.776 -0.217  -0.888 -0.344  -0.888 -0.518  -0.888 -0.691  -0.888 -0.865  -0.786 -0.937  -0.734 -1.059  -0.560 -1.059  -0.387 -1.059  -0.213 -1.059  -0.039 -1.059  0.135 -1.059  0.309 -1.059  0.437 -0.950  0.606 -0.937  0.779 -0.937  0.949 -0.926  1.077 -0.815  1.250 -0.815  1.302 -0.937
