2#apb#apb07#app0711/T  1.989 0.895  1.866 0.811  1.720 0.761  1.570 0.720  1.424 0.663  1.278 0.607  1.132 0.553  0.985 0.500  0.835 0.455  0.686 0.410  0.536 0.365  0.385 0.326  0.233 0.286  0.082 0.247  -0.069 0.208  -0.221 0.172  -0.373 0.135  -0.525 0.099  -0.678 0.066  -0.832 0.041  -0.986 0.015  -1.139 -0.016  -1.291 -0.052  -1.349 -0.127  -1.196 -0.119  -1.046 -0.077  -0.895 -0.035  -0.745 0.007  -0.594 0.048  -0.444 0.090  -0.293 0.132  -0.142 0.174  0.008 0.215  0.159 0.257  0.309 0.299  0.418 0.286  0.353 0.147  0.249 0.035  0.129 -0.063  0.044 -0.195  -0.046 -0.322  -0.149 -0.440  -0.234 -0.568  -0.281 -0.716  -0.331 -0.864  -0.391 -1.009  -0.433 -1.158  -0.468 -1.309  -0.568 -1.428  -0.671 -1.525
2#apb#apb07#app0711/i  0.181 1.667  0.217 1.612  0.211 1.544  0.202 1.475  0.193 1.406  0.184 1.337  0.165 1.269  0.143 1.203  0.121 1.137  0.099 1.071  0.077 1.004  0.063 0.937  0.061 0.867  0.059 0.797  0.056 0.727  0.054 0.657  0.051 0.588  0.049 0.518  0.047 0.448  0.039 0.379  0.020 0.312  0.002 0.244  -0.016 0.177  -0.034 0.109  -0.052 0.042  -0.070 -0.026  -0.088 -0.093  -0.091 -0.163  -0.091 -0.232  -0.091 -0.302  -0.091 -0.372  -0.091 -0.442  -0.091 -0.512  -0.091 -0.582  -0.091 -0.651  -0.091 -0.721  -0.091 -0.791  -0.091 -0.861  -0.091 -0.931  -0.091 -1.001  -0.091 -1.071  -0.091 -1.140  -0.091 -1.210  -0.091 -1.280  -0.089 -1.350  -0.086 -1.420  -0.082 -1.489  -0.079 -1.559  -0.075 -1.629  -0.072 -1.699
2#apb#apb07#app0711/n  -0.430 1.413  -0.444 1.324  -0.484 1.144  -0.540 0.968  -0.572 0.787  -0.584 0.602  -0.598 0.418  -0.622 0.234  -0.647 0.051  -0.662 -0.134  -0.673 -0.318  -0.685 -0.503  -0.685 -0.688  -0.685 -0.873  -0.737 -1.050  -0.768 -1.056  -0.722 -0.877  -0.684 -0.696  -0.646 -0.515  -0.608 -0.334  -0.570 -0.153  -0.532 0.028  -0.494 0.209  -0.456 0.390  -0.418 0.571  -0.349 0.434  -0.291 0.258  -0.240 0.081  -0.157 -0.085  -0.072 -0.249  0.027 -0.405  0.130 -0.558  0.256 -0.694  0.382 -0.830  0.515 -0.954  0.687 -1.012  0.845 -0.934  0.964 -0.792  1.002 -0.611  1.040 -0.430  1.055 -0.247  1.055 -0.062  1.055 0.123  1.055 0.308  1.045 0.493  1.026 0.677  1.007 0.861  0.988 1.045  0.969 1.229  0.950 1.413
2#apb#apb07#app0711/s  0.636 0.549  0.654 0.670  0.685 0.788  0.707 0.908  0.693 1.017  0.596 1.081  0.479 1.118  0.361 1.147  0.240 1.165  0.119 1.184  -0.002 1.175  -0.121 1.150  -0.241 1.124  -0.353 1.078  -0.459 1.017  -0.565 0.955  -0.640 0.865  -0.693 0.755  -0.746 0.644  -0.752 0.528  -0.728 0.408  -0.704 0.288  -0.660 0.177  -0.578 0.086  -0.496 -0.005  -0.415 -0.096  -0.330 -0.184  -0.230 -0.255  -0.131 -0.327  -0.031 -0.398  0.068 -0.470  0.173 -0.532  0.279 -0.594  0.385 -0.656  0.492 -0.715  0.601 -0.770  0.706 -0.832  0.754 -0.927  0.682 -1.012  0.566 -1.051  0.448 -1.081  0.327 -1.096  0.205 -1.111  0.084 -1.127  -0.039 -1.125  -0.161 -1.121  -0.284 -1.117  -0.406 -1.107  -0.527 -1.091  -0.648 -1.076
2#apb#apb07#app0711/o  0.583 0.100  0.655 0.217  0.727 0.334  0.724 0.469  0.715 0.606  0.642 0.714  0.549 0.814  0.455 0.914  0.333 0.968  0.202 1.010  0.072 1.051  -0.063 1.066  -0.200 1.066  -0.335 1.061  -0.452 0.989  -0.568 0.917  -0.684 0.844  -0.761 0.736  -0.822 0.613  -0.883 0.491  -0.945 0.369  -0.965 0.235  -0.974 0.098  -0.982 -0.038  -0.991 -0.175  -0.960 -0.303  -0.899 -0.426  -0.838 -0.548  -0.777 -0.671  -0.696 -0.775  -0.576 -0.841  -0.456 -0.907  -0.336 -0.972  -0.216 -1.038  -0.087 -1.069  0.050 -1.069  0.187 -1.069  0.324 -1.069  0.438 -0.999  0.548 -0.919  0.659 -0.838  0.757 -0.749  0.796 -0.618  0.835 -0.486  0.874 -0.355  0.894 -0.222  0.881 -0.086  0.869 0.051  0.856 0.187  0.843 0.323
2#apb#apb07#app0711/n  -0.368 0.796  -0.400 0.647  -0.421 0.497  -0.439 0.346  -0.464 0.196  -0.491 0.047  -0.518 -0.103  -0.535 -0.253  -0.551 -0.405  -0.567 -0.556  -0.574 -0.707  -0.578 -0.859  -0.582 -1.011  -0.577 -1.162  -0.560 -1.313  -0.548 -1.464  -0.559 -1.616  -0.524 -1.524  -0.476 -1.380  -0.419 -1.239  -0.362 -1.098  -0.305 -0.958  -0.248 -0.817  -0.191 -0.676  -0.134 -0.535  -0.079 -0.394  -0.031 -0.250  0.017 -0.106  0.065 0.038  0.113 0.182  0.158 0.327  0.191 0.476  0.223 0.624  0.256 0.772  0.289 0.921  0.351 1.059  0.418 1.195  0.483 1.104  0.547 1.172  0.695 1.205  0.734 1.319  0.747 1.217  0.739 1.065  0.742 0.913  0.750 0.762  0.759 0.610  0.775 0.459  0.796 0.309  0.817 0.159  0.838 0.008
2#apb#apb07#app0711/Y  1.239 1.453  1.185 1.361  1.107 1.240  1.028 1.120  0.953 0.999  0.877 0.877  0.802 0.755  0.726 0.633  0.651 0.511  0.576 0.389  0.501 0.266  0.425 0.144  0.350 0.022  0.272 -0.098  0.193 -0.218  0.115 -0.338  0.036 -0.458  -0.043 -0.578  -0.119 -0.699  -0.192 -0.822  -0.265 -0.946  -0.338 -1.069  -0.411 -1.193  -0.480 -1.319  -0.550 -1.444  -0.629 -1.546  -0.605 -1.405  -0.581 -1.263  -0.557 -1.122  -0.533 -0.981  -0.509 -0.839  -0.486 -0.698  -0.462 -0.556  -0.438 -0.415  -0.414 -0.273  -0.390 -0.132  -0.366 0.009  -0.342 0.151  -0.318 0.292  -0.295 0.434  -0.271 0.575  -0.247 0.717  -0.223 0.858  -0.199 0.999  -0.182 1.116  -0.186 0.977  -0.151 0.838  -0.117 0.699  -0.083 0.559  -0.050 0.420
2#apb#apb07#app0711/o  -0.225 -0.695  -0.374 -0.781  -0.332 -0.766  -0.175 -0.701  -0.031 -0.606  0.112 -0.510  0.254 -0.413  0.396 -0.315  0.537 -0.217  0.672 -0.111  0.782 0.021  0.892 0.154  0.974 0.305  1.051 0.459  1.095 0.625  1.120 0.793  1.093 0.963  1.032 1.114  0.898 1.221  0.753 1.307  0.586 1.351  0.439 1.280  0.295 1.184  0.157 1.082  0.028 0.968  -0.101 0.854  -0.229 0.739  -0.342 0.610  -0.445 0.472  -0.548 0.333  -0.650 0.195  -0.744 0.051  -0.830 -0.098  -0.915 -0.248  -1.001 -0.397  -1.048 -0.561  -1.085 -0.730  -1.092 -0.894  -1.015 -1.048  -0.871 -1.109  -0.714 -1.068  -0.569 -0.976  -0.423 -0.884  -0.289 -0.776  -0.158 -0.665  -0.027 -0.553  0.096 -0.433  0.210 -0.304  0.324 -0.175  0.438 -0.046
2#apb#apb07#app0711/r  1.914 1.037  1.784 1.095  1.648 1.114  1.507 1.098  1.371 1.061  1.243 1.000  1.114 0.939  0.991 0.867  0.872 0.789  0.753 0.711  0.633 0.633  0.523 0.543  0.415 0.450  0.307 0.357  0.199 0.265  0.098 0.165  0.011 0.052  -0.077 -0.060  -0.164 -0.173  -0.251 -0.286  -0.333 -0.402  -0.411 -0.521  -0.489 -0.640  -0.567 -0.760  -0.634 -0.885  -0.697 -1.013  -0.761 -1.140  -0.745 -1.091  -0.703 -0.955  -0.635 -0.829  -0.568 -0.704  -0.500 -0.578  -0.439 -0.450  -0.386 -0.318  -0.333 -0.185  -0.280 -0.053  -0.233 0.081  -0.191 0.217  -0.150 0.354  -0.180 0.451  -0.281 0.350  -0.347 0.225  -0.411 0.097  -0.475 -0.030  -0.537 -0.158  -0.599 -0.287  -0.660 -0.416  -0.721 -0.544  -0.782 -0.673  -0.843 -0.802
2#apb#apb07#app0711/k  0.359 1.546  0.147 1.480  -0.030 1.274  -0.187 1.053  -0.340 0.829  -0.494 0.605  -0.649 0.382  -0.804 0.159  -0.947 -0.072  -1.090 -0.303  -1.235 -0.532  -1.383 -0.760  -1.532 -0.987  -1.563 -1.071  -1.342 -0.917  -1.107 -0.781  -0.872 -0.644  -0.637 -0.508  -0.402 -0.372  -0.168 -0.236  0.067 -0.100  0.302 0.036  0.537 0.173  0.772 0.309  1.007 0.445  1.242 0.581  1.459 0.671  1.215 0.557  0.963 0.455  0.719 0.336  0.475 0.218  0.233 0.095  -0.019 -0.005  -0.047 0.026  0.157 -0.142  0.341 -0.342  0.539 -0.526  0.749 -0.698  0.952 -0.879  1.042 -0.954  0.849 -0.763  0.656 -0.572  0.463 -0.381  0.270 -0.190  0.077 0.001  0.039 0.135  0.170 0.239  -0.059 0.342  -0.325 0.397  -0.571 0.391
2#apb#apb07#app0711/Z  -0.703 0.433  -0.816 0.521  -0.747 0.612  -0.606 0.633  -0.462 0.648  -0.320 0.675  -0.177 0.701  -0.036 0.731  0.106 0.762  0.247 0.793  0.389 0.820  0.532 0.845  0.675 0.870  0.817 0.895  0.959 0.924  1.101 0.953  1.236 0.933  1.228 0.808  1.129 0.709  1.011 0.626  0.891 0.544  0.770 0.465  0.649 0.385  0.527 0.307  0.404 0.231  0.281 0.154  0.158 0.077  0.036 -0.000  -0.087 -0.078  -0.209 -0.155  -0.327 -0.238  -0.442 -0.327  -0.556 -0.416  -0.668 -0.508  -0.770 -0.611  -0.873 -0.713  -0.951 -0.834  -1.019 -0.961  -1.033 -1.105  -0.913 -1.172  -0.769 -1.163  -0.626 -1.146  -0.486 -1.105  -0.347 -1.065  -0.209 -1.022  -0.071 -0.977  0.066 -0.932  0.202 -0.881  0.336 -0.828  0.472 -0.817
2#apb#apb07#app0711/i  0.376 1.076  0.359 1.151  0.343 1.227  0.288 1.275  0.225 1.308  0.219 1.321  0.229 1.311  0.203 1.326  0.154 1.267  0.126 1.196  0.107 1.121  0.081 1.049  0.051 0.978  0.021 0.907  -0.010 0.837  -0.038 0.765  -0.066 0.693  -0.094 0.621  -0.122 0.549  -0.143 0.476  -0.156 0.400  -0.169 0.324  -0.181 0.247  -0.194 0.171  -0.207 0.095  -0.213 0.019  -0.216 -0.058  -0.219 -0.135  -0.223 -0.212  -0.226 -0.289  -0.229 -0.366  -0.222 -0.443  -0.210 -0.519  -0.199 -0.595  -0.187 -0.671  -0.175 -0.748  -0.164 -0.824  -0.144 -0.897  -0.111 -0.967  -0.078 -1.037  -0.045 -1.106  -0.012 -1.176  0.024 -1.245  0.063 -1.311  0.101 -1.378  0.141 -1.443  0.196 -1.498  0.251 -1.552  0.313 -1.597  0.376 -1.642
2#apb#apb07#app0711/m  -1.207 0.867  -1.160 0.676  -1.126 0.483  -1.101 0.289  -1.066 0.096  -1.041 -0.098  -1.036 -0.294  -1.036 -0.490  -1.061 -0.683  -1.043 -0.664  -0.959 -0.489  -0.863 -0.318  -0.801 -0.132  -0.754 0.058  -0.715 0.250  -0.675 0.442  -0.635 0.634  -0.573 0.820  -0.396 0.845  -0.242 0.730  -0.125 0.575  -0.040 0.399  0.023 0.214  0.068 0.023  0.079 -0.173  0.087 -0.369  0.087 -0.564  0.048 -0.755  0.008 -0.840  0.073 -0.656  0.158 -0.479  0.248 -0.305  0.310 -0.119  0.371 0.068  0.432 0.254  0.494 0.440  0.563 0.623  0.647 0.797  0.825 0.789  0.961 0.655  1.064 0.489  1.134 0.306  1.185 0.117  1.228 -0.074  1.254 -0.268  1.256 -0.463  1.240 -0.659  1.214 -0.853  1.224 -1.047  1.372 -1.147
2#apb#apb07#app0711/m  -1.114 0.924  -1.009 0.742  -0.989 0.511  -0.968 0.280  -0.948 0.050  -0.930 -0.181  -0.911 -0.412  -0.890 -0.643  -0.910 -0.873  -0.954 -1.054  -0.919 -0.826  -0.863 -0.601  -0.774 -0.388  -0.679 -0.177  -0.593 0.038  -0.515 0.256  -0.437 0.474  -0.369 0.696  -0.304 0.918  -0.200 1.124  -0.006 1.092  0.060 0.870  0.095 0.643  0.106 0.412  0.111 0.180  0.111 -0.051  0.108 -0.283  0.093 -0.514  0.077 -0.745  0.022 -0.970  -0.055 -1.186  -0.062 -1.057  -0.002 -0.833  0.097 -0.624  0.197 -0.415  0.291 -0.203  0.384 0.009  0.477 0.221  0.565 0.435  0.651 0.650  0.764 0.849  0.934 0.914  1.079 0.748  1.175 0.537  1.232 0.314  1.274 0.086  1.311 -0.143  1.345 -0.372  1.392 -0.598  1.450 -0.823
2#apb#apb07#app0711/e  -0.933 -0.821  -0.892 -0.689  -0.771 -0.622  -0.628 -0.613  -0.484 -0.606  -0.351 -0.564  -0.227 -0.491  -0.112 -0.404  -0.001 -0.313  0.109 -0.221  0.191 -0.102  0.273 0.016  0.348 0.137  0.394 0.274  0.439 0.410  0.480 0.548  0.511 0.688  0.542 0.829  0.565 0.970  0.574 1.114  0.582 1.258  0.570 1.398  0.520 1.531  0.380 1.520  0.269 1.428  0.159 1.336  0.089 1.210  0.020 1.084  -0.050 0.958  -0.117 0.831  -0.159 0.693  -0.200 0.556  -0.241 0.418  -0.283 0.280  -0.311 0.140  -0.317 -0.003  -0.323 -0.147  -0.329 -0.291  -0.335 -0.435  -0.297 -0.573  -0.257 -0.711  -0.216 -0.849  -0.175 -0.987  -0.129 -1.122  -0.045 -1.238  0.040 -1.355  0.125 -1.471  0.221 -1.576  0.333 -1.666  0.445 -1.757
2#apb#apb07#app0711/r  1.077 1.423  1.034 1.568  0.888 1.575  0.749 1.488  0.617 1.392  0.498 1.283  0.411 1.144  0.325 1.006  0.249 0.862  0.190 0.709  0.132 0.556  0.074 0.403  0.033 0.245  0.003 0.084  -0.026 -0.076  -0.056 -0.237  -0.083 -0.398  -0.091 -0.562  -0.098 -0.725  -0.106 -0.889  -0.113 -1.052  -0.120 -1.215  -0.125 -1.379  -0.131 -1.542  -0.174 -1.698  -0.242 -1.699  -0.272 -1.538  -0.300 -1.377  -0.296 -1.214  -0.291 -1.050  -0.287 -0.887  -0.280 -0.723  -0.267 -0.560  -0.254 -0.397  -0.240 -0.234  -0.227 -0.071  -0.216 0.092  -0.212 0.255  -0.208 0.419  -0.204 0.582  -0.200 0.746  -0.199 0.909  -0.151 0.914  -0.123 0.757  -0.111 0.594  -0.099 0.431  -0.107 0.267  -0.115 0.104  -0.124 -0.059  -0.132 -0.223
