2#apa#apa03#app0309/P  -0.183 0.739  -0.103 0.695  -0.183 0.540  -0.183 0.351  -0.237 0.186  -0.308 0.027  -0.308 -0.161  -0.308 -0.349  -0.308 -0.537  -0.308 -0.726  -0.308 -0.914  -0.308 -1.102  -0.308 -1.290  -0.308 -1.478  -0.275 -1.633  -0.209 -1.540  -0.259 -1.359  -0.310 -1.178  -0.360 -0.997  -0.410 -0.815  -0.461 -0.634  -0.511 -0.453  -0.561 -0.272  -0.612 -0.090  -0.662 0.091  -0.712 0.272  -0.763 0.453  -0.793 0.629  -0.650 0.739  -0.558 0.835  -0.409 0.888  -0.262 0.989  -0.106 1.066  0.062 1.114  0.250 1.114  0.439 1.114  0.627 1.114  0.815 1.114  0.948 0.982  1.066 0.842  1.066 0.654  1.066 0.466  1.066 0.278  1.066 0.090  1.003 -0.073  0.841 -0.135  0.789 -0.287  0.641 -0.385  0.486 -0.465  0.316 -0.509
2#apa#apa03#app0309/l  0.293 1.565  0.220 1.565  0.167 1.546  0.167 1.474  0.167 1.401  0.167 1.329  0.167 1.257  0.164 1.186  0.113 1.134  0.062 1.083  0.042 1.019  0.042 0.947  0.042 0.875  0.042 0.802  0.042 0.730  0.021 0.666  -0.030 0.615  -0.081 0.564  -0.084 0.493  -0.084 0.420  -0.084 0.348  -0.084 0.276  -0.084 0.203  -0.084 0.131  -0.084 0.059  -0.084 -0.014  -0.084 -0.086  -0.084 -0.159  -0.084 -0.231  -0.084 -0.303  -0.084 -0.376  -0.084 -0.448  -0.084 -0.520  -0.084 -0.593  -0.084 -0.665  -0.084 -0.737  -0.084 -0.810  -0.084 -0.882  -0.084 -0.954  -0.084 -1.027  -0.084 -1.099  -0.084 -1.171  -0.050 -1.230  0.001 -1.281  0.042 -1.336  0.042 -1.409  0.042 -1.481  0.042 -1.553  0.042 -1.626  0.042 -1.698
2#apa#apa03#app0309/a  0.447 0.285  0.650 0.286  0.650 0.489  0.650 0.692  0.648 0.894  0.505 1.038  0.325 1.095  0.122 1.095  -0.081 1.095  -0.284 1.095  -0.450 1.007  -0.594 0.864  -0.738 0.720  -0.767 0.529  -0.881 0.374  -1.025 0.230  -1.169 0.086  -1.172 -0.115  -1.172 -0.318  -1.172 -0.521  -1.172 -0.724  -1.030 -0.869  -0.970 -1.047  -0.852 -1.132  -0.649 -1.132  -0.446 -1.132  -0.362 -1.012  -0.242 -0.929  -0.160 -0.809  -0.039 -0.727  0.043 -0.605  0.129 -0.438  0.273 -0.294  0.416 -0.151  0.447 0.039  0.447 0.242  0.561 0.398  0.650 0.565  0.650 0.768  0.650 0.815  0.650 0.612  0.650 0.409  0.650 0.206  0.650 0.002  0.650 -0.201  0.650 -0.404  0.708 -0.583  0.852 -0.726  0.852 -0.929  0.852 -1.132
2#apa#apa03#app0309/s  0.463 1.134  0.463 1.236  0.452 1.327  0.350 1.327  0.250 1.317  0.159 1.272  0.067 1.226  -0.024 1.180  -0.116 1.135  -0.218 1.134  -0.317 1.127  -0.389 1.055  -0.461 0.983  -0.504 0.898  -0.504 0.796  -0.504 0.694  -0.504 0.592  -0.504 0.489  -0.504 0.387  -0.428 0.360  -0.326 0.360  -0.310 0.274  -0.310 0.172  -0.213 0.167  -0.117 0.161  -0.117 0.059  -0.105 -0.038  -0.033 -0.111  0.040 -0.183  0.076 -0.270  0.076 -0.372  0.120 -0.456  0.192 -0.529  0.264 -0.601  0.270 -0.701  0.273 -0.800  0.375 -0.800  0.463 -0.814  0.463 -0.916  0.463 -1.018  0.463 -1.120  0.438 -1.212  0.365 -1.284  0.293 -1.357  0.200 -1.380  0.098 -1.380  -0.004 -1.380  -0.106 -1.380  -0.208 -1.380  -0.310 -1.380
2#apa#apa03#app0309/s  0.268 1.327  0.160 1.327  0.060 1.318  0.060 1.210  0.043 1.118  -0.066 1.118  -0.174 1.118  -0.283 1.118  -0.358 1.085  -0.358 0.976  -0.399 0.910  -0.508 0.910  -0.566 0.859  -0.566 0.751  -0.608 0.659  -0.684 0.583  -0.761 0.506  -0.775 0.403  -0.775 0.295  -0.677 0.284  -0.569 0.284  -0.566 0.178  -0.560 0.075  -0.452 0.075  -0.358 0.061  -0.358 -0.047  -0.335 -0.133  -0.226 -0.133  -0.127 -0.155  -0.050 -0.232  0.026 -0.309  0.103 -0.385  0.180 -0.462  0.256 -0.539  0.360 -0.550  0.469 -0.550  0.548 -0.621  0.624 -0.698  0.701 -0.775  0.778 -0.851  0.854 -0.928  0.894 -1.020  0.894 -1.129  0.833 -1.176  0.724 -1.176  0.636 -1.225  0.559 -1.302  0.483 -1.379  0.377 -1.385  0.268 -1.385
2#apa#apa03#app0309/p  -0.586 0.718  -0.586 0.560  -0.544 0.420  -0.458 0.297  -0.458 0.139  -0.458 -0.019  -0.458 -0.177  -0.458 -0.335  -0.458 -0.493  -0.519 -0.626  -0.586 -0.756  -0.586 -0.914  -0.641 -1.059  -0.712 -1.201  -0.714 -1.358  -0.714 -1.409  -0.714 -1.251  -0.714 -1.093  -0.714 -0.935  -0.714 -0.777  -0.662 -0.641  -0.586 -0.514  -0.586 -0.356  -0.586 -0.198  -0.487 -0.081  -0.421 0.059  -0.371 0.209  -0.310 0.352  -0.201 0.465  -0.201 0.623  -0.138 0.718  -0.007 0.784  0.125 0.846  0.283 0.846  0.441 0.846  0.599 0.846  0.757 0.846  0.915 0.846  1.038 0.762  1.178 0.718  1.299 0.629  1.411 0.517  1.467 0.382  1.358 0.333  1.240 0.235  1.128 0.123  0.990 0.077  0.832 0.077  0.718 -0.031  0.569 -0.052
2#apa#apa03#app0309/l  0.253 1.668  0.253 1.596  0.253 1.523  0.212 1.468  0.161 1.417  0.110 1.366  0.094 1.300  0.094 1.228  0.094 1.155  0.094 1.083  0.094 1.011  0.094 0.938  0.094 0.866  0.094 0.793  0.094 0.721  0.094 0.649  0.094 0.576  0.094 0.504  0.094 0.432  0.094 0.359  0.094 0.287  0.094 0.214  0.094 0.142  0.091 0.071  0.040 0.020  -0.012 -0.031  -0.063 -0.083  -0.066 -0.154  -0.066 -0.226  -0.066 -0.298  -0.066 -0.371  -0.066 -0.443  -0.066 -0.516  -0.066 -0.588  -0.066 -0.660  -0.066 -0.733  -0.066 -0.805  -0.066 -0.877  -0.066 -0.950  -0.066 -1.022  -0.103 -1.079  -0.154 -1.130  -0.205 -1.181  -0.225 -1.246  -0.225 -1.318  -0.225 -1.390  -0.225 -1.463  -0.225 -1.535  -0.225 -1.607  -0.225 -1.680
2#apa#apa03#app0309/a  0.343 0.790  0.204 0.929  0.138 1.098  0.043 1.200  -0.153 1.200  -0.272 1.122  -0.341 0.995  -0.520 0.952  -0.659 0.813  -0.797 0.675  -0.887 0.515  -0.887 0.319  -0.887 0.122  -0.931 -0.030  -1.092 -0.066  -1.092 -0.262  -1.092 -0.458  -1.087 -0.654  -0.999 -0.829  -0.911 -1.005  -0.745 -1.054  -0.549 -1.054  -0.353 -1.054  -0.272 -0.938  -0.165 -0.849  0.003 -0.779  0.138 -0.639  0.138 -0.443  0.138 -0.246  0.269 -0.104  0.343 0.062  0.401 0.234  0.540 0.373  0.548 0.566  0.673 0.711  0.753 0.874  0.753 0.919  0.753 0.723  0.711 0.544  0.572 0.405  0.548 0.219  0.548 0.022  0.548 -0.174  0.644 -0.331  0.753 -0.482  0.753 -0.678  0.753 -0.875  0.770 -1.054  0.958 -1.063  0.958 -1.259
2#apa#apa03#app0309/t  0.704 1.632  0.684 1.775  0.561 1.734  0.500 1.632  0.360 1.574  0.275 1.445  0.275 1.282  0.237 1.127  0.164 0.981  0.132 0.825  0.132 0.661  0.132 0.498  0.132 0.334  0.110 0.180  -0.006 0.064  -0.011 -0.097  -0.011 -0.261  -0.011 -0.424  -0.011 -0.588  -0.011 -0.752  -0.011 -0.915  -0.011 -1.079  -0.011 -1.242  -0.011 -1.406  -0.011 -1.569  0.065 -1.657  0.096 -1.567  0.036 -1.415  -0.025 -1.264  -0.086 -1.112  -0.147 -0.960  -0.207 -0.808  -0.268 -0.656  -0.329 -0.504  -0.390 -0.352  -0.450 -0.200  -0.511 -0.049  -0.572 0.103  -0.633 0.255  -0.693 0.407  -0.672 0.434  -0.556 0.318  -0.440 0.203  -0.277 0.202  -0.114 0.202  0.050 0.202  0.214 0.202  0.377 0.202  0.541 0.202  0.704 0.202
2#apa#apa03#app0309/e  0.075 -0.165  0.206 -0.165  0.336 -0.165  0.466 -0.165  0.559 -0.074  0.651 0.018  0.665 0.143  0.709 0.228  0.839 0.228  0.861 0.337  0.861 0.467  0.861 0.597  0.861 0.727  0.821 0.818  0.691 0.818  0.665 0.922  0.627 1.014  0.497 1.014  0.366 1.014  0.236 1.014  0.106 1.014  -0.024 1.014  -0.121 0.980  -0.121 0.850  -0.219 0.818  -0.340 0.795  -0.432 0.703  -0.514 0.607  -0.514 0.477  -0.569 0.369  -0.661 0.277  -0.710 0.168  -0.710 0.037  -0.710 -0.093  -0.710 -0.223  -0.710 -0.353  -0.710 -0.484  -0.710 -0.614  -0.710 -0.744  -0.625 -0.839  -0.533 -0.931  -0.514 -1.053  -0.488 -1.173  -0.396 -1.265  -0.304 -1.357  -0.211 -1.449  -0.119 -1.540  0.011 -1.540  0.142 -1.540  0.272 -1.540
2#apa#apa03#app0309/s  0.552 0.810  0.552 0.930  0.552 1.050  0.552 1.171  0.438 1.177  0.318 1.177  0.197 1.177  0.077 1.177  -0.043 1.177  -0.164 1.177  -0.284 1.177  -0.368 1.141  -0.368 1.020  -0.461 0.994  -0.551 0.964  -0.551 0.843  -0.551 0.723  -0.535 0.609  -0.450 0.524  -0.368 0.438  -0.368 0.318  -0.307 0.258  -0.186 0.258  -0.101 0.175  -0.016 0.090  0.000 -0.024  0.035 -0.109  0.155 -0.109  0.184 -0.201  0.212 -0.293  0.332 -0.293  0.368 -0.378  0.383 -0.492  0.468 -0.577  0.552 -0.663  0.552 -0.783  0.493 -0.845  0.373 -0.845  0.368 -0.960  0.331 -1.065  0.246 -1.151  0.151 -1.212  0.031 -1.212  -0.089 -1.212  -0.202 -1.231  -0.287 -1.316  -0.374 -1.396  -0.495 -1.396  -0.615 -1.396  -0.735 -1.396
2#apa#apa03#app0309/w  -1.363 0.376  -1.258 0.481  -1.363 0.489  -1.363 0.341  -1.363 0.193  -1.363 0.045  -1.363 -0.103  -1.334 -0.221  -1.243 -0.279  -1.243 -0.427  -1.129 -0.460  -0.981 -0.460  -0.833 -0.460  -0.686 -0.460  -0.538 -0.460  -0.514 -0.329  -0.410 -0.224  -0.305 -0.120  -0.201 -0.015  -0.096 0.089  -0.048 0.217  0.060 0.257  0.083 0.389  0.188 0.493  0.191 0.640  0.191 0.682  0.110 0.615  0.071 0.506  0.071 0.358  0.118 0.257  0.191 0.182  0.191 0.034  0.199 -0.110  0.304 -0.215  0.327 -0.349  0.459 -0.415  0.597 -0.460  0.669 -0.536  0.773 -0.580  0.917 -0.570  1.021 -0.466  1.126 -0.361  1.231 -0.257  1.266 -0.124  1.322 0.011  1.386 0.144  1.420 0.257  1.505 0.320  1.505 0.468  1.505 0.615
2#apa#apa03#app0309/e  -0.392 -0.065  -0.231 -0.065  -0.189 -0.184  -0.112 -0.268  0.049 -0.268  0.209 -0.268  0.370 -0.268  0.418 -0.155  0.489 -0.065  0.650 -0.065  0.811 -0.065  0.823 0.083  0.823 0.244  0.823 0.404  0.823 0.565  0.823 0.726  0.823 0.887  0.753 1.018  0.639 1.132  0.486 1.150  0.325 1.150  0.164 1.150  0.004 1.150  -0.157 1.150  -0.318 1.150  -0.453 1.088  -0.567 0.975  -0.681 0.861  -0.794 0.747  -0.797 0.588  -0.797 0.427  -0.797 0.266  -0.797 0.106  -0.797 -0.055  -0.797 -0.216  -0.797 -0.377  -0.797 -0.537  -0.774 -0.684  -0.630 -0.756  -0.486 -0.828  -0.353 -0.914  -0.239 -1.028  -0.099 -1.078  0.013 -1.126  0.020 -1.280  0.180 -1.280  0.341 -1.280  0.502 -1.280  0.663 -1.280  0.823 -1.280
2#apa#apa03#app0309/r  -0.429 0.417  -0.300 0.417  -0.237 0.351  -0.237 0.223  -0.237 0.095  -0.237 -0.034  -0.237 -0.162  -0.237 -0.291  -0.237 -0.419  -0.237 -0.548  -0.237 -0.676  -0.237 -0.805  -0.237 -0.933  -0.237 -1.061  -0.237 -1.190  -0.247 -1.314  -0.338 -1.405  -0.429 -1.496  -0.429 -1.368  -0.429 -1.239  -0.429 -1.111  -0.429 -0.982  -0.429 -0.854  -0.429 -0.725  -0.429 -0.597  -0.429 -0.468  -0.429 -0.340  -0.429 -0.212  -0.376 -0.105  -0.286 -0.014  -0.237 0.095  -0.237 0.223  -0.148 0.315  -0.058 0.405  -0.046 0.529  -0.011 0.643  0.080 0.734  0.170 0.825  0.261 0.916  0.352 1.006  0.443 1.097  0.536 1.182  0.665 1.182  0.793 1.182  0.921 1.182  1.050 1.182  1.156 1.128  1.247 1.037  1.356 0.991  1.484 0.991
2#apa#apa03#app0309/e  -0.164 -0.041  -0.025 -0.041  0.114 -0.041  0.253 -0.041  0.392 -0.041  0.495 -0.005  0.505 0.124  0.644 0.124  0.660 0.246  0.757 0.289  0.825 0.359  0.825 0.498  0.825 0.637  0.825 0.776  0.825 0.915  0.718 0.948  0.603 1.004  0.505 1.103  0.370 1.112  0.231 1.112  0.092 1.112  -0.042 1.091  -0.166 1.029  -0.290 0.967  -0.328 0.852  -0.398 0.783  -0.493 0.739  -0.506 0.605  -0.604 0.507  -0.658 0.390  -0.658 0.251  -0.658 0.113  -0.658 -0.026  -0.658 -0.165  -0.658 -0.304  -0.658 -0.443  -0.658 -0.582  -0.658 -0.721  -0.658 -0.860  -0.563 -0.959  -0.465 -1.057  -0.367 -1.156  -0.328 -1.279  -0.270 -1.359  -0.131 -1.359  0.008 -1.359  0.147 -1.359  0.251 -1.444  0.356 -1.523  0.495 -1.523
