1b#apb#apb09#app0909/A  -0.620 0.086  -0.617 -0.055  -0.661 -0.279  -0.661 -0.508  -0.677 -0.736  -0.708 -0.963  -0.745 -1.188  -0.726 -1.075  -0.700 -0.848  -0.683 -0.620  -0.666 -0.391  -0.643 -0.164  -0.618 0.064  -0.591 0.291  -0.558 0.518  -0.526 0.745  -0.454 0.960  -0.363 1.171  -0.255 1.372  -0.125 1.559  0.053 1.696  0.252 1.614  0.402 1.447  0.489 1.235  0.561 1.018  0.622 0.798  0.676 0.575  0.733 0.353  0.798 0.134  0.833 -0.092  0.855 -0.320  0.842 -0.548  0.831 -0.776  0.787 -1.001  0.728 -1.218  0.565 -1.197  0.391 -1.049  0.216 -0.900  0.042 -0.752  -0.132 -0.603  -0.306 -0.455  -0.480 -0.306  -0.533 -0.179  -0.321 -0.099  -0.098 -0.051  0.117 0.028  0.334 0.100  0.557 0.153  0.780 0.203  1.004 0.253
1b#apb#apb09#app0909/L  -0.431 1.693  -0.371 1.646  -0.318 1.583  -0.293 1.506  -0.276 1.426  -0.258 1.346  -0.240 1.266  -0.227 1.186  -0.235 1.104  -0.244 1.023  -0.252 0.941  -0.261 0.860  -0.268 0.778  -0.272 0.696  -0.276 0.614  -0.280 0.532  -0.283 0.450  -0.287 0.368  -0.292 0.286  -0.297 0.204  -0.301 0.123  -0.306 0.041  -0.311 -0.041  -0.317 -0.123  -0.324 -0.205  -0.333 -0.286  -0.349 -0.366  -0.365 -0.447  -0.343 -0.523  -0.310 -0.598  -0.269 -0.668  -0.211 -0.726  -0.153 -0.784  -0.080 -0.817  -0.002 -0.844  0.075 -0.872  0.153 -0.897  0.234 -0.902  0.316 -0.907  0.398 -0.912  0.480 -0.917  0.561 -0.907  0.642 -0.895  0.724 -0.883  0.805 -0.871  0.886 -0.859  0.968 -0.856  1.050 -0.856  1.132 -0.856  1.214 -0.856
1b#apb#apb09#app0909/M  -0.825 0.549  -0.937 0.623  -0.959 0.422  -0.971 0.218  -0.980 0.015  -0.982 -0.189  -0.970 -0.392  -0.956 -0.596  -0.938 -0.799  -0.880 -0.860  -0.819 -0.667  -0.799 -0.464  -0.785 -0.261  -0.785 -0.057  -0.785 0.147  -0.768 0.350  -0.745 0.552  -0.710 0.750  -0.593 0.918  -0.462 1.073  -0.310 1.025  -0.241 0.834  -0.186 0.638  -0.147 0.438  -0.110 0.238  -0.073 0.037  -0.036 -0.163  0.013 -0.361  0.057 -0.560  0.107 -0.757  0.180 -0.816  0.286 -0.643  0.353 -0.451  0.419 -0.258  0.481 -0.064  0.544 0.130  0.609 0.324  0.676 0.516  0.767 0.697  0.910 0.768  1.019 0.599  1.092 0.408  1.134 0.209  1.176 0.009  1.209 -0.192  1.245 -0.393  1.285 -0.593  1.332 -0.791  1.381 -0.989  1.476 -1.167
1b#apb#apb09#app0909/N  -0.865 0.683  -0.800 0.539  -0.756 0.374  -0.711 0.209  -0.669 0.044  -0.630 -0.122  -0.603 -0.291  -0.573 -0.459  -0.528 -0.623  -0.544 -0.791  -0.580 -0.640  -0.616 -0.473  -0.651 -0.306  -0.687 -0.139  -0.723 0.028  -0.758 0.195  -0.794 0.362  -0.830 0.529  -0.865 0.696  -0.901 0.863  -0.857 0.715  -0.791 0.558  -0.711 0.408  -0.616 0.267  -0.511 0.132  -0.407 -0.003  -0.311 -0.144  -0.214 -0.285  -0.098 -0.408  0.034 -0.517  0.165 -0.626  0.295 -0.737  0.428 -0.841  0.591 -0.892  0.755 -0.938  0.917 -0.943  1.032 -0.831  1.108 -0.678  1.138 -0.512  1.157 -0.342  1.155 -0.172  1.149 -0.001  1.142 0.169  1.126 0.339  1.109 0.509  1.092 0.679  1.075 0.849  1.059 1.019  1.044 1.189  1.029 1.359
1b#apb#apb09#app0909/O  -0.124 0.757  -0.102 0.890  -0.085 1.023  -0.127 1.135  -0.251 1.116  -0.341 1.016  -0.428 0.914  -0.501 0.802  -0.574 0.689  -0.648 0.576  -0.695 0.452  -0.731 0.323  -0.767 0.193  -0.803 0.064  -0.820 -0.070  -0.835 -0.203  -0.851 -0.337  -0.859 -0.470  -0.826 -0.600  -0.793 -0.730  -0.750 -0.855  -0.655 -0.950  -0.560 -1.045  -0.434 -1.086  -0.304 -1.122  -0.174 -1.146  -0.041 -1.127  0.092 -1.108  0.222 -1.080  0.330 -1.001  0.438 -0.921  0.546 -0.841  0.634 -0.741  0.714 -0.633  0.793 -0.525  0.858 -0.409  0.888 -0.278  0.917 -0.147  0.945 -0.016  0.917 0.115  0.888 0.246  0.859 0.378  0.807 0.500  0.739 0.616  0.672 0.732  0.587 0.833  0.480 0.915  0.373 0.995  0.251 1.051  0.129 1.108
1b#apb#apb09#app0909/P  -0.672 0.081  -0.634 -0.048  -0.634 -0.201  -0.634 -0.353  -0.607 -0.504  -0.581 -0.654  -0.545 -0.802  -0.508 -0.950  -0.477 -1.099  -0.440 -1.247  -0.469 -1.269  -0.496 -1.119  -0.524 -0.969  -0.551 -0.819  -0.578 -0.669  -0.604 -0.519  -0.630 -0.369  -0.656 -0.218  -0.672 -0.067  -0.672 0.085  -0.672 0.238  -0.660 0.389  -0.621 0.536  -0.567 0.678  -0.492 0.811  -0.411 0.939  -0.293 1.035  -0.165 1.113  -0.020 1.161  0.128 1.187  0.281 1.187  0.423 1.140  0.561 1.076  0.678 0.981  0.786 0.874  0.880 0.754  0.970 0.631  1.042 0.498  1.095 0.355  1.147 0.212  1.147 0.059  1.137 -0.091  1.073 -0.229  1.001 -0.361  0.874 -0.445  0.747 -0.530  0.602 -0.577  0.456 -0.620  0.305 -0.640  0.153 -0.651
1b#apb#apb09#app0909/Q  0.035 0.729  -0.034 0.918  -0.124 1.098  -0.242 1.256  -0.433 1.270  -0.617 1.187  -0.745 1.031  -0.842 0.859  -0.903 0.667  -0.955 0.473  -0.990 0.274  -1.024 0.075  -0.999 -0.122  -0.958 -0.319  -0.899 -0.512  -0.832 -0.702  -0.696 -0.841  -0.530 -0.953  -0.334 -0.999  -0.137 -1.032  0.064 -1.020  0.253 -0.964  0.428 -0.864  0.570 -0.724  0.701 -0.570  0.786 -0.390  0.857 -0.202  0.844 -0.002  0.824 0.199  0.742 0.379  0.640 0.553  0.537 0.726  0.390 0.864  0.243 1.001  0.062 1.089  -0.009 0.997  -0.009 0.795  -0.009 0.593  -0.009 0.392  -0.009 0.190  -0.009 -0.011  -0.021 -0.201  0.082 -0.374  0.197 -0.540  0.323 -0.697  0.460 -0.844  0.604 -0.984  0.758 -1.114  0.909 -1.248  1.058 -1.383
1b#apb#apb09#app0909/R  -0.532 0.427  -0.597 0.270  -0.646 0.108  -0.682 -0.058  -0.675 -0.227  -0.666 -0.397  -0.627 -0.562  -0.598 -0.729  -0.557 -0.841  -0.562 -0.673  -0.580 -0.504  -0.611 -0.337  -0.641 -0.170  -0.664 -0.002  -0.686 0.167  -0.708 0.335  -0.709 0.503  -0.672 0.668  -0.634 0.834  -0.548 0.978  -0.449 1.115  -0.300 1.197  -0.143 1.260  0.020 1.299  0.189 1.283  0.341 1.208  0.466 1.101  0.563 0.962  0.606 0.801  0.627 0.633  0.583 0.470  0.506 0.324  0.386 0.204  0.260 0.090  0.130 -0.019  -0.018 -0.099  -0.117 -0.188  -0.071 -0.216  0.070 -0.309  0.216 -0.396  0.351 -0.499  0.483 -0.606  0.603 -0.726  0.723 -0.847  0.843 -0.967  0.957 -1.092  1.054 -1.231  1.152 -1.370  1.252 -1.507  1.313 -1.665
1b#apb#apb09#app0909/S  0.616 0.891  0.504 0.929  0.392 0.966  0.278 0.994  0.162 1.019  0.046 1.039  -0.071 1.039  -0.189 1.039  -0.307 1.036  -0.423 1.014  -0.539 0.992  -0.652 0.963  -0.755 0.905  -0.851 0.838  -0.903 0.742  -0.869 0.635  -0.798 0.541  -0.704 0.475  -0.598 0.423  -0.493 0.370  -0.378 0.343  -0.263 0.320  -0.148 0.294  -0.038 0.251  0.072 0.209  0.182 0.166  0.290 0.118  0.396 0.068  0.503 0.018  0.605 -0.041  0.704 -0.105  0.774 -0.189  0.799 -0.304  0.786 -0.419  0.756 -0.533  0.693 -0.632  0.630 -0.732  0.559 -0.825  0.485 -0.918  0.402 -1.000  0.308 -1.072  0.215 -1.144  0.114 -1.205  0.009 -1.258  -0.098 -1.307  -0.212 -1.335  -0.327 -1.364  -0.440 -1.398  -0.553 -1.429  -0.671 -1.429
1b#apb#apb09#app0909/T  0.299 0.868  0.187 0.742  0.164 0.581  0.165 0.413  0.185 0.245  0.206 0.078  0.232 -0.088  0.258 -0.255  0.289 -0.420  0.330 -0.584  0.372 -0.747  0.418 -0.909  0.458 -1.072  0.471 -1.241  0.478 -1.409  0.494 -1.451  0.404 -1.322  0.288 -1.200  0.171 -1.079  0.055 -0.957  -0.061 -0.835  -0.178 -0.713  -0.294 -0.591  -0.410 -0.469  -0.527 -0.347  -0.643 -0.225  -0.760 -0.103  -0.876 0.019  -0.992 0.141  -1.109 0.263  -1.225 0.384  -1.342 0.506  -1.285 0.573  -1.120 0.595  -0.952 0.585  -0.783 0.576  -0.615 0.576  -0.446 0.576  -0.278 0.576  -0.110 0.587  0.058 0.605  0.226 0.623  0.393 0.641  0.560 0.667  0.726 0.694  0.893 0.720  1.058 0.753  1.222 0.791  1.389 0.816  1.557 0.823
1b#apb#apb09#app0909/U  -1.075 1.060  -1.129 1.073  -1.138 0.945  -1.138 0.816  -1.129 0.688  -1.114 0.559  -1.099 0.431  -1.084 0.303  -1.070 0.175  -1.056 0.046  -1.031 -0.080  -1.004 -0.206  -0.972 -0.331  -0.934 -0.455  -0.882 -0.570  -0.791 -0.661  -0.695 -0.744  -0.572 -0.785  -0.450 -0.819  -0.324 -0.788  -0.200 -0.755  -0.082 -0.701  0.035 -0.647  0.133 -0.566  0.224 -0.474  0.310 -0.379  0.368 -0.264  0.425 -0.148  0.478 -0.031  0.514 0.093  0.551 0.217  0.586 0.341  0.619 0.466  0.652 0.591  0.683 0.716  0.701 0.844  0.726 0.814  0.735 0.685  0.747 0.557  0.769 0.430  0.792 0.303  0.817 0.176  0.848 0.051  0.880 -0.074  0.920 -0.197  0.966 -0.317  1.019 -0.434  1.085 -0.545  1.155 -0.653  1.230 -0.758
1b#apb#apb09#app0909/V  -0.869 1.004  -0.844 1.117  -0.816 1.229  -0.792 1.342  -0.792 1.248  -0.781 1.133  -0.769 1.018  -0.757 0.903  -0.736 0.790  -0.711 0.677  -0.687 0.564  -0.662 0.450  -0.632 0.339  -0.599 0.228  -0.567 0.117  -0.535 0.006  -0.499 -0.104  -0.461 -0.213  -0.422 -0.323  -0.384 -0.432  -0.332 -0.535  -0.280 -0.639  -0.229 -0.742  -0.168 -0.840  -0.102 -0.935  -0.036 -1.030  0.051 -1.106  0.135 -1.186  0.213 -1.255  0.313 -1.201  0.390 -1.115  0.467 -1.029  0.515 -0.923  0.562 -0.818  0.610 -0.712  0.648 -0.604  0.668 -0.490  0.689 -0.376  0.709 -0.263  0.729 -0.149  0.743 -0.034  0.750 0.082  0.758 0.197  0.766 0.312  0.773 0.428  0.780 0.543  0.786 0.659  0.792 0.774  0.799 0.890  0.816 1.004
1b#apb#apb09#app0909/W  -1.017 1.108  -1.056 1.113  -1.090 0.964  -1.118 0.815  -1.118 0.664  -1.095 0.513  -1.071 0.363  -1.025 0.217  -0.979 0.072  -0.931 -0.073  -0.880 -0.217  -0.820 -0.356  -0.741 -0.487  -0.620 -0.577  -0.484 -0.567  -0.401 -0.440  -0.345 -0.298  -0.293 -0.155  -0.269 -0.004  -0.246 0.146  -0.222 0.297  -0.202 0.405  -0.216 0.253  -0.234 0.102  -0.226 -0.049  -0.203 -0.200  -0.174 -0.349  -0.099 -0.482  -0.024 -0.615  0.079 -0.726  0.187 -0.834  0.309 -0.924  0.436 -1.009  0.587 -1.013  0.709 -0.923  0.809 -0.810  0.891 -0.682  0.947 -0.543  0.974 -0.393  1.002 -0.243  1.017 -0.091  1.027 0.061  1.037 0.213  1.047 0.365  1.038 0.517  1.027 0.670  1.017 0.822  1.012 0.974  1.020 1.126  1.029 1.279
1b#apb#apb09#app0909/X  0.521 1.576  0.547 1.542  0.574 1.355  0.574 1.168  0.548 0.981  0.523 0.794  0.503 0.606  0.484 0.418  0.452 0.232  0.411 0.047  0.369 -0.137  0.310 -0.317  0.250 -0.496  0.177 -0.670  0.097 -0.841  0.024 -1.015  -0.073 -1.175  -0.148 -1.311  -0.209 -1.132  -0.269 -0.953  -0.330 -0.774  -0.391 -0.595  -0.452 -0.416  -0.512 -0.237  -0.573 -0.058  -0.634 0.121  -0.694 0.300  -0.755 0.479  -0.816 0.658  -0.877 0.837  -0.937 1.016  -0.985 1.197  -0.902 1.033  -0.807 0.870  -0.706 0.710  -0.598 0.556  -0.480 0.408  -0.362 0.260  -0.243 0.113  -0.124 -0.034  -0.005 -0.181  0.121 -0.320  0.266 -0.441  0.412 -0.562  0.558 -0.681  0.706 -0.799  0.861 -0.905  1.032 -0.985  1.200 -1.072  1.362 -1.169
1b#apb#apb09#app0909/Y  -0.953 1.266  -0.993 1.212  -0.993 1.061  -0.963 0.914  -0.923 0.769  -0.880 0.624  -0.830 0.482  -0.779 0.339  -0.701 0.211  -0.617 0.086  -0.519 -0.027  -0.403 -0.124  -0.279 -0.207  -0.139 -0.263  0.004 -0.311  0.135 -0.273  0.259 -0.186  0.348 -0.064  0.437 0.058  0.512 0.188  0.573 0.326  0.634 0.464  0.681 0.607  0.726 0.751  0.760 0.898  0.788 1.047  0.873 1.054  0.838 0.937  0.748 0.817  0.657 0.696  0.566 0.576  0.475 0.455  0.384 0.335  0.293 0.214  0.202 0.094  0.111 -0.027  0.011 -0.135  -0.071 -0.250  -0.115 -0.393  -0.138 -0.542  -0.133 -0.692  -0.114 -0.842  -0.098 -0.992  -0.083 -1.142  -0.068 -1.293  -0.065 -1.443  -0.065 -1.594  -0.043 -1.743  -0.025 -1.893  -0.025 -2.044
1b#apb#apb09#app0909/Z  -1.148 0.746  -1.181 0.841  -1.116 0.934  -1.021 0.988  -0.906 0.988  -0.791 0.988  -0.676 0.988  -0.562 0.988  -0.447 0.988  -0.333 0.975  -0.219 0.958  -0.105 0.941  0.008 0.924  0.122 0.907  0.235 0.890  0.347 0.868  0.446 0.809  0.502 0.723  0.509 0.609  0.457 0.507  0.406 0.404  0.331 0.318  0.252 0.234  0.174 0.150  0.091 0.070  0.007 -0.008  -0.076 -0.087  -0.152 -0.173  -0.221 -0.265  -0.290 -0.357  -0.349 -0.455  -0.403 -0.556  -0.428 -0.666  -0.436 -0.781  -0.383 -0.873  -0.295 -0.942  -0.187 -0.982  -0.079 -1.023  0.035 -1.027  0.150 -1.027  0.264 -1.027  0.378 -1.017  0.490 -0.991  0.602 -0.966  0.714 -0.940  0.828 -0.927  0.943 -0.922  1.057 -0.917  1.172 -0.909  1.286 -0.898
