3#app#app31#app3172/t  0.900 1.969  0.743 1.956  0.627 1.841  0.610 1.685  0.610 1.522  0.610 1.359  0.577 1.209  0.463 1.093  0.424 0.935  0.384 0.777  0.345 0.619  0.319 0.459  0.286 0.304  0.213 0.158  0.173 0.004  0.108 -0.132  0.028 -0.262  0.028 -0.425  0.028 -0.588  0.028 -0.751  0.028 -0.914  0.028 -1.077  0.035 -1.237  0.150 -1.352  0.088 -1.277  -0.020 -1.155  -0.127 -1.032  -0.235 -0.909  -0.342 -0.787  -0.449 -0.664  -0.557 -0.541  -0.664 -0.418  -0.771 -0.296  -0.844 -0.264  -0.844 -0.428  -0.932 -0.503  -0.990 -0.398  -0.867 -0.358  -0.704 -0.358  -0.686 -0.212  -0.523 -0.212  -0.374 -0.178  -0.257 -0.067  -0.094 -0.067  0.064 -0.049  0.210 0.024  0.348 0.108  0.463 0.223  0.609 0.296  0.755 0.369
3#app#app31#app3172/h  -0.518 1.517  -0.410 1.534  -0.445 1.625  -0.518 1.573  -0.518 1.448  -0.518 1.323  -0.518 1.198  -0.518 1.073  -0.518 0.948  -0.518 0.823  -0.518 0.698  -0.518 0.573  -0.518 0.447  -0.518 0.322  -0.518 0.197  -0.518 0.072  -0.518 -0.053  -0.518 -0.178  -0.518 -0.303  -0.440 -0.240  -0.410 -0.127  -0.340 -0.031  -0.302 0.078  -0.239 0.177  -0.195 0.284  -0.115 0.330  0.010 0.330  0.021 0.216  0.031 0.094  0.087 -0.018  0.129 -0.133  0.129 -0.259  0.129 -0.384  0.129 -0.509  0.129 -0.634  0.136 -0.756  0.224 -0.844  0.237 -0.964  0.325 -1.053  0.413 -1.141  0.522 -1.181  0.647 -1.181  0.772 -1.181  0.862 -1.096  0.950 -1.007  1.039 -0.919  1.100 -0.819  1.139 -0.710  1.228 -0.622  1.316 -0.534
3#app#app31#app3172/w  -0.615 0.940  -0.473 0.940  -0.465 1.074  -0.465 0.965  -0.517 0.835  -0.581 0.708  -0.615 0.574  -0.656 0.449  -0.756 0.349  -0.856 0.249  -0.914 0.131  -0.914 -0.011  -0.914 -0.153  -0.950 -0.259  -1.064 -0.287  -1.045 -0.409  -0.914 -0.397  -0.911 -0.259  -0.769 -0.259  -0.764 -0.122  -0.635 -0.109  -0.493 -0.109  -0.465 -0.222  -0.465 -0.364  -0.367 -0.409  -0.315 -0.498  -0.257 -0.616  -0.157 -0.716  -0.057 -0.817  0.068 -0.859  0.210 -0.859  0.352 -0.859  0.494 -0.859  0.585 -0.808  0.615 -0.679  0.715 -0.578  0.816 -0.478  0.916 -0.378  1.016 -0.277  1.035 -0.143  1.083 -0.013  1.146 0.114  1.185 0.247  1.185 0.389  1.185 0.531  1.185 0.673  1.185 0.815  1.168 0.940  1.043 0.940  1.185 0.940
3#app#app31#app3172/o  0.558 0.714  0.407 0.714  0.255 0.714  0.104 0.714  -0.047 0.714  -0.130 0.646  -0.130 0.495  -0.272 0.485  -0.423 0.485  -0.574 0.485  -0.685 0.388  -0.792 0.281  -0.819 0.141  -0.835 -0.006  -0.902 -0.142  -0.970 -0.277  -1.038 -0.412  -1.048 -0.561  -1.013 -0.698  -0.906 -0.805  -0.819 -0.920  -0.819 -1.071  -0.718 -1.121  -0.566 -1.121  -0.415 -1.121  -0.264 -1.121  -0.112 -1.121  0.039 -1.121  0.163 -1.057  0.270 -0.950  0.377 -0.843  0.484 -0.736  0.591 -0.629  0.698 -0.522  0.787 -0.408  0.787 -0.257  0.787 -0.105  0.787 0.046  0.787 0.197  0.787 0.349  0.787 0.500  0.787 0.651  0.787 0.802  0.777 0.943  0.626 0.943  0.558 1.027  0.553 1.173  0.402 1.173  0.250 1.173  0.099 1.173
3#app#app31#app3172/r  -0.232 0.179  -0.232 0.057  -0.232 -0.066  -0.232 -0.188  -0.232 -0.311  -0.232 -0.433  -0.232 -0.556  -0.232 -0.678  -0.232 -0.801  -0.293 -0.862  -0.416 -0.862  -0.492 -0.908  -0.492 -1.030  -0.492 -1.153  -0.492 -1.275  -0.492 -1.366  -0.492 -1.244  -0.492 -1.121  -0.492 -0.999  -0.492 -0.876  -0.492 -0.754  -0.492 -0.631  -0.492 -0.509  -0.492 -0.386  -0.415 -0.341  -0.292 -0.341  -0.232 -0.279  -0.232 -0.157  -0.232 -0.034  -0.232 0.088  -0.209 0.202  -0.123 0.288  -0.036 0.375  0.029 0.471  0.029 0.593  0.040 0.711  0.126 0.798  0.213 0.884  0.302 0.967  0.412 1.022  0.522 1.077  0.631 1.131  0.741 1.186  0.855 1.220  0.978 1.220  1.100 1.220  1.223 1.220  1.330 1.205  1.330 1.083  1.330 0.960
3#app#app31#app3172/k  0.153 1.885  0.153 2.026  0.062 2.058  0.062 1.917  0.062 1.777  0.032 1.643  -0.029 1.517  -0.029 1.376  -0.031 1.236  -0.059 1.098  -0.086 0.960  -0.114 0.823  -0.119 0.682  -0.119 0.542  -0.158 0.407  -0.202 0.274  -0.210 0.135  -0.210 -0.006  -0.210 -0.146  -0.210 -0.287  -0.210 -0.428  -0.210 -0.568  -0.210 -0.709  -0.210 -0.850  -0.210 -0.990  -0.210 -1.131  -0.180 -1.264  -0.120 -1.380  -0.136 -1.240  -0.151 -1.101  -0.167 -0.961  -0.182 -0.821  -0.198 -0.681  -0.184 -0.568  -0.043 -0.568  -0.004 -0.452  0.095 -0.353  0.153 -0.236  0.262 -0.204  0.383 -0.156  0.506 -0.113  0.433 -0.213  0.343 -0.321  0.253 -0.429  0.163 -0.537  0.073 -0.645  0.095 -0.749  0.235 -0.749  0.376 -0.749  0.516 -0.749
3#app#app31#app3172/e  -0.292 -0.504  -0.292 -0.358  -0.204 -0.299  -0.066 -0.278  0.038 -0.175  0.151 -0.093  0.298 -0.093  0.444 -0.093  0.591 -0.093  0.738 -0.093  0.869 -0.027  1.000 0.039  1.131 0.104  1.276 0.112  1.353 0.182  1.353 0.328  1.353 0.475  1.284 0.593  1.180 0.697  1.047 0.729  0.900 0.729  0.753 0.729  0.607 0.729  0.460 0.729  0.313 0.729  0.167 0.729  0.020 0.729  -0.127 0.729  -0.273 0.729  -0.382 0.638  -0.486 0.535  -0.628 0.524  -0.703 0.451  -0.712 0.309  -0.816 0.205  -0.908 0.097  -0.908 -0.050  -0.982 -0.166  -1.085 -0.270  -1.114 -0.405  -1.114 -0.552  -1.114 -0.698  -0.993 -0.770  -0.862 -0.836  -0.731 -0.902  -0.703 -1.031  -0.646 -1.121  -0.500 -1.121  -0.395 -1.223  -0.292 -1.327
3#app#app31#app3172/d  -0.061 -0.390  -0.226 -0.344  -0.379 -0.270  -0.563 -0.270  -0.659 -0.357  -0.779 -0.421  -0.779 -0.605  -0.708 -0.772  -0.659 -0.945  -0.519 -0.989  -0.335 -0.989  -0.160 -0.968  -0.061 -0.825  -0.012 -0.652  0.059 -0.485  0.059 -0.301  0.082 -0.127  0.179 0.017  0.179 0.201  0.179 0.385  0.179 0.569  0.179 0.753  0.179 0.937  0.179 1.121  0.179 1.305  0.179 1.489  0.179 1.673  0.179 1.856  0.154 1.742  0.059 1.597  0.059 1.413  0.033 1.235  -0.049 1.071  -0.061 0.890  -0.061 0.706  -0.061 0.522  -0.061 0.338  -0.061 0.154  -0.061 -0.030  -0.061 -0.214  -0.003 -0.385  0.059 -0.554  0.059 -0.738  0.179 -0.872  0.227 -1.036  0.357 -1.166  0.515 -1.228  0.652 -1.342  0.833 -1.348  1.017 -1.348
3#app#app31#app3172/.  1.600 -0.548  1.512 -0.548  1.425 -0.548  1.337 -0.548  1.249 -0.548  1.162 -0.548  1.074 -0.548  0.986 -0.548  0.899 -0.548  0.811 -0.548  0.723 -0.548  0.636 -0.548  0.548 -0.548  0.460 -0.548  0.373 -0.548  0.285 -0.548  0.197 -0.548  0.110 -0.548  0.022 -0.548  -0.066 -0.548  -0.153 -0.548  -0.241 -0.548  -0.329 -0.548  -0.416 -0.548  -0.504 -0.548  -0.548 -0.504  -0.548 -0.416  -0.548 -0.329  -0.548 -0.241  -0.548 -0.153  -0.548 -0.066  -0.548 0.022  -0.548 0.110  -0.548 0.197  -0.548 0.285  -0.548 0.373  -0.548 0.460  -0.548 0.548  -0.548 0.636  -0.548 0.723  -0.548 0.811  -0.548 0.899  -0.548 0.986  -0.548 1.074  -0.548 1.162  -0.548 1.249  -0.548 1.337  -0.548 1.425  -0.548 1.512  -0.548 1.600
3#app#app31#app3172/E  -0.018 1.316  0.011 1.210  -0.018 0.936  -0.107 0.687  -0.223 0.432  -0.344 0.180  -0.423 -0.072  -0.557 -0.302  -0.568 -0.583  -0.693 -0.817  -0.781 -1.066  -0.828 -1.332  -0.728 -1.518  -0.442 -1.518  -0.157 -1.518  0.073 -1.383  0.327 -1.308  0.567 -1.158  0.766 -1.071  0.616 -0.827  0.466 -0.584  0.317 -0.341  0.167 -0.098  0.017 0.145  -0.132 0.388  -0.282 0.632  -0.423 0.781  -0.409 1.060  -0.173 1.181  0.074 1.273  0.342 1.316  0.627 1.316  0.913 1.316  1.061 1.180  0.859 0.978  0.657 0.776  0.455 0.574  0.253 0.372  0.051 0.170  -0.151 -0.031  -0.353 -0.233  -0.555 -0.435  -0.693 -0.664  -0.452 -0.708  -0.314 -0.519  -0.079 -0.364  0.123 -0.162  0.252 0.070  0.387 0.221  0.522 0.102
3#app#app31#app3172/v  -0.543 1.307  -0.660 1.307  -0.727 1.258  -0.727 1.140  -0.727 1.023  -0.727 0.906  -0.727 0.789  -0.727 0.671  -0.727 0.554  -0.727 0.437  -0.727 0.320  -0.727 0.203  -0.727 0.085  -0.727 -0.032  -0.727 -0.149  -0.727 -0.266  -0.714 -0.380  -0.661 -0.485  -0.609 -0.590  -0.556 -0.695  -0.456 -0.722  -0.358 -0.741  -0.358 -0.859  -0.309 -0.956  -0.226 -1.038  -0.131 -1.091  -0.014 -1.091  0.076 -1.025  0.159 -0.943  0.242 -0.860  0.325 -0.777  0.380 -0.682  0.380 -0.565  0.460 -0.497  0.565 -0.445  0.670 -0.393  0.749 -0.324  0.749 -0.207  0.804 -0.113  0.887 -0.030  0.933 0.068  0.933 0.185  0.933 0.302  0.933 0.420  0.933 0.537  0.933 0.654  0.933 0.771  0.933 0.889  0.933 1.006  0.933 1.123
3#app#app31#app3172/e  -0.584 -0.456  -0.426 -0.456  -0.341 -0.385  -0.341 -0.228  -0.198 -0.214  -0.057 -0.173  0.054 -0.062  0.174 0.029  0.331 0.029  0.488 0.029  0.641 0.040  0.752 0.151  0.863 0.262  1.016 0.272  1.116 0.329  1.116 0.486  1.116 0.644  1.073 0.758  0.916 0.758  0.874 0.872  0.845 1.001  0.687 1.001  0.530 1.001  0.373 1.001  0.216 1.001  0.059 1.001  -0.098 1.000  -0.210 0.889  -0.321 0.778  -0.470 0.758  -0.584 0.714  -0.584 0.557  -0.584 0.400  -0.597 0.246  -0.667 0.105  -0.737 -0.035  -0.808 -0.176  -0.826 -0.329  -0.826 -0.486  -0.826 -0.643  -0.755 -0.771  -0.644 -0.882  -0.533 -0.993  -0.421 -1.104  -0.341 -1.228  -0.341 -1.385  -0.226 -1.428  -0.077 -1.448  0.034 -1.559  0.145 -1.671
3#app#app31#app3172/n  -0.380 0.072  -0.380 -0.082  -0.505 -0.110  -0.561 -0.207  -0.630 -0.292  -0.772 -0.320  -0.880 -0.429  -0.989 -0.538  -1.097 -0.646  -1.107 -0.796  -0.995 -0.837  -0.925 -0.753  -0.886 -0.616  -0.777 -0.508  -0.743 -0.368  -0.689 -0.237  -0.580 -0.129  -0.561 0.017  -0.491 0.142  -0.383 0.250  -0.313 0.387  -0.244 0.524  -0.198 0.666  -0.183 0.814  -0.074 0.922  -0.016 1.052  0.014 1.193  0.123 1.301  0.258 1.344  0.393 1.299  0.502 1.190  0.529 1.048  0.529 0.895  0.529 0.741  0.529 0.588  0.529 0.434  0.529 0.281  0.619 0.164  0.711 0.049  0.711 -0.105  0.711 -0.258  0.711 -0.412  0.711 -0.565  0.756 -0.700  0.864 -0.809  0.893 -0.950  0.893 -1.104  0.950 -1.201  1.103 -1.201  1.257 -1.201
3#app#app31#app3172/a  -0.330 0.333  -0.330 0.498  -0.453 0.541  -0.539 0.621  -0.576 0.750  -0.741 0.750  -0.860 0.637  -0.957 0.511  -0.957 0.346  -1.109 0.333  -1.165 0.223  -1.165 0.057  -1.165 -0.108  -1.165 -0.274  -1.165 -0.440  -1.062 -0.503  -0.897 -0.503  -0.748 -0.486  -0.748 -0.320  -0.608 -0.294  -0.539 -0.197  -0.501 -0.047  -0.384 0.070  -0.240 0.124  -0.088 0.157  0.029 0.274  0.146 0.391  0.263 0.508  0.381 0.626  0.498 0.743  0.505 0.906  0.505 0.846  0.505 0.681  0.505 0.515  0.505 0.349  0.505 0.183  0.505 0.018  0.550 -0.130  0.667 -0.247  0.714 -0.393  0.714 -0.559  0.727 -0.711  0.893 -0.711  0.923 -0.847  1.016 -0.920  1.181 -0.920  1.347 -0.920  1.513 -0.920  1.641 -0.829  1.758 -0.711
