1c#apa#apa14#app1495/b  -0.180 1.683  -0.288 1.790  -0.364 1.823  -0.364 1.671  -0.364 1.519  -0.364 1.367  -0.364 1.215  -0.364 1.063  -0.364 0.911  -0.364 0.759  -0.364 0.607  -0.364 0.455  -0.364 0.303  -0.364 0.151  -0.364 -0.001  -0.364 -0.153  -0.364 -0.304  -0.364 -0.456  -0.401 -0.454  -0.469 -0.318  -0.537 -0.182  -0.460 -0.070  -0.364 0.043  -0.364 0.195  -0.364 0.347  -0.271 0.347  -0.135 0.279  0.001 0.211  0.128 0.127  0.254 0.043  0.381 -0.042  0.507 -0.126  0.649 -0.159  0.801 -0.159  0.937 -0.184  1.005 -0.320  1.073 -0.456  1.057 -0.579  0.950 -0.686  0.842 -0.794  0.733 -0.899  0.597 -0.967  0.461 -1.035  0.325 -1.103  0.189 -1.171  0.053 -1.239  -0.093 -1.264  -0.245 -1.264  -0.397 -1.264  -0.549 -1.264
1c#apa#apa14#app1495/l  -0.244 1.662  -0.244 1.591  -0.244 1.520  -0.244 1.449  -0.244 1.377  -0.244 1.306  -0.224 1.243  -0.174 1.193  -0.124 1.143  -0.073 1.092  -0.045 1.033  -0.045 0.961  -0.045 0.890  -0.045 0.819  -0.045 0.748  -0.045 0.677  -0.045 0.605  -0.045 0.534  -0.045 0.463  -0.045 0.392  -0.045 0.320  -0.045 0.249  -0.045 0.178  -0.045 0.107  -0.040 0.036  -0.028 -0.034  -0.016 -0.105  -0.005 -0.175  0.007 -0.245  0.019 -0.315  0.030 -0.386  0.042 -0.456  0.054 -0.526  0.066 -0.596  0.077 -0.667  0.089 -0.737  0.101 -0.807  0.112 -0.877  0.124 -0.948  0.136 -1.018  0.148 -1.088  0.155 -1.159  0.155 -1.230  0.155 -1.301  0.155 -1.372  0.155 -1.444  0.155 -1.515  0.212 -1.529  0.283 -1.529  0.354 -1.529
1c#apa#apa14#app1495/s  0.138 0.781  0.138 0.897  0.138 1.012  0.138 1.128  0.138 1.243  0.069 1.291  -0.046 1.291  -0.149 1.259  -0.231 1.177  -0.312 1.095  -0.394 1.014  -0.476 0.932  -0.558 0.850  -0.633 0.764  -0.669 0.654  -0.706 0.544  -0.742 0.435  -0.779 0.325  -0.815 0.215  -0.852 0.106  -0.882 -0.005  -0.882 -0.121  -0.882 -0.237  -0.768 -0.239  -0.653 -0.239  -0.537 -0.239  -0.421 -0.239  -0.306 -0.239  -0.190 -0.239  -0.074 -0.239  0.041 -0.239  0.157 -0.239  0.273 -0.239  0.388 -0.239  0.471 -0.317  0.553 -0.399  0.635 -0.481  0.745 -0.494  0.861 -0.494  0.902 -0.568  0.902 -0.683  0.902 -0.799  0.902 -0.915  0.883 -1.022  0.802 -1.104  0.720 -1.186  0.638 -1.268  0.556 -1.350  0.474 -1.431  0.393 -1.513
1c#apa#apa14#app1495/w  -0.693 0.386  -0.754 0.508  -0.815 0.629  -0.826 0.763  -0.863 0.674  -0.906 0.544  -0.949 0.415  -0.959 0.280  -0.959 0.144  -0.959 0.008  -0.959 -0.128  -0.959 -0.265  -0.959 -0.401  -0.959 -0.537  -0.917 -0.667  -0.874 -0.796  -0.831 -0.925  -0.706 -0.940  -0.570 -0.940  -0.471 -0.850  -0.386 -0.744  -0.310 -0.631  -0.235 -0.518  -0.159 -0.404  -0.084 -0.291  -0.008 -0.177  0.068 -0.064  0.102 0.062  0.102 0.043  0.102 -0.093  0.102 -0.230  0.165 -0.340  0.272 -0.410  0.408 -0.410  0.537 -0.385  0.650 -0.310  0.764 -0.234  0.877 -0.159  0.960 -0.052  1.035 0.061  1.111 0.175  1.163 0.295  1.174 0.430  1.207 0.562  1.240 0.694  1.273 0.827  1.296 0.960  1.262 1.082  1.166 1.179  1.030 1.181
1c#apa#apa14#app1495/a  0.695 0.576  0.569 0.702  0.454 0.835  0.374 0.995  0.294 1.154  0.196 1.300  0.070 1.426  -0.076 1.425  -0.236 1.345  -0.395 1.265  -0.472 1.114  -0.528 0.945  -0.585 0.776  -0.641 0.607  -0.716 0.446  -0.796 0.287  -0.875 0.128  -0.876 -0.050  -0.876 -0.229  -0.876 -0.407  -0.876 -0.585  -0.876 -0.763  -0.876 -0.941  -0.765 -1.050  -0.605 -1.130  -0.446 -1.210  -0.316 -1.108  -0.190 -0.982  -0.064 -0.857  0.062 -0.731  0.188 -0.605  0.246 -0.451  0.246 -0.273  0.246 -0.095  0.246 0.083  0.246 0.262  0.246 0.440  0.246 0.535  0.246 0.357  0.246 0.178  0.303 0.014  0.383 -0.146  0.463 -0.305  0.614 -0.393  0.773 -0.472  0.926 -0.558  1.006 -0.718  1.085 -0.877  1.144 -1.041  1.144 -1.219
1c#apa#apa14#app1495/x  -1.570 0.328  -1.570 0.169  -1.475 0.049  -1.363 -0.064  -1.250 -0.176  -1.127 -0.275  -0.994 -0.363  -0.862 -0.451  -0.730 -0.540  -0.594 -0.622  -0.451 -0.693  -0.309 -0.764  -0.154 -0.780  0.005 -0.780  0.164 -0.780  0.323 -0.780  0.482 -0.780  0.641 -0.780  0.800 -0.780  0.830 -0.650  0.830 -0.491  0.830 -0.332  0.830 -0.173  0.830 -0.014  0.830 0.145  0.830 0.304  0.830 0.463  0.830 0.622  0.830 0.781  0.830 0.940  0.830 1.099  0.823 1.251  0.663 1.251  0.504 1.251  0.379 1.169  0.267 1.057  0.154 0.944  0.042 0.832  -0.071 0.719  -0.111 0.571  -0.133 0.413  -0.156 0.256  -0.178 0.098  -0.201 -0.059  -0.223 -0.216  -0.246 -0.374  -0.268 -0.531  -0.320 -0.680  -0.391 -0.822  -0.462 -0.964
1c#apa#apa14#app1495/m  -0.895 -1.140  -1.021 -1.077  -1.147 -1.014  -1.163 -0.933  -1.063 -0.833  -1.053 -0.697  -1.053 -0.556  -1.031 -0.418  -0.997 -0.282  -0.963 -0.145  -0.929 -0.009  -0.895 0.128  -0.895 0.268  -0.895 0.409  -0.895 0.550  -0.830 0.664  -0.731 0.749  -0.631 0.650  -0.519 0.568  -0.393 0.505  -0.267 0.442  -0.141 0.379  -0.016 0.316  0.053 0.218  0.053 0.077  0.053 -0.063  0.058 -0.203  0.121 -0.329  0.184 -0.454  0.211 -0.426  0.211 -0.286  0.211 -0.145  0.211 -0.004  0.211 0.136  0.211 0.277  0.339 0.325  0.473 0.370  0.606 0.414  0.742 0.440  0.883 0.440  1.024 0.440  1.165 0.440  1.305 0.440  1.357 0.317  1.402 0.184  1.446 0.051  1.474 -0.086  1.474 -0.226  1.474 -0.367  1.474 -0.508
1c#apa#apa14#app1495/e  -0.615 -0.823  -0.459 -0.823  -0.313 -0.807  -0.244 -0.668  -0.174 -0.528  -0.104 -0.389  -0.035 -0.250  0.113 -0.237  0.267 -0.233  0.336 -0.094  0.406 0.045  0.476 0.185  0.545 0.324  0.558 0.477  0.558 0.633  0.494 0.773  0.424 0.912  0.354 1.052  0.285 1.191  0.153 1.230  -0.003 1.230  -0.158 1.230  -0.314 1.230  -0.470 1.230  -0.620 1.220  -0.689 1.081  -0.759 0.942  -0.829 0.802  -0.898 0.663  -0.908 0.510  -0.908 0.354  -0.824 0.224  -0.737 0.094  -0.651 -0.036  -0.565 -0.165  -0.478 -0.295  -0.392 -0.424  -0.295 -0.543  -0.156 -0.613  -0.017 -0.682  0.123 -0.752  0.262 -0.822  0.401 -0.891  0.541 -0.961  0.680 -1.030  0.819 -1.100  0.971 -1.116  1.127 -1.116  1.283 -1.116  1.438 -1.116
1c#apa#apa14#app1495/r  -0.622 0.449  -0.622 0.333  -0.622 0.217  -0.622 0.102  -0.622 -0.014  -0.622 -0.130  -0.622 -0.246  -0.622 -0.362  -0.622 -0.478  -0.622 -0.593  -0.622 -0.709  -0.618 -0.824  -0.536 -0.906  -0.455 -0.987  -0.373 -1.069  -0.291 -1.151  -0.209 -1.233  -0.097 -1.243  0.019 -1.243  0.134 -1.243  0.225 -1.218  0.225 -1.102  0.225 -0.986  0.225 -0.870  0.225 -0.754  0.225 -0.638  0.225 -0.523  0.225 -0.407  0.225 -0.291  0.225 -0.175  0.225 -0.059  0.225 0.057  0.225 0.172  0.225 0.288  0.225 0.404  0.225 0.520  0.225 0.636  0.225 0.752  0.225 0.867  0.225 0.983  0.225 1.099  0.225 1.215  0.260 1.295  0.376 1.295  0.492 1.295  0.607 1.295  0.648 1.371  0.648 1.487  0.648 1.603  0.648 1.719
1c#apa#apa14#app1495/c  0.536 0.910  0.468 0.978  0.400 1.046  0.331 1.115  0.235 1.115  0.139 1.115  0.042 1.115  -0.054 1.115  -0.150 1.115  -0.247 1.115  -0.326 1.075  -0.395 1.006  -0.463 0.938  -0.516 0.859  -0.559 0.773  -0.603 0.687  -0.646 0.601  -0.689 0.514  -0.697 0.420  -0.697 0.323  -0.697 0.227  -0.697 0.130  -0.697 0.034  -0.697 -0.063  -0.673 -0.152  -0.620 -0.232  -0.566 -0.312  -0.513 -0.393  -0.459 -0.473  -0.406 -0.553  -0.352 -0.633  -0.299 -0.714  -0.213 -0.733  -0.117 -0.733  -0.021 -0.745  0.073 -0.764  0.168 -0.783  0.262 -0.802  0.357 -0.821  0.452 -0.840  0.546 -0.859  0.641 -0.878  0.735 -0.897  0.830 -0.916  0.924 -0.934  1.013 -0.906  1.099 -0.863  1.185 -0.820  1.272 -0.777  1.358 -0.733
1c#apa#apa14#app1495/i  0.425 0.237  0.339 0.324  0.252 0.410  0.200 0.412  0.200 0.290  0.200 0.167  0.200 0.044  0.200 -0.078  0.200 -0.201  0.200 -0.324  0.200 -0.446  0.200 -0.569  0.200 -0.692  0.200 -0.814  0.200 -0.937  0.200 -1.060  0.200 -1.182  0.200 -1.305  0.200 -1.427  0.200 -1.550  0.180 -1.458  0.158 -1.338  0.135 -1.217  0.113 -1.096  0.090 -0.976  0.067 -0.855  0.045 -0.735  0.022 -0.614  -0.000 -0.494  -0.023 -0.373  -0.046 -0.253  -0.068 -0.132  -0.091 -0.011  -0.113 0.109  -0.136 0.230  -0.159 0.350  -0.181 0.471  -0.204 0.591  -0.227 0.712  -0.249 0.833  -0.272 0.953  -0.294 1.074  -0.317 1.194  -0.340 1.315  -0.362 1.435  -0.385 1.556  -0.407 1.676  -0.430 1.797  -0.453 1.918  -0.475 2.038
1c#apa#apa14#app1495/f  0.503 0.578  0.627 0.702  0.687 0.837  0.609 0.994  0.530 1.151  0.401 1.257  0.244 1.335  0.087 1.414  -0.088 1.415  -0.264 1.415  -0.393 1.327  -0.490 1.181  -0.587 1.035  -0.685 0.889  -0.753 0.734  -0.748 0.559  -0.705 0.389  -0.663 0.219  -0.620 0.048  -0.578 -0.122  -0.528 -0.290  -0.450 -0.447  -0.371 -0.604  -0.293 -0.761  -0.214 -0.918  -0.136 -1.075  -0.018 -1.203  0.106 -1.327  0.231 -1.452  0.328 -1.435  0.397 -1.274  0.466 -1.112  0.535 -0.951  0.604 -0.790  0.673 -0.628  0.742 -0.467  0.812 -0.306  0.881 -0.144  0.848 -0.050  0.673 -0.050  0.497 -0.050  0.322 -0.050  0.146 -0.050  -0.029 -0.050  -0.181 -0.106  -0.306 -0.230  -0.462 -0.302  -0.629 -0.357  -0.795 -0.413  -0.962 -0.468
1c#apa#apa14#app1495/u  -0.889 0.378  -0.889 0.503  -0.889 0.628  -0.777 0.640  -0.652 0.640  -0.627 0.541  -0.627 0.417  -0.627 0.465  -0.627 0.589  -0.700 0.640  -0.825 0.640  -0.828 0.640  -0.703 0.640  -0.627 0.592  -0.627 0.468  -0.627 0.343  -0.627 0.219  -0.627 0.094  -0.627 -0.031  -0.627 -0.155  -0.627 -0.280  -0.627 -0.404  -0.627 -0.529  -0.627 -0.654  -0.550 -0.746  -0.462 -0.834  -0.374 -0.922  -0.253 -0.931  -0.128 -0.931  -0.003 -0.931  0.121 -0.931  0.220 -0.870  0.308 -0.782  0.396 -0.694  0.485 -0.606  0.573 -0.517  0.661 -0.429  0.749 -0.341  0.837 -0.253  0.925 -0.165  1.013 -0.077  1.101 0.011  1.189 0.099  1.251 0.206  1.307 0.317  1.363 0.429  1.418 0.540  1.468 0.653  1.468 0.778  1.468 0.902
1c#apa#apa14#app1495/l  -0.349 1.632  -0.349 1.561  -0.349 1.490  -0.349 1.419  -0.313 1.363  -0.263 1.313  -0.212 1.263  -0.162 1.212  -0.116 1.160  -0.116 1.090  -0.116 1.019  -0.116 0.948  -0.116 0.877  -0.116 0.806  -0.116 0.735  -0.107 0.665  -0.090 0.596  -0.073 0.527  -0.056 0.459  -0.038 0.390  -0.021 0.321  -0.004 0.252  0.013 0.183  0.030 0.115  0.048 0.046  0.065 -0.023  0.082 -0.092  0.099 -0.161  0.116 -0.230  0.116 -0.301  0.116 -0.371  0.116 -0.442  0.116 -0.513  0.116 -0.584  0.116 -0.655  0.116 -0.726  0.116 -0.797  0.116 -0.868  0.116 -0.939  0.116 -1.010  0.116 -1.081  0.116 -1.152  0.116 -1.223  0.116 -1.294  0.116 -1.365  0.148 -1.422  0.198 -1.472  0.248 -1.523  0.298 -1.573  0.348 -1.623
