2#apb#apb22#app2201/C  0.198 0.786  0.224 0.865  0.168 0.724  0.104 0.582  0.026 0.448  -0.051 0.313  -0.096 0.164  -0.072 0.102  0.049 0.199  0.155 0.313  0.241 0.443  0.320 0.577  0.386 0.719  0.439 0.865  0.482 1.015  0.455 1.160  0.335 1.243  0.185 1.200  0.036 1.155  -0.084 1.061  -0.194 0.950  -0.305 0.840  -0.415 0.730  -0.495 0.596  -0.574 0.462  -0.648 0.324  -0.714 0.184  -0.781 0.043  -0.827 -0.106  -0.867 -0.257  -0.907 -0.407  -0.950 -0.557  -0.943 -0.701  -0.863 -0.835  -0.739 -0.927  -0.611 -1.016  -0.460 -1.052  -0.307 -1.083  -0.154 -1.113  -0.001 -1.105  0.152 -1.076  0.305 -1.046  0.458 -1.015  0.610 -0.978  0.761 -0.942  0.913 -0.905  1.054 -0.839  1.195 -0.773  1.334 -0.701  1.471 -0.627
2#apb#apb22#app2201/n  -1.539 -0.530  -1.467 -0.600  -1.463 -0.491  -1.407 -0.376  -1.356 -0.255  -1.282 -0.144  -1.196 -0.045  -1.093 0.040  -0.993 0.128  -0.899 0.222  -0.805 0.316  -0.705 0.403  -0.604 0.490  -0.499 0.569  -0.396 0.651  -0.319 0.571  -0.245 0.460  -0.197 0.337  -0.210 0.205  -0.227 0.073  -0.247 -0.058  -0.268 -0.189  -0.346 -0.296  -0.407 -0.355  -0.351 -0.248  -0.273 -0.140  -0.196 -0.032  -0.119 0.076  -0.041 0.184  0.053 0.278  0.147 0.372  0.228 0.477  0.340 0.515  0.406 0.415  0.446 0.289  0.465 0.158  0.498 0.031  0.564 -0.084  0.633 -0.197  0.754 -0.251  0.876 -0.305  1.000 -0.343  1.133 -0.343  1.266 -0.343  1.399 -0.343  1.530 -0.323  1.659 -0.291  1.788 -0.259  1.917 -0.226  2.046 -0.194
2#apb#apb22#app2201/c  0.223 0.293  0.345 0.324  0.422 0.425  0.533 0.492  0.630 0.576  0.722 0.667  0.809 0.762  0.878 0.869  0.878 0.998  0.761 1.011  0.632 1.011  0.511 0.964  0.402 0.896  0.293 0.827  0.311 0.938  0.286 1.009  0.161 0.980  0.042 0.929  -0.073 0.873  -0.170 0.787  -0.266 0.701  -0.361 0.612  -0.448 0.516  -0.535 0.421  -0.622 0.325  -0.683 0.213  -0.731 0.093  -0.779 -0.027  -0.827 -0.147  -0.859 -0.272  -0.886 -0.399  -0.913 -0.525  -0.916 -0.650  -0.866 -0.769  -0.817 -0.888  -0.753 -0.992  -0.628 -1.026  -0.503 -1.059  -0.378 -1.092  -0.252 -1.102  -0.125 -1.079  0.003 -1.057  0.130 -1.035  0.258 -1.013  0.385 -0.991  0.509 -0.955  0.633 -0.916  0.756 -0.877  0.879 -0.838  1.003 -0.799
2#apb#apb22#app2201/e  -1.397 -0.993  -1.254 -1.009  -1.106 -0.970  -0.970 -0.904  -0.845 -0.815  -0.708 -0.749  -0.563 -0.696  -0.419 -0.644  -0.296 -0.551  -0.175 -0.456  -0.051 -0.366  0.079 -0.284  0.209 -0.201  0.326 -0.104  0.422 0.016  0.518 0.136  0.611 0.259  0.699 0.385  0.787 0.511  0.862 0.645  0.931 0.782  0.995 0.922  1.020 1.073  0.991 1.221  0.913 1.325  0.759 1.325  0.611 1.292  0.465 1.243  0.338 1.164  0.229 1.055  0.121 0.946  0.012 0.837  -0.079 0.714  -0.159 0.583  -0.239 0.452  -0.319 0.320  -0.399 0.189  -0.451 0.045  -0.496 -0.102  -0.541 -0.249  -0.537 -0.400  -0.514 -0.552  -0.490 -0.704  -0.397 -0.815  -0.276 -0.909  -0.151 -0.993  0.003 -0.993  0.157 -0.993  0.311 -0.993  0.465 -0.993
2#apb#apb22#app2201/M  -0.398 0.577  -0.503 0.426  -0.724 0.350  -0.943 0.259  -1.171 0.191  -1.399 0.128  -1.606 0.157  -1.501 0.356  -1.333 0.524  -1.144 0.667  -0.949 0.802  -0.738 0.903  -0.507 0.958  -0.292 0.889  -0.185 0.687  -0.192 0.450  -0.241 0.220  -0.320 -0.004  -0.400 -0.228  -0.506 -0.441  -0.601 -0.659  -0.639 -0.788  -0.527 -0.579  -0.389 -0.386  -0.252 -0.192  -0.111 -0.001  0.041 0.182  0.158 0.076  0.146 -0.162  0.107 -0.396  0.020 -0.615  0.062 -0.583  0.209 -0.397  0.366 -0.218  0.517 -0.035  0.664 0.152  0.794 0.351  0.934 0.542  1.100 0.707  1.037 0.485  0.962 0.260  0.895 0.032  0.832 -0.197  0.823 -0.432  0.842 -0.668  0.971 -0.863  1.183 -0.934  1.416 -0.940  1.636 -0.851  1.857 -0.763
2#apb#apb22#app2201/a  -0.306 0.237  -0.210 0.111  -0.047 0.190  0.022 0.371  0.063 0.561  0.074 0.754  0.112 0.943  0.167 1.120  0.033 1.222  -0.125 1.156  -0.304 1.088  -0.483 1.021  -0.642 0.910  -0.793 0.790  -0.931 0.652  -1.059 0.508  -1.163 0.344  -1.260 0.177  -1.322 -0.007  -1.370 -0.191  -1.304 -0.373  -1.217 -0.539  -1.051 -0.639  -0.876 -0.708  -0.682 -0.708  -0.488 -0.708  -0.301 -0.662  -0.118 -0.597  0.065 -0.532  0.224 -0.424  0.376 -0.304  0.529 -0.185  0.668 -0.049  0.805 0.088  0.918 0.245  0.952 0.426  0.772 0.367  0.643 0.233  0.543 0.066  0.463 -0.110  0.391 -0.290  0.387 -0.483  0.387 -0.677  0.503 -0.824  0.693 -0.846  0.886 -0.860  1.072 -0.820  1.253 -0.751  1.435 -0.682  1.616 -0.613
2#apb#apb22#app2201/g  0.232 0.645  0.325 0.757  0.419 0.875  0.499 1.004  0.566 1.140  0.600 1.286  0.494 1.344  0.363 1.268  0.237 1.184  0.127 1.082  0.028 0.967  -0.072 0.853  -0.155 0.732  -0.164 0.582  -0.068 0.478  0.079 0.476  0.203 0.559  0.323 0.651  0.441 0.746  0.544 0.856  0.565 0.860  0.487 0.730  0.426 0.592  0.372 0.450  0.320 0.308  0.270 0.165  0.221 0.021  0.171 -0.122  0.122 -0.265  0.073 -0.409  0.024 -0.552  -0.025 -0.696  -0.077 -0.838  -0.129 -0.980  -0.181 -1.123  -0.234 -1.265  -0.286 -1.407  -0.339 -1.549  -0.424 -1.651  -0.547 -1.571  -0.633 -1.446  -0.705 -1.317  -0.711 -1.165  -0.718 -1.014  -0.687 -0.869  -0.633 -0.727  -0.580 -0.585  -0.488 -0.466  -0.387 -0.353  -0.286 -0.240
2#apb#apb22#app2201/n  -1.350 -0.686  -1.328 -0.742  -1.328 -0.623  -1.298 -0.509  -1.244 -0.404  -1.183 -0.302  -1.125 -0.198  -1.068 -0.093  -1.012 0.011  -0.938 0.104  -0.863 0.196  -0.787 0.287  -0.708 0.376  -0.629 0.465  -0.551 0.556  -0.457 0.622  -0.359 0.607  -0.291 0.510  -0.279 0.395  -0.295 0.279  -0.340 0.168  -0.385 0.059  -0.433 -0.050  -0.455 -0.107  -0.381 -0.013  -0.304 0.077  -0.222 0.163  -0.138 0.247  -0.054 0.331  0.048 0.382  0.146 0.319  0.219 0.226  0.281 0.124  0.342 0.022  0.410 -0.076  0.478 -0.173  0.569 -0.247  0.667 -0.316  0.777 -0.343  0.896 -0.343  1.015 -0.343  1.129 -0.320  1.240 -0.276  1.350 -0.232  1.460 -0.188  1.562 -0.127  1.659 -0.058  1.755 0.011  1.852 0.080  1.949 0.149
2#apb#apb22#app2201/o  -0.415 0.441  -0.320 0.566  -0.333 0.523  -0.433 0.382  -0.549 0.252  -0.666 0.122  -0.784 -0.006  -0.902 -0.135  -0.989 -0.285  -1.067 -0.442  -1.146 -0.598  -1.171 -0.767  -1.171 -0.941  -1.114 -1.090  -0.983 -1.205  -0.827 -1.238  -0.654 -1.214  -0.481 -1.189  -0.308 -1.164  -0.159 -1.075  -0.013 -0.980  0.134 -0.884  0.280 -0.789  0.394 -0.659  0.499 -0.519  0.603 -0.379  0.694 -0.232  0.755 -0.068  0.817 0.095  0.830 0.257  0.759 0.417  0.657 0.557  0.540 0.686  0.417 0.807  0.247 0.847  0.077 0.886  -0.094 0.868  -0.262 0.833  -0.130 0.718  0.002 0.604  0.134 0.489  0.134 0.525  0.288 0.505  0.448 0.576  0.613 0.622  0.787 0.622  0.962 0.622  1.137 0.622  1.301 0.672  1.461 0.743
2#apb#apb22#app2201/l  -1.436 -1.023  -1.299 -0.960  -1.174 -0.867  -1.048 -0.775  -0.923 -0.683  -0.798 -0.589  -0.674 -0.496  -0.551 -0.400  -0.429 -0.303  -0.307 -0.206  -0.188 -0.106  -0.070 -0.004  0.049 0.097  0.162 0.204  0.266 0.320  0.370 0.435  0.475 0.551  0.578 0.668  0.681 0.785  0.782 0.903  0.855 1.040  0.921 1.181  0.950 1.332  0.823 1.386  0.676 1.341  0.537 1.271  0.412 1.181  0.302 1.070  0.201 0.952  0.112 0.824  0.023 0.697  -0.061 0.566  -0.136 0.429  -0.210 0.292  -0.278 0.153  -0.316 0.002  -0.354 -0.150  -0.389 -0.301  -0.373 -0.456  -0.358 -0.611  -0.315 -0.758  -0.245 -0.897  -0.158 -1.018  -0.015 -1.081  0.128 -1.140  0.276 -1.094  0.425 -1.047  0.566 -0.984  0.701 -0.905  0.835 -0.826
2#apb#apb22#app2201/i  -1.291 -0.879  -1.183 -0.838  -1.103 -0.745  -1.017 -0.659  -0.931 -0.573  -0.841 -0.491  -0.744 -0.416  -0.659 -0.329  -0.578 -0.238  -0.522 -0.129  -0.463 -0.023  -0.391 0.075  -0.342 0.177  -0.375 0.111  -0.409 -0.005  -0.471 -0.110  -0.530 -0.216  -0.585 -0.326  -0.623 -0.441  -0.636 -0.558  -0.583 -0.661  -0.476 -0.719  -0.367 -0.771  -0.245 -0.764  -0.124 -0.756  -0.006 -0.729  0.109 -0.686  0.223 -0.644  0.330 -0.587  0.433 -0.521  0.535 -0.454  0.582 -0.353  0.598 -0.232  0.615 -0.111  0.632 0.010  0.648 0.131  0.665 0.252  0.682 0.373  0.699 0.494  0.715 0.615  0.732 0.735  0.749 0.856  0.765 0.977  0.782 1.098  0.799 1.219  0.816 1.340  0.832 1.461  0.849 1.582  0.866 1.703  0.839 1.752
2#apb#apb22#app2201/a  -0.276 -0.475  -0.092 -0.449  0.066 -0.362  0.201 -0.234  0.316 -0.092  0.390 0.079  0.445 0.256  0.499 0.434  0.557 0.611  0.600 0.789  0.600 0.975  0.580 1.157  0.476 1.288  0.294 1.293  0.114 1.248  -0.057 1.175  -0.226 1.099  -0.393 1.016  -0.538 0.905  -0.660 0.766  -0.776 0.621  -0.888 0.472  -0.999 0.323  -1.081 0.157  -1.153 -0.013  -1.172 -0.198  -1.180 -0.383  -1.153 -0.567  -1.023 -0.696  -0.857 -0.714  -0.689 -0.638  -0.536 -0.533  -0.405 -0.402  -0.279 -0.265  -0.158 -0.124  -0.040 0.014  -0.007 0.029  0.013 -0.155  0.049 -0.338  0.089 -0.519  0.174 -0.683  0.303 -0.797  0.483 -0.842  0.664 -0.876  0.848 -0.853  1.033 -0.830  1.213 -0.792  1.379 -0.709  1.545 -0.626  1.711 -0.543
2#apb#apb22#app2201/S  -1.375 -0.872  -1.263 -0.806  -1.149 -0.706  -1.035 -0.606  -0.921 -0.507  -0.806 -0.408  -0.692 -0.309  -0.577 -0.210  -0.470 -0.103  -0.363 0.004  -0.256 0.111  -0.152 0.221  -0.059 0.340  0.035 0.459  0.128 0.578  0.218 0.700  0.308 0.822  0.393 0.947  0.464 1.080  0.534 1.214  0.602 1.350  0.683 1.477  0.667 1.446  0.619 1.303  0.625 1.152  0.635 1.001  0.642 0.850  0.649 0.699  0.645 0.548  0.639 0.396  0.634 0.245  0.623 0.094  0.608 -0.056  0.593 -0.207  0.570 -0.356  0.524 -0.500  0.478 -0.644  0.426 -0.786  0.355 -0.920  0.279 -1.047  0.135 -1.095  -0.008 -1.082  -0.152 -1.034  -0.293 -0.980  -0.412 -0.888  -0.532 -0.795  -0.652 -0.703  -0.750 -0.588  -0.848 -0.473  -0.946 -0.357
2#apb#apb22#app2201/a  -0.152 0.367  -0.006 0.387  0.099 0.522  0.146 0.663  0.146 0.840  0.127 0.997  -0.049 0.997  -0.217 0.955  -0.379 0.885  -0.541 0.816  -0.681 0.712  -0.814 0.596  -0.941 0.473  -1.056 0.343  -1.116 0.177  -1.177 0.011  -1.207 -0.162  -1.236 -0.336  -1.246 -0.512  -1.230 -0.683  -1.110 -0.790  -0.934 -0.770  -0.765 -0.727  -0.601 -0.662  -0.451 -0.573  -0.316 -0.460  -0.180 -0.348  -0.060 -0.220  0.047 -0.080  0.155 0.059  0.263 0.198  0.374 0.336  0.481 0.475  0.539 0.637  0.450 0.543  0.373 0.384  0.317 0.217  0.288 0.048  0.317 -0.126  0.348 -0.299  0.473 -0.424  0.597 -0.548  0.764 -0.598  0.936 -0.638  1.107 -0.679  1.279 -0.672  1.452 -0.636  1.625 -0.600  1.797 -0.564  1.970 -0.528
2#apb#apb22#app2201/n  -1.351 -0.588  -1.421 -0.681  -1.349 -0.610  -1.268 -0.526  -1.200 -0.432  -1.154 -0.326  -1.096 -0.226  -1.026 -0.133  -0.985 -0.025  -0.938 0.081  -0.871 0.176  -0.804 0.271  -0.733 0.363  -0.658 0.452  -0.559 0.512  -0.451 0.549  -0.359 0.489  -0.323 0.380  -0.310 0.265  -0.310 0.149  -0.326 0.034  -0.352 -0.079  -0.395 -0.186  -0.434 -0.287  -0.386 -0.184  -0.325 -0.085  -0.263 0.013  -0.187 0.099  -0.098 0.175  -0.027 0.265  0.053 0.329  0.142 0.262  0.214 0.171  0.289 0.081  0.378 0.008  0.473 -0.058  0.571 -0.118  0.687 -0.127  0.803 -0.136  0.919 -0.139  1.035 -0.131  1.151 -0.124  1.267 -0.112  1.378 -0.077  1.489 -0.043  1.600 -0.008  1.711 0.027  1.822 0.062  1.933 0.096  2.044 0.131
2#apb#apb22#app2201/t  -1.141 -0.930  -0.966 -0.735  -0.844 -0.498  -0.738 -0.254  -0.634 -0.009  -0.521 0.232  -0.389 0.463  -0.251 0.691  -0.100 0.910  0.058 1.125  0.231 1.326  0.223 1.356  0.106 1.116  -0.004 0.874  -0.108 0.629  -0.203 0.380  -0.287 0.127  -0.358 -0.129  -0.400 -0.392  -0.420 -0.654  -0.359 -0.913  -0.240 -1.139  -0.045 -1.321  0.208 -1.374  0.468 -1.369  0.714 -1.265  0.934 -1.122  1.134 -0.945  1.292 -0.736  1.415 -0.500  1.322 -0.355  1.067 -0.277  0.813 -0.199  0.558 -0.122  0.303 -0.044  0.048 0.034  -0.207 0.112  -0.462 0.189  -0.716 0.267  -0.971 0.345  -1.220 0.357  -0.983 0.412  -0.718 0.441  -0.453 0.471  -0.188 0.500  0.077 0.529  0.341 0.558  0.606 0.585  0.872 0.613  1.137 0.640
2#apb#apb22#app2201/a  -0.453 -0.003  -0.288 -0.038  -0.164 0.079  -0.074 0.228  -0.015 0.391  0.048 0.553  0.114 0.714  0.114 0.888  0.056 1.025  -0.118 1.025  -0.292 1.025  -0.464 1.019  -0.616 0.933  -0.755 0.831  -0.878 0.707  -0.982 0.569  -1.079 0.424  -1.148 0.267  -1.190 0.098  -1.182 -0.074  -1.163 -0.247  -1.080 -0.399  -0.995 -0.552  -0.833 -0.589  -0.660 -0.601  -0.487 -0.581  -0.327 -0.530  -0.185 -0.429  -0.079 -0.295  0.008 -0.144  0.072 0.017  0.137 0.179  0.149 0.351  0.055 0.207  -0.026 0.056  -0.005 -0.117  0.060 -0.268  0.184 -0.391  0.312 -0.507  0.473 -0.572  0.635 -0.636  0.796 -0.701  0.965 -0.678  1.134 -0.638  1.304 -0.598  1.470 -0.549  1.627 -0.474  1.784 -0.400  1.942 -0.325  2.099 -0.251
2#apb#apb22#app2201/F  0.290 0.860  0.453 1.042  0.382 0.883  0.245 0.680  0.138 0.461  0.049 0.233  -0.010 -0.004  -0.050 -0.245  -0.082 -0.488  -0.123 -0.729  -0.166 -0.970  -0.214 -1.210  -0.266 -1.368  -0.423 -1.180  -0.588 -1.001  -0.765 -0.832  -0.923 -0.645  -1.134 -0.525  -1.240 -0.461  -1.002 -0.513  -0.758 -0.542  -0.516 -0.512  -0.275 -0.469  -0.039 -0.408  0.197 -0.341  0.431 -0.270  0.660 -0.185  0.890 -0.103  1.126 -0.097  1.161 -0.305  1.008 -0.496  0.830 -0.658  0.697 -0.863  0.592 -0.831  0.470 -0.619  0.347 -0.407  0.225 -0.195  0.103 0.017  -0.020 0.229  -0.142 0.441  -0.264 0.653  -0.387 0.865  -0.509 1.077  -0.632 1.289  -0.564 1.366  -0.327 1.426  -0.083 1.445  0.160 1.469  0.403 1.501  0.645 1.533
2#apb#apb22#app2201/e  -1.595 -0.370  -1.497 -0.441  -1.368 -0.401  -1.226 -0.397  -1.103 -0.332  -0.985 -0.253  -0.865 -0.178  -0.734 -0.122  -0.608 -0.055  -0.490 0.023  -0.390 0.123  -0.289 0.224  -0.188 0.325  -0.089 0.426  -0.016 0.548  0.057 0.670  0.117 0.800  0.175 0.929  0.239 1.057  0.214 1.144  0.088 1.082  -0.025 0.994  -0.135 0.905  -0.236 0.804  -0.337 0.704  -0.389 0.574  -0.429 0.438  -0.469 0.301  -0.478 0.162  -0.459 0.021  -0.441 -0.120  -0.368 -0.237  -0.275 -0.344  -0.182 -0.452  -0.087 -0.557  0.050 -0.598  0.186 -0.639  0.322 -0.681  0.458 -0.722  0.596 -0.720  0.734 -0.688  0.873 -0.656  1.012 -0.624  1.150 -0.592  1.277 -0.532  1.399 -0.458  1.520 -0.383  1.641 -0.309  1.762 -0.234  1.883 -0.159
