2#apa#apa00#app0076/p  -0.077 1.349  -0.077 1.163  -0.077 0.976  -0.077 0.790  -0.077 0.604  -0.147 0.434  -0.163 0.252  -0.163 0.066  -0.163 -0.121  -0.163 -0.307  -0.163 -0.493  -0.163 -0.679  -0.163 -0.865  -0.163 -1.052  -0.163 -1.238  -0.163 -1.424  -0.163 -1.610  -0.163 -1.797  -0.165 -1.863  -0.170 -1.677  -0.176 -1.491  -0.181 -1.304  -0.187 -1.118  -0.193 -0.932  -0.198 -0.746  -0.204 -0.560  -0.210 -0.374  -0.215 -0.188  -0.221 -0.002  -0.227 0.185  -0.232 0.371  -0.238 0.557  -0.244 0.743  -0.249 0.929  -0.170 1.083  -0.029 1.201  0.129 1.296  0.293 1.349  0.480 1.349  0.612 1.295  0.681 1.125  0.698 0.943  0.659 0.762  0.614 0.581  0.546 0.422  0.456 0.261  0.394 0.098  0.260 -0.029  0.160 -0.115  0.009 -0.201
2#apa#apa00#app0076/g  0.054 1.225  -0.038 1.172  -0.142 1.127  -0.271 1.063  -0.382 0.973  -0.426 0.859  -0.496 0.784  -0.586 0.677  -0.587 0.533  -0.576 0.401  -0.450 0.355  -0.325 0.309  -0.180 0.309  -0.127 0.401  0.001 0.439  0.054 0.562  0.141 0.671  0.145 0.813  0.215 0.929  0.237 1.064  0.237 1.209  0.237 1.097  0.237 0.953  0.237 0.808  0.310 0.694  0.329 0.557  0.329 0.413  0.329 0.268  0.395 0.151  0.420 0.017  0.420 -0.127  0.420 -0.271  0.420 -0.416  0.420 -0.560  0.420 -0.705  0.420 -0.849  0.420 -0.994  0.420 -1.138  0.396 -1.273  0.294 -1.375  0.192 -1.477  0.066 -1.523  -0.078 -1.523  -0.213 -1.482  -0.345 -1.432  -0.465 -1.371  -0.567 -1.269  -0.604 -1.140  -0.679 -1.027  -0.679 -0.882
2#apa#apa00#app0076/h  -0.591 1.941  -0.486 1.836  -0.361 1.808  -0.361 1.660  -0.361 1.512  -0.361 1.364  -0.361 1.216  -0.361 1.068  -0.361 0.920  -0.361 0.772  -0.361 0.624  -0.361 0.476  -0.361 0.329  -0.376 0.184  -0.442 0.052  -0.476 -0.088  -0.476 -0.236  -0.476 -0.384  -0.476 -0.532  -0.476 -0.680  -0.476 -0.827  -0.476 -0.975  -0.476 -0.981  -0.372 -0.937  -0.361 -0.801  -0.322 -0.669  -0.246 -0.553  -0.195 -0.426  -0.131 -0.304  -0.067 -0.183  0.038 -0.078  0.100 0.044  0.193 0.099  0.304 0.188  0.330 0.325  0.474 0.329  0.560 0.268  0.654 0.214  0.675 0.087  0.675 -0.061  0.675 -0.209  0.675 -0.357  0.675 -0.505  0.675 -0.653  0.717 -0.791  0.783 -0.923  0.790 -1.069  0.790 -1.217  0.790 -1.365  0.790 -1.513
2#apa#apa00#app0076/t  0.339 1.995  0.339 1.834  0.339 1.674  0.339 1.514  0.339 1.354  0.339 1.194  0.339 1.034  0.339 0.874  0.276 0.728  0.212 0.583  0.212 0.423  0.212 0.263  0.212 0.103  0.212 -0.057  0.212 -0.217  0.212 -0.377  0.212 -0.537  0.212 -0.698  0.212 -0.858  0.143 -0.989  0.086 -1.125  0.086 -1.286  0.086 -1.446  0.048 -1.590  -0.052 -1.648  -0.106 -1.497  -0.159 -1.346  -0.212 -1.195  -0.265 -1.044  -0.319 -0.893  -0.372 -0.742  -0.425 -0.591  -0.479 -0.440  -0.532 -0.290  -0.585 -0.139  -0.638 0.012  -0.692 0.163  -0.745 0.314  -0.798 0.465  -0.695 0.367  -0.543 0.347  -0.383 0.347  -0.223 0.347  -0.062 0.347  0.094 0.356  0.207 0.469  0.365 0.474  0.526 0.474  0.686 0.474  0.846 0.474
2#apa#apa00#app0076/h  -0.166 2.039  -0.071 1.996  -0.071 1.857  -0.094 1.728  -0.166 1.620  -0.166 1.481  -0.185 1.350  -0.262 1.243  -0.262 1.105  -0.262 0.966  -0.262 0.827  -0.262 0.689  -0.262 0.550  -0.305 0.422  -0.358 0.295  -0.358 0.157  -0.358 0.018  -0.358 -0.120  -0.358 -0.259  -0.358 -0.398  -0.358 -0.536  -0.358 -0.675  -0.358 -0.814  -0.358 -0.952  -0.358 -1.091  -0.358 -1.005  -0.316 -0.884  -0.262 -0.768  -0.215 -0.640  -0.153 -0.516  -0.091 -0.392  -0.071 -0.258  0.025 -0.159  0.070 -0.065  0.183 -0.003  0.281 0.095  0.406 0.126  0.533 0.097  0.599 -0.015  0.599 -0.153  0.599 -0.292  0.599 -0.431  0.599 -0.569  0.599 -0.708  0.588 -0.842  0.503 -0.945  0.503 -1.084  0.503 -1.223  0.503 -1.361  0.503 -1.500
2#apa#apa00#app0076/e  -0.251 -0.242  -0.251 -0.109  -0.129 -0.099  -0.030 -0.020  0.064 0.074  0.158 0.167  0.252 0.261  0.345 0.355  0.439 0.448  0.533 0.542  0.626 0.636  0.720 0.729  0.750 0.850  0.750 0.982  0.750 1.115  0.692 1.189  0.559 1.189  0.427 1.189  0.321 1.162  0.305 1.046  0.172 1.046  0.040 1.046  0.035 0.918  -0.048 0.820  -0.142 0.726  -0.235 0.632  -0.361 0.616  -0.394 0.517  -0.457 0.411  -0.538 0.311  -0.538 0.179  -0.538 0.046  -0.538 -0.086  -0.538 -0.219  -0.538 -0.351  -0.538 -0.484  -0.538 -0.616  -0.538 -0.749  -0.490 -0.862  -0.396 -0.955  -0.394 -1.087  -0.310 -1.185  -0.217 -1.278  -0.123 -1.372  0.004 -1.387  0.035 -1.488  0.099 -1.594  0.199 -1.673  0.331 -1.673  0.464 -1.673
2#apa#apa00#app0076/m  -0.797 1.306  -0.797 1.126  -0.797 0.946  -0.891 0.859  -0.909 0.697  -0.909 0.517  -0.909 0.337  -0.909 0.157  -0.909 -0.024  -0.950 -0.187  -1.021 -0.338  -1.021 -0.518  -1.021 -0.698  -0.977 -0.773  -0.850 -0.645  -0.797 -0.487  -0.735 -0.370  -0.686 -0.238  -0.646 -0.067  -0.561 0.090  -0.462 0.230  -0.353 0.301  -0.271 0.460  -0.131 0.524  -0.062 0.636  0.096 0.615  0.096 0.434  0.050 0.301  -0.015 0.186  -0.015 0.005  -0.015 -0.175  0.082 -0.258  0.134 -0.408  0.284 -0.481  0.422 -0.379  0.582 -0.331  0.732 -0.258  0.791 -0.122  0.918 0.005  1.045 0.133  1.202 0.189  1.271 0.301  1.325 0.175  1.325 -0.005  1.325 -0.185  1.325 -0.365  1.325 -0.546  1.325 -0.726  1.325 -0.906  1.437 -1.040
2#apa#apa00#app0076/?  -0.856 0.692  -0.856 0.789  -0.855 0.885  -0.786 0.954  -0.700 0.979  -0.604 0.979  -0.507 0.979  -0.410 0.979  -0.313 0.979  -0.217 0.979  -0.120 0.979  -0.023 0.979  0.073 0.979  0.170 0.979  0.267 0.979  0.342 0.927  0.421 0.884  0.481 0.847  0.481 0.751  0.481 0.654  0.481 0.557  0.481 0.461  0.452 0.376  0.383 0.308  0.315 0.240  0.246 0.171  0.178 0.103  0.110 0.034  0.099 -0.058  0.041 -0.130  -0.028 -0.199  -0.096 -0.267  -0.165 -0.335  -0.188 -0.423  -0.166 -0.516  -0.133 -0.607  -0.101 -0.698  -0.068 -0.789  -0.035 -0.880  -0.003 -0.971  0.030 -1.062  0.062 -1.153  0.095 -1.244  0.127 -1.335  0.160 -1.426  0.192 -1.517  0.225 -1.608  0.257 -1.699  0.290 -1.790  0.290 -1.696
2#apa#apa00#app0076/S  -0.467 1.344  -0.566 1.344  -0.567 1.246  -0.663 1.244  -0.667 1.149  -0.667 1.050  -0.573 1.045  -0.475 1.045  -0.376 1.045  -0.367 0.955  -0.279 0.945  -0.180 0.945  -0.081 0.945  -0.008 0.884  0.075 0.845  0.131 0.803  0.160 0.716  0.230 0.647  0.231 0.548  0.327 0.546  0.373 0.461  0.418 0.372  0.453 0.280  0.484 0.187  0.515 0.093  0.530 -0.003  0.530 -0.102  0.530 -0.200  0.530 -0.299  0.530 -0.398  0.530 -0.496  0.530 -0.595  0.500 -0.681  0.431 -0.751  0.431 -0.850  0.361 -0.920  0.331 -1.006  0.277 -1.050  0.193 -1.088  0.121 -1.150  0.022 -1.150  -0.077 -1.150  -0.176 -1.150  -0.274 -1.150  -0.373 -1.150  -0.472 -1.150  -0.567 -1.147  -0.569 -1.050  -0.667 -1.049  -0.667 -0.950
2#apa#apa00#app0076/o  -0.143 1.017  -0.003 1.017  -0.036 1.017  -0.143 0.985  -0.143 0.845  -0.261 0.824  -0.382 0.778  -0.480 0.680  -0.579 0.581  -0.677 0.482  -0.721 0.361  -0.738 0.229  -0.837 0.130  -0.914 0.022  -0.914 -0.117  -0.914 -0.256  -0.886 -0.389  -0.824 -0.514  -0.761 -0.639  -0.721 -0.769  -0.721 -0.908  -0.585 -0.912  -0.470 -0.970  -0.371 -1.069  -0.247 -1.105  -0.107 -1.105  0.032 -1.105  0.172 -1.105  0.311 -1.105  0.446 -1.094  0.545 -0.996  0.638 -0.893  0.701 -0.768  0.763 -0.644  0.822 -0.518  0.822 -0.379  0.822 -0.239  0.822 -0.100  0.822 0.040  0.822 0.179  0.789 0.311  0.727 0.436  0.664 0.561  0.586 0.674  0.488 0.773  0.436 0.891  0.430 1.029  0.368 1.153  0.306 1.278  0.243 1.403
2#apa#apa00#app0076/m  -0.992 1.065  -0.992 0.856  -0.992 0.647  -0.992 0.437  -0.992 0.228  -0.992 0.018  -0.992 -0.191  -0.992 -0.401  -0.992 -0.610  -0.992 -0.819  -0.992 -0.823  -0.992 -0.613  -0.992 -0.404  -0.902 -0.215  -0.859 -0.016  -0.819 0.176  -0.670 0.325  -0.593 0.502  -0.461 0.579  -0.340 0.667  -0.263 0.800  -0.062 0.809  0.023 0.933  0.203 0.903  0.203 0.694  0.203 0.484  0.203 0.275  0.203 0.065  0.203 -0.144  0.203 -0.353  0.203 -0.563  0.203 -0.772  0.259 -0.926  0.336 -1.058  0.336 -0.849  0.469 -0.772  0.469 -0.563  0.601 -0.486  0.601 -0.277  0.645 -0.086  0.818 0.003  0.886 0.156  0.999 0.318  1.125 0.402  1.265 0.332  1.398 0.255  1.398 0.046  1.398 -0.164  1.476 -0.341  1.530 -0.527
2#apa#apa00#app0076/e  -0.308 -0.387  -0.161 -0.387  -0.125 -0.277  -0.073 -0.152  0.030 -0.049  0.165 -0.020  0.311 -0.020  0.448 0.003  0.551 0.106  0.674 0.163  0.820 0.163  0.966 0.163  0.974 0.301  0.974 0.447  0.974 0.594  0.954 0.732  0.851 0.835  0.748 0.939  0.644 1.042  0.513 1.078  0.367 1.078  0.221 1.078  0.074 1.078  -0.072 1.078  -0.218 1.078  -0.308 1.022  -0.308 0.875  -0.308 0.729  -0.437 0.712  -0.491 0.620  -0.530 0.490  -0.634 0.386  -0.674 0.257  -0.674 0.110  -0.674 -0.036  -0.674 -0.182  -0.586 -0.292  -0.491 -0.399  -0.491 -0.545  -0.491 -0.691  -0.491 -0.837  -0.491 -0.984  -0.486 -1.129  -0.420 -1.260  -0.355 -1.390  -0.267 -1.485  -0.122 -1.488  -0.019 -1.591  0.059 -1.705  0.059 -1.851
2#apa#apa00#app0076/t  -0.103 2.017  -0.103 1.846  -0.198 1.769  -0.228 1.628  -0.273 1.475  -0.352 1.337  -0.352 1.166  -0.352 0.994  -0.352 0.823  -0.352 0.652  -0.352 0.481  -0.352 0.310  -0.352 0.138  -0.352 -0.033  -0.401 -0.192  -0.476 -0.346  -0.476 -0.517  -0.476 -0.688  -0.476 -0.860  -0.476 -1.031  -0.360 -1.086  -0.228 -1.125  -0.142 -1.210  0.021 -1.201  0.077 -1.086  0.248 -1.086  0.419 -1.086  0.517 -1.013  0.637 -0.962  0.808 -0.962  0.980 -0.962  0.913 -0.869  0.787 -0.754  0.660 -0.638  0.534 -0.522  0.408 -0.407  0.282 -0.291  0.156 -0.175  0.029 -0.060  -0.097 0.056  -0.223 0.172  -0.349 0.287  -0.476 0.403  -0.305 0.403  -0.144 0.445  0.009 0.522  0.179 0.528  0.350 0.528  0.520 0.531  0.641 0.652
2#apa#apa00#app0076/h  -0.191 2.060  -0.191 1.918  -0.211 1.781  -0.274 1.654  -0.310 1.520  -0.310 1.378  -0.310 1.236  -0.315 1.096  -0.379 0.969  -0.429 0.839  -0.429 0.697  -0.429 0.555  -0.429 0.413  -0.429 0.271  -0.429 0.129  -0.429 -0.012  -0.429 -0.154  -0.429 -0.296  -0.429 -0.438  -0.429 -0.580  -0.429 -0.722  -0.429 -0.864  -0.429 -1.006  -0.429 -1.148  -0.429 -1.023  -0.429 -0.881  -0.387 -0.757  -0.310 -0.647  -0.310 -0.505  -0.254 -0.386  -0.154 -0.286  -0.072 -0.178  -0.023 -0.084  0.098 -0.034  0.211 0.035  0.333 0.082  0.446 0.154  0.588 0.154  0.643 0.068  0.720 -0.042  0.762 -0.167  0.762 -0.309  0.881 -0.331  0.881 -0.473  0.881 -0.615  0.881 -0.757  0.881 -0.899  0.794 -1.005  0.762 -1.133  0.762 -1.275
2#apa#apa00#app0076/i  -0.323 0.819  -0.323 0.685  -0.194 0.679  -0.183 0.556  -0.183 0.422  -0.183 0.288  -0.183 0.154  -0.183 0.020  -0.183 -0.114  -0.183 -0.248  -0.183 -0.382  -0.183 -0.517  -0.256 -0.578  -0.323 -0.645  -0.323 -0.779  -0.323 -0.913  -0.323 -1.048  -0.323 -1.182  -0.295 -1.304  -0.200 -1.399  -0.073 -1.416  0.030 -1.343  0.137 -1.277  0.236 -1.241  0.266 -1.137  0.376 -1.113  0.373 -0.979  0.354 -0.846  0.335 -0.713  0.316 -0.580  0.297 -0.448  0.278 -0.315  0.259 -0.182  0.240 -0.049  0.221 0.083  0.202 0.216  0.183 0.349  0.164 0.482  0.145 0.615  0.126 0.747  0.107 0.880  0.089 1.013  0.070 1.146  0.051 1.278  0.032 1.411  0.013 1.544  -0.006 1.677  -0.025 1.810  -0.038 1.937  0.096 1.937
2#apa#apa00#app0076/n  -0.741 1.516  -0.741 1.359  -0.741 1.202  -0.741 1.044  -0.741 0.887  -0.741 0.730  -0.741 0.573  -0.741 0.415  -0.741 0.258  -0.741 0.101  -0.741 -0.056  -0.741 -0.213  -0.741 -0.371  -0.741 -0.528  -0.741 -0.685  -0.741 -0.842  -0.729 -0.988  -0.572 -0.988  -0.562 -0.841  -0.436 -0.809  -0.383 -0.705  -0.383 -0.548  -0.383 -0.391  -0.356 -0.245  -0.244 -0.134  -0.133 -0.023  -0.025 0.090  -0.025 0.247  0.074 0.363  0.185 0.474  0.296 0.585  0.332 0.728  0.417 0.801  0.574 0.801  0.731 0.801  0.869 0.781  0.869 0.624  0.869 0.467  0.869 0.310  0.869 0.152  0.869 -0.005  0.869 -0.162  0.869 -0.319  0.869 -0.476  0.869 -0.634  0.869 -0.791  0.869 -0.948  0.952 -1.071  1.048 -1.188  1.048 -1.346
2#apa#apa00#app0076/g  0.114 1.163  0.146 1.163  0.018 1.163  -0.091 1.118  -0.205 1.083  -0.287 0.990  -0.330 0.880  -0.367 0.768  -0.287 0.673  -0.231 0.601  -0.103 0.601  -0.047 0.673  0.034 0.721  0.095 0.824  0.114 0.944  0.114 1.072  0.194 1.120  0.194 1.238  0.194 1.110  0.194 0.982  0.194 0.854  0.194 0.726  0.194 0.598  0.194 0.470  0.194 0.342  0.194 0.214  0.194 0.086  0.194 -0.042  0.194 -0.170  0.201 -0.296  0.259 -0.410  0.274 -0.535  0.274 -0.663  0.274 -0.791  0.274 -0.918  0.274 -1.046  0.269 -1.173  0.212 -1.288  0.194 -1.411  0.138 -1.483  0.010 -1.483  -0.047 -1.412  -0.154 -1.376  -0.245 -1.285  -0.355 -1.243  -0.449 -1.161  -0.545 -1.083  -0.608 -1.018  -0.688 -0.970  -0.768 -0.922
2#apa#apa00#app0076/l  0.111 1.819  0.111 1.735  0.111 1.652  0.093 1.571  0.067 1.492  0.041 1.413  0.014 1.334  0.014 1.250  -0.035 1.187  -0.083 1.124  -0.083 1.040  -0.083 0.957  -0.083 0.874  -0.083 0.790  -0.083 0.707  -0.083 0.623  -0.083 0.540  -0.083 0.456  -0.083 0.373  -0.083 0.289  -0.109 0.212  -0.146 0.137  -0.181 0.062  -0.181 -0.021  -0.181 -0.105  -0.181 -0.188  -0.181 -0.272  -0.181 -0.355  -0.181 -0.439  -0.181 -0.522  -0.181 -0.605  -0.181 -0.689  -0.181 -0.772  -0.181 -0.856  -0.181 -0.939  -0.181 -1.023  -0.181 -1.106  -0.181 -1.190  -0.103 -1.195  -0.038 -1.150  0.024 -1.098  0.107 -1.098  0.191 -1.098  0.255 -1.051  0.317 -1.001  0.401 -1.001  0.484 -1.001  0.568 -1.001  0.635 -0.962  0.694 -0.903
2#apa#apa00#app0076/i  -0.089 0.134  -0.089 0.024  -0.089 -0.085  -0.121 -0.181  -0.198 -0.259  -0.231 -0.354  -0.231 -0.464  -0.231 -0.573  -0.231 -0.682  -0.231 -0.792  -0.200 -0.888  -0.123 -0.966  -0.089 -1.061  -0.089 -1.170  -0.089 -1.280  -0.089 -1.389  -0.015 -1.424  0.053 -1.382  0.053 -1.273  0.053 -1.164  0.053 -1.054  0.053 -0.945  0.053 -0.836  0.053 -0.726  0.053 -0.617  0.053 -0.508  0.053 -0.398  0.053 -0.289  0.053 -0.180  0.053 -0.070  0.053 0.039  0.053 0.148  0.053 0.258  0.053 0.367  0.053 0.476  0.053 0.586  0.053 0.695  0.053 0.804  0.053 0.914  0.053 1.023  0.053 1.132  0.053 1.242  0.053 1.351  0.053 1.460  0.053 1.570  0.053 1.679  0.149 1.691  0.194 1.756  0.227 1.833  0.336 1.833
